Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_101_152.pdb,1,1,0,11,4,3,16,0,16,0,0,0,0,0,2,0.32,0.4690909090909091,0.64,0.6,0.0,0.40249999999999997,0.4499999999999999,0.0,0.5681250000000001,0.51,0.0,0.0,0.0,0.0,0.0,0.64,1.8,0.0,1.6099999999999999,7.199999999999998,0.0,9.090000000000002,1.02,0.0,0.0,0.0,0.0,0.0,33.21,39.03,3979.729999999996,2052.019999999997,1927.7099999999991,1.0,3.3166247903554,4.0,1.4142135623730951,0.0,4.0,1.0,0.0,2.0,1.7320508075688772,0.0,0.0,0.0,0.0,0.0,5.952000000000001,-9.556000000000001,4.52,-17.0,-30.4,-205.4,15.4,-229.18,265.96,-6.7,0.049288,-10.86,99.4,56.0,-10.8,336.684,40.4,63.4,79.2,14.0,27.36,9.78,-457.2,-1.983965688,60.1,-11.671457,-15.32,-60.83,-94.17,-79.95,-5867.77,26.15,25.09,19.01,63.42,-2514.83,-837.79,0.0,0.0,0.0,0.0,0.0,70.5137,6740.94,0.00011,-35.605,54.535,-115.9,7.34,19.361,-13.860999999999999,-14.229000000000001,0.0,-280.18,578.03,-456.58,81.05,10136.124,65.70829875390001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10225.495093000001,-10338.491938,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,6.9960960000000005,-0.208321,-13.065721,-26.169404,-17.6660505554,51.2828,0.0036299999999999995,54
swarm_101_160.pdb,1,1,1,9,9,2,12,1,21,0,0,0,0,2,1,0.48,0.5055555555555555,0.64,0.66,0.57,0.3688888888888889,0.4808333333333333,0.48,0.5576190476190476,0.49,0.47,0.0,0.0,0.0,0.0,0.64,1.32,0.57,3.32,5.77,0.48,11.709999999999999,0.49,0.94,0.0,0.0,0.0,0.0,33.81,38.32,5008.279999999999,2609.7299999999996,2398.529999999999,1.0,3.0,3.4641016151377544,1.0,1.0,4.58257569495584,1.0,1.0,3.0,1.4142135623730951,0.0,0.0,0.0,0.0,1.4142135623730951,5.1398,-16.128,-0.02,-27.4,-47.6,-293.4,18.5,-313.18,352.5,-10.54,-0.107794,-17.8,125.4,65.8,-23.6,419.73800000000006,45.2,72.4,94.0,13.34,36.5,15.38,-619.4,-3.881995248,66.5,-11.103897,-25.25,-72.815,-128.85,-112.47,-8539.23,7.34,22.75,75.7,84.65,-2847.97,150.29,0.0,0.0,0.0,0.0,0.0,321.433,13471.4,8.9e-05,-61.806000000000004,65.569,-50.795,-1.317,66.0,-15.806,-17.06,0.0,-272.02,589.79,-704.33,-26.45,10846.92,67.229253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11564.330223,-11731.463646,0.0,0.0,0.0,0.1182,0.0,0.0,0.0,1.1030520000000001,-10.298003999999999,-25.377964000000002,-40.741199,-27.5727897444,51.8929,0.003867,60
swarm_101_50.pdb,0,0,2,6,1,1,6,1,13,0,0,0,0,1,1,0.0,0.43333333333333335,0.0,0.41,0.55,0.19,0.5033333333333333,0.48,0.566923076923077,0.58,0.48,0.0,0.0,0.0,0.0,0.0,0.41,1.1,0.19,3.02,0.48,7.370000000000001,0.58,0.48,0.0,0.0,0.0,0.0,33.33,38.67,4197.040000000008,2218.800000000003,1978.2699999999968,0.0,2.449489742783178,2.449489742783178,1.0,1.0,3.605551275463989,0.0,1.4142135623730951,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.7036,2.6060000000000003,9.16,-21.6,-36.8,-203.4,16.6,-238.72,282.22,-3.32,0.018056,-2.56,83.2,42.2,-21.0,278.902,35.6,54.2,71.0,9.74,42.76,19.04,-477.6,-0.28210852,43.2,-7.2423660000000005,-13.34,-56.992,-71.2,-69.37,-6841.13,-5.98,-14.17,23.92,52.4,-1993.24,318.94,0.0,0.0,0.0,0.0,0.0,12.2659,2770.67,0.00011499999999999999,-50.181000000000004,59.422,11.046,10.345,132.599,-5.056,-7.575,0.0,-111.5,566.49,-600.98,-13.91,14929.053999999998,48.7110042861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9836.213351999999,-9965.751576999999,0.0,0.0,0.0,0.3265,0.0,0.0,0.0,-16.289680999999998,-20.641469,-19.876599,-18.662370000000003,-20.1376419061,52.6411,0.0030629999999999998,32
swarm_10_182.pdb,2,1,2,2,3,2,1,0,3,0,0,0,0,3,0,0.46499999999999997,0.545,0.58,0.54,0.445,0.32,0.4,0.0,0.6033333333333334,0.0,0.4333333333333333,0.0,0.0,0.0,0.0,0.58,1.08,0.89,0.96,0.4,0.0,1.81,0.0,1.2999999999999998,0.0,0.0,0.0,0.0,33.07,39.01,3107.949999999997,1317.5999999999985,1790.3400000000038,1.4142135623730951,1.4142135623730951,1.0,0.0,0.0,1.7320508075688772,1.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,0.0,0.0,0.0,0.0,1.7320508075688772,3.3648,0.5660000000000001,2.26,-10.2,-27.6,-230.2,6.98,-207.9,196.08,0.52,-0.086114,-0.12,44.0,26.6,-8.4,151.092,7.2,24.2,26.0,9.94,23.74,15.18,-353.6,0.394119686,1.2,-9.47586,-25.36,-49.095,-58.78,-36.13,-6455.76,-16.07,-16.88,21.7,33.13,-1840.8,-459.03,0.0,0.0,0.0,0.0,0.0,-55.6485,443.50699999999995,0.000171,-11.298,9.113999999999999,-34.123000000000005,-5.597,-303.814,-3.6430000000000002,2.13,0.0,-98.78,116.97,-967.32,145.7,989.888,23.4887152622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9100.243265000001,-9214.333687,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,1.629544,-3.8593129999999998,-3.8310760000000004,-7.918027,-26.1504774892,47.1466,0.0038420000000000004,19
swarm_102_45.pdb,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.13,39.45,2791.12999999999,1289.5,1501.6399999999994,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0759999999999998,-1.034,1.44,-13.2,-37.2,-242.0,7.68,-229.0,227.72,-2.72,0.013634,-1.08,38.4,12.6,-37.6,137.904,11.0,25.4,37.8,10.34,22.42,6.02,-405.6,0.3000261808,-1.8,-13.667769,-22.83,-42.754,-71.6,-55.86,-7129.43,-31.69,-16.6,7.02,58.16,-1385.19,434.2,0.0,0.0,0.0,0.0,0.0,-37.8072,1001.68,0.000165,-12.520999999999999,15.401,6.992999999999999,3.58,-132.924,-4.545,-2.02,0.0,-142.92,216.02,-777.75,70.54,2922.296,36.770563113499996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8576.542595,-8687.084737000001,0.0,0.0,0.0,0.1792,0.0,0.0,0.0,-7.016044,-11.243696,-5.763789,-20.051176,-25.9026745705,48.7287,0.001,1
swarm_104_0.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.42,38.52,3545.3600000000006,1713.5400000000009,1831.8199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22399999999999998,0.774,1.94,-16.4,-43.4,-260.0,6.62,-254.22,244.84,-2.88,0.147602,-2.52,54.8,23.2,-32.6,273.944,8.0,26.4,31.4,3.14,28.38,10.64,-440.0,2.1159616186,-1.5,-10.886745,-23.96,-47.431999999999995,-79.95,-63.02,-6068.05,-9.56,-2.0,28.7,24.64,-2147.12,-379.49,0.0,0.0,0.0,0.0,0.0,-46.2503,151.546,0.000128,-35.635999999999996,29.61,-70.994,-13.126,-200.565,-6.22,-2.41,0.0,-241.64,132.44,-729.97,-88.88,6912.868,6.514285516930001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9096.73525,-9243.789383,0.0,0.0,0.0,-0.3787,0.0,0.0,0.0,-7.908099000000001,-13.364045999999998,-18.969582,-29.198676000000003,-25.3338853996,48.1343,0.0,0
swarm_104_101.pdb,10,2,3,6,4,1,10,2,5,0,1,0,1,2,2,0.49000000000000005,0.425,0.56,0.41,0.4833333333333334,0.30500000000000005,0.42000000000000004,0.49,0.49000000000000005,0.53,0.53,0.7,0.67,0.0,0.0,1.12,0.41,1.4500000000000002,1.2200000000000002,4.2,0.98,2.45,1.06,1.06,0.7,0.67,0.0,0.0,33.33,39.05,3381.3199999999924,1456.1399999999994,1925.1699999999983,3.1622776601683795,2.449489742783178,3.1622776601683795,1.4142135623730951,1.4142135623730951,2.23606797749979,1.4142135623730951,1.7320508075688772,2.0,1.0,1.0,0.0,0.0,1.0,1.4142135623730951,0.0104,0.636,3.66,-1.2,-33.2,-254.8,2.74,-282.46,226.02,4.36,-0.049338,0.22,35.0,21.8,-20.6,147.466,2.4,18.4,22.6,-6.52,24.58,3.98,-427.2,0.2562547532,-12.5,-8.902019000000001,-25.85,-50.178000000000004,-93.46,-69.42,-8136.15,15.91,-7.28,-15.23,11.78,-1894.75,-512.6,0.0,0.0,0.0,0.0,0.0,-61.6863,95.4088,0.000124,-15.168,14.648,-14.675,-1.9869999999999999,-401.3,-2.17,5.455,0.0,-196.96,-35.47,-1150.26,-5.23,-5801.975,5.85712176084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9360.950383,-9490.631599,0.0,0.0,0.0,-0.1585,0.0,0.0,0.0,2.497691,-4.748528,-9.031189999999999,-19.087742000000002,-31.208185816300002,48.601000000000006,0.00151,49
swarm_104_60.pdb,5,2,3,15,1,2,12,2,13,0,0,1,2,1,3,0.48200000000000004,0.4459999999999999,0.64,0.485,0.43,0.37,0.4699999999999999,0.45999999999999996,0.4369230769230769,0.4666666666666666,0.87,0.675,0.0,0.0,0.9,1.28,0.97,1.29,0.37,5.639999999999999,0.9199999999999999,5.68,1.4,0.87,1.35,0.0,0.0,0.9,33.54,38.72,3579.1300000000047,1886.4900000000016,1692.6299999999974,2.23606797749979,3.872983346207417,3.4641016151377544,1.7320508075688772,1.4142135623730951,3.605551275463989,1.4142135623730951,1.7320508075688772,1.0,1.4142135623730951,0.0,0.0,1.0,1.4142135623730951,1.0,1.8392,0.642,5.9,-12.8,-34.8,-209.4,5.58,-235.14,225.4,-1.7,-0.07244400000000001,-6.36,43.4,18.4,-26.8,192.65,11.6,29.4,38.0,2.24,19.98,11.38,-409.2,-0.8187919928,24.1,-10.377716,-17.35,-50.702,-67.21,-55.36,-4817.98,-31.38,-10.97,21.21,38.87,-2306.77,-433.65,0.0,0.0,0.0,0.0,0.0,-30.7199,385.902,0.000139,-34.81,36.153,-71.395,-5.797000000000001,-216.623,-8.511000000000001,-4.395,0.0,-162.81,241.13,-1002.12,38.94,6192.647,44.179717452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9402.44527,-9521.577711,0.0,0.0,0.0,-0.0489,0.0,0.0,0.0,-8.022353,-12.898384,-2.8117650000000003,-15.570445999999999,-18.1192545866,48.6845,0.00321,62
swarm_105_130.pdb,0,1,2,0,1,2,4,1,4,0,0,1,1,0,0,0.0,0.0,0.49,0.48,0.495,0.58,0.4375,0.56,0.42,0.0,0.0,0.68,0.0,0.0,0.9,0.49,0.96,0.99,0.58,1.75,0.56,1.68,0.0,0.0,0.68,0.0,0.0,0.9,33.36,39.12,3403.6399999999994,1629.2900000000009,1774.3500000000058,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.4142135623730951,1.0,1.4142135623730951,0.0,0.0,1.0,1.0,0.0,-0.7070000000000001,4.836,1.46,-8.0,-37.4,-231.0,4.7,-217.62,196.42,1.24,0.066868,3.24,27.8,10.4,-23.0,118.28200000000001,-5.2,8.8,16.8,-3.3,22.14,11.5,-361.6,0.03200457,-14.1,-12.705312,-28.32,-50.726000000000006,-86.5,-68.79,-7184.01,-12.34,-19.95,-59.67,-24.14,-1788.45,-349.62,0.0,0.0,0.0,0.0,0.0,-59.6962,429.195,0.000168,-8.875,16.177,-66.48,0.654,-257.379,-0.662,4.228,0.0,-166.95,56.46,-1001.87,-174.55,-400.86400000000003,23.241226390799998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9302.537934,-9421.564123,0.0,0.0,0.0,-0.2455,0.0,0.0,0.0,0.339725,4.403672,-6.690980000000001,-14.856532000000001,-27.2888846765,46.7907,0.002471,17
swarm_105_86.pdb,1,0,1,7,3,3,5,0,8,0,0,1,0,0,2,0.58,0.41000000000000003,0.0,0.4333333333333333,0.42,0.32,0.492,0.0,0.3775,0.45999999999999996,0.0,0.0,0.0,0.0,0.74,0.0,1.2999999999999998,0.42,0.96,2.46,0.0,3.02,0.9199999999999999,0.0,0.0,0.0,0.0,0.74,33.15,39.25,4813.330000000002,2489.9000000000015,2323.4300000000076,1.0,2.6457513110645907,2.23606797749979,1.4142135623730951,0.0,2.8284271247461903,0.0,1.0,1.7320508075688772,1.7320508075688772,0.0,0.0,1.0,0.0,0.0,4.6076,1.156,11.2,-19.8,-45.8,-289.2,20.24,-251.64,291.3,-1.74,0.145844,-2.92,96.6,43.0,-29.0,459.50800000000004,18.0,42.8,59.8,27.14,41.46,22.3,-507.6,1.0298758476,31.4,-16.484416,-41.57,-74.995,-85.22,-71.39,-4162.23,-14.18,39.97,-77.38,-29.31,-3449.2,-1724.11,0.0,0.0,0.0,0.0,0.0,-52.4123,166.167,0.000106,-24.151999999999997,46.691,-165.301,6.007999999999999,-252.808,-7.297000000000001,-2.494,0.0,-433.33,291.53,-1055.43,-121.98,9452.53,32.439886987399994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11825.045736,-12046.466218000001,0.0,0.0,0.0,0.1399,0.0,0.0,0.0,2.816774,-0.315571,-8.90457,-17.035836,-31.1965916165,50.0573,0.0036130000000000003,31
