Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_136.pdb,2,2,5,2,4,6,8,2,4,1,2,3,0,3,1,0.38,0.49,0.495,0.4883333333333333,0.404,0.36,0.47125,0.45999999999999996,0.55,0.34,0.3633333333333333,0.0,0.5449999999999999,0.9,0.6533333333333334,0.99,2.9299999999999997,2.02,1.44,3.77,0.9199999999999999,2.2,0.34,1.0899999999999999,0.0,1.0899999999999999,0.9,1.9600000000000002,35.47,33.14,1218.6100000000006,555.5100000000002,663.1000000000004,1.4142135623730951,1.4142135623730951,2.8284271247461903,1.0,1.4142135623730951,2.0,1.4142135623730951,2.23606797749979,2.0,2.449489742783178,1.4142135623730951,1.0,1.7320508075688772,0.0,1.7320508075688772,0.7622,-6.744,-1.34,-5.6,-9.0,-94.4,2.58,-86.92,85.02,-2.1,-0.002466,-3.78,20.6,10.4,-8.2,17.698,7.2,11.2,14.8,2.32,-2.38,-2.22,-148.0,0.36358493,0.2,-9.75815,-15.14,-22.575,-31.14,-19.94,-3934.29,-8.82,-5.37,-72.42,-24.49,-765.05,-431.28,0.0,0.0,0.0,0.0,0.0,-46.3782,-68.4872,0.000659,-0.272,4.1819999999999995,-60.393,-2.13,-81.805,-3.7710000000000004,-2.217,0.0,-135.16,68.86,-343.8,99.19,177.416,15.7000677381,-3.73,3.642,-0.8421,-1.081,-316.8,-2063.0,3.8760000000000003,-16.08,-2400.0,-3.0469999999999997,2.9560000000000004,0.6825,2.0269999999999997,-3.7889999999999997,-227.5,3.215,-1.296,-235.8,-4266.2286460000005,-4320.048705,959.39,-1110.71,2070.1,-0.10400000000000001,0.0,0.0,0.0,-2.565013,-3.730951,-4.223666000000001,-9.090633,-11.6073099791,18.2084,0.006933,45
swarm_0_88.pdb,1,3,3,3,5,6,5,1,1,2,3,7,2,2,0,0.43,0.38333333333333336,0.47000000000000003,0.4766666666666666,0.4366666666666667,0.392,0.4619999999999999,0.49,0.75,0.0,0.48,0.68,0.6633333333333333,0.98,0.7099999999999999,1.4100000000000001,2.86,1.31,1.96,2.3099999999999996,0.49,0.75,0.0,0.96,1.36,1.99,1.96,4.969999999999999,35.04,33.9,1310.7900000000009,522.3599999999988,788.4400000000005,1.0,1.7320508075688772,2.23606797749979,0.0,1.0,1.0,1.7320508075688772,1.7320508075688772,2.23606797749979,2.449489742783178,1.7320508075688772,1.4142135623730951,2.6457513110645907,1.4142135623730951,1.4142135623730951,0.9154,0.732,1.92,1.8,-9.4,-78.6,-0.38,-91.86,73.56,1.86,0.027074,3.44,3.2,1.2,-9.4,15.23,4.2,7.2,7.8,-1.72,-0.78,0.42,-136.6,0.3983605526,-14.3,-10.598494,-17.92,-24.409000000000002,-35.65,-31.38,-3753.24,0.35,-8.41,-13.94,0.04,-633.08,-5.44,0.0,0.0,0.0,0.0,0.0,-51.9455,28.0561,0.00046699999999999997,-0.5489999999999999,-1.6219999999999999,-24.336,-4.605,-108.781,-0.79,1.2770000000000001,0.0,-129.16,-14.6,-455.16,86.52,-283.309,7.84887812193,-3.3569999999999998,3.148,-1.709,-0.653,-84.84,-2193.0,-4.288,-29.95,-2304.0,-2.9989999999999997,2.9010000000000002,-0.3063,0.8264,6.687,-278.2,2.031,-1.8559999999999999,-275.4,-4456.007292,-4493.68767,397.88,-1230.58,1628.46,-0.0689,0.0,0.0,0.0,0.410474,-0.977276,-1.616601,-7.331442999999999,-12.862609313599998,12.4308,0.009840999999999999,44
swarm_100_121.pdb,5,3,7,6,12,7,16,3,18,2,2,2,5,3,0,0.488,0.4566666666666667,0.58,0.547142857142857,0.4942857142857142,0.4000000000000001,0.42437500000000006,0.54,0.5183333333333334,0.0,0.5166666666666667,0.7060000000000001,0.765,0.6950000000000001,0.74,1.7399999999999998,3.8299999999999996,3.4599999999999995,4.800000000000001,6.790000000000001,1.62,9.330000000000002,0.0,1.55,3.5300000000000002,1.53,1.3900000000000001,1.48,34.29,34.57,1800.6399999999994,946.6700000000001,853.9699999999993,2.23606797749979,2.449489742783178,4.0,0.0,1.7320508075688772,4.242640687119285,1.7320508075688772,2.6457513110645907,3.4641016151377544,2.6457513110645907,1.4142135623730951,1.4142135623730951,1.4142135623730951,2.23606797749979,1.7320508075688772,-0.7142,-3.7060000000000004,-1.36,-8.6,-32.0,-179.6,3.7,-155.32,141.96,-1.4,-0.026904,-2.68,26.6,10.0,-24.4,147.654,-2.2,6.4,15.2,-2.04,6.84,7.62,-268.2,-0.25944999399999996,-6.9,8.257679,5.08,-14.065,-77.01,-62.5,-6701.14,23.46,-6.62,202.5,137.83,-150.29,3408.26,0.0,0.0,0.0,0.0,0.0,120.52,5552.0,0.000331,-8.977,20.285999999999998,311.392,42.448,-95.56200000000001,-2.226,-0.41,0.0,89.05,215.48,-809.12,241.77,-883.799,22.733949201599998,-2.136,2.16,0.09119,-1.423,-346.4,-3045.0,17.88,0.9347,-3408.0,-1.696,0.9835,-0.6278,2.86,-56.89,-514.4,4.122,1.608,-573.8,-3471.343758,-3565.5755689999996,5823.99,-1026.21,6850.2,0.1302,0.0,0.0,0.0,-8.110526,-11.54808,-10.228458999999999,-19.461363000000002,-18.863820574800002,36.0245,0.008043999999999999,91
swarm_100_143.pdb,0,5,7,3,12,3,19,5,9,2,2,1,0,0,0,0.0,0.5266666666666667,0.604,0.4000000000000001,0.49999999999999994,0.3791666666666667,0.4784210526315789,0.49800000000000005,0.48888888888888893,0.0,0.0,0.0,0.51,0.6950000000000001,0.7,3.02,1.2000000000000002,3.4999999999999996,4.550000000000001,9.09,2.49,4.4,0.0,0.0,0.0,1.02,1.3900000000000001,0.7,34.59,34.88,1808.0699999999997,820.7000000000007,987.3799999999992,0.0,1.7320508075688772,4.358898943540674,0.0,2.23606797749979,3.0,2.23606797749979,2.6457513110645907,3.4641016151377544,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.0,0.0,0.0,0.6962,-4.98,4.28,-8.4,-23.0,-216.4,9.66,-169.46,181.5,-0.86,0.08568200000000001,-0.76,40.8,19.0,-25.4,92.936,7.4,20.0,29.6,-2.7,13.24,10.72,-319.4,0.46558395119999996,13.2,-6.468845,-15.88,-26.2,-58.31,-49.23,-4947.53,9.08,-2.41,-22.35,26.94,-849.82,524.04,0.0,0.0,0.0,0.0,0.0,-27.6367,816.2869999999999,0.000379,-4.827,6.207000000000001,-1.015,1.2790000000000001,-187.89700000000002,-5.239,-1.669,0.0,-177.84,177.12,-525.88,-41.5,-1871.7820000000002,16.111556731,-1.735,1.78,-0.08967,-1.558,-239.3,-3125.0,14.27,-62.25,-3441.0,-0.9540000000000001,0.7397,1.123,3.063,-22.64,-441.1,10.54,-0.317,-474.6,-4685.730774000001,-4762.510459,3317.66,-1284.16,4601.81,0.1936,0.0,0.0,0.0,0.740642,2.4215299999999997,-6.3418730000000005,-17.250974,-17.6404896731,11.3512,0.006912000000000001,68
swarm_100_174.pdb,2,5,6,2,3,5,13,6,13,0,1,1,1,3,0,0.495,0.44,0.5900000000000001,0.5860000000000001,0.45333333333333337,0.43,0.4384615384615384,0.55,0.43923076923076915,0.0,0.6266666666666666,0.99,0.83,0.0,0.67,2.95,2.93,2.72,1.29,5.699999999999999,3.3000000000000003,5.709999999999999,0.0,1.88,0.99,0.83,0.0,0.67,35.07,35.07,1856.7199999999975,869.8700000000008,986.8500000000004,1.4142135623730951,1.4142135623730951,3.605551275463989,0.0,2.449489742783178,3.605551275463989,2.23606797749979,2.449489742783178,1.7320508075688772,2.23606797749979,1.0,0.0,1.0,1.0,1.7320508075688772,-0.6774,-2.806,1.18,-10.0,-27.0,-177.4,4.46,-150.04,150.66,-2.36,0.02362,-3.56,30.8,10.0,-25.6,76.46,3.2,13.8,23.4,-7.74,9.62,10.62,-270.8,-0.16845883,3.7,-5.640925,-12.21,-24.656999999999996,-64.47,-52.66,-4497.32,0.54,-0.94,10.39,12.03,-936.37,292.12,0.0,0.0,0.0,0.0,0.0,-20.19,401.23199999999997,0.000337,-4.103,12.844000000000001,-9.267000000000001,7.814,-67.741,-1.274,0.013999999999999999,0.0,-191.71,156.52,-440.15,-84.42,248.93099999999998,20.7710145975,-1.3419999999999999,1.4669999999999999,0.7666,-1.37,-71.82,-3023.0,16.76,-41.32,-3153.0,-1.469,0.7419,-0.3928,3.602,-12.33,-505.1,3.2960000000000003,-0.4766,-521.2,-4491.656667,-4564.053257,3573.86,-1223.91,4797.77,0.099,0.0,0.0,0.0,-0.727538,-0.560445,-7.502294999999999,-19.606824,-12.8463098045,28.6387,0.005951,61
swarm_100_62.pdb,2,4,6,5,14,7,10,1,14,1,3,5,0,0,0,0.45,0.45199999999999996,0.5375,0.5542857142857143,0.4466666666666666,0.35571428571428576,0.462,0.56,0.5857142857142857,0.0,0.0,0.0,0.61,0.9,0.6900000000000001,2.15,3.88,2.6799999999999997,4.98,4.62,0.56,8.200000000000001,0.0,0.0,0.0,1.83,0.9,3.45,35.07,34.2,1787.920000000002,844.880000000001,943.0499999999993,1.4142135623730951,2.23606797749979,3.1622776601683795,0.0,1.0,3.7416573867739413,2.0,2.449489742783178,3.7416573867739413,2.6457513110645907,1.7320508075688772,1.0,2.23606797749979,0.0,0.0,-0.8602,1.6280000000000001,-1.8,-9.2,-33.8,-178.8,1.46,-166.52,151.6,-1.82,0.03084,-2.58,18.2,4.0,-26.8,109.76,-1.4,7.6,11.6,-6.08,0.48,-1.2,-288.6,-0.405841128,-6.4,-5.400976999999999,-12.75,-25.331999999999997,-57.24,-51.87,-6379.96,-10.9,-10.79,15.24,16.01,-1009.58,268.36,0.0,0.0,0.0,0.0,0.0,-88.4897,562.572,0.000404,-24.320999999999998,10.353,9.677,-13.0,-170.997,-0.228,3.0210000000000004,0.0,-90.42,64.42,-355.14,-73.22,-541.102,-1.1967258546500001,-2.048,2.0669999999999997,-0.4772,-2.0709999999999997,-226.8,-2671.0,6.62,-23.28,-2928.0,-2.09,1.472,-1.402,2.07,-12.45,-424.5,-0.8649,-3.717,-439.8,-4626.78664,-4688.335327000001,2769.72,-1309.59,4079.31,-0.1529,0.0,0.0,0.0,-12.042235,-16.816262,-6.192901,-20.357582999999998,-17.3535223348,27.4704,0.011193999999999999,72
swarm_100_76.pdb,4,1,3,12,10,6,13,3,18,0,0,1,2,0,0,0.4225,0.4633333333333334,0.63,0.51,0.39999999999999997,0.41900000000000004,0.45230769230769236,0.49666666666666665,0.48499999999999993,0.0,0.0,0.75,0.0,0.0,0.53,0.63,3.06,1.2,4.19,5.880000000000001,1.49,8.729999999999999,0.0,0.0,1.5,0.0,0.0,0.53,33.82,35.26,2241.8700000000026,1031.67,1210.2099999999991,2.0,3.4641016151377544,3.605551275463989,0.0,1.7320508075688772,4.242640687119285,1.0,1.7320508075688772,3.1622776601683795,2.449489742783178,0.0,0.0,1.0,1.4142135623730951,0.0,0.2196,-9.106,-1.26,-17.4,-38.2,-211.6,7.16,-159.44,168.3,-5.38,-0.000956,-9.18,36.6,10.0,-31.8,170.18400000000003,-1.4,11.8,21.0,-0.32,11.06,0.82,-308.2,-1.323861868,13.0,-4.513191,-12.48,-24.69,-76.55,-59.41,-4062.64,-13.89,-5.99,29.68,28.33,-801.93,766.15,0.0,0.0,0.0,0.0,0.0,11.8714,1961.74,0.000212,-7.1370000000000005,19.368,30.537,15.285,-243.94099999999997,-3.281,1.3530000000000002,0.0,-136.44,203.19,-320.42,-77.43,2189.7110000000002,30.1159515843,-1.676,1.64,0.1342,-0.5339,-129.1,-3807.0,11.75,-0.2282,-3948.0,-1.79,1.03,-0.9079999999999999,2.9960000000000004,-48.98,-581.2,0.7924,2.1719999999999997,-628.8,-4475.397207,-4550.604243,4815.36,-1285.21,6100.58,0.1178,0.0,0.0,0.0,-8.856183999999999,-13.613076999999999,-12.441972,-27.167509999999996,-18.522963649,9.68741,0.005123,73
swarm_100_79.pdb,3,3,8,3,20,6,10,3,16,1,0,7,1,3,0,0.5166666666666667,0.4666666666666666,0.5666666666666667,0.5683333333333332,0.45125,0.46950000000000003,0.42400000000000004,0.49333333333333335,0.44437499999999996,0.0,0.38666666666666666,0.52,0.0,0.9,0.6971428571428573,1.7,3.4099999999999997,3.61,9.39,4.24,1.48,7.109999999999999,0.0,1.16,0.52,0.0,0.9,4.880000000000001,34.77,34.2,2525.0600000000013,1238.2000000000007,1286.8500000000004,1.7320508075688772,1.7320508075688772,3.1622776601683795,0.0,1.7320508075688772,4.0,1.7320508075688772,2.8284271247461903,4.47213595499958,2.449489742783178,0.0,1.0,2.6457513110645907,1.0,1.7320508075688772,1.1648,3.2319999999999998,3.84,-1.6,-25.6,-209.6,5.36,-199.2,186.5,2.72,0.018244,4.24,33.4,15.6,-24.4,104.36399999999999,6.6,19.8,25.4,0.22,13.92,13.94,-334.6,1.333710038,-14.3,-6.2941519999999995,-14.64,-32.535,-45.19,-35.73,-6300.0,-9.01,-21.14,-23.51,24.32,-1171.19,784.69,0.0,0.0,0.0,0.0,0.0,-85.4349,706.0830000000001,0.00020800000000000001,-17.247,23.719,-22.763,4.196000000000001,-130.51,-3.8339999999999996,-1.354,0.0,-266.83,96.14,-289.48,-74.34,-1989.606,22.6565449573,-2.7119999999999997,2.728,0.1223,-2.1719999999999997,42.8,-3805.0,11.89,12.49,-3762.0,-2.419,2.115,0.4375,2.445,35.2,-636.5,5.874,2.878,-604.3,-5333.5160590000005,-5436.060619,4257.98,-1660.04,5918.02,-0.051,0.0,0.0,0.0,-4.2424599999999995,-7.047113,2.903295,-15.254729000000001,-21.186821878699998,6.63785,0.011262000000000001,84
swarm_100_88.pdb,2,3,5,2,10,6,11,1,12,0,1,4,0,0,0,0.53,0.37,0.6033333333333334,0.5616666666666666,0.46799999999999997,0.3970000000000001,0.46181818181818185,0.56,0.5066666666666667,0.0,0.0,0.0,0.58,0.0,0.6175,1.81,3.37,2.34,3.9700000000000006,5.08,0.56,6.08,0.0,0.0,0.0,0.58,0.0,2.47,34.38,34.38,2087.209999999999,957.3499999999985,1129.8600000000006,1.4142135623730951,1.4142135623730951,3.3166247903554,0.0,1.0,3.4641016151377544,1.7320508075688772,2.23606797749979,3.1622776601683795,2.449489742783178,1.0,0.0,2.0,0.0,0.0,-2.1832,-4.782,-3.6,-12.0,-28.8,-155.4,3.0,-131.98,124.94,-4.08,-0.0038200000000000005,-7.4,27.4,8.6,-22.6,126.876,0.6,6.2,15.0,2.06,3.86,5.02,-229.2,-1.712100584,6.3,-10.653116,-14.82,-25.643,-52.11,-45.73,-4180.47,-3.93,0.29,-62.66,-8.97,-985.93,-271.85,0.0,0.0,0.0,0.0,0.0,-82.5544,-88.435,0.00023500000000000002,-17.834,14.392000000000001,-55.827,-9.025,-122.605,-3.71,-1.38,0.0,-183.63,147.04,-282.78,-122.6,-2127.048,18.4513609221,-3.202,3.2680000000000002,0.9677,-1.885,4.9,-2907.0,14.04,-10.46,-2926.0,-2.8789999999999996,2.613,-0.7607,1.305,43.29,-519.0,1.9180000000000001,4.128,-473.5,-4585.765278,-4652.488574,2966.0,-1237.18,4203.16,-0.1363,0.0,0.0,0.0,-9.979557000000002,-14.806869,-13.327260999999998,-18.988942,-22.672354160700003,8.4212,0.009351,57
swarm_100_98.pdb,3,6,13,8,14,7,22,8,16,0,3,4,5,1,0,0.4466666666666666,0.5075,0.5983333333333333,0.45285714285714285,0.3984615384615384,0.4292857142857143,0.4290909090909091,0.5487500000000001,0.50875,0.0,0.48,0.6660000000000001,0.7566666666666667,0.0,0.5800000000000001,3.59,3.17,5.18,6.010000000000001,9.44,4.390000000000001,8.14,0.0,0.48,3.3300000000000005,2.27,0.0,2.3200000000000003,34.03,34.33,2781.869999999999,1292.6500000000015,1489.2199999999993,1.7320508075688772,2.8284271247461903,4.69041575982343,0.0,2.8284271247461903,4.0,2.449489742783178,3.605551275463989,3.7416573867739413,2.6457513110645907,1.7320508075688772,0.0,2.0,2.23606797749979,1.0,-0.89,-4.008,2.24,-21.2,-48.2,-340.8,10.44,-273.3,276.18,-5.02,0.08492999999999999,-10.42,69.0,29.8,-43.0,216.138,5.4,25.0,42.8,-3.98,9.46,24.0,-495.8,-2.0108939594,4.5,-6.366395,-19.88,-35.452,-76.53,-73.64,-6783.89,15.54,-3.44,133.85,124.3,-1371.98,979.35,0.0,0.0,0.0,0.0,0.0,-78.9598,901.084,0.000234,-4.995,16.985,74.093,19.399,-268.809,-5.667000000000001,-0.5589999999999999,0.0,-156.39,284.48,-781.82,19.12,958.7589999999999,3.8855583858699996,-1.4169999999999998,1.479,0.2266,-1.5830000000000002,-283.8,-5288.0,19.69,-38.39,-5630.0,-1.526,0.9045,0.3547,4.544,-63.35,-815.6,12.04,3.69,-887.3,-5770.553118,-5870.678978,5353.4,-1810.63,7164.03,0.2271,0.0,0.0,0.0,-11.914783,-18.738626999999997,-15.510694,-32.740871000000006,-21.363903085,26.0672,0.004964,110
