Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_194.pdb,2,0,2,7,7,4,7,1,13,0,2,2,1,0,0,0.425,0.41428571428571426,0.0,0.655,0.445,0.2942857142857142,0.48142857142857143,0.44,0.4284615384615384,0.0,0.0,0.83,0.46,0.0,0.7,0.0,2.62,0.89,2.0599999999999996,3.37,0.44,5.569999999999999,0.0,0.0,0.83,0.92,0.0,1.4,24.75,36.03,1509.2799999999988,739.4500000000007,769.8400000000001,1.4142135623730951,2.6457513110645907,2.6457513110645907,0.0,1.0,3.605551275463989,0.0,1.4142135623730951,2.6457513110645907,2.0,1.4142135623730951,0.0,1.4142135623730951,1.0,0.0,1.943,0.39,1.42,-7.4,-9.8,-120.4,7.96,-91.2,102.02,-0.72,0.053882000000000006,-5.44,34.4,18.6,-5.4,94.088,7.6,15.8,20.2,3.6,15.62,3.4,-180.0,-0.18826648199999999,8.9,-9.097102,-11.05,-22.522,-32.07,-23.28,-2562.73,9.39,-2.13,-27.61,-16.09,-922.47,-495.03,0.0,0.0,0.0,0.0,0.0,-0.13456500000000002,9.88595,0.00043200000000000004,6.167000000000001,21.125,-46.896,22.603,-97.656,-6.575,-4.72,0.0,-140.24,98.9,-254.95,-4.12,-4622.543,32.7213654062,-2.408,2.551,1.351,-1.5219999999999998,11.55,-2657.0,13.99,-22.56,-2682.0,-1.975,1.558,-0.8779,1.954,44.0,-421.8,2.537,-2.96,-383.3,-4278.203114,-4332.055337,2272.22,-1132.03,3404.24,0.3322,0.0,0.0,0.0,-0.111278,-3.5090739999999996,-3.042037,-9.887603,-9.29063032999,2.8216,0.004396,48
swarm_100_160.pdb,2,6,0,1,0,3,7,1,3,4,0,0,3,0,1,0.435,0.44,0.525,0.5499999999999999,0.0,0.0,0.43714285714285717,0.56,0.58,0.44,0.0,0.7799999999999999,0.0,0.89,0.0,3.1500000000000004,1.65,0.0,0.0,3.06,0.56,1.74,0.44,0.0,2.34,0.0,3.56,0.0,25.12,36.96,1055.6100000000006,415.1299999999992,640.4700000000012,1.4142135623730951,1.0,2.6457513110645907,1.0,1.0,1.7320508075688772,2.449489742783178,0.0,0.0,1.7320508075688772,0.0,2.0,0.0,1.7320508075688772,0.0,0.7196,-3.162,-2.44,-7.2,-8.2,-65.2,1.48,-42.96,47.2,-2.9,-0.00899,-4.24,11.8,4.6,-6.6,10.036,1.2,4.0,6.8,1.06,-3.66,1.44,-81.0,0.165351244,-2.7,-9.887506,-9.79,-18.373,-26.46,-22.27,-3456.13,-9.12,-5.37,-47.78,-18.89,-836.47,-622.15,0.0,0.0,0.0,0.0,0.0,-50.8288,-133.59799999999998,0.000538,-6.965,-11.890999999999998,-39.958,-22.851,-199.81,0.607,4.4030000000000005,0.0,-105.37,45.77,-197.19,-85.76,-6939.889,9.13497098209,-2.859,2.725,-0.8529,0.2894,46.46,-1666.0,-1.507,6.1370000000000005,-1611.0,-3.0580000000000003,2.405,-1.8980000000000001,2.326,-1.1740000000000002,-291.2,-1.087,0.48700000000000004,-290.8,-3840.8121380000002,-3866.464007,1665.83,-956.8,2622.63,-0.16,0.0,0.0,0.0,-1.924459,-1.765893,-7.483208,-6.709842999999999,-12.8482891347,1.39951,0.005032,31
swarm_100_164.pdb,1,4,8,7,4,2,14,5,5,1,2,4,2,6,1,0.55,0.4028571428571429,0.5725,0.77,0.47124999999999995,0.355,0.43428571428571416,0.546,0.45,0.48,0.4633333333333333,0.7,0.595,0.9,0.6675,2.29,1.54,3.7699999999999996,1.42,6.079999999999998,2.7300000000000004,2.25,0.48,2.78,1.4,1.19,0.9,2.67,24.82,35.87,1877.3400000000001,911.9400000000005,965.3999999999978,1.0,2.6457513110645907,3.7416573867739413,1.0,2.23606797749979,2.23606797749979,2.0,2.8284271247461903,2.0,1.4142135623730951,1.4142135623730951,1.0,2.0,1.4142135623730951,2.449489742783178,-3.0266,-8.533999999999999,-5.5,-11.8,-36.0,-209.4,-1.32,-180.52,153.22,-3.92,-0.046656,-5.56,29.8,11.4,-28.0,88.882,-2.2,5.2,9.2,-10.0,-0.06,1.58,-285.8,-0.29533776219999996,-5.1,-8.044567,-17.92,-26.776999999999997,-57.44,-47.82,-5376.83,-30.88,-13.02,-32.83,-12.91,-1392.66,-275.88,0.0,0.0,0.0,0.0,0.0,-71.4857,119.85600000000001,0.00034700000000000003,-11.544,7.912000000000001,-17.097,-5.3420000000000005,-291.997,-1.5959999999999999,3.952,0.0,-181.3,42.07,-848.51,28.91,-160.834,7.350400689610001,-1.08,1.0590000000000002,0.1872,0.4066,-158.4,-3141.0,8.56,-14.78,-3322.0,-1.1520000000000001,0.3837,-1.577,2.738,-10.42,-496.3,1.139,0.96,-506.9,-4802.8580950000005,-4886.995443,1814.65,-1390.27,3204.93,-0.14300000000000002,0.0,0.0,0.0,-9.40859,-13.927439000000001,-3.130737,-11.831083,-15.0480174533,3.2232,0.002788,66
swarm_100_19.pdb,6,2,5,2,4,8,9,1,8,3,1,5,10,2,2,0.43,0.355,0.535,0.5000000000000001,0.45199999999999996,0.42000000000000004,0.4333333333333333,0.5,0.4774999999999999,0.44500000000000006,0.43999999999999995,0.6119999999999999,0.62,0.9266666666666666,0.7379999999999999,1.07,4.000000000000001,2.26,1.6800000000000002,3.8999999999999995,0.5,3.8199999999999994,0.8900000000000001,0.8799999999999999,6.119999999999999,0.62,2.78,3.6899999999999995,24.94,36.08,2174.300000000003,995.6900000000005,1178.6000000000004,2.449489742783178,1.4142135623730951,3.0,1.4142135623730951,1.0,2.8284271247461903,1.4142135623730951,2.23606797749979,2.0,2.8284271247461903,1.0,1.7320508075688772,2.23606797749979,3.1622776601683795,1.4142135623730951,-0.4014,-5.577999999999999,-2.7,-9.6,-23.0,-134.6,3.26,-120.42,117.98,-2.76,0.09682400000000001,-3.48,21.0,5.8,-19.8,49.974,-0.4,9.6,13.8,-0.24,5.98,5.48,-216.6,0.3038969426,-13.1,-12.576261,-18.91,-31.410999999999998,-44.73,-40.92,-5773.03,-26.74,-9.07,-16.66,-4.11,-1354.71,-437.11,0.0,0.0,0.0,0.0,0.0,-42.286,-94.1181,0.00022400000000000002,-5.551,-1.206,-24.486,-9.206,-435.149,-2.479,5.789,0.0,-100.18,63.77,-436.78,-102.05,-857.783,17.4769654511,-3.0260000000000002,2.9760000000000004,1.2409999999999999,1.402,257.1,-3464.0,10.66,32.19,-3185.0,-2.289,1.93,-0.2544,2.209,80.82,-602.8,5.631,4.9110000000000005,-522.7,-5249.176132,-5310.366172,2780.04,-1603.64,4383.68,-0.1129,0.0,0.0,0.0,-9.207673,-8.466264,-11.447346000000001,-16.262595,-17.2665356609,2.14867,0.006618000000000001,68
swarm_100_37.pdb,6,1,8,0,6,1,12,8,0,0,1,0,0,3,0,0.4633333333333333,0.0,0.49,0.57,0.46499999999999997,0.3183333333333333,0.43999999999999995,0.505,0.0,0.0,0.48666666666666664,0.0,0.62,0.0,0.0,0.49,0.57,3.7199999999999998,1.91,5.279999999999999,4.04,0.0,0.0,1.46,0.0,0.62,0.0,0.0,24.58,36.75,1705.0700000000033,788.5100000000002,916.5500000000011,2.449489742783178,0.0,3.4641016151377544,0.0,2.8284271247461903,0.0,1.0,2.8284271247461903,2.449489742783178,1.0,1.0,0.0,0.0,0.0,1.7320508075688772,2.6656,2.5140000000000002,4.74,-2.0,-14.6,-152.4,5.22,-118.44,118.22,1.46,0.024796000000000002,1.48,29.8,19.0,-9.0,21.592,6.0,12.6,16.4,0.18,15.2,17.26,-199.6,0.5423416557999999,6.3,-7.340578999999999,-12.62,-23.579,-38.45,-37.38,-3178.95,-26.74,5.15,-31.7,-2.03,-1154.77,-423.06,0.0,0.0,0.0,0.0,0.0,-46.515,-13.8256,0.00037200000000000004,-6.981,20.936999999999998,-35.412,10.415,-71.279,-3.176,-1.8219999999999998,0.0,-51.22,97.11,-521.12,47.75,1728.721,11.079971448499998,-2.37,2.364,-0.6624,-1.801,-260.2,-2728.0,1.189,5.803999999999999,-2984.0,-1.308,1.3980000000000001,0.6179,0.4505,-19.94,-381.6,7.362,-3.0980000000000003,-412.0,-4435.178499000001,-4525.504295000001,1784.94,-1174.38,2959.33,0.0816,0.0,0.0,0.0,-1.7542470000000001,-3.8813730000000004,-2.765262,-16.055539000000003,-15.007481048599999,3.0489599999999997,0.002522,46
swarm_100_49.pdb,2,8,4,3,4,4,11,5,3,0,1,2,2,3,1,0.45999999999999996,0.45333333333333337,0.585,0.66,0.4225,0.29,0.4645454545454546,0.528,0.77,0.48,0.6266666666666666,0.47,0.73,0.0,0.635,4.68,2.64,1.69,1.16,5.11,2.64,2.31,0.48,1.88,0.94,0.73,0.0,1.27,24.64,36.36,2036.1899999999987,986.0799999999999,1050.1099999999988,1.4142135623730951,1.7320508075688772,3.3166247903554,1.0,2.23606797749979,1.7320508075688772,2.8284271247461903,2.0,2.0,2.0,1.0,0.0,1.4142135623730951,1.4142135623730951,1.7320508075688772,0.6282,-0.068,-2.16,-9.4,-30.0,-178.2,0.16,-152.14,132.7,-2.5,0.043252,-2.78,28.6,13.4,-18.0,93.92200000000001,-0.8,5.6,11.4,-4.86,0.74,10.96,-242.2,1.3885905159999998,-7.0,-9.663098,-17.22,-27.98,-50.66,-44.49,-4277.21,-19.69,-9.41,-39.46,-13.39,-1295.27,-438.39,0.0,0.0,0.0,0.0,0.0,-71.3206,51.6791,0.00024300000000000002,-20.48,2.401,-27.883000000000003,-20.866999999999997,-317.289,1.235,7.263,0.0,-91.26,47.12,-658.03,-138.27,138.81799999999998,12.8660643876,-1.3019999999999998,1.261,-0.3026,-0.2893,64.92,-3249.0,0.7875,11.36,-3174.0,-1.7619999999999998,0.7353,-2.458,3.031,7.781000000000001,-469.9,-3.1510000000000002,4.168,-454.8,-4893.060407,-4961.357282,1798.73,-1453.51,3252.24,-0.2468,0.0,0.0,0.0,0.041963,-4.081843,-10.844365,-17.759033,-16.703131673399998,5.1647300000000005,0.004151,53
swarm_100_51.pdb,2,3,1,4,4,5,7,0,3,1,0,0,1,0,2,0.51,0.515,0.6333333333333333,0.5780000000000001,0.5,0.38249999999999995,0.45857142857142863,0.0,0.58,0.53,0.0,0.68,0.0,0.78,0.0,1.9,2.89,0.5,1.5299999999999998,3.2100000000000004,0.0,1.74,1.06,0.0,0.68,0.0,0.78,0.0,24.64,36.23,1486.4799999999996,671.9500000000007,814.5299999999988,1.4142135623730951,2.0,2.6457513110645907,1.4142135623730951,0.0,1.7320508075688772,1.7320508075688772,1.0,2.0,2.23606797749979,0.0,1.0,0.0,1.0,0.0,1.5224,-0.19399999999999998,3.8,-3.2,-8.0,-82.6,4.96,-69.42,72.58,0.98,-0.033906,-2.08,19.4,10.6,-3.8,32.54,4.4,9.6,13.0,0.74,1.18,2.18,-129.0,0.2098058,-0.4,-8.669428,-14.82,-23.305999999999997,-35.87,-29.25,-3669.5,-9.06,3.15,-10.65,-7.92,-1158.69,-670.83,0.0,0.0,0.0,0.0,0.0,-39.2721,-38.7382,0.00033999999999999997,-1.402,-7.768,-28.521,-12.023,-339.452,-0.021,6.428999999999999,0.0,-78.32,46.42,-388.87,-146.94,-5426.965,4.984848540280001,-1.854,1.851,0.7257,0.07868,173.5,-2448.0,4.74,0.4833,-2278.0,-1.808,1.06,-1.561,2.324,24.44,-394.4,-0.8494,2.5069999999999997,-366.6,-4375.513658,-4414.142108,1746.02,-1194.34,2940.36,-0.0557,0.0,0.0,0.0,5.147667,5.175045,-2.220694,-10.368319,-15.549061512,2.38137,0.006333,33
swarm_100_53.pdb,2,6,0,0,1,5,3,6,2,2,0,3,3,0,0,0.45,0.0,0.49666666666666665,0.628,0.0,0.47,0.3866666666666667,0.48333333333333334,0.37,0.0,0.0,0.73,0.0,0.88,0.7066666666666667,2.98,3.14,0.0,0.47,1.1600000000000001,2.9,0.74,0.0,0.0,2.19,0.0,1.76,2.12,25.3,36.5,1023.119999999999,393.5400000000009,629.590000000002,1.4142135623730951,0.0,1.7320508075688772,0.0,2.449489742783178,1.4142135623730951,2.449489742783178,0.0,1.0,2.23606797749979,0.0,1.4142135623730951,1.7320508075688772,1.7320508075688772,0.0,0.8326,-3.614,-0.94,-10.0,-15.2,-94.4,0.48,-77.28,74.7,-3.14,-0.016384,-4.68,9.2,0.4,-15.6,34.158,1.11022302463e-16,3.4,8.6,1.24,4.4,5.38,-133.4,0.0096425988,-13.8,-8.285321000000001,-13.48,-19.84,-35.57,-32.9,-3175.17,-32.72,-15.69,-47.58,-27.29,-828.67,-426.54,0.0,0.0,0.0,0.0,0.0,-33.0401,-99.8129,0.000615,-7.439,-15.273,-23.018,-25.014,-200.114,0.625,4.427,0.0,-134.8,10.16,-337.92,-111.88,-2693.4120000000003,4.13036887348,-2.421,2.3280000000000003,-0.8226,-0.07281,36.24,-1798.0,-0.86,-5.101,-1766.0,-2.499,1.7790000000000001,-1.767,2.2769999999999997,-10.33,-303.0,-0.7958,-0.87,-313.4,-4050.1894909999996,-4087.638462,908.95,-1049.46,1958.41,-0.18,0.0,0.0,0.0,-4.650379,-5.2327650000000006,-9.102774,-13.838403,-13.045062966500002,1.8252700000000002,0.006182,33
swarm_100_78.pdb,2,2,1,5,0,4,4,2,7,0,1,2,2,6,4,0.52,0.38,0.51,0.6475,0.35,0.0,0.4675,0.52,0.55,0.46,0.45166666666666666,0.675,0.67,0.0,0.615,1.02,2.59,0.35,0.0,1.87,1.04,3.85,1.84,2.71,1.35,0.67,0.0,1.23,24.82,36.28,1683.7799999999988,863.8499999999985,819.9200000000001,1.4142135623730951,2.23606797749979,2.0,2.0,1.4142135623730951,2.6457513110645907,1.4142135623730951,1.0,0.0,2.0,1.0,0.0,1.4142135623730951,1.4142135623730951,2.449489742783178,1.0959999999999999,-7.276,-4.98,-10.4,-20.0,-100.8,0.28,-103.56,94.58,-4.24,0.01294,-8.12,18.4,6.4,-12.6,37.938,2.0,8.2,7.6,-0.16,6.72,0.1,-186.8,-1.152664348,-8.7,-7.167686,-10.13,-22.653000000000002,-36.31,-27.86,-3740.35,-7.55,1.79,6.2,0.19,-942.01,-191.46,0.0,0.0,0.0,0.0,0.0,-40.8848,96.126,0.000376,-5.638,10.645999999999999,-20.043,3.003,-180.02200000000002,-2.835,0.586,0.0,-55.82,47.74,-302.7,-45.72,-2666.461,19.9865401997,-3.167,3.056,1.112,1.141,-10.27,-2620.0,6.415,17.38,-2620.0,-2.9939999999999998,2.097,-0.987,3.1519999999999997,-19.62,-393.5,1.865,6.585,-408.4,-4328.604889,-4368.376568,2936.66,-1194.33,4131.01,0.0056,0.0,0.0,0.0,-3.205227,-2.337057,-9.090861,-6.912859,-13.4855625629,1.42177,0.005619,42
swarm_100_90.pdb,4,7,3,4,2,1,10,1,2,2,1,3,2,2,4,0.435,0.3825,0.5514285714285715,0.46,0.4566666666666666,0.33999999999999997,0.491,0.55,0.505,0.36500000000000005,0.44499999999999995,0.7050000000000001,0.67,0.6950000000000001,0.7133333333333333,3.8600000000000003,0.46,1.3699999999999999,0.6799999999999999,4.91,0.55,1.01,1.4600000000000002,0.8899999999999999,1.4100000000000001,0.67,1.3900000000000001,2.1399999999999997,25.06,36.63,1381.3100000000013,671.6500000000015,709.6700000000001,2.0,2.0,3.1622776601683795,2.0,1.0,1.4142135623730951,2.6457513110645907,1.7320508075688772,1.4142135623730951,1.0,1.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.4142135623730951,0.6298,-0.5379999999999999,0.6,-6.2,-23.2,-153.4,0.6,-128.86,119.42,-0.52,0.05057,-2.06,12.0,4.6,-17.4,-6.32,1.2,9.0,9.0,-7.4,2.42,10.76,-220.8,1.200083014,-6.4,-8.812327999999999,-9.34,-19.965,-48.66,-30.93,-4600.09,-29.36,-7.82,-47.54,-2.81,-976.66,-408.1,0.0,0.0,0.0,0.0,0.0,-27.836,248.614,0.00044800000000000005,-9.725,6.192,13.093,-2.224,-210.222,-1.768,2.226,0.0,-55.75,1.96,-485.93,-69.89,-3879.1059999999998,12.457363071400001,-2.508,2.438,-0.5374,-0.04034,-100.1,-2061.0,0.3554,5.228,-2156.0,-1.829,1.6230000000000002,0.06112000000000001,1.5190000000000001,-17.88,-361.3,4.4910000000000005,-1.825,-385.5,-4071.2793049999996,-4115.443932,1765.61,-1049.42,2815.01,0.0231,0.0,0.0,0.0,-7.230275999999999,-11.995358999999999,-13.336758999999999,-17.370495000000002,-12.0497318575,2.1585,0.004771,48
