Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_163.pdb,3,3,2,3,3,8,6,1,6,1,0,0,4,3,3,0.38999999999999996,0.57,0.4266666666666666,0.5837500000000001,0.54,0.26666666666666666,0.5433333333333333,0.48,0.6033333333333333,0.4100000000000001,0.43999999999999995,0.49250000000000005,0.0,0.98,0.0,1.2799999999999998,4.670000000000001,1.08,0.8,3.26,0.48,3.6199999999999997,1.2300000000000002,1.3199999999999998,1.9700000000000002,0.0,0.98,0.0,27.18,39.6,1392.5099999999984,641.6499999999996,750.8600000000006,1.7320508075688772,1.7320508075688772,2.449489742783178,1.7320508075688772,1.0,2.449489742783178,1.7320508075688772,1.4142135623730951,1.7320508075688772,2.8284271247461903,0.0,1.0,0.0,2.0,1.7320508075688772,2.1006,2.3680000000000003,1.86,-3.0,-4.0,-83.8,2.92,-85.86,88.9,0.28,0.04312,0.1,14.6,7.8,-7.0,38.552,10.6,17.8,19.6,2.86,6.76,-2.06,-154.6,-0.0538034828,-5.6,-8.638532000000001,-12.09,-22.516,-31.53,-23.37,-3306.13,-3.43,-2.76,-24.25,5.68,-960.81,-272.2,0.0,0.0,0.0,0.0,0.0,-60.3541,89.954,0.000534,-19.131,-1.786,-45.836999999999996,-25.5,-181.183,0.956,4.398,0.0,-93.43,61.64,-406.8,44.0,-2501.7670000000003,14.3577223531,-2.289,2.274,-0.2372,-1.001,-18.86,-2177.0,0.3592,-12.59,-2209.0,-1.443,1.0979999999999999,-1.097,0.9772,45.08,-347.6,1.0090000000000001,-0.2709,-303.8,-4050.503557,-4092.729371,1575.2,-1094.43,2669.63,-0.0426,0.0,0.0,0.0,-0.44018999999999997,0.440589,-10.884971,-11.084732,-10.6445731384,3.22533,0.007913,46
swarm_0_196.pdb,3,6,3,11,2,2,9,3,5,2,0,2,4,2,2,0.5,0.40272727272727277,0.5850000000000001,0.545,0.4666666666666666,0.355,0.47777777777777786,0.49,0.502,0.495,0.44499999999999995,0.6075,0.0,0.9,0.635,3.5100000000000002,1.09,1.4,0.71,4.300000000000001,1.47,2.51,0.99,0.8899999999999999,2.43,0.0,1.8,1.27,27.34,39.45,1461.630000000001,679.6800000000003,781.9499999999989,1.7320508075688772,3.3166247903554,3.0,1.4142135623730951,1.7320508075688772,2.23606797749979,2.449489742783178,1.7320508075688772,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,2.0,1.4142135623730951,2.1238,-1.52,0.6,-6.2,-17.0,-121.6,3.5,-119.58,121.88,-1.22,0.027174,-1.12,21.0,10.4,-11.0,39.608000000000004,7.0,16.6,19.8,4.56,5.36,-5.32,-210.4,0.0300964338,-3.6,-7.854286999999999,-12.39,-24.246,-45.06,-35.9,-4066.8,14.96,0.05,50.87,43.69,-843.59,236.57,0.0,0.0,0.0,0.0,0.0,26.4078,1432.88,0.00042300000000000004,-4.1419999999999995,-2.406,16.582,-4.89,-171.993,-4.298,-1.03,0.0,-91.93,102.19,-474.17,61.57,-9571.723,24.034960648000002,-1.719,1.6769999999999998,-0.2932,-0.2066,-71.07,-2460.0,0.4444,-19.18,-2551.0,-1.075,0.6085,-0.3157,2.414,41.39,-447.4,4.6419999999999995,-3.2439999999999998,-413.9,-4256.576693,-4313.143752,1429.4,-1217.42,2646.82,-0.0404,0.0,0.0,0.0,0.32671100000000003,-1.7572020000000002,-8.369808,-18.718805,-14.0975414707,2.84861,0.005321,56
swarm_0_49.pdb,0,2,4,2,5,5,12,0,5,0,0,0,0,3,1,0.0,0.37,0.605,0.534,0.40750000000000003,0.33799999999999997,0.48000000000000004,0.0,0.6519999999999999,0.34,0.4333333333333333,0.0,0.0,0.0,0.0,1.21,2.67,1.6300000000000001,1.69,5.760000000000001,0.0,3.26,0.34,1.2999999999999998,0.0,0.0,0.0,0.0,26.6,40.07,1418.6599999999999,736.7999999999993,681.8700000000008,0.0,1.4142135623730951,3.4641016151377544,1.0,0.0,2.23606797749979,1.4142135623730951,2.0,2.23606797749979,2.23606797749979,0.0,0.0,0.0,0.0,1.7320508075688772,1.3146,-6.2860000000000005,-1.28,-9.8,-11.4,-88.0,4.6,-73.34,82.68,-3.44,0.012516,-6.1,25.4,9.0,-12.4,69.11,8.0,11.8,18.8,2.88,8.74,2.8,-140.8,-1.4792696896000002,13.0,-5.088483,-9.78,-21.529,-26.4,-24.71,-3077.34,-11.92,-5.45,-59.8,-8.43,-969.14,-307.97,0.0,0.0,0.0,0.0,0.0,-66.0069,38.7064,0.00042199999999999996,-25.836,22.38,-23.421,-5.797999999999999,-68.021,-3.234,-1.9409999999999998,0.0,-73.82,135.75,-92.22,-22.31,517.446,30.2138983081,-2.636,2.678,0.6305,-0.8397,58.08,-2298.0,6.525,-20.85,-2267.0,-1.295,1.01,-0.2301,2.206,41.08,-347.0,3.64,1.656,-307.9,-3944.645992,-3989.922186,2915.43,-1038.01,3953.46,-0.0411,0.0,0.0,0.0,-4.697832,-3.8462739999999997,-6.0051879999999995,-8.045639999999999,-11.8283387698,3.3946400000000003,0.00759,39
swarm_0_72.pdb,3,1,1,9,1,3,4,0,1,0,2,1,4,4,5,0.49,0.2977777777777778,0.49,0.45,0.53,0.31,0.5325,0.0,0.03,0.45599999999999996,0.4075,0.845,0.5449999999999999,0.0,0.67,0.49,1.35,0.53,0.31,2.13,0.0,0.03,2.28,1.63,3.38,1.0899999999999999,0.0,0.67,27.84,38.83,1276.3100000000013,419.9200000000001,856.3999999999996,1.7320508075688772,3.0,2.0,2.23606797749979,0.0,1.0,1.0,1.0,1.0,1.7320508075688772,1.4142135623730951,0.0,1.0,2.0,2.0,1.8090000000000002,-4.644,-2.84,-5.2,-18.0,-133.6,-0.74,-133.08,104.98,-0.86,-0.034122,-2.42,14.2,12.2,-3.8,-2.6839999999999997,-1.0,7.4,5.8,-1.46,4.38,0.5,-208.0,-0.1172561548,-2.5,-8.946257000000001,-15.37,-21.38,-28.8,-21.99,-2077.97,-18.24,-7.05,-50.12,-10.82,-886.41,-579.84,0.0,0.0,0.0,0.0,0.0,-36.6897,-48.0483,0.0005269999999999999,-4.1,-4.779,-41.07,-12.985999999999999,-104.031,-2.855,-0.878,0.0,-61.65,-48.33,-587.79,66.42,-5187.84,15.1565862875,-2.267,2.226,0.5605,0.1398,-195.0,-2120.0,4.513999999999999,19.97,-2299.0,-1.6740000000000002,1.34,-0.4579,1.618,-6.301,-245.6,1.3769999999999998,3.0780000000000003,-250.2,-3984.099643,-4033.548275,587.39,-1003.03,1590.42,-0.0914,0.0,0.0,0.0,1.90192,-0.21288600000000002,5.6040779999999994,0.884741,-13.2600225905,1.66285,0.004564,39
swarm_0_82.pdb,6,3,1,3,4,1,3,2,4,0,0,1,4,4,5,0.4933333333333334,0.40666666666666673,0.59,0.53,0.53,0.30999999999999994,0.42333333333333334,0.495,0.495,0.48,0.40499999999999997,0.8499999999999999,0.0,0.0,0.5,1.77,0.53,0.53,1.2399999999999998,1.27,0.99,1.98,2.4,1.6199999999999999,3.3999999999999995,0.0,0.0,0.5,27.74,39.38,1211.8099999999977,458.9400000000005,752.880000000001,2.449489742783178,1.7320508075688772,1.7320508075688772,2.23606797749979,1.4142135623730951,2.0,1.7320508075688772,1.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.9404,0.10800000000000001,-0.82,-1.4,-9.6,-83.6,-0.3,-84.08,64.52,0.52,-0.009696,-0.88,11.0,9.0,-1.0,2.084,-1.4,4.6,3.4,-4.2,-3.64,-4.02,-127.8,0.26811466,-3.2,-9.918953,-13.19,-21.85,-27.56,-12.15,-2503.56,-31.59,-8.11,-43.42,-11.85,-948.35,-378.56,0.0,0.0,0.0,0.0,0.0,-48.47,132.086,0.00042800000000000005,-9.392999999999999,-5.432,-17.559,-16.582,-145.474,0.703,3.467,0.0,-41.39,-43.2,-686.34,112.54,-9028.808,20.1657808255,-2.021,1.955,0.1843,0.7339,-240.7,-1973.0,3.448,0.0058,-2217.0,-1.492,0.7443,-1.983,1.85,-7.091,-250.6,-1.7830000000000001,0.508,-255.4,-3995.0670520000003,-4061.3234450000004,925.54,-1035.11,1960.65,-0.1462,0.0,0.0,0.0,1.576969,0.355451,-0.121245,-1.941659,-14.4325045337,12.4134,0.0043170000000000005,41
swarm_0_93.pdb,2,0,5,8,7,0,10,0,9,0,2,2,2,2,0,0.45,0.39375,0.0,0.0,0.4720000000000001,0.33,0.506,0.0,0.49,0.0,0.51,0.61,0.67,0.0,0.8,0.0,0.0,2.3600000000000003,2.31,5.06,0.0,4.41,0.0,1.02,1.22,1.34,0.0,1.6,27.46,39.32,1449.8600000000006,659.5500000000011,790.3199999999997,1.4142135623730951,2.8284271247461903,3.1622776601683795,0.0,0.0,3.0,0.0,2.23606797749979,2.6457513110645907,0.0,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.5826,-2.164,-0.12,-8.0,-11.2,-84.4,4.26,-70.9,79.02,-2.44,0.0026739999999999997,-5.02,23.2,11.6,-10.0,63.468,5.4,11.6,16.8,4.74,13.98,4.78,-140.2,-0.5345370748,8.0,-6.408011,-11.29,-25.529,-31.51,-25.13,-3303.8,-6.8,-6.83,28.14,38.6,-970.94,-221.95,0.0,0.0,0.0,0.0,0.0,-22.8475,619.121,0.000331,-19.937,15.45,16.13,-2.8739999999999997,-32.284,-2.891,-2.2769999999999997,0.0,-85.11,150.74,-194.45,74.49,-4625.384,38.3963324353,-3.215,3.3819999999999997,2.052,-1.409,-103.8,-2779.0,16.09,-29.43,-2928.0,-2.158,1.724,-1.7919999999999998,1.102,6.755,-400.3,-0.9467,-4.802,-397.4,-4343.228353,-4413.606972,3014.51,-1240.86,4255.37,-0.045,0.0,0.0,0.0,1.386195,1.098832,2.096064,-5.027801999999999,-14.2451008089,8.8389,0.008020000000000001,49
swarm_100_62.pdb,7,1,8,6,8,2,14,6,10,0,1,2,4,7,3,0.3942857142857143,0.325,0.4,0.43500000000000005,0.37,0.27125,0.4757142857142857,0.48,0.5189999999999999,0.4566666666666667,0.4699999999999999,0.71,0.46,0.0,0.78,0.4,0.8700000000000001,2.96,2.17,6.66,2.88,5.1899999999999995,1.37,3.2899999999999996,2.84,0.46,0.0,1.56,27.78,38.54,2393.290000000001,1054.17,1339.1200000000008,2.6457513110645907,2.449489742783178,3.7416573867739413,1.7320508075688772,2.449489742783178,3.1622776601683795,1.0,2.8284271247461903,2.8284271247461903,1.4142135623730951,1.0,0.0,1.4142135623730951,2.0,2.6457513110645907,7.0634,2.9,8.5,-4.0,-10.4,-244.2,11.26,-240.08,248.86,2.46,0.060364,1.18,59.6,41.0,-8.6,148.67600000000002,28.4,48.6,55.8,8.12,40.66,17.64,-419.6,1.4579498340000001,17.6,-11.398059,-23.67,-36.442,-72.6,-62.72,-5259.26,17.83,-3.29,39.7,23.87,-1556.98,-631.22,0.0,0.0,0.0,0.0,0.0,-93.4451,152.22799999999998,0.000225,-10.450999999999999,24.559,-39.321999999999996,10.176,-97.564,-9.539,-7.685,0.0,-121.14,142.16,-510.41,90.06,-72.2949999999,60.709928185,-2.762,2.7710000000000004,-0.009884,-0.9016,57.74,-5029.0,6.775,-87.37,-5066.0,-1.244,1.524,0.8531,-0.2544,67.28,-659.1,14.96,-12.32,-619.1,-5608.750793,-5691.772964,3228.75,-1758.62,4987.36,0.0939,0.0,0.0,0.0,2.430487,-1.19336,-0.7374,-14.748679999999998,-22.563747207,10.9573,0.006304,79
swarm_10_109.pdb,4,3,3,11,6,3,12,6,9,1,1,1,2,2,0,0.44499999999999995,0.38636363636363646,0.52,0.42666666666666675,0.44,0.4366666666666667,0.5216666666666667,0.4533333333333333,0.46222222222222226,0.0,0.675,0.76,0.58,0.98,0.5,1.56,1.2800000000000002,1.32,2.62,6.260000000000001,2.7199999999999998,4.16,0.0,1.35,1.52,0.58,0.98,0.5,26.74,39.58,1854.1399999999994,941.5599999999995,912.5799999999999,2.0,3.3166247903554,3.4641016151377544,0.0,2.449489742783178,3.0,1.7320508075688772,1.7320508075688772,2.449489742783178,1.7320508075688772,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,3.7552,1.9280000000000002,8.54,-6.2,-7.0,-131.2,11.12,-110.42,142.06,0.84,0.045606,1.8,42.4,23.2,-8.0,113.802,16.2,29.4,38.4,14.04,26.02,14.8,-225.4,0.915830612,5.2,-12.507478,-17.69,-27.666,-54.27,-47.66,-3065.82,35.43,-2.12,27.92,13.6,-1108.06,-612.46,0.0,0.0,0.0,0.0,0.0,-18.3632,-26.334,0.000317,1.594,14.258,-77.542,8.097999999999999,-181.32299999999998,-5.09,-1.645,0.0,-214.24,220.27,-248.64,-46.71,-341.925,30.379393539099997,-2.302,2.221,0.1262,0.7316,244.4,-3622.0,5.256,-30.25,-3414.0,-1.251,1.12,-0.2886,1.153,88.57,-542.5,6.03,-4.735,-464.7,-4599.585394,-4661.189471,2011.4,-1354.19,3365.59,0.0558,0.0,0.0,0.0,4.309685,1.3214629999999998,1.302211,-6.7843789999999995,-12.710198223399999,4.95972,0.003672,64
swarm_101_24.pdb,11,0,4,5,10,5,8,4,14,0,0,2,4,0,4,0.41727272727272735,0.41,0.0,0.6479999999999999,0.3975,0.44400000000000006,0.5162500000000001,0.475,0.5028571428571429,0.515,0.0,0.63,0.0,0.0,0.8,0.0,3.2399999999999998,1.59,4.44,4.130000000000001,1.9,7.040000000000001,2.06,0.0,2.52,0.0,0.0,1.6,26.87,39.12,1872.9099999999999,897.5300000000007,975.3799999999992,3.3166247903554,2.23606797749979,2.8284271247461903,2.0,2.0,3.7416573867739413,0.0,2.0,3.1622776601683795,2.23606797749979,0.0,0.0,1.4142135623730951,2.0,0.0,5.0704,1.984,6.38,-2.6,-10.6,-138.4,6.72,-166.48,168.76,1.34,0.086266,0.48,31.4,21.2,-6.0,139.02,20.0,32.6,38.2,8.86,19.34,10.12,-298.8,0.568119396,3.4,-10.6253,-15.91,-30.913,-56.35,-47.55,-3208.34,-19.73,-15.58,28.33,15.98,-1083.68,-208.62,0.0,0.0,0.0,0.0,0.0,-51.4479,104.64,0.000352,-11.945,16.078,-36.775999999999996,0.456,-171.13400000000001,-2.801,0.451,0.0,-139.05,191.82,-24.53,-66.7,2030.106,31.212420534299998,-2.207,2.241,-0.2408,-1.641,272.7,-3940.0,2.4659999999999997,-60.64,-3730.0,-0.7446,0.5757,-1.517,-1.07,83.16,-639.2,2.25,-17.91,-576.2,-4862.893136,-4914.47257,4020.23,-1514.55,5534.78,0.0791,0.0,0.0,0.0,-0.35659,-7.753265,-2.538354,-14.733316,-16.855989982,4.90321,0.005,71
swarm_101_34.pdb,7,4,8,17,6,6,10,2,3,0,3,2,6,19,7,0.47000000000000003,0.38882352941176473,0.535,0.5433333333333333,0.44125,0.39833333333333326,0.43200000000000005,0.505,0.3666666666666667,0.38,0.45578947368421063,0.6683333333333333,0.64,0.0,0.79,2.14,3.26,3.53,2.3899999999999997,4.32,1.01,1.1,2.66,8.660000000000002,4.01,1.92,0.0,1.58,27.05,38.08,2026.9599999999991,793.75,1233.210000000001,2.6457513110645907,4.123105625617661,3.1622776601683795,2.6457513110645907,1.4142135623730951,1.7320508075688772,2.0,2.8284271247461903,2.449489742783178,2.449489742783178,1.7320508075688772,0.0,1.4142135623730951,2.449489742783178,4.358898943540674,6.1534,-5.332000000000001,1.66,-2.2,-11.0,-199.4,4.64,-258.22,228.84,2.08,0.086676,2.98,49.2,38.0,2.2,60.226000000000006,26.0,37.4,39.8,4.32,11.06,12.78,-406.2,1.5785078684,3.7,-9.679805,-21.34,-36.457,-73.23,-48.43,-5781.94,1.37,-13.15,45.53,74.93,-957.44,1171.22,0.0,0.0,0.0,0.0,0.0,-82.3129,1270.8,0.000283,-15.210999999999999,11.235,103.98700000000001,6.422999999999999,-179.488,-5.765,-2.355,0.0,27.24,122.55,-782.14,358.89,-274.055,26.166367783200002,-2.7689999999999997,2.741,0.65,0.1256,-271.7,-4731.0,11.61,-4.46,-5019.0,-2.298,2.549,1.9080000000000001,1.054,-55.41,-667.2,19.17,-3.1239999999999997,-744.9,-5649.991819,-5749.1224,3438.61,-1868.21,5306.82,0.0449,0.0,0.0,0.0,-0.454003,0.739718,-4.043794,-14.445569,-23.567396317800004,18.7218,0.005220000000000001,100
