Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_103.pdb,1,3,0,0,5,5,14,9,8,0,1,1,0,0,0,0.53,0.0,0.5433333333333333,0.562,0.0,0.418,0.44571428571428573,0.5277777777777778,0.38875,0.0,0.0,0.0,0.58,0.0,0.94,1.63,2.81,0.0,2.09,6.24,4.75,3.11,0.0,0.0,0.0,0.58,0.0,0.94,33.21,35.7,1872.4900000000052,887.2800000000007,985.2199999999975,1.0,0.0,3.7416573867739413,0.0,3.0,2.8284271247461903,1.7320508075688772,0.0,2.23606797749979,2.23606797749979,1.0,0.0,1.0,0.0,0.0,-0.6284,-1.8219999999999998,-0.82,-13.2,-28.6,-175.0,8.04,-115.34,134.8,-3.68,0.041502,-5.5,37.8,13.8,-27.8,130.514,1.4,10.6,22.6,2.62,5.08,10.86,-234.6,0.85815196,14.7,-6.508406,-14.36,-28.994,-58.21,-47.47,-3862.57,-1.62,-8.65,-56.41,2.63,-1347.01,-451.49,0.0,0.0,0.0,0.0,0.0,-28.5617,206.084,0.000335,-11.755,14.117,-17.796,0.583,-95.156,-1.883,-0.075,0.0,-122.28,203.99,-217.41,-113.68,755.788,33.2412533518,-2.975,2.963,0.3894,-0.4051,87.69,-3430.0,15.63,-57.26,-3415.0,-2.7319999999999998,1.805,-1.097,4.178,29.0,-495.7,3.5980000000000003,0.9994,-469.3,-5634.486868999999,-5690.830897,3097.4,-1441.43,4538.81,-0.0633,0.0,0.0,0.0,-6.986125,-11.629205,-6.779278999999999,-14.651029999999999,-17.3607084884,17.3086,0.006213000000000001,47
swarm_0_94.pdb,1,5,3,2,6,7,9,7,6,2,1,0,1,0,1,0.18,0.455,0.552,0.5914285714285714,0.39999999999999997,0.3333333333333333,0.44555555555555554,0.5142857142857143,0.63,0.83,0.0,0.59,0.58,0.9,0.0,2.7600000000000002,4.14,1.2,2.0,4.01,3.6000000000000005,3.78,0.83,0.0,0.59,0.58,1.8,0.0,33.66,35.78,1721.2400000000016,867.3400000000001,853.9100000000035,1.0,1.4142135623730951,3.0,1.0,2.6457513110645907,2.449489742783178,2.23606797749979,1.7320508075688772,2.449489742783178,2.6457513110645907,1.0,1.4142135623730951,0.0,1.0,0.0,-0.7872,-4.32,-2.94,-9.0,-21.0,-145.2,3.08,-108.36,112.06,-3.24,0.015798,-4.78,26.8,11.2,-20.6,93.52,0.4,11.6,19.4,1.2,2.5,4.6,-196.8,0.21867218800000002,-0.4,-10.29606,-18.98,-32.479,-58.25,-59.03,-6511.67,-12.85,-12.88,-45.59,-12.49,-1280.64,-443.39,0.0,0.0,0.0,0.0,0.0,-54.2748,-17.5775,0.00033,-9.408999999999999,4.218,-41.163999999999994,-9.307,-197.612,-0.983,2.772,0.0,-262.85,89.79,-482.35,-76.4,1236.723,46.8162130219,-3.884,3.818,-0.8705,-1.8530000000000002,19.96,-3158.0,2.7889999999999997,-54.87,-3196.0,-3.247,3.0260000000000002,0.1977,2.448,72.1,-550.5,8.691,0.2894,-486.8,-6068.844327000001,-6128.093718,2232.52,-1621.07,3853.58,-0.0958,0.0,0.0,0.0,-3.000308,-4.668399,-6.050999,-9.076945,-10.4449441715,16.1048,0.003804,51
swarm_101_120.pdb,1,3,4,11,9,13,11,1,13,1,2,2,0,1,1,0.46,0.3027272727272728,0.5466666666666666,0.47461538461538466,0.44,0.3788888888888889,0.46090909090909093,0.48,0.53,0.85,0.43,0.0,0.635,0.78,0.82,1.64,6.170000000000001,1.76,3.41,5.07,0.48,6.890000000000001,0.85,0.43,0.0,1.27,0.78,1.64,33.4,35.32,2281.949999999997,954.630000000001,1327.329999999998,1.0,3.3166247903554,3.3166247903554,1.0,1.0,3.605551275463989,1.7320508075688772,2.0,3.0,3.605551275463989,1.4142135623730951,1.0,1.4142135623730951,0.0,1.0,-1.3432,3.09,2.82,-6.6,-28.4,-225.8,3.48,-205.26,190.28,0.36,0.137008,-1.2,29.8,10.0,-28.4,149.954,4.8,22.6,32.4,2.32,0.14,-8.1,-342.6,-0.36544555799999995,-1.2,-11.788834,-22.44,-40.139,-68.66,-72.89,-4996.75,-2.75,-13.65,-63.12,-21.98,-1760.98,-985.02,0.0,0.0,0.0,0.0,0.0,-64.8036,251.817,0.00029,-6.3229999999999995,-6.234,-62.166000000000004,-18.774,-342.81699999999995,-10.207,-3.693,0.0,-192.5,5.7,-846.87,-39.21,2490.272,69.531499041,-4.958,4.792,-0.2987,-0.6235,-381.4,-4824.0,8.499,-57.58,-5272.0,-3.197,2.8080000000000003,-1.194,0.9829,-0.2851,-586.8,3.105,-7.91,-598.1,-6849.019176999999,-6930.499862999999,3227.25,-1959.45,5186.7,-0.1547,0.0,0.0,0.0,-8.342747,-13.352820000000001,-6.568103999999999,-19.140355,-19.3755346067,20.5782,0.0036299999999999995,73
swarm_101_179.pdb,2,0,1,12,13,2,8,2,19,0,0,0,0,2,3,0.61,0.335,0.0,0.55,0.38,0.33923076923076934,0.445,0.46499999999999997,0.5105263157894736,0.6266666666666666,0.375,0.0,0.0,0.0,0.0,0.0,1.1,0.38,4.410000000000001,3.56,0.9299999999999999,9.7,1.88,0.75,0.0,0.0,0.0,0.0,33.02,35.69,2188.980000000003,1159.6399999999994,1029.329999999998,1.4142135623730951,3.4641016151377544,2.8284271247461903,1.7320508075688772,1.4142135623730951,4.358898943540674,0.0,1.0,3.605551275463989,1.4142135623730951,0.0,0.0,0.0,0.0,1.4142135623730951,3.3036,-5.472,5.24,-7.6,-19.4,-146.8,7.2,-117.42,125.24,-0.2,0.011568,-0.84,38.4,21.4,-8.2,151.64600000000002,7.2,17.4,20.6,8.44,5.74,10.44,-225.4,-0.563324146,11.7,-9.029751,-17.36,-35.507,-49.44,-30.66,-3527.96,10.2,18.91,-36.07,-24.86,-1406.75,-598.2,0.0,0.0,0.0,0.0,0.0,-63.0879,139.946,0.00025699999999999996,-20.551,28.518,-56.87,2.28,-51.135,-8.463,-7.4910000000000005,0.0,-160.24,110.51,-547.22,-36.53,9425.902,34.282632377199995,-3.682,3.701,0.6377,-0.5698,-142.0,-4107.0,16.36,-12.2,-4277.0,-2.591,2.305,-0.2974,1.7380000000000002,22.48,-526.1,4.819,-1.8659999999999999,-510.3,-6294.007467,-6377.396221,4413.72,-1730.18,6143.9,-0.1243,0.0,0.0,0.0,-3.6027400000000003,-4.87545,-11.331414,-19.701366,-16.1093141767,19.3375,0.0034840000000000006,64
swarm_101_17.pdb,6,2,2,1,12,6,26,3,23,0,1,1,0,2,1,0.38166666666666665,0.08,0.49,0.5199999999999999,0.385,0.3416666666666666,0.44923076923076927,0.48333333333333334,0.4295652173913043,0.55,0.6100000000000001,0.0,0.83,0.0,0.67,0.98,3.1199999999999997,0.77,4.1,11.680000000000001,1.45,9.879999999999999,0.55,1.2200000000000002,0.0,0.83,0.0,0.67,33.4,35.53,2598.5399999999972,1344.2499999999982,1254.2999999999993,2.449489742783178,1.0,5.0990195135927845,1.0,1.7320508075688772,4.795831523312719,1.4142135623730951,1.4142135623730951,3.4641016151377544,2.449489742783178,1.0,0.0,1.0,0.0,1.4142135623730951,1.8659999999999999,-7.652,2.46,-16.8,-24.0,-203.0,8.16,-147.34,164.82,-5.02,-0.000754,-8.02,57.6,24.4,-21.0,205.918,6.6,18.8,34.8,5.02,4.16,-1.14,-277.2,0.09026537720000001,29.7,-12.672373,-22.59,-42.323,-68.68,-62.06,-3948.81,-4.25,-4.85,-66.8,6.34,-1974.82,-1062.29,0.0,0.0,0.0,0.0,0.0,-5.04323,152.34799999999998,0.00021899999999999998,-21.160999999999998,30.088,-95.898,-0.6629999999999999,-214.32299999999998,-11.962,-7.888999999999999,0.0,-240.84,257.49,-503.23,-74.64,9414.629,60.8822489954,-4.69,4.523,-0.4156,0.5329,-422.5,-5133.0,8.119,-41.09,-5605.0,-3.562,2.8539999999999996,-0.4293,3.908,18.37,-744.5,7.392,0.3257,-733.2,-6929.1279859999995,-7038.519738,5497.86,-2052.76,7550.63,0.0171,0.0,0.0,0.0,-1.851855,-3.396315,-5.474783,-10.248472999999999,-15.327535030999998,17.8468,0.004186,86
swarm_10_120.pdb,1,0,1,4,5,2,2,0,6,0,0,0,2,1,1,0.48,0.5425,0.0,0.585,0.43,0.422,0.45499999999999996,0.0,0.51,0.58,0.41,0.68,0.0,0.0,0.0,0.0,1.17,0.43,2.11,0.9099999999999999,0.0,3.06,0.58,0.41,1.36,0.0,0.0,0.0,33.91,34.87,2299.139999999996,1088.0999999999985,1211.039999999999,1.0,2.0,1.4142135623730951,1.0,0.0,2.449489742783178,0.0,1.0,2.23606797749979,1.4142135623730951,0.0,0.0,0.0,1.4142135623730951,1.0,2.127,2.926,5.44,-4.0,-10.2,-100.8,9.16,-85.56,107.58,0.76,0.055636,0.24,29.8,11.6,-9.8,116.652,10.0,16.0,24.4,6.74,19.24,7.5,-179.8,-0.5939696502,6.9,-8.890413,-14.24,-32.015,-32.88,-21.69,-3631.98,2.78,-5.96,-24.79,18.87,-1457.64,-761.99,0.0,0.0,0.0,0.0,0.0,-39.4073,66.8132,0.000173,-18.942999999999998,32.802,-50.431999999999995,8.815,-84.229,-3.154,-1.5530000000000002,0.0,-148.55,161.0,-282.41,-80.39,3087.844,55.083821180600005,-3.484,3.4560000000000004,0.2444,-1.831,49.71,-4255.0,8.173,-12.84,-4226.0,-2.12,1.732,-1.4769999999999999,1.518,44.86,-582.6,1.2590000000000001,1.896,-537.1,-5894.225264,-5958.807008,4233.39,-1489.76,5723.15,-0.0605,0.0,0.0,0.0,3.246053,-0.46741499999999997,-0.8748020000000001,-7.893215,-14.2677535412,20.2579,0.00336,25
swarm_101_41.pdb,1,0,4,5,7,3,10,1,18,1,3,2,2,1,0,0.73,0.306,0.0,0.6366666666666666,0.4375,0.36714285714285716,0.41899999999999993,0.49,0.6283333333333334,0.0,0.48,0.5900000000000001,0.5833333333333334,0.9,0.72,0.0,1.91,1.75,2.5700000000000003,4.1899999999999995,0.49,11.31,0.0,0.48,1.1800000000000002,1.75,0.9,1.44,33.65,35.17,2334.8300000000017,1192.6800000000003,1142.1500000000015,1.0,2.23606797749979,3.1622776601683795,0.0,1.0,4.242640687119285,0.0,2.0,2.6457513110645907,1.7320508075688772,1.7320508075688772,1.0,1.4142135623730951,1.4142135623730951,1.0,-0.64,-9.902000000000001,-2.46,-12.0,-23.0,-148.6,3.18,-130.64,126.68,-4.52,-0.047326,-8.68,38.2,16.0,-19.8,128.70600000000002,2.4,11.6,19.2,-1.28,-0.68,9.76,-238.8,-1.02456549,5.0,-11.644375,-17.58,-38.39,-55.21,-49.12,-4565.33,-28.63,-17.71,-26.5,-3.05,-1623.78,-935.14,0.0,0.0,0.0,0.0,0.0,-87.4715,-191.933,0.000225,-39.718,24.276,-89.59,-24.401,-158.484,-1.396,1.615,0.0,-197.21,77.85,-421.12,-132.32,7608.880999999999,50.5276079115,-2.931,2.92,-0.03065,-1.095,201.9,-4489.0,9.079,-23.24,-4319.0,-1.508,1.126,-0.778,1.9140000000000001,119.2,-657.6,3.2689999999999997,1.819,-539.9,-6524.5346039999995,-6582.742565,4275.67,-1835.38,6111.04,-0.1388,0.0,0.0,0.0,-14.498508,-12.076032000000001,-16.822992000000003,-22.30552,-17.545919933900002,16.7166,0.004293,58
swarm_10_181.pdb,0,0,0,3,2,0,1,0,6,0,0,0,0,0,0,0.0,0.45,0.0,0.0,0.0,0.35,0.6,0.0,0.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,3.81,0.0,0.0,0.0,0.0,0.0,0.0,32.82,35.32,1889.5400000000009,1041.3700000000008,848.1800000000003,0.0,1.7320508075688772,1.0,0.0,0.0,2.449489742783178,0.0,0.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,-0.1968,-4.538,-1.76,-15.6,-25.2,-123.6,6.98,-105.28,118.4,-4.82,-0.0029620000000000002,-7.52,40.4,16.6,-16.8,160.472,7.6,13.8,20.0,1.66,12.44,1.74,-214.6,-1.2235091120000001,17.3,-9.130586,-9.9,-25.180999999999997,-36.99,-25.36,-3638.34,-4.53,-8.19,-10.96,11.79,-1121.01,-351.83,0.0,0.0,0.0,0.0,0.0,-46.1815,62.8124,0.000389,-10.501,38.701,-36.389,24.561,43.803000000000004,-4.062,-4.895,0.0,-113.5,178.99,-393.89,-47.32,2074.42,31.4924646467,-2.522,2.582,1.956,-0.1879,124.4,-3123.0,19.87,-7.308,-3026.0,-2.614,2.019,-1.2429999999999999,2.14,30.73,-490.1,1.052,1.421,-459.0,-5311.244603,-5384.226283,3207.76,-1192.05,4399.81,-0.0533,0.0,0.0,0.0,-4.437298,-8.410207000000002,0.531027,-10.583226,-7.5761873819000005,18.0102,0.002667,12
swarm_101_83.pdb,2,3,12,6,12,9,29,7,28,0,4,2,2,1,0,0.41000000000000003,0.24333333333333337,0.5499999999999999,0.5733333333333335,0.41916666666666663,0.32833333333333337,0.4727586206896552,0.5185714285714286,0.5075000000000001,0.0,0.67,0.38,0.75,0.0,0.67,1.65,5.160000000000001,5.029999999999999,3.9400000000000004,13.71,3.6300000000000003,14.21,0.0,0.67,0.76,3.0,0.0,1.34,33.66,35.84,3336.4699999999975,1687.9700000000012,1648.5000000000018,1.4142135623730951,2.449489742783178,5.385164807134504,0.0,2.6457513110645907,5.291502622129181,1.7320508075688772,3.4641016151377544,3.4641016151377544,3.0,2.0,0.0,1.4142135623730951,1.4142135623730951,1.0,1.2966,-13.134,-1.16,-32.4,-47.8,-341.0,10.56,-257.7,273.2,-10.5,0.000286,-16.46,84.8,31.8,-46.4,330.63199999999995,10.4,30.4,51.8,4.5,17.26,-1.96,-471.0,-0.6023598328,33.2,-16.556321,-29.15,-50.13,-114.99,-111.46,-7743.63,-23.79,-4.53,-41.38,2.09,-2185.32,-616.67,0.0,0.0,0.0,0.0,0.0,-81.9488,87.102,0.000133,-25.272,29.549,-97.333,-5.457000000000001,-154.743,-10.11,-7.17,0.0,-387.54,336.83,-852.63,-94.88,3697.5609999999997,69.156842145,-4.754,4.591,-0.4036,-0.9357,-588.6,-6282.0,13.08,-75.35,-6959.0,-4.315,3.5639999999999996,-1.39,3.237,-33.22,-898.3,5.774,-3.911,-941.2,-7875.3111180000005,-7996.4419,5479.0,-2451.64,7930.65,-0.1095,0.0,0.0,0.0,-17.806268,-17.051114000000002,-22.185215,-28.568931,-27.297517778000003,21.104,0.004009,117
swarm_101_84.pdb,3,4,4,10,15,11,28,6,24,1,0,2,4,0,0,0.5,0.28900000000000003,0.495,0.47454545454545455,0.42999999999999994,0.3086666666666667,0.4714285714285715,0.47333333333333333,0.49416666666666664,0.0,0.0,0.7750000000000001,0.0,0.9,0.6000000000000001,1.98,5.22,1.7199999999999998,4.630000000000001,13.200000000000001,2.84,11.86,0.0,0.0,3.1000000000000005,0.0,0.9,1.2000000000000002,32.61,35.97,3272.8799999999974,1608.8400000000001,1664.0300000000007,1.7320508075688772,3.1622776601683795,5.291502622129181,0.0,2.449489742783178,4.898979485566356,2.0,2.0,3.872983346207417,3.3166247903554,0.0,1.0,1.4142135623730951,2.0,0.0,2.9912,-9.79,3.22,-24.6,-43.2,-347.8,12.52,-284.74,303.76,-7.12,0.081316,-13.92,86.8,34.6,-43.8,332.25,16.4,40.0,62.4,4.02,11.3,1.58,-523.2,-0.047370982,29.1,-5.596504,-27.67,-52.167,-139.26,-127.48,-8622.46,-23.34,-10.25,89.52,90.8,-2214.29,666.69,0.0,0.0,0.0,0.0,0.0,-28.2102,1834.42,0.000164,-25.641,12.562999999999999,47.668,-8.311,-272.704,-12.777999999999999,-7.597,0.0,-186.73,421.89,-817.85,-114.35,9041.468,93.5671524967,-5.28,5.2170000000000005,0.4211,-0.3849,-728.6,-6757.0,26.33,-113.6,-7626.0,-4.414,3.341,-1.8019999999999998,3.284,-120.9,-1066.0,5.497999999999999,-6.939,-1200.0,-8087.856833,-8230.308356,6787.74,-2602.4,9390.14,0.2017,0.0,0.0,0.0,-10.044775,-12.331355,-22.747532,-43.226622,-20.14606957,25.9187,0.004054,112
