Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_177.pdb,8,2,6,2,6,2,6,4,0,0,0,0,3,4,1,0.5012500000000001,0.365,0.585,0.65,0.45333333333333337,0.33666666666666667,0.43999999999999995,0.56,0.0,0.44,0.48499999999999993,0.7866666666666666,0.0,0.0,0.0,1.17,1.3,2.72,2.02,2.6399999999999997,2.24,0.0,0.44,1.9399999999999997,2.36,0.0,0.0,0.0,27.5,40.71,1438.6899999999987,525.9899999999998,912.7099999999991,2.8284271247461903,1.4142135623730951,2.449489742783178,1.0,2.0,0.0,1.4142135623730951,2.449489742783178,2.449489742783178,1.4142135623730951,0.0,0.0,0.0,1.7320508075688772,2.0,1.5034,2.292,0.84,-2.8,-17.8,-153.8,2.18,-133.2,122.22,0.78,0.090238,0.74,22.2,16.0,-6.8,-8.636000000000001,0.2,9.2,10.4,-0.56,2.9,7.88,-222.0,1.0257519798,-3.8,-8.460103,-16.56,-20.164,-34.48,-33.04,-3117.32,-15.19,-6.24,-45.71,-15.29,-966.62,-459.81,0.0,0.0,0.0,0.0,0.0,-51.1192,33.3903,0.000442,-5.022,-6.439,-19.469,-13.408,-213.333,-2.97,1.084,0.0,-98.62,-50.84,-610.3,-4.82,193.845,23.9654255873,-1.864,1.7409999999999999,-1.3430000000000002,-0.9642,328.2,-2607.0,-7.502999999999999,-18.18,-2290.0,-2.08,1.893,-0.07715,1.682,74.13,-421.8,2.376,1.149,-348.9,-3996.085422,-4038.796954,418.29,-936.13,1354.42,-0.0746,0.0,0.0,0.0,-0.403958,-2.685644,-2.355955,-1.8646779999999998,-18.0422109943,3.26441,0.004614,44
swarm_100_157.pdb,3,1,5,5,4,6,8,4,3,0,1,0,2,2,1,0.5,0.47800000000000004,0.58,0.5616666666666666,0.41200000000000003,0.3575,0.47875,0.5125,0.5133333333333333,0.48,0.57,0.76,0.46,0.0,0.0,0.58,3.37,2.06,1.43,3.83,2.05,1.54,0.48,1.14,1.52,0.46,0.0,0.0,27.08,40.43,1541.3899999999994,736.6400000000012,804.7600000000002,1.7320508075688772,2.23606797749979,2.8284271247461903,1.0,2.0,1.7320508075688772,1.0,2.23606797749979,2.0,2.449489742783178,1.0,0.0,0.0,1.4142135623730951,1.4142135623730951,0.5016,3.688,1.36,-4.0,-17.0,-149.8,3.7,-126.34,120.4,0.54,0.012790000000000001,-1.12,23.4,12.4,-13.4,48.946000000000005,1.6,8.0,12.8,0.62,13.98,7.64,-216.0,-0.5867868106,-3.4,-7.077567,-16.18,-25.465999999999998,-36.77,-28.54,-3455.81,-6.91,5.22,-27.66,1.21,-1131.69,-579.76,0.0,0.0,0.0,0.0,0.0,-12.767000000000001,20.1035,0.000414,8.277000000000001,12.72,-50.25899999999999,15.970999999999998,-146.40200000000002,0.21899999999999997,3.0010000000000003,0.0,-143.22,85.14,-262.88,-104.5,-643.456,8.80298763607,0.2853,-0.4012,-0.7138,1.354,505.2,-3507.0,-0.04156,-29.42,-3031.0,0.5687,-0.8779,0.6305,2.767,77.0,-458.8,6.785,-2.611,-391.2,-4523.972979,-4582.409411,2032.75,-1125.49,3158.23,0.1361,0.0,0.0,0.0,-3.6914910000000005,-9.92285,-4.367307,-7.3119130000000006,-13.474929863699998,-0.458188,0.007111,45
swarm_10_108.pdb,2,4,9,1,7,4,6,5,5,0,3,4,3,3,0,0.505,0.54,0.5625,0.44,0.5288888888888889,0.33571428571428574,0.5116666666666667,0.536,0.394,0.0,0.4333333333333333,0.7799999999999999,0.7933333333333333,0.0,0.77,2.25,1.76,4.76,2.35,3.0700000000000003,2.68,1.97,0.0,1.2999999999999998,2.34,2.38,0.0,3.08,26.88,40.14,1679.869999999999,799.3499999999985,880.5200000000004,1.4142135623730951,1.0,2.449489742783178,0.0,2.23606797749979,2.23606797749979,2.0,3.0,2.6457513110645907,2.0,1.7320508075688772,0.0,2.0,1.7320508075688772,1.7320508075688772,-1.415,-0.10400000000000001,-1.68,-3.0,-21.8,-110.4,-0.92,-113.42,84.28,-0.18,-0.000938,0.26,11.6,6.6,-13.2,9.226,-5.4,-2.0,3.0,-4.98,-2.12,1.12,-166.2,-0.374398116,-11.1,-9.34902,-16.57,-27.586,-45.53,-33.14,-4408.8,-23.85,-12.8,-59.37,-17.98,-1069.83,-511.56,0.0,0.0,0.0,0.0,0.0,-33.5721,195.493,0.000327,-12.529000000000002,4.226,-28.799,-11.183,-468.796,-0.423,8.484,0.0,-111.88,-20.45,-575.54,-98.24,-91.97200000000001,30.158323110500003,-2.115,2.031,-0.1004,0.3494,-45.58,-2636.0,0.9947,-3.825,-2687.0,-1.561,0.9739,-2.128,1.196,20.11,-416.3,-3.2439999999999998,-1.557,-394.5,-4736.61893,-4794.999917,1555.13,-1336.73,2891.85,-0.1201,0.0,0.0,0.0,-3.786593,-5.791961,-6.3212660000000005,-10.42023,-13.9929590199,3.94394,0.0066430000000000005,56
swarm_10_150.pdb,4,2,2,5,17,6,10,3,8,0,1,1,0,4,1,0.52,0.40800000000000003,0.63,0.5283333333333334,0.495,0.35882352941176476,0.384,0.56,0.6287499999999999,0.48,0.445,0.0,0.83,0.0,0.9,1.26,3.170000000000001,0.99,6.1000000000000005,3.8400000000000003,1.6800000000000002,5.029999999999999,0.48,1.78,0.0,0.83,0.0,0.9,26.45,40.22,2157.8100000000013,1041.0,1116.8100000000013,2.0,2.23606797749979,3.1622776601683795,1.0,1.7320508075688772,2.8284271247461903,1.4142135623730951,1.4142135623730951,4.123105625617661,2.449489742783178,1.0,0.0,1.0,0.0,2.0,1.527,-3.688,4.34,-5.8,-31.2,-203.2,8.14,-204.9,190.12,1.12,0.085372,-1.3,52.0,34.2,-10.6,154.858,10.0,20.4,26.8,2.18,4.92,12.9,-369.0,-0.069020416,7.4,-8.261935000000001,-20.37,-30.423000000000002,-57.82,-39.7,-4843.64,3.92,-9.04,6.65,8.78,-1268.14,-305.42,0.0,0.0,0.0,0.0,0.0,-36.1807,819.7810000000001,0.00025699999999999996,-20.042,23.366,5.643,3.889,-66.757,-2.023,-0.755,0.0,-108.0,146.87,-475.34,-110.04,1222.9669999999999,47.8034474035,-3.5410000000000004,3.6519999999999997,3.542,0.07979,96.58,-3680.0,31.51,-5.767,-3621.0,-2.608,2.3569999999999998,0.5102,2.3819999999999997,-13.55,-557.4,8.382,-3.6639999999999997,-583.0,-4970.337525999999,-5040.688664,3149.17,-1458.5,4607.67,-0.0394,0.0,0.0,0.0,5.7295419999999995,-0.46426000000000006,-3.9792449999999997,-16.993572,-18.0664691428,6.22604,0.006734,64
swarm_10_151.pdb,2,1,6,2,8,9,9,4,7,0,2,2,1,0,0,0.5549999999999999,0.49,0.52,0.5077777777777777,0.5133333333333333,0.38500000000000006,0.43777777777777777,0.53,0.6857142857142858,0.0,0.0,0.68,0.88,0.0,0.785,0.52,4.569999999999999,3.08,3.0800000000000005,3.94,2.12,4.800000000000001,0.0,0.0,0.68,1.76,0.0,1.57,27.17,40.22,1676.2700000000004,816.210000000001,860.0500000000011,1.4142135623730951,1.4142135623730951,3.0,0.0,2.0,2.6457513110645907,1.0,2.449489742783178,2.8284271247461903,3.0,1.4142135623730951,0.0,1.4142135623730951,1.0,0.0,-1.9666,-2.964,-2.9,-10.4,-30.0,-149.4,2.76,-133.28,115.74,-2.74,0.032332,-5.7,20.4,5.4,-23.0,109.22200000000001,-3.4,2.4,10.0,-1.64,2.98,4.56,-231.2,-1.33588994,-8.3,-11.765872,-18.35,-28.879,-55.51,-49.9,-4235.0,-9.41,-3.04,-22.63,-0.84,-1066.48,-483.53,0.0,0.0,0.0,0.0,0.0,-88.4336,-133.195,0.00028199999999999997,-24.206,9.902000000000001,-71.14699999999999,-21.419,-171.487,-0.344,2.9139999999999997,0.0,-179.89,97.35,-507.12,-87.85,954.2139999999999,35.4334498969,-2.516,2.742,1.901,-2.2119999999999997,-72.4,-3045.0,18.11,-19.99,-3156.0,-1.892,1.45,-0.9199,1.734,-3.03,-403.0,0.07669,-2.293,-408.4,-4809.5669689999995,-4885.104194,2486.5,-1375.34,3861.85,-0.1157,0.0,0.0,0.0,-5.737413,-10.201914,-9.617237,-17.955524,-12.9124975731,4.4905800000000005,0.0037170000000000003,53
swarm_101_95.pdb,4,1,10,14,2,2,6,0,6,0,2,0,0,5,2,0.445,0.4864285714285715,0.35,0.77,0.43200000000000005,0.25,0.5266666666666666,0.0,0.585,0.34,0.49399999999999994,0.0,0.5449999999999999,0.0,0.0,0.35,1.54,4.32,0.5,3.1599999999999997,0.0,3.51,0.68,2.4699999999999998,0.0,1.0899999999999999,0.0,0.0,27.05,39.86,1662.3499999999985,726.0100000000002,936.3299999999999,2.0,3.7416573867739413,2.449489742783178,1.4142135623730951,0.0,2.449489742783178,1.0,3.1622776601683795,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,2.23606797749979,1.8376,4.378,0.32,-4.2,-15.6,-119.2,1.08,-135.98,114.38,-0.24,0.009076,-2.38,24.4,13.6,-9.8,25.858,7.6,13.0,13.6,0.24,7.76,9.18,-219.2,0.126774288,-3.5,-9.131297,-11.75,-21.997,-45.52,-35.46,-3041.82,4.93,-0.18,-9.54,-0.85,-874.39,-257.88,0.0,0.0,0.0,0.0,0.0,-56.7057,63.5429,0.00048300000000000003,-11.547,8.305,-15.4,-4.782,-6.6129999999999995,-2.721,-2.596,0.0,-83.94,-13.36,-499.42,27.95,1499.569,20.4020663303,-1.919,1.909,1.194,0.6535,-64.8,-2736.0,12.94,3.14,-2811.0,-1.73,1.3730000000000002,-0.6523,1.962,1.561,-427.5,2.113,-0.3479,-428.4,-4174.775671,-4232.732802,1694.95,-1001.4,2696.34,0.0297,0.0,0.0,0.0,-0.456766,-5.43874,1.7508380000000001,-5.6502669999999995,-13.6383738903,4.62856,0.0036299999999999995,54
swarm_102_107.pdb,4,1,4,10,4,1,4,0,5,0,4,1,4,6,5,0.5449999999999999,0.409,0.49,0.77,0.5025,0.46749999999999997,0.4225,0.0,0.662,0.504,0.5316666666666667,0.68,0.71,0.0,0.94,0.49,0.77,2.01,1.8699999999999999,1.69,0.0,3.31,2.52,3.1900000000000004,2.72,2.84,0.0,0.94,28.16,39.35,1728.140000000003,627.8400000000001,1100.3100000000013,2.0,3.1622776601683795,2.0,2.23606797749979,0.0,2.23606797749979,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,2.449489742783178,1.9094,-5.048,-1.0,-6.4,-18.8,-128.8,-0.28,-158.38,131.56,-1.86,-0.033414,-5.3,26.4,15.6,-7.4,11.7,9.0,19.8,20.4,3.38,3.6,0.18,-259.6,-1.7727852248,-0.6,-9.928132000000002,-21.05,-26.593000000000004,-47.54,-36.89,-3136.76,-23.1,-8.78,-38.05,-10.19,-818.85,-400.88,0.0,0.0,0.0,0.0,0.0,-74.5762,-35.0172,0.000301,-10.335,-2.25,-25.107,-15.095999999999998,-177.153,1.117,4.4830000000000005,0.0,-82.35,7.58,-346.04,-0.25,-12329.618,26.6675440539,-4.221,4.067,1.348,1.955,-278.9,-2877.0,12.26,17.56,-3151.0,-3.136,2.9360000000000004,-0.5062,0.6407,-14.03,-417.6,2.031,-2.536,-436.2,-4662.849482,-4714.416776,1860.2,-1270.61,3130.82,-0.1583,0.0,0.0,0.0,-1.023959,-0.40907899999999997,-2.035083,-5.340441,-17.651772948199998,9.83257,0.005,53
swarm_102_142.pdb,3,2,10,13,13,1,13,1,12,0,3,0,0,7,0,0.5633333333333334,0.41615384615384615,0.49,0.56,0.49300000000000005,0.3169230769230769,0.4130769230769232,0.56,0.6066666666666666,0.0,0.37999999999999995,0.0,0.71,0.0,0.0,0.98,0.56,4.930000000000001,4.12,5.370000000000001,0.56,7.279999999999999,0.0,2.6599999999999997,0.0,2.13,0.0,0.0,27.57,39.71,2339.0200000000004,954.6300000000001,1384.3999999999996,1.7320508075688772,3.605551275463989,3.605551275463989,0.0,1.0,3.4641016151377544,1.4142135623730951,3.1622776601683795,3.605551275463989,1.0,1.7320508075688772,0.0,0.0,0.0,2.6457513110645907,3.7706,2.012,3.84,-5.0,-14.4,-209.6,9.76,-190.28,183.92,0.76,0.049668000000000004,-2.88,50.2,34.0,-5.2,70.00399999999999,15.4,27.0,31.6,0.74,25.02,3.4,-326.4,0.18884477,13.6,-9.890447,-20.61,-33.078,-62.61,-46.18,-5457.06,19.42,-17.24,-53.62,-10.15,-1218.34,-409.71,0.0,0.0,0.0,0.0,0.0,-75.0486,240.236,0.00027,-19.277,18.67,-60.876999999999995,-6.695,-341.324,-7.692,-1.207,0.0,-186.97,118.63,-660.76,63.06,200.826999999,69.0798841364,-4.279,4.285,0.9671,-0.6026,-397.9,-3918.0,14.05,-25.78,-4356.0,-2.5540000000000003,2.3209999999999997,-0.00035,2.082,6.54,-566.0,5.428999999999999,-0.7105,-565.6,-5250.814545,-5337.672803,4087.87,-1581.43,5669.3,0.009000000000000001,0.0,0.0,0.0,6.892514,5.14461,-2.6886400000000004,-16.108301,-20.0272125085,5.38424,0.006409999999999999,78
swarm_102_146.pdb,1,0,3,4,4,0,4,2,4,0,0,1,5,1,1,0.49,0.31,0.0,0.0,0.4000000000000001,0.22749999999999998,0.4,0.545,0.515,0.48,0.41,0.642,0.0,0.0,0.94,0.0,0.0,1.2000000000000002,0.9099999999999999,1.6,1.09,2.06,0.48,0.41,3.21,0.0,0.0,0.94,27.21,39.58,1085.2799999999988,362.6900000000005,722.5900000000001,1.0,2.0,2.0,1.0,1.4142135623730951,2.0,0.0,1.7320508075688772,2.0,0.0,0.0,0.0,1.0,2.23606797749979,1.0,0.9442,-1.402,-1.3,-4.4,-9.6,-82.0,1.08,-86.88,76.74,-1.38,-0.061198,-4.22,23.8,13.0,-4.4,41.43600000000001,3.0,7.2,10.4,0.58,0.16,0.42,-145.0,-0.486540006,4.2,-7.957671,-15.26,-21.346,-32.96,-25.12,-2675.93,-6.7,-2.62,-37.73,-20.47,-749.29,-362.1,0.0,0.0,0.0,0.0,0.0,-34.6144,-64.1309,0.000567,-7.632999999999999,-6.371,-44.29,-18.434,-248.25400000000002,-2.673,2.044,0.0,-75.01,61.97,-311.99,29.19,-3274.402,24.797716883899998,-3.7,3.713,1.121,-0.4308,-198.5,-2195.0,9.456,-24.73,-2428.0,-1.4980000000000002,1.354,0.1729,1.344,-1.4180000000000001,-225.6,2.7969999999999997,-2.785,-232.6,-4067.137629,-4108.852684,2311.43,-1019.98,3331.42,0.0193,0.0,0.0,0.0,-6.832541,-3.753806,-3.032549,-8.879756,-10.4952910611,3.8772800000000003,0.008967000000000001,30
swarm_102_185.pdb,2,0,2,5,5,0,11,0,5,0,0,0,0,1,1,0.505,0.44400000000000006,0.0,0.0,0.45499999999999996,0.39,0.4763636363636364,0.0,0.61,0.44,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.9099999999999999,1.9500000000000002,5.24,0.0,3.05,0.44,0.41,0.0,0.0,0.0,0.0,27.66,40.43,1292.2000000000007,533.8100000000013,758.3900000000012,1.4142135623730951,2.23606797749979,3.3166247903554,1.0,0.0,2.23606797749979,0.0,1.4142135623730951,2.23606797749979,0.0,0.0,0.0,0.0,0.0,1.0,2.3768,0.564,2.34,-6.2,-12.6,-88.2,4.26,-70.06,74.44,-0.94,0.046169999999999996,-4.96,8.8,1.8,-10.2,18.508,0.6,9.0,10.0,2.96,11.5,6.12,-140.6,-0.592017916,10.8,-7.650401,-16.85,-21.085,-24.31,-16.92,-2732.39,17.47,-7.26,-5.54,-14.5,-633.87,-235.77,0.0,0.0,0.0,0.0,0.0,-49.5896,-46.7715,0.000453,-8.5,4.756,-53.516000000000005,-9.095,-248.00599999999997,-2.992,1.72,0.0,-74.3,31.72,-285.58,-50.56,-4806.662,24.148424089000002,-2.782,2.661,-0.7526,-0.853,-103.2,-2113.0,-4.455,2.639,-2209.0,-1.578,1.4080000000000001,-0.4596,1.202,29.33,-280.2,0.4237,2.898,-248.4,-4009.373852,-4067.383107,1556.99,-1023.68,2580.67,0.1016,0.0,0.0,0.0,2.708827,3.395403,-2.2237880000000003,-6.171958999999999,-9.354849830660001,3.5498199999999995,0.0036880000000000003,32
