Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_188.pdb,7,0,6,8,5,2,8,2,8,2,0,1,1,9,4,0.48285714285714276,0.3762500000000001,0.0,0.57,0.37000000000000005,0.33,0.4125,0.44,0.32625000000000004,0.495,0.6144444444444445,0.52,0.0,0.8400000000000001,0.7,0.0,1.14,2.22,1.6500000000000001,3.3,0.88,2.6100000000000003,1.98,5.53,0.52,0.0,1.6800000000000002,0.7,29.35,40.53,2052.3499999999985,852.8999999999978,1199.4500000000007,2.6457513110645907,2.8284271247461903,2.8284271247461903,2.0,1.4142135623730951,2.8284271247461903,0.0,2.449489742783178,2.23606797749979,1.4142135623730951,0.0,1.4142135623730951,1.0,1.0,3.0,2.2022,2.592,1.72,-0.2,-8.2,-170.8,-0.8,-195.22,176.18,1.5,-0.008168,7.96,24.6,20.0,-7.2,42.31399999999999,7.6,26.2,27.8,-0.42,5.1,9.66,-329.2,1.206430906,-12.8,-2.36382,-12.32,-25.459,-65.36,-61.59,-2558.62,26.54,-5.82,86.3,49.76,-964.61,142.03,0.0,0.0,0.0,0.0,0.0,6.68878,1890.41,0.000275,7.058,14.634,51.028999999999996,26.794,-144.399,-9.517000000000001,-6.773,0.0,-19.92,16.01,-110.34,87.61,-669.868,10.5311928112,-2.214,2.101,-0.3123,0.9077,-66.0,-3688.0,5.603,46.0,-3714.0,-1.595,1.607,0.4814,0.5967,59.89,-593.9,7.5120000000000005,1.422,-540.1,-4933.507376,-4993.390297999999,2811.89,-1464.95,4276.85,0.0593,0.0,0.0,0.0,-4.76396,-5.50623,-8.014514,-15.648937,-20.4144288442,24.2905,0.005746,63
swarm_100_141.pdb,8,4,3,10,4,4,7,1,4,1,2,6,7,11,2,0.40499999999999997,0.351,0.4525,0.57,0.35333333333333333,0.3475,0.5185714285714286,0.48,0.4475,0.635,0.4572727272727273,0.5571428571428572,0.565,0.49,0.7083333333333334,1.81,2.28,1.06,1.39,3.6300000000000003,0.48,1.79,1.27,5.03,3.9000000000000004,1.13,0.49,4.25,29.24,40.59,1745.989999999998,716.4199999999983,1029.5900000000001,2.8284271247461903,3.1622776601683795,2.6457513110645907,1.4142135623730951,1.0,2.0,2.0,1.7320508075688772,2.0,2.0,1.4142135623730951,1.0,2.449489742783178,2.6457513110645907,3.3166247903554,-1.9442,5.244,-2.92,-3.4,-24.8,-202.8,-2.7,-202.88,165.94,1.78,0.03782,2.44,4.6,2.6,-23.8,41.61600000000001,-4.6,12.4,15.4,-11.4,-11.08,-8.74,-325.2,0.08552845199999999,-22.7,-4.315931,-13.99,-26.156999999999996,-79.63,-55.96,-6082.41,-3.78,-18.71,76.5,50.24,-819.38,781.42,0.0,0.0,0.0,0.0,0.0,-2.77333,1995.22,0.00038700000000000003,0.081,4.055,74.756,11.610999999999999,-454.76300000000003,-3.678,4.963,0.0,-52.11,-50.53,-740.29,144.39,-2175.9539999999997,-7.74781092023,-3.263,3.095,-1.725,-0.6009,-539.3,-2710.0,-4.341,8.73,-3237.0,-1.675,1.681,-0.1723,-0.402,-40.99,-430.5,5.122999999999999,-7.891,-484.5,-5190.4903189999995,-5259.865393,2919.67,-1605.07,4524.74,0.0961,0.0,0.0,0.0,-6.264055,-7.223756,-5.925226,-14.842173,-15.1066156254,20.8742,0.00473,74
swarm_100_188.pdb,4,2,9,8,17,3,18,5,6,2,3,0,3,9,1,0.44749999999999995,0.29375000000000007,0.56,0.7200000000000001,0.41888888888888887,0.3535294117647059,0.4772222222222221,0.48200000000000004,0.4466666666666666,0.34,0.3788888888888889,0.6333333333333333,0.7266666666666666,0.6950000000000001,0.0,1.12,2.16,3.77,6.010000000000001,8.589999999999998,2.41,2.6799999999999997,0.34,3.41,1.9,2.1799999999999997,1.3900000000000001,0.0,29.25,40.57,2808.1500000000015,1361.7800000000025,1446.369999999999,2.0,2.8284271247461903,4.242640687119285,1.0,2.23606797749979,2.449489742783178,1.4142135623730951,3.0,4.123105625617661,1.7320508075688772,1.7320508075688772,1.4142135623730951,0.0,1.7320508075688772,3.0,2.9436,1.704,8.22,-0.2,-18.6,-276.6,7.76,-250.64,232.76,4.74,0.011354000000000001,3.86,45.8,29.8,-19.2,123.62200000000001,12.6,29.6,37.4,1.6,18.96,4.16,-415.6,-1.1847740088,11.8,-10.822144,-20.98,-38.687,-114.1,-93.91,-5192.54,6.63,9.16,-30.53,8.07,-1638.42,-601.06,0.0,0.0,0.0,0.0,0.0,-73.4967,242.25599999999997,0.000166,-10.206,28.713,-65.745,11.932,-255.984,-10.272,-5.4079999999999995,0.0,-140.93,144.74,-436.47,2.28,-2806.22,35.7863759669,-1.923,1.765,-1.245,0.3575,-176.4,-5210.0,-1.261,20.5,-5364.0,-1.264,0.9946,0.07703,2.188,39.39,-800.4,10.62,-2.173,-773.8,-6449.156307,-6534.727283,3702.22,-2025.94,5728.16,-0.1821,0.0,0.0,0.0,3.030297,0.8017810000000001,6.4389199999999995,-12.11077,-26.2685817302,20.2477,0.003578,90
swarm_100_32.pdb,8,4,8,14,8,9,16,6,16,1,3,2,3,7,4,0.45125000000000004,0.3892857142857143,0.48750000000000004,0.6733333333333333,0.42874999999999996,0.34375,0.45875000000000005,0.5016666666666667,0.420625,0.4425,0.49714285714285705,0.7266666666666667,0.69,0.9,0.72,1.9500000000000002,6.06,3.4299999999999997,2.75,7.340000000000001,3.0100000000000002,6.73,1.77,3.4799999999999995,2.18,2.07,0.9,1.44,28.97,40.34,2881.1900000000023,1206.1299999999974,1675.0699999999997,2.8284271247461903,3.7416573867739413,4.0,2.0,2.449489742783178,4.0,2.0,2.8284271247461903,2.8284271247461903,3.0,1.7320508075688772,1.0,1.4142135623730951,1.7320508075688772,2.6457513110645907,2.2146,2.9419999999999997,0.88,-12.2,-29.0,-269.2,8.28,-249.24,245.78,-1.38,0.079252,-1.9,58.0,35.6,-12.2,92.956,8.8,29.6,38.0,6.88,16.84,-4.6,-464.4,0.292031964,22.6,-1.0170370000000002,-8.5,-26.955,-107.15,-74.38,-5561.56,17.6,3.76,115.81,102.53,-1146.04,1103.69,0.0,0.0,0.0,0.0,0.0,-45.326,1787.7,0.00015800000000000002,1.089,17.983,137.113,32.783,-281.132,-8.992,-3.65,0.0,-80.83,256.96,-1001.14,164.66,443.539,36.9994164996,-2.792,2.859,0.4831,-2.064,-334.5,-4525.0,15.73,45.06,-4830.0,-1.6219999999999999,1.624,0.4129,0.4023,-18.81,-774.0,11.37,-4.825,-809.0,-5267.694339,-5373.867190999999,6101.55,-1553.02,7654.58,0.4056,0.0,0.0,0.0,-3.213628,-1.9528619999999999,2.760993,-10.22363,-30.557977771599997,29.3348,0.002872,109
swarm_100_84.pdb,11,4,3,17,4,6,7,4,5,1,3,3,8,5,4,0.44999999999999996,0.3094117647058824,0.595,0.6350000000000001,0.3566666666666667,0.3725,0.4657142857142857,0.5225,0.42400000000000004,0.46,0.484,0.66875,0.6566666666666667,0.9,0.7466666666666667,2.38,3.8100000000000005,1.07,1.49,3.26,2.09,2.12,1.84,2.42,5.35,1.9700000000000002,0.9,2.24,29.15,40.47,2803.3199999999997,1215.1100000000006,1588.2200000000012,3.3166247903554,4.123105625617661,2.6457513110645907,2.0,2.0,2.23606797749979,2.0,1.7320508075688772,2.0,2.449489742783178,1.7320508075688772,1.0,1.7320508075688772,2.8284271247461903,2.23606797749979,2.3862,3.264,-0.98,-10.4,-24.2,-235.0,3.66,-231.96,218.4,-0.16,0.13858,-1.26,32.6,21.4,-12.2,92.56,4.0,25.2,29.4,0.96,4.3,-1.98,-418.2,1.5215908647999998,-14.1,-11.1183,-18.36,-35.929,-87.13,-70.45,-5987.28,3.77,-5.97,2.04,25.2,-1396.78,-25.0,0.0,0.0,0.0,0.0,0.0,-72.4771,836.23,0.000205,5.446000000000001,11.427,28.058000000000003,19.679000000000002,-446.662,-6.14,2.347,0.0,-137.02,168.44,-534.95,124.2,101.414,17.0813803939,-2.7260000000000004,2.602,-1.4569999999999999,-1.43,-399.0,-4114.0,-4.327,37.38,-4471.0,-1.3230000000000002,1.207,-0.1411,0.5583,-7.5120000000000005,-637.4,5.707999999999999,-1.18,-651.8,-6179.459992,-6271.807049,4201.94,-1968.06,6169.99,-0.043,0.0,0.0,0.0,3.2874809999999997,-0.373537,-7.148671,-23.708992000000002,-29.4370489128,23.771,0.0035759999999999998,85
swarm_10_150.pdb,8,3,2,15,6,15,17,3,12,1,0,3,5,2,3,0.47125000000000006,0.4033333333333333,0.5033333333333333,0.522,0.345,0.3383333333333333,0.4752941176470588,0.5233333333333333,0.4891666666666666,0.69,0.515,0.588,0.0,0.9,0.7133333333333334,1.5099999999999998,7.83,0.69,2.03,8.08,1.57,5.869999999999999,2.07,1.03,2.94,0.0,0.9,2.14,29.09,40.25,2958.260000000002,1463.2500000000036,1495.010000000002,2.8284271247461903,3.872983346207417,4.123105625617661,1.7320508075688772,1.7320508075688772,3.4641016151377544,1.7320508075688772,1.4142135623730951,2.449489742783178,3.872983346207417,0.0,1.0,1.7320508075688772,2.23606797749979,1.4142135623730951,3.7778,-2.6519999999999997,6.26,-15.4,-33.6,-226.8,8.58,-238.22,253.88,-2.38,0.045208,-2.94,56.6,28.0,-21.4,228.304,21.6,43.2,56.6,1.58,13.64,13.7,-455.2,-0.6025833704,19.5,-9.858071,-24.82,-45.516000000000005,-91.29,-86.5,-4336.55,-3.45,-10.02,15.08,41.65,-2021.14,-560.77,0.0,0.0,0.0,0.0,0.0,-71.339,423.18,0.000172,-19.883,25.12,-32.059,2.031,-431.449,-5.155,3.042,0.0,-201.1,355.5,-346.61,-1.68,-13814.608,34.253908103899995,-4.19,4.088,-1.6440000000000001,-1.926,-359.5,-5704.0,-2.009,-25.25,-6087.0,-2.862,2.427,-0.3538,2.986,30.56,-914.9,9.682,-1.476,-895.5,-7106.409631999999,-7205.9809430000005,4143.77,-2451.21,6595.0,0.1683,0.0,0.0,0.0,-7.453641999999999,-16.259463,-13.783412,-15.625963,-25.227590477399996,24.0229,0.005632,95
swarm_101_78.pdb,3,7,7,11,17,9,13,2,11,0,4,5,3,3,1,0.6466666666666666,0.34272727272727277,0.5385714285714286,0.5788888888888889,0.42857142857142866,0.3405882352941177,0.4861538461538461,0.44,0.27909090909090906,0.34,0.41,0.36000000000000004,0.6425000000000001,0.0,0.6920000000000001,3.77,5.21,3.0000000000000004,5.790000000000001,6.319999999999999,0.88,3.0699999999999994,0.34,1.23,1.08,2.5700000000000003,0.0,3.4600000000000004,29.71,40.42,2752.1500000000015,1184.079999999998,1568.0800000000017,1.7320508075688772,3.3166247903554,3.605551275463989,1.0,1.4142135623730951,3.3166247903554,2.6457513110645907,2.6457513110645907,4.123105625617661,3.0,2.0,0.0,2.23606797749979,1.7320508075688772,1.7320508075688772,3.0758,3.6180000000000003,8.9,4.6,-18.6,-215.6,7.54,-216.66,204.92,5.76,0.06994199999999999,8.52,35.2,24.2,-12.8,149.312,11.6,28.8,37.2,0.16,5.1,4.44,-372.4,0.48926442340000004,5.4,-12.91812,-26.2,-41.49,-87.37,-85.96,-5320.88,-15.18,-3.35,-7.85,27.76,-1633.57,-631.28,0.0,0.0,0.0,0.0,0.0,-82.4991,12.6935,0.000195,-6.667999999999999,4.694,-71.102,-9.085,-258.847,-10.873,-5.955,0.0,-203.04,185.19,-460.93,56.98,-123.061,42.699725312199995,-1.673,1.6230000000000002,-0.1376,0.09618,61.86,-5161.0,11.81,-18.86,-5130.0,-0.5112,0.6072,1.36,1.439,92.38,-702.8,13.95,-3.233,-627.6,-6711.309437999999,-6796.086642,2274.54,-2155.22,4429.76,0.1041,0.0,0.0,0.0,-3.537375,-6.104278,-2.1909400000000003,-22.321133,-23.0885021671,20.8868,0.004219,96
swarm_10_19.pdb,4,9,4,6,9,3,10,1,8,0,0,3,11,5,4,0.4025,0.36500000000000005,0.4666666666666667,0.6033333333333334,0.4325,0.32222222222222224,0.48,0.44,0.49624999999999997,0.5225,0.4779999999999999,0.5845454545454546,0.0,0.0,0.7266666666666666,4.2,1.81,1.73,2.9000000000000004,4.8,0.44,3.9699999999999998,2.09,2.3899999999999997,6.430000000000001,0.0,0.0,2.1799999999999997,29.56,40.41,2306.3300000000017,1075.0200000000004,1231.3100000000013,2.0,2.449489742783178,3.1622776601683795,2.0,1.0,2.8284271247461903,3.0,2.0,3.0,1.7320508075688772,0.0,0.0,1.7320508075688772,3.3166247903554,2.23606797749979,2.1472,2.002,0.52,-3.4,-21.4,-161.8,-1.44,-217.08,189.16,0.98,1.975988,2.2,19.8,7.4,-18.8,65.368,11.0,30.4,35.0,1.54,-3.4,1.84,-358.4,2.0153305597999998,-14.7,-15.968577999999999,-25.42,-40.159,-74.36,-63.84,-4402.36,-18.48,-20.01,-52.27,5.79,-1573.34,-352.32,0.0,0.0,0.0,0.0,0.0,-77.0739,-64.4824,0.000266,-5.882000000000001,1.8519999999999999,-30.221,-7.053,-532.693,-4.959,5.162000000000001,0.0,-135.62,95.85,-348.99,7.09,-11651.575,-9.53188281383,-3.928,3.992,0.3478,-1.609,-530.0,-3939.0,14.11,-11.28,-4494.0,-3.2430000000000003,2.799,-0.6419,1.98,-72.78,-549.0,6.057,-8.764,-636.6,-6623.593551,-6686.921867,1018.01,-2196.16,3214.17,-0.1267,0.0,0.0,0.0,-8.684925999999999,-7.8540350000000005,-13.256038,-21.66356,-23.1190786098,18.6707,0.008506,77
swarm_102_44.pdb,3,3,5,14,6,6,15,2,4,0,1,2,2,2,0,0.36000000000000004,0.37785714285714284,0.5833333333333334,0.535,0.394,0.365,0.5126666666666666,0.515,0.3925,0.0,0.475,0.385,0.83,0.0,0.72,1.75,3.21,1.9700000000000002,2.19,7.6899999999999995,1.03,1.57,0.0,0.95,0.77,0.83,0.0,1.44,28.99,40.62,2062.709999999999,848.4799999999996,1214.2200000000012,1.7320508075688772,3.7416573867739413,3.872983346207417,0.0,1.4142135623730951,2.0,1.7320508075688772,2.23606797749979,2.449489742783178,2.449489742783178,1.0,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,6.877999999999999,3.0180000000000002,11.66,-6.6,-9.8,-168.4,12.74,-164.36,189.2,1.58,0.13840999999999998,0.94,50.6,30.4,-7.2,103.85600000000001,26.2,38.6,47.0,6.34,27.76,14.84,-317.6,0.2674950972,12.4,-4.06798,-13.24,-31.663,-51.73,-45.09,-3806.14,23.01,-6.73,62.79,47.28,-1281.83,-67.6,0.0,0.0,0.0,0.0,0.0,-19.234,950.872,0.000341,-3.1519999999999997,11.405,1.8719999999999999,8.44,-432.68,-5.393,2.8280000000000003,0.0,21.48,236.62,-329.67,126.44,-1159.621,48.46298296770001,-2.779,2.728,-0.8423,-1.3780000000000001,-218.9,-4015.0,0.5439,-28.51,-4263.0,-1.5219999999999998,1.675,1.963,2.1959999999999997,4.293,-514.2,15.32,-0.6767,-525.9,-5544.064729,-5621.638507,3890.64,-1734.96,5625.6,0.1062,0.0,0.0,0.0,5.445482,-0.368731,-1.887723,-8.562242,-19.7569648997,20.1027,0.0038,65
swarm_105_75.pdb,11,7,6,20,10,6,17,7,12,0,3,0,3,2,5,0.5690909090909092,0.37400000000000005,0.4385714285714286,0.6366666666666667,0.39666666666666667,0.3390000000000001,0.4852941176470588,0.4628571428571429,0.3866666666666667,0.534,0.475,0.5299999999999999,0.7233333333333333,0.0,0.0,3.0700000000000003,3.8200000000000003,2.38,3.3900000000000006,8.25,3.24,4.640000000000001,2.67,0.95,1.5899999999999999,2.17,0.0,0.0,29.42,40.85,3426.0999999999985,1550.1800000000003,1875.9000000000015,3.3166247903554,4.47213595499958,4.123105625617661,2.23606797749979,2.6457513110645907,3.4641016151377544,2.6457513110645907,2.449489742783178,3.1622776601683795,2.449489742783178,1.7320508075688772,0.0,0.0,1.7320508075688772,1.4142135623730951,5.4618,5.824,12.34,-7.4,-12.8,-272.0,13.48,-248.82,268.98,2.26,0.186142,2.68,69.2,43.2,-14.8,179.368,19.4,50.8,64.0,7.36,34.08,22.12,-459.8,1.7316174284,13.6,-4.888195,-16.68,-39.738,-75.71,-70.31,-5484.74,36.4,23.21,129.51,106.95,-1611.93,132.43,0.0,0.0,0.0,0.0,0.0,21.7416,2355.04,0.000146,9.667,30.318,55.863,45.571999999999996,-196.77,-8.221,-4.482,0.0,-37.03,246.19,-694.3,219.4,-352.61800000000005,65.2709406745,-2.866,2.7030000000000003,-1.462,-0.03323,-112.3,-6132.0,1.94,5.966,-6241.0,-2.522,2.42,1.7069999999999999,3.12,21.3,-833.2,19.17,-0.5355,-831.6,-6539.267135,-6680.928057,5089.37,-2148.73,7238.1,0.2426,0.0,0.0,0.0,5.3473559999999996,2.89738,-1.118792,-16.700996,-31.3388403131,23.3015,0.004156,109
