Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_107.pdb,0,1,1,3,4,5,6,0,12,0,2,0,1,1,1,0.0,0.4566666666666667,0.58,0.5700000000000001,0.54,0.3725,0.4633333333333334,0.0,0.5216666666666666,0.58,0.48,0.65,0.5800000000000001,0.0,0.0,0.58,2.85,0.54,1.49,2.7800000000000002,0.0,6.26,0.58,0.48,0.65,1.1600000000000001,0.0,0.0,30.33,37.91,1097.930000000002,584.6199999999999,513.3000000000002,0.0,1.7320508075688772,2.449489742783178,1.0,0.0,3.4641016151377544,1.0,1.0,2.0,2.23606797749979,1.4142135623730951,0.0,0.0,1.0,1.0,-0.0078,-0.41600000000000004,-0.14,-5.2,-8.4,-55.2,2.02,-56.36,62.44,-1.62,0.01629,-2.94,15.6,6.2,-7.6,64.19,7.8,12.2,12.8,1.82,2.78,3.96,-108.4,0.17817801800000002,3.5,-7.895586,-6.55,-13.244000000000002,-23.23,-24.22,-1920.86,-0.25,-6.15,-3.29,19.39,-640.78,-123.22,0.0,0.0,0.0,0.0,0.0,-6.18492,329.55400000000003,0.000592,-8.306000000000001,15.629000000000001,-9.016,6.422000000000001,26.55,-1.68,-2.185,0.0,-73.0,90.42,-208.96,1.05,-5447.734,24.5844491944,-0.9712,0.951,0.5443,0.565,64.39,-1972.0,4.258,5.266,-1907.0,-1.151,0.6779,0.1571,2.846,1.197,-238.1,3.281,1.6840000000000002,-238.5,-2719.3741449999998,-2739.957096,1737.78,-654.37,2392.15,-0.0915,0.0,0.0,0.0,-1.7281799999999998,-2.01158,-0.063327,0.737468,-5.37893295515,14.3455,0.007243,37
swarm_0_127.pdb,4,0,3,10,9,4,13,0,5,0,0,2,1,4,3,0.4125,0.461,0.0,0.4875,0.4533333333333333,0.4077777777777778,0.4969230769230769,0.0,0.51,0.4066666666666667,0.37499999999999994,0.88,0.0,0.0,0.615,0.0,1.95,1.3599999999999999,3.6700000000000004,6.46,0.0,2.55,1.22,1.4999999999999998,0.88,0.0,0.0,1.23,30.73,38.54,1026.9799999999977,362.34999999999945,664.6200000000008,2.0,3.1622776601683795,3.605551275463989,1.7320508075688772,0.0,2.23606797749979,0.0,1.7320508075688772,3.0,2.0,0.0,0.0,1.4142135623730951,1.0,2.0,5.4278,-2.9019999999999997,7.16,-7.8,-6.8,-132.6,10.74,-109.72,137.26,0.14,0.06350599999999999,-2.82,37.4,21.8,-2.6,40.228,19.4,28.0,30.8,11.0,16.64,7.78,-224.2,0.7793792940000001,19.5,4.088018,1.47,-6.27,-28.6,-28.66,-2338.73,32.83,7.92,180.99,114.0,-136.25,2336.52,0.0,0.0,0.0,0.0,0.0,109.035,4545.03,0.000595,-4.499,-0.313,192.66099999999997,14.455,-60.736999999999995,-5.406000000000001,-4.252,0.0,128.3,129.87,-992.43,320.6,-5472.501,32.7071236167,-3.7960000000000003,3.9530000000000003,1.219,-1.3030000000000002,-355.8,-2091.0,13.93,6.199,-2455.0,-3.2489999999999997,3.154,0.2645,0.7444,-34.3,-379.0,5.151,-2.346,-420.8,-2155.7645,-2205.3793140000002,2595.58,-542.12,3137.7,0.4933,0.0,0.0,0.0,6.573131,7.970925,2.065921,-1.747891,-11.1641506855,23.3738,0.006379,58
swarm_0_169.pdb,0,1,0,7,10,1,7,1,8,0,3,6,0,2,0,0.0,0.3757142857142858,0.63,0.57,0.0,0.357,0.48714285714285716,0.44,0.51625,0.0,0.48,0.0,0.54,0.0,0.715,0.63,0.57,0.0,3.57,3.41,0.44,4.13,0.0,0.96,0.0,1.62,0.0,4.29,31.37,37.25,1319.449999999999,618.3099999999995,701.1400000000012,0.0,2.6457513110645907,2.6457513110645907,0.0,1.0,2.8284271247461903,1.0,0.0,3.1622776601683795,1.0,1.7320508075688772,0.0,2.449489742783178,0.0,1.4142135623730951,-0.1278,-6.627999999999999,-0.68,-3.0,-17.0,-107.2,0.96,-120.42,103.42,0.2,0.006886,0.7,16.2,10.4,-9.4,53.588,5.6,8.4,11.8,-4.98,4.88,5.64,-188.4,0.5733375008,0.6,-5.153683999999999,-11.18,-18.471,-38.21,-25.71,-2830.75,-22.18,-8.8,5.68,23.14,-725.49,151.37,0.0,0.0,0.0,0.0,0.0,3.14518,913.2689999999999,0.000579,-17.336,6.632000000000001,25.237,-8.18,3.029,-3.279,-3.3369999999999997,0.0,-110.01,26.91,-294.09,14.99,-3528.211,20.7472634735,-2.862,3.053,2.399,-1.02,27.18,-2292.0,16.11,-5.167999999999999,-2286.0,-2.281,2.16,-1.436,-0.8288,10.54,-377.6,-0.5529999999999999,-7.896,-374.4,-3308.2176059999997,-3358.8388840000002,1314.58,-943.89,2258.47,-0.0389,0.0,0.0,0.0,0.8512790000000001,-6.632369000000001,-6.617360000000001,-14.859563,-10.8834067295,22.6798,0.005239,46
swarm_0_17.pdb,0,1,0,4,1,4,5,0,0,1,0,0,2,0,0,0.0,0.48750000000000004,0.53,0.6025,0.0,0.19,0.43600000000000005,0.0,0.0,0.0,0.0,0.675,0.0,0.9,0.0,0.53,2.41,0.0,0.19,2.18,0.0,0.0,0.0,0.0,1.35,0.0,0.9,0.0,30.77,37.98,786.4599999999991,376.7499999999991,409.71000000000004,0.0,2.0,2.23606797749979,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.4142135623730951,0.0,-1.135,2.782,-1.26,-1.8,-12.2,-56.6,0.02,-47.82,40.6,-0.34,0.030562,-1.44,3.6,-0.4,-11.4,30.598000000000003,-2.2,-1.4,0.4,-1.5,-1.62,-1.14,-79.2,0.00022011400000000001,-3.3,-5.684836,-5.19,-10.969000000000001,-12.13,-11.25,-1691.26,-13.85,-1.55,-3.62,-5.22,-567.24,-368.74,0.0,0.0,0.0,0.0,0.0,-23.353,-77.7749,0.0008,-2.9389999999999996,2.331,-26.491999999999997,-3.2569999999999997,-67.39399999999999,-0.579,0.701,0.0,-57.24,-0.57,-66.42,-118.82,-2255.9,25.627492356999998,-2.593,2.5860000000000003,0.0203,-0.4754,127.9,-1198.0,0.9865,-9.711,-1081.0,-1.058,0.7809,-0.4036,1.2770000000000001,40.66,-237.9,1.369,-2.293,-200.9,-2484.533834,-2503.063034,995.65,-576.21,1571.86,-0.0822,0.0,0.0,0.0,-2.7801720000000003,-3.500922,-4.189815,-5.844081,-9.871595216000001,13.5667,0.009833,18
swarm_0_199.pdb,0,3,0,3,1,6,7,0,11,0,0,0,1,0,0,0.0,0.4666666666666666,0.48666666666666664,0.5833333333333334,0.0,0.16,0.46571428571428575,0.0,0.6072727272727273,0.0,0.0,0.52,0.0,0.0,0.0,1.46,3.5,0.0,0.16,3.2600000000000002,0.0,6.680000000000001,0.0,0.0,0.52,0.0,0.0,0.0,30.43,38.16,1082.1899999999987,574.9899999999998,507.1999999999998,0.0,1.7320508075688772,2.6457513110645907,0.0,0.0,3.3166247903554,1.7320508075688772,0.0,1.0,2.449489742783178,0.0,0.0,0.0,1.0,0.0,-1.35,-3.072,-6.36,-9.4,-15.6,-68.6,0.8,-44.16,44.56,-4.6,0.011106,-6.8,14.2,2.0,-13.6,92.9,-2.4,0.4,4.4,3.3,-0.42,-3.48,-83.8,-0.61941377,8.5,-7.768375999999999,-8.78,-14.947000000000001,-33.01,-28.5,-2746.06,-29.36,-13.12,3.62,15.57,-817.42,-380.41,0.0,0.0,0.0,0.0,0.0,-35.1318,-1.16371,0.000521,-10.952,10.192,-30.772,-3.838,-34.753,0.265,0.925,0.0,-121.67,102.13,-254.64,-15.81,-4797.12,36.801380854099996,-0.804,0.9274,1.349,-0.6865,257.7,-2244.0,8.845,-6.474,-2002.0,-1.129,0.2237,-2.309,2.89,48.24,-284.6,-3.179,1.585,-231.6,-2874.868399,-2916.132572,1621.34,-738.33,2359.67,-0.0174,0.0,0.0,0.0,-4.33075,-4.01901,-1.803937,-2.924809,-8.74755399234,14.8847,0.007031,32
swarm_0_87.pdb,1,0,2,2,4,6,8,1,13,0,0,0,1,0,0,0.32,0.48,0.0,0.6749999999999999,0.485,0.375,0.465,0.44,0.5638461538461539,0.0,0.0,0.65,0.0,0.0,0.0,0.0,4.05,0.97,1.5,3.72,0.44,7.33,0.0,0.0,0.65,0.0,0.0,0.0,30.43,37.68,1298.0700000000015,668.7800000000007,629.29,1.0,1.4142135623730951,2.8284271247461903,0.0,1.0,3.605551275463989,0.0,1.4142135623730951,2.0,2.449489742783178,0.0,0.0,0.0,1.0,0.0,1.0152,-1.77,1.54,-5.6,-9.6,-79.8,3.92,-73.18,85.12,-1.58,-0.025238,-3.62,23.2,10.8,-10.0,52.05,7.0,12.2,15.6,0.62,9.72,1.14,-146.4,-0.482594142,7.0,-8.134131,-7.35,-17.123,-29.3,-27.1,-2802.81,-2.0,-7.29,5.22,25.22,-876.72,-285.95,0.0,0.0,0.0,0.0,0.0,-34.2635,-6.05549,0.000439,-9.522,13.228,-47.049,-0.9990000000000001,27.014,-0.74,-1.253,0.0,-155.62,139.96,-227.33,-2.25,-4635.849,32.0755738486,-2.7089999999999996,2.685,0.05731,1.054,-113.3,-2232.0,5.746,5.669,-2345.0,-1.8780000000000001,1.301,-1.1,2.6710000000000003,21.3,-318.6,0.3806,-1.516,-299.2,-3112.609073,-3155.56251,2598.48,-835.32,3433.82,0.0998,0.0,0.0,0.0,-3.6679440000000003,-4.743594,-6.10883,-5.79901,-7.4587564227600005,14.7538,0.0073420000000000004,38
swarm_100_108.pdb,2,2,3,5,6,2,6,4,4,0,1,1,0,1,1,0.49,0.576,0.565,0.545,0.5566666666666666,0.3833333333333333,0.505,0.495,0.5775,0.51,0.48,0.0,0.88,0.0,0.9,1.13,1.09,1.67,2.3,3.0300000000000002,1.98,2.31,0.51,0.48,0.0,0.88,0.0,0.9,32.18,37.13,1366.289999999999,584.7000000000007,781.5900000000001,1.4142135623730951,2.23606797749979,2.449489742783178,1.0,2.0,2.0,1.4142135623730951,1.7320508075688772,2.449489742783178,1.4142135623730951,1.0,0.0,1.0,0.0,1.0,-1.0206,1.4880000000000002,-0.36,-0.4,-21.4,-117.0,-2.0,-131.04,99.56,0.1,0.01805,-0.08,9.6,4.6,-14.8,72.718,-1.6,5.0,7.4,-5.36,-2.14,-1.58,-187.2,-0.156279222,-6.0,-7.340046000000001,-14.81,-19.585,-33.67,-30.91,-3837.39,-10.25,-4.02,-14.83,-5.32,-778.58,-355.18,0.0,0.0,0.0,0.0,0.0,-42.0063,-38.8565,0.000591,-10.18,-4.357,-19.289,-16.465999999999998,-95.12799999999999,-0.785,1.023,0.0,-125.2,-30.98,-415.21,-109.74,860.8689999999999,6.948291678210001,-3.157,3.1260000000000003,-0.5764,-1.443,-3.9410000000000003,-2331.0,1.8980000000000001,-29.06,-2366.0,-2.842,2.381,-2.175,1.014,16.6,-343.7,-2.02,-2.32,-327.4,-3405.9767439999996,-3447.70692,172.57,-954.55,1127.13,-0.0423,0.0,0.0,0.0,0.528569,-1.328877,-6.741814,-13.989412,-12.2687256481,14.085999999999999,0.009105,38
swarm_100_17.pdb,0,1,2,4,4,1,10,4,11,0,0,0,0,0,0,0.0,0.355,0.52,0.53,0.425,0.3375,0.442,0.4875,0.6390909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.53,0.85,1.35,4.42,1.95,7.03,0.0,0.0,0.0,0.0,0.0,0.0,30.77,37.5,1073.8799999999992,561.7799999999997,512.1300000000001,0.0,2.0,3.1622776601683795,0.0,2.0,3.3166247903554,1.0,1.4142135623730951,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.1762,-5.244,-2.18,-8.6,-14.0,-93.4,3.06,-62.0,68.84,-3.74,0.027036,-5.86,18.2,5.4,-13.8,71.27600000000001,2.6,5.4,9.6,2.78,-1.44,0.8,-114.2,-0.590918734,8.9,-8.045826,-10.31,-14.234000000000002,-36.68,-29.87,-2659.23,-11.41,-0.21,-1.07,3.07,-625.15,-211.32,0.0,0.0,0.0,0.0,0.0,-20.2023,52.4678,0.000518,-6.372999999999999,17.846,-20.418,9.432,29.003,-2.086,-2.637,0.0,-41.09,94.12,-390.42,5.72,1074.113,13.8759220565,-2.636,2.565,-0.4909,-0.3557,-45.55,-1908.0,1.5959999999999999,-21.96,-1978.0,-2.8939999999999997,2.097,-0.7444,3.298,-44.27,-241.7,1.669,4.438,-283.2,-2805.517914,-2849.388471,1065.81,-692.1,1757.91,0.0583,0.0,0.0,0.0,-8.136923,-8.218009,-3.882427,-7.003006,-8.30654938632,14.199000000000002,0.004622,37
swarm_100_193.pdb,0,1,2,1,5,3,10,5,11,0,0,1,0,0,0,0.0,0.31,0.63,0.4666666666666666,0.45999999999999996,0.366,0.491,0.476,0.5518181818181818,0.0,0.0,0.0,0.0,0.0,0.74,0.63,1.4,0.9199999999999999,1.83,4.91,2.38,6.069999999999999,0.0,0.0,0.0,0.0,0.0,0.74,31.1,38.28,1189.0699999999997,605.6399999999985,583.4399999999996,0.0,1.0,3.1622776601683795,0.0,2.23606797749979,3.3166247903554,1.0,1.4142135623730951,2.23606797749979,1.7320508075688772,0.0,0.0,1.0,0.0,0.0,1.9112,-5.306,3.66,-3.6,-16.6,-126.0,3.78,-95.34,99.68,-0.22,0.026618,1.72,23.8,12.0,-14.6,59.208,4.6,10.0,12.8,1.2,3.96,11.98,-160.6,1.319521454,7.4,-7.265021000000001,-9.82,-16.165,-35.51,-28.14,-2611.04,-13.18,-4.03,-2.98,-4.41,-764.95,-121.26,0.0,0.0,0.0,0.0,0.0,-35.9042,16.9414,0.000532,-14.658,7.747999999999999,-26.203000000000003,-9.53,-23.682,-2.349,-1.899,0.0,-62.66,44.96,-320.6,-43.35,160.851,10.468872963899999,-3.3110000000000004,3.076,-1.94,-0.1545,-164.8,-1905.0,-7.602,-37.58,-2100.0,-2.1180000000000003,1.662,-0.3802,3.562,-17.27,-288.3,3.6180000000000003,1.79,-307.4,-2990.30828,-3030.727173,1140.19,-784.66,1924.85,-0.0205,0.0,0.0,0.0,-2.115048,-3.544371,-7.280685000000001,-8.534498,-10.5108127389,14.915999999999999,0.008051,39
swarm_100_28.pdb,2,0,4,4,7,0,6,2,9,0,0,0,0,1,0,0.51,0.5625,0.0,0.0,0.5125000000000001,0.34571428571428575,0.48833333333333334,0.495,0.5666666666666667,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,2.0500000000000003,2.4200000000000004,2.93,0.99,5.1,0.0,0.48,0.0,0.0,0.0,0.0,30.73,37.07,947.6700000000001,421.75,525.9200000000001,1.4142135623730951,2.0,2.449489742783178,0.0,1.4142135623730951,3.0,0.0,2.0,2.6457513110645907,0.0,0.0,0.0,0.0,0.0,1.0,1.4648,-1.04,4.08,-1.8,-4.2,-67.2,4.86,-56.9,70.34,0.32,-0.033218,0.36,16.2,9.8,-3.4,22.945999999999998,9.8,16.0,17.6,-0.36,-0.5,2.16,-113.2,0.665874736,7.4,-7.608509,-9.75,-12.214,-25.32,-26.71,-2588.9,-1.51,0.24,-12.04,-7.96,-510.15,-134.88,0.0,0.0,0.0,0.0,0.0,-24.353,15.2549,0.000927,-4.127,8.272,-31.25,1.02,-14.574000000000002,-1.788,-1.511,0.0,-141.17,67.41,-250.56,39.29,781.329,15.497961390799999,-2.4930000000000003,2.488,-0.6617,-1.8319999999999999,-53.82,-1725.0,1.186,-39.4,-1819.0,-2.412,1.9280000000000002,-2.298,0.6786,23.26,-260.4,-3.128,-1.786,-235.8,-2668.835131,-2705.825945,707.72,-596.59,1304.31,-0.0415,0.0,0.0,0.0,-0.417677,-0.31199099999999996,-2.022235,-5.770004,-6.074847775319999,14.4798,0.0044859999999999995,35
