Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_157.pdb,1,2,1,3,3,4,5,2,4,3,2,2,0,2,0,0.46,0.5366666666666666,0.515,0.6525000000000001,0.35,0.3466666666666667,0.466,0.51,0.515,0.0,0.48,0.0,0.725,0.9266666666666667,0.8,1.03,2.6100000000000003,0.35,1.04,2.33,1.02,2.06,0.0,0.96,0.0,1.45,2.7800000000000002,1.6,29.76,43.25,1223.739999999998,517.6800000000003,706.0599999999977,1.0,1.7320508075688772,2.23606797749979,0.0,1.4142135623730951,2.0,1.4142135623730951,1.0,1.7320508075688772,2.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,0.0,1.4142135623730951,-0.7766,-5.478,-5.3,-2.8,-20.2,-76.8,-4.48,-91.52,63.16,-1.6,-0.018906,-2.18,-0.8,-4.8,-14.6,13.995999999999999,-7.2,-3.4,-3.6,-6.76,-4.74,-0.26,-138.8,-0.15345895880000002,-4.7,-7.446916000000001,-12.52,-17.163,-32.01,-37.57,-2382.28,-12.5,-10.64,-21.83,-3.74,-773.66,-406.78,0.0,0.0,0.0,0.0,0.0,-35.8288,450.329,0.0006259999999999999,-7.6129999999999995,-10.2,-9.697000000000001,-18.783,-411.38800000000003,0.996,8.812999999999999,0.0,-119.95,-78.17,-367.7,-91.72,72.706,-4.80688281357,-1.412,1.248,-1.265,-0.1695,170.5,-1841.0,-3.639,8.078,-1659.0,-0.6089,0.2212,-1.452,0.7805,57.54,-315.2,-0.7524,0.605,-256.3,-3120.708713,-3144.590056,772.22,-984.47,1756.69,-0.0449,0.0,0.0,0.0,-3.4282169999999996,-3.640461,-9.297901,-14.039684,-14.2983381746,-1.29613,0.008381999999999999,34
swarm_0_17.pdb,0,3,1,5,2,2,7,1,8,0,0,1,0,1,0,0.0,0.34,0.59,0.425,0.53,0.275,0.4628571428571429,0.56,0.50125,0.0,0.48,0.0,0.0,0.0,0.53,1.77,0.85,0.53,0.55,3.24,0.56,4.01,0.0,0.48,0.0,0.0,0.0,0.53,29.25,43.48,1343.8199999999997,711.79,632.0299999999988,0.0,2.23606797749979,2.6457513110645907,0.0,1.0,2.8284271247461903,1.7320508075688772,1.0,1.4142135623730951,1.4142135623730951,0.0,0.0,1.0,0.0,1.0,0.9122,-1.484,3.14,-5.2,-13.4,-102.6,5.5,-80.38,92.76,0.2,-0.005408,-0.64,22.0,9.2,-11.6,117.10600000000001,4.6,11.6,16.6,1.68,4.26,7.24,-157.6,-0.39692651799999995,7.6,-6.149133999999999,-10.54,-16.976,-41.96,-34.93,-2899.84,-4.92,2.3,-25.96,4.77,-789.71,-227.92,0.0,0.0,0.0,0.0,0.0,-39.728,53.2589,0.000469,-9.1,14.212,-23.075,2.805,-153.80100000000002,-3.2760000000000002,-0.354,0.0,-24.78,129.23,-286.03,-2.43,419.69699999999995,31.339869959899996,-2.193,2.364,1.206,-2.546,95.31,-2398.0,11.47,-3.0389999999999997,-2318.0,-1.2830000000000001,1.0490000000000002,0.02877,1.7369999999999999,19.87,-313.5,3.173,0.899,-295.9,-2988.209305,-3030.3569390000002,1663.52,-911.61,2575.12,0.1005,0.0,0.0,0.0,-0.357319,-1.208183,-5.761944000000001,-8.801375,-10.2275220809,-0.41772299999999996,0.006806,31
swarm_0_39.pdb,1,2,2,4,5,6,12,3,8,1,0,0,1,0,0,0.46,0.45999999999999996,0.53,0.66,0.425,0.316,0.47666666666666674,0.5166666666666667,0.5475,0.0,0.0,0.65,0.0,0.78,0.0,1.06,3.96,0.85,1.58,5.720000000000001,1.55,4.38,0.0,0.0,0.65,0.0,0.78,0.0,29.02,43.53,1527.9900000000016,839.0000000000018,688.9800000000014,1.0,2.0,3.4641016151377544,0.0,1.7320508075688772,2.8284271247461903,1.4142135623730951,1.4142135623730951,2.23606797749979,2.449489742783178,0.0,1.0,0.0,1.0,0.0,1.6404,-3.858,0.18,-8.8,-13.6,-92.4,4.18,-80.78,92.08,-3.22,0.006386,-6.06,28.6,12.6,-10.4,92.196,10.2,15.2,21.4,2.42,8.7,7.28,-161.4,0.374250672,8.1,-8.961321,-10.78,-18.070999999999998,-41.31,-38.95,-2277.04,3.02,-11.42,-48.35,-17.24,-857.36,-397.72,0.0,0.0,0.0,0.0,0.0,-41.8502,42.563,0.00036899999999999997,-12.079,13.956,-47.123000000000005,-2.835,-452.709,-1.768,6.834,0.0,-114.05,152.99,-255.66,-44.08,447.82099999999997,28.4652693905,-2.387,2.369,0.7744,-0.2447,419.0,-2796.0,9.12,25.15,-2361.0,-1.5590000000000002,1.5619999999999998,0.09058,0.1776,96.3,-449.1,3.891,3.194,-353.5,-3143.5791440000003,-3169.162791,1233.53,-984.0,2217.51,-0.0289,0.0,0.0,0.0,2.204189,2.226834,-8.160245,-11.333525,-13.464430798699999,-1.23858,0.006311,45
swarm_0_47.pdb,4,3,1,2,1,3,4,0,3,2,1,0,3,5,3,0.41,0.22999999999999998,0.5266666666666667,0.5133333333333333,0.38,0.27,0.4625,0.0,0.53,0.45333333333333337,0.47999999999999987,0.7066666666666667,0.51,0.89,0.0,1.58,1.54,0.38,0.27,1.85,0.0,1.59,1.36,2.3999999999999995,2.12,0.51,1.78,0.0,29.41,42.75,1021.8299999999981,522.8500000000004,498.9900000000016,2.0,1.4142135623730951,2.0,1.7320508075688772,0.0,1.7320508075688772,1.7320508075688772,1.0,1.0,1.7320508075688772,1.0,1.4142135623730951,0.0,1.7320508075688772,2.23606797749979,2.4694,-0.22399999999999998,-0.8,-3.6,-12.2,-88.2,-0.54,-102.44,95.74,-1.42,-0.010546,-2.32,14.0,6.8,-7.2,60.24,8.6,18.0,18.0,3.52,2.28,-2.18,-176.2,0.1306928632,-8.9,-8.05157,-11.27,-15.105,-35.17,-31.6,-2239.75,-16.63,-2.93,-25.75,-5.87,-765.72,-338.2,0.0,0.0,0.0,0.0,0.0,-40.8454,-72.6982,0.000545,-8.665,2.073,-22.07,-8.799,-465.074,-1.734,7.102,0.0,-39.94,21.89,-338.43,59.17,107.459,12.8430435332,-3.036,2.815,-0.4064,0.7991,-52.0,-1598.0,-0.047560000000000005,9.452,-1641.0,-2.5980000000000003,2.407,-1.139,-0.6127,0.228,-214.4,0.017,-2.511,-216.7,-2923.753673,-2958.531915,1167.06,-854.83,2021.89,0.0341,0.0,0.0,0.0,-0.241315,-3.993215,-3.1217599999999996,-6.287975,-5.07639304123,-1.9398,0.008886,35
swarm_101_132.pdb,0,2,0,7,2,3,6,0,6,1,1,3,0,1,3,0.0,0.5028571428571429,0.42500000000000004,0.7799999999999999,0.0,0.33999999999999997,0.48166666666666663,0.0,0.6066666666666666,0.5466666666666666,0.41,0.0,0.83,1.0,0.84,0.8500000000000001,2.34,0.0,0.6799999999999999,2.8899999999999997,0.0,3.6399999999999997,1.64,0.41,0.0,0.83,1.0,2.52,29.53,43.31,1194.2999999999993,550.3099999999995,643.9899999999998,0.0,2.6457513110645907,2.449489742783178,1.7320508075688772,0.0,2.449489742783178,1.4142135623730951,0.0,1.4142135623730951,1.7320508075688772,1.0,1.0,1.7320508075688772,0.0,1.0,0.1036,-2.298,0.36,-2.4,-11.6,-55.4,-1.0,-63.7,52.78,-0.2,0.08006,1.4,2.6,-0.4,-7.6,37.668,-2.2,2.4,2.6,-2.32,-2.1,6.74,-103.2,0.946263044,-5.4,-5.616001,-9.93,-17.09,-21.73,-13.93,-1922.44,-4.27,-8.51,-7.46,1.2,-606.84,-80.97,0.0,0.0,0.0,0.0,0.0,-40.9905,67.9461,0.000588,-9.716000000000001,-3.48,-3.312,-13.527000000000001,-474.608,3.0669999999999997,12.085,0.0,-36.13,-89.0,-234.1,-106.38,-192.86900000000003,-2.8609978966400003,-1.349,1.429,1.936,0.6297,149.4,-1915.0,10.13,17.16,-1758.0,-0.7929999999999999,0.3561,-1.151,1.7590000000000001,32.01,-307.6,-1.122,1.368,-273.1,-3071.108402,-3095.848673,640.39,-986.14,1626.53,-0.087,0.0,0.0,0.0,1.726737,0.8387319999999999,-7.710578999999999,-11.975583,-7.941393312100001,-2.18308,0.007456999999999999,35
swarm_10_180.pdb,2,1,2,8,6,1,4,0,5,0,2,0,0,2,1,0.47,0.405,0.53,0.53,0.39,0.33499999999999996,0.4675,0.0,0.42000000000000004,0.58,0.72,0.0,0.565,0.0,0.0,0.53,0.53,0.78,2.01,1.87,0.0,2.1,0.58,1.44,0.0,1.13,0.0,0.0,29.76,42.86,1059.9399999999987,545.6600000000017,514.289999999999,1.4142135623730951,2.8284271247461903,2.0,1.0,0.0,2.23606797749979,1.0,1.4142135623730951,2.449489742783178,1.0,1.4142135623730951,0.0,0.0,0.0,1.4142135623730951,1.9774,1.544,3.7,3.6,-5.2,-65.4,0.74,-78.86,68.32,2.46,0.011094,2.96,11.2,8.0,-2.8,41.95,5.6,9.2,10.6,-2.02,-0.54,3.0,-125.6,0.2510027498,-2.3,-3.454883,-5.53,-12.380999999999998,-25.12,-20.02,-1329.84,-7.81,-11.14,3.79,5.85,-549.64,265.14,0.0,0.0,0.0,0.0,0.0,28.3032,1700.41,0.00042199999999999996,-6.598,8.137,30.680999999999997,4.606,-331.421,-3.858,2.44,0.0,-22.98,36.85,-280.6,42.35,-7536.096,34.9453750355,-2.457,2.4219999999999997,0.5394,0.1916,39.43,-1825.0,6.984,5.7589999999999995,-1786.0,-0.8333,0.69,0.2753,0.9915,13.99,-295.8,3.9819999999999998,-3.5069999999999997,-289.3,-2575.790454,-2606.170866,1038.13,-743.68,1781.81,-0.0774,0.0,0.0,0.0,4.185034,1.0125959999999998,0.8541219999999999,-5.900078,-7.023996062799999,-1.62222,0.005235,34
swarm_102_107.pdb,1,0,1,8,7,3,4,1,9,0,3,0,2,3,1,0.43,0.48625,0.0,0.48000000000000004,0.35,0.41714285714285715,0.485,0.49,0.54,0.34,0.44999999999999996,0.735,0.4766666666666666,0.0,0.0,0.0,1.4400000000000002,0.35,2.92,1.94,0.49,4.86,0.34,1.3499999999999999,1.47,1.43,0.0,0.0,29.55,42.51,1382.6699999999983,616.4200000000001,766.239999999998,1.0,2.8284271247461903,2.0,1.0,1.0,3.0,0.0,1.0,2.6457513110645907,1.7320508075688772,1.7320508075688772,0.0,0.0,1.4142135623730951,1.7320508075688772,-0.1298,-0.078,0.5,-0.4,-10.8,-114.4,1.1,-113.56,104.3,1.5,0.08050399999999999,1.54,9.0,2.8,-15.4,36.766,2.8,10.4,11.6,-6.44,4.86,-1.52,-198.4,-0.25899266,-6.2,-7.105356,-15.04,-24.009,-35.12,-33.72,-3458.65,-3.13,10.82,18.69,10.32,-1086.67,-538.14,0.0,0.0,0.0,0.0,0.0,-66.1701,-43.8398,0.000408,-2.6319999999999997,11.335,-26.683000000000003,6.034,-302.498,-0.499,5.249,0.0,-115.71,-8.96,-155.82,-43.88,959.3910000000001,34.468341334,-3.8739999999999997,3.95,1.6130000000000002,-0.7429,678.3,-3525.0,24.1,-8.152000000000001,-2879.0,-2.9360000000000004,2.708,-0.47600000000000003,1.436,147.4,-528.9,2.64,-1.103,-385.2,-3811.767841,-3856.551493,1107.72,-1294.98,2402.7,-0.0911,0.0,0.0,0.0,3.597405,3.303125,2.14876,-5.134158,-14.0971924103,-0.421141,0.007534999999999999,43
swarm_102_21.pdb,0,2,0,3,1,1,1,0,2,2,0,2,4,2,0,0.0,0.24666666666666667,0.53,0.62,0.0,0.4,0.47,0.0,0.77,0.0,0.515,0.6625,0.0,0.95,0.78,1.06,0.62,0.0,0.4,0.47,0.0,1.54,0.0,1.03,2.65,0.0,1.9,1.56,29.41,43.14,896.630000000001,390.630000000001,506.0,0.0,1.7320508075688772,1.0,0.0,0.0,1.4142135623730951,1.4142135623730951,0.0,1.0,1.0,0.0,1.4142135623730951,1.4142135623730951,2.0,1.4142135623730951,0.2568,0.012,0.18,0.6,-4.2,-18.4,-1.78,-57.4,44.28,1.24,-0.053814,2.3,3.0,3.0,-0.6,1.258,1.4,6.0,3.8,0.66,5.52,5.4,-95.8,0.86290466,-17.5,-7.105853999999999,-13.05,-16.85,-22.06,-20.22,-2260.59,-0.64,-6.6,-56.72,-28.75,-703.92,-536.63,0.0,0.0,0.0,0.0,0.0,-55.85,-147.946,0.00063,-4.657,-11.024000000000001,-36.722,-19.354,-376.35,0.278,7.428999999999999,0.0,-0.2,-68.79,-335.57,23.74,-219.12099999999998,-12.6166965477,-3.173,3.068,-1.247,-0.935,125.8,-1515.0,-2.48,5.397,-1381.0,-2.3409999999999997,2.224,-1.129,-0.3486,48.81,-212.6,-0.1348,1.156,-162.5,-3100.550391,-3131.832026,505.28,-927.8,1433.09,-0.1105,0.0,0.0,0.0,1.058551,0.40081300000000003,0.587383,-2.700442,-5.834138983810001,-2.1041,0.01295,20
swarm_102_75.pdb,0,0,0,4,7,3,4,1,3,2,0,1,2,1,1,0.0,0.5375000000000001,0.0,0.8266666666666667,0.0,0.41000000000000003,0.495,0.53,0.77,0.48,0.41,0.765,0.0,0.89,0.76,0.0,2.48,0.0,2.87,1.98,0.53,2.31,0.48,0.41,1.53,0.0,1.78,0.76,28.46,43.87,1039.75,444.9300000000003,594.8199999999997,0.0,2.0,2.0,1.0,1.0,1.7320508075688772,0.0,0.0,2.6457513110645907,1.7320508075688772,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.9352,-1.774,2.02,-1.2,-8.0,-54.8,1.38,-55.8,57.78,0.38,-0.02877,1.62,8.6,4.6,-4.6,45.69,2.0,5.2,6.4,-1.44,5.88,5.2,-102.2,0.44790129,-6.4,-5.127254,-10.46,-14.626,-23.84,-22.0,-2143.39,-13.8,-11.87,-64.57,-32.59,-687.77,-462.82,0.0,0.0,0.0,0.0,0.0,-32.7508,17.5478,0.0005809999999999999,-4.155,-5.007,-28.19,-11.981,-477.092,3.3680000000000003,12.433,0.0,-80.08,-22.49,-205.7,-124.5,-134.44,1.8305184342900003,-1.976,1.8119999999999998,-0.4519,1.03,85.97,-1628.0,-0.569,8.056000000000001,-1533.0,-0.9332,0.2197,-2.439,2.116,30.08,-247.3,-3.1839999999999997,1.031,-213.0,-2834.176924,-2851.905664,378.71,-821.93,1200.63,-0.1553,0.0,0.0,0.0,4.255197,3.257973,-1.334941,-8.517372,-11.511250113800001,-1.49841,0.0068969999999999995,29
swarm_103_122.pdb,0,1,1,5,2,2,7,0,2,0,0,2,1,0,0,0.0,0.44400000000000006,0.4,0.65,0.39,0.41000000000000003,0.47714285714285715,0.0,0.51,0.0,0.0,0.65,0.0,0.0,0.685,0.4,1.3,0.39,0.8200000000000001,3.34,0.0,1.02,0.0,0.0,0.65,0.0,0.0,1.37,29.18,43.19,1049.619999999999,525.8799999999992,523.7399999999998,0.0,2.23606797749979,2.6457513110645907,0.0,0.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,0.0,0.0,1.4142135623730951,1.0,0.0,0.1218,-0.46399999999999997,-0.92,-4.4,-10.6,-48.2,0.06,-46.2,46.14,-1.08,-0.046852,-0.58,8.6,2.4,-5.8,59.06,-1.6,2.6,4.0,-2.24,-1.12,8.12,-87.0,0.281188212,1.4,-6.206361,-9.22,-16.151,-19.27,-10.66,-1247.9,-4.39,6.09,-15.91,-0.88,-712.11,-380.47,0.0,0.0,0.0,0.0,0.0,-22.6367,-45.4563,0.000359,-7.952999999999999,0.35,-28.201,-10.423,-432.655,-0.28,7.941,0.0,-35.43,37.14,-165.9,-77.19,184.602,-4.7215141886800005,-2.8739999999999997,2.898,0.8101,-0.7885,43.89,-1889.0,5.506,10.81,-1840.0,-1.4609999999999999,0.9658,-1.033,1.5190000000000001,-1.608,-204.6,-0.049,0.159,-206.0,-2915.990406,-2940.886879,719.69,-867.32,1587.01,-0.0818,0.0,0.0,0.0,-0.627096,-2.4827790000000003,-3.885624,-8.463861,-5.30155759256,-1.94347,0.005304,23
