Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_113.pdb,0,2,3,1,1,6,3,2,3,1,0,2,2,0,0,0.0,0.52,0.35,0.525,0.41,0.47,0.5166666666666667,0.44,0.6900000000000001,0.0,0.0,0.5349999999999999,0.0,0.49,0.8,0.7,3.1500000000000004,1.23,0.47,1.55,0.88,2.0700000000000003,0.0,0.0,1.0699999999999998,0.0,0.49,1.6,24.19,37.67,885.3299999999999,443.09999999999945,442.22999999999956,0.0,1.0,1.7320508075688772,0.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.7320508075688772,1.0,2.449489742783178,0.0,1.0,1.4142135623730951,1.4142135623730951,0.0,-0.2398,0.342,0.64,-4.6,-13.6,-73.6,-1.48,-64.48,54.24,-0.26,0.024062,-1.8,-5.4,-7.2,-17.2,5.2,-4.4,1.8,4.2,-5.04,0.82,-6.12,-111.0,-0.3137172984,-14.2,-8.310527,-9.73,-13.6838,-29.68,-22.85,-3111.58,-9.48,-4.51,-34.56,-15.04,-529.13,-239.59,0.0,0.0,0.0,0.0,0.0,-27.1832,-77.6841,0.00081,-14.52,-9.329,-28.355999999999998,-26.684,-322.317,0.995,7.119,0.0,-88.54,-19.46,-140.6,-113.59,-574.255,-10.4166257475,-2.224,2.17,-0.3472,-0.8725,-33.75,-1161.0,1.528,6.581,-1189.0,-2.0140000000000002,1.324,-2.477,0.7509999999999999,-1.7790000000000001,-192.6,-2.658,-0.379,-192.1,-2325.917152,-2353.579668,416.65,-765.39,1182.04,0.0249,0.0,0.0,0.0,-1.9567150000000002,-2.918778,-2.1620060000000003,-4.438737000000001,-9.60292221134,13.6667,0.016385,26
swarm_0_118.pdb,2,3,1,2,0,1,2,3,0,1,0,2,4,1,0,0.42,0.155,0.5666666666666668,0.53,0.35,0.0,0.53,0.5,0.0,0.0,0.59,0.5825,0.0,0.9,0.635,1.7000000000000002,0.53,0.35,0.0,1.06,1.5,0.0,0.0,0.59,2.33,0.0,0.9,1.27,24.42,37.79,744.1499999999996,316.5100000000002,427.64999999999964,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.7320508075688772,0.0,1.7320508075688772,1.0,0.0,1.0,0.0,1.0,1.4142135623730951,2.0,1.0,-1.9588,-1.8459999999999999,-4.06,-1.4,-14.6,-58.2,-5.12,-75.14,44.64,-0.84,-0.055889999999999995,-2.02,-6.2,-6.2,-14.2,7.994,-6.0,-2.8,-0.8,-5.62,-10.16,-14.54,-102.2,-0.0383238752,-9.6,-6.590496000000001,-11.06,-15.2495,-30.09,-27.97,-3436.78,24.07,-4.24,8.29,-1.79,-573.77,-287.07,0.0,0.0,0.0,0.0,0.0,-40.1158,-102.884,0.000779,-10.561,-12.603,-24.569000000000003,-25.621,-200.331,-0.703,3.1039999999999996,0.0,-30.6,-59.04,-246.53,41.75,60.096000000000004,-5.764695757999999,-2.27,2.28,1.026,0.1884,-41.74,-1489.0,8.36,15.8,-1523.0,-1.403,1.155,-0.9565,0.7667,22.41,-164.0,0.4903,1.58,-140.5,-2392.227096,-2414.546754,147.09,-818.95,966.04,-0.151,0.0,0.0,0.0,-0.984964,-0.774148,-6.587539,-7.878144,-6.518095786849999,13.2298,0.011091,22
swarm_0_154.pdb,10,5,0,8,4,13,10,3,7,1,1,4,6,1,0,0.4619999999999999,0.27875,0.522,0.44999999999999996,0.0,0.3325,0.477,0.51,0.5728571428571428,0.0,0.27,0.5650000000000001,0.58,0.9,0.6525,2.6100000000000003,5.85,0.0,1.33,4.77,1.53,4.01,0.0,0.27,3.39,0.58,0.9,2.61,24.76,37.38,2062.7599999999984,904.9599999999991,1157.7999999999993,3.1622776601683795,2.8284271247461903,3.1622776601683795,0.0,1.7320508075688772,2.6457513110645907,2.23606797749979,0.0,2.0,3.605551275463989,1.0,1.0,2.0,2.449489742783178,1.0,2.784,3.5260000000000002,6.48,-5.4,-21.0,-151.2,4.38,-188.9,182.08,2.56,0.034895999999999996,1.58,33.6,19.8,-10.8,116.01,11.8,30.0,37.8,3.64,5.22,6.98,-326.8,0.5796131186,7.7,-4.750624,-14.04,-25.5239,-53.68,-56.42,-4692.42,1.75,-4.23,16.16,29.02,-993.79,552.86,0.0,0.0,0.0,0.0,0.0,-67.0613,499.514,0.000306,-23.088,-5.917999999999999,11.085,-27.898000000000003,-684.539,-7.465,5.542000000000001,0.0,-144.72,209.89,-692.39,192.38,30.838,18.0105106659,-2.76,2.798,0.479,-1.7990000000000002,-511.9,-3941.0,15.92,11.31,-4457.0,-2.231,1.8969999999999998,-1.746,0.1581,0.5199,-537.4,1.609,-3.911,-542.4,-3458.900845,-3543.755891,1877.98,-1382.03,3260.0,-0.0013,0.0,0.0,0.0,-13.127223,-16.610134,-2.75332,-18.975319,-16.2574347505,22.9731,0.007877,73
swarm_0_15.pdb,3,4,0,4,2,5,5,1,5,3,0,3,6,1,1,0.5366666666666666,0.26,0.45499999999999996,0.53,0.0,0.33,0.542,0.44,0.556,0.55,0.54,0.6133333333333334,0.0,0.6266666666666666,0.6933333333333334,1.8199999999999998,2.65,0.0,0.66,2.71,0.44,2.7800000000000002,0.55,0.54,3.68,0.0,1.88,2.08,24.77,37.38,1296.0400000000009,540.3699999999999,755.6900000000005,1.7320508075688772,2.0,2.23606797749979,1.0,1.0,2.23606797749979,2.0,0.0,1.4142135623730951,2.23606797749979,0.0,1.7320508075688772,1.7320508075688772,2.449489742783178,1.0,-1.1294,-2.468,-2.42,-3.6,-18.0,-102.4,-3.74,-96.74,71.18,-0.74,-0.030354000000000003,-3.56,-4.2,-7.6,-20.2,24.508000000000003,-9.6,0.2,3.8,-1.84,-11.9,-13.12,-152.8,0.1281880414,-19.6,-10.557231,-17.74,-21.8997,-36.84,-26.23,-5133.29,10.28,-6.61,-23.64,-4.18,-688.33,-236.19,0.0,0.0,0.0,0.0,0.0,-55.9186,-4.02329,0.00059,-19.117,-14.804,-34.231,-37.344,-387.702,-0.315,7.051,0.0,-139.56,-45.7,-286.33,-22.56,-125.061,-24.6319203725,-3.156,3.0669999999999997,-0.2537,0.845,-378.1,-1908.0,6.4239999999999995,2.87,-2290.0,-2.8339999999999996,2.298,-0.08454,3.676,-15.11,-269.2,4.417,2.129,-286.6,-3172.889966,-3241.459043,77.6,-1191.62,1269.2,-0.2449,0.0,0.0,0.0,-1.507355,-0.40321399999999996,-9.717360000000001,-14.401618,-12.3828005288,6.8821699999999995,0.012512,43
swarm_0_162.pdb,21,8,10,36,12,10,23,6,11,1,0,8,11,28,34,0.48190476190476206,0.26749999999999996,0.5325000000000001,0.48500000000000004,0.391,0.32083333333333336,0.4778260869565217,0.49500000000000005,0.46181818181818185,0.6567647058823529,0.5525000000000001,0.5863636363636362,0.0,0.49,0.635,4.260000000000001,4.8500000000000005,3.91,3.85,10.989999999999998,2.97,5.08,22.33,15.470000000000002,6.449999999999998,0.0,0.49,5.08,26.53,37.24,2320.3099999999995,1029.2299999999996,1291.08,4.58257569495584,6.0,4.795831523312719,5.830951894845301,2.449489742783178,3.3166247903554,2.8284271247461903,3.1622776601683795,3.4641016151377544,3.1622776601683795,0.0,1.0,2.8284271247461903,3.3166247903554,5.291502622129181,-2.7216,-13.68,-15.08,-4.4,-81.0,-497.4,-30.42,-713.14,530.82,-0.38,0.014552,-10.56,24.2,18.4,-60.2,13.024000000000001,-5.0,70.6,90.0,-35.32,-41.88,-61.42,-1121.0,-4.172927232799999,-57.7,35.584758,19.08,-2.1161,-154.85,-154.86,-13372.25,196.2,34.83,640.75,486.12,740.23,10011.22,0.0,0.0,0.0,0.0,0.0,184.75099999999998,11187.1,0.0003,-20.551,-4.158,794.3860000000001,54.73,-610.2130000000001,-31.951,-20.357,0.0,572.99,-159.47,-2072.91,1177.85,1347.2089999999998,-6.96575539629,-4.149,4.052,0.7453,0.1199,-1692.0,-6151.0,43.45,-9.687000000000001,-7896.0,-3.838,3.823,-1.429,-1.4240000000000002,-292.6,-1222.0,5.494,-46.25,-1566.0,-1638.690432,-1823.288993,6443.92,-1145.44,7589.34,0.4708,0.0,0.0,0.0,-5.96949,-7.950755,-37.251073999999996,-68.068087,-36.0985163875,89.8374,0.005932,219
swarm_0_170.pdb,5,2,4,5,4,9,7,0,10,1,1,3,2,1,0,0.4600000000000001,0.124,0.605,0.5288888888888889,0.35,0.43749999999999994,0.5542857142857144,0.0,0.724,0.0,0.59,0.56,0.67,0.9,0.8466666666666667,1.21,4.76,1.4,1.7499999999999998,3.8800000000000003,0.0,7.24,0.0,0.59,1.12,0.67,0.9,2.54,24.41,37.09,1473.8399999999983,719.880000000001,753.9700000000003,2.23606797749979,2.23606797749979,2.6457513110645907,0.0,0.0,3.1622776601683795,1.4142135623730951,2.0,2.0,3.0,1.0,1.0,1.7320508075688772,1.4142135623730951,1.0,-4.797,-10.93,-9.96,-13.6,-32.8,-116.2,-5.18,-112.02,78.34,-5.52,-0.057772000000000004,-10.38,-4.4,-15.4,-31.8,69.528,-13.6,-7.6,-4.6,-7.54,-9.78,-13.96,-180.4,-2.137544788,-22.0,-7.645994,-13.03,-21.593000000000004,-33.23,-35.7,-6607.37,-1.12,-14.02,35.97,15.6,-743.31,126.38,0.0,0.0,0.0,0.0,0.0,-76.5032,340.969,0.000401,-28.69,-6.638,-8.565,-36.184,-385.85,3.443,10.774000000000001,0.0,-103.49,-13.27,-505.76,-76.46,276.233,-15.4622385667,-2.121,2.081,-0.7795,-1.537,-127.0,-1896.0,1.2590000000000001,10.62,-2013.0,-1.764,1.016,-2.504,1.912,-2.275,-321.3,-3.235,3.64,-316.7,-3107.3483079999996,-3152.817801,1522.18,-1218.95,2741.14,-0.1264,0.0,0.0,0.0,-10.346755,-8.831608000000001,-12.940288,-19.331135999999997,-10.8123666169,13.7942,0.011406999999999999,54
swarm_0_172.pdb,10,4,6,5,5,10,8,1,6,1,3,6,4,2,0,0.43,0.22800000000000004,0.58,0.558,0.3733333333333333,0.356,0.495,0.44,0.545,0.0,0.45499999999999996,0.49250000000000005,0.68,0.9,0.73,2.32,5.58,2.2399999999999998,1.7799999999999998,3.96,0.44,3.27,0.0,0.9099999999999999,1.9700000000000002,2.04,0.9,4.38,24.04,37.5,1585.4800000000014,736.46,849.0199999999995,3.1622776601683795,2.23606797749979,2.8284271247461903,0.0,1.0,2.449489742783178,2.0,2.449489742783178,2.23606797749979,3.1622776601683795,1.7320508075688772,1.0,2.449489742783178,2.0,1.4142135623730951,-0.6466,0.77,0.34,-5.4,-16.0,-141.0,2.38,-136.32,128.82,0.32,-0.036204,-2.04,23.6,11.0,-12.2,71.42,7.6,18.4,23.6,-3.76,6.84,0.5,-235.4,-0.008939566,-1.6,4.410955,-1.03,-13.3717,-47.54,-47.9,-6701.96,28.73,-8.81,82.08,63.95,-212.85,2199.36,0.0,0.0,0.0,0.0,0.0,83.8144,3776.14,0.000339,-12.675999999999998,-11.015,134.296,-10.262,-383.34,-4.087,3.197,0.0,-8.59,139.14,-845.61,253.44,366.835,-13.8688355058,-2.164,2.184,-0.5229,-1.5659999999999998,-391.6,-2101.0,5.166,12.97,-2485.0,-1.695,1.3130000000000002,-2.06,-0.060289999999999996,6.904,-389.1,-1.58,-2.384,-383.0,-2340.10364,-2385.10386,2237.19,-988.93,3226.13,-0.0897,0.0,0.0,0.0,-2.027661,-4.475864,-12.377867,-25.608716,-12.6901597652,28.8385,0.007437,71
swarm_0_192.pdb,1,2,5,3,4,9,4,1,9,1,0,5,4,1,0,0.32,0.24333333333333332,0.565,0.5088888888888888,0.37,0.345,0.57,0.44,0.6566666666666667,0.0,0.48,0.4925,0.0,0.9,0.688,1.13,4.579999999999999,1.85,1.38,2.28,0.44,5.91,0.0,0.48,1.97,0.0,0.9,3.44,24.41,37.56,1339.5700000000015,679.5100000000002,660.0600000000004,1.0,1.7320508075688772,2.0,0.0,1.0,3.0,1.4142135623730951,2.23606797749979,2.0,3.0,0.0,1.0,2.23606797749979,2.0,1.0,-0.1132,-6.504,-4.5,-8.0,-15.4,-86.0,-0.16,-86.82,73.3,-3.28,-0.049024,-9.1,20.0,7.2,-13.8,70.63,0.2,5.8,11.2,-1.98,0.94,7.86,-142.8,-1.86656731,-8.1,-9.061403,-13.81,-22.6694,-31.63,-35.88,-4307.79,-23.58,-6.97,-24.39,11.68,-891.48,-401.87,0.0,0.0,0.0,0.0,0.0,-75.775,-68.4775,0.000343,-22.114,4.694,-5.604,-17.98,-243.415,-1.545,3.08,0.0,-104.41,110.81,-296.49,38.29,286.774,-3.56147822458,-2.969,2.978,0.015009999999999999,-1.157,-52.68,-2151.0,7.571000000000001,-4.644,-2216.0,-1.393,1.139,-0.9767,0.239,28.71,-309.1,2.484,-3.6260000000000003,-286.5,-3177.394495,-3208.164584,1115.13,-1208.75,2323.89,0.1837,0.0,0.0,0.0,-9.457746,-9.639609,-6.017842,-5.140553,-5.8377807303199996,6.567480000000001,0.012388,49
swarm_0_59.pdb,4,1,3,0,2,9,3,0,6,2,0,2,3,0,0,0.73,0.0,0.35,0.5700000000000001,0.4466666666666667,0.39,0.54,0.0,0.6750000000000002,0.0,0.0,0.36000000000000004,0.0,0.8400000000000001,0.55,0.35,5.130000000000001,1.34,0.78,1.62,0.0,4.050000000000001,0.0,0.0,1.08,0.0,1.6800000000000002,1.1,24.41,37.56,779.1100000000006,359.1199999999999,419.9900000000007,2.0,0.0,1.7320508075688772,0.0,0.0,2.449489742783178,1.0,1.7320508075688772,1.4142135623730951,3.0,0.0,1.4142135623730951,1.4142135623730951,1.7320508075688772,0.0,-0.1626,-4.47,-0.84,-2.0,-6.6,-70.2,0.46,-57.88,53.94,-0.32,0.024380000000000002,-2.12,7.4,1.6,-11.0,45.052,-1.4,7.4,10.4,-1.84,-6.46,1.44,-102.4,-0.35908583200000005,-17.1,-7.925438000000001,-11.96,-14.0172,-21.61,-21.19,-2982.26,-32.48,-8.92,-15.56,7.8,-509.8,-231.9,0.0,0.0,0.0,0.0,0.0,-43.2043,51.0769,0.0009699999999999999,-19.131,-2.7969999999999997,-3.48,-22.276,-289.769,3.719,9.224,0.0,-90.03,-3.65,-92.12,-54.59,-73.516,-8.95472098561,-1.922,1.795,-1.179,-0.9886,-99.78,-1103.0,-2.667,-1.5859999999999999,-1202.0,-1.767,1.392,-1.6159999999999999,-0.0573,-17.92,-178.6,-1.345,-4.228,-199.4,-2317.632973,-2363.915957,4.86,-819.81,824.69,0.0609,0.0,0.0,0.0,-3.8972,-2.946031,-9.547239,-9.754259,-8.88925091588,13.1993,0.008256999999999999,35
swarm_0_63.pdb,0,3,3,1,5,6,9,1,8,0,0,3,6,0,0,0.0,0.08,0.5399999999999999,0.4733333333333334,0.41,0.382,0.508888888888889,0.44,0.5275000000000001,0.0,0.0,0.565,0.0,0.0,0.6999999999999998,1.6199999999999999,2.8400000000000003,1.23,1.9100000000000001,4.580000000000001,0.44,4.220000000000001,0.0,0.0,3.3899999999999997,0.0,0.0,2.0999999999999996,24.88,38.28,1517.08,677.2699999999995,839.8100000000004,0.0,1.0,3.0,0.0,1.0,2.8284271247461903,1.7320508075688772,1.7320508075688772,2.23606797749979,2.449489742783178,0.0,0.0,1.7320508075688772,2.449489742783178,0.0,0.7638,-1.454,-0.22,-7.2,-12.8,-107.8,4.16,-93.96,94.22,-2.02,0.002542,-6.96,32.4,13.6,-12.4,91.648,6.8,13.4,21.0,1.22,7.12,2.28,-164.2,-1.5847946988,2.1,-8.601498,-16.66,-24.2499,-28.97,-36.17,-3763.21,-8.34,-6.37,-66.53,-23.14,-979.75,-512.89,0.0,0.0,0.0,0.0,0.0,-52.8521,-62.6083,0.000408,-17.944000000000003,-6.438,-49.835,-29.365,-348.69199999999995,-4.396,2.229,0.0,-101.02,110.08,-401.15,54.62,248.90900000000002,24.3735938286,-2.036,2.084,1.03,0.187,-179.7,-2658.0,14.49,-6.894,-2859.0,-0.8392,0.2117,-1.2409999999999999,2.793,23.66,-359.2,2.485,-0.28,-338.3,-3280.8446559999998,-3370.9629579999996,771.39,-1265.6,2036.98,-0.0461,0.0,0.0,0.0,-4.6710199999999995,-3.74917,-10.599413,-12.316536,-8.25466774005,15.1998,0.0092,45
