Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_100_121.pdb,6,3,8,8,11,3,9,4,5,1,0,3,1,3,2,0.5449999999999999,0.355,0.5666666666666668,0.49000000000000005,0.45,0.3609090909090909,0.3744444444444444,0.5525,0.654,0.495,0.4333333333333333,0.52,0.0,0.9,0.7166666666666667,1.7000000000000002,1.4700000000000002,3.6,3.97,3.3699999999999997,2.21,3.27,0.99,1.2999999999999998,0.52,0.0,0.9,2.15,30.97,39.35,1899.2299999999996,917.9799999999996,981.239999999998,2.449489742783178,2.8284271247461903,3.0,1.4142135623730951,2.0,2.23606797749979,1.7320508075688772,2.8284271247461903,3.3166247903554,1.7320508075688772,0.0,1.0,1.7320508075688772,1.0,1.7320508075688772,2.7518,-2.0340000000000003,5.56,-5.6,-19.2,-151.0,6.72,-135.96,140.4,1.06,0.042248,0.28,32.8,20.4,-4.6,33.186,4.6,16.4,21.2,1.84,13.88,14.18,-257.6,0.6996978979999999,7.8,-5.810372,-11.22,-27.881,-51.19,-40.97,-4704.8,-1.52,0.78,18.79,37.57,-1014.53,-39.53,0.0,0.0,0.0,0.0,0.0,-44.788999999999994,570.381,0.00033,-26.388,14.583,-9.741,-12.779000000000002,-124.55,-6.519,-4.152,0.0,-116.76,154.4,-566.27,-27.96,1094.348,25.601383742800003,-3.478,3.583,1.568,-1.9609999999999999,-89.46,-3083.0,15.55,0.6095,-3187.0,-3.05,2.69,-1.785,0.08875,-21.19,-450.3,-2.295,-3.009,-472.2,-5207.304157,-5266.8866020000005,3688.04,-1472.93,5160.97,-0.1055,0.0,0.0,0.0,4.361544,2.022535,1.1714799999999999,-16.970314000000002,-11.9412754557,18.5525,0.003164,67
swarm_100_151.pdb,4,5,5,11,12,4,6,3,12,4,2,5,6,5,3,0.4975,0.4318181818181818,0.564,0.5449999999999999,0.43,0.41333333333333333,0.4466666666666666,0.5333333333333333,0.48333333333333334,0.4533333333333333,0.5,0.785,0.625,0.665,0.7,2.82,2.1799999999999997,2.15,4.96,2.6799999999999997,1.6,5.8,1.3599999999999999,2.5,4.71,1.25,2.66,3.5,31.15,39.0,2528.0999999999985,1123.6499999999996,1404.4500000000007,2.0,3.3166247903554,2.449489742783178,1.7320508075688772,1.7320508075688772,3.4641016151377544,2.23606797749979,2.23606797749979,3.4641016151377544,2.0,1.4142135623730951,2.0,2.23606797749979,2.449489742783178,2.23606797749979,1.1352,-0.32,-1.0,-8.4,-32.6,-249.2,5.06,-218.6,196.88,-0.42,0.0059240000000000004,-3.7,36.0,20.6,-16.6,90.382,1.8,15.6,20.2,-0.88,-2.88,-5.72,-371.0,0.30413101579999996,-10.2,-14.249031,-25.78,-43.857,-89.69,-54.4,-7295.21,-26.62,-15.7,-52.7,-24.43,-1899.91,-877.63,0.0,0.0,0.0,0.0,0.0,-67.9803,84.0009,0.00020899999999999998,-24.615,9.16,-63.298,-21.785,-287.478,-1.5819999999999999,3.88,0.0,-177.39,102.41,-745.37,-84.31,519.674,20.3306392123,-1.996,1.8980000000000001,-0.1912,1.258,-188.6,-4198.0,8.698,-53.28,-4449.0,-1.4969999999999999,0.8496,-0.7405,2.825,-23.92,-636.8,5.3020000000000005,-5.483,-671.5,-6858.472165000001,-6936.647872,4302.44,-2245.89,6548.33,-0.1297,0.0,0.0,0.0,-7.599633,-0.6405930000000001,-2.6739740000000003,-19.680388,-22.541478528000003,6.28023,0.0052179999999999995,87
swarm_100_156.pdb,1,4,0,6,8,6,7,2,14,1,0,2,1,1,2,0.55,0.35000000000000003,0.605,0.535,0.0,0.32375,0.4657142857142857,0.56,0.5407142857142857,0.45999999999999996,0.27,0.83,0.0,0.49,0.615,2.42,3.21,0.0,2.59,3.26,1.12,7.57,0.9199999999999999,0.27,0.83,0.0,0.49,1.23,30.49,39.23,2131.989999999998,1173.2700000000004,958.7199999999975,1.0,2.449489742783178,2.6457513110645907,1.4142135623730951,1.4142135623730951,3.7416573867739413,2.0,0.0,2.8284271247461903,2.449489742783178,0.0,1.0,1.4142135623730951,1.0,1.0,-0.512,-0.076,-0.72,-7.0,-13.0,-111.2,5.94,-81.2,89.36,-1.7,-0.024564,-4.12,33.8,17.0,-9.2,115.714,2.2,9.8,17.8,1.12,12.5,9.0,-157.4,-0.44643335,9.8,-11.827859,-12.04,-30.204,-57.6,-43.5,-4440.35,-5.91,3.14,-15.94,-0.76,-1297.19,-421.46,0.0,0.0,0.0,0.0,0.0,-63.4583,-15.1407,0.00020299999999999997,-23.663,36.946999999999996,-45.208,8.763,-145.118,-2.819,-0.061,0.0,-137.83,189.21,-65.81,-101.41,-96.24,28.359327781199998,-2.1590000000000003,2.3609999999999998,2.991,-1.385,-38.11,-2924.0,20.88,-15.21,-2998.0,-2.7889999999999997,2.008,-0.7403,3.446,-45.99,-434.8,3.236,3.6310000000000002,-480.4,-5377.319476,-5425.219316,4113.55,-1577.78,5691.32,0.0002,0.0,0.0,0.0,-0.955824,0.7166680000000001,-9.906305,-13.941785999999999,-15.4297022053,10.7963,0.0054,55
swarm_100_158.pdb,6,6,7,11,24,15,17,5,18,1,3,4,4,9,3,0.47333333333333333,0.4354545454545455,0.5383333333333333,0.5786666666666668,0.41571428571428565,0.4066666666666667,0.4611764705882354,0.54,0.545,0.37333333333333335,0.41000000000000003,0.64,0.7666666666666666,0.78,0.7375,3.23,8.680000000000001,2.9099999999999997,9.76,7.840000000000002,2.7,9.81,1.12,3.6900000000000004,2.56,2.3,0.78,2.95,30.65,38.91,1899.4800000000032,963.6499999999996,935.8199999999997,2.449489742783178,3.3166247903554,4.123105625617661,1.7320508075688772,2.23606797749979,4.242640687119285,2.449489742783178,2.6457513110645907,4.898979485566356,3.872983346207417,1.7320508075688772,1.0,2.0,2.0,3.0,3.4619999999999997,-1.314,3.04,-12.8,-51.8,-345.4,2.16,-340.82,304.2,1.5,-0.027913999999999998,3.48,32.6,10.8,-34.8,102.884,8.4,27.0,28.4,-1.44,23.1,30.56,-567.2,1.033372122,-4.8,23.277635,17.21,-8.38,-107.42,-78.19,-8257.74,36.25,-1.74,426.01,239.47,313.04,6642.24,0.0,0.0,0.0,0.0,0.0,211.90900000000002,9071.98,0.000285,-30.159000000000002,12.055,482.594,30.156,-470.60699999999997,-5.183,3.759,0.0,356.89,117.49,-1779.4,296.05,624.6759999999999,58.4209824435,-3.845,3.8310000000000004,1.379,-0.4348,-940.9,-3631.0,35.84,-33.03,-4641.0,-4.345,3.8110000000000004,-0.7353,1.8780000000000001,-210.0,-708.7,7.14,-8.307,-934.1,-3465.336715,-3556.277364,7279.86,-999.33,8279.18,0.6418,0.0,0.0,0.0,-0.638977,-0.616005,-21.947347,-41.059411,-25.1648693396,22.4542,0.003023,133
swarm_100_15.pdb,1,3,2,7,5,5,8,0,7,2,0,2,2,2,0,0.53,0.3657142857142857,0.58,0.6180000000000001,0.485,0.346,0.41874999999999996,0.0,0.3685714285714286,0.0,0.41000000000000003,0.675,0.0,0.49,0.735,1.74,3.0900000000000003,0.97,1.73,3.3499999999999996,0.0,2.58,0.0,0.8200000000000001,1.35,0.0,0.98,1.47,30.57,39.49,1848.5600000000013,917.8500000000004,930.6900000000023,1.0,2.6457513110645907,2.8284271247461903,0.0,0.0,2.6457513110645907,1.7320508075688772,1.4142135623730951,2.23606797749979,2.23606797749979,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,2.2736,-0.892,2.52,-4.6,-10.0,-106.8,6.68,-98.98,115.36,-0.02,0.027027999999999996,-1.42,34.4,20.0,-6.2,63.456,13.6,21.6,26.2,7.36,15.66,14.44,-200.6,-0.010447774,10.6,-8.670509,-9.16,-25.903000000000002,-34.5,-39.01,-3445.72,-0.1,-7.95,7.15,2.92,-1202.34,-628.37,0.0,0.0,0.0,0.0,0.0,0.827735,120.40799999999999,0.00032900000000000003,-10.141,20.297,-49.228,5.233,-220.24900000000002,-4.3,-0.11599999999999999,0.0,-151.78,199.08,84.78,-86.5,1107.458,36.759807148,-3.596,3.605,0.8458,-1.671,-171.8,-3072.0,10.38,-3.6830000000000003,-3258.0,-3.122,2.889,1.067,3.634,11.93,-490.7,8.878,3.8510000000000004,-483.8,-4815.266853,-4854.326805,3544.12,-1351.46,4895.57,0.0005,0.0,0.0,0.0,-2.4089139999999998,-2.951386,-1.054556,-10.040581,-19.5930302547,8.69557,0.003326,46
swarm_100_174.pdb,3,2,2,7,3,8,10,2,11,1,0,3,0,0,1,0.5199999999999999,0.3614285714285715,0.42,0.6075,0.405,0.29666666666666663,0.49399999999999994,0.545,0.3836363636363636,0.44,0.0,0.0,0.0,0.49,0.86,0.84,4.86,0.81,0.8899999999999999,4.9399999999999995,1.09,4.22,0.44,0.0,0.0,0.0,0.49,2.58,31.15,39.22,1877.319999999996,872.0900000000001,1005.2200000000012,1.7320508075688772,2.6457513110645907,3.1622776601683795,1.0,1.4142135623730951,3.3166247903554,1.4142135623730951,1.4142135623730951,1.7320508075688772,2.8284271247461903,0.0,1.0,1.7320508075688772,0.0,0.0,0.946,-2.846,-2.9,-15.0,-29.4,-149.2,5.6,-109.6,122.84,-4.24,0.027139999999999997,-7.98,24.0,8.4,-19.4,97.046,0.4,10.8,15.2,7.28,15.12,9.58,-231.0,-0.631952346,8.9,-9.383194999999999,-15.69,-25.748,-53.45,-40.02,-3895.67,-16.32,4.7,-28.62,-4.03,-1114.27,-178.34,0.0,0.0,0.0,0.0,0.0,-42.4146,72.4573,0.00031600000000000004,-27.5,6.582000000000001,-25.54,-23.473000000000003,-194.262,-3.097,0.594,0.0,-153.34,190.26,-141.25,-224.55,617.851,20.7777564391,-1.7919999999999998,1.798,0.1968,-0.9474,179.2,-2875.0,6.502999999999999,8.28,-2694.0,-1.9480000000000002,1.599,0.0946,3.7569999999999997,36.45,-542.8,7.1739999999999995,9.421,-504.1,-4930.943461,-4991.036031000001,3285.19,-1379.04,4664.23,0.0899,0.0,0.0,0.0,-7.315430999999999,-4.788051,-6.939539,-15.467653,-17.4570424738,8.35956,0.002038,53
swarm_100_30.pdb,6,1,5,7,4,4,3,0,5,0,2,2,4,7,3,0.47833333333333333,0.5199999999999999,0.49,0.47000000000000003,0.454,0.32499999999999996,0.48,0.0,0.364,0.4533333333333333,0.4557142857142857,0.8374999999999999,0.5900000000000001,0.0,0.8200000000000001,0.49,1.8800000000000001,2.27,1.2999999999999998,1.44,0.0,1.82,1.3599999999999999,3.19,3.3499999999999996,1.1800000000000002,0.0,1.6400000000000001,30.94,38.78,1777.9400000000023,604.0100000000002,1173.9399999999987,2.449489742783178,2.6457513110645907,1.7320508075688772,1.7320508075688772,0.0,2.23606797749979,1.0,2.23606797749979,2.0,2.0,1.4142135623730951,0.0,1.4142135623730951,2.0,2.6457513110645907,1.3376,0.376,-1.82,-6.4,-23.8,-188.2,0.3,-177.54,150.46,-0.14,0.027607999999999997,0.98,14.0,8.4,-9.2,22.241999999999997,-2.2,13.8,9.0,-7.62,13.44,-3.54,-278.0,-0.172992108,-9.4,-10.929897,-21.09,-30.897,-58.4,-40.5,-4606.25,-34.61,-12.89,-56.8,-26.96,-1238.2,-499.18,0.0,0.0,0.0,0.0,0.0,-75.2703,8.772960000000001,0.000367,-14.617,-10.724,-32.489000000000004,-28.59,-238.35299999999998,-2.244,2.285,0.0,-151.23,-42.44,-791.19,32.94,298.825,18.1274347859,-1.642,1.357,-1.649,0.4223,-177.7,-2990.0,-10.87,-31.35,-3188.0,-1.1840000000000002,0.6914,-2.417,-0.2062,5.617999999999999,-426.6,-4.298,-6.115,-422.8,-5577.507662,-5642.905509,1842.83,-1612.28,3455.1,-0.0281,0.0,0.0,0.0,1.529996,-0.8912129999999999,-2.304898,-7.457789999999999,-19.772699825,14.1243,0.0052640000000000004,53
swarm_100_9.pdb,4,3,0,13,8,8,6,2,7,1,0,3,1,1,0,0.505,0.39230769230769236,0.58,0.55625,0.0,0.3575,0.4033333333333333,0.56,0.3714285714285714,0.0,0.27,0.52,0.0,0.49,0.6366666666666667,1.74,4.45,0.0,2.86,2.42,1.12,2.5999999999999996,0.0,0.27,0.52,0.0,0.49,1.9100000000000001,29.87,39.61,1712.8400000000001,810.4500000000007,902.3999999999978,2.0,3.605551275463989,2.449489742783178,0.0,1.4142135623730951,2.6457513110645907,1.7320508075688772,0.0,2.8284271247461903,2.8284271247461903,0.0,1.0,1.7320508075688772,1.0,1.0,4.3624,3.39,6.18,-2.8,-5.4,-90.4,9.78,-88.56,116.34,0.64,0.093544,-0.38,41.4,27.4,1.2,84.27600000000001,17.6,28.0,32.2,8.2,12.26,10.6,-195.6,1.620106,18.7,-7.412653999999999,-12.35,-29.285999999999998,-43.39,-44.81,-3229.22,19.49,1.71,-2.06,15.83,-1330.88,-684.11,0.0,0.0,0.0,0.0,0.0,-22.55,171.12,0.0004,-14.244000000000002,13.445,-63.38,-7.1370000000000005,-322.875,-6.102,0.033,0.0,-168.86,252.96,34.35,-69.23,2380.563,30.012551330999997,-0.5734,0.6852,1.0659999999999998,-1.177,124.7,-3636.0,15.41,-36.19,-3563.0,1.3019999999999998,-1.44,0.6295,1.952,59.32,-521.2,9.264,-2.755,-473.9,-5233.044642,-5267.28392,4039.61,-1511.1,5550.71,0.11599999999999999,0.0,0.0,0.0,-0.638058,1.568188,-1.092128,-12.043292999999998,-15.5867907396,5.02168,0.004263,57
swarm_101_184.pdb,1,2,3,9,6,0,2,5,6,0,3,0,0,7,3,0.43,0.4577777777777778,0.5349999999999999,0.0,0.4366666666666667,0.31,0.47,0.5119999999999999,0.5,0.47,0.5585714285714286,0.0,0.6733333333333333,0.0,0.0,1.0699999999999998,0.0,1.31,1.86,0.94,2.5599999999999996,3.0,1.41,3.91,0.0,2.02,0.0,0.0,30.84,39.19,1508.2100000000028,659.880000000001,848.3400000000001,1.0,3.0,1.4142135623730951,1.7320508075688772,2.23606797749979,2.449489742783178,1.4142135623730951,1.7320508075688772,2.449489742783178,0.0,1.7320508075688772,0.0,0.0,0.0,2.6457513110645907,-0.9868,-2.674,-5.24,-5.4,-14.8,-126.4,-1.48,-113.88,86.86,-2.6,0.049918000000000004,-6.56,18.8,11.2,-9.8,13.696,-0.6,4.2,3.6,-4.96,0.2,-6.74,-169.4,-0.88611309,-4.1,-7.648105999999999,-17.92,-24.112,-21.63,-14.47,-3605.83,-12.52,11.18,-19.37,-0.38,-1030.87,-310.17,0.0,0.0,0.0,0.0,0.0,-10.6112,895.922,0.00042699999999999997,-5.275,12.447000000000001,-38.272,3.345,-51.88399999999999,-0.31,0.6759999999999999,0.0,-99.65,19.45,-541.31,82.83,173.93,11.9585309811,-2.222,2.003,-0.3345,1.0390000000000001,-302.0,-2470.0,1.083,-4.823,-2778.0,-1.7930000000000001,1.5419999999999998,0.423,1.913,-11.85,-289.4,3.873,2.322,-302.8,-4882.750295000001,-4940.588186,1165.44,-1290.54,2455.98,-0.0823,0.0,0.0,0.0,-2.853586,-4.238995,4.208517,-5.149737,-13.0032683122,4.1734599999999995,0.0027660000000000002,47
swarm_101_60.pdb,3,1,3,5,8,5,6,1,5,1,1,1,2,3,3,0.52,0.506,0.49,0.53,0.4466666666666667,0.3375,0.45999999999999996,0.55,0.44800000000000006,0.48666666666666664,0.7566666666666667,0.845,0.67,0.9,0.7,0.49,2.6500000000000004,1.34,2.7,2.76,0.55,2.24,1.46,2.27,1.69,0.67,0.9,0.7,30.69,39.06,1799.0000000000036,888.4100000000017,910.5900000000001,1.7320508075688772,2.23606797749979,2.449489742783178,1.7320508075688772,1.0,2.23606797749979,1.0,1.7320508075688772,2.8284271247461903,2.23606797749979,1.0,1.0,1.0,1.4142135623730951,1.7320508075688772,-0.4752,3.0060000000000002,2.62,-1.2,-18.2,-142.6,0.7,-133.2,108.78,1.6,0.062524,1.36,24.4,14.6,-10.2,74.47399999999999,0.4,7.6,10.8,-8.44,1.0,7.4,-193.6,1.134072784,-6.2,-7.472992999999999,-17.29,-25.758000000000003,-39.91,-33.37,-3863.45,-9.31,10.5,-11.6,-3.57,-1177.03,-618.9,0.0,0.0,0.0,0.0,0.0,-16.0418,49.0918,0.000386,-12.387,12.383,-26.569000000000003,-2.661,-41.935,-0.768,0.028999999999999998,0.0,-115.89,32.43,-487.56,-63.64,1559.9160000000002,9.911574862430001,-2.877,2.823,-0.3632,-1.215,-174.3,-2516.0,2.262,-22.86,-2715.0,-2.089,1.724,-0.8643,1.175,-5.761,-385.9,0.9284,-3.611,-396.2,-4982.953274,-5017.221479,2361.61,-1350.31,3711.92,-0.1038,0.0,0.0,0.0,-2.211062,-7.644485,-5.201738,-14.666479999999998,-10.789634270499999,5.6513599999999995,0.003375,48
