Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_131.pdb,6,1,4,4,1,3,10,2,4,0,0,1,0,0,1,0.5566666666666668,0.4875,0.54,0.51,0.5075,0.42,0.502,0.45999999999999996,0.6225,0.48,0.0,0.0,0.0,0.0,0.9,0.54,1.53,2.03,0.42,5.02,0.9199999999999999,2.49,0.48,0.0,0.0,0.0,0.0,0.9,34.74,32.63,1086.5299999999988,533.7399999999998,552.7900000000009,2.449489742783178,2.0,3.1622776601683795,1.0,1.4142135623730951,2.0,1.0,2.0,1.0,1.7320508075688772,0.0,0.0,1.0,0.0,0.0,1.8642,0.726,3.18,-5.8,-13.2,-109.4,4.46,-98.66,95.04,-0.1,-0.048248,-3.0,18.6,9.8,-10.0,19.82,2.8,10.8,14.8,1.7,7.7,2.32,-170.8,-0.8296346214,2.0,-6.305324,-11.22,-17.355,-30.93,-22.35,-2238.81,-8.45,-10.0,-36.7,-13.76,-650.05,-336.2,0.0,0.0,0.0,0.0,0.0,-46.1976,-71.9937,0.000653,-16.027,4.707,-30.023000000000003,-14.322000000000001,-20.27,0.307,0.6920000000000001,0.0,-60.6,33.16,-352.47,-90.48,-2490.758,24.2571946979,-2.346,2.244,-0.08713,-0.1763,31.15,-2032.0,2.549,-8.405,-2012.0,-1.974,1.555,-1.01,1.054,1.207,-312.9,0.3844,-3.2230000000000003,-315.3,-3962.5056259999997,-4003.729876,1655.75,-837.02,2492.76,-0.1418,0.0,0.0,0.0,-1.068462,-1.400195,-6.279961,-6.080943,-6.43145085574,3.7980199999999997,0.003243,37
swarm_0_28.pdb,0,2,7,4,4,0,14,3,8,0,0,1,0,3,0,0.0,0.35,0.5900000000000001,0.0,0.4528571428571428,0.36,0.4742857142857142,0.48,0.635,0.0,0.31666666666666665,0.0,0.0,0.0,0.5,1.1800000000000002,0.0,3.1699999999999995,1.44,6.639999999999999,1.44,5.08,0.0,0.95,0.0,0.0,0.0,0.5,35.24,31.93,1666.5299999999988,832.630000000001,833.8999999999996,0.0,2.0,3.7416573867739413,0.0,1.7320508075688772,2.8284271247461903,1.4142135623730951,2.6457513110645907,2.0,0.0,0.0,0.0,1.0,0.0,1.7320508075688772,2.3204,2.5839999999999996,5.02,-7.0,-13.6,-152.6,7.76,-133.02,136.6,-0.68,-0.05785800000000001,-3.34,38.0,20.2,-13.8,78.63600000000001,10.6,18.6,29.2,8.34,20.06,18.84,-233.2,-0.2252422502,13.7,-8.706567,-14.3,-24.589000000000002,-38.47,-36.42,-3085.55,-7.87,-2.1,-18.84,12.31,-1029.34,-402.36,0.0,0.0,0.0,0.0,0.0,-54.9878,-26.8677,0.000405,-15.901,16.543,-37.883,-3.147,1.796,-5.242000000000001,-5.276,0.0,-60.26,140.34,-407.51,-42.19,-9109.784,36.5974665489,-3.862,3.815,0.8855,-0.716,102.0,-3030.0,14.8,-2.969,-2946.0,-2.7939999999999996,2.721,0.7562,1.609,45.29,-479.9,7.733,2.7430000000000003,-439.6,-4733.667912,-4781.179967,2049.65,-1179.34,3229.01,-0.0611,0.0,0.0,0.0,-1.9547560000000002,-4.984764,-3.702744,-3.998104,-9.87125704356,5.219040000000001,0.0039570000000000004,46
swarm_0_71.pdb,7,3,5,12,5,6,9,2,2,0,1,0,4,3,4,0.5671428571428571,0.4083333333333334,0.3833333333333333,0.48166666666666663,0.404,0.34400000000000003,0.47777777777777786,0.44,0.78,0.695,0.33666666666666667,0.6349999999999999,0.65,0.0,0.0,1.15,2.8899999999999997,2.02,1.7200000000000002,4.300000000000001,0.88,1.56,2.78,1.01,2.5399999999999996,0.65,0.0,0.0,34.88,32.72,1384.1799999999967,712.1100000000006,672.0699999999997,2.6457513110645907,3.4641016151377544,3.0,2.0,1.4142135623730951,1.4142135623730951,1.7320508075688772,2.23606797749979,2.23606797749979,2.449489742783178,1.0,0.0,0.0,2.0,1.7320508075688772,3.458,0.652,3.7,-4.8,-2.8,-142.2,6.86,-134.26,142.66,0.68,0.011122,-2.16,28.4,17.4,-6.0,61.048,12.4,27.6,34.2,5.56,4.18,5.64,-247.2,0.5934698079999999,-1.5,-9.351348,-13.8,-23.316999999999997,-51.9,-38.63,-3907.24,44.91,9.13,106.12,63.62,-877.86,248.95,0.0,0.0,0.0,0.0,0.0,-68.7039,333.459,0.000401,-4.935,12.629000000000001,-6.154,7.079,-104.586,-8.495,-6.507000000000001,0.0,-13.14,135.4,-582.27,172.58,-4880.492,11.535566083199999,-3.99,3.864,0.2079,-0.6989,-291.7,-2630.0,8.982000000000001,19.08,-2912.0,-2.4219999999999997,2.716,0.9035,-0.3443,-31.08,-412.6,7.622999999999999,-4.897,-456.2,-4785.518378,-4865.086034,2579.91,-1146.15,3726.05,0.4928,0.0,0.0,0.0,5.868858,7.848717999999999,0.978392,-11.691623,-8.10044946149,14.3845,0.0033810000000000003,63
swarm_0_76.pdb,5,5,7,4,0,3,12,8,1,0,0,1,1,0,1,0.532,0.5025000000000001,0.6260000000000001,0.5533333333333333,0.4957142857142856,0.0,0.45,0.5025,0.75,0.34,0.0,0.88,0.0,0.0,0.9,3.1300000000000003,1.6600000000000001,3.4699999999999993,0.0,5.4,4.02,0.75,0.34,0.0,0.88,0.0,0.0,0.9,34.97,31.9,1577.489999999998,958.0700000000015,619.4200000000001,2.23606797749979,2.0,3.4641016151377544,1.0,2.8284271247461903,1.0,2.23606797749979,2.6457513110645907,0.0,1.7320508075688772,0.0,0.0,1.0,1.0,0.0,1.9069999999999998,1.516,1.98,-6.8,-19.0,-113.0,5.8,-104.44,108.88,-0.9,-0.002444,-3.24,23.8,12.8,-13.0,19.252,4.0,12.0,17.8,5.7,13.42,12.16,-203.0,-0.161644432,4.3,-7.877312,-10.63,-18.930999999999997,-38.67,-33.77,-2962.4,13.94,-1.76,15.99,17.51,-706.39,195.66,0.0,0.0,0.0,0.0,0.0,-11.498,106.009,0.000338,3.6510000000000002,25.378,-16.29,27.4,30.541999999999998,1.054,0.474,0.0,-85.27,190.23,-265.69,-83.31,-3624.572,36.6706384579,-4.105,4.037,-0.0070799999999999995,-1.9680000000000002,107.7,-2558.0,3.798,9.998,-2444.0,-3.511,2.9960000000000004,-1.611,0.7040000000000001,32.59,-445.4,-2.4859999999999998,2.9189999999999996,-407.4,-4165.790618999999,-4213.672209,2105.16,-942.36,3047.52,0.0532,0.0,0.0,0.0,-10.531753,-6.9135100000000005,-6.932325,-15.507597,-3.6036277800599996,4.64659,0.0018329999999999998,48
swarm_100_37.pdb,4,1,4,2,1,3,14,2,6,0,2,2,0,1,1,0.355,0.325,0.63,0.49666666666666665,0.5025,0.27,0.43285714285714283,0.45999999999999996,0.5116666666666667,0.51,0.48,0.0,0.5800000000000001,0.0,0.55,0.63,1.49,2.01,0.27,6.06,0.9199999999999999,3.0700000000000003,0.51,0.48,0.0,1.1600000000000001,0.0,1.1,34.74,32.63,1262.0499999999993,671.3199999999997,590.7399999999998,2.0,1.4142135623730951,3.7416573867739413,1.0,1.4142135623730951,2.449489742783178,1.0,2.0,1.0,1.7320508075688772,1.4142135623730951,0.0,1.4142135623730951,0.0,1.0,1.9184,-5.086,0.12,-6.4,-11.8,-87.6,0.64,-102.32,104.04,-3.76,0.010026,-7.94,17.2,7.8,-12.6,34.674,15.8,24.8,25.6,-3.64,-3.82,3.72,-190.2,-1.6649020447999998,8.6,-6.998436999999999,-5.96,-19.477999999999998,-24.37,-19.24,-1730.19,-19.13,-11.53,11.58,23.14,-842.85,-143.48,0.0,0.0,0.0,0.0,0.0,-28.7002,206.575,0.000523,-19.18,8.575,-24.548000000000002,-13.06,-35.958,-5.122000000000001,-4.438,0.0,-108.45,106.9,-163.97,27.4,3273.8990000000003,10.4520147271,-3.645,3.4989999999999997,-0.9327,-0.5422,-165.4,-2452.0,1.032,1.189,-2618.0,-2.5639999999999996,2.52,0.8804,2.7030000000000003,7.269,-298.8,6.309,-0.8599,-298.7,-4222.125771,-4245.098387,2055.39,-975.77,3031.17,-0.0625,0.0,0.0,0.0,-1.520025,-0.65136,-4.88194,-8.84864,-9.096860485630001,9.655330000000001,0.007977,43
swarm_100_46.pdb,2,1,5,4,4,0,7,2,2,0,2,0,0,2,2,0.29,0.41000000000000003,0.52,0.0,0.43200000000000005,0.39999999999999997,0.4642857142857143,0.48,0.46,0.34,0.475,0.0,0.555,0.0,0.0,0.52,0.0,2.16,1.5999999999999999,3.25,0.96,0.92,0.68,0.95,0.0,1.11,0.0,0.0,34.44,32.33,1054.4599999999955,500.6799999999985,553.7800000000007,1.4142135623730951,2.0,2.6457513110645907,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,2.23606797749979,2.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.4142135623730951,2.8578,0.6559999999999999,4.88,0.2,-4.0,-74.8,3.12,-90.48,89.52,1.68,0.027768,0.78,17.8,12.4,-1.4,25.898000000000003,13.0,17.4,18.0,2.84,9.42,0.08,-152.2,0.1237256558,3.5,-6.260194,-7.07,-18.37,-28.01,-14.88,-1921.84,9.9,-4.67,-10.17,-2.51,-650.27,97.31,0.0,0.0,0.0,0.0,0.0,-31.1079,93.8889,0.000682,-2.6189999999999998,2.707,-16.986,-1.611,-37.06,-2.574,-1.87,0.0,-51.73,37.24,-281.38,59.81,4229.646,11.6576420615,-2.555,2.443,-0.2352,-0.0609,-191.2,-2136.0,1.607,-5.803999999999999,-2335.0,-1.4769999999999999,1.409,-0.2597,0.1889,2.863,-298.5,2.59,-2.873,-301.1,-4065.460025,-4096.306098,1834.96,-897.26,2732.22,-0.0592,0.0,0.0,0.0,-0.7872819999999999,-3.8813,-1.0576780000000001,-8.719555999999999,-8.61942396121,5.79113,0.003182,33
swarm_10_104.pdb,2,2,0,9,2,5,7,1,3,1,0,0,5,0,0,0.38,0.36333333333333334,0.445,0.46799999999999997,0.0,0.265,0.49857142857142855,0.44,0.5933333333333334,0.0,0.0,0.5700000000000001,0.0,0.9,0.0,0.89,2.34,0.0,0.53,3.4899999999999998,0.44,1.78,0.0,0.0,2.85,0.0,0.9,0.0,35.19,33.02,1083.7599999999984,573.4699999999993,510.28999999999905,1.4142135623730951,3.0,2.6457513110645907,0.0,1.0,1.7320508075688772,1.4142135623730951,0.0,1.4142135623730951,2.23606797749979,0.0,1.0,0.0,2.23606797749979,0.0,3.4142,-1.974,6.06,-3.6,-6.0,-86.0,5.04,-68.88,77.96,0.46,0.042957999999999996,-1.42,19.2,7.6,-5.0,100.46600000000001,6.2,13.8,19.8,7.52,4.8,-1.48,-124.4,0.5096041304,3.2,-9.55532,-15.61,-19.487000000000002,-8.69,-6.48,-2168.45,15.26,-12.62,4.61,41.25,-702.38,-382.79,0.0,0.0,0.0,0.0,0.0,-40.972,-34.131,0.000401,-4.567,8.966000000000001,-40.07,0.392,-48.757,-3.008,-2.082,0.0,-70.53,98.52,-320.46,87.59,417.87199999999996,3.9929554449599998,-4.204,4.102,0.06894,-0.4624,-275.6,-2006.0,4.838,1.01,-2286.0,-2.8160000000000003,2.983,0.3727,-1.092,-17.86,-234.2,3.6439999999999997,-2.9,-258.6,-4306.46382,-4377.056208,463.04,-978.48,1441.53,0.0185,0.0,0.0,0.0,3.623824,1.8620700000000001,3.904552,-6.678203999999999,-7.449742765339999,17.3957,0.002892,37
swarm_101_163.pdb,0,3,2,7,6,6,7,1,13,2,2,1,0,3,0,0.0,0.33285714285714285,0.5866666666666667,0.5233333333333333,0.475,0.2866666666666666,0.47000000000000003,0.49,0.5015384615384616,0.0,0.41,0.0,0.775,0.94,0.9,1.76,3.14,0.95,1.7199999999999998,3.29,0.49,6.5200000000000005,0.0,1.23,0.0,1.55,1.88,0.9,34.15,32.93,1932.4599999999991,740.8600000000006,1191.5999999999985,0.0,2.6457513110645907,2.6457513110645907,0.0,1.0,3.605551275463989,1.7320508075688772,1.4142135623730951,2.449489742783178,2.449489742783178,1.4142135623730951,1.4142135623730951,1.0,0.0,1.7320508075688772,1.226,-4.758,-1.82,-6.2,-14.6,-105.6,4.2,-89.58,85.0,-2.02,-0.012354,-3.74,29.4,14.0,-8.2,118.73200000000001,3.4,7.6,13.2,8.76,10.4,-3.62,-154.6,-0.40230714939999995,6.4,-10.22136,-22.41,-35.709,-55.36,-40.42,-4636.46,-13.81,-2.42,-41.94,-23.54,-1224.96,-737.4,0.0,0.0,0.0,0.0,0.0,-55.4564,-89.3275,0.000293,-0.9470000000000001,1.551,-72.459,-6.642,-203.783,-3.339,0.5329999999999999,0.0,-160.1,77.57,-428.9,-30.49,185.83,15.1278508078,-1.986,2.035,0.9785,-0.6279,93.78,-3202.0,13.75,-2.822,-3124.0,-1.1059999999999999,0.9235,0.6553,2.214,31.75,-485.9,6.9510000000000005,-0.899,-462.0,-5890.319447,-5970.211896,2274.37,-1757.33,4031.69,-0.0649,0.0,0.0,0.0,-5.033721,-6.688655000000001,-6.2121010000000005,-11.049976,-20.9484089001,5.74022,0.0046229999999999995,53
swarm_101_19.pdb,1,4,5,3,8,6,7,1,13,2,4,4,0,1,0,0.52,0.3233333333333333,0.6025,0.65,0.488,0.3925,0.43999999999999995,0.48,0.4453846153846154,0.0,0.48,0.0,0.7275,0.8400000000000001,0.7250000000000001,2.41,3.9000000000000004,2.44,3.14,3.0799999999999996,0.48,5.79,0.0,0.48,0.0,2.91,1.6800000000000002,2.9000000000000004,34.86,32.11,1954.6399999999994,949.869999999999,1004.7700000000004,1.0,1.7320508075688772,2.6457513110645907,0.0,1.0,3.605551275463989,2.0,2.23606797749979,2.8284271247461903,2.449489742783178,2.0,1.4142135623730951,2.0,0.0,1.0,-2.3174,4.496,-1.96,-1.2,-32.6,-167.0,0.58,-161.54,134.66,1.1,-0.019618,3.84,9.6,-1.6,-26.6,82.49,-4.2,3.2,8.6,-4.94,-2.1,2.38,-262.4,-0.8699089548000001,-8.4,-5.408801,-13.35,-30.486,-55.07,-50.42,-4226.97,-25.44,-7.87,37.64,46.72,-1372.62,-273.89,0.0,0.0,0.0,0.0,0.0,-31.2168,284.582,0.000297,10.044,18.636,-13.775,27.302,-172.78599999999997,0.364,3.6460000000000004,0.0,-175.96,59.39,-127.21,-177.49,-423.275,21.5514405611,-2.323,2.405,0.7628,-1.676,38.65,-3373.0,12.31,-18.54,-3365.0,-1.061,0.7531,0.0654,2.1519999999999997,28.84,-535.6,6.5889999999999995,-5.747000000000001,-519.1,-5338.755042,-5400.821615,3497.21,-1526.79,5024.0,-0.1327,0.0,0.0,0.0,-5.160125,-8.441425,4.1383339999999995,-0.341738,-18.646067583900003,9.2998,0.004441,59
swarm_101_2.pdb,3,5,6,4,10,5,23,4,14,0,3,2,0,2,1,0.4066666666666667,0.405,0.518,0.63,0.435,0.42699999999999994,0.47043478260869553,0.545,0.42857142857142855,0.51,0.44499999999999995,0.0,0.81,0.0,0.74,2.59,3.15,2.61,4.27,10.819999999999997,2.18,6.0,0.51,0.8899999999999999,0.0,2.43,0.0,1.48,34.5,31.95,2321.4900000000016,1073.3999999999996,1248.0900000000001,1.7320508075688772,2.0,4.795831523312719,1.0,2.0,3.7416573867739413,2.23606797749979,2.449489742783178,3.1622776601683795,2.23606797749979,1.7320508075688772,0.0,1.4142135623730951,0.0,1.4142135623730951,0.8864,-2.448,-0.6,-10.0,-26.0,-192.8,5.88,-170.36,170.66,-2.48,0.000136,-2.12,34.8,14.8,-24.6,114.39399999999999,6.6,20.4,29.2,5.2,24.58,16.42,-298.0,-0.5283061076,10.6,-13.595861,-23.23,-36.255,-78.09,-68.95,-3632.73,-1.41,-12.25,-59.68,-11.96,-1460.99,-771.4,0.0,0.0,0.0,0.0,0.0,-31.7576,-34.0214,0.00024300000000000002,3.595,16.711,-69.51100000000001,13.355,-120.257,-2.9219999999999997,-0.637,0.0,-181.48,146.15,-122.01,-218.36,-118.581,44.9965713455,-3.4589999999999996,3.4939999999999998,0.7419,-1.788,-162.8,-3728.0,16.15,-39.37,-3946.0,-3.234,2.661,-1.337,2.162,-6.178999999999999,-636.1,1.93,-7.091,-651.3,-5933.927087,-6002.760308,2684.76,-1767.48,4452.23,-0.0654,0.0,0.0,0.0,-2.238893,-1.274222,-0.8186979999999999,-10.180655,-22.119005752800003,7.095619999999999,0.002329,82
