Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_119.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.16,37.44,1543.5299999999988,664.9900000000016,878.5400000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264,-3.178,-1.76,-10.6,-19.6,-131.4,1.64,-120.36,112.28,-2.7,0.005178,-7.58,17.2,5.6,-17.4,31.26,1.8,8.2,13.0,-1.58,-2.8,6.6,-202.2,-1.40740686,1.4,-7.754225,-13.28,-24.635,-46.56,-36.57,-3610.66,-10.88,-13.32,-30.15,-10.38,-1095.31,-159.33,0.0,0.0,0.0,0.0,0.0,-36.516999999999996,151.297,0.000401,-2.483,4.9,-8.31,1.585,-168.35299999999998,-2.072,1.127,0.0,-96.33,69.57,-476.43,-66.1,-375.045,25.37626176,-1.881,1.643,-1.756,2.2969999999999997,-102.0,-2928.0,-9.895,-17.73,-3038.0,-1.235,0.5401,-0.9643,2.164,-12.15,-395.4,3.055,-6.492999999999999,-417.1,-4691.032432999999,-4742.075493,2383.83,-1224.43,3608.26,-0.1361,0.0,0.0,0.0,-4.573855,-5.128927,-4.751084,-9.997743,-15.5434686781,19.1414,0.0,0
swarm_0_131.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.38,37.05,2433.2199999999975,1171.5900000000001,1261.6399999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.283,-4.726,-2.62,-16.0,-26.4,-204.4,5.26,-181.04,184.52,-6.24,-0.06854600000000001,-11.68,38.6,16.8,-26.6,73.054,11.0,22.2,30.0,4.38,10.16,11.18,-329.6,-0.688044074,12.4,-12.644075,-18.65,-38.333,-68.92,-56.1,-4749.34,-1.28,8.77,26.15,32.57,-1533.07,-215.83,0.0,0.0,0.0,0.0,0.0,-41.3894,456.44199999999995,0.00021099999999999998,-15.889000000000001,22.7,-11.254000000000001,5.685,-204.19099999999997,-8.242,-4.362,0.0,-89.65,215.15,-420.27,0.36,-4549.1320000000005,60.257774589499995,-3.051,2.909,-0.5265,1.6909999999999998,145.8,-5199.0,-3.14,-12.85,-5063.0,-2.168,1.7990000000000002,-0.2036,2.401,75.19,-750.3,6.19,-2.502,-683.8,-5961.090278,-6053.470996999999,4196.09,-1892.92,6089.0,-0.2062,0.0,0.0,0.0,-23.498637,-24.460128,-11.348251,-24.881467,-21.739818463200002,25.9115,0.0,0
swarm_0_177.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.34,37.17,2325.350000000002,1051.5499999999975,1273.7999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149,-0.574,2.02,-8.4,-27.0,-228.6,3.04,-203.52,192.62,-1.56,0.068228,-3.7,32.0,15.8,-25.0,89.444,4.8,19.8,29.0,0.36,13.02,0.72,-341.6,-0.40025867979999996,-0.3,-8.287338,-20.86,-35.301,-53.88,-53.59,-5663.67,-4.56,-12.7,0.43,3.06,-1353.31,-128.17,0.0,0.0,0.0,0.0,0.0,-67.5498,443.852,0.00022999999999999998,-15.370999999999999,15.59,31.425,3.361,-60.063,-5.615,-4.474,0.0,-212.46,-10.83,-631.64,-68.08,-1029.917,64.24969366239999,-2.439,2.39,-0.2694,0.2405,539.6,-5228.0,-0.2175,-18.03,-4706.0,-1.6569999999999998,1.489,-0.2237,1.0590000000000002,107.6,-737.4,7.481,-7.695,-645.0,-5908.606708,-6012.838925999999,3123.55,-1776.39,4899.94,0.1782,0.0,0.0,0.0,-5.185221,-7.507476,-7.624197000000001,-17.175565,-25.916824215300004,23.705,0.0,0
swarm_0_178.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.99,37.5,1999.6500000000015,861.7399999999998,1137.8999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,-2.43,2.26,-13.4,-17.8,-167.8,7.22,-138.5,152.16,-2.98,-0.029006,-6.64,31.4,17.2,-16.6,70.816,7.6,20.2,28.0,3.08,18.62,5.4,-264.0,-0.1746914352,6.1,-9.431144999999999,-21.12,-30.124000000000002,-71.64,-64.76,-4111.68,4.43,-5.87,22.74,21.53,-1329.66,-313.51,0.0,0.0,0.0,0.0,0.0,-60.7444,124.891,0.000315,-4.066,4.583,-25.392,-2.022,-162.881,-4.814,-1.719,0.0,-159.17,122.51,-470.08,-50.46,-3156.699,36.7113586552,-3.0389999999999997,2.935,-1.117,-0.4898,-98.26,-3731.0,-8.74,-7.983,-3829.0,-2.417,1.876,-0.8051,2.017,4.774,-510.1,3.245,-2.929,-511.5,-5285.142532,-5369.527838,2839.93,-1494.77,4334.71,0.1133,0.0,0.0,0.0,-0.428596,-6.327508,-9.006566000000001,-21.928906,-21.7873761775,20.1885,0.0,0
swarm_0_91.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67,36.43,2195.0,887.7700000000004,1307.2399999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5106,-2.778,4.28,-6.0,-13.8,-184.6,6.4,-170.58,165.34,0.5,-0.09479800000000001,-2.74,39.2,27.6,-8.6,66.83800000000001,7.8,21.6,29.2,6.46,15.76,10.58,-295.0,-0.2958880982,7.9,-10.668161,-21.06,-33.541,-56.61,-38.6,-4028.94,-0.64,-8.33,-38.95,-19.59,-1405.59,-682.17,0.0,0.0,0.0,0.0,0.0,-77.5262,-91.0168,0.000265,-11.994000000000002,12.225,-73.23899999999999,-7.093,-53.433,-4.197,-3.182,0.0,-150.15,23.02,-655.8,82.2,-3151.6440000000002,66.3859841842,-2.247,2.2569999999999997,-0.0519,-0.7773,523.1,-4980.0,2.276,-25.88,-4486.0,-0.4235,0.3904,-0.07034,0.16399999999999998,155.4,-698.2,7.819,-10.77,-561.4,-5639.674983,-5758.590667,2728.59,-1581.22,4309.8,0.0654,0.0,0.0,0.0,-3.516054,-6.399577,0.603688,-12.228507,-21.8339486331,20.0555,0.0,0
swarm_100_161.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.18,37.18,1485.1200000000026,663.6900000000005,821.4300000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0222,-2.322,1.6,-2.8,-16.8,-117.4,1.44,-114.0,108.8,0.32,0.023522,1.4,16.8,9.0,-13.8,39.278,4.6,11.2,14.0,0.54,-2.6,1.5,-190.4,0.5047918598,-5.6,-8.054352,-15.0,-23.743000000000002,-49.38,-35.83,-3194.97,-5.56,0.14,-9.51,-0.43,-1104.73,-767.6,0.0,0.0,0.0,0.0,0.0,-38.3161,-53.3741,0.000499,-0.9129999999999999,0.6809999999999999,-53.37,-5.569,-168.812,-3.61,-0.40299999999999997,0.0,-88.43,60.36,-345.17,-38.53,81.85,20.1383824206,-1.5530000000000002,1.504,-0.3077,0.3035,13.75,-2821.0,-0.7988,-13.95,-2820.0,-0.2355,0.01366,-0.6261,0.5679,32.27,-351.0,2.4659999999999997,-6.307,-327.5,-4605.776699,-4657.175278,1881.2,-1159.43,3040.65,-0.0746,0.0,0.0,0.0,-2.857056,-9.627419,-4.443048999999999,-10.447968,-13.816596538099999,18.9953,0.0,0
swarm_100_163.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.23,37.03,1676.619999999999,636.6600000000017,1039.9500000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8008,0.02,5.48,-2.0,-5.2,-148.6,5.36,-132.6,137.24,0.76,0.003322,1.74,31.8,22.2,-5.6,57.288000000000004,15.2,24.6,31.6,-2.82,11.98,8.28,-221.8,1.0591648608,6.8,-4.361612999999999,-15.64,-24.416,-58.01,-50.47,-3554.92,-1.7,17.02,64.78,58.17,-1035.56,-113.79,0.0,0.0,0.0,0.0,0.0,-24.5074,387.17,0.00042300000000000004,-9.714,2.2969999999999997,34.328,-3.984,-64.683,-7.72,-6.4910000000000005,0.0,-53.97,65.54,-564.88,131.81,130.347,22.689028279200002,-2.333,2.398,0.1929,-1.7619999999999998,169.2,-3864.0,1.078,-25.01,-3721.0,-1.3559999999999999,1.625,1.014,-0.1991,70.64,-496.6,9.615,-5.4270000000000005,-441.0,-4715.440014,-4784.588207,2310.82,-1251.14,3561.97,0.0313,0.0,0.0,0.0,1.303225,2.435029,-4.952405000000001,-15.512629,-15.529482258,19.664,0.0,0
swarm_100_1.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.08,37.24,1315.5999999999985,588.25,727.340000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8590000000000001,-4.7219999999999995,0.94,-1.2,-8.6,-111.2,6.1,-89.42,101.92,-0.46,-0.076454,-0.88,21.2,11.2,-13.6,46.348,7.2,14.0,21.0,-2.14,14.74,9.9,-172.8,0.32106691800000003,2.4,-9.245363000000001,-15.39,-26.061999999999998,-32.0,-24.98,-2907.13,0.94,4.71,-59.54,-24.45,-1158.53,-601.91,0.0,0.0,0.0,0.0,0.0,-46.4919,-1.7024599999999999,0.000478,-4.96,4.781000000000001,-34.663000000000004,-3.645,-92.851,-4.712,-2.948,0.0,-78.37,73.04,-270.61,2.63,614.23,17.615655149000002,-2.103,2.0580000000000003,-0.7896,-0.5724,-75.21,-2926.0,-3.465,-1.756,-2999.0,-0.9987,0.3665,-0.8503,2.281,-2.254,-343.0,1.52,-0.626,-347.4,-4797.860908,-4837.435286,2293.24,-1284.18,3577.42,0.0058,0.0,0.0,0.0,-10.262353,-11.743916,-1.706074,-8.610239,-11.8671697913,18.9493,0.0,0
swarm_100_51.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.08,37.24,1416.920000000002,576.0900000000001,840.8199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9414,1.13,-4.88,-2.8,-24.2,-166.6,-6.7,-185.6,125.24,-0.54,0.037738,-0.92,8.4,6.0,-22.4,-8.656,-1.4,3.2,3.4,-15.92,-7.3,-8.56,-240.6,-0.39365765560000004,-13.4,-6.776159,-17.14,-23.225,-47.3,-46.36,-4635.45,-24.44,-22.8,-41.3,-18.09,-820.59,-11.9,0.0,0.0,0.0,0.0,0.0,-36.1077,186.49900000000002,0.000454,-8.785,-7.785,-4.428999999999999,-17.012999999999998,-265.346,-1.067,3.975,0.0,-68.53,-84.66,-580.75,1.01,-826.4,-6.737477864140001,-0.5942,0.4293,-0.9590000000000001,1.415,-99.16,-2558.0,-5.2829999999999995,5.28,-2646.0,0.06329,-0.2803,-0.5095,0.9598,24.55,-396.4,1.925,-4.03,-377.8,-4617.617094,-4660.889601,920.32,-1199.61,2119.95,-0.1561,0.0,0.0,0.0,-2.3293470000000003,-5.588725,-6.108124,-15.438593,-14.5528160945,18.5328,0.0,0
swarm_101_117.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.97,37.56,1271.2400000000016,617.6899999999987,653.5600000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4848,2.0180000000000002,2.12,-2.4,-13.6,-107.8,-0.54,-102.56,90.38,0.38,-0.021754,1.62,7.2,4.8,-12.0,-9.572000000000001,0.4,6.6,8.8,-3.18,-1.0,-3.48,-161.0,0.6534891671999999,-14.1,-6.609525,-12.62,-19.325,-44.22,-36.16,-3037.83,-6.22,5.93,-9.05,17.85,-880.24,-150.84,0.0,0.0,0.0,0.0,0.0,-55.8062,-13.7234,0.000465,-4.711,-0.9,-6.419,-6.252999999999999,-173.378,-1.396,1.8980000000000001,0.0,-34.83,-8.52,-510.28,26.97,-12924.819,9.81160645385,-1.464,1.3219999999999998,-1.525,0.09144,53.63,-2469.0,-8.862,-4.496,-2411.0,-1.525,1.0859999999999999,-1.23,1.439,23.04,-275.8,0.278,0.035,-253.0,-4137.329955,-4193.8966,1737.89,-925.73,2663.62,-0.0348,0.0,0.0,0.0,-3.575297,-7.481855,-5.069063,-13.121201000000001,-15.200297318499999,24.7304,0.0,0
