Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_100_111.pdb,1,0,2,2,9,0,2,2,3,0,1,1,0,0,0,0.52,0.72,0.0,0.0,0.57,0.47777777777777775,0.505,0.45999999999999996,0.5,0.0,0.0,0.0,0.88,0,0.74,0.0,0.0,1.14,4.3,1.01,0.9199999999999999,1.5,0.0,0.0,0.0,0.88,0,0.74,36.48,33.33,1105.2399999999998,541.8800000000001,563.3500000000004,1.0,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.7320508075688772,0.0,1.4142135623730951,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9784,3.17,3.98,0.2,-9.8,-76.0,2.24,-68.66,62.5,1.26,-0.03656,1.78,10.8,4.4,-9.4,52.328,0.4,4.8,8.8,0.94,4.94,-1.32,-111.4,0.2084987848,-3.7,-4.613881,-10.53,-14.2646,-21.25,-17.89,-1083.58,-0.01,-0.77,-13.47,-2.17,-481.08,-172.09,0.0,0.0,0.0,0.0,0.0,-25.6278,-45.9298,0.000468,-8.318,8.562999999999999,-31.486,-2.903,46.931000000000004,-1.008,-1.9,0.0,-80.16,-35.8,-182.84,-85.55,689.8660000000001,6.88439690531,-1.3730000000000002,1.591,-0.0008835000000000001,-3.6689999999999996,-94.32,-1332.0,4.311,-13.76,-1444.0,0.062029999999999995,-0.28600000000000003,-1.7530000000000001,-1.242,-2.227,-213.2,-1.9269999999999998,-4.2,-217.7,-2189.759624,-2216.9807530000003,-206.48,-734.02,527.54,-0.0196,0.0,0.0,0.0,1.119145,-2.8183700000000003,-0.59531,-5.487925,-7.20157938484,-3.8935199999999996,0.011348,23
swarm_100_125.pdb,0,1,0,1,0,0,4,0,13,0,0,0,0,0,0,0.0,0.34,0.64,0.0,0.0,0.0,0.5225,0.0,0.5461538461538462,0.0,0.0,0.0,0.0,0,0.0,0.64,0.0,0.0,0.0,2.09,0.0,7.1000000000000005,0.0,0.0,0.0,0.0,0,0.0,35.67,33.12,881.0599999999995,478.5,402.5699999999997,0.0,1.0,2.0,0.0,0.0,3.605551275463989,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5952,-1.758,-2.16,-7.0,-8.0,-41.2,3.42,-22.64,33.14,-2.72,0.022606,-4.24,16.2,4.6,-7.6,59.448,0.8,3.4,8.4,3.64,6.0,1.32,-57.4,-0.5655354,9.5,-7.1546330000000005,-5.13,-9.2671,-19.27,-16.77,-1382.41,2.48,1.95,-0.94,5.95,-388.56,-264.53,0.0,0.0,0.0,0.0,0.0,-4.64259,-46.4446,0.000724,-6.537999999999999,18.857,-28.683000000000003,9.451,100.98200000000001,0.601,-1.318,0.0,-136.04,98.42,-50.34,-97.99,3148.278,18.903119868599997,-2.134,2.202,1.416,-1.321,35.46,-1015.0,7.979,9.921,-977.6,-2.032,1.723,0.183,2.32,25.13,-226.1,2.948,5.821000000000001,-198.1,-1646.030624,-1669.0579619999999,1240.73,-492.13,1732.86,0.0432,0.0,0.0,0.0,-2.39223,-1.577677,-8.527338,-7.728615,-4.00335961081,-4.2778,0.007526000000000001,19
swarm_100_167.pdb,0,1,1,0,2,0,6,2,4,0,0,0,0,0,0,0.0,0.0,0.35,0.0,0.57,0.23,0.49333333333333335,0.48,0.77,0.0,0.0,0.0,0.0,0,0.0,0.35,0.0,0.57,0.46,2.96,0.96,3.08,0.0,0.0,0.0,0.0,0,0.0,36.25,33.75,621.2399999999998,334.7699999999995,286.4800000000005,0.0,0.0,2.449489742783178,0.0,1.4142135623730951,2.0,1.0,1.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,-0.7904,-2.682,-1.78,-7.2,-8.6,-49.0,2.64,-29.16,37.58,-3.06,-0.013258,-4.44,12.8,2.4,-10.2,49.312,0.8,3.0,7.8,1.06,4.32,0.84,-63.8,-1.282583488,4.6,-6.967092999999999,-4.49,-9.0085,-19.1,-18.86,-1589.9,-3.18,-3.53,-6.74,-0.85,-235.12,-40.16,0.0,0.0,0.0,0.0,0.0,-20.1692,-35.3527,0.0012109999999999998,-11.597000000000001,11.027000000000001,-23.605999999999998,-2.93,5.757000000000001,-0.6629999999999999,-0.772,0.0,-74.39,70.78,-124.13,-30.49,943.4830000000001,14.328972941300002,-1.5290000000000001,1.755,1.227,-1.8159999999999998,-101.0,-907.5,9.499,-0.5119,-1018.0,-0.6041,0.2296,0.3857,2.102,-10.29,-149.8,2.753,1.4480000000000002,-161.4,-1668.56107,-1689.6540710000002,867.27,-490.54,1357.82,-0.0022,0.0,0.0,0.0,-5.003758,-5.8942879999999995,-7.522905000000001,-9.986749,-5.29388652103,-4.19183,0.012813,16
swarm_100_177.pdb,1,1,4,0,6,0,3,2,0,0,0,0,1,0,0,0.52,0.0,0.61,0.0,0.4475,0.37333333333333335,0.48999999999999994,0.555,0.0,0.0,0.0,0.82,0.0,0,0.0,0.61,0.0,1.79,2.24,1.4699999999999998,1.11,0.0,0.0,0.0,0.82,0.0,0,0.0,36.25,34.38,669.0300000000007,313.0100000000002,356.03999999999996,1.0,0.0,1.7320508075688772,0.0,1.4142135623730951,0.0,1.0,2.0,2.449489742783178,0.0,0.0,0.0,0.0,1.0,0.0,0.8698,1.656,3.26,3.2,-2.2,-32.0,1.0,-32.16,27.32,2.18,0.014156,3.96,5.6,7.0,1.0,3.128,1.6,3.0,3.4,-1.06,3.34,2.8,-52.8,0.343330856,-2.9,-5.118658,-5.17,-9.6832,-10.84,-11.1,-803.73,-5.81,3.42,-5.98,-3.72,-437.86,-348.01,0.0,0.0,0.0,0.0,0.0,-12.4053,-27.7953,0.0012439999999999999,-4.96,0.184,-19.863,-6.7620000000000005,53.059,-1.077,-2.085,0.0,-24.46,6.11,-111.13,-42.03,1106.126,6.60831797961,-1.98,2.086,0.2523,-2.929,0.4559,-927.3,2.697,-12.56,-942.1,-1.367,1.396,-1.526,-2.727,10.13,-178.3,-1.11,-5.942,-173.0,-1685.0690539999998,-1701.037797,376.87,-516.33,893.21,0.0615,0.0,0.0,0.0,4.010104,1.161872,-0.930617,-4.73085,-4.6977455595099995,-3.9341800000000005,0.011833,18
swarm_10_107.pdb,2,0,6,2,11,0,5,2,6,0,4,0,0,3,0,0.495,0.63,0.0,0.0,0.375,0.4,0.45999999999999996,0.44,0.5433333333333333,0.0,0.61,0.0,0.88,0,0.0,0.0,0.0,2.25,4.4,2.3,0.88,3.26,0.0,1.83,0.0,3.52,0,0.0,36.77,32.9,1217.4000000000015,535.2700000000004,682.1300000000001,1.4142135623730951,1.4142135623730951,2.23606797749979,0.0,1.4142135623730951,2.449489742783178,0.0,2.449489742783178,3.3166247903554,0.0,2.0,0.0,0.0,0.0,1.7320508075688772,1.8344,1.59,5.8,1.2,-11.4,-111.4,2.16,-120.36,103.28,3.42,0.004738,5.04,15.4,9.4,-9.2,56.776,5.2,11.2,14.2,-0.3,8.42,14.78,-181.0,0.24069403600000003,-11.1,-6.531229,-14.87,-17.6428,-29.14,-22.57,-2241.42,-15.45,-5.43,-3.81,0.83,-524.24,-169.27,0.0,0.0,0.0,0.0,0.0,-39.3496,-17.0765,0.000439,-3.0580000000000003,9.516,-16.875999999999998,4.77,38.368,-1.0270000000000001,-1.756,0.0,-43.47,-29.26,-259.45,-37.34,1247.021,-3.6263075280000003,-3.227,3.24,-0.3846,-2.136,-132.3,-1891.0,5.985,1.093,-2028.0,-1.507,2.124,0.8558,-1.6340000000000001,5.414,-261.2,5.846,-3.8680000000000003,-265.5,-2553.18327,-2602.222632,-644.32,-916.28,271.96,0.0177,0.0,0.0,0.0,0.326373,-3.2361869999999997,-2.642097,-10.105894000000001,-10.0887905437,-3.55555,0.010512,41
swarm_101_103.pdb,0,0,3,1,6,0,3,1,5,0,4,0,0,0,0,0.0,0.54,0.0,0.0,0.41,0.26166666666666666,0.45999999999999996,0.5,0.532,0.0,0.0,0.0,0.58,0,0.0,0.0,0.0,1.23,1.57,1.38,0.5,2.66,0.0,0.0,0.0,2.32,0,0.0,36.31,33.12,764.4400000000005,337.170000000001,427.27000000000044,0.0,1.0,1.7320508075688772,0.0,1.0,2.23606797749979,0.0,1.7320508075688772,2.449489742783178,0.0,2.0,0.0,0.0,0.0,0.0,0.3082,-0.8240000000000001,1.26,-1.11022302463e-16,-5.2,-72.6,1.74,-64.1,59.32,0.62,0.082316,3.26,12.2,8.8,-4.2,36.884,4.6,7.4,9.4,-3.24,1.06,2.38,-97.2,0.39954299600000004,2.6,-4.943328,-6.06,-12.1995,-19.05,-18.38,-1519.38,14.38,0.28,17.26,20.98,-380.13,127.96,0.0,0.0,0.0,0.0,0.0,-9.50565,319.953,0.0008710000000000001,-8.986,6.414,-7.525,-3.324,40.05,-1.446,-2.207,0.0,-3.24,39.47,-252.95,43.73,1361.511,6.48498266621,-1.585,1.7309999999999999,0.9,-1.556,-77.15,-1273.0,8.56,-6.194,-1365.0,-0.249,0.5416,1.486,0.2423,0.8082,-199.9,4.567,-0.5416,-204.2,-1972.941684,-1995.712159,401.03,-657.74,1058.77,0.0957,0.0,0.0,0.0,6.407579,3.7155339999999994,-6.06314,-5.576352,-3.3181929196499995,-3.14473,0.009696,23
swarm_10_111.pdb,1,0,2,1,1,0,7,1,4,0,2,0,0,2,2,0.44,0.54,0.0,0.0,0.365,0.16,0.45857142857142863,0.55,0.5025,0.41000000000000003,0.44499999999999995,0.0,0.88,0,0.0,0.0,0.0,0.73,0.16,3.2100000000000004,0.55,2.01,0.8200000000000001,0.8899999999999999,0.0,1.76,0,0.0,35.85,34.59,851.75,384.72000000000025,467.03999999999996,1.0,1.0,2.6457513110645907,1.4142135623730951,1.0,2.0,0.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.4142135623730951,0.9059999999999999,-0.534,1.12,-4.6,-5.6,-49.4,1.9,-49.04,51.24,-0.22,0.007764,-0.26,9.6,3.4,-4.6,12.158,4.0,6.6,7.4,2.84,6.82,8.5,-89.6,0.561439468,-3.2,-5.679744,-8.96,-10.8392,-15.41,-7.53,-914.53,-6.68,2.61,12.51,7.44,-311.73,-46.49,0.0,0.0,0.0,0.0,0.0,-1.1446,97.8497,0.000591,1.5930000000000002,8.609,-4.262,9.776,38.475,-0.43200000000000005,-1.163,0.0,-59.25,26.19,-91.91,-19.7,713.225,11.224000289100001,-2.531,2.531,0.02055,-1.575,-97.1,-1260.0,4.702,6.699,-1355.0,-1.361,1.5519999999999998,0.4778,-0.6349,4.205,-173.1,2.877,-0.8272,-172.6,-1840.2277629999999,-1865.9598859999999,339.9,-558.26,898.16,0.0517,0.0,0.0,0.0,2.0321119999999997,0.913441,-1.155167,-0.7451720000000001,-7.648596485289999,-3.36361,0.010348,23
swarm_101_130.pdb,0,0,0,1,3,2,2,0,12,0,0,0,0,1,1,0.0,0.72,0.0,0.47,0.0,0.42333333333333334,0.42,0.0,0.43916666666666665,0.49,0.53,0.0,0.0,0,0.0,0.0,0.94,0.0,1.27,0.84,0.0,5.27,0.49,0.53,0.0,0.0,0,0.0,36.94,32.48,954.1399999999994,490.22000000000025,463.9200000000001,0.0,1.0,1.4142135623730951,1.0,0.0,3.4641016151377544,0.0,0.0,1.7320508075688772,1.4142135623730951,0.0,0.0,0.0,0.0,1.0,0.5698,-1.3,1.34,-6.6,-9.4,-61.4,2.62,-44.28,50.4,-1.34,0.08911799999999999,-0.98,20.0,6.8,-8.0,71.38,0.6,5.4,8.2,7.98,6.58,3.52,-81.8,0.48926802399999997,4.8,-5.72481,-5.38,-8.5775,-14.86,-9.77,-609.87,22.64,14.91,10.65,-2.23,-403.04,-136.73,0.0,0.0,0.0,0.0,0.0,3.52112,144.46,0.000674,-2.907,10.651,-14.115,6.332999999999999,50.79600000000001,-1.385,-2.351,0.0,-36.25,74.07,-216.53,-3.79,-279.126,13.229300990899999,-0.3089,0.271,0.2785,0.7193,-45.18,-1023.0,4.456,16.83,-1056.0,0.2733,-0.3728,0.8627,2.82,7.6979999999999995,-165.1,2.242,2.844,-156.8,-1629.992419,-1662.381786,416.36,-475.37,891.73,-0.0478,0.0,0.0,0.0,-2.931793,-3.008425,-2.535192,-2.301528,-2.04450300808,-4.46705,0.006409000000000001,22
swarm_101_156.pdb,0,0,0,3,5,1,3,0,11,0,0,0,0,1,0,0.0,0.41,0.0,0.58,0.0,0.31999999999999995,0.38999999999999996,0.0,0.5463636363636364,0.0,0.53,0.0,0.0,0,0.0,0.0,0.58,0.0,1.5999999999999999,1.17,0.0,6.01,0.0,0.53,0.0,0.0,0,0.0,36.71,32.91,933.0300000000007,470.2400000000007,462.8099999999995,0.0,1.7320508075688772,1.7320508075688772,0.0,0.0,3.3166247903554,0.0,0.0,2.23606797749979,1.0,0.0,0.0,0.0,0.0,1.0,-0.825,-3.572,0.66,-3.8,-8.2,-51.6,4.02,-37.18,46.54,-0.74,-0.00824,-0.16,16.2,5.8,-7.6,107.36200000000001,1.2,4.2,10.0,4.44,3.28,-0.92,-77.0,-0.7645909479999999,7.0,-5.277907,-4.93,-9.5989,-23.42,-24.99,-1412.65,13.7,2.69,20.4,21.93,-334.66,60.79,0.0,0.0,0.0,0.0,0.0,-4.133830000000001,-10.714,0.0007830000000000001,-5.487,17.462,-31.579,8.817,49.403999999999996,-0.802,-1.7409999999999999,0.0,-111.56,119.43,-21.65,-80.91,492.81,19.407029349400002,-1.97,2.2,2.0140000000000002,-2.356,-33.93,-1062.0,9.526,-4.842,-1111.0,-1.244,1.464,1.194,0.5772,2.392,-214.0,4.928999999999999,0.237,-216.3,-1654.123728,-1663.554527,1512.42,-473.11,1985.53,0.2184,0.0,0.0,0.0,-2.7107810000000003,0.40924699999999997,-2.814289,-3.0960490000000003,-4.54392875189,5.79168,0.007542,24
swarm_10_178.pdb,1,0,0,1,1,0,0,0,12,0,0,0,0,0,0,0.55,0.55,0.0,0.0,0.0,0.19,0.0,0.0,0.5599999999999999,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,6.72,0.0,0.0,0.0,0.0,0,0.0,35.8,34.57,751.0300000000007,390.5700000000006,360.47000000000025,1.0,1.0,0.0,0.0,0.0,3.4641016151377544,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5490000000000002,-1.212,-2.5,-8.6,-12.8,-50.8,1.24,-34.48,36.7,-3.26,0.03196,-5.3,11.6,0.4,-12.2,70.082,-3.4,1.2,4.8,1.16,3.32,2.7,-70.4,-0.69194744,5.2,-6.7780130000000005,-5.41,-8.7532,-17.37,-19.85,-1369.19,-7.88,-6.25,-0.89,-11.95,-281.71,-123.22,0.0,0.0,0.0,0.0,0.0,-21.627,-87.9232,0.001076,-9.654,11.054,-30.579,-1.6580000000000001,43.275,0.602,-0.22,0.0,-73.09,-4.18,-42.19,-119.1,2475.174,11.8696413469,-2.682,2.6839999999999997,0.1845,-1.338,-61.45,-943.7,4.104,1.952,-1007.0,-2.1519999999999997,1.6380000000000001,-1.861,2.041,2.487,-167.8,-1.054,1.86,-162.4,-1599.729912,-1618.7416119999998,696.51,-479.59,1176.09,-0.1025,0.0,0.0,0.0,-4.728768,-3.0276400000000003,-5.006391000000001,-5.0373589999999995,-3.39513909055,-4.78641,0.004,15
