Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_100_68.pdb,11,7,11,6,6,6,14,6,7,0,1,5,0,2,1,0.48454545454545445,0.385,0.4657142857142857,0.5366666666666667,0.4418181818181818,0.305,0.39857142857142863,0.4816666666666667,0.46142857142857147,0.34,0.44499999999999995,0.0,0.46,0.0,0.7220000000000001,3.26,3.2200000000000006,4.859999999999999,1.83,5.580000000000001,2.89,3.2300000000000004,0.34,0.8899999999999999,0.0,0.46,0.0,3.6100000000000003,23.38,35.5,2440.6100000000006,1131.7199999999993,1308.880000000001,3.3166247903554,2.449489742783178,3.7416573867739413,1.0,2.449489742783178,2.6457513110645907,2.6457513110645907,3.3166247903554,2.449489742783178,2.449489742783178,1.0,0.0,2.23606797749979,0.0,1.4142135623730951,2.0662,-0.604,1.9,-10.8,-21.2,-179.2,9.68,-166.36,183.52,-1.84,-0.034112,-3.34,50.6,26.6,-15.0,148.878,14.8,27.0,37.2,5.82,22.12,9.64,-320.4,1.1464565740000001,12.0,-10.027142999999999,-21.18,-36.632,-73.76,-73.22,-5382.44,-11.65,-6.89,-49.17,4.46,-1686.32,-793.79,0.0,0.0,0.0,0.0,0.0,-58.9272,306.59,0.00022,-15.442,17.819000000000003,-31.888,-0.812,-165.139,-8.499,-5.361000000000001,0.0,-150.18,182.49,-600.08,8.66,-1815.5770000000002,75.2563827611,-1.9769999999999999,1.922,0.2095,1.0290000000000001,580.7,-5150.0,5.7589999999999995,2.384,-4573.0,-1.5730000000000002,1.162,-1.535,1.419,155.1,-787.3,2.722,-0.092,-635.0,-5878.787929,-5970.425717,2346.34,-1793.93,4140.26,-0.0031,0.0,0.0,0.0,-2.97804,-6.6424330000000005,-11.03015,-23.565368,-22.4642552039,7.5892100000000005,0.0031079999999999997,83
swarm_101_33.pdb,5,2,10,8,2,3,12,8,5,0,2,2,1,4,1,0.41600000000000004,0.40125,0.44,0.6533333333333333,0.425,0.35,0.5175,0.49,0.41200000000000003,0.34,0.43999999999999995,0.83,0.46,0.0,0.685,0.88,1.96,4.25,0.7,6.21,3.92,2.06,0.34,1.7599999999999998,0.83,0.92,0.0,1.37,23.42,36.08,1783.6399999999994,806.6099999999988,977.0300000000007,2.23606797749979,2.8284271247461903,3.4641016151377544,1.0,2.8284271247461903,2.23606797749979,1.4142135623730951,3.1622776601683795,1.4142135623730951,1.7320508075688772,1.4142135623730951,0.0,1.4142135623730951,1.0,2.0,6.1976,-1.1,6.88,-6.4,-13.6,-181.0,5.52,-178.0,177.18,0.26,0.075348,-0.24,38.6,27.2,-10.2,20.444000000000003,22.6,29.2,31.2,3.96,23.64,14.06,-297.2,1.10840374,12.2,-9.997125,-18.21,-28.305,-50.19,-49.51,-4205.07,-7.22,-19.4,-56.34,-30.66,-1280.61,-774.7,0.0,0.0,0.0,0.0,0.0,-59.3829,182.25900000000001,0.000306,-11.158,13.436,-65.758,-4.297,-57.166000000000004,-6.9639999999999995,-5.877999999999999,0.0,-170.26,64.01,-461.37,-10.45,-4716.518,19.3922721858,-1.926,1.811,-1.147,-0.4805,34.4,-3840.0,-8.672,11.93,-3785.0,-0.9577,0.8253,-0.2901,0.7766,30.25,-508.4,5.457999999999999,0.21100000000000002,-483.4,-5021.014122,-5100.535102000001,1471.67,-1433.52,2905.19,-0.1637,0.0,0.0,0.0,-3.513126,-8.579181,-4.740968,-13.41045,-21.4106555205,8.24633,0.0033229999999999996,65
swarm_101_73.pdb,4,1,4,2,2,0,15,4,2,0,1,0,0,0,0,0.49249999999999994,0.315,0.63,0.0,0.43500000000000005,0.31,0.45466666666666666,0.5125,0.4,0.0,0.0,0.0,0.65,0.0,0.0,0.63,0.0,1.7400000000000002,0.62,6.82,2.05,0.8,0.0,0.0,0.0,0.65,0.0,0.0,23.5,35.68,1423.2699999999968,708.3700000000008,714.8799999999992,2.0,1.4142135623730951,3.872983346207417,0.0,2.0,1.4142135623730951,1.0,2.0,1.4142135623730951,0.0,1.0,0.0,0.0,0.0,0.0,1.5114,-1.178,0.54,-3.2,-3.8,-87.6,2.72,-67.9,71.9,-1.0,-0.011362,-2.9,14.4,10.2,-7.4,7.732,9.6,12.8,14.6,-2.02,7.3,2.56,-115.6,0.0336897152,11.4,-7.142882000000001,-6.9,-20.680999999999997,-38.08,-31.93,-2874.08,-5.85,6.15,7.39,8.77,-950.14,-534.72,0.0,0.0,0.0,0.0,0.0,12.0935,61.1159,0.00041900000000000005,2.798,20.588,-36.35,19.752,36.068000000000005,-4.678999999999999,-5.364,0.0,-56.37,155.91,-83.47,-5.0,-1436.129,27.0029169456,-2.137,2.19,0.7751,-1.036,297.1,-3197.0,4.726,19.02,-2886.0,-0.7301,0.5641,0.5026,2.206,108.9,-495.3,5.092,4.329,-387.2,-4167.3948740000005,-4214.468352000001,2317.15,-1043.37,3360.51,0.0498,0.0,0.0,0.0,-1.10325,-0.084548,-3.155123,-11.077454,-12.7522172126,3.6423699999999997,0.003314,35
swarm_102_116.pdb,4,2,5,6,6,7,17,2,6,0,0,3,2,1,1,0.38,0.375,0.435,0.5371428571428571,0.404,0.33,0.40588235294117647,0.44,0.36666666666666664,0.34,0.47,0.605,0.0,0.0,0.6999999999999998,0.87,3.76,2.02,1.98,6.9,0.88,2.1999999999999997,0.34,0.47,1.21,0.0,0.0,2.0999999999999996,23.82,35.19,2011.7999999999956,1066.789999999999,945.0199999999986,2.0,2.449489742783178,4.123105625617661,1.0,1.4142135623730951,2.449489742783178,1.4142135623730951,2.23606797749979,2.449489742783178,2.6457513110645907,0.0,0.0,1.7320508075688772,1.4142135623730951,1.0,2.4824,-0.07,3.6,-5.2,-17.4,-164.2,5.58,-149.12,152.32,0.26,0.06136799999999999,1.32,32.0,16.2,-17.0,79.586,11.8,19.6,28.8,1.62,-0.48,5.94,-257.0,1.6554223164,10.2,-7.20772,-19.51,-27.386999999999997,-58.29,-52.73,-4921.9,16.52,6.03,-29.83,17.94,-1260.29,-207.56,0.0,0.0,0.0,0.0,0.0,-63.9445,113.071,0.000239,-7.292999999999999,23.791,-39.473,12.550999999999998,-157.034,-10.347999999999999,-7.364,0.0,-87.39,213.56,-410.53,150.11,-1437.703,58.9927255968,-2.897,2.95,0.4765,-1.449,637.0,-4178.0,7.939,8.56,-3541.0,-2.388,2.359,0.5983,1.328,138.9,-575.5,8.105,5.688,-439.0,-4971.723225,-5073.304222,1804.19,-1395.89,3200.09,0.195,0.0,0.0,0.0,-4.751474,-7.356133,-2.1499740000000003,-12.798307000000001,-13.5971177039,8.1944,0.004403,62
swarm_102_131.pdb,2,2,5,4,4,3,19,15,8,0,0,1,1,1,0,0.39,0.4125,0.585,0.5033333333333333,0.43,0.39749999999999996,0.4326315789473685,0.49933333333333335,0.655,0.0,0.48,0.53,0.0,0.0,0.7,1.17,1.5099999999999998,2.15,1.5899999999999999,8.22,7.49,5.24,0.0,0.48,0.53,0.0,0.0,0.7,23.93,35.9,1957.1399999999994,1101.3600000000006,855.7699999999986,1.4142135623730951,2.0,4.358898943540674,0.0,3.872983346207417,2.8284271247461903,1.4142135623730951,2.23606797749979,2.0,1.7320508075688772,0.0,0.0,1.0,1.0,1.0,1.5894,-13.318,1.72,-19.8,-27.6,-191.0,6.64,-146.4,167.96,-6.78,-0.044638,-9.58,42.4,17.2,-27.8,102.684,10.4,19.8,29.0,3.6,17.8,6.16,-276.4,-0.4108688374,13.9,-11.153294,-14.24,-27.479,-67.14,-57.41,-3112.43,-12.46,-6.19,-17.21,-5.99,-1192.14,-273.28,0.0,0.0,0.0,0.0,0.0,-39.0696,-12.3901,0.000305,-9.05,30.581999999999997,-71.926,14.34,-17.336,-4.135,-3.805,0.0,-198.18,269.23,-232.9,-142.85,236.175,57.8906252314,-2.928,2.8360000000000003,-0.6856,-0.6024,76.92,-3853.0,-5.398,-35.82,-3807.0,-2.313,1.663,-0.4653,3.591,41.24,-589.6,6.272,2.63,-552.0,-4932.9142170000005,-5008.989353,3005.45,-1355.58,4361.03,0.0666,0.0,0.0,0.0,-2.748066,-7.751964,-7.059463,-21.345006,-16.6933072263,2.54471,0.002431,65
swarm_102_46.pdb,5,0,10,1,5,1,18,15,10,0,0,1,1,4,1,0.40800000000000003,0.37,0.0,0.62,0.43499999999999994,0.33799999999999997,0.4322222222222222,0.49333333333333346,0.558,0.58,0.575,0.53,0.0,0.0,0.57,0.0,0.62,4.35,1.69,7.779999999999999,7.400000000000002,5.58,0.58,2.3,0.53,0.0,0.0,0.57,24.09,35.39,2201.170000000002,1068.739999999998,1132.42,2.23606797749979,1.0,4.242640687119285,1.0,3.872983346207417,3.1622776601683795,0.0,3.1622776601683795,2.23606797749979,1.0,0.0,0.0,1.0,1.0,2.0,2.3938,-4.752,0.04,-12.2,-17.4,-225.2,6.82,-181.88,188.0,-3.8,0.034456,-3.6,60.2,35.2,-21.2,72.704,12.6,28.0,40.2,8.2,21.86,11.82,-307.0,0.3300175182,25.7,-9.595577,-10.05,-28.575,-69.87,-65.77,-3998.63,-8.76,-9.18,-1.47,15.39,-1273.04,-359.54,0.0,0.0,0.0,0.0,0.0,-34.0852,282.45799999999997,0.000286,-16.647000000000002,40.728,-48.483000000000004,19.233,47.211000000000006,-6.659,-7.556,0.0,-145.97,238.31,-171.71,-10.17,-1030.1680000000001,51.023968420600006,-4.004,3.927,-1.3659999999999999,-1.28,553.5,-4695.0,-6.646,4.8180000000000005,-4130.0,-1.9609999999999999,1.983,2.083,3.7969999999999997,166.9,-755.7,16.43,7.531000000000001,-597.7,-4954.776815,-5010.0145299999995,3160.34,-1443.98,4604.33,-0.131,0.0,0.0,0.0,-6.375825,-11.146443,-6.248453,-14.036836,-24.5942774136,1.29356,0.0019440000000000002,72
swarm_103_104.pdb,8,4,11,3,4,1,12,20,3,0,2,0,2,6,2,0.52,0.35000000000000003,0.5650000000000001,0.41,0.3845454545454546,0.295,0.4783333333333333,0.48450000000000004,0.42,0.705,0.585,0.565,0.645,0.0,0.0,2.2600000000000002,0.41,4.23,1.18,5.739999999999999,9.690000000000001,1.26,1.41,3.51,1.13,1.29,0.0,0.0,23.81,35.28,1712.2100000000028,843.3199999999997,868.8799999999992,2.8284271247461903,1.7320508075688772,3.4641016151377544,1.4142135623730951,4.47213595499958,1.7320508075688772,2.0,3.3166247903554,2.0,1.0,1.4142135623730951,0.0,0.0,1.4142135623730951,2.449489742783178,5.0254,-1.742,8.58,-6.2,-12.8,-195.2,2.48,-217.54,201.02,0.46,-0.010534,-1.3,35.8,23.6,-19.0,30.83,19.2,32.6,41.4,-0.88,8.72,9.86,-343.6,-0.439172134,2.6,-8.479581,-14.74,-24.53,-64.61,-58.77,-3653.98,-32.42,-18.13,-40.53,0.17,-1012.0,-232.92,0.0,0.0,0.0,0.0,0.0,-61.1537,385.722,0.00037400000000000004,-15.242,13.747,-28.223000000000003,-4.317,-8.021,-6.207000000000001,-6.053999999999999,0.0,-70.42,99.48,-588.49,134.15,1145.5739999999998,32.2818372191,-2.02,1.8769999999999998,-1.249,0.2845,-87.95,-3712.0,-7.178,-2.832,-3796.0,-0.8593,0.8528,0.7056,1.103,37.63,-532.1,8.705,-4.624,-507.8,-4686.496768,-4769.291529,2084.15,-1237.92,3322.09,-0.0073,0.0,0.0,0.0,-6.5222940000000005,-8.733319999999999,-5.539445,-18.006978,-16.6672894245,6.24137,0.0029230000000000003,78
swarm_103_178.pdb,5,0,7,3,7,3,16,9,6,0,0,0,0,3,1,0.46399999999999997,0.39666666666666667,0.0,0.6066666666666666,0.44000000000000006,0.34428571428571425,0.44625,0.46444444444444444,0.5833333333333334,0.44,0.42999999999999994,0.0,0.0,0.0,0.0,0.0,1.8199999999999998,3.0800000000000005,2.4099999999999997,7.14,4.18,3.5,0.44,1.2899999999999998,0.0,0.0,0.0,0.0,23.5,35.26,1750.2300000000032,781.8999999999996,968.3200000000015,2.23606797749979,1.7320508075688772,4.0,1.0,3.0,2.449489742783178,0.0,2.6457513110645907,2.6457513110645907,1.7320508075688772,0.0,0.0,0.0,0.0,1.7320508075688772,4.5752,-0.5920000000000001,4.96,-2.8,-4.2,-125.6,6.48,-113.1,122.68,0.78,0.032242,1.22,37.0,25.4,-4.2,59.718,16.0,21.4,26.6,2.5,11.38,17.52,-200.2,0.7825412166,21.9,-9.868091999999999,-23.22,-30.397,-47.56,-43.35,-3627.63,-13.6,-5.93,-23.67,-6.74,-1289.47,-811.69,0.0,0.0,0.0,0.0,0.0,-50.1369,84.7766,0.000388,-11.468,16.262,-49.599,-0.166,9.084,-9.163,-9.335,0.0,-102.1,165.43,-347.82,83.77,342.319,60.2897946247,-2.5,2.492,0.09922,0.4272,264.9,-4150.0,5.845,-25.17,-3916.0,-1.217,0.9738,0.1869,2.2430000000000003,82.11,-542.1,6.843999999999999,-1.167,-468.0,-5155.107053,-5246.904041,776.86,-1503.99,2280.85,0.0524,0.0,0.0,0.0,-6.199515,-11.162666,-5.873179,-12.738438,-15.298071143800001,8.40943,0.0025670000000000003,60
swarm_103_46.pdb,5,3,2,2,2,4,13,3,5,1,0,1,3,2,2,0.42800000000000005,0.355,0.44333333333333336,0.5075000000000001,0.34,0.37,0.4769230769230768,0.4566666666666666,0.6220000000000001,0.39,0.44499999999999995,0.6266666666666666,0.0,0.9,0.7,1.33,2.0300000000000002,0.68,0.74,6.199999999999998,1.3699999999999999,3.1100000000000003,0.78,0.8899999999999999,1.88,0.0,0.9,0.7,23.77,35.33,1399.5900000000001,587.710000000001,811.8700000000008,2.23606797749979,1.4142135623730951,3.605551275463989,1.4142135623730951,1.7320508075688772,2.23606797749979,1.7320508075688772,1.4142135623730951,1.4142135623730951,2.0,0.0,1.0,1.0,1.7320508075688772,1.4142135623730951,3.1612,-1.014,2.36,-5.4,-2.0,-72.2,4.46,-68.72,79.2,-0.94,0.023612,-0.24,19.4,12.6,-2.0,9.756,11.4,17.6,20.0,3.88,10.12,6.72,-123.6,1.0445899952,11.8,-9.479039,-12.7,-21.714000000000002,-28.74,-24.39,-2392.82,-22.49,-14.33,-16.42,2.36,-894.29,-572.09,0.0,0.0,0.0,0.0,0.0,-17.2536,174.783,0.00053,-4.86,1.996,-24.809,-5.345,-88.34899999999999,-2.926,-1.248,0.0,-71.13,114.69,-197.99,54.58,-450.89099999999996,38.1762466036,-2.778,2.722,0.8073,0.7451,68.69,-2751.0,4.995,4.5089999999999995,-2683.0,-2.444,2.281,0.6248,1.945,29.2,-397.8,5.749,0.846,-373.5,-4296.029671,-4343.33497,970.41,-1135.85,2106.26,0.0607,0.0,0.0,0.0,-3.122096,-2.639226,-6.722939,-6.944261,-15.332105925499999,4.04945,0.005792,48
swarm_103_6.pdb,4,7,4,3,2,1,8,7,1,1,0,3,1,0,1,0.39,0.42,0.44571428571428573,0.58,0.4225,0.485,0.5012500000000001,0.47285714285714286,0.26,0.51,0.0,0.52,0.0,0.9,0.7033333333333333,3.12,0.58,1.69,0.97,4.010000000000001,3.31,0.26,0.51,0.0,0.52,0.0,0.9,2.11,23.73,35.38,1153.4099999999999,540.5799999999999,612.8299999999999,2.0,1.7320508075688772,2.8284271247461903,1.0,2.6457513110645907,1.0,2.6457513110645907,2.0,1.4142135623730951,1.0,0.0,1.0,1.7320508075688772,1.0,0.0,1.8954,-3.7060000000000004,2.44,-5.4,-8.4,-100.6,1.02,-104.32,104.9,-2.02,0.011502,-2.54,15.4,7.0,-12.8,20.8,12.8,18.8,22.2,-1.0,12.02,2.24,-172.8,-0.562367884,-1.8,-7.882828,-13.31,-20.369,-32.91,-23.08,-1910.84,-6.58,-9.42,-18.4,-3.93,-820.02,-346.62,0.0,0.0,0.0,0.0,0.0,-22.3849,0.30161,0.000594,-1.095,5.312,-21.331999999999997,2.084,-65.645,-3.779,-2.532,0.0,-83.37,95.3,-124.18,-14.86,425.76099999999997,19.4677414993,-2.4330000000000003,2.272,-0.9499,0.2699,-13.21,-2545.0,-5.46,0.053570000000000007,-2553.0,-0.8858,1.03,0.5086,-0.364,34.52,-363.0,6.061,-7.356,-341.9,-4165.629957,-4211.35609,676.57,-1033.61,1710.19,-0.0557,0.0,0.0,0.0,2.335171,-0.897915,-3.397473,-9.020175,-14.2544293093,1.50147,0.004581,43
