Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_185.pdb,1,2,7,5,16,3,15,0,14,0,4,1,0,4,0,0.43,0.45600000000000007,0.53,0.5199999999999999,0.4471428571428571,0.41500000000000004,0.4513333333333334,0.0,0.5821428571428571,0.0,0.375,0.0,0.6825,0.0,0.53,1.06,1.5599999999999998,3.13,6.640000000000001,6.770000000000001,0.0,8.149999999999999,0.0,1.5,0.0,2.73,0.0,0.53,31.75,43.0,2387.9000000000015,1014.9100000000017,1372.9899999999998,1.0,2.23606797749979,3.872983346207417,0.0,0.0,3.7416573867739413,1.4142135623730951,2.6457513110645907,4.0,1.7320508075688772,2.0,0.0,1.0,0.0,2.0,1.8826,-0.614,3.9,-6.0,-22.6,-242.2,7.84,-221.82,217.76,1.58,0.05491,2.6,32.8,17.4,-22.2,142.15,16.0,25.8,32.0,1.1,8.84,15.94,-375.0,1.3349673852,2.0,-9.803799,-21.01,-33.512,-74.92,-50.75,-5315.14,18.17,-14.35,-13.47,-4.26,-1058.16,-20.99,0.0,0.0,0.0,0.0,0.0,-85.8538,32.4238,0.000248,-3.5860000000000003,20.955,-43.703,12.999,-210.517,-4.737,-0.737,0.0,-182.25,126.61,-148.18,-199.27,2297.321,25.2698253279,-1.8259999999999998,1.811,-0.2062,-1.082,-78.98,-4389.0,10.35,-3.17,-4482.0,-1.587,1.092,0.6628,3.6260000000000003,-35.58,-624.0,12.6,6.78,-665.4,-5709.210018,-5782.645896,3871.0,-1606.46,5477.45,0.0738,0.0,0.0,0.0,2.436904,-1.301936,-6.631188000000001,-23.415192,-24.6214831996,5.31692,0.004653,72
swarm_0_59.pdb,3,0,9,7,6,0,11,2,10,0,0,0,0,0,2,0.45999999999999996,0.3871428571428572,0.0,0.0,0.41000000000000003,0.4066666666666667,0.45,0.43,0.40800000000000003,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6900000000000004,2.44,4.95,0.86,4.08,0.78,0.0,0.0,0.0,0.0,0.0,30.96,43.49,1609.2999999999993,738.9799999999996,870.3199999999997,1.7320508075688772,2.6457513110645907,3.3166247903554,1.4142135623730951,1.4142135623730951,3.1622776601683795,0.0,3.0,2.449489742783178,0.0,0.0,0.0,0.0,0.0,0.0,4.071000000000001,6.757999999999999,5.92,-4.4,-7.4,-97.6,6.62,-88.1,102.16,0.32,0.08212,-0.56,31.2,18.6,-3.6,50.456,12.4,21.4,23.0,2.7,18.2,8.76,-165.6,1.2521052518,16.8,-7.060064,-8.27,-20.519000000000002,-28.77,-22.45,-2327.31,17.9,6.35,-2.85,5.75,-825.14,-179.31,0.0,0.0,0.0,0.0,0.0,-7.75742,343.32599999999996,0.000342,-8.823,22.625999999999998,-24.883000000000003,11.315,17.265,-9.54,-9.868,0.0,-85.27,137.46,-182.25,29.84,7653.776,30.211347294,-3.406,3.4130000000000003,0.9874,-1.875,56.31,-2851.0,8.911,32.8,-2771.0,-1.7919999999999998,2.063,1.949,0.7278,46.01,-408.0,8.943999999999999,6.336,-364.6,-4244.645769,-4303.418421,2124.51,-1001.26,3125.79,0.1415,0.0,0.0,0.0,0.549265,-1.437645,-1.445806,-11.218285,-13.1257196724,6.32914,0.00318,50
swarm_100_193.pdb,2,1,5,3,5,3,6,2,10,1,0,2,0,2,0,0.52,0.3333333333333333,0.54,0.5033333333333333,0.394,0.29400000000000004,0.4266666666666667,0.51,0.42700000000000005,0.0,0.675,0.0,0.0,0.98,0.735,0.54,1.51,1.97,1.4700000000000002,2.56,1.02,4.2700000000000005,0.0,1.35,0.0,0.0,0.98,1.47,31.07,43.2,1553.6500000000015,631.75,921.8999999999978,1.4142135623730951,1.7320508075688772,2.449489742783178,0.0,1.4142135623730951,3.1622776601683795,1.0,2.23606797749979,2.23606797749979,1.7320508075688772,0.0,1.0,1.4142135623730951,0.0,1.4142135623730951,0.3794,-2.17,-2.3,-4.2,-12.2,-122.0,3.14,-110.82,99.76,-1.8,0.011812000000000001,-3.06,27.0,15.2,-9.4,59.961999999999996,5.8,13.8,19.2,2.74,11.42,-1.02,-177.2,-0.0380222742,8.8,-8.555696000000001,-11.88,-20.843000000000004,-34.18,-29.97,-3338.17,-4.2,7.83,-31.78,9.87,-592.85,-196.74,0.0,0.0,0.0,0.0,0.0,-27.4752,80.7303,0.00034700000000000003,2.154,6.983,-45.902,4.547,-177.53599999999997,-5.078,-1.704,0.0,-56.73,112.79,-322.04,41.06,629.989,28.806259488200002,-3.234,3.179,0.6787,-1.6380000000000001,-38.31,-2303.0,7.318,29.03,-2319.0,-2.497,2.765,1.794,-0.5055,19.35,-296.0,6.95,3.603,-280.0,-4408.36785,-4454.902271,614.59,-1011.98,1626.57,0.0455,0.0,0.0,0.0,5.493431,2.5775810000000003,2.1982470000000003,-3.7539870000000004,-14.7048105346,3.75642,0.005929,42
swarm_100_88.pdb,4,0,5,3,4,1,9,1,8,1,0,3,1,1,0,0.39,0.39333333333333337,0.0,0.41,0.426,0.3225,0.4488888888888889,0.43,0.4675,0.0,0.87,0.99,0.0,0.9,0.7033333333333333,0.0,0.41,2.13,1.29,4.04,0.43,3.74,0.0,0.87,0.99,0.0,0.9,2.11,30.71,43.24,1146.4399999999987,374.84999999999854,771.590000000002,2.0,1.7320508075688772,3.0,0.0,1.0,2.8284271247461903,0.0,2.23606797749979,2.0,1.0,0.0,1.0,1.7320508075688772,1.0,1.0,1.0708,-1.204,0.9,-2.4,-8.8,-94.4,1.66,-93.86,89.64,-1.54,-0.01511,-3.76,11.8,3.6,-13.6,44.29600000000001,9.8,15.6,18.4,-3.44,2.1,5.92,-158.8,-0.5271944479999999,1.3,-7.648561999999999,-11.16,-19.538,-34.85,-26.65,-3798.65,-1.5,-8.41,-3.81,-1.05,-583.1,74.63,0.0,0.0,0.0,0.0,0.0,-22.4735,194.84400000000002,0.00045599999999999997,-0.292,-14.157,-6.982,-15.147,-304.69599999999997,-5.147,0.642,0.0,-66.28,13.12,-229.96,36.59,-382.934,19.437717276500003,-1.8019999999999998,1.683,-0.9964,-1.077,93.74,-2097.0,-3.181,-3.0189999999999997,-2004.0,-0.8352,0.5062,-0.9569,1.146,47.18,-321.0,0.0763,2.292,-271.6,-4317.490361,-4362.707075,917.49,-1005.89,1923.38,-0.0134,0.0,0.0,0.0,-3.1513400000000003,-1.1048930000000001,-6.989272,-14.711957,-14.4201466015,2.82606,0.004683,41
swarm_10_107.pdb,0,0,4,8,8,3,5,0,8,0,1,5,2,1,0,0.0,0.38375,0.0,0.7033333333333333,0.4425,0.335,0.462,0.0,0.47124999999999995,0.0,0.48,0.525,0.67,0.0,0.7959999999999999,0.0,2.11,1.77,2.68,2.31,0.0,3.7699999999999996,0.0,0.48,1.05,0.67,0.0,3.9799999999999995,30.62,43.21,1597.010000000002,667.3400000000001,929.6700000000001,0.0,2.8284271247461903,2.23606797749979,0.0,0.0,2.8284271247461903,0.0,2.0,2.8284271247461903,1.7320508075688772,1.0,0.0,2.23606797749979,1.4142135623730951,1.0,0.9432,2.552,3.58,-0.2,-6.8,-93.6,2.94,-109.76,95.48,2.28,0.041788,2.04,24.4,14.0,-2.2,82.696,9.2,13.4,15.0,1.34,7.56,3.5,-171.0,0.7057091240000001,4.6,-7.740439,-16.45,-28.868000000000002,-33.57,-27.11,-3022.7,9.37,2.13,8.41,12.96,-886.04,-220.9,0.0,0.0,0.0,0.0,0.0,-10.0862,69.6607,0.00023700000000000001,-1.875,7.785,-4.4719999999999995,5.462999999999999,-68.88600000000001,-3.5380000000000003,-2.229,0.0,-68.1,75.49,-337.04,-0.13,2910.051,10.7097730495,-3.199,3.176,1.089,-0.8007,-310.7,-2787.0,13.59,-9.713,-3121.0,-2.449,2.339,0.2641,0.5703,-30.74,-354.1,5.124,-3.135,-393.1,-5246.381882,-5299.251461,3485.4,-1420.58,4905.97,0.0365,0.0,0.0,0.0,-1.538065,-1.71822,-2.309662,-16.042441,-10.0320998524,3.4054800000000003,0.007333,45
swarm_101_139.pdb,1,1,3,3,5,1,0,0,7,0,5,2,2,5,1,0.49,0.42333333333333334,0.54,0.56,0.3566666666666667,0.32199999999999995,0.0,0.0,0.5871428571428571,0.34,0.35,0.78,0.788,0.0,0.9,0.54,0.56,1.07,1.6099999999999999,0.0,0.0,4.109999999999999,0.34,1.75,1.56,3.94,0.0,1.8,31.17,43.39,1354.5299999999988,399.64000000000124,954.869999999999,1.0,1.7320508075688772,0.0,1.0,0.0,2.6457513110645907,1.0,1.7320508075688772,2.23606797749979,1.0,2.23606797749979,0.0,1.4142135623730951,1.4142135623730951,2.23606797749979,0.6894,0.138,-2.96,-2.4,-6.4,-118.8,2.82,-117.76,105.04,-1.32,-0.020132,-2.48,22.0,14.2,-5.2,64.476,11.4,17.6,20.4,3.88,11.0,4.24,-179.8,0.319451948,-5.4,-9.254377,-14.63,-20.855999999999998,-40.46,-27.78,-4463.63,4.97,-5.52,-35.14,-5.65,-370.01,85.36,0.0,0.0,0.0,0.0,0.0,-47.6484,293.048,0.000446,-6.129,-7.7139999999999995,-11.649000000000001,-15.008,-178.865,0.38799999999999996,3.786,0.0,-94.67,-70.2,-499.17,2.7,283.035,-4.00385278056,-3.353,3.135,0.3411,1.3519999999999999,-104.5,-2205.0,7.359,25.22,-2291.0,-3.057,2.5810000000000004,-0.7218,2.1109999999999998,-2.795,-291.5,1.197,4.792,-290.7,-4393.833727,-4441.510455,419.85,-1047.98,1467.82,-0.1447,0.0,0.0,0.0,2.767127,4.775128,-0.663361,-3.633804,-15.2865279225,2.63125,0.007333,36
swarm_10_173.pdb,4,1,3,4,3,0,2,0,7,1,4,3,1,6,2,0.5025,0.47250000000000003,0.64,0.0,0.36000000000000004,0.48,0.375,0.0,0.5800000000000001,0.39,0.41,0.83,0.8275,0.9,0.6699999999999999,0.64,0.0,1.08,1.44,0.75,0.0,4.0600000000000005,0.78,2.46,0.83,3.31,0.9,2.01,31.08,43.11,1592.380000000001,637.8899999999994,954.5,2.0,2.0,1.4142135623730951,1.4142135623730951,0.0,2.6457513110645907,1.0,1.7320508075688772,1.7320508075688772,0.0,2.0,1.0,1.7320508075688772,1.0,2.449489742783178,-0.3702,-1.506,-3.8,-4.6,-16.4,-111.2,0.36,-124.38,106.04,-1.86,-0.019382,-3.0,19.6,8.4,-10.2,30.058000000000003,3.2,10.4,12.4,0.1,4.36,2.44,-196.6,-0.78544378,-7.0,-5.633773000000001,-13.8,-26.521,-34.41,-28.97,-4003.87,-20.86,-9.65,10.36,21.61,-701.74,58.04,0.0,0.0,0.0,0.0,0.0,-34.236,546.976,0.00043499999999999995,-6.657,10.62,33.227,7.2860000000000005,-39.073,0.693,1.435,0.0,-41.13,-7.17,-389.08,25.26,2581.8979999999997,4.78087622439,-4.0680000000000005,3.863,-0.3422,0.03035,-358.7,-2598.0,2.7489999999999997,-11.99,-2971.0,-2.345,2.153,-0.53,0.7121,-26.45,-353.6,1.545,-2.3040000000000003,-383.9,-4974.483379,-5015.812078,3828.69,-1353.33,5182.03,-0.0109,0.0,0.0,0.0,1.852413,0.703904,-1.154053,-4.061819,-14.6033034492,6.594469999999999,0.007683,41
swarm_101_73.pdb,1,2,2,4,8,2,0,0,4,0,3,1,0,5,1,0.49,0.40750000000000003,0.5900000000000001,0.55,0.34,0.35125,0.0,0.0,0.585,0.34,0.39599999999999996,0.0,0.7799999999999999,0.0,0.9,1.1800000000000002,1.1,0.68,2.81,0.0,0.0,2.34,0.34,1.9799999999999998,0.0,2.34,0.0,0.9,30.9,43.55,1256.4400000000023,299.8299999999999,956.6100000000006,1.0,2.0,0.0,1.0,0.0,2.0,1.4142135623730951,1.4142135623730951,2.8284271247461903,1.4142135623730951,1.7320508075688772,0.0,1.0,0.0,2.23606797749979,0.747,-0.81,0.34,2.2,-2.6,-81.2,2.26,-101.62,83.14,2.26,0.002588,3.62,13.0,12.2,1.6,45.81399999999999,8.6,11.6,12.8,0.36,5.52,2.68,-146.8,0.98169275,-6.9,-6.480839,-13.48,-18.09,-32.7,-25.23,-3039.96,1.5,-2.46,6.14,14.22,-354.2,143.55,0.0,0.0,0.0,0.0,0.0,-33.9972,346.608,0.000426,1.696,-10.577,-2.162,-9.097000000000001,-280.056,-1.284,4.037,0.0,-30.88,-63.26,-397.46,78.75,369.64099999999996,-3.9058910934300006,-2.8680000000000003,2.701,1.119,1.4080000000000001,-146.6,-1897.0,10.24,30.85,-2023.0,-2.543,2.5839999999999996,0.3523,-0.20600000000000002,4.743,-246.1,3.285,-0.0571,-244.7,-4138.74123,-4185.531811,1.86,-919.41,921.28,-0.0368,0.0,0.0,0.0,2.400428,1.859435,0.02599,-3.352666,-14.527108216099998,2.64017,0.005424,33
swarm_102_122.pdb,3,0,0,7,6,2,4,0,6,0,5,2,0,5,2,0.48666666666666664,0.3742857142857143,0.0,0.30000000000000004,0.0,0.3583333333333334,0.42000000000000004,0.0,0.6483333333333333,0.39,0.354,0.0,0.608,0.0,0.57,0.0,0.6000000000000001,0.0,2.1500000000000004,1.6800000000000002,0.0,3.8899999999999997,0.78,1.7699999999999998,0.0,3.04,0.0,1.14,30.77,43.67,1602.5499999999993,563.5799999999981,1038.9699999999993,1.7320508075688772,2.6457513110645907,2.0,1.4142135623730951,0.0,2.449489742783178,0.0,0.0,2.449489742783178,1.4142135623730951,2.23606797749979,0.0,1.4142135623730951,0.0,2.23606797749979,1.848,-3.6319999999999997,-2.98,-8.2,-9.0,-124.2,1.88,-129.02,122.52,-2.96,0.018228,-3.72,23.4,16.8,-0.6,9.15,15.4,22.8,22.4,0.3,-0.14,1.54,-209.6,-0.13692645,8.4,-8.62945,-14.57,-20.603,-51.8,-37.83,-2757.12,2.38,1.25,-11.65,-2.58,-550.33,-164.69,0.0,0.0,0.0,0.0,0.0,-61.5263,30.6706,0.000286,-10.245,0.767,-34.577,-12.935,-203.41400000000002,-1.939,1.926,0.0,-84.45,33.43,-413.8,36.35,1954.372,29.8653780705,-2.841,2.655,0.8554,1.099,-194.2,-2574.0,12.49,26.91,-2754.0,-2.679,2.5660000000000003,0.07468999999999999,1.105,6.159,-359.7,3.8089999999999997,3.85,-353.5,-4357.804897999999,-4394.081213,1368.6,-996.54,2365.14,-0.1045,0.0,0.0,0.0,-3.1009700000000002,-1.8995369999999998,-3.9964489999999997,-11.1694,-12.6746434934,2.41598,0.0060479999999999996,42
swarm_102_178.pdb,3,0,4,2,11,6,4,0,6,0,4,2,0,3,1,0.47333333333333333,0.365,0.0,0.425,0.36000000000000004,0.3563636363636364,0.415,0.0,0.5883333333333334,0.34,0.34,0.0,0.58,0.0,0.735,0.0,2.55,1.4400000000000002,3.9200000000000004,1.66,0.0,3.5300000000000002,0.34,1.02,0.0,2.32,0.0,1.47,31.9,42.53,1752.0200000000004,662.6599999999999,1089.3599999999988,1.7320508075688772,1.4142135623730951,2.0,1.0,0.0,2.449489742783178,0.0,2.0,3.3166247903554,2.449489742783178,2.0,0.0,1.4142135623730951,0.0,1.7320508075688772,1.2724,0.882,0.46,-1.0,-14.6,-158.0,2.34,-168.22,141.8,1.06,-0.0018579999999999998,1.56,20.8,12.6,-9.6,94.98200000000001,15.0,21.4,23.0,0.62,10.32,8.28,-247.8,0.28708694,4.3,-7.50252,-17.74,-24.386999999999997,-49.57,-36.84,-3980.37,12.92,-9.94,-18.01,-0.06,-664.59,-116.03,0.0,0.0,0.0,0.0,0.0,-76.9961,-20.8885,0.000455,-9.862,5.982,-36.716,-7.5520000000000005,-265.816,-3.5660000000000003,1.485,0.0,-97.49,13.7,-517.0,16.3,1040.388,14.3430268127,-3.321,3.19,0.8492,0.4614,-140.8,-2798.0,16.2,35.37,-2920.0,-1.86,2.184,1.41,-0.5087,21.78,-400.0,9.452,2.676,-385.0,-4870.884847,-4917.923172999999,1212.73,-1183.9,2396.62,0.0398,0.0,0.0,0.0,-4.018886,-7.1732190000000005,0.045261,-10.37177,-18.8959706529,2.91978,0.007087,46
