Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_101_143.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.76,39.51,1310.1899999999987,519.2300000000014,790.9699999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8464,-0.35200000000000004,2.16,6.66133814775e-16,-9.4,-87.8,-1.94,-117.22,104.46,-0.54,0.071732,1.68,12.2,8.8,-7.2,1.546,11.0,21.0,22.0,-3.7,-2.28,0.12,-181.4,0.3283098638,-1.4,-6.337637,-9.31,-18.849,-36.59,-27.42,-2612.97,-15.04,-9.09,-13.77,7.08,-747.72,210.38,0.0,0.0,0.0,0.0,0.0,-22.3141,437.77099999999996,0.00040300000000000004,0.17800000000000002,3.491,15.377,5.207000000000001,-106.838,-2.819,-0.789,0.0,-47.77,67.05,-316.77,157.51,1322.4229999999998,-10.3543998464,-2.059,1.8969999999999998,-1.228,-0.4826,23.78,-2888.0,-6.8660000000000005,7.152,-2851.0,-1.5419999999999998,1.548,0.6667,1.202,82.69,-464.1,6.524,-0.1704,-388.1,-3578.9641840000004,-3625.972833,1753.53,-972.86,2726.4,-0.1043,0.0,0.0,0.0,1.428459,-0.9075479999999999,-2.497141,-12.849113000000001,-12.6536447401,1.6994,0.0,0
swarm_101_172.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.61,39.56,1535.6299999999974,773.8900000000012,761.7399999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6554,-3.5,4.98,-3.8,-4.6,-87.8,6.36,-103.04,119.16,-0.74,0.048102,-2.2,32.8,22.2,-1.8,33.994,19.6,28.8,33.6,6.22,8.04,9.78,-204.0,0.7137342348000001,12.3,-9.306352,-9.18,-20.037,-42.84,-34.25,-2073.38,11.79,-5.27,-3.24,12.41,-877.39,-461.37,0.0,0.0,0.0,0.0,0.0,-21.4497,171.12400000000002,0.000388,-5.8389999999999995,11.966,-46.222,1.504,-101.304,-4.848,-2.923,0.0,-90.45,167.47,-311.13,136.92,3089.6409999999996,11.251360068599999,-4.063,4.067,1.886,-0.2966,100.0,-2842.0,15.45,32.31,-2725.0,-3.409,3.281,0.1385,0.9157,83.11,-440.1,5.7620000000000005,4.053999999999999,-358.7,-3642.951378,-3676.990022,2074.93,-1011.41,3086.34,-0.0552,0.0,0.0,0.0,3.4155599999999997,3.687203,-1.329201,-10.589780000000001,-11.0674072624,1.5832899999999999,0.0,0
swarm_101_197.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.38,40.25,1734.4900000000016,880.2999999999993,854.1899999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1374,-2.156,2.66,-5.0,-12.6,-152.6,6.06,-129.66,134.08,-0.54,0.038166000000000005,-1.4,40.0,26.2,-7.6,85.988,10.2,21.0,29.0,3.82,1.76,7.42,-229.2,0.7262634268000001,19.1,-9.749433,-8.41,-21.586,-40.17,-43.99,-2881.61,-14.37,-1.19,-23.12,-2.62,-992.72,-337.72,0.0,0.0,0.0,0.0,0.0,-70.0907,-27.276,0.000363,-11.493,22.250999999999998,-29.078000000000003,7.851,-20.172,-6.656000000000001,-6.272,0.0,-179.34,184.87,-351.93,52.51,4359.808,8.900787037799999,-1.459,1.466,0.4762,-0.6779,36.73,-2994.0,5.224,-4.606,-2967.0,-0.9824,0.5818,-0.615,2.299,34.02,-485.8,5.3870000000000005,-0.7342,-457.9,-3736.6577780000002,-3787.1777409999995,2060.88,-1079.32,3140.21,-0.0523,0.0,0.0,0.0,-6.044705,-8.024102000000001,-0.9985450000000001,-13.8969,-13.864716667,3.59959,0.0,0
swarm_10_144.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.92,40.0,1183.579999999998,564.6599999999999,618.9200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8802,-2.258,-0.04,-2.4,-13.6,-97.2,-1.88,-133.78,115.86,-0.26,-0.005814,-0.92,5.4,2.2,-13.2,58.071999999999996,11.6,19.4,17.4,0.08,-1.06,1.58,-219.2,-0.6272039448,-6.3,-5.868614,-13.4,-19.218,-32.88,-21.67,-1995.01,-5.33,-4.07,-3.0,-9.47,-899.79,-207.63,0.0,0.0,0.0,0.0,0.0,-39.488,71.0956,0.000384,0.635,7.265,-0.174,7.882000000000001,-34.256,-1.251,-0.6,0.0,-32.93,25.07,-163.12,-53.62,256.28700000000003,-2.00430687459,-2.285,2.228,0.9751,0.809,-13.71,-2727.0,10.29,-11.8,-2763.0,-0.9677,1.002,1.242,1.2309999999999999,25.29,-381.9,9.337,-2.452,-368.4,-3569.813235,-3608.482822,1522.77,-990.42,2513.19,-0.0954,0.0,0.0,0.0,-0.108476,-1.7272349999999999,-4.171598,-10.589411,-13.196658761099998,2.06312,0.0,0
swarm_10_148.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.24,41.28,1696.180000000004,993.2900000000009,702.880000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8612,-12.82,2.7,-12.6,-23.2,-167.0,5.0,-158.06,171.1,-4.7,0.074462,-6.32,35.8,16.8,-22.6,65.866,13.4,23.2,28.8,1.28,14.38,13.14,-286.4,0.1040879792,9.6,-10.063695,-17.04,-25.905,-46.08,-43.57,-3329.26,-0.6,7.86,22.8,29.1,-1140.35,-328.19,0.0,0.0,0.0,0.0,0.0,-12.5086,97.2608,0.000366,-5.105,26.124000000000002,-46.131,16.406,-14.182,-5.749,-5.48,0.0,-182.07,182.1,-296.8,-31.9,1096.142,14.537339568299998,-3.072,3.013,-0.3439,-0.5573,658.2,-4470.0,5.405,7.388999999999999,-3810.0,-2.7939999999999996,2.109,-0.8712,3.7489999999999997,121.9,-635.3,6.225,4.577,-515.0,-4254.282922,-4311.76573,2073.33,-1304.36,3377.68,-0.081,0.0,0.0,0.0,1.5767209999999998,-4.3391589999999995,-6.207318,-13.158187,-14.695614718900002,3.81284,0.0,0
swarm_102_114.pdb,0,1,3,1,0,1,0,0,0,0,4,1,0,0,0,0.0,0.29,0.52,0.56,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7975,0.0,0.57,0.52,0.56,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.57,29.2,40.15,1433.920000000002,548.8400000000001,885.0799999999999,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.7320508075688772,0.0,1.0,2.0,0.0,1.0,0.0,0.0,-3.4534,-2.78,-5.3,-5.2,-26.6,-140.4,-3.3,-135.82,97.84,-1.48,0.121296,-4.9,3.0,-3.8,-24.8,53.582,-11.2,-3.0,-0.6,-10.18,-8.54,-5.34,-210.4,-1.616662002,-18.9,-11.276518,-20.66,-24.378,-57.41,-58.36,-3758.83,-29.78,-17.25,-41.74,-22.84,-827.55,-470.02,0.0,0.0,0.0,0.0,0.0,-65.0789,-155.484,0.000388,-12.040999999999999,0.266,-45.604,-16.335,-86.125,2.311,3.947,0.0,-189.66,-150.11,-288.27,-220.2,508.43,-1.30804772489,-1.768,1.683,-0.2702,0.7084,208.8,-2764.0,1.412,-27.22,-2583.0,-2.142,1.43,-2.344,3.185,23.94,-373.0,-1.6130000000000002,2.3480000000000003,-345.1,-4039.589708,-4096.490399,-344.12,-1259.14,915.02,-0.1612,0.0,0.0,0.0,-7.6797509999999996,-9.977055,-5.622237,-10.83591,-19.0762597848,1.9568900000000002,0.005182,11
swarm_102_124.pdb,0,2,3,0,8,0,0,0,2,0,0,2,0,0,0,0.0,0.0,0.5900000000000001,0.0,0.35333333333333333,0.315,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.7050000000000001,1.1800000000000002,0.0,1.06,2.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4100000000000001,29.2,40.39,1486.2199999999975,755.4700000000012,730.7199999999993,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,1.7320508075688772,2.8284271247461903,0.0,0.0,0.0,1.4142135623730951,0.0,0.0,-0.2052,-3.358,1.22,-1.6,-20.2,-139.6,1.34,-131.38,112.3,0.96,0.024544,0.22,9.6,3.4,-18.8,107.02,-2.8,6.0,10.6,-4.66,5.74,10.04,-216.6,0.039753948,-8.8,-5.211402,-11.53,-19.427,-43.1,-42.25,-3427.05,2.41,-6.8,52.92,44.34,-751.97,17.81,0.0,0.0,0.0,0.0,0.0,-33.7994,498.94800000000004,0.00040199999999999996,-2.949,16.761,10.329,14.845,-113.902,-1.5319999999999998,0.632,0.0,-64.4,-12.97,-391.64,-14.81,390.23199999999997,17.7380419869,-1.943,1.9609999999999999,0.1312,-0.877,144.2,-2733.0,4.928999999999999,-36.66,-2630.0,-1.673,1.364,-1.23,0.9740000000000001,41.01,-424.1,1.4269999999999998,-4.178999999999999,-388.7,-3629.6649009999996,-3690.8487909999994,1187.51,-1026.31,2213.82,0.078,0.0,0.0,0.0,1.148295,-1.590582,-0.6136010000000001,-10.787319,-11.485792134,2.10296,0.004,17
swarm_102_127.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.58,39.85,1213.3200000000033,582.880000000001,630.4500000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.036,-1.002,7.02,-2.2,-14.0,-128.8,5.46,-122.86,130.16,0.98,0.09551799999999999,-0.72,27.0,12.2,-15.2,85.398,7.4,17.6,25.6,-1.32,9.1,10.68,-227.8,0.873146408,11.7,-2.058976,-7.07,-16.198,-29.97,-32.01,-1941.09,3.11,-6.26,3.39,25.17,-712.74,273.45,0.0,0.0,0.0,0.0,0.0,-13.6688,576.9,0.000512,-2.063,8.493,8.197000000000001,7.25,-66.72800000000001,-4.228,-2.96,0.0,-87.34,155.13,-62.0,30.56,220.468,20.0285133645,-2.435,2.428,0.9714,0.1294,84.66,-2946.0,12.06,-0.8078,-2875.0,-2.541,2.342,0.2539,2.009,31.75,-407.2,8.052,1.2990000000000002,-382.2,-3367.30555,-3412.4340829999996,1844.39,-874.36,2718.75,0.111,0.0,0.0,0.0,1.2399790000000002,-3.095164,-0.055169,-13.12635,-11.1455997172,2.37445,0.0,0
swarm_102_36.pdb,0,0,4,0,2,2,2,0,1,1,0,1,0,0,0,0.0,0.0,0.0,0.32,0.3775,0.175,0.4,0.0,0.25,0.0,0.0,0.0,0.0,0.9,0.57,0.0,0.64,1.51,0.35,0.8,0.0,0.25,0.0,0.0,0.0,0.0,0.9,0.57,29.41,40.2,1787.2700000000004,740.0100000000002,1047.2600000000002,0.0,0.0,1.4142135623730951,0.0,0.0,1.0,0.0,2.0,1.4142135623730951,1.4142135623730951,0.0,1.0,1.0,0.0,0.0,1.575,-1.482,7.66,1.8,-23.2,-201.2,4.1,-187.34,160.16,4.28,-0.043862,1.28,20.2,9.4,-24.8,148.38,-0.4,11.0,21.4,-3.46,1.02,15.24,-304.8,-1.10529713,-7.0,-8.162146,-17.98,-25.737,-47.71,-45.95,-3765.78,1.44,-13.59,-1.75,12.88,-959.9,-284.5,0.0,0.0,0.0,0.0,0.0,-60.0382,25.9819,0.00035,-7.547999999999999,1.713,-42.361000000000004,-10.071,-142.089,-4.247,-1.547,0.0,-151.59,10.38,-423.9,-84.53,1114.872,23.397546739299997,-2.175,2.194,0.03695,-1.005,50.09,-3604.0,4.727,-63.26,-3622.0,-1.081,0.59,-1.589,0.976,29.4,-479.1,3.201,-7.001,-459.9,-4238.234247,-4316.645486,966.79,-1299.62,2266.42,-0.085,0.0,0.0,0.0,-6.006092,-6.832258,-2.823093,-17.739745000000003,-19.8066067844,2.50952,0.002,13
swarm_102_6.pdb,0,1,5,0,2,4,0,0,0,1,2,0,0,0,0,0.0,0.0,0.52,0.4125,0.546,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.6699999999999999,0.98,0.0,0.52,1.65,2.7300000000000004,0.82,0.0,0.0,0.0,0.0,0.0,0.0,1.3399999999999999,0.98,0.0,28.99,40.1,1437.4500000000007,683.6099999999988,753.8400000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.23606797749979,1.4142135623730951,2.0,1.4142135623730951,1.0,0.0,0.0,0.0,0.887,-4.382,0.46,-3.2,-12.4,-102.4,3.78,-101.12,92.14,-0.56,-0.012374,-1.26,24.6,17.4,-6.6,91.756,6.4,9.4,14.8,-1.58,2.92,-6.76,-172.8,-0.5290361032,0.5,-6.443745,-11.55,-20.513,-33.24,-28.59,-3468.63,6.87,1.42,-11.44,2.84,-688.5,-169.85,0.0,0.0,0.0,0.0,0.0,-38.1558,51.7779,0.000462,-5.051,18.745,-36.441,10.049,-70.943,-2.214,-0.866,0.0,-128.07,34.83,-234.94,-54.68,1129.473,26.1992157642,-2.633,2.617,1.1,1.053,243.9,-2787.0,10.35,-7.782,-2561.0,-1.723,1.139,-2.221,1.7469999999999999,61.41,-411.2,0.1701,-2.537,-352.5,-3589.53314,-3632.6375270000003,1751.38,-1018.78,2770.16,0.0558,0.0,0.0,0.0,-0.097137,-1.7231049999999999,-0.307209,-7.526588,-12.2517182085,1.6006200000000002,0.002,15
