Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_117.pdb,10,5,6,6,8,1,27,6,2,1,1,0,1,8,3,0.48100000000000004,0.375,0.47800000000000004,0.77,0.42333333333333334,0.36874999999999997,0.4633333333333333,0.48,0.365,0.5,0.47249999999999986,0.52,0.67,0.78,0.0,2.39,0.77,2.54,2.9499999999999997,12.51,2.88,0.73,1.5,3.779999999999999,0.52,0.67,0.78,0.0,25.44,34.26,2212.0599999999977,1149.789999999999,1062.2700000000004,3.1622776601683795,2.449489742783178,5.196152422706632,1.7320508075688772,2.449489742783178,1.4142135623730951,2.23606797749979,2.449489742783178,2.8284271247461903,1.0,1.0,1.0,0.0,1.0,2.8284271247461903,8.646,-1.732,7.56,-10.0,-15.4,-161.8,6.22,-219.66,230.68,-1.22,-0.059463999999999996,-2.76,52.2,34.8,-4.4,47.042,35.4,52.2,53.8,4.9,17.18,10.92,-408.6,-0.402545328,11.6,-7.625545,-19.2,-35.73,-63.68,-53.66,-4328.33,-5.2,-15.12,38.46,45.28,-1547.73,-192.31,0.0,0.0,0.0,0.0,0.0,-45.8851,629.403,0.00022799999999999999,-8.434,15.85,-24.078000000000003,5.008,-43.75899999999999,-5.952000000000001,-5.12,0.0,-154.86,230.85,-518.77,112.11,-3102.3259999999996,39.0894019165,-3.695,3.545,-0.9536,0.5179,-187.8,-4975.0,-5.5920000000000005,-73.28,-5230.0,-2.67,2.383,-1.203,1.156,25.04,-670.7,4.115,-12.72,-662.5,-5748.015941,-5854.323004999999,3153.31,-1808.02,4961.34,-0.0063,0.0,0.0,0.0,-4.1402589999999995,-12.374583,-10.531019,-19.147658,-16.966432390399998,17.1459,0.006271,85
swarm_0_118.pdb,10,1,9,4,4,2,16,9,3,0,3,0,3,4,0,0.42399999999999993,0.31,0.45,0.6950000000000001,0.39333333333333337,0.3775,0.49500000000000005,0.5211111111111113,0.6066666666666667,0.0,0.45999999999999996,0.71,0.62,0.0,0.0,0.45,1.3900000000000001,3.5400000000000005,1.51,7.920000000000001,4.690000000000001,1.82,0.0,1.8399999999999999,2.13,1.8599999999999999,0.0,0.0,25.12,35.07,1975.7299999999996,976.9200000000001,998.8100000000013,3.1622776601683795,2.0,4.0,0.0,3.0,1.7320508075688772,1.0,3.0,2.0,1.4142135623730951,1.7320508075688772,0.0,0.0,1.7320508075688772,2.0,7.0844,-3.7319999999999998,7.84,-9.2,-15.2,-171.4,5.54,-192.0,205.72,-0.72,-0.072894,0.26,38.0,27.8,-10.2,24.38,29.6,43.0,44.0,1.44,18.04,26.76,-354.6,0.7608129298,12.0,-6.085763,-14.57,-29.15,-64.65,-61.54,-2977.18,-13.76,-8.77,37.2,38.28,-1182.21,87.35,0.0,0.0,0.0,0.0,0.0,14.6815,1448.92,0.000309,-3.075,14.394,34.321999999999996,14.752,-8.312000000000001,-4.0760000000000005,-3.918,0.0,-85.55,128.28,-320.28,47.56,948.1569999999999,44.5051321216,-4.228,4.086,-0.5225,0.4882,-118.1,-4394.0,-1.855,-28.08,-4538.0,-2.563,2.821,1.844,1.331,7.056,-525.7,13.71,-6.147,-538.5,-4981.857049,-5049.905342,2775.59,-1500.84,4276.43,-0.0309,0.0,0.0,0.0,0.16739400000000002,-4.2901050000000005,-6.499369000000001,-14.267207999999998,-16.4948701786,17.1074,0.0048530000000000005,68
swarm_0_196.pdb,7,1,14,5,5,3,18,3,1,1,2,0,5,7,2,0.45,0.43600000000000005,0.35,0.5566666666666668,0.4557142857142857,0.394,0.4566666666666667,0.49666666666666665,0.24,0.585,0.4657142857142857,0.5820000000000001,0.69,0.78,0.0,0.35,1.6700000000000002,6.38,1.97,8.22,1.49,0.24,1.17,3.26,2.91,1.38,0.78,0.0,26.11,34.24,1722.4599999999991,754.3899999999994,968.0699999999997,2.6457513110645907,2.23606797749979,4.242640687119285,1.4142135623730951,1.7320508075688772,1.0,1.0,3.7416573867739413,2.23606797749979,1.7320508075688772,1.4142135623730951,1.0,0.0,2.23606797749979,2.6457513110645907,5.1032,-1.032,4.94,-3.6,-8.8,-130.6,2.92,-169.92,169.4,0.62,0.025754000000000003,1.32,34.2,26.8,5.55111512313e-17,6.324,26.4,36.2,33.6,-2.52,11.94,14.62,-294.6,0.8705109878,3.3,-8.254845,-17.12,-29.785999999999998,-47.86,-38.15,-2612.76,-10.08,-3.94,32.23,32.26,-1328.02,-311.23,0.0,0.0,0.0,0.0,0.0,-22.2045,825.72,0.000389,-4.314,4.26,0.319,-0.022000000000000002,-37.03,-3.688,-2.984,0.0,-72.17,86.95,-375.24,135.84,-369.134,37.5836367817,-3.843,3.748,0.3001,1.4369999999999998,-44.18,-4392.0,5.814,-58.3,-4501.0,-3.0010000000000003,3.049,-0.09117,0.632,1.153,-498.8,7.502999999999999,-10.05,-515.2,-5093.917034,-5165.493397,2476.89,-1512.82,3989.7,0.0613,0.0,0.0,0.0,-3.239488,-7.910177,-4.298922,-17.116975,-15.8052983708,23.2126,0.005743,74
swarm_0_197.pdb,8,6,4,2,1,2,7,9,6,1,1,3,4,1,1,0.5337500000000001,0.41500000000000004,0.545,0.53,0.365,0.39,0.4571428571428572,0.49222222222222217,0.5016666666666666,0.34,0.47,0.5875,0.62,0.78,0.7200000000000001,3.27,1.06,1.46,0.39,3.2,4.43,3.01,0.34,0.47,2.35,0.62,0.78,2.16,24.75,35.29,1731.1499999999978,942.5100000000002,788.6499999999996,2.8284271247461903,1.4142135623730951,2.6457513110645907,1.0,3.0,2.449489742783178,2.449489742783178,2.0,1.0,1.4142135623730951,1.0,1.0,1.7320508075688772,2.0,1.0,1.1192,-7.11,-0.64,-8.4,-17.4,-97.2,2.04,-113.52,114.44,-3.34,-0.036086,-6.9,26.2,11.8,-11.6,46.722,7.8,16.4,20.2,0.78,4.0,4.62,-221.8,-0.7462482640000001,3.6,-8.76448,-14.59,-28.243000000000002,-38.01,-42.05,-2932.06,-9.2,-7.76,6.89,28.1,-1349.07,-673.45,0.0,0.0,0.0,0.0,0.0,-5.95245,528.161,0.00047300000000000006,-3.048,13.422,-35.466,6.827000000000001,-120.551,-0.968,1.3230000000000002,0.0,-171.81,135.69,-265.1,-118.87,-851.3530000000001,21.743352238099998,-3.125,3.156,1.285,-0.3779,186.1,-3800.0,9.139,-11.58,-3635.0,-2.481,1.8880000000000001,-2.088,1.902,34.63,-513.0,-1.5019999999999998,-3.633,-480.5,-4900.08793,-4951.549353,1462.29,-1405.89,2868.18,-0.1312,0.0,0.0,0.0,0.641736,-0.48258,-8.466472,-16.96119,-11.5274050728,18.8522,0.003964,56
swarm_0_41.pdb,0,2,5,4,7,3,5,2,6,1,2,2,3,2,0,0.0,0.47250000000000003,0.49,0.6566666666666667,0.43200000000000005,0.37714285714285717,0.524,0.45999999999999996,0.45999999999999996,0.0,0.475,0.77,0.73,0.49,0.685,0.98,1.9700000000000002,2.16,2.64,2.62,0.9199999999999999,2.76,0.0,0.95,2.31,1.46,0.49,1.37,25.0,34.8,1448.1000000000022,712.6800000000003,735.4199999999983,0.0,2.0,2.23606797749979,0.0,1.4142135623730951,2.449489742783178,1.4142135623730951,2.23606797749979,2.6457513110645907,1.7320508075688772,1.4142135623730951,1.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,-0.8844,-3.312,-3.74,-5.2,-8.4,-97.6,1.92,-95.88,90.14,-1.4,-0.0038740000000000003,-3.44,17.6,8.2,-8.6,74.938,4.0,10.4,14.4,-3.7,10.9,0.6,-165.0,-0.2854668152,-1.7,-8.930571,-10.31,-23.701,-37.48,-30.49,-2482.05,-13.13,-3.3,-8.44,12.11,-1092.04,-347.18,0.0,0.0,0.0,0.0,0.0,16.2467,1713.36,0.00045700000000000005,-5.779,9.094,-2.478,3.0669999999999997,-48.568999999999996,-3.282,-2.36,0.0,-129.92,164.49,-158.39,40.14,-1978.2379999999998,20.0892407305,-2.3569999999999998,2.424,2.1069999999999998,0.4257,-113.8,-3038.0,14.54,1.579,-3165.0,-1.219,0.8183,-1.0070000000000001,1.785,28.81,-372.3,0.5945,-2.217,-346.3,-4423.20102,-4468.262873,2529.86,-1226.64,3756.5,0.0959,0.0,0.0,0.0,-4.462526,-7.368608,-4.018758,-13.545701999999999,-13.7249550149,15.2221,0.0027949999999999997,44
swarm_100_124.pdb,1,3,1,2,2,6,2,1,10,3,0,1,3,1,0,0.53,0.41500000000000004,0.48,0.5850000000000001,0.54,0.26,0.47,0.44,0.568,0.0,0.48,0.6066666666666666,0.0,0.8933333333333334,0.5,1.44,3.5100000000000002,0.54,0.52,0.94,0.44,5.68,0.0,0.48,1.8199999999999998,0.0,2.68,0.5,24.82,35.9,1330.7099999999991,720.010000000002,610.6900000000005,1.0,1.4142135623730951,1.4142135623730951,0.0,1.0,3.1622776601683795,1.7320508075688772,1.0,1.4142135623730951,2.449489742783178,0.0,1.7320508075688772,1.0,1.7320508075688772,1.0,-0.3618,-2.396,-3.64,-8.6,-16.0,-65.8,0.04,-73.72,69.78,-3.68,0.219602,-6.5,13.8,3.6,-13.0,62.766000000000005,2.0,8.2,10.6,1.78,1.64,-5.94,-131.2,-0.825967252,0.7,-9.179015,-12.03,-21.337,-32.95,-31.34,-2283.45,14.84,-4.9,-35.77,-29.05,-981.12,-569.99,0.0,0.0,0.0,0.0,0.0,-47.8501,-72.1787,0.00045700000000000005,-7.626,6.511,-45.474,-5.662000000000001,-160.79,0.083,3.138,0.0,-126.74,67.53,-300.87,-73.36,-14737.542,6.52003553696,-2.678,2.7689999999999997,2.467,-0.2029,70.77,-2318.0,10.4,30.73,-2227.0,-1.871,1.203,-1.746,1.8980000000000001,16.74,-313.0,-1.975,3.6839999999999997,-290.6,-4094.228861,-4131.17444,1585.22,-1054.41,2639.63,-0.1558,0.0,0.0,0.0,-5.609521,-4.46234,-12.392121000000001,-17.811695,-9.991221831039999,14.587,0.005139,36
swarm_100_160.pdb,19,4,8,4,1,5,5,11,2,1,1,2,1,7,3,0.3942105263157895,0.3425,0.465,0.6120000000000001,0.4149999999999999,0.19,0.472,0.4954545454545455,0.79,0.51,0.4757142857142857,0.52,0.51,0.78,0.635,1.86,3.0600000000000005,3.3199999999999994,0.19,2.36,5.45,1.58,1.53,3.33,0.52,0.51,0.78,1.27,25.37,35.22,1951.0499999999993,934.7399999999998,1016.2999999999993,4.358898943540674,2.0,2.23606797749979,1.7320508075688772,3.3166247903554,1.4142135623730951,2.0,2.8284271247461903,1.0,2.23606797749979,1.0,1.0,1.4142135623730951,1.0,2.6457513110645907,6.763999999999999,-2.8160000000000003,3.92,-8.0,-13.2,-115.8,-0.26,-171.38,174.14,-5.06,-0.04556,-7.88,27.0,16.8,-11.4,17.094,34.0,48.0,49.0,-0.82,12.12,6.54,-304.6,-1.792132078,8.6,-8.268908,-17.32,-29.294,-35.75,-34.93,-1451.05,-2.42,-14.42,32.48,41.49,-1320.34,-432.92,0.0,0.0,0.0,0.0,0.0,-48.9036,166.00099999999998,0.000266,-4.89,-0.018000000000000002,-43.964,-9.304,-191.63099999999997,-8.581,-4.94,0.0,-88.76,158.69,-177.11,26.84,-10579.122,6.57744332852,-3.863,3.795,0.3486,-0.08259,-117.1,-4919.0,4.622,-1.178,-5042.0,-2.39,2.63,1.531,0.6159,46.9,-619.8,12.2,-5.805,-590.9,-5071.334132999999,-5148.47481,2050.38,-1468.06,3518.46,0.2805,0.0,0.0,0.0,1.859343,0.757759,-8.216804,-18.935599,-18.2952874468,17.8414,0.0066489999999999995,74
swarm_100_6.pdb,5,7,6,5,2,4,6,10,7,3,0,5,5,3,0,0.418,0.4600000000000001,0.47285714285714286,0.5925,0.425,0.4,0.45500000000000007,0.46699999999999997,0.5514285714285714,0.0,0.4766666666666666,0.572,0.0,0.86,0.666,3.31,2.37,2.55,0.8,2.7300000000000004,4.67,3.86,0.0,1.43,2.86,0.0,2.58,3.33,25.55,35.52,1784.859999999997,861.6299999999992,923.2299999999977,2.23606797749979,2.23606797749979,2.449489742783178,0.0,3.1622776601683795,2.6457513110645907,2.6457513110645907,2.449489742783178,1.4142135623730951,2.0,0.0,1.7320508075688772,2.23606797749979,2.23606797749979,1.7320508075688772,1.0488,-2.424,-0.6,-2.6,-17.0,-115.0,-1.88,-170.96,155.82,-0.28,-0.048536,1.74,14.4,7.0,-16.0,37.798,13.2,22.0,21.2,-4.4,10.78,5.02,-284.6,0.620156524,-8.9,-6.216444,-15.49,-27.791,-44.19,-37.52,-3967.28,-37.52,-28.76,-20.21,-0.44,-1352.41,-209.89,0.0,0.0,0.0,0.0,0.0,-62.7635,613.006,0.00044,-15.44,2.556,13.300999999999998,-11.554,-202.003,-2.995,0.843,0.0,-159.47,69.13,-467.61,10.56,-11242.354,-8.739309895089999,-2.557,2.603,1.051,-0.5766,-1.975,-3859.0,9.133,3.708,-3866.0,-2.7489999999999997,2.214,-1.97,0.8114,53.8,-572.4,-3.2260000000000004,-1.124,-516.5,-4962.650528,-5015.696669,2115.21,-1451.34,3566.56,-0.1611,0.0,0.0,0.0,-9.900527,-12.707796,-15.159931,-27.742379,-18.2174407162,25.4841,0.005221,68
swarm_10_10.pdb,9,5,2,6,1,3,20,5,4,2,0,0,3,1,2,0.44333333333333336,0.42500000000000004,0.5039999999999999,0.5833333333333334,0.48,0.41,0.4625,0.516,0.52,0.51,0.48,0.5266666666666667,0.0,0.635,0.0,2.5199999999999996,1.75,0.96,0.41,9.25,2.58,2.08,1.02,0.48,1.58,0.0,1.27,0.0,24.75,34.9,1674.5200000000004,812.8599999999988,861.6499999999996,3.0,2.449489742783178,4.47213595499958,1.4142135623730951,2.23606797749979,2.0,2.23606797749979,1.4142135623730951,1.0,1.7320508075688772,0.0,1.4142135623730951,0.0,1.7320508075688772,1.0,2.9586,-8.054,-2.24,-12.8,-19.4,-116.4,1.48,-119.52,129.86,-6.26,0.010486,-11.58,25.4,9.8,-19.0,59.162,15.4,24.2,29.0,2.26,-0.04,2.9,-232.2,-1.626028206,14.0,-10.588813,-16.05,-26.079,-55.7,-53.85,-3821.67,-14.92,-20.05,-67.27,-4.67,-1213.99,-636.14,0.0,0.0,0.0,0.0,0.0,-35.9264,15.0515,0.00042199999999999996,-4.0360000000000005,10.152999999999999,-56.011,0.516,-169.233,-2.52,0.696,0.0,-214.13,221.14,-101.14,-54.18,932.2080000000001,30.6754893588,-1.9180000000000001,1.933,0.5598,0.2472,-135.3,-3197.0,6.18,-42.04,-3380.0,-1.734,1.431,-0.1655,2.967,-5.2829999999999995,-431.8,6.228,-1.189,-444.5,-4631.726975,-4680.154875,2708.19,-1272.29,3980.49,-0.1312,0.0,0.0,0.0,-1.672927,-1.020504,-6.766902,-13.447189000000002,-16.6572871277,15.8717,0.006523999999999999,63
swarm_101_191.pdb,3,2,7,6,2,5,8,7,3,0,1,0,3,3,1,0.4566666666666667,0.47666666666666674,0.55,0.584,0.40857142857142853,0.43999999999999995,0.41375,0.5142857142857143,0.33,0.51,0.5,0.6233333333333334,0.67,0.0,0.0,1.1,2.92,2.86,0.8799999999999999,3.31,3.6000000000000005,0.99,0.51,1.5,1.87,0.67,0.0,0.0,25.49,34.71,1503.8100000000013,754.1599999999999,749.6499999999996,1.7320508075688772,2.449489742783178,2.8284271247461903,1.0,2.6457513110645907,1.7320508075688772,1.4142135623730951,2.6457513110645907,1.4142135623730951,2.23606797749979,1.0,0.0,0.0,1.7320508075688772,1.7320508075688772,2.4064,-0.652,1.98,-4.2,-12.6,-115.0,1.74,-124.96,124.26,-0.34,0.014252,-1.9,19.2,11.4,-11.6,29.944000000000003,11.4,16.4,18.4,-0.66,12.68,3.2,-226.6,0.0086163024,2.7,-7.221222,-10.58,-22.889,-29.48,-29.64,-3128.48,-11.47,-13.62,-9.37,2.52,-1146.11,-179.44,0.0,0.0,0.0,0.0,0.0,-23.1337,443.62800000000004,0.000388,-7.157,9.879,-21.936999999999998,0.528,-40.444,-2.6189999999999998,-1.85,0.0,-90.19,167.84,-260.64,30.86,506.319,14.9797278431,-3.7969999999999997,3.748,1.0070000000000001,0.2735,-160.1,-2680.0,7.466,16.05,-2832.0,-3.259,2.8989999999999996,-1.9980000000000002,0.2779,-7.977,-390.9,-1.824,-1.6469999999999998,-398.7,-4366.669296,-4429.302459,1365.48,-1180.38,2545.86,-0.0417,0.0,0.0,0.0,-6.453721,-10.306277,-6.001583999999999,-19.526829,-12.752215885899998,14.9847,0.003824,51
