Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_111.pdb,0,2,3,2,3,3,7,0,5,1,0,0,0,0,0,0.0,0.255,0.56,0.6333333333333333,0.4033333333333334,0.5133333333333333,0.4842857142857143,0.0,0.568,0.0,0.0,0.0,0.0,0.9,0.0,1.12,1.9,1.2100000000000002,1.54,3.39,0.0,2.84,0.0,0.0,0.0,0.0,0.9,0.0,36.04,31.98,845.2999999999993,471.7099999999991,373.59000000000015,0.0,1.4142135623730951,2.6457513110645907,0.0,0.0,2.23606797749979,1.4142135623730951,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.0,1.0,0.0,0.0,0.0,-0.7909999999999999,-3.778,-0.86,-4.4,-15.2,-64.4,-0.36,-53.74,46.1,-0.88,0.01886,-0.64,-0.8,-4.4,-13.6,27.378,-4.4,-2.0,-1.2,-5.48,1.06,3.78,-94.6,-0.354642254,-6.6,-7.684303,-6.87,-12.694,-15.4,-16.01,-2129.46,-6.14,-9.72,-2.09,-5.2,-588.19,-209.17,0.0,0.0,0.0,0.0,0.0,-45.9412,-74.7758,0.000857,-8.854,11.663,-30.956,-0.287,-12.955,1.141,1.3869999999999998,0.0,-156.15,38.3,-107.23,-118.45,42.85,-3.93265029602,-2.367,2.449,1.3330000000000002,0.3809,5.62,-1237.0,9.442,-12.58,-1254.0,-1.004,0.2856,-1.274,2.258,11.46,-184.2,-1.01,0.125,-171.6,-2734.066002,-2766.435486,1483.89,-652.08,2135.96,0.0618,0.0,0.0,0.0,-4.292343,-4.250655999999999,-4.544307,-2.814191,-6.06547224805,-2.66182,0.013115,26
swarm_0_145.pdb,1,1,0,1,5,3,4,1,6,0,0,1,0,0,0,0.48,0.52,0.52,0.48,0.0,0.31,0.4725,0.56,0.6900000000000001,0.0,0.0,0.0,0.0,0.0,0.9,0.52,1.44,0.0,1.55,1.89,0.56,4.140000000000001,0.0,0.0,0.0,0.0,0.0,0.9,36.98,30.21,796.8600000000006,334.1400000000003,462.72000000000025,1.0,1.0,2.0,0.0,1.0,2.449489742783178,1.0,0.0,2.23606797749979,1.7320508075688772,0.0,0.0,1.0,0.0,0.0,-0.8536,-5.52,-3.66,-4.6,-10.6,-50.0,-0.08,-48.32,37.1,-2.56,-0.027126,-4.98,10.2,3.4,-8.0,62.461999999999996,-0.8,0.6,3.6,-1.84,-2.36,-1.18,-78.0,-0.750060576,0.7,-6.296526999999999,-7.2,-11.129000000000001,-19.58,-18.16,-2049.43,-4.35,-2.69,-7.57,-5.72,-506.11,-220.45,0.0,0.0,0.0,0.0,0.0,-17.5391,-5.52067,0.000869,3.1180000000000003,7.117000000000001,-18.312,8.405,10.359000000000002,-0.555,-0.752,0.0,-99.55,81.12,-174.64,16.91,140.656,17.837106701,-3.159,3.228,0.9619,-1.933,-83.03,-1246.0,7.736000000000001,-10.94,-1348.0,-2.3040000000000003,2.065,-0.5976,0.9059999999999999,8.131,-187.4,0.5489999999999999,-0.182,-180.0,-2541.8491719999997,-2567.355783,1193.86,-573.34,1767.18,-0.0411,0.0,0.0,0.0,-4.2904230000000005,-5.46007,-6.795631,-10.96838,-5.623649360469999,-2.65345,0.010609,23
swarm_0_148.pdb,1,2,3,1,0,1,8,3,3,0,0,0,0,0,0,0.29,0.52,0.575,0.56,0.5066666666666667,0.0,0.43499999999999994,0.5133333333333333,0.5566666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.56,1.52,0.0,3.4799999999999995,1.54,1.67,0.0,0.0,0.0,0.0,0.0,0.0,37.17,30.89,680.2399999999998,397.4300000000003,282.8099999999995,1.0,1.0,2.8284271247461903,0.0,1.7320508075688772,1.7320508075688772,1.4142135623730951,1.7320508075688772,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0236,-1.3719999999999999,-0.7,-4.2,-11.2,-60.8,0.64,-46.96,44.48,-1.6,-0.047728,-2.16,5.6,3.0,-9.4,16.312,-4.6,0.4,4.0,-3.02,-1.02,4.88,-86.8,-0.06653522,2.7,-6.877103,-3.56,-8.827,-10.05,-14.13,-1037.88,5.56,-7.5,5.39,0.18,-406.29,-153.35,0.0,0.0,0.0,0.0,0.0,-37.8573,-56.3884,0.000991,-11.238,12.533,-14.655,-0.171,-43.205,-0.337,0.484,0.0,-46.04,7.08,-43.7,-79.39,72.483,11.1352036102,-2.94,2.9210000000000003,0.6009,-0.8566,-33.96,-1135.0,4.4830000000000005,-10.86,-1184.0,-2.795,2.18,-0.4709,2.3280000000000003,-24.77,-169.1,1.409,1.784,-193.5,-2246.871304,-2264.636908,875.21,-454.14,1329.35,-0.0196,0.0,0.0,0.0,-4.103487,-4.616811,-4.5596760000000005,-6.601986999999999,-6.71469108974,-1.89715,0.007682,22
swarm_0_165.pdb,1,1,2,4,7,3,3,3,4,1,1,2,1,0,0,0.55,0.525,0.63,0.6466666666666666,0.42,0.3885714285714285,0.4666666666666666,0.5166666666666667,0.765,0.0,0.0,0.68,0.67,0.9,0.735,0.63,1.94,0.84,2.7199999999999998,1.4,1.55,3.06,0.0,0.0,0.68,0.67,0.9,1.47,37.5,29.69,829.1100000000006,376.0599999999995,453.0500000000002,1.0,2.0,1.7320508075688772,0.0,1.7320508075688772,2.0,1.0,1.4142135623730951,2.6457513110645907,1.7320508075688772,1.0,1.0,1.4142135623730951,1.0,0.0,-1.0959999999999999,-3.5039999999999996,-4.22,-3.0,-9.2,-61.0,-0.66,-58.5,43.6,-1.88,0.0038420000000000004,-3.16,6.8,2.0,-7.4,14.842,-1.4,1.6,3.8,-1.28,-1.38,0.84,-87.0,-0.011771368,-2.8,-8.184191,-10.63,-14.314,-32.26,-27.32,-2694.05,-5.39,-7.59,-31.25,0.34,-512.11,-228.47,0.0,0.0,0.0,0.0,0.0,-44.1801,-77.6476,0.0008550000000000001,-7.226,6.091,-38.592,-4.994,-72.565,0.111,1.49,0.0,-122.57,33.24,-228.07,44.8,248.245,11.76087985,-2.33,2.3209999999999997,-0.1824,-1.4340000000000002,-85.26,-1506.0,3.3289999999999997,-9.408,-1604.0,-1.9,1.567,-1.024,1.112,13.74,-196.0,0.17,-1.374,-183.8,-2834.259175,-2869.916961,549.67,-720.36,1270.02,-0.0648,0.0,0.0,0.0,-2.642864,-1.647411,-1.44564,-5.7470870000000005,-5.47597323954,-2.21392,0.009182,33
swarm_0_77.pdb,0,1,5,0,9,7,5,0,13,0,0,1,0,0,0,0.0,0.0,0.63,0.5185714285714286,0.52,0.40222222222222226,0.418,0.0,0.6661538461538462,0.0,0.0,0.0,0.0,0.0,0.7,0.63,3.63,2.6,3.62,2.09,0.0,8.66,0.0,0.0,0.0,0.0,0.0,0.7,37.7,30.89,1216.9599999999991,662.3400000000001,554.6199999999999,0.0,0.0,2.23606797749979,0.0,0.0,3.605551275463989,1.0,2.23606797749979,3.0,2.6457513110645907,0.0,0.0,1.0,0.0,0.0,-1.743,-1.392,-2.98,-5.2,-23.0,-111.6,1.02,-96.14,80.68,-2.24,-0.07852999999999999,-3.3,14.8,4.0,-18.4,99.458,-3.4,0.2,6.2,-1.98,-1.1,-1.86,-160.8,-0.830338586,3.5,-10.773941,-9.19,-17.148,-37.37,-36.47,-2847.99,-14.3,-15.7,-25.64,-18.47,-725.88,-248.03,0.0,0.0,0.0,0.0,0.0,-34.7385,584.911,0.00044,-15.331,14.258,-48.42100000000001,-5.915,-13.158,0.113,0.363,0.0,-146.37,-0.62,-297.5,-91.32,1342.3129999999999,25.5220324527,-2.5,2.708,2.512,-0.9875,-59.4,-1698.0,18.43,-14.47,-1790.0,-1.925,1.5390000000000001,-1.199,1.666,8.498,-289.4,-0.0164,-2.314,-283.2,-3071.1798280000003,-3116.4027530000003,934.34,-880.25,1814.6,-0.0319,0.0,0.0,0.0,-7.3309619999999995,-9.006721,-8.753045,-13.945369,-5.593370659680001,-2.64831,0.002341,41
swarm_0_88.pdb,0,1,2,0,4,3,2,0,5,1,0,2,1,0,0,0.0,0.0,0.54,0.5733333333333334,0.37,0.5325000000000001,0.47,0.0,0.714,0.0,0.0,0.7,0.0,0.49,0.94,0.54,1.7200000000000002,0.74,2.1300000000000003,0.94,0.0,3.57,0.0,0.0,0.7,0.0,0.49,1.88,36.92,31.28,731.8100000000013,319.14999999999964,412.65000000000055,0.0,0.0,1.4142135623730951,0.0,0.0,2.23606797749979,1.0,1.4142135623730951,2.0,1.7320508075688772,0.0,1.0,1.4142135623730951,1.0,0.0,-0.5736,-0.46399999999999997,-1.1,-2.0,-12.4,-57.4,-2.26,-62.02,41.12,-0.52,-0.006215999999999999,-0.88,-3.6,-5.6,-12.6,20.554000000000002,-2.8,-1.4,-1.0,-3.8,-5.06,1.88,-85.8,-0.3889534582,-10.0,-7.659166,-6.66,-10.989,-14.71,-17.58,-2274.39,-10.42,-8.18,-13.92,-3.99,-451.23,-273.61,0.0,0.0,0.0,0.0,0.0,-45.2092,4.7329300000000005,0.0011220000000000002,-7.992000000000001,5.8839999999999995,-25.984,-4.707,-22.08,2.229,2.6489999999999996,0.0,-72.25,-26.15,-185.6,5.81,41.482,4.39762821607,-2.7889999999999997,2.852,0.6832,-1.4980000000000002,-25.36,-1113.0,5.685,-18.95,-1163.0,-1.368,0.841,-2.117,0.9813,18.74,-170.2,-2.128,-1.368,-150.7,-2539.227727,-2566.921855,1023.97,-555.36,1579.33,0.0158,0.0,0.0,0.0,-0.973808,-2.164124,-1.6498110000000001,-3.5443379999999998,-6.67126773804,-3.22969,0.01381,21
swarm_100_123.pdb,0,2,3,1,6,5,12,2,5,0,0,0,0,0,0,0.0,0.31,0.49,0.572,0.42,0.355,0.5025,0.45999999999999996,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.86,1.26,2.13,6.029999999999999,0.9199999999999999,2.6,0.0,0.0,0.0,0.0,0.0,0.0,35.94,31.77,1255.449999999999,729.5999999999995,525.8500000000004,0.0,1.0,3.4641016151377544,0.0,1.4142135623730951,2.23606797749979,1.4142135623730951,1.7320508075688772,2.449489742783178,2.23606797749979,0.0,0.0,0.0,0.0,0.0,1.4498,-1.266,1.94,-9.6,-15.0,-99.6,5.62,-71.36,85.28,-2.22,0.09954600000000001,-3.42,30.2,13.0,-11.6,106.15,6.4,11.2,17.0,4.7,7.2,3.8,-147.4,0.087437322,12.2,-7.547541000000001,-7.11,-14.91,-33.33,-30.39,-2283.46,6.05,-2.18,-23.79,0.75,-701.55,-331.98,0.0,0.0,0.0,0.0,0.0,-14.36,40.6702,0.000487,-12.187000000000001,15.731,-39.815,-0.43700000000000006,-20.49,-2.785,-2.396,0.0,-107.68,162.8,-81.64,-98.85,550.41,23.9244273389,-3.228,3.208,0.6849,-0.8958,108.3,-1955.0,8.123,-19.38,-1875.0,-3.0439999999999996,2.392,-1.021,3.3,7.785,-296.2,0.9205,3.8360000000000003,-285.5,-2848.533076,-2881.288169,2173.09,-725.68,2898.78,-0.1312,0.0,0.0,0.0,3.37014,0.21860900000000003,-6.083248,-10.711458,-7.567854967760001,-1.6904400000000002,0.008389,36
swarm_100_155.pdb,0,0,0,0,1,2,7,1,15,0,0,0,0,0,0,0.0,0.0,0.0,0.6950000000000001,0.0,0.58,0.45285714285714285,0.56,0.4913333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3900000000000001,0.0,0.58,3.17,0.56,7.369999999999999,0.0,0.0,0.0,0.0,0.0,0.0,37.31,30.05,1121.3899999999994,677.7299999999996,443.6700000000001,0.0,0.0,2.6457513110645907,0.0,1.0,3.872983346207417,0.0,0.0,1.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,-1.3444,-4.812,-2.16,-14.4,-15.4,-79.8,5.3,-46.04,60.66,-5.14,-0.042216000000000004,-9.34,32.4,10.4,-15.0,119.102,1.11022302463e-16,6.0,13.6,5.56,10.18,4.54,-106.6,-1.5084735319999998,14.3,-7.894781,-3.68,-12.33,-19.54,-20.56,-1559.03,-2.32,2.05,-7.04,-2.89,-538.66,-185.01,0.0,0.0,0.0,0.0,0.0,-9.56322,1.76846,0.000728,-12.39,23.98,-40.247,7.565,58.361999999999995,-1.7619999999999998,-2.8710000000000004,0.0,-98.01,154.21,-54.95,-68.91,810.2310000000001,31.3951544464,-2.5380000000000003,2.7310000000000003,3.2689999999999997,-0.5805,122.7,-1567.0,19.71,-15.88,-1479.0,-2.491,2.149,0.7304,3.701,16.45,-241.9,4.658,4.504,-225.6,-2497.55784,-2524.8514170000003,2012.81,-599.43,2612.24,0.098,0.0,0.0,0.0,-11.083263,-9.801188,-9.301273,-8.273364,-4.27852909986,5.33599,0.004308,26
swarm_100_175.pdb,1,0,2,4,5,0,10,1,9,0,0,0,0,0,0,0.58,0.3375,0.0,0.0,0.495,0.288,0.44299999999999995,0.56,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,1.44,4.43,0.56,5.1,0.0,0.0,0.0,0.0,0.0,0.0,36.46,30.73,1136.4400000000005,696.2299999999996,440.21000000000004,1.0,2.0,3.1622776601683795,0.0,1.0,3.0,0.0,1.4142135623730951,2.23606797749979,0.0,0.0,0.0,0.0,0.0,0.0,0.922,-6.896,-1.84,-10.4,-13.4,-85.2,6.86,-53.34,72.24,-4.14,-0.06163,-7.16,36.8,17.0,-7.6,73.32,5.2,11.2,19.4,5.52,8.12,9.56,-123.6,-0.468563488,18.7,-7.1763770000000005,-5.48,-12.982000000000001,-30.35,-24.09,-2191.44,-0.32,0.38,29.01,23.25,-450.41,32.55,0.0,0.0,0.0,0.0,0.0,-37.2184,28.6482,0.000656,-8.585,28.798000000000002,-25.115,17.702,5.977,-3.9130000000000003,-4.026,0.0,-55.99,198.0,-147.94,-50.96,864.559,29.9961721679,-2.434,2.62,1.818,-1.804,69.54,-1910.0,15.14,-17.4,-1873.0,-1.906,1.5490000000000002,0.1663,2.36,3.095,-283.8,3.467,2.872,-281.3,-2588.346583,-2618.323611,2003.19,-634.61,2637.78,0.0271,0.0,0.0,0.0,0.76546,-2.6643220000000003,-1.8250810000000002,0.638931,-6.5621486754400005,-2.70493,0.004031,32
swarm_100_192.pdb,2,1,3,2,11,1,16,1,7,0,1,0,1,0,1,0.32,0.355,0.63,0.62,0.5466666666666667,0.3009090909090909,0.43437499999999996,0.48,0.48142857142857143,0.48,0.0,0.7,0.83,0.0,0.0,0.63,0.62,1.6400000000000001,3.31,6.949999999999999,0.48,3.37,0.48,0.0,0.7,0.83,0.0,0.0,37.04,30.16,1523.25,740.0900000000001,783.1599999999999,1.4142135623730951,1.4142135623730951,4.0,1.0,1.0,2.6457513110645907,1.0,1.7320508075688772,3.3166247903554,1.0,1.0,0.0,0.0,1.0,0.0,3.0844,2.036,3.64,-3.4,-11.4,-130.8,10.62,-112.54,131.04,-0.08,0.012704,0.12,45.8,30.6,-6.2,135.274,15.4,21.4,33.2,4.56,21.7,13.96,-223.4,0.37621861799999995,17.9,-3.9543150000000002,-7.8,-15.335,-44.09,-39.58,-2553.63,1.15,-9.4,43.58,25.1,-699.08,88.71,0.0,0.0,0.0,0.0,0.0,-15.6159,644.585,0.00039,-6.388,24.811999999999998,10.032,19.428,13.708,-5.859,-6.119,0.0,-69.58,251.9,30.15,-7.14,865.067,21.4902049752,-3.263,3.355,1.6869999999999998,-1.278,0.018869999999999998,-2646.0,18.8,-41.92,-2707.0,-2.106,2.0709999999999997,0.7892,2.0340000000000003,22.99,-421.0,8.693,-1.1,-407.8,-2908.0576969999997,-2947.578398,2500.63,-770.94,3271.57,0.1947,0.0,0.0,0.0,-3.0194229999999997,-8.223241999999999,-5.246696,-19.477698,-11.5735951901,6.2391,0.0067659999999999994,47
