Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_100.pdb,1,4,2,6,4,1,9,0,5,0,0,0,1,2,0,0.32,0.4483333333333334,0.4625,0.55,0.46,0.4,0.45999999999999996,0.0,0.548,0.0,0.515,0.52,0.0,0.0,0.0,1.85,0.55,0.92,1.6,4.14,0.0,2.74,0.0,1.03,0.52,0.0,0.0,0.0,28.87,36.31,1197.3999999999978,603.8500000000004,593.5499999999993,1.0,2.449489742783178,3.0,0.0,0.0,2.23606797749979,2.0,1.4142135623730951,2.0,1.0,0.0,0.0,0.0,1.0,1.4142135623730951,1.1014,-1.1440000000000001,0.32,-8.4,-14.2,-90.4,3.64,-83.9,89.7,-3.26,0.018534000000000002,-8.44,26.0,10.6,-11.8,53.828,9.2,15.8,19.2,1.28,8.32,5.84,-169.0,-1.38706169,6.6,-6.726825,-8.91,-19.544,-38.87,-30.04,-2239.55,11.49,-3.37,25.02,19.17,-607.75,-212.56,0.0,0.0,0.0,0.0,0.0,-12.4826,-9.30555,0.000481,5.886,12.639000000000001,-35.830999999999996,14.942,-31.058000000000003,-1.145,-0.555,0.0,-65.43,137.32,-88.92,19.3,-8950.735999999999,20.4308506185,-2.759,2.7880000000000003,0.2416,-1.541,-124.1,-2259.0,4.107,8.225,-2379.0,-1.916,1.558,-0.353,2.025,-2.464,-274.3,1.4180000000000001,2.3819999999999997,-275.8,-4162.976595,-4197.378909,2525.29,-985.11,3510.41,-0.0274,0.0,0.0,0.0,-1.5996059999999999,-1.525444,-4.098445,-10.836088,-7.70406840023,6.91448,0.008914,35
swarm_0_13.pdb,3,5,2,2,5,4,13,6,12,0,0,2,2,0,0,0.38999999999999996,0.535,0.516,0.365,0.5549999999999999,0.358,0.46307692307692305,0.47333333333333333,0.5691666666666667,0.0,0.0,0.6000000000000001,0.0,0.0,0.8200000000000001,2.58,1.46,1.1099999999999999,1.79,6.02,2.84,6.83,0.0,0.0,1.2000000000000002,0.0,0.0,1.6400000000000001,29.04,36.53,1682.0600000000013,916.6499999999996,765.3999999999996,1.7320508075688772,1.4142135623730951,3.605551275463989,0.0,2.449489742783178,3.4641016151377544,2.23606797749979,1.4142135623730951,2.23606797749979,2.0,0.0,0.0,1.4142135623730951,1.4142135623730951,0.0,-0.0576,-3.498,1.26,-9.8,-21.0,-159.2,5.12,-140.56,136.84,-2.02,0.048116,-3.38,30.8,12.2,-21.8,108.44200000000001,3.2,12.2,23.0,1.78,12.1,5.06,-240.4,-0.34769142119999996,9.4,-9.918137,-11.32,-24.776,-31.75,-23.28,-3124.27,-21.81,-7.42,-10.61,22.35,-976.04,-248.65,0.0,0.0,0.0,0.0,0.0,-22.1143,30.8999,0.000413,-19.949,16.051,-35.931999999999995,-7.4910000000000005,-31.741,-4.578,-3.9739999999999998,0.0,-81.84,229.12,-401.45,12.46,-11334.575,31.302787338,-2.858,2.8360000000000003,0.5658,-1.055,-138.3,-2587.0,5.862,5.525,-2726.0,-2.241,1.788,-1.278,1.521,-14.44,-394.6,0.2517,-0.01,-409.3,-4727.9501549999995,-4784.09736,3888.27,-1255.32,5143.59,0.04,0.0,0.0,0.0,-3.5932739999999996,-8.374658,-4.703728,-12.833671,-8.86175417422,9.32184,0.006589,56
swarm_0_83.pdb,2,0,5,1,13,2,12,5,19,0,2,0,0,4,0,0.42500000000000004,0.52,0.0,0.485,0.4,0.4092307692307692,0.49750000000000005,0.47400000000000003,0.5221052631578948,0.0,0.425,0.0,0.88,0.0,0.0,0.0,0.97,2.0,5.319999999999999,5.970000000000001,2.37,9.920000000000002,0.0,1.7,0.0,1.76,0.0,0.0,28.83,37.12,1949.2599999999984,994.4400000000005,954.8200000000015,1.4142135623730951,1.0,3.4641016151377544,0.0,2.23606797749979,4.358898943540674,0.0,2.23606797749979,3.605551275463989,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,2.0,0.1726,-4.266,0.34,-15.0,-30.6,-191.6,3.64,-176.3,165.7,-4.34,-0.006346,-7.16,36.0,10.2,-28.6,155.328,5.0,14.4,22.2,-3.14,15.22,11.1,-296.4,-1.4690506380000001,10.2,-9.080219,-15.8,-26.698,-47.58,-36.46,-3951.64,-14.79,-11.57,7.86,-3.41,-1015.25,-278.22,0.0,0.0,0.0,0.0,0.0,-66.8619,68.0603,0.00032900000000000003,-32.313,23.484,-33.216,-12.15,8.547,-4.271,-4.434,0.0,-135.5,113.35,-332.5,-141.43,-9787.382,40.2169126226,-2.9739999999999998,2.87,-0.319,-0.7286,-170.7,-2982.0,-1.344,8.368,-3143.0,-2.435,2.273,1.327,2.616,-9.39,-485.3,9.513,4.803,-499.4,-4953.387906,-5000.718021,3214.21,-1345.37,4559.59,-0.0635,0.0,0.0,0.0,-6.544026000000001,-6.445380999999999,-11.192262,-23.072599,-11.6588079901,8.832980000000001,0.0035229999999999997,65
swarm_100_100.pdb,2,3,1,4,4,3,10,2,6,1,1,4,1,0,0,0.55,0.335,0.6166666666666667,0.5466666666666667,0.39,0.4475,0.458,0.495,0.505,0.0,0.0,0.68,0.88,0.98,0.8600000000000001,1.85,1.6400000000000001,0.39,1.79,4.58,0.99,3.03,0.0,0.0,0.68,0.88,0.98,3.4400000000000004,29.45,36.5,1395.869999999999,640.0100000000002,755.8400000000001,1.4142135623730951,2.0,3.1622776601683795,0.0,1.4142135623730951,2.449489742783178,1.7320508075688772,1.0,2.0,1.7320508075688772,1.0,1.0,2.0,1.0,0.0,-0.7168,-2.112,-1.04,-7.2,-18.4,-120.6,2.72,-115.76,101.88,-0.98,0.071886,-2.54,20.0,7.2,-13.8,96.898,1.2,7.4,12.6,2.58,4.32,8.64,-185.0,0.1996485128,1.5,-7.525448,-11.04,-22.8,-37.4,-29.36,-3684.99,7.11,-9.09,-32.72,-17.14,-942.3,-195.45,0.0,0.0,0.0,0.0,0.0,-34.2863,27.4865,0.000383,-20.351,4.716,-20.256,-17.660999999999998,-41.437,-0.08,0.7070000000000001,0.0,-106.21,78.92,-406.17,-88.66,-2851.87,12.4601147174,-2.3890000000000002,2.345,0.1726,-0.3205,-116.6,-2380.0,3.359,-10.5,-2511.0,-1.79,1.097,-2.003,1.5490000000000002,-16.11,-377.2,-2.489,-2.2769999999999997,-393.1,-4500.334304,-4549.61042,2378.55,-1202.15,3580.7,-0.0503,0.0,0.0,0.0,3.808674,1.3282370000000001,-4.83281,-15.618406,-13.806790103900001,7.753080000000001,0.005571,42
swarm_100_109.pdb,1,1,3,2,9,7,6,4,8,1,0,2,1,1,0,0.44,0.56,0.49,0.5171428571428571,0.49333333333333335,0.3055555555555556,0.4116666666666666,0.48,0.5287499999999999,0.0,0.48,0.83,0.0,0.9,0.655,0.49,3.62,1.48,2.75,2.4699999999999998,1.92,4.2299999999999995,0.0,0.48,0.83,0.0,0.9,1.31,29.48,35.87,1634.2199999999975,835.4499999999989,798.7800000000007,1.0,1.4142135623730951,2.449489742783178,0.0,2.0,2.8284271247461903,1.0,1.7320508075688772,3.0,2.6457513110645907,0.0,1.0,1.4142135623730951,1.0,1.0,0.3116,-1.67,-0.56,-10.0,-13.2,-115.8,6.0,-96.8,101.8,-2.84,-0.053854,-5.68,34.0,16.4,-11.0,102.3,6.2,11.8,21.8,2.76,17.72,5.78,-179.8,-0.6650973920000001,11.0,-9.904679,-6.76,-26.092,-43.77,-37.03,-3165.19,0.42,3.1,-31.46,2.09,-1033.15,-503.82,0.0,0.0,0.0,0.0,0.0,-47.7072,-108.156,0.00040599999999999995,-27.61,28.52,-64.023,-5.492000000000001,-30.896,-4.348,-3.761,0.0,-163.31,143.61,-136.75,-40.34,3396.153,30.231005320300003,-2.7289999999999996,2.764,1.219,-0.2835,-33.9,-2801.0,8.509,1.209,-2842.0,-1.7,1.155,-0.9818,2.701,13.77,-412.0,0.7961,0.7241,-398.3,-4783.001778,-4835.2171020000005,3821.94,-1295.84,5117.77,-0.0367,0.0,0.0,0.0,-13.073388000000001,-13.935326000000002,-4.918632,-10.033232,-13.3521752412,7.91193,0.008109,46
swarm_100_111.pdb,1,3,0,4,7,4,9,2,9,1,0,2,1,0,0,0.44,0.22499999999999998,0.5433333333333333,0.4525,0.0,0.2771428571428571,0.4655555555555556,0.5,0.4255555555555556,0.0,0.0,0.99,0.0,0.9,0.8200000000000001,1.63,1.81,0.0,1.9399999999999997,4.19,1.0,3.83,0.0,0.0,0.99,0.0,0.9,1.6400000000000001,28.83,36.81,1358.9199999999983,708.5999999999985,650.3100000000013,1.0,2.0,3.0,0.0,1.4142135623730951,3.0,1.7320508075688772,0.0,2.6457513110645907,2.0,0.0,1.0,1.4142135623730951,1.0,0.0,0.1528,-6.15,1.32,-6.6,-15.0,-114.2,3.14,-98.18,91.3,-1.0,0.061922000000000005,-2.16,23.0,10.4,-11.8,105.55799999999999,3.4,8.8,16.0,1.96,5.24,2.8,-157.4,0.1911547088,8.8,-10.642223,-11.71,-22.535999999999998,-47.71,-39.54,-2810.4,-8.14,-1.95,-37.96,-9.51,-898.76,-493.38,0.0,0.0,0.0,0.0,0.0,-37.2891,-37.0837,0.0004940000000000001,-2.511,10.747,-43.715,3.864,-25.175,-4.898,-4.42,0.0,-122.07,105.34,-437.65,-22.83,-975.502,33.488824375,-2.388,2.4,0.8691,-0.6871,-25.3,-2145.0,6.726,0.6297,-2176.0,-1.682,1.226,-0.005978,2.628,-6.101,-348.8,3.925,2.926,-355.9,-4488.535525,-4545.5078969999995,2698.61,-1138.89,3837.51,-0.10099999999999999,0.0,0.0,0.0,-3.269568,-2.562105,-5.925364,-12.040583999999999,-8.4591040975,7.414510000000001,0.0039770000000000005,43
swarm_100_199.pdb,0,0,1,2,3,1,8,0,7,0,1,1,0,1,0,0.0,0.41000000000000003,0.0,0.77,0.53,0.43333333333333335,0.45249999999999996,0.0,0.5828571428571429,0.0,0.27,0.0,0.83,0.0,0.74,0.0,0.77,0.53,1.3,3.6199999999999997,0.0,4.08,0.0,0.27,0.0,0.83,0.0,0.74,28.87,36.61,1095.4699999999975,523.3799999999992,572.0900000000001,0.0,1.4142135623730951,2.8284271247461903,0.0,0.0,2.6457513110645907,0.0,1.0,1.7320508075688772,1.0,1.0,0.0,1.0,0.0,1.0,-1.0068,-4.258,-3.5,-7.2,-16.0,-75.6,0.06,-65.38,55.76,-3.12,0.006022,-5.06,13.8,3.6,-12.2,49.032,-2.2,1.0,4.6,-0.46,0.66,0.6,-112.6,-0.7974005740000001,3.9,-7.809591999999999,-8.66,-20.094,-30.57,-25.75,-2526.56,-2.69,-8.77,-19.09,-0.91,-670.72,-379.53,0.0,0.0,0.0,0.0,0.0,-49.4928,-78.6427,0.000656,-6.6129999999999995,10.702,-40.791,0.01,10.354000000000001,-0.627,-0.8240000000000001,0.0,-89.91,44.71,-161.26,-12.02,1336.9579999999999,19.9583403971,-2.682,2.7030000000000003,1.105,-0.8099,27.05,-1886.0,5.008,15.76,-1848.0,-1.715,1.3880000000000001,-0.6298,1.379,17.29,-213.0,-0.0767,2.234,-193.4,-4191.878079,-4229.770632,1757.01,-1018.94,2775.94,-0.1051,0.0,0.0,0.0,-2.854168,-3.9344650000000003,-10.047522,-13.153882999999999,-6.448913952740001,6.95218,0.00628,25
swarm_100_41.pdb,1,0,1,2,11,3,14,1,12,0,0,2,1,1,0,0.53,0.41000000000000003,0.0,0.59,0.42,0.39181818181818184,0.4714285714285714,0.44,0.4958333333333333,0.0,0.27,0.83,0.0,0.0,0.655,0.0,1.77,0.42,4.3100000000000005,6.6,0.44,5.949999999999999,0.0,0.27,0.83,0.0,0.0,1.31,29.05,36.09,1617.9300000000003,698.7700000000004,919.1599999999999,1.0,1.4142135623730951,3.7416573867739413,0.0,1.0,3.4641016151377544,0.0,1.0,3.3166247903554,1.7320508075688772,0.0,0.0,1.4142135623730951,1.0,1.0,1.318,-4.8839999999999995,0.54,-8.8,-17.8,-137.0,4.62,-116.58,116.6,-2.1,0.060684,-4.98,22.8,9.6,-16.2,70.77,3.8,11.8,20.4,-0.62,12.36,6.06,-210.6,-0.32562627920000004,11.6,-8.171955,-7.34,-25.468000000000004,-43.88,-33.01,-3168.51,19.15,-4.45,-29.89,-1.09,-1042.64,-541.63,0.0,0.0,0.0,0.0,0.0,-44.3149,-22.0623,0.000348,-12.734000000000002,13.834000000000001,-51.263000000000005,-4.026,-36.167,-6.507999999999999,-5.821000000000001,0.0,-174.88,108.72,-73.92,-76.49,4838.897,39.9747073948,-3.182,3.282,1.525,-0.6194,-146.5,-2846.0,11.99,4.756,-2999.0,-1.7080000000000002,1.585,0.4942,1.838,20.52,-423.0,4.876,-3.845,-411.2,-4704.441465999999,-4750.112969,3989.49,-1270.72,5260.2,0.0341,0.0,0.0,0.0,-4.151275,-4.706212,-8.912989999999999,-15.392005,-13.5931245562,9.57145,0.006184,49
swarm_101_110.pdb,2,4,0,6,4,7,4,1,7,0,0,2,1,2,3,0.435,0.4000000000000001,0.4675,0.4114285714285714,0.0,0.3225,0.45999999999999996,0.44,0.39142857142857146,0.37333333333333335,0.59,0.53,0.0,0.0,0.8200000000000001,1.87,2.88,0.0,1.29,1.8399999999999999,0.44,2.74,1.12,1.18,0.53,0.0,0.0,1.6400000000000001,29.04,36.53,1261.380000000001,596.4999999999982,664.8799999999992,1.4142135623730951,2.449489742783178,2.0,1.7320508075688772,1.0,2.6457513110645907,2.0,0.0,2.0,2.6457513110645907,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.3306,2.068,-0.52,-9.4,-17.6,-119.8,0.52,-120.86,108.12,-2.42,0.066482,-3.98,15.0,4.6,-13.2,64.354,4.8,13.8,16.0,0.84,3.62,0.94,-197.6,1.1359851232,0.3,-8.609117,-12.77,-20.102,-36.16,-22.31,-1865.39,1.33,-0.85,7.28,9.17,-568.31,-144.05,0.0,0.0,0.0,0.0,0.0,-43.523,-46.5201,0.000519,-10.724,2.8139999999999996,-33.503,-11.26,-43.363,-4.081,-3.2569999999999997,0.0,-82.17,96.16,-427.44,52.04,-5518.791,16.2218782231,-3.0860000000000003,3.0639999999999996,0.7394,-0.6552,-287.0,-1892.0,6.3389999999999995,33.57,-2152.0,-2.7460000000000004,2.474,-0.6159,0.5235,-27.84,-267.9,1.246,2.185,-294.8,-4228.341368,-4279.107507,2180.96,-1061.78,3242.75,-0.0194,0.0,0.0,0.0,-4.929729,-5.308626,-4.129149,-9.852166,-5.27882356361,10.6051,0.0032329999999999998,43
swarm_10_124.pdb,0,4,0,3,4,3,13,3,6,0,0,0,0,1,0,0.0,0.4666666666666666,0.5825,0.5966666666666667,0.0,0.43000000000000005,0.4823076923076923,0.45999999999999996,0.5166666666666666,0.0,0.43,0.0,0.0,0.0,0.0,2.33,1.79,0.0,1.7200000000000002,6.2700000000000005,1.38,3.0999999999999996,0.0,0.43,0.0,0.0,0.0,0.0,29.61,36.56,1447.170000000002,798.7600000000002,648.4000000000015,0.0,1.7320508075688772,3.605551275463989,0.0,1.7320508075688772,2.449489742783178,2.0,0.0,2.0,1.7320508075688772,0.0,0.0,0.0,0.0,1.0,-0.1112,0.134,2.66,-7.6,-13.4,-71.2,4.36,-56.06,69.46,-1.02,0.050858,-0.52,12.0,1.0,-14.4,52.76,0.4,6.0,9.6,0.58,12.34,7.04,-119.8,0.0099446886,0.3,-7.8917399999999995,-11.82,-20.828000000000003,-35.47,-23.07,-2264.65,17.55,1.55,-27.74,-9.09,-835.93,-468.77,0.0,0.0,0.0,0.0,0.0,-36.7694,4.27323,0.000368,-2.693,13.894,-44.668,6.734,-13.76,-1.8119999999999998,-1.55,0.0,-167.96,90.73,-125.95,-201.15,-3810.762,27.805543051999997,-3.15,3.036,-0.8765,-0.2474,-442.6,-2130.0,0.114,-10.75,-2584.0,-1.433,0.6172,-1.337,2.6910000000000003,-51.47,-331.9,-0.1199,-2.947,-386.2,-4142.6197649999995,-4187.728422,2747.97,-1058.78,3806.74,-0.0482,0.0,0.0,0.0,-0.09128700000000001,-2.2651369999999997,-7.983134,-10.341366,-8.961251040239999,7.30335,0.002027,37
