Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_100_12.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.21,37.41,2519.970000000001,1063.510000000002,1456.4600000000064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1052,0.4,4.68,-4.0,-8.2,-148.0,8.3,-155.64,162.96,0.1,0.010536,-0.54,57.6,35.4,-3.6,162.23,23.4,35.8,42.6,2.82,19.1,16.14,-274.4,0.413415762,13.4,-11.225216,-20.77,-41.46,-60.69,-63.39,-5832.29,6.59,20.53,19.05,17.78,-1655.28,-491.58,0.0,0.0,0.0,0.0,0.0,-42.6243,83.4964,0.000184,5.587999999999999,4.893,-54.97,4.984,-107.302,-7.71,-5.671,0.0,-83.07,138.83,-678.52,156.82,3862.047,28.57909704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9134.407892000001,0.0,0.0,0.0,0.0,-0.0781,0.0,0.0,0.0,-2.092571,-7.027821,-10.935293,-16.7253,-15.8294822706,106.876,0.0,0
swarm_100_166.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.84,37.63,3217.0599999999977,1654.9599999999991,1562.0899999999965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8746,-1.054,11.98,-14.2,-24.4,-305.8,20.3,-277.26,323.04,-0.88,0.086142,-4.04,103.2,59.0,-13.8,222.114,43.6,65.8,82.4,5.14,43.8,32.08,-530.2,1.4525146491999998,49.0,-13.662187,-21.35,-49.74,-88.5,-77.77,-5812.59,3.62,-3.2,-21.64,26.19,-2229.36,-819.22,0.0,0.0,0.0,0.0,0.0,-63.6604,117.22200000000001,0.000157,12.917,44.603,-98.374,47.681999999999995,-119.88,-17.61,-15.332,0.0,-365.13,532.68,-623.98,120.99,5678.544,61.7605983411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10132.940115000001,0.0,0.0,0.0,0.0,0.2807,0.0,0.0,0.0,-5.55542,-20.006492,-11.326497,-26.435073,-18.333262529000002,111.693,0.0,0
swarm_1002_174.pdb,8,6,5,13,22,8,30,1,30,0,3,2,0,0,0,0.495,0.3815384615384616,0.505,0.50625,0.37200000000000005,0.34818181818181815,0.4566666666666667,0.44,0.5176666666666666,0.0,0.0,0.0,0.57,0.0,0.7050000000000001,3.03,4.05,1.8600000000000003,7.659999999999999,13.700000000000001,0.44,15.53,0.0,0.0,0.0,1.71,0.0,1.4100000000000001,37.05,37.65,3939.12000000001,2086.9199999999983,1852.199999999997,2.8284271247461903,3.605551275463989,5.477225575051661,0.0,1.0,5.477225575051661,2.449489742783178,2.23606797749979,4.69041575982343,2.8284271247461903,1.7320508075688772,0.0,1.4142135623730951,0.0,0.0,3.9914,-8.552,2.84,-25.6,-44.6,-309.8,17.02,-234.18,261.36,-6.52,0.163854,-14.32,79.4,33.6,-35.6,320.558,18.4,33.0,50.4,14.1,19.34,11.3,-459.8,-1.942198734,37.3,-13.047474000000001,-20.96,-50.51,-93.23,-78.22,-6135.97,9.48,8.59,31.4,43.7,-2456.83,-732.64,0.0,0.0,0.0,0.0,0.0,-25.958000000000002,199.04,0.000106,5.325,52.213,-73.757,50.163000000000004,68.949,-12.005,-13.315,0.0,-312.11,523.97,-623.35,-71.04,6765.026999999999,73.015077276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10026.764484000001,0.0,0.0,0.0,0.0,0.0866,0.0,0.0,0.0,0.19683499999999998,-6.718634,-22.675885,-36.520379999999996,-30.5558542919,112.235,0.001172,128
swarm_1004_129.pdb,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.34,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.34,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,36.76,37.88,3481.1900000000023,2009.3400000000038,1471.8500000000058,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,5.6712,-9.783999999999999,7.6,-21.0,-25.0,-247.6,18.92,-203.3,252.34,-4.68,0.031066000000000003,-9.04,99.6,55.6,-13.8,254.53799999999998,32.6,50.4,66.6,15.38,33.24,15.66,-419.4,-0.5975222020000001,36.3,-14.451198999999999,-14.23,-47.84,-91.54,-69.4,-6488.11,1.09,-3.21,-43.42,16.62,-2249.41,-1139.4,0.0,0.0,0.0,0.0,0.0,490.131,17620.7,0.000183,-18.854,75.819,-117.15799999999999,45.248000000000005,167.07299999999998,-9.083,-12.257,0.0,-288.19,427.45,-334.08,-53.28,6060.06,82.84200823729999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9618.12522,0.0,0.0,0.0,0.0,-0.2105,0.0,0.0,0.0,-8.906771,-18.747623,-17.71959,-26.564334000000002,-19.396801477100002,109.723,0.00275,4
swarm_1007_136.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.05,37.45,3292.0599999999977,1875.5999999999985,1416.449999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7066,-8.74,-2.0,-24.0,-40.8,-246.2,0.5,-294.6,277.4,-7.38,0.045778,-14.9,60.2,26.2,-34.2,195.83,26.2,45.4,52.6,-2.62,9.72,4.54,-518.2,-3.4233698748,10.5,-13.058797,-21.08,-53.73,-113.72,-94.39,-7213.01,-26.52,-27.08,72.42,71.88,-2262.65,-187.1,0.0,0.0,0.0,0.0,0.0,-41.1235,1080.49,0.000184,-34.908,48.254,-40.925,9.254,-81.771,-5.742000000000001,-4.188,0.0,-253.02,274.33,-526.79,-68.7,4139.293,6.517365091009999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10500.649598,0.0,0.0,0.0,0.0,-0.2376,0.0,0.0,0.0,-9.279554,-16.771367,-30.330765999999997,-46.941746,-17.091348871199997,110.23700000000001,0.0,0
swarm_1009_167.pdb,3,5,4,7,12,9,26,5,32,0,1,2,1,1,2,0.4466666666666666,0.42142857142857143,0.514,0.5933333333333333,0.40499999999999997,0.36083333333333334,0.4361538461538463,0.542,0.5340624999999999,0.34,0.87,0.52,0.65,0.0,0.6950000000000001,2.57,5.339999999999999,1.6199999999999999,4.33,11.340000000000003,2.71,17.089999999999996,0.68,0.87,0.52,0.65,0.0,1.3900000000000001,36.76,38.14,3354.540000000008,1785.0400000000009,1569.510000000002,1.7320508075688772,2.6457513110645907,5.0990195135927845,1.4142135623730951,2.23606797749979,5.656854249492381,2.23606797749979,2.0,3.4641016151377544,3.0,1.0,0.0,1.4142135623730951,1.0,1.0,-0.1966,-10.716,-4.74,-26.8,-46.4,-288.8,7.34,-213.58,224.44,-9.46,0.013142,-13.84,60.0,20.8,-38.6,224.446,7.4,18.8,33.4,0.72,7.08,11.6,-391.8,-1.0519740770000001,31.6,-12.721339,-24.2,-49.67,-99.78,-91.31,-8468.43,-33.11,3.32,-45.34,-0.35,-2258.38,-676.5,0.0,0.0,0.0,0.0,0.0,-15.3309,98.9434,0.00015900000000000002,-5.9270000000000005,45.821000000000005,-64.509,33.443000000000005,43.496,-4.695,-5.522,0.0,-238.3,364.03,-840.51,-83.92,11167.563,75.6393034228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9866.296462999999,0.0,0.0,0.0,0.0,-0.3455,0.0,0.0,0.0,-17.916346,-22.567426,-30.975118,-36.736287,-22.8088078271,110.794,0.002309,110
swarm_100_91.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.98,37.71,3626.5800000000017,1750.3199999999997,1876.2699999999968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4659999999999997,-17.268,-2.7,-24.4,-45.4,-277.2,6.86,-281.9,285.66,-8.78,0.012442,-17.78,69.8,31.0,-32.8,221.67,23.4,44.0,57.0,1.84,8.92,14.36,-521.6,-1.6627065728000001,21.5,-15.947432999999998,-28.32,-56.99,-96.42,-81.33,-7240.31,-23.36,-11.48,-56.51,4.26,-2587.66,-794.78,0.0,0.0,0.0,0.0,0.0,-104.84299999999999,491.509,0.000154,-44.635,28.449,-73.123,-23.498,-157.376,-8.503,-5.513,0.0,-377.73,290.34,-520.37,-85.02,5823.063,15.663962809500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10803.173387,0.0,0.0,0.0,0.0,-0.3563,0.0,0.0,0.0,-8.101030999999999,-19.384813,-21.661239000000002,-37.77478,-28.1693284262,109.365,0.0,0
swarm_1011_194.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.72,37.9,3211.4600000000064,1756.4400000000023,1455.0299999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2722,-19.146,-4.58,-21.6,-44.6,-251.6,8.66,-188.6,193.46,-7.82,-0.086076,-13.64,64.8,27.8,-31.6,222.96200000000002,5.4,16.6,30.8,0.48,3.76,1.32,-351.6,-2.721783648,26.7,-12.443601,-18.45,-47.55,-85.6,-72.52,-5953.74,-16.52,-18.65,-66.6,-15.31,-2223.6,-1015.59,0.0,0.0,0.0,0.0,0.0,-46.5471,115.485,0.000144,-31.291999999999998,51.858000000000004,-109.986,9.567,-11.888,-5.631,-5.405,0.0,-250.46,327.31,-408.18,-217.59,5486.5,41.4665193724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9586.003403,0.0,0.0,0.0,0.0,-0.1887,0.0,0.0,0.0,-4.96079,-6.950308000000001,-22.003878,-26.358588,-13.00505843,111.262,0.0,0
swarm_1014_55.pdb,5,3,11,12,17,6,15,2,22,1,6,2,1,10,4,0.476,0.37916666666666665,0.5,0.39166666666666666,0.3918181818181818,0.34470588235294125,0.4233333333333334,0.485,0.5213636363636364,0.485,0.49499999999999994,0.99,0.7566666666666665,0.9,0.7549999999999999,1.5,2.35,4.31,5.860000000000001,6.3500000000000005,0.97,11.47,1.94,4.949999999999999,0.99,4.539999999999999,0.9,1.5099999999999998,37.18,37.38,3425.6699999999983,1721.479999999996,1704.189999999995,2.23606797749979,3.4641016151377544,3.872983346207417,2.0,1.4142135623730951,4.69041575982343,1.7320508075688772,3.3166247903554,4.123105625617661,2.449489742783178,2.449489742783178,1.0,1.4142135623730951,1.0,3.1622776601683795,3.6624,-7.044,0.16,-11.8,-30.2,-242.0,8.54,-242.66,245.38,-4.58,-0.066906,-6.86,77.2,42.4,-20.2,187.424,22.6,39.6,52.6,7.54,21.82,17.56,-442.0,-0.5125471914,13.2,-9.364573,-15.31,-49.21,-92.13,-80.14,-7225.86,-5.08,8.34,72.9,50.17,-1940.61,480.35,0.0,0.0,0.0,0.0,0.0,-23.8486,-42.0275,0.000139,-6.154,40.22,12.423,35.308,-109.9,-14.154000000000002,-12.065999999999999,0.0,-118.93,332.31,-830.61,166.34,7803.641,66.8088016415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9984.066943,0.0,0.0,0.0,0.0,0.2413,0.0,0.0,0.0,-6.4431709999999995,-12.402477000000001,-9.865723,-27.243555999999998,-20.391805635999997,110.631,0.001974,117
swarm_1016_20.pdb,0,0,1,6,0,0,2,0,0,0,1,0,1,3,1,0.0,0.39166666666666666,0.0,0.0,0.42,0.0,0.475,0.0,0.0,0.48,0.36000000000000004,0.83,0.51,0.0,0.0,0.0,0.0,0.42,0.0,0.95,0.0,0.0,0.48,1.08,0.83,0.51,0.0,0.0,36.95,37.8,3004.7100000000064,1575.5900000000038,1429.1299999999974,0.0,2.449489742783178,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.7320508075688772,5.0858,-9.096,7.82,-12.8,-17.4,-215.4,16.34,-182.86,226.12,-2.36,-0.151594,-7.46,81.0,47.4,-8.2,109.436,32.4,46.8,59.6,6.4,34.52,36.0,-376.8,0.052663442000000005,34.3,-8.619641,-16.18,-45.33,-76.76,-55.98,-5722.07,2.05,-2.09,18.08,30.07,-1882.25,-441.62,0.0,0.0,0.0,0.0,0.0,504.923,18613.3,0.000194,3.964,39.221,-70.807,36.104,92.42399999999999,-12.07,-13.825999999999999,0.0,-227.37,417.49,-700.62,204.06,3027.441,59.1755516547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9462.336283,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.9395129999999999,-4.622792,3.224351,-9.935943,-16.3016973292,111.619,0.001267,15
