Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_131.pdb,1,2,8,6,15,7,23,4,7,0,3,1,0,3,2,0.73,0.37833333333333335,0.53,0.5614285714285715,0.40625,0.36733333333333335,0.4482608695652173,0.45999999999999996,0.4671428571428571,0.495,0.4333333333333333,0.0,0.62,0.0,0.5,1.06,3.93,3.25,5.51,10.309999999999999,1.8399999999999999,3.2699999999999996,0.99,1.2999999999999998,0.0,1.8599999999999999,0.0,0.5,24.25,34.34,2221.709999999999,1101.460000000001,1120.2599999999984,1.0,2.449489742783178,4.795831523312719,1.4142135623730951,2.0,2.6457513110645907,1.4142135623730951,2.8284271247461903,3.872983346207417,2.6457513110645907,1.7320508075688772,0.0,1.0,0.0,1.7320508075688772,3.611,11.464,7.3,1.0,-11.2,-183.4,11.28,-149.26,164.06,3.4,0.05611,5.06,47.6,30.6,-7.8,93.15799999999999,14.4,21.6,31.0,3.14,22.32,11.22,-274.4,0.9326328506,13.6,-6.277929,-18.91,-34.134,-66.07,-49.19,-4842.66,9.37,9.0,2.17,13.37,-1585.09,-143.76,0.0,0.0,0.0,0.0,0.0,-23.4639,1095.27,0.000256,-6.452999999999999,20.646,1.4169999999999998,14.334000000000001,-279.582,-9.842,-4.53,0.0,-108.6,220.58,-546.46,157.92,-2776.336,46.1688996116,-3.548,3.617,0.4738,-1.844,771.2,-5281.0,9.866,-26.77,-4546.0,-1.85,1.905,0.3738,0.5828,230.5,-831.8,9.519,-3.002,-613.8,-6638.795443999999,-6744.939116,3011.13,-1726.63,4737.76,0.2644,0.0,0.0,0.0,3.579474,-0.689463,-3.0250150000000002,-12.130735000000001,-18.6331806419,32.0156,0.0015609999999999999,82
swarm_0_163.pdb,3,2,10,8,8,2,18,7,17,0,2,0,0,4,0,0.4533333333333333,0.35624999999999996,0.53,0.585,0.41,0.40375,0.4394444444444445,0.49428571428571433,0.5029411764705882,0.0,0.41,0.0,0.565,0.0,0.0,1.06,1.17,4.1,3.23,7.910000000000001,3.4600000000000004,8.549999999999999,0.0,1.64,0.0,1.13,0.0,0.0,24.29,34.04,2461.5999999999985,1398.4799999999996,1063.1200000000026,1.7320508075688772,2.8284271247461903,4.242640687119285,0.0,2.6457513110645907,4.123105625617661,1.4142135623730951,3.1622776601683795,2.8284271247461903,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,2.0,3.073,-2.9160000000000004,2.5,-17.2,-24.4,-258.0,13.3,-178.74,215.6,-4.52,0.037866000000000004,-4.04,63.2,28.8,-25.4,142.026,18.6,32.2,45.0,5.68,35.66,14.2,-352.0,0.34393253799999995,25.4,-12.823464999999999,-16.54,-37.547,-66.18,-54.21,-3993.37,-12.14,-7.97,-41.97,5.11,-1572.18,-601.92,0.0,0.0,0.0,0.0,0.0,-23.7113,70.3287,0.000183,-12.539000000000001,51.332,-85.709,30.221999999999998,-74.34899999999999,-9.186,-7.774,0.0,-212.49,320.42,-198.57,-90.68,1245.799,71.3532795069,-3.889,3.78,-0.7689,0.060379999999999996,-137.7,-5265.0,-4.531000000000001,-17.45,-5416.0,-2.088,1.946,0.8987,3.237,32.73,-597.3,12.34,-1.5830000000000002,-578.5,-6799.339977,-6886.501543,3924.23,-1872.89,5797.12,-0.0216,0.0,0.0,0.0,0.4392,-3.518796,-9.132714,-15.294502,-19.4909471909,25.4686,0.0046170000000000004,81
swarm_0_31.pdb,19,3,9,8,4,4,13,7,8,0,3,1,0,2,1,0.4557894736842105,0.3425,0.53,0.545,0.45333333333333337,0.3725,0.4446153846153846,0.46,0.5150000000000001,0.51,0.375,0.0,0.5766666666666667,0.0,0.84,1.59,2.18,4.08,1.49,5.779999999999999,3.22,4.120000000000001,0.51,0.75,0.0,1.73,0.0,0.84,24.69,34.17,2493.709999999999,1199.8299999999963,1293.9000000000015,4.358898943540674,2.8284271247461903,3.605551275463989,1.0,2.6457513110645907,2.8284271247461903,1.7320508075688772,3.0,2.0,2.0,1.7320508075688772,0.0,1.0,0.0,1.4142135623730951,6.1102,-10.655999999999999,3.2,-13.2,-13.2,-241.2,11.0,-184.6,217.0,-4.72,0.062254,-7.36,53.8,31.2,-15.6,98.77600000000001,25.6,42.8,51.2,8.64,8.54,8.26,-350.4,1.0169959848,29.8,-12.263219,-18.75,-38.493,-91.6,-80.54,-5406.55,20.29,1.36,0.46,41.05,-1757.82,-577.73,0.0,0.0,0.0,0.0,0.0,-76.0126,45.1435,0.000234,-2.846,28.179000000000002,-56.946999999999996,19.637999999999998,-63.744,-8.736,-7.525,0.0,-195.65,268.37,-466.98,74.67,2239.363,98.1888753492,-4.2589999999999995,4.149,-0.6151,0.9748,-391.1,-5500.0,-0.5897,-27.85,-5918.0,-1.7180000000000002,1.8359999999999999,1.04,1.069,47.24,-772.9,15.01,-11.53,-752.2,-6921.422844,-7020.152047,4349.03,-1939.83,6288.85,0.244,0.0,0.0,0.0,0.625323,1.0069350000000001,-4.134754,-20.585856,-24.3658276761,28.8639,0.004037,82
swarm_0_72.pdb,12,4,12,6,6,1,18,13,9,1,2,1,0,5,1,0.4525000000000001,0.37000000000000005,0.5625,0.4,0.44083333333333324,0.3333333333333333,0.4655555555555556,0.49076923076923096,0.3566666666666667,0.44,0.396,0.0,0.615,0.78,0.72,2.25,0.4,5.289999999999999,2.0,8.38,6.380000000000003,3.21,0.44,1.98,0.0,1.23,0.78,0.72,24.78,33.87,2450.769999999997,1190.2499999999982,1260.510000000002,3.4641016151377544,2.449489742783178,4.242640687119285,1.0,3.605551275463989,3.0,2.0,3.4641016151377544,2.449489742783178,1.0,1.4142135623730951,1.0,1.0,0.0,2.23606797749979,8.8758,-1.14,9.74,-12.4,-3.2,-258.8,15.72,-189.72,235.44,-0.24,0.078056,1.66,65.2,44.8,-7.2,63.61,31.8,49.8,58.8,12.7,39.72,11.56,-359.2,2.3555733728,33.2,-8.526916,-15.8,-37.221,-84.17,-74.83,-4270.89,6.34,-4.46,14.39,24.36,-1714.41,-459.65,0.0,0.0,0.0,0.0,0.0,-31.9902,423.64099999999996,0.00023799999999999998,-5.882000000000001,29.623,-29.250999999999998,20.816,-205.122,-12.942,-9.045,0.0,-134.25,311.12,-628.15,139.55,-2760.4440000000004,93.812397172,-3.313,3.2710000000000004,-0.7868,-0.214,-197.0,-5744.0,-4.815,-24.82,-5961.0,-2.7910000000000004,2.5839999999999996,0.9726,2.484,10.75,-716.7,12.53,-4.628,-723.1,-6771.146755,-6874.230253,4194.91,-1856.48,6051.4,0.1217,0.0,0.0,0.0,5.720149,2.133639,-2.860825,-24.907970000000002,-21.695256690500003,27.1348,0.004220000000000001,91
swarm_101_14.pdb,11,9,11,7,5,3,9,13,11,0,1,2,3,2,1,0.4772727272727273,0.4842857142857143,0.52,0.7033333333333333,0.43090909090909085,0.42000000000000004,0.48666666666666664,0.46769230769230785,0.52,0.44,0.515,0.71,0.62,0.0,0.585,4.68,2.11,4.739999999999999,2.1,4.38,6.080000000000002,5.72,0.44,1.03,2.13,0.62,0.0,1.17,24.51,34.1,2259.5499999999956,1189.659999999998,1069.9000000000015,3.3166247903554,2.6457513110645907,3.0,1.0,3.605551275463989,3.3166247903554,3.0,3.3166247903554,2.23606797749979,1.7320508075688772,1.0,0.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,3.9688,-9.508,4.94,-11.0,-18.4,-217.6,3.18,-197.64,206.1,-3.58,-0.00605,-4.3,27.6,11.8,-24.6,18.278,17.2,30.0,35.8,-4.28,16.08,1.16,-354.0,-0.9525366308,-0.3,-9.10909,-14.61,-35.588,-79.84,-69.36,-4380.23,6.17,-2.35,-2.07,33.54,-1519.48,16.95,0.0,0.0,0.0,0.0,0.0,-17.9167,1016.09,0.00022400000000000002,-13.895999999999999,24.186999999999998,14.085,11.699000000000002,-263.633,-7.476,-2.467,0.0,-189.29,129.43,-594.24,-120.78,-359.56699999999995,13.186364818900001,-3.175,2.9,-2.9939999999999998,0.3292,-667.1,-4473.0,-25.52,-35.23,-5150.0,-2.074,1.449,-1.3840000000000001,1.982,-75.21,-752.3,3.295,-16.89,-847.7,-6773.173524,-6872.980762,3853.01,-1839.61,5692.62,-0.0275,0.0,0.0,0.0,-6.021208000000001,-9.980414999999999,-7.884798,-21.863449,-22.069526628800002,31.3971,0.003954999999999999,88
swarm_101_160.pdb,6,4,5,6,7,8,15,1,4,2,2,5,1,3,1,0.4983333333333333,0.3666666666666667,0.4675,0.5925,0.4600000000000001,0.4171428571428572,0.4953333333333333,0.44,0.3975,0.34,0.43333333333333335,0.65,0.72,0.635,0.7140000000000001,1.87,4.74,2.3000000000000003,2.9200000000000004,7.43,0.44,1.59,0.34,1.3,0.65,1.44,1.27,3.5700000000000003,24.6,33.98,2050.980000000003,929.7999999999993,1121.170000000002,2.449489742783178,2.449489742783178,3.872983346207417,1.0,1.0,2.0,2.0,2.23606797749979,2.6457513110645907,2.8284271247461903,1.4142135623730951,1.4142135623730951,2.23606797749979,1.0,1.7320508075688772,2.8444,-1.202,5.62,-10.0,-18.4,-171.0,4.88,-159.82,161.98,-1.04,0.024412,-1.5,32.0,16.2,-16.8,99.57600000000001,12.8,21.6,27.4,6.86,15.58,20.08,-283.2,0.1912684756,-9.3,-11.435176,-25.37,-40.309,-72.58,-74.42,-5740.65,-16.79,-4.91,-53.96,-24.16,-1673.27,-695.44,0.0,0.0,0.0,0.0,0.0,-61.7184,2.5750599999999997,0.000272,-8.242,-2.779,-53.50899999999999,-16.371,-545.279,-1.68,8.681000000000001,0.0,-214.45,83.55,-557.84,1.51,-658.451,17.1002814776,-2.26,2.3480000000000003,0.3943,-1.368,-147.9,-4270.0,6.564,-31.92,-4456.0,-0.7744,0.6015,0.01781,1.399,47.17,-625.6,8.169,-5.997999999999999,-592.6,-7381.495812,-7474.036692000001,1910.19,-2049.82,3960.01,0.0764,0.0,0.0,0.0,4.196816,-4.448539,-7.370635000000001,-16.607293,-18.9969370462,25.3518,0.010270999999999999,70
swarm_101_45.pdb,7,3,7,8,5,5,12,1,7,2,1,2,3,3,3,0.44,0.40125000000000005,0.44333333333333336,0.5660000000000001,0.4042857142857143,0.4,0.4575,0.49,0.5757142857142857,0.5933333333333334,0.43999999999999995,0.5866666666666666,0.67,0.635,0.7150000000000001,1.33,2.83,2.83,2.0,5.49,0.49,4.03,1.78,1.3199999999999998,1.7599999999999998,0.67,1.27,1.4300000000000002,24.65,33.87,1783.2900000000009,795.8299999999999,987.4599999999991,2.6457513110645907,2.8284271247461903,3.4641016151377544,1.7320508075688772,1.0,2.6457513110645907,1.7320508075688772,2.6457513110645907,2.23606797749979,2.23606797749979,1.0,1.4142135623730951,1.4142135623730951,1.7320508075688772,1.7320508075688772,4.143,-0.88,3.2,-5.8,-18.0,-150.2,2.38,-151.04,151.4,-1.36,-0.062232,-2.74,19.2,9.0,-16.6,48.406000000000006,16.0,28.0,29.8,4.74,8.0,11.4,-266.6,-0.008779600799999999,-1.1,-7.163947,-19.34,-34.078,-67.18,-61.82,-4842.12,-31.12,-24.34,-33.28,17.74,-1425.37,-372.53,0.0,0.0,0.0,0.0,0.0,-33.2997,1008.81,0.000296,-11.124,-3.214,19.336,-12.405,-393.51099999999997,-4.342,3.135,0.0,-120.99,65.17,-544.91,-5.01,327.607,9.06185986847,-1.995,2.062,0.5529999999999999,-0.6071,-148.2,-3911.0,5.7989999999999995,-35.63,-4101.0,-1.345,1.17,-0.9468,0.1551,40.92,-546.5,2.398,-8.519,-516.5,-6782.929655,-6855.400545,2339.42,-1814.95,4154.4,0.0608,0.0,0.0,0.0,-0.418976,-4.051721,-9.082903,-16.573472,-17.7360321289,27.2767,0.010638,69
swarm_101_78.pdb,3,5,4,4,4,5,15,4,5,0,0,1,2,2,0,0.37333333333333335,0.525,0.46799999999999997,0.7979999999999999,0.38749999999999996,0.39499999999999996,0.44333333333333336,0.4625,0.658,0.0,0.37,0.6000000000000001,0.0,0.0,0.53,2.34,3.9899999999999998,1.5499999999999998,1.5799999999999998,6.65,1.85,3.29,0.0,0.74,1.2000000000000002,0.0,0.0,0.53,24.34,33.86,1481.2900000000081,722.5599999999995,758.7299999999996,1.7320508075688772,2.0,3.872983346207417,0.0,2.0,2.23606797749979,2.23606797749979,2.0,2.0,2.23606797749979,0.0,0.0,1.0,1.4142135623730951,1.4142135623730951,0.2764,1.624,0.62,-6.4,-18.2,-135.6,2.94,-98.18,105.32,-0.9,-0.026438,-2.26,6.6,-1.4,-22.0,32.592,2.8,6.8,9.4,0.4,5.94,5.74,-180.8,-0.0574909852,-2.7,-8.980435,-14.92,-25.909000000000002,-57.1,-44.1,-4045.38,-8.98,-9.35,-16.24,-28.32,-1295.98,-872.27,0.0,0.0,0.0,0.0,0.0,-47.5478,-21.0673,0.00048300000000000003,-10.97,5.5089999999999995,-59.802,-11.440999999999999,-239.429,-0.9359999999999999,3.613,0.0,-150.58,86.58,-304.23,-133.39,-892.855,26.682363083600002,-1.8219999999999998,1.7280000000000002,-1.892,-1.682,155.8,-3102.0,-12.37,-31.44,-2966.0,-0.327,0.0187,-0.8432,1.444,83.58,-484.5,3.464,-3.12,-407.5,-5801.50346,-5860.445991,2363.82,-1336.07,3699.89,0.1646,0.0,0.0,0.0,-4.154195,-5.143914,-7.675436,-15.036075,-16.2752948961,21.2102,0.004981,54
swarm_101_7.pdb,4,6,12,10,13,10,31,3,4,0,3,3,4,7,2,0.4575,0.336,0.565,0.62,0.44583333333333336,0.3623076923076924,0.457741935483871,0.49,0.5725,0.42500000000000004,0.47714285714285704,0.38,0.6033333333333334,0.0,0.7733333333333333,3.3899999999999997,6.2,5.3500000000000005,4.710000000000001,14.190000000000001,1.47,2.29,0.8500000000000001,3.3399999999999994,1.52,1.81,0.0,2.32,24.22,33.76,2543.9200000000055,1179.8900000000012,1364.0299999999988,2.0,3.1622776601683795,5.5677643628300215,1.4142135623730951,1.7320508075688772,2.0,2.449489742783178,3.4641016151377544,3.605551275463989,3.1622776601683795,1.7320508075688772,0.0,1.7320508075688772,2.0,2.6457513110645907,4.416,-3.1180000000000003,3.58,-10.0,-33.0,-271.2,1.96,-281.48,269.04,-1.38,0.056902,-2.0,38.2,21.2,-28.6,109.36200000000001,20.8,38.8,46.0,-7.64,12.24,26.28,-482.0,0.3876890562,-6.6,-12.299047,-23.77,-43.846000000000004,-88.54,-79.59,-8156.72,-5.05,-13.49,66.48,51.89,-2102.5,-210.4,0.0,0.0,0.0,0.0,0.0,-80.3024,536.184,0.000195,-20.236,11.852,-11.642999999999999,-9.548,-163.945,-8.663,-5.547999999999999,0.0,-308.92,138.68,-683.49,-36.92,419.548,12.2581510268,-1.695,1.673,0.3719,1.5959999999999999,-499.0,-5620.0,9.516,-55.79,-6184.0,-0.7654,0.3591,-0.6957,1.798,-16.3,-945.7,9.411,-21.79,-993.2,-7814.616756,-7935.078092,3706.83,-2268.02,5974.83,0.0359,0.0,0.0,0.0,-9.457328,-14.875387,-16.612064,-35.510427,-29.3288902355,32.7658,0.0019379999999999998,112
swarm_101_93.pdb,4,3,6,6,4,8,17,1,9,3,1,2,1,3,1,0.395,0.4283333333333334,0.41,0.5725,0.41333333333333333,0.45999999999999996,0.4764705882352941,0.49,0.6166666666666667,0.44,0.43999999999999995,0.65,0.86,0.7566666666666667,0.75,1.23,4.58,2.48,1.8399999999999999,8.1,0.49,5.550000000000001,0.44,1.3199999999999998,0.65,0.86,2.27,1.5,24.6,33.27,1926.4000000000015,936.5400000000009,989.859999999997,2.0,2.449489742783178,4.123105625617661,1.0,1.0,3.0,1.7320508075688772,2.449489742783178,2.0,2.8284271247461903,1.0,1.7320508075688772,1.4142135623730951,1.0,1.7320508075688772,3.3906,-4.1419999999999995,2.44,-12.0,-25.8,-193.2,2.9,-189.26,186.24,-3.32,-0.021938,-5.16,24.0,7.2,-26.4,78.55199999999999,13.4,26.2,28.6,4.18,14.82,19.5,-334.2,-0.1407294808,-2.8,-10.361358000000001,-19.96,-34.852,-73.15,-66.01,-4411.15,-40.83,-17.35,-65.82,-27.04,-1411.35,-581.34,0.0,0.0,0.0,0.0,0.0,-64.2324,175.864,0.00040199999999999996,-17.55,7.5329999999999995,-37.529,-13.77,-423.996,-3.773,4.283,0.0,-177.06,14.47,-648.6,-99.4,556.68,21.2078258796,-2.0669999999999997,2.09,0.054979999999999994,-0.5482,10.02,-3964.0,2.228,-40.09,-3997.0,-0.7331,0.3385,-0.7841,1.66,58.31,-624.1,4.9910000000000005,-7.022,-577.8,-6858.028327,-6933.715531,2003.27,-1797.57,3800.84,-0.3235,0.0,0.0,0.0,-7.119528,-10.460864,-13.305701999999998,-20.988879,-23.403583484400002,21.8965,0.010376999999999999,69
