Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_109.pdb,2,6,1,4,3,8,23,1,3,2,0,1,2,0,0,0.435,0.39250000000000007,0.44333333333333336,0.5825,0.43,0.3833333333333333,0.4591304347826088,0.43,0.53,0.0,0.0,0.855,0.0,0.6950000000000001,0.67,2.66,4.66,0.43,1.15,10.560000000000002,0.43,1.59,0.0,0.0,1.71,0.0,1.3900000000000001,0.67,24.59,33.41,1762.3500000000022,862.760000000002,899.5900000000001,1.4142135623730951,2.0,4.795831523312719,0.0,1.0,1.7320508075688772,2.449489742783178,1.0,1.7320508075688772,2.8284271247461903,0.0,1.4142135623730951,1.0,1.4142135623730951,0.0,1.5666,-5.392,-2.02,-12.4,-24.0,-164.8,5.32,-120.64,129.58,-3.18,0.053232,-5.64,23.2,7.8,-23.6,99.39200000000001,2.4,11.6,18.8,3.78,-2.42,3.22,-231.6,-0.69636294,2.6,-8.449066,-11.38,-25.215,-52.44,-41.71,-4098.18,-17.47,-18.02,-25.51,-22.52,-1228.06,-639.71,0.0,0.0,0.0,0.0,0.0,-37.4052,267.047,0.00035099999999999997,-4.109,21.384,-39.523,13.322000000000001,-164.90200000000002,-2.74,0.39399999999999996,0.0,-117.3,167.89,26.49,-130.14,-3282.219,23.9530140571,-2.077,2.004,-0.4853,-0.7231,23.08,-2859.0,-0.8089,13.91,-2821.0,-1.202,0.6448,0.4856,3.5469999999999997,-25.86,-475.8,9.042,5.902,-504.8,-4554.763828,-4609.905063,2233.47,-1280.7,3514.17,-0.098,0.0,0.0,0.0,-6.112285,-6.647088,-11.260872,-18.528121,-23.9692126929,17.7877,0.006554000000000001,56
swarm_0_161.pdb,0,1,4,1,1,1,12,7,5,0,1,1,0,0,0,0.0,0.31,0.64,0.53,0.4575,0.41,0.5108333333333333,0.4928571428571429,0.324,0.0,0.0,0.0,0.83,0.0,0.74,0.64,0.53,1.83,0.41,6.129999999999999,3.45,1.62,0.0,0.0,0.0,0.83,0.0,0.74,25.12,32.49,1311.6000000000022,664.3199999999997,647.2799999999988,0.0,1.0,3.4641016151377544,0.0,2.6457513110645907,2.23606797749979,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.4508,-1.0,1.82,-10.6,-7.2,-105.2,6.92,-69.24,87.8,-3.38,0.02167,-5.62,35.4,18.2,-11.2,73.148,8.6,16.6,25.6,7.02,14.12,6.84,-134.6,-0.1941989732,12.1,-8.53389,-10.88,-19.684,-41.8,-34.11,-1655.58,15.33,-0.32,-1.81,-0.08,-765.01,-548.32,0.0,0.0,0.0,0.0,0.0,0.495147,10.3502,0.000468,6.115,18.102999999999998,-50.17,19.2,-32.702,-2.519,-1.8969999999999998,0.0,-109.09,173.11,-6.64,-51.18,6116.871,30.6267722794,-2.36,2.311,-1.112,-1.337,97.29,-2572.0,-3.52,-22.81,-2494.0,-1.774,1.242,-0.4047,3.205,24.64,-355.4,3.813,2.474,-332.1,-3912.4247560000003,-3957.2340259999996,1493.25,-929.66,2422.93,-0.0764,0.0,0.0,0.0,0.612019,-5.594531,-2.54386,-6.871579,-10.0859201536,13.7694,0.005265,34
swarm_101_44.pdb,3,2,3,4,6,3,8,5,7,1,4,1,4,0,0,0.49999999999999994,0.46,0.46499999999999997,0.56,0.3666666666666667,0.38166666666666665,0.47,0.48999999999999994,0.5042857142857143,0.0,0.0,0.7525,0.5475,0.49,0.67,0.9299999999999999,1.6800000000000002,1.1,2.29,3.76,2.4499999999999997,3.5300000000000002,0.0,0.0,3.01,2.19,0.49,0.67,24.6,33.1,1736.3099999999977,829.4200000000001,906.8900000000012,1.7320508075688772,2.0,2.8284271247461903,0.0,2.23606797749979,2.6457513110645907,1.4142135623730951,1.7320508075688772,2.449489742783178,1.7320508075688772,2.0,1.0,1.0,2.0,0.0,0.0322,-3.35,-3.02,-10.4,-14.0,-117.0,3.68,-84.86,91.66,-3.24,0.01659,-6.46,18.8,6.8,-12.2,56.226000000000006,4.6,9.6,13.4,0.72,-1.76,-3.78,-161.4,-0.50510975,4.3,-7.427999000000001,-10.69,-21.886999999999997,-40.58,-36.46,-3201.67,-8.13,-12.24,-51.42,-16.03,-1095.27,-622.13,0.0,0.0,0.0,0.0,0.0,-28.8321,238.489,0.000341,-3.983,5.665,-20.500999999999998,-0.369,-62.802,-2.069,-0.875,0.0,-116.59,124.78,-342.03,-31.08,3453.5359999999996,23.514681111799998,-2.18,1.9240000000000002,-1.2670000000000001,0.5956,138.3,-2844.0,-10.54,35.38,-2660.0,-1.473,0.9346,-1.4480000000000002,1.902,37.93,-383.9,-0.3284,6.643,-339.0,-4188.1685210000005,-4236.392043,1316.88,-1099.21,2416.07,0.0127,0.0,0.0,0.0,-0.803871,0.9586020000000001,-7.609112,-16.192948,-12.9853010585,15.0474,0.0032549999999999996,51
swarm_10_177.pdb,1,0,5,3,5,2,13,5,8,0,1,0,0,1,1,0.42,0.5,0.0,0.5900000000000001,0.458,0.346,0.4915384615384616,0.51,0.36000000000000004,0.44,0.27,0.0,0.67,0.0,0.0,0.0,1.1800000000000002,2.29,1.73,6.390000000000001,2.55,2.8800000000000003,0.44,0.27,0.0,0.67,0.0,0.0,25.0,32.87,1550.9699999999975,844.3899999999994,706.5799999999981,1.0,1.7320508075688772,3.605551275463989,1.0,2.23606797749979,2.8284271247461903,0.0,2.23606797749979,2.23606797749979,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,2.6,-5.706,2.82,-8.0,-7.4,-128.8,8.42,-95.78,113.56,-1.64,0.01612,-3.28,40.2,24.4,-8.0,79.008,13.0,19.8,29.0,5.22,16.22,5.86,-183.6,-0.37553176920000003,20.1,-6.802524000000001,-6.96,-20.703000000000003,-48.12,-36.2,-1963.62,40.56,3.14,25.75,29.7,-842.0,-372.54,0.0,0.0,0.0,0.0,0.0,-9.60575,187.52700000000002,0.000405,5.482,31.951999999999998,-33.939,34.04,38.352,-4.757,-5.486000000000001,0.0,-72.46,205.52,-105.3,-26.26,1775.799,29.2944672052,-2.1959999999999997,2.197,-0.3668,-1.619,248.8,-3125.0,2.472,-58.87,-2937.0,-1.71,1.3940000000000001,0.2637,2.613,34.47,-432.6,8.722000000000001,-1.944,-408.8,-4046.4926840000003,-4093.0445670000004,2775.81,-962.76,3738.56,0.1674,0.0,0.0,0.0,-1.390314,-2.030737,-5.750812000000001,-8.97573,-10.831253736099999,15.4533,0.005089,45
swarm_10_197.pdb,4,0,1,6,9,1,15,3,9,0,0,0,0,1,0,0.4825,0.4633333333333334,0.0,0.53,0.42,0.37555555555555553,0.4713333333333333,0.5066666666666667,0.4588888888888889,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.53,0.42,3.38,7.07,1.52,4.13,0.0,0.48,0.0,0.0,0.0,0.0,24.82,32.79,1510.5999999999985,700.0699999999997,810.5300000000007,2.0,2.449489742783178,3.872983346207417,0.0,1.7320508075688772,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.266,1.7480000000000002,5.66,-6.2,-15.2,-126.4,7.88,-110.84,132.42,0.08,0.039542,1.64,29.0,14.4,-14.0,64.362,6.6,18.2,25.8,1.4,7.06,17.22,-223.8,0.787526408,13.8,-8.158733,-10.55,-22.866,-44.63,-29.73,-2213.79,16.36,0.02,18.47,22.65,-1024.33,-455.87,0.0,0.0,0.0,0.0,0.0,-4.349469999999999,132.05200000000002,0.000449,0.149,21.609,-66.702,15.087,-0.7859999999999999,-6.156000000000001,-6.141,0.0,-178.19,142.62,141.37,-136.2,1582.162,52.663866831899995,-1.78,1.751,-0.8318,-1.053,195.5,-3534.0,1.969,-84.44,-3425.0,-0.7538,0.3261,0.06318,2.6180000000000003,63.03,-534.6,8.866,-5.662999999999999,-486.1,-4248.576586,-4299.922861999999,2889.07,-1079.25,3968.32,-0.0043,0.0,0.0,0.0,-7.451861,-6.417941000000001,-5.34053,-11.327869999999999,-12.110751906900001,15.133,0.003184,49
swarm_102_198.pdb,2,7,2,9,6,6,4,0,12,2,0,3,2,1,0,0.44,0.33999999999999997,0.44857142857142857,0.6483333333333333,0.425,0.36999999999999994,0.495,0.0,0.4541666666666668,0.0,0.41,0.675,0.0,0.6950000000000001,0.6,3.14,3.89,0.85,2.2199999999999998,1.98,0.0,5.450000000000001,0.0,0.41,1.35,0.0,1.3900000000000001,1.8,24.94,33.18,2046.8600000000006,1004.4500000000007,1042.3999999999996,1.4142135623730951,3.0,2.0,0.0,0.0,3.4641016151377544,2.6457513110645907,1.4142135623730951,2.449489742783178,2.449489742783178,0.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.0,1.334,-1.36,1.7,-5.6,-19.8,-130.2,1.92,-126.46,122.08,0.1,0.015508000000000001,0.7,14.4,5.6,-14.4,44.656000000000006,6.6,12.6,15.6,-1.8,7.88,2.64,-219.4,0.3606196472,1.4,-5.885713,-7.07,-21.486,-49.69,-34.26,-3982.33,-16.79,-7.17,17.0,23.61,-1096.27,-211.1,0.0,0.0,0.0,0.0,0.0,-26.7936,65.3126,0.00020299999999999997,3.069,16.369,-20.754,17.363,-65.72,-3.553,-2.305,0.0,-34.69,147.21,-95.21,-71.09,1009.485,-0.441913938848,-1.725,1.661,-0.4568,-0.6029,-54.43,-2774.0,-0.8381,37.39,-2790.0,-0.1262,-0.1497,-0.032760000000000004,2.319,25.03,-541.9,5.624,7.0920000000000005,-515.4,-4218.09302,-4264.2413719999995,3368.69,-1114.54,4483.24,-0.0016,0.0,0.0,0.0,-2.089761,-7.927403,-3.538608,-13.062477000000001,-18.133458288099998,18.2044,0.006375,56
swarm_102_69.pdb,1,3,2,11,9,10,10,1,12,5,1,4,1,1,1,0.46,0.34909090909090906,0.4266666666666666,0.633,0.45999999999999996,0.34,0.47000000000000003,0.49,0.4408333333333334,0.34,0.41,0.52,0.51,0.5720000000000001,0.6575,1.2799999999999998,6.33,0.9199999999999999,3.06,4.7,0.49,5.290000000000001,0.34,0.41,0.52,0.51,2.8600000000000003,2.63,25.35,32.79,2208.0499999999993,977.1599999999999,1230.880000000001,1.0,3.3166247903554,3.1622776601683795,1.0,1.0,3.4641016151377544,1.7320508075688772,1.4142135623730951,3.0,3.1622776601683795,1.0,2.23606797749979,2.0,1.0,1.0,1.3774,-2.0580000000000003,1.86,-9.0,-24.6,-202.2,9.24,-173.2,189.88,-0.56,0.093266,-0.94,42.2,20.2,-21.0,125.06,11.8,23.4,33.6,2.94,19.16,-9.22,-336.6,0.044194194400000004,7.0,-8.302742,-11.68,-28.526,-56.57,-49.48,-5351.93,-6.2,-11.64,-21.03,18.35,-1511.68,-426.78,0.0,0.0,0.0,0.0,0.0,-64.212,80.5289,0.000304,-11.440999999999999,10.932,-29.089000000000002,-3.4189999999999996,-151.594,-6.962000000000001,-4.082,0.0,-169.96,243.97,-6.1,-111.43,868.788,4.99352959171,-1.715,1.739,0.4736,-0.77,-174.7,-3400.0,6.29,49.54,-3532.0,-1.013,0.3398,-0.9208,2.972,-12.99,-631.5,4.756,7.542000000000001,-641.7,-4975.686932,-5043.751162,3949.35,-1454.19,5403.55,-0.1175,0.0,0.0,0.0,-4.644177,-6.445178,-8.425543,-17.983423000000002,-24.6112027783,26.2142,0.006833,72
swarm_104_114.pdb,2,6,4,0,2,3,7,8,4,0,0,0,4,2,0,0.45999999999999996,0.0,0.49,0.4566666666666667,0.37,0.385,0.4642857142857143,0.50875,0.28250000000000003,0.0,0.33999999999999997,0.5975,0.0,0.0,0.0,2.94,1.37,1.48,0.77,3.25,4.07,1.1300000000000001,0.0,0.6799999999999999,2.39,0.0,0.0,0.0,24.88,33.18,1450.2200000000012,765.8299999999999,684.3899999999994,1.4142135623730951,0.0,2.6457513110645907,0.0,2.8284271247461903,2.0,2.449489742783178,2.0,1.4142135623730951,1.7320508075688772,0.0,0.0,0.0,2.0,1.4142135623730951,1.9480000000000002,4.71,4.14,-5.4,-9.2,-91.0,4.52,-81.08,89.58,0.24,0.027518,0.84,19.0,10.6,-8.2,27.9,5.6,12.2,16.0,8.56,16.18,8.9,-153.4,0.715998088,4.2,-9.688307,-13.09,-22.381999999999998,-38.79,-36.96,-2431.18,17.59,-5.76,-19.31,-18.3,-982.1,-607.52,0.0,0.0,0.0,0.0,0.0,-9.72021,-32.5866,0.0005099999999999999,6.277,12.448,-57.012,13.024000000000001,-56.849,-2.395,-1.314,0.0,-72.92,139.43,-188.47,-55.9,1419.547,19.3956678212,-3.045,2.908,-1.848,-1.275,2.198,-2603.0,-6.372999999999999,-8.271,-2603.0,-1.17,0.7165,-0.9142,2.085,39.05,-366.4,1.768,2.9139999999999997,-326.2,-4232.028556,-4283.992925,1184.4,-1072.9,2257.3,-0.1103,0.0,0.0,0.0,-1.8049970000000002,-2.200698,0.317073,-4.41627,-8.25823978067,18.0892,0.002786,42
swarm_104_5.pdb,0,7,5,2,2,2,13,4,5,1,1,6,4,0,0,0.0,0.43000000000000005,0.4614285714285714,0.495,0.362,0.37,0.42153846153846153,0.515,0.186,0.0,0.0,0.6425000000000001,0.67,0.9,0.6583333333333333,3.23,0.99,1.81,0.74,5.4799999999999995,2.06,0.93,0.0,0.0,2.5700000000000003,0.67,0.9,3.95,25.06,33.18,1837.2700000000004,881.4799999999996,955.7900000000009,0.0,1.4142135623730951,3.605551275463989,0.0,2.0,2.23606797749979,2.6457513110645907,2.23606797749979,1.4142135623730951,1.4142135623730951,1.0,1.0,2.449489742783178,2.0,0.0,0.3864,2.104,3.32,-2.8,-10.6,-116.0,7.6,-96.4,110.7,1.42,0.043544,3.24,34.0,17.6,-13.4,61.966,3.8,17.2,26.2,8.72,9.1,9.3,-188.4,1.831153324,-7.6,-7.881651,-11.62,-24.302,-50.96,-43.13,-4118.49,1.58,-5.81,-54.42,-5.52,-1120.62,-273.93,0.0,0.0,0.0,0.0,0.0,-28.9658,315.152,0.000381,2.009,11.853,-27.124000000000002,11.149000000000001,-87.916,-3.4410000000000003,-1.771,0.0,-73.92,193.19,-226.08,8.08,1213.3239999999998,27.8511924185,-2.7710000000000004,2.6839999999999997,-0.758,-1.225,201.5,-3043.0,-3.1310000000000002,-3.778,-2843.0,-1.771,1.611,0.08248,2.0180000000000002,42.88,-413.0,5.16,2.679,-372.6,-4403.550175,-4447.140935,2610.15,-1216.45,3826.6,-0.0117,0.0,0.0,0.0,-0.375795,0.051389,6.217978,-5.1853370000000005,-15.831823072999999,23.0309,0.005038,52
swarm_105_166.pdb,5,9,3,3,5,2,26,5,12,1,0,2,1,1,1,0.512,0.43333333333333335,0.508888888888889,0.62,0.4366666666666667,0.306,0.4623076923076923,0.544,0.4216666666666667,0.34,0.47,0.52,0.0,0.49,0.615,4.58,1.24,1.31,1.53,12.02,2.72,5.0600000000000005,0.34,0.47,0.52,0.0,0.49,1.23,25.06,32.79,2547.050000000003,1238.2099999999991,1308.8400000000001,2.23606797749979,1.7320508075688772,5.0990195135927845,1.0,2.23606797749979,3.4641016151377544,3.0,1.7320508075688772,2.23606797749979,1.4142135623730951,0.0,1.0,1.4142135623730951,1.0,1.0,4.006,-1.598,2.92,-16.4,-11.4,-174.0,14.48,-117.62,163.82,-4.96,0.06857200000000001,-9.16,67.4,36.6,-12.8,101.164,19.6,35.6,50.4,12.2,23.38,14.34,-262.2,0.5937165832,30.9,-8.277394000000001,-14.21,-31.505,-70.52,-59.17,-5057.79,19.31,-9.84,8.61,22.87,-1519.46,-708.59,0.0,0.0,0.0,0.0,0.0,-65.5135,-8.16465,0.000199,1.956,32.929,-61.895,28.695,-50.383,-6.808,-5.851,0.0,-93.36,388.8,-113.57,59.31,1180.813,53.9923176463,-3.648,3.572,-0.8627,-1.286,54.89,-4403.0,-0.5185,5.995,-4342.0,-1.99,1.57,0.3669,3.4560000000000004,79.45,-675.6,9.104,5.952999999999999,-599.3,-5104.077897,-5190.093416,4631.3,-1522.15,6153.44,-0.1162,0.0,0.0,0.0,-1.5751190000000002,-4.8811480000000005,-3.134002,-20.039867,-23.749253948899998,19.5523,0.005224,76
