Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_100_142.pdb,9,6,2,4,2,3,10,3,3,1,1,2,1,2,2,0.5544444444444445,0.4025,0.48833333333333345,0.59,0.485,0.35,0.48199999999999993,0.4533333333333333,0.41333333333333333,0.55,0.44999999999999996,0.83,0.65,0.9,0.72,2.9300000000000006,1.77,0.97,0.7,4.819999999999999,1.3599999999999999,1.24,1.1,0.8999999999999999,0.83,0.65,0.9,1.44,28.03,38.06,1377.1100000000042,749.7700000000004,627.3400000000001,3.0,2.0,3.1622776601683795,1.4142135623730951,1.7320508075688772,1.7320508075688772,2.449489742783178,1.4142135623730951,1.4142135623730951,1.7320508075688772,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.7816,-1.4480000000000002,2.94,-6.2,-14.4,-134.8,2.14,-107.88,108.68,-0.2,-0.009802,-3.34,14.0,3.8,-20.4,63.474,-1.4,12.8,18.4,-2.34,0.12,12.36,-195.4,0.081485974,-6.4,-7.536297,-11.2,-20.9324,-49.4,-54.33,-4379.59,-24.36,-9.78,-20.64,15.35,-904.81,129.21,0.0,0.0,0.0,0.0,0.0,-41.992,262.04,0.000576,-8.007,7.332000000000001,-8.8,-1.555,-33.687,-5.329,-4.689,0.0,-112.06,65.47,-340.18,45.62,536.993,12.2794961771,-1.141,1.1159999999999999,-1.148,-1.96,181.6,-2749.0,-5.18,-6.456,-2569.0,-0.8256,0.672,1.453,2.8369999999999997,57.48,-425.5,8.807,5.53,-371.3,-3162.238363,-3237.2572,1545.0,-1141.51,2686.5,-0.0726,0.0,0.0,0.0,-3.7656669999999997,-3.026409,-11.086704,-15.836355,-11.4629024155,1.99642,0.007470999999999999,51
swarm_100_80.pdb,5,4,4,3,1,2,7,15,0,0,0,0,0,6,1,0.33999999999999997,0.3333333333333333,0.44000000000000006,0.65,0.435,0.33,0.4771428571428572,0.47200000000000003,0.0,0.62,0.46,0.0,0.0,0.0,0.0,1.7600000000000002,1.3,1.74,0.33,3.3400000000000003,7.08,0.0,0.62,2.7600000000000002,0.0,0.0,0.0,0.0,28.12,38.19,1226.2000000000007,617.5900000000001,608.6100000000006,2.23606797749979,1.7320508075688772,2.6457513110645907,1.0,3.872983346207417,0.0,2.0,2.0,1.0,1.4142135623730951,0.0,0.0,0.0,0.0,2.449489742783178,0.373,-0.868,-0.12,-7.4,-9.8,-130.2,-0.22,-101.1,100.22,-2.4,0.004638000000000001,-2.56,12.8,5.4,-19.8,15.665999999999999,2.0,12.2,17.2,1.08,4.2,-11.88,-160.8,0.1938763168,-2.4,-9.96238,-12.57,-20.2219,-39.28,-39.82,-3222.21,-23.34,-2.93,-49.33,-9.3,-942.31,-602.66,0.0,0.0,0.0,0.0,0.0,-54.2541,-57.4769,0.00042800000000000005,-7.031000000000001,-0.613,-42.748000000000005,-11.918,-81.275,-5.939,-4.395,0.0,-77.78,65.02,-403.26,120.19,1967.609,16.7821060028,-1.48,1.2309999999999999,-3.0589999999999997,-0.8994,-231.3,-2277.0,-14.84,12.03,-2481.0,-1.044,0.6433,-0.2934,2.7230000000000003,8.687000000000001,-295.8,1.9869999999999999,4.5,-284.6,-3011.387301,-3067.88102,1378.46,-1078.82,2457.27,-0.0953,0.0,0.0,0.0,-1.194611,-1.9026319999999999,-6.485333,-15.124554000000002,-11.9910827386,1.62485,0.00875,48
swarm_10_100.pdb,5,2,3,0,3,2,6,8,2,0,2,4,2,0,0,0.42400000000000004,0.0,0.605,0.53,0.49333333333333335,0.42999999999999994,0.4283333333333334,0.5025,0.515,0.0,0.0,0.52,0.46,0.0,0.635,1.21,1.06,1.48,1.2899999999999998,2.5700000000000003,4.02,1.03,0.0,0.0,1.04,0.92,0.0,2.54,28.18,36.77,1008.8300000000017,486.6200000000008,522.2000000000007,2.23606797749979,0.0,2.449489742783178,0.0,2.8284271247461903,1.4142135623730951,1.4142135623730951,1.7320508075688772,1.7320508075688772,1.4142135623730951,1.4142135623730951,0.0,2.0,1.4142135623730951,0.0,1.0142,0.27,2.8,-3.6,-5.4,-68.2,1.3,-71.02,70.44,0.7,-0.002868,0.44,16.6,11.8,-2.6,11.478,1.2,8.4,11.6,-0.96,-0.98,-4.96,-130.4,0.3480929728,-2.3,-1.7088459999999999,-6.0,-15.7199,-35.95,-23.95,-2646.44,9.43,-11.25,6.83,5.23,-558.43,559.31,0.0,0.0,0.0,0.0,0.0,-2.0083599999999997,1004.13,0.000725,-13.947000000000001,0.529,60.29600000000001,-7.388,-20.344,-1.675,-1.2890000000000001,0.0,-11.99,86.5,-245.29,82.09,-4079.3909999999996,21.1854059584,-2.7889999999999997,2.675,-0.09039,-0.2303,-284.3,-1726.0,1.788,-4.659,-2016.0,-2.293,2.021,-0.2301,1.492,-11.98,-243.0,2.5789999999999997,-1.1420000000000001,-258.7,-2530.601653,-2589.444703,1505.11,-925.82,2430.92,-0.175,0.0,0.0,0.0,-2.028255,-5.1327419999999995,-1.286635,-10.665249000000001,-8.93988560473,16.752,0.007436,39
swarm_101_102.pdb,0,3,1,2,1,3,6,1,1,0,0,0,2,0,0,0.0,0.195,0.4633333333333334,0.5499999999999999,0.34,0.41,0.4883333333333333,0.53,0.75,0.0,0.0,0.6,0.0,0.0,0.0,1.3900000000000001,1.65,0.34,0.41,2.9299999999999997,0.53,0.75,0.0,0.0,1.2,0.0,0.0,0.0,27.55,38.1,726.4799999999996,320.09000000000015,406.3899999999994,0.0,1.4142135623730951,2.449489742783178,0.0,1.0,1.0,1.7320508075688772,1.0,1.0,1.7320508075688772,0.0,0.0,0.0,1.4142135623730951,0.0,0.2052,-1.538,-0.04,-2.4,-7.6,-52.8,0.24,-55.66,45.2,-0.08,-0.007808,-1.48,3.8,0.8,-9.6,26.726,0.8,3.2,5.6,-2.1,0.62,0.62,-84.8,-0.13154652279999998,-2.9,-6.726894000000001,-10.25,-13.3387,-21.57,-26.74,-2238.08,-3.13,-2.63,-22.51,-8.7,-492.93,-228.18,0.0,0.0,0.0,0.0,0.0,-15.257,-2.8460799999999997,0.00098,-2.9330000000000003,-2.384,-10.449000000000002,-6.361000000000001,-129.47799999999998,-0.664,1.796,0.0,-76.05,34.66,-49.2,-20.04,-1668.45,-8.49984745961,-0.1211,0.08064,-1.121,-1.0,28.94,-1402.0,-4.532,-2.8680000000000003,-1371.0,-0.5117,0.007723999999999999,0.3146,2.405,-9.274,-181.2,3.485,2.859,-191.1,-2283.977163,-2320.601482,412.03,-739.24,1151.27,-0.0712,0.0,0.0,0.0,-0.36469,-0.671412,-2.7554380000000003,-3.045035,-10.049606945199999,1.0118200000000002,0.0106,20
swarm_101_53.pdb,3,1,4,3,4,4,6,1,3,0,0,2,1,2,0,0.4566666666666667,0.6333333333333334,0.53,0.5425,0.4375,0.44000000000000006,0.44166666666666665,0.49,0.5966666666666667,0.0,0.59,0.52,0.0,0.0,0.72,0.53,2.17,1.75,1.7600000000000002,2.65,0.49,1.79,0.0,1.18,0.52,0.0,0.0,1.44,27.84,38.14,943.4599999999991,388.09000000000015,555.3700000000008,1.7320508075688772,1.7320508075688772,2.449489742783178,0.0,1.0,1.7320508075688772,1.0,2.0,2.0,2.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,-0.6536,-0.272,-1.1,-0.2,-18.8,-100.0,-3.68,-116.06,87.68,0.26,0.096264,-0.98,-0.8,-4.2,-20.2,46.46,-3.2,3.6,6.0,-6.42,0.26,-5.5,-178.2,0.11581354599999999,-11.6,-8.767555,-12.13,-17.1997,-37.39,-37.14,-3130.58,-32.55,-12.33,1.44,23.57,-613.04,-254.59,0.0,0.0,0.0,0.0,0.0,-28.088,-59.8426,0.000704,-4.85,-7.3,-36.204,-15.770999999999999,-153.259,-0.306,2.6060000000000003,0.0,-47.7,-25.17,-9.45,-99.5,157.52700000000002,-1.6814422708,-0.9158,0.8140000000000001,-1.1540000000000001,-0.1978,165.0,-1938.0,-4.0280000000000005,-1.4469999999999998,-1771.0,-1.102,0.5433,-2.369,0.9788,37.74,-283.2,-2.366,0.7894,-242.3,-2737.79989,-2785.621561,540.94,-918.48,1459.41,-0.0672,0.0,0.0,0.0,-3.263774,-5.505475,-5.426948,-11.786297,-11.8231156635,6.3059199999999995,0.007324,34
swarm_101_85.pdb,1,1,3,0,1,3,5,0,2,1,2,2,1,1,0,0.46,0.0,0.35,0.59,0.4833333333333334,0.31,0.51,0.0,0.495,0.0,0.59,0.83,0.73,0.9,0.74,0.35,1.77,1.4500000000000002,0.31,2.55,0.0,0.99,0.0,0.59,0.83,1.46,0.9,1.48,28.42,36.64,902.4600000000028,387.02999999999884,515.4300000000003,1.0,0.0,2.23606797749979,0.0,0.0,1.4142135623730951,1.0,1.7320508075688772,1.0,1.7320508075688772,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,-0.3048,-2.6460000000000004,-3.8,-4.8,-15.4,-70.2,-3.06,-78.3,58.14,-2.02,0.003944,-2.56,2.2,-1.4,-14.2,13.165999999999999,-0.4,1.8,3.4,-4.28,-2.76,3.68,-115.2,-0.135136722,-8.0,-5.485367,-8.87,-17.387999999999998,-19.04,-21.71,-2923.12,-7.14,-2.92,12.89,18.74,-714.95,-215.21,0.0,0.0,0.0,0.0,0.0,-38.8387,89.21799999999999,0.0008,-6.18,-0.794,2.355,-6.7379999999999995,-31.654,-0.03,0.5710000000000001,0.0,-67.61,-46.48,-255.44,-6.19,-227.979,10.7127163282,-0.8005,0.7169,-0.5806,0.1041,184.4,-1918.0,-2.294,7.78,-1724.0,-0.2509,0.00046689999999999996,-0.5579999999999999,1.419,46.89,-254.8,0.9489,2.763,-206.1,-2700.443015,-2728.168816,1060.48,-940.68,2001.16,-0.1035,0.0,0.0,0.0,-3.145595,-5.893654,-5.050487,-8.266181,-9.85239623656,1.32568,0.008173999999999999,23
swarm_102_12.pdb,2,1,3,5,1,2,3,3,6,0,0,2,0,2,2,0.45499999999999996,0.49800000000000005,0.53,0.495,0.43333333333333335,0.58,0.46,0.47,0.6433333333333333,0.83,0.59,0.0,0.0,0.0,0.7050000000000001,0.53,0.99,1.3,0.58,1.3800000000000001,1.41,3.86,1.66,1.18,0.0,0.0,0.0,1.4100000000000001,27.8,37.97,858.7000000000007,419.9100000000017,438.7999999999993,1.4142135623730951,2.23606797749979,1.7320508075688772,1.4142135623730951,1.7320508075688772,2.449489742783178,1.0,1.7320508075688772,1.0,1.4142135623730951,0.0,0.0,1.4142135623730951,0.0,1.4142135623730951,-2.1384,-3.3339999999999996,-3.58,-4.0,-14.8,-70.8,-2.98,-72.06,53.94,-1.48,-0.0119,-2.1,-7.21644966006e-16,-4.0,-16.0,21.748,-5.0,0.4,3.4,-4.6,-0.42,0.58,-109.0,-0.02996908,-11.0,-8.001638,-11.34,-15.0625,-36.21,-35.74,-2838.86,-23.38,1.02,-26.7,-2.55,-445.27,-244.15,0.0,0.0,0.0,0.0,0.0,-28.0904,-25.3127,0.000784,-6.813,5.825,-29.43,-3.931,-38.554,-0.087,0.645,0.0,-89.27,-32.97,-37.29,-57.54,130.951,7.98080105102,-1.09,1.035,-0.7163,-0.3785,64.24,-1436.0,2.63,-19.51,-1394.0,-0.5383,0.1977,-0.9738,1.178,24.23,-234.6,1.7590000000000001,-4.974,-217.1,-2484.627695,-2529.274429,-90.24,-839.22,748.97,-0.129,0.0,0.0,0.0,-5.097018,-7.515559,-5.659705000000001,-7.810141000000001,-9.93514336901,0.102947,0.006531,32
swarm_102_16.pdb,4,0,0,7,0,0,8,4,10,0,0,0,0,0,1,0.5275000000000001,0.37999999999999995,0.0,0.0,0.0,0.0,0.52,0.49,0.5650000000000001,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,1.96,5.65,0.83,0.0,0.0,0.0,0.0,0.0,28.37,37.02,856.7699999999968,419.5599999999995,437.2000000000007,2.0,2.6457513110645907,2.8284271247461903,1.0,2.0,3.1622776601683795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3282,-5.026,-2.04,-10.0,-11.6,-87.2,2.74,-73.26,82.56,-3.88,0.078752,-6.18,20.4,8.6,-13.2,114.10799999999999,-1.0,13.2,21.4,-2.06,0.18,-3.62,-147.8,-1.82512263,12.1,-7.699172,-7.6,-11.2759,-22.86,-23.41,-2287.52,-9.33,-10.23,-59.97,-10.0,-394.27,-135.67,0.0,0.0,0.0,0.0,0.0,-44.2747,-28.179000000000002,0.000837,-19.375,8.818999999999999,-36.046,-14.161,16.067,-2.294,-2.5989999999999998,0.0,-84.52,87.32,-13.24,13.99,508.097,6.85147883743,-2.383,2.426,0.28800000000000003,-1.104,-230.2,-1216.0,6.305,5.477,-1447.0,-2.326,1.956,-0.8967,0.9334,-31.45,-173.4,1.119,-1.436,-207.4,-2047.889747,-2092.0040120000003,760.31,-641.01,1401.31,-0.1153,0.0,0.0,0.0,-11.220015,-11.426051,-6.811648,-11.100806,-4.41372367709,4.89911,0.005294,34
swarm_102_39.pdb,7,0,1,0,1,0,2,8,1,0,0,0,1,4,0,0.40714285714285714,0.0,0.0,0.0,0.43,0.41,0.5,0.48625,0.26,0.0,0.53,0.52,0.0,0.0,0.0,0.0,0.0,0.43,0.41,1.0,3.89,0.26,0.0,2.12,0.52,0.0,0.0,0.0,27.89,38.1,693.4499999999971,312.2900000000009,381.15999999999985,2.6457513110645907,0.0,1.4142135623730951,0.0,2.8284271247461903,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.32899999999999996,-2.572,-0.7,-2.2,-8.8,-102.2,-3.5,-104.6,83.18,-0.14,0.000154,-0.84,6.2,3.4,-14.6,15.244000000000002,-3.6,6.6,13.0,-7.38,3.82,-5.88,-155.0,0.9617988409999999,-7.3,-5.774621,-5.4,-9.5021,-19.46,-22.38,-1956.87,5.39,4.59,26.51,14.09,-356.71,67.37,0.0,0.0,0.0,0.0,0.0,-29.095,77.8018,0.000767,-0.8240000000000001,4.64,-19.064,1.909,-6.7170000000000005,-3.667,-3.5389999999999997,0.0,-30.83,-6.62,-155.45,101.05,174.71400000000003,13.5399319344,-2.637,2.4859999999999998,-1.0859999999999999,0.2963,-155.6,-1177.0,0.6055,-15.85,-1349.0,-1.589,1.956,1.469,-0.3826,18.77,-201.3,6.41,-4.156000000000001,-193.1,-1909.8090960000002,-1959.4751449999999,681.14,-559.2,1240.34,-0.0271,0.0,0.0,0.0,1.563758,1.026407,-4.340016,-8.46185,-5.28072400704,-0.204298,0.0072,25
swarm_104_129.pdb,4,0,5,0,4,0,9,3,0,0,0,0,0,3,0,0.4325,0.0,0.0,0.0,0.43,0.305,0.45444444444444443,0.5366666666666667,0.0,0.0,0.4566666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.15,1.22,4.09,1.61,0.0,0.0,1.3699999999999999,0.0,0.0,0.0,0.0,27.8,37.63,827.3799999999974,391.0600000000013,436.3299999999999,2.0,0.0,3.0,0.0,1.7320508075688772,0.0,0.0,2.23606797749979,2.0,0.0,0.0,0.0,0.0,0.0,1.7320508075688772,-0.0692,-2.234,-1.22,-3.2,-5.0,-86.0,0.32,-67.46,63.48,-1.1,-0.016456000000000002,-1.92,12.0,6.4,-11.2,11.17,3.0,7.6,11.2,-5.56,-2.86,3.98,-108.8,0.0682049492,5.5,-5.1840660000000005,-6.86,-11.4612,-26.95,-25.98,-2124.23,-4.1,1.01,2.37,10.26,-542.86,-116.7,0.0,0.0,0.0,0.0,0.0,-26.5975,41.0285,0.000675,-4.353,4.188,-13.277999999999999,-1.492,-22.000999999999998,-3.887,-3.469,0.0,-36.98,36.54,-190.36,86.77,591.37,-0.636855008081,-1.585,1.4609999999999999,-0.9156,0.4678,-163.9,-1461.0,-0.8587,26.04,-1598.0,-0.5736,0.662,0.601,0.055279999999999996,20.04,-203.7,2.659,1.5219999999999998,-184.8,-2076.8645239999996,-2110.185725,907.53,-655.03,1562.57,0.0199,0.0,0.0,0.0,-5.6713379999999995,-5.637182,-4.884641,-9.874886,-8.81918059827,0.0785472,0.008679000000000001,28
