Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_110.pdb,7,1,7,11,21,0,12,1,10,0,8,2,1,5,0,0.49571428571428566,0.43000000000000005,0.4,0.0,0.4471428571428572,0.3738095238095238,0.45166666666666666,0.44,0.607,0.0,0.406,0.68,0.6749999999999999,0.0,0.8300000000000001,0.4,0.0,3.1300000000000003,7.85,5.42,0.44,6.07,0.0,2.0300000000000002,0.68,5.3999999999999995,0.0,1.6600000000000001,28.57,49.09,2633.75,1155.1900000000005,1478.550000000001,2.6457513110645907,3.3166247903554,3.4641016151377544,0.0,1.0,3.1622776601683795,1.0,2.6457513110645907,4.58257569495584,0.0,2.8284271247461903,0.0,1.4142135623730951,1.0,2.23606797749979,0.3168,0.736,-0.74,-7.8,-15.0,-244.2,7.16,-216.98,215.06,-2.36,-0.025491999999999997,-4.74,47.4,26.6,-14.0,107.12200000000001,20.2,37.6,46.0,-2.36,5.78,9.38,-355.4,-0.5362746748,14.2,-10.471775,-20.37,-35.124,-68.04,-45.77,-5301.06,-19.15,2.48,-23.32,-4.43,-1063.21,-116.25,0.0,0.0,0.0,0.0,0.0,-104.79799999999999,365.36800000000005,0.00018600000000000002,-36.354,23.018,-62.684,-19.605,-117.316,-6.0760000000000005,-3.847,0.0,-92.92,207.75,-559.77,106.1,2349.78,41.8105301363,-2.963,2.911,-0.1475,-0.8725,81.68,-5210.0,7.011,7.834,-5128.0,-2.1719999999999997,2.0580000000000003,-0.1796,0.7826,41.22,-606.7,8.257,4.542,-569.2,-5834.145428,-5895.406265,3658.65,-1680.92,5339.57,-0.2042,0.0,0.0,0.0,-6.366166000000001,-11.132251,-3.6013260000000002,-19.937012,-23.052901349899997,15.3815,0.006314,86
swarm_0_113.pdb,1,2,4,2,17,1,14,2,18,0,4,0,0,3,0,0.53,0.405,0.64,0.28,0.5225,0.43352941176470583,0.4864285714285713,0.555,0.5099999999999999,0.0,0.48,0.0,0.615,0.0,0.0,1.28,0.28,2.09,7.369999999999999,6.809999999999999,1.11,9.179999999999998,0.0,1.44,0.0,2.46,0.0,0.0,28.42,49.61,2069.8100000000013,1141.1399999999994,928.6700000000001,1.0,1.4142135623730951,3.7416573867739413,0.0,1.4142135623730951,4.242640687119285,1.4142135623730951,2.0,4.123105625617661,1.0,2.0,0.0,0.0,0.0,1.7320508075688772,-0.147,-1.54,-3.1,-13.4,-28.4,-164.0,3.76,-149.46,146.7,-4.48,-0.035019999999999996,-7.62,31.0,8.8,-23.4,115.3,8.2,16.6,25.2,-2.54,9.02,9.34,-263.0,-1.8292556819999999,5.9,-6.751334,-5.81,-24.801,-56.51,-47.46,-4114.19,-18.45,-4.67,-14.59,11.84,-1027.41,-80.53,0.0,0.0,0.0,0.0,0.0,-49.7298,296.64099999999996,0.00020299999999999997,-32.289,34.14,-31.372,-1.286,-114.295,-1.955,0.217,0.0,-134.09,249.01,-213.55,-104.85,3374.242,50.4844607618,-2.148,2.251,1.546,-1.2429999999999999,-37.31,-3361.0,11.93,9.836,-3401.0,-2.093,1.19,-1.963,4.582,-2.859,-505.1,0.08113,7.54,-500.5,-4565.521589,-4607.034143,4715.52,-1219.76,5935.28,-0.0445,0.0,0.0,0.0,-3.881407,-8.276404,-5.003378,-8.625983,-14.6982355462,10.9726,0.002926,68
swarm_0_115.pdb,11,3,81,28,97,8,39,18,16,0,99,13,3,49,5,0.4327272727272727,0.42142857142857126,0.49666666666666676,0.47375000000000006,0.4355555555555559,0.3911340206185565,0.446153846153846,0.4883333333333334,0.5343749999999999,0.728,0.49122448979591854,0.6433333333333334,0.6493939393939389,0.0,0.8200000000000002,1.4900000000000002,3.7900000000000005,35.28000000000003,37.93999999999998,17.399999999999995,8.790000000000001,8.549999999999999,3.6399999999999997,24.070000000000007,1.9300000000000002,64.28999999999995,0.0,10.660000000000002,30.81,46.22,4360.169999999998,1644.0999999999985,2716.069999999998,3.3166247903554,5.291502622129181,6.244997998398398,2.23606797749979,4.242640687119285,4.0,1.7320508075688772,9.0,9.848857801796104,2.8284271247461903,9.9498743710662,0.0,3.605551275463989,1.7320508075688772,7.0,-14.5862,-6.586,-22.08,5.4,-110.8,-1303.6,-41.7,-1578.48,1152.26,8.46,0.140524,16.12,94.2,71.6,-112.2,164.84599999999998,70.6,136.2,127.4,-102.0,-38.72,-1.58,-2119.2,-0.7109307348,-104.3,62.380736999999996,23.0,-29.136,-378.64,-336.1,-29704.24,223.69,-37.03,1376.33,861.26,1989.98,20228.29,0.0,0.0,0.0,0.0,0.0,612.376,29156.8,0.000106,-44.593999999999994,0.37799999999999995,1890.961,144.88,-558.033,-19.973,-9.371,0.0,1449.44,-452.61,-6112.21,2259.94,1942.469,50.7217791788,-4.281000000000001,4.144,-0.517,-0.1784,-2587.0,-14210.0,33.11,-329.6,-17160.0,-2.083,2.318,0.7957,-0.37,-183.6,-2731.0,62.01,-108.0,-3084.0,-6656.949122,-6928.512565000001,14216.78,-3189.26,17406.04,0.4711,0.0,0.0,0.0,24.814138,-3.466562,2.400902,-152.43958999999998,-77.5935077553,71.1262,0.002234,470
swarm_0_152.pdb,3,1,7,4,18,1,14,3,15,0,8,2,1,6,1,0.5,0.48750000000000004,0.49,0.41,0.4342857142857143,0.39944444444444444,0.5078571428571428,0.44,0.576,0.34,0.42166666666666663,0.68,0.695,0.0,0.84,0.49,0.41,3.04,7.1899999999999995,7.109999999999999,1.32,8.639999999999999,0.34,2.53,0.68,5.56,0.0,1.68,28.09,49.74,2615.4000000000015,1223.8900000000012,1391.5,1.7320508075688772,2.0,3.7416573867739413,1.0,1.7320508075688772,3.872983346207417,1.0,2.6457513110645907,4.242640687119285,1.0,2.8284271247461903,0.0,1.4142135623730951,1.0,2.449489742783178,2.2072,-5.696000000000001,-1.54,-17.6,-28.8,-228.4,5.16,-214.64,212.6,-5.04,-0.102426,-7.26,42.6,16.8,-24.8,121.54799999999999,18.0,30.2,38.0,0.26,14.44,24.58,-363.8,-0.4505002496,-3.2,-3.4251970000000003,-18.6,-32.215,-74.92,-53.51,-4884.09,9.61,-6.59,80.06,86.14,-879.86,780.17,0.0,0.0,0.0,0.0,0.0,-24.4723,1364.87,0.000194,-23.775,21.891,90.814,7.197,-141.263,-2.126,0.5579999999999999,0.0,-88.17,175.64,-494.96,-110.83,2219.59,64.6835365803,-3.509,3.361,-0.1168,0.3987,-39.38,-5450.0,8.686,2.2680000000000002,-5496.0,-3.1310000000000002,2.574,-0.8131,3.6210000000000004,-0.7875,-683.7,6.662999999999999,2.35,-688.8,-5527.788468,-5599.677679,4706.49,-1657.45,6363.94,0.0758,0.0,0.0,0.0,-3.105489,-5.283743,-12.3347,-20.470512,-21.3548177376,18.6085,0.0052380000000000005,84
swarm_0_73.pdb,6,1,17,6,12,3,9,3,6,0,8,2,1,9,3,0.49333333333333335,0.365,0.4,0.48666666666666675,0.43882352941176467,0.365,0.4288888888888888,0.49,0.4966666666666666,0.34,0.43888888888888894,0.53,0.65125,0.0,0.63,0.4,1.4600000000000002,7.459999999999999,4.38,3.8599999999999994,1.47,2.9799999999999995,1.02,3.9500000000000006,0.53,5.21,0.0,1.26,28.05,50.39,2695.619999999999,1000.9799999999996,1694.6399999999994,2.449489742783178,2.449489742783178,3.0,1.7320508075688772,1.7320508075688772,2.449489742783178,1.0,4.123105625617661,3.4641016151377544,1.7320508075688772,2.8284271247461903,0.0,1.4142135623730951,1.0,3.0,7.3806,8.748,9.6,0.2,-5.2,-232.8,9.08,-255.94,255.36,3.96,0.091652,6.02,46.2,37.8,-2.4,100.54799999999999,39.2,57.0,59.4,4.98,27.24,24.66,-418.6,2.456666072,7.7,-7.962708,-25.46,-37.738,-85.27,-70.8,-3932.92,40.07,21.39,25.38,46.0,-1123.33,-9.75,0.0,0.0,0.0,0.0,0.0,-55.1248,876.602,0.000172,-1.811,6.888,27.241999999999997,7.801,-429.409,-7.881,0.278,0.0,-89.95,94.62,-661.83,158.98,1747.997,33.1361461698,-2.08,1.986,0.03793,0.4443,-11.89,-5941.0,12.41,8.297,-5957.0,-0.6509999999999999,0.8848,1.496,0.3747,131.2,-803.3,18.18,2.204,-688.1,-6104.998361,-6164.888902000001,3186.54,-1844.73,5031.28,-0.0009,0.0,0.0,0.0,3.437221,3.64051,1.56416,-18.335626,-26.3762238383,15.097000000000001,0.005790999999999999,86
swarm_0_81.pdb,2,0,6,11,11,1,8,2,11,0,4,0,0,2,0,0.49,0.45909090909090916,0.0,0.56,0.4200000000000001,0.41636363636363627,0.5237499999999999,0.47,0.46,0.0,0.48,0.0,0.8225,0.0,0.0,0.0,0.56,2.5200000000000005,4.579999999999999,4.1899999999999995,0.94,5.0600000000000005,0.0,0.96,0.0,3.29,0.0,0.0,28.24,49.74,2346.16,1123.5900000000001,1222.58,1.4142135623730951,3.3166247903554,2.8284271247461903,0.0,1.4142135623730951,3.3166247903554,0.0,2.449489742783178,3.3166247903554,1.0,2.0,0.0,0.0,0.0,1.4142135623730951,3.2202,5.574,6.46,-2.8,-11.6,-146.0,7.62,-143.38,152.96,1.2,0.081318,3.38,30.0,17.4,-11.2,110.096,17.4,26.4,31.6,4.8,27.56,15.62,-246.4,0.17285233,2.8,-7.201407000000001,-20.14,-31.518,-57.77,-53.69,-3033.88,9.2,1.82,-1.95,5.62,-934.65,-163.11,0.0,0.0,0.0,0.0,0.0,-25.8851,119.675,0.00013000000000000002,-2.424,34.343,-52.158,26.703000000000003,-199.454,-3.082,0.7070000000000001,0.0,-163.16,138.77,-66.15,-224.69,3476.7729999999997,45.076367599899996,-3.397,3.319,0.06184,-0.1074,385.5,-4909.0,9.271,-6.7589999999999995,-4540.0,-2.721,2.344,-0.37,3.5380000000000003,88.43,-700.4,8.954,4.923,-616.0,-5351.197341,-5397.98372,3430.35,-1488.72,4919.07,-0.013999999999999999,0.0,0.0,0.0,1.161844,-0.574684,-6.514404,-16.321558,-20.6068806667,10.6651,0.004414,58
swarm_100_0.pdb,0,1,1,11,10,1,8,0,11,0,0,1,0,2,3,0.0,0.4881818181818182,0.54,0.56,0.34,0.391,0.54125,0.0,0.5709090909090909,0.43333333333333335,0.27,0.0,0.0,0.0,0.9,0.54,0.56,0.34,3.91,4.33,0.0,6.28,1.3,0.54,0.0,0.0,0.0,0.9,28.39,49.36,1780.9799999999996,939.3600000000006,841.6299999999992,0.0,3.3166247903554,2.8284271247461903,1.7320508075688772,0.0,3.3166247903554,1.0,1.0,3.1622776601683795,1.0,0.0,0.0,1.0,0.0,1.4142135623730951,3.1772,0.322,4.52,-5.6,-9.8,-111.8,6.64,-113.7,130.2,0.06,0.038658,-0.7,29.4,16.6,-3.0,58.18600000000001,12.2,22.2,23.6,5.12,18.56,6.94,-222.6,1.4193217098,10.0,-8.059463000000001,-11.96,-24.505,-20.28,-13.1,-2675.58,-5.26,-7.07,-50.78,-20.36,-943.61,-377.07,0.0,0.0,0.0,0.0,0.0,-66.1292,-89.0513,0.000305,-31.054000000000002,25.65,-66.232,-12.027000000000001,-200.982,-0.526,3.293,0.0,-102.18,132.14,-181.93,-67.71,951.4939999999999,43.3574485471,-4.251,4.181,1.199,-0.1239,-89.96,-3219.0,12.36,-7.479,-3329.0,-2.92,2.5540000000000003,0.007995,3.091,2.187,-440.0,7.182,2.995,-442.0,-4631.490399,-4689.862964,3850.32,-1151.68,5002.0,-0.1613,0.0,0.0,0.0,-0.04435,-0.817249,0.713156,-6.556833999999999,-17.667775845,9.40742,0.0052450000000000005,49
swarm_100_111.pdb,8,0,3,12,9,2,10,0,9,0,4,2,1,2,1,0.48124999999999996,0.385,0.0,0.49,0.42,0.3422222222222222,0.441,0.0,0.5233333333333333,0.51,0.44499999999999995,0.68,0.7525,0.0,0.735,0.0,0.98,1.26,3.08,4.41,0.0,4.71,0.51,0.8899999999999999,0.68,3.01,0.0,1.47,28.28,48.59,1943.1299999999974,905.8599999999988,1037.2600000000002,2.8284271247461903,3.4641016151377544,3.1622776601683795,1.0,0.0,3.0,0.0,1.7320508075688772,3.0,1.4142135623730951,2.0,0.0,1.4142135623730951,1.0,1.4142135623730951,3.9838,-1.7280000000000002,3.98,-4.6,-14.8,-139.8,5.8,-183.86,179.84,-0.6,-0.006881999999999999,-2.24,43.6,29.0,-2.6,90.684,26.2,38.0,42.4,6.32,13.94,7.68,-314.8,-0.12034307400000001,10.5,-8.456674000000001,-17.33,-31.133000000000003,-64.76,-50.53,-3881.69,-8.63,-2.07,-7.16,22.96,-1263.07,-411.68,0.0,0.0,0.0,0.0,0.0,-60.9961,145.596,0.000304,-23.163,16.872,-28.824,-9.173,-95.509,-4.115,-2.3,0.0,-90.92,125.14,-458.51,21.83,5137.608,13.4415033677,-2.9,2.895,0.8707,-0.2058,-66.32,-4341.0,13.4,-5.279,-4426.0,-1.225,1.13,0.06922,1.421,19.34,-509.0,8.464,-4.08,-502.2,-5415.604231,-5476.11397,3698.79,-1500.14,5198.93,-0.1597,0.0,0.0,0.0,6.396369,3.9556160000000005,-0.560298,-13.660654000000001,-15.3707091235,10.2805,0.006365,63
swarm_100_133.pdb,7,3,4,3,8,1,8,1,6,0,4,4,0,6,3,0.46142857142857147,0.37333333333333335,0.5566666666666666,0.28,0.48,0.36625,0.46749999999999997,0.43,0.46166666666666667,0.3866666666666667,0.47000000000000003,0.0,0.58,0.0,0.7175,1.67,0.28,1.92,2.93,3.7399999999999998,0.43,2.77,1.1600000000000001,2.8200000000000003,0.0,2.32,0.0,2.87,28.5,49.74,1590.5699999999997,500.7399999999998,1089.8500000000004,2.6457513110645907,1.7320508075688772,2.8284271247461903,1.7320508075688772,1.0,2.449489742783178,1.7320508075688772,2.0,2.8284271247461903,1.0,2.0,0.0,2.0,0.0,2.449489742783178,2.9764,-1.71,0.58,-2.6,-16.2,-195.2,4.04,-197.38,182.6,0.38,0.0033280000000000002,0.32,32.4,23.4,-13.2,69.524,15.6,27.2,31.4,0.66,8.3,9.62,-315.8,0.9917178266,4.1,-7.219285,-17.3,-23.98,-60.33,-47.48,-4023.98,21.39,-3.36,-21.18,23.09,-852.61,189.99,0.0,0.0,0.0,0.0,0.0,-61.876000000000005,159.733,0.000484,-7.907,-7.308,-6.452000000000001,-15.860999999999999,-237.78599999999997,-3.253,1.265,0.0,-6.33,72.49,-653.8,168.08,1617.0929999999998,8.81393515859,-2.9160000000000004,2.885,0.3153,-0.3879,-250.3,-3384.0,7.445,0.9985,-3641.0,-1.3880000000000001,1.1,0.4032,2.967,-6.734,-397.3,8.48,2.9139999999999997,-409.6,-4743.204091,-4799.028895,2156.88,-1226.56,3383.45,-0.0537,0.0,0.0,0.0,-1.784572,-1.514701,-3.5756650000000003,-13.994361999999999,-17.7719528756,14.2036,0.006224,58
swarm_100_138.pdb,0,1,7,2,12,3,3,1,8,0,3,0,0,1,0,0.0,0.595,0.64,0.63,0.4185714285714286,0.42083333333333334,0.43,0.56,0.58375,0.0,0.87,0.0,0.6033333333333334,0.0,0.0,0.64,1.89,2.93,5.05,1.29,0.56,4.67,0.0,0.87,0.0,1.81,0.0,0.0,28.35,49.23,1582.7700000000004,612.4200000000001,970.3599999999988,0.0,1.4142135623730951,1.7320508075688772,0.0,1.0,2.8284271247461903,1.0,2.6457513110645907,3.4641016151377544,1.7320508075688772,1.7320508075688772,0.0,0.0,0.0,1.0,-0.7879999999999999,1.102,-0.4,0.2,-13.4,-109.8,0.6,-119.64,95.28,0.9,0.070518,0.26,12.8,7.2,-12.6,66.71600000000001,3.4,7.6,10.4,-3.86,7.48,4.82,-171.8,-0.09348043,-5.7,-7.0708,-15.53,-24.301,-40.44,-37.38,-4151.08,-9.45,-8.31,-24.7,-22.28,-820.71,-384.16,0.0,0.0,0.0,0.0,0.0,-60.3063,-63.3446,0.000426,-18.199,1.1420000000000001,-42.674,-21.324,-48.47,-0.486,0.435,0.0,-87.46,-92.55,-334.98,-73.66,2836.8709999999996,21.936167419,-3.4,3.4760000000000004,0.3865,-2.5269999999999997,-14.55,-2567.0,5.007,-23.95,-2611.0,-1.7719999999999998,1.7369999999999999,-1.3980000000000001,-2.2230000000000003,23.38,-328.9,1.2990000000000002,-5.3839999999999995,-312.2,-4738.782871,-4795.327631,1718.92,-1204.7,2923.62,-0.0949,0.0,0.0,0.0,-0.866188,-4.152808,1.662365,-6.366077,-15.061652663299999,9.862160000000001,0.003073,41
