Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_123.pdb,4,0,1,2,2,2,5,0,5,0,0,0,0,1,1,0.4425,0.54,0.0,0.495,0.57,0.49,0.46799999999999997,0.0,0.6040000000000001,0.34,0.87,0.0,0.0,0.0,0.0,0.0,0.99,0.57,0.98,2.34,0.0,3.0200000000000005,0.34,0.87,0.0,0.0,0.0,0.0,28.96,39.32,2298.4699999999975,1229.4699999999993,1069.0,2.0,1.4142135623730951,2.23606797749979,1.0,0.0,2.23606797749979,0.0,1.0,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,0.0,1.0,1.8624,-6.102,2.28,-19.4,-31.0,-174.8,7.48,-134.74,162.14,-4.6,0.016798,-6.02,25.8,4.0,-31.2,119.32,5.0,20.0,24.6,9.2,18.72,15.06,-283.0,-0.192093612,3.9,-11.964615,-18.48,-31.636999999999997,-50.17,-39.23,-4409.9,-8.62,-1.29,34.31,31.17,-1139.91,-454.14,0.0,0.0,0.0,0.0,0.0,2.24856,-33.0293,0.00018,-2.056,28.252,-70.488,19.147000000000002,-257.45,-1.7169999999999999,3.174,0.0,-193.76,128.85,-23.18,-377.85,1155.296,32.8635655739,-2.832,2.838,0.95,0.1249,378.1,-3977.0,10.41,11.98,-3597.0,-3.1069999999999998,2.083,-1.28,3.617,14.96,-593.8,2.044,5.585,-575.3,-5460.487249,-5521.218140999999,2762.05,-1530.95,4293.0,-0.0703,0.0,0.0,0.0,0.806751,-0.395302,-10.245349000000001,-14.854071,-15.274482396199998,5.411519999999999,0.003565,23
swarm_0_128.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.81,38.98,1527.630000000001,638.9099999999999,888.7299999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2942,-2.96,4.28,-2.8,-7.4,-108.0,2.92,-131.26,117.12,1.26,0.07823200000000001,0.34,27.2,16.4,-8.0,56.912,10.6,20.2,25.4,-1.84,10.52,6.8,-208.2,0.635753546,1.1,-6.4529,-11.18,-22.038,-35.97,-29.95,-2619.13,2.69,-10.53,29.07,21.93,-757.12,-157.91,0.0,0.0,0.0,0.0,0.0,-30.756999999999998,53.1923,0.000395,0.867,9.915,-16.521,9.13,-39.764,-1.811,-1.055,0.0,-106.29,39.19,-197.07,67.51,1245.167,23.361688404299997,-0.9633,0.9951,1.262,1.169,339.5,-3374.0,15.39,-16.73,-3067.0,-0.3839,0.07662000000000001,0.4272,2.7439999999999998,88.16,-435.3,6.4,1.245,-352.3,-4494.694936,-4540.985277000001,1751.12,-1093.19,2844.3,-0.0417,0.0,0.0,0.0,1.282904,-3.1562189999999997,-1.2511780000000001,-8.758236,-11.0584264024,4.611190000000001,0.0,0
swarm_0_82.pdb,2,0,0,3,1,0,2,1,9,0,0,0,0,0,0,0.27,0.20666666666666667,0.0,0.0,0.0,0.42,0.51,0.56,0.4977777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,1.02,0.56,4.4799999999999995,0.0,0.0,0.0,0.0,0.0,0.0,29.27,38.68,2006.3400000000001,1043.289999999999,963.039999999999,1.4142135623730951,1.7320508075688772,1.4142135623730951,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8390000000000001,-3.46,3.7,-11.4,-21.2,-142.0,3.24,-165.62,157.62,-1.64,0.069962,-1.18,35.8,14.4,-19.6,101.686,10.2,21.6,28.6,0.02,12.48,6.9,-278.4,0.22801716460000002,7.1,-4.466714,-14.53,-27.523000000000003,-60.54,-48.63,-4531.6,-8.36,-8.78,89.13,63.25,-924.57,513.54,0.0,0.0,0.0,0.0,0.0,-27.357,968.939,0.00028900000000000003,-11.241,17.698,62.512,12.708,-377.23800000000006,-5.359,1.808,0.0,-61.54,184.58,-449.65,49.43,2362.292,6.268187211830001,-2.887,2.862,0.8088,0.06773,-2.617,-3914.0,11.99,22.91,-3906.0,-2.012,1.73,0.6698,2.9619999999999997,29.07,-585.8,8.634,5.962999999999999,-559.4,-5258.155859,-5346.903403,2736.73,-1471.25,4207.99,-0.2514,0.0,0.0,0.0,-5.221324,-4.071942,-10.261577,-20.578715,-12.3490709147,14.4166,0.0055,18
swarm_101_104.pdb,3,2,2,1,6,1,8,7,3,0,1,0,1,5,1,0.5066666666666667,0.37,0.535,0.55,0.45499999999999996,0.36333333333333334,0.38375,0.5042857142857143,0.5833333333333334,0.83,0.5660000000000001,0.53,0.88,0.0,0.0,1.07,0.55,0.9099999999999999,2.18,3.07,3.5300000000000007,1.75,0.83,2.83,0.53,0.88,0.0,0.0,28.54,39.32,1268.8999999999978,529.3099999999977,739.5900000000001,1.7320508075688772,1.0,2.8284271247461903,1.0,2.6457513110645907,1.7320508075688772,1.4142135623730951,1.4142135623730951,2.449489742783178,1.0,1.0,0.0,0.0,1.0,2.23606797749979,2.0012,-1.858,2.88,-3.2,-11.2,-90.6,2.06,-102.38,95.68,-0.76,0.001466,-2.42,17.8,10.6,-10.6,48.684,9.2,14.4,19.0,-1.96,5.92,3.38,-170.6,-0.041158914399999996,6.4,-8.886273,-14.38,-20.486,-33.81,-28.3,-2849.01,-11.82,-5.3,-32.98,-9.01,-615.27,-164.31,0.0,0.0,0.0,0.0,0.0,-26.6159,13.3443,0.0005549999999999999,0.585,4.237,-32.585,1.564,-129.665,-2.583,-0.11900000000000001,0.0,-42.21,81.08,-247.06,59.45,419.25,-1.0365486666600001,-1.024,1.137,0.9516,-0.8861,139.5,-2635.0,9.892999999999999,-6.006,-2512.0,0.6335,-0.6674,0.2808,0.5421,46.65,-316.5,4.21,-3.6439999999999997,-277.7,-4381.098571,-4433.214499000001,975.53,-1025.45,2000.98,-0.081,0.0,0.0,0.0,-2.604232,-1.528658,-4.1923449999999995,-9.833926,-8.36375339023,4.28103,0.003585,41
swarm_10_176.pdb,2,2,3,3,10,0,7,1,3,0,2,1,0,3,0,0.445,0.47666666666666674,0.55,0.0,0.4033333333333333,0.374,0.47714285714285715,0.44,0.6633333333333333,0.0,0.4333333333333333,0.0,0.75,0.0,0.53,1.1,0.0,1.21,3.74,3.34,0.44,1.99,0.0,1.2999999999999998,0.0,1.5,0.0,0.53,28.6,38.92,2247.9500000000007,1056.8200000000015,1191.1400000000012,1.4142135623730951,1.7320508075688772,2.6457513110645907,0.0,1.0,1.7320508075688772,1.4142135623730951,1.7320508075688772,3.1622776601683795,0.0,1.4142135623730951,0.0,1.0,0.0,1.7320508075688772,5.13,-0.272,10.68,1.2,-15.0,-164.4,6.6,-179.96,167.3,3.8,0.04227,3.84,36.4,23.2,-8.0,103.9,16.4,23.4,30.4,5.74,17.84,9.88,-285.8,0.0519697392,5.8,-8.385844,-15.45,-31.908,-48.69,-35.54,-3834.0,-7.99,3.87,8.39,26.86,-1183.93,-98.11,0.0,0.0,0.0,0.0,0.0,-73.512,730.592,0.000248,-20.894000000000002,18.119,-2.83,-3.0589999999999997,-274.003,-5.513999999999999,-0.307,0.0,-138.25,117.48,-816.49,74.75,1996.908,38.3223914406,-1.83,1.94,0.8757,-1.321,144.9,-4540.0,15.39,-10.43,-4421.0,-0.9945,0.8844,0.03615,0.7088,13.44,-697.3,8.437000000000001,-5.902,-698.2,-5645.996371,-5724.209836,3319.45,-1588.52,4907.97,0.1451,0.0,0.0,0.0,1.561559,-4.774943,-0.690349,-17.066125,-16.296509185399998,15.4334,0.007431999999999999,37
swarm_10_20.pdb,4,1,3,5,2,1,9,2,4,0,2,1,1,1,0,0.46249999999999997,0.4880000000000001,0.52,0.53,0.4033333333333333,0.365,0.4311111111111111,0.45999999999999996,0.755,0.0,0.47,0.68,0.75,0.0,0.74,0.52,0.53,1.21,0.73,3.88,0.9199999999999999,3.02,0.0,0.47,0.68,1.5,0.0,0.74,28.63,39.37,2178.470000000001,1152.3799999999992,1026.0900000000001,2.0,2.23606797749979,3.0,0.0,1.4142135623730951,2.0,1.0,1.7320508075688772,1.4142135623730951,1.0,1.4142135623730951,0.0,1.0,1.0,1.0,1.1742,-4.658,-0.52,-10.8,-25.4,-148.6,0.14,-176.58,154.5,-2.8,0.036756,-4.32,25.2,10.6,-18.6,69.816,9.0,15.4,18.6,3.86,10.78,9.24,-293.4,-0.1144137692,1.6,-5.928828,-12.57,-29.246,-35.37,-35.99,-5425.47,-21.44,-8.43,53.12,49.09,-851.69,620.21,0.0,0.0,0.0,0.0,0.0,9.192639999999999,1847.88,0.000188,-22.69,25.333000000000002,64.012,9.045,-147.907,-2.737,0.07400000000000001,0.0,-47.73,85.86,-521.37,-84.66,-730.821,14.170748207699999,-1.547,1.5819999999999999,0.7844,-0.7088,317.5,-4132.0,7.627000000000001,29.87,-3792.0,-1.213,0.7915,-1.147,1.719,40.32,-652.0,0.2526,7.228,-604.7,-5299.051606,-5380.71214,3244.58,-1553.1,4797.67,0.2856,0.0,0.0,0.0,-6.104671,-15.025085999999998,-8.815180999999999,-17.873489000000003,-16.161907130699998,11.3654,0.007139,36
swarm_102_115.pdb,3,4,6,8,10,8,9,2,15,1,5,0,1,2,0,0.4166666666666667,0.23875000000000005,0.5275,0.70875,0.4033333333333333,0.421,0.4322222222222222,0.52,0.5926666666666666,0.0,0.48,0.83,0.658,0.9,0.0,2.11,5.67,2.42,4.21,3.8899999999999997,1.04,8.889999999999999,0.0,0.96,0.83,3.29,0.9,0.0,28.63,39.74,2476.010000000002,1317.6499999999978,1158.3700000000008,1.7320508075688772,2.8284271247461903,3.0,0.0,1.4142135623730951,3.872983346207417,2.0,2.449489742783178,3.1622776601683795,2.8284271247461903,2.23606797749979,1.0,0.0,1.0,1.4142135623730951,0.3046,-9.834,-0.9,-12.0,-29.8,-199.0,4.62,-179.1,172.0,-1.7,0.0037600000000000003,-5.66,33.8,10.8,-22.0,174.804,0.8,15.0,25.2,0.12,0.84,-2.62,-314.8,-0.4190607222,-2.6,-8.489987,-14.75,-34.376999999999995,-61.02,-62.11,-6516.83,7.64,-4.14,22.8,78.66,-1467.79,-529.73,0.0,0.0,0.0,0.0,0.0,-48.9153,120.664,0.00020299999999999997,-18.099,28.114,-16.637999999999998,8.351,-285.697,-1.768,3.66,0.0,-152.09,126.66,-364.78,-197.88,1599.4720000000002,28.389341541900002,-2.07,1.992,-0.006712,0.7138,599.2,-4642.0,6.125,10.0,-4039.0,-2.335,1.3,-2.872,3.005,64.72,-741.1,-5.732,3.3480000000000003,-667.3,-5720.471542,-5786.187111,4760.72,-1688.83,6449.55,0.0732,0.0,0.0,0.0,-8.028853,-6.2717540000000005,-6.587909,-25.242501999999998,-13.0184461448,18.2621,0.004432,74
swarm_102_119.pdb,6,3,3,9,10,4,10,3,7,2,0,1,5,3,1,0.44333333333333336,0.3566666666666667,0.47000000000000003,0.49250000000000005,0.5,0.3390000000000001,0.47300000000000003,0.47,0.4385714285714286,0.34,0.38999999999999996,0.57,0.0,0.94,0.53,1.4100000000000001,1.9700000000000002,1.5,3.3900000000000006,4.73,1.41,3.0700000000000003,0.34,1.17,2.8499999999999996,0.0,1.88,0.53,28.48,39.19,1731.5999999999985,795.9400000000005,935.659999999998,2.449489742783178,3.0,3.1622776601683795,1.0,1.7320508075688772,2.6457513110645907,1.7320508075688772,1.7320508075688772,3.1622776601683795,2.0,0.0,1.4142135623730951,1.0,2.23606797749979,1.7320508075688772,4.5882,1.854,8.46,-4.8,-1.2,-161.4,12.5,-146.68,181.8,0.64,-0.005742000000000001,-0.4,45.2,28.4,-8.8,112.376,21.8,43.0,55.6,8.2,21.62,9.14,-293.2,0.3693693118,11.9,-6.883191,-16.26,-29.326999999999998,-65.41,-57.3,-4066.82,21.39,19.05,24.38,62.85,-1316.73,-120.99,0.0,0.0,0.0,0.0,0.0,-34.919000000000004,671.513,0.000334,-2.249,10.245999999999999,23.098000000000003,10.307,-320.99,-9.513,-3.415,0.0,-37.93,278.56,-280.58,187.96,1129.938,29.4746456931,-2.28,2.295,0.163,-0.1719,685.9,-4889.0,16.96,-11.95,-4232.0,-0.9505,1.083,1.577,1.232,114.5,-618.5,13.63,-3.2560000000000002,-520.9,-5293.645346,-5357.0838539999995,4191.93,-1455.64,5647.58,0.1948,0.0,0.0,0.0,-2.96014,-4.820087,-2.3070779999999997,-12.232094,-14.945960901500001,9.60083,0.0038060000000000004,67
swarm_102_169.pdb,4,3,7,3,10,2,12,4,8,0,2,1,1,2,1,0.46499999999999997,0.39666666666666667,0.5333333333333333,0.565,0.38428571428571434,0.37200000000000005,0.43583333333333335,0.45999999999999996,0.55125,0.51,0.48,0.52,0.58,0.0,0.74,1.6,1.13,2.6900000000000004,3.7200000000000006,5.23,1.8399999999999999,4.41,0.51,0.96,0.52,1.16,0.0,0.74,29.06,38.68,1786.6200000000026,726.710000000001,1059.8999999999996,2.0,1.7320508075688772,3.4641016151377544,1.0,2.0,2.8284271247461903,1.7320508075688772,2.6457513110645907,3.1622776601683795,1.4142135623730951,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,4.0406,0.046,3.72,-2.4,-7.6,-114.8,5.5,-135.78,133.8,0.02,0.007587999999999999,-1.7,34.2,23.6,-3.4,105.546,21.8,29.2,34.8,0.78,18.88,18.4,-226.0,-0.0671111468,17.9,-10.0222,-17.7,-27.67,-52.63,-43.18,-3323.56,-0.97,1.53,3.98,22.12,-1052.04,-490.13,0.0,0.0,0.0,0.0,0.0,-45.5103,119.094,0.000381,2.6260000000000003,10.373,-29.968000000000004,10.002,-133.938,-5.053999999999999,-2.509,0.0,-120.84,257.39,-85.15,144.92,511.00300000000004,36.7143567884,-0.6489,0.6235,0.1467,0.9382,515.2,-4229.0,13.17,-33.73,-3761.0,0.402,-0.6358,0.030310000000000004,1.841,124.7,-533.1,6.84,-2.969,-418.2,-5174.155734,-5247.242104999999,2115.04,-1339.02,3454.06,0.1137,0.0,0.0,0.0,-5.352652,-14.352453,-6.510492,-19.141712,-16.3220629578,5.37003,0.0036829999999999996,60
swarm_102_177.pdb,7,2,3,8,8,5,5,4,11,0,0,4,3,6,4,0.48142857142857143,0.36874999999999997,0.435,0.504,0.4266666666666667,0.34750000000000003,0.462,0.44,0.5072727272727273,0.6699999999999999,0.4433333333333333,0.5466666666666667,0.0,0.0,0.6775,0.87,2.52,1.28,2.7800000000000002,2.31,1.76,5.58,2.6799999999999997,2.6599999999999997,1.6400000000000001,0.0,0.0,2.71,29.07,39.05,1763.130000000001,802.9000000000015,960.2300000000014,2.6457513110645907,2.8284271247461903,2.23606797749979,2.0,2.0,3.3166247903554,1.4142135623730951,1.7320508075688772,2.8284271247461903,2.23606797749979,0.0,0.0,2.0,1.7320508075688772,2.449489742783178,6.4606,1.382,7.9,-5.4,-3.2,-180.4,9.36,-166.94,189.66,-0.26,0.049448,-1.86,46.8,26.8,-9.6,104.75200000000001,28.8,48.2,57.0,7.9,16.62,8.84,-306.6,0.6002794728,14.1,-11.27538,-16.5,-30.322,-53.06,-39.85,-3574.05,4.14,2.59,11.0,25.31,-1471.85,-725.98,0.0,0.0,0.0,0.0,0.0,-45.7105,13.8803,0.000371,-4.577,13.123,-57.975,2.748,-359.006,-6.981,-0.16,0.0,-168.9,217.42,-234.41,135.97,820.572,35.787047883,-2.7569999999999997,2.5810000000000004,-1.304,-0.4817,504.3,-4760.0,-1.111,-6.017,-4261.0,-0.9079999999999999,0.9556,0.8587,0.9721,162.9,-685.2,13.63,-4.086,-540.0,-5400.702586,-5459.298081,3137.63,-1517.92,4655.54,-0.0021,0.0,0.0,0.0,4.8742589999999995,4.291812,-3.2917379999999996,-17.595996,-13.201620726500002,5.60941,0.003443,70
