Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_113.pdb,4,5,1,7,4,9,11,2,10,2,0,0,3,0,0,0.515,0.38999999999999996,0.532,0.5233333333333334,0.53,0.36750000000000005,0.44090909090909086,0.515,0.528,0.0,0.0,0.6833333333333332,0.0,0.6950000000000001,0.0,2.66,4.710000000000001,0.53,1.4700000000000002,4.85,1.03,5.28,0.0,0.0,2.05,0.0,1.3900000000000001,0.0,30.27,31.62,1894.420000000002,761.130000000001,1133.2799999999988,2.0,2.6457513110645907,3.3166247903554,0.0,1.4142135623730951,3.1622776601683795,2.23606797749979,1.0,2.0,3.0,0.0,1.4142135623730951,0.0,1.7320508075688772,0.0,1.5816,6.082000000000001,4.5,-3.0,-11.2,-122.0,6.3,-107.32,112.98,1.6,0.133614,0.78,28.6,15.0,-10.0,53.64,3.0,13.8,21.0,0.66,11.98,7.56,-196.0,0.973040008,3.3,-8.497103,-23.34,-33.273,-57.33,-37.6,-4186.68,18.73,-1.14,-14.69,5.68,-1470.27,-671.11,0.0,0.0,0.0,0.0,0.0,-20.5519,176.24200000000002,0.000371,-0.529,-1.656,-20.055,-4.191,-295.948,-4.447,1.177,0.0,-102.91,135.29,-333.06,-77.27,-1982.165,18.7333941134,-2.667,2.722,0.3473,0.2156,-249.6,-3521.0,13.71,-31.51,-3816.0,-0.6319,0.021,-1.379,1.537,-11.71,-437.0,1.125,-6.961,-456.8,-5544.716211,-5624.444899,2929.87,-1713.82,4643.69,-0.1438,0.0,0.0,0.0,0.743772,-0.8787940000000001,-3.985349,-17.291375,-19.797406279300002,15.8791,0.0033450000000000003,58
swarm_0_124.pdb,2,4,1,9,4,5,6,1,9,1,1,2,6,1,4,0.405,0.3933333333333333,0.49750000000000005,0.57,0.38,0.43500000000000005,0.4633333333333334,0.44,0.48666666666666664,0.485,0.41,0.6016666666666667,0.58,0.9,0.615,1.9900000000000002,2.8499999999999996,0.38,1.7400000000000002,2.7800000000000002,0.44,4.38,1.94,0.41,3.6100000000000003,0.58,0.9,1.23,30.16,30.95,1746.3799999999974,842.6600000000017,903.7199999999993,1.4142135623730951,3.0,2.449489742783178,2.0,1.0,3.0,2.0,1.0,2.0,2.23606797749979,1.0,1.0,1.4142135623730951,2.449489742783178,1.0,4.7592,-2.022,3.76,-5.4,-7.0,-93.8,6.88,-114.88,133.76,-0.84,0.10165,-3.22,30.6,16.2,-5.2,74.132,20.8,29.8,34.0,5.54,12.0,-1.48,-230.6,-0.8323435779999999,7.3,-6.7174309999999995,-12.79,-24.253,-31.0,-32.94,-3273.52,15.6,-7.54,18.97,22.64,-783.6,281.8,0.0,0.0,0.0,0.0,0.0,-0.5543819999999999,883.443,0.000332,-9.656,7.1579999999999995,25.796999999999997,0.081,-265.579,-1.43,3.616,0.0,-61.42,174.04,-29.2,12.98,-6875.215,18.7237843476,-3.63,3.58,0.547,1.311,-196.7,-2875.0,8.882,18.12,-3063.0,-3.125,3.0660000000000003,0.05534,0.29600000000000004,-21.1,-427.9,4.567,0.16899999999999998,-453.4,-4587.699764,-4633.033968,2723.65,-1269.44,3993.11,-0.0501,0.0,0.0,0.0,-1.415928,-5.509926999999999,-1.555165,-11.347812,-15.812785571600001,10.7681,0.004571,56
swarm_0_166.pdb,6,4,2,7,9,8,16,4,13,2,0,1,1,4,2,0.465,0.35857142857142854,0.44249999999999995,0.545,0.46,0.33666666666666667,0.48812500000000003,0.4775,0.4738461538461538,0.44500000000000006,0.43249999999999994,0.7,0.0,0.6950000000000001,0.53,1.7699999999999998,4.36,0.92,3.0300000000000002,7.8100000000000005,1.91,6.159999999999999,0.8900000000000001,1.7299999999999998,0.7,0.0,1.3900000000000001,0.53,30.35,31.17,2428.7400000000016,1020.630000000001,1408.0999999999985,2.449489742783178,2.6457513110645907,4.0,1.4142135623730951,2.0,3.605551275463989,2.0,1.4142135623730951,3.0,2.8284271247461903,0.0,1.4142135623730951,1.0,1.0,2.0,5.7628,2.98,11.14,-5.0,-9.6,-213.6,14.3,-190.16,212.44,3.44,0.06236799999999999,0.86,57.4,36.6,-8.0,140.344,22.6,40.0,51.4,8.26,21.6,13.02,-358.2,0.3903000124,18.1,-5.488385,-15.44,-31.221,-62.59,-41.81,-4009.95,11.15,16.69,86.31,70.21,-1256.06,149.24,0.0,0.0,0.0,0.0,0.0,64.1689,2229.01,0.000172,13.936,7.225,44.565,25.616999999999997,-253.997,-9.456,-4.63,0.0,-110.63,274.98,-257.01,96.65,-13378.811000000002,41.4367376776,-3.4189999999999996,3.503,0.9201,-1.026,228.7,-4708.0,16.42,-13.37,-4509.0,-1.8359999999999999,2.019,2.244,2.0909999999999997,132.2,-762.0,15.49,1.598,-643.7,-5277.227972,-5360.7049289999995,3905.01,-1637.36,5542.38,0.1359,0.0,0.0,0.0,0.939117,-3.123161,-5.178077,-16.928873,-20.9457359723,21.1795,0.003658,79
swarm_0_189.pdb,1,2,4,10,7,11,15,4,12,3,0,2,2,2,0,0.52,0.34900000000000003,0.56,0.5881818181818183,0.39999999999999997,0.3271428571428571,0.46733333333333343,0.4975,0.5433333333333333,0.0,0.4,0.675,0.0,0.7633333333333333,0.685,1.12,6.470000000000001,1.5999999999999999,2.29,7.010000000000002,1.99,6.5200000000000005,0.0,0.8,1.35,0.0,2.29,1.37,29.95,31.55,2453.230000000003,1174.1100000000006,1279.1100000000006,1.0,3.1622776601683795,3.872983346207417,0.0,2.0,3.4641016151377544,1.4142135623730951,2.0,2.6457513110645907,3.3166247903554,0.0,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.4142135623730951,-1.389,-4.628,-3.9,-12.2,-34.8,-189.8,4.2,-162.52,157.42,-3.56,-0.052913999999999996,-5.86,30.0,7.4,-28.6,129.764,-1.11022302463e-16,11.4,19.2,3.44,10.88,-7.48,-295.0,-1.5127556387999999,4.9,-9.830835,-23.66,-36.894,-75.7,-56.53,-6431.52,-7.64,-7.21,-24.62,-5.84,-1586.5,-630.82,0.0,0.0,0.0,0.0,0.0,-85.012,-50.1405,0.000213,-10.027999999999999,-3.477,-60.403999999999996,-19.546,-290.889,-4.121,1.406,0.0,-288.08,226.2,-397.3,-74.53,-3138.2859999999996,35.6378365957,-2.8289999999999997,2.784,0.7454,0.2647,128.1,-4353.0,11.93,1.3530000000000002,-4236.0,-1.475,0.9545,-0.8466,2.022,53.54,-601.4,2.226,1.3880000000000001,-548.7,-6002.147693999999,-6095.3878159999995,2319.26,-1882.06,4201.33,-0.045,0.0,0.0,0.0,-7.696935000000001,-10.239889,-10.05204,-25.223252,-20.3549890875,12.3431,0.0044670000000000005,75
swarm_0_39.pdb,0,0,1,11,5,17,12,0,11,1,0,1,3,1,1,0.0,0.48090909090909084,0.0,0.5599999999999999,0.38,0.38,0.46416666666666667,0.0,0.36272727272727273,0.58,0.54,0.67,0.0,0.9,0.67,0.0,9.52,0.38,1.9,5.57,0.0,3.9899999999999998,0.58,0.54,2.0100000000000002,0.0,0.9,0.67,29.84,31.45,2376.4399999999987,1136.2999999999993,1240.1399999999994,0.0,3.3166247903554,3.4641016151377544,1.0,0.0,3.3166247903554,0.0,1.0,2.23606797749979,4.123105625617661,0.0,1.0,1.0,1.7320508075688772,1.0,3.0038,1.734,6.5,-5.6,-19.2,-156.8,10.34,-149.08,170.5,1.12,0.19553800000000002,5.4,42.6,20.0,-16.4,170.52200000000002,9.4,25.2,35.8,8.24,26.06,11.66,-289.0,0.3997923164,1.5,-10.527460000000001,-12.73,-31.56,-55.64,-55.35,-3146.99,-1.76,3.96,-2.43,-7.83,-1436.5,-501.93,0.0,0.0,0.0,0.0,0.0,-36.8014,-123.929,0.000188,1.492,24.298000000000002,-80.546,17.736,-205.979,-1.8230000000000002,2.09,0.0,-211.51,161.1,21.64,-211.65,-6412.979,29.196742747800002,-4.225,4.294,1.4380000000000002,0.22399999999999998,-107.8,-3551.0,15.64,-2.0980000000000003,-3677.0,-2.526,2.351,0.5041,1.6680000000000001,31.31,-666.7,8.787,-2.5180000000000002,-646.7,-5352.261490999999,-5408.260643,3871.64,-1565.52,5437.18,0.289,0.0,0.0,0.0,-3.8629260000000003,-5.947759,-3.9755589999999996,-9.641846000000001,-18.7946826674,6.4717,0.004141,64
swarm_0_54.pdb,5,1,1,8,5,6,8,1,11,0,0,1,2,0,0,0.51,0.43374999999999997,0.4,0.5783333333333334,0.5,0.2819999999999999,0.46875,0.53,0.56,0.0,0.0,0.69,0.0,0.0,0.53,0.4,3.47,0.5,1.4099999999999997,3.75,0.53,6.16,0.0,0.0,1.38,0.0,0.0,0.53,29.87,31.47,1563.479999999996,739.619999999999,823.8500000000004,2.23606797749979,2.8284271247461903,2.8284271247461903,0.0,1.0,3.3166247903554,1.0,1.0,2.23606797749979,2.449489742783178,0.0,0.0,1.0,1.4142135623730951,0.0,1.9448,-2.128,4.62,-2.0,-11.4,-106.2,4.72,-101.6,108.54,0.02,0.00043,1.1,28.8,19.4,-5.8,118.704,7.6,15.6,22.8,-2.86,13.06,17.08,-179.6,0.5806379,15.6,-7.826525999999999,-14.1,-25.831,-56.76,-47.0,-2665.89,-9.27,-2.55,-23.59,-13.25,-1099.89,-645.11,0.0,0.0,0.0,0.0,0.0,-45.8652,43.0354,0.000478,-12.956,8.009,-47.114,-9.658999999999999,-180.52900000000002,-3.822,-0.392,0.0,-138.86,82.07,-314.13,-24.85,-10198.37,31.016884050599998,-3.1319999999999997,3.273,1.675,-0.1831,-132.3,-2883.0,17.86,-20.84,-3054.0,-1.181,0.8143,-0.7167,1.089,6.237,-429.2,2.279,-8.258,-433.5,-4755.42046,-4823.255584,2833.27,-1307.41,4140.68,-0.022000000000000002,0.0,0.0,0.0,-3.546168,-6.229286,-5.712907,-7.380433,-11.5262447471,10.715,0.0035310000000000003,49
swarm_0_66.pdb,4,6,1,6,11,7,12,2,11,0,1,0,2,4,0,0.4975,0.3766666666666667,0.5133333333333333,0.5171428571428571,0.54,0.35454545454545455,0.4908333333333334,0.52,0.4454545454545454,0.0,0.43999999999999995,0.53,0.46,0.0,0.0,3.08,3.62,0.54,3.9000000000000004,5.890000000000001,1.04,4.8999999999999995,0.0,1.7599999999999998,1.06,0.46,0.0,0.0,30.71,29.89,1887.4500000000007,768.9099999999999,1118.5499999999993,2.0,2.449489742783178,3.4641016151377544,0.0,1.4142135623730951,3.3166247903554,2.449489742783178,1.0,3.3166247903554,2.6457513110645907,1.0,0.0,0.0,1.4142135623730951,2.0,5.9626,7.364,10.54,2.4,-2.6,-159.8,12.1,-161.36,177.58,5.36,0.120032,7.88,42.8,28.4,-4.4,108.83,24.4,37.8,45.4,8.3,26.48,20.78,-286.8,0.897656421,13.4,-4.570028,-15.72,-29.254,-49.53,-38.28,-2902.33,27.71,11.2,23.69,11.96,-1377.6,-208.07,0.0,0.0,0.0,0.0,0.0,-41.1229,849.7330000000001,0.00041,-2.352,8.773,-10.171,5.403,-259.115,-6.707000000000001,-1.7830000000000001,0.0,-60.21,205.38,-367.86,173.69,-5705.2919999999995,33.48729204,-4.159,4.29,1.389,-1.264,-306.3,-3731.0,22.28,-30.36,-4090.0,-2.795,3.195,1.4380000000000002,-0.01208,4.331,-501.5,10.85,-5.382000000000001,-513.4,-5190.606129,-5258.722412,2276.78,-1500.62,3777.41,-0.0537,0.0,0.0,0.0,7.841383,4.418029,8.010361999999999,-7.055996,-19.6906864268,11.2112,0.00491,67
swarm_0_67.pdb,6,6,2,5,2,8,10,1,12,2,0,1,2,1,2,0.5016666666666666,0.442,0.5199999999999999,0.5175,0.495,0.25,0.475,0.48,0.5333333333333333,0.39,0.41,0.7649999999999999,0.0,0.8400000000000001,0.74,3.1199999999999997,4.14,0.99,0.5,4.75,0.48,6.4,0.78,0.41,1.5299999999999998,0.0,1.6800000000000002,0.74,30.71,31.52,2071.84,1003.130000000001,1068.7000000000007,2.449489742783178,2.23606797749979,3.1622776601683795,1.4142135623730951,1.0,3.4641016151377544,2.449489742783178,1.4142135623730951,1.4142135623730951,2.8284271247461903,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,-0.5412,-3.94,-3.68,-14.4,-32.8,-182.2,5.04,-141.46,145.44,-4.32,0.042498,-8.74,34.6,9.0,-26.4,185.752,-3.2,9.8,18.6,5.68,2.94,6.1,-274.8,-0.0058731619999999995,5.3,-9.250648,-16.48,-33.297,-52.21,-50.8,-4593.17,-7.8,-17.26,-39.29,0.93,-1479.19,-517.08,0.0,0.0,0.0,0.0,0.0,-77.1361,39.4871,0.00023700000000000001,-17.117,13.582,-34.496,-6.984,-98.60600000000001,-1.15,0.723,0.0,-213.04,164.93,-507.99,-62.83,-5701.757,41.4003441753,-3.09,3.2,1.733,0.8106,-233.8,-3683.0,23.37,-20.74,-3961.0,-2.526,1.492,-2.276,2.84,-11.97,-535.5,-2.0380000000000003,-2.8710000000000004,-548.3,-5492.372789,-5572.0789,3797.54,-1718.78,5516.31,-0.0886,0.0,0.0,0.0,-3.7005800000000004,-4.95977,-11.72607,-19.550155,-21.0193911904,10.9232,0.0041,60
swarm_0_86.pdb,6,1,3,8,8,9,9,1,14,0,1,1,3,3,3,0.45999999999999996,0.34249999999999997,0.53,0.5833333333333334,0.5233333333333333,0.31625000000000003,0.4244444444444444,0.56,0.48571428571428577,0.3866666666666667,0.4566666666666666,0.6266666666666666,0.46,0.0,0.9,0.53,5.25,1.5699999999999998,2.5300000000000002,3.8199999999999994,0.56,6.800000000000001,1.1600000000000001,1.3699999999999999,1.88,0.46,0.0,0.9,30.08,31.17,1995.880000000001,943.2900000000009,1052.58,2.449489742783178,2.8284271247461903,3.0,1.7320508075688772,1.0,3.7416573867739413,1.0,1.7320508075688772,2.8284271247461903,3.0,1.0,0.0,1.0,1.7320508075688772,1.7320508075688772,3.4688,2.222,1.08,-7.2,-13.2,-139.2,6.84,-134.96,143.34,-2.24,0.00997,-6.14,43.4,24.8,-6.6,162.518,18.8,32.2,38.2,5.98,19.66,10.46,-249.6,-0.419901242,15.4,-9.792596000000001,-12.42,-27.604,-53.22,-48.43,-3369.98,-19.07,-11.3,22.56,37.63,-1168.43,-482.39,0.0,0.0,0.0,0.0,0.0,-32.1102,243.322,0.00032599999999999996,-8.156,23.963,-19.68,13.839,-171.324,-6.582999999999999,-3.3280000000000003,0.0,-118.05,160.43,-303.91,36.92,-1372.183,25.9832157658,-4.311,4.4430000000000005,0.8772,-0.0051649999999999995,-554.5,-2993.0,16.52,-8.132,-3572.0,-2.781,2.445,-0.1075,1.2590000000000001,-28.33,-511.0,4.203,-3.568,-547.1,-5004.382157,-5063.462424,3714.06,-1400.19,5114.26,-0.1375,0.0,0.0,0.0,-3.796446,-8.00078,-5.638326999999999,-12.243221,-20.509167705899998,11.3784,0.003329,70
swarm_0_88.pdb,2,3,1,13,7,6,8,2,11,0,1,1,4,3,5,0.525,0.48000000000000004,0.5299999999999999,0.61,0.42,0.4128571428571428,0.49,0.52,0.5345454545454544,0.48999999999999994,0.5866666666666667,0.5525,0.58,0.0,0.53,1.5899999999999999,3.6599999999999997,0.42,2.8899999999999997,3.92,1.04,5.879999999999999,2.4499999999999997,1.76,2.21,0.58,0.0,0.53,30.03,31.64,2101.5699999999997,972.1599999999999,1129.3999999999996,1.4142135623730951,3.605551275463989,2.8284271247461903,2.23606797749979,1.4142135623730951,3.3166247903554,1.7320508075688772,1.0,2.6457513110645907,2.449489742783178,1.0,0.0,1.0,2.0,1.7320508075688772,3.1454,-2.238,1.4,-6.4,-16.2,-141.6,3.44,-169.38,169.32,-1.06,0.099988,1.14,31.8,19.6,-7.0,68.074,11.6,27.0,29.8,1.46,-0.06,-5.18,-305.8,0.1268129564,-0.5,-9.406976,-15.45,-31.919,-56.44,-43.01,-4555.87,-8.9,2.8,16.17,21.89,-1304.89,-137.74,0.0,0.0,0.0,0.0,0.0,-26.3597,720.9689999999999,0.00023199999999999997,-6.751,17.926,-31.552,8.019,-384.032,0.9109999999999999,8.208,0.0,-169.07,147.81,-33.6,-79.34,-8200.751,31.2198489429,-4.756,4.773,1.626,0.5855,-186.7,-3727.0,20.04,7.1579999999999995,-3927.0,-2.71,2.591,0.2742,0.8302,0.8113,-573.7,7.331,-1.78,-582.0,-5365.439886,-5422.183353,3094.95,-1657.21,4752.16,-0.2169,0.0,0.0,0.0,-0.48248800000000003,0.403877,1.354933,-9.694533,-16.9170820923,15.469000000000001,0.006448000000000001,67
