Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_134.pdb,5,0,4,0,1,0,5,3,3,0,1,0,0,1,1,0.372,0.0,0.0,0.0,0.35250000000000004,0.37,0.502,0.4566666666666667,0.5633333333333334,0.55,0.47,0.0,0.62,0.0,0.0,0.0,0.0,1.4100000000000001,0.37,2.51,1.37,1.69,0.55,0.47,0.0,0.62,0.0,0.0,29.37,38.94,779.9199999999983,481.28000000000065,298.64999999999964,2.23606797749979,0.0,2.23606797749979,1.0,1.7320508075688772,1.7320508075688772,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.6762,3.92,5.0,2.0,-6.6,-98.0,0.74,-89.58,77.0,2.5,0.041872,2.22,13.6,10.6,-6.0,3.218,-1.8,8.0,11.8,-0.74,-3.64,-3.94,-146.6,0.0621982376,-4.9,-7.184375999999999,-10.38,-15.0801,-20.99,-19.77,-1811.55,-8.43,-2.25,5.33,8.63,-540.66,-180.18,0.0,0.0,0.0,0.0,0.0,-6.884060000000001,-10.8872,0.000858,3.887,10.176,-25.366999999999997,11.526,-126.90700000000001,-4.004,-1.5930000000000002,0.0,-51.01,14.5,-154.95,-35.29,-7638.5419999999995,7.62942105829,-0.7314,0.6289,-1.238,-0.04312,220.2,-1843.0,0.4447,-9.234,-1633.0,-0.7954,0.4141,-0.3492,1.828,44.76,-258.6,3.049,1.587,-215.3,-2497.793566,-2529.945418,532.35,-798.47,1330.82,-0.0756,0.0,0.0,0.0,-2.4761599999999997,-4.31657,-2.060724,-6.7604169999999995,-4.08270905808,6.2278,0.0105,24
swarm_0_14.pdb,3,0,4,1,1,0,1,4,2,0,2,0,0,2,0,0.3,0.54,0.0,0.0,0.4325,0.47,0.54,0.45249999999999996,0.505,0.0,0.5700000000000001,0.0,0.685,0.0,0.0,0.0,0.0,1.73,0.47,0.54,1.8099999999999998,1.01,0.0,1.1400000000000001,0.0,1.37,0.0,0.0,29.33,39.33,669.0200000000004,376.65999999999985,292.3600000000006,1.7320508075688772,1.0,1.0,0.0,2.0,1.4142135623730951,0.0,2.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.4142135623730951,-0.1042,-3.83,-0.16,-3.8,-5.0,-57.0,-0.58,-45.14,40.24,-0.56,0.019406,-1.84,4.6,2.2,-7.8,11.962,-3.2,3.6,6.2,-3.24,1.3,-14.82,-75.8,-0.27557587440000003,-1.1,-6.440297,-8.27,-12.1527,-17.96,-16.62,-1603.12,6.42,-1.6,-32.5,-2.31,-407.05,-247.3,0.0,0.0,0.0,0.0,0.0,-10.1116,14.7867,0.001068,2.52,9.177,-26.114,9.086,-98.927,-4.206,-2.326,0.0,-33.03,14.47,-81.3,49.72,-6738.049,8.98604235798,-1.723,1.599,-0.4754,0.5117,15.52,-1563.0,1.702,1.686,-1548.0,-1.65,1.706,0.9062,1.492,19.22,-147.0,2.5469999999999997,0.43,-129.9,-2176.684989,-2199.1844530000003,520.07,-652.49,1172.55,-0.1,0.0,0.0,0.0,-0.047189,-0.426832,-0.730541,-5.718457,-5.23163015509,6.12245,0.00695,20
swarm_0_59.pdb,6,0,5,4,1,2,2,1,3,0,3,1,0,4,1,0.565,0.62,0.0,0.665,0.4,0.47,0.5,0.44,0.52,0.55,0.51,0.0,0.6233333333333334,0.0,0.74,0.0,1.33,2.0,0.47,1.0,0.44,1.56,0.55,2.04,0.0,1.87,0.0,0.74,29.24,38.87,884.9000000000015,380.97000000000116,503.9300000000021,2.449489742783178,2.0,1.4142135623730951,1.0,1.0,1.7320508075688772,0.0,2.23606797749979,1.0,1.4142135623730951,1.7320508075688772,0.0,1.0,0.0,2.0,0.5872,0.838,1.0,2.2,-7.2,-81.6,-2.16,-89.4,71.82,1.38,0.127546,1.84,0.8,-1.6,-12.6,18.396,-1.0,8.2,10.8,-7.76,2.2,3.14,-134.4,0.41888507,-12.0,-6.427931,-9.16,-15.704,-36.9,-31.85,-1878.78,-19.73,-4.1,-50.96,-5.03,-485.6,-291.23,0.0,0.0,0.0,0.0,0.0,-32.6123,13.9049,0.000782,-3.236,-1.5090000000000001,-30.66,-7.811,-207.91299999999998,1.0190000000000001,4.968999999999999,0.0,-43.99,-63.43,-115.22,46.13,-6450.02,-11.7131267395,-2.0069999999999997,1.844,-1.067,0.298,-74.72,-1654.0,0.8191,5.644,-1724.0,-1.952,1.8869999999999998,-0.2485,-0.3496,13.99,-215.6,0.5501,-0.741,-202.9,-2554.421707,-2595.544535,812.57,-839.73,1652.3,0.0278,0.0,0.0,0.0,-0.282859,-2.992213,-1.2233530000000001,-7.469822,-7.89988817329,6.490469999999999,0.00903,33
swarm_100_109.pdb,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,29.24,39.87,970.1999999999971,510.0499999999993,460.14999999999964,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.1804,0.9640000000000001,1.9,-1.2,-9.4,-81.4,-0.08,-88.76,76.46,0.76,0.003728,1.66,11.2,5.0,-9.6,61.14,-2.4,7.0,13.0,-0.4,1.24,1.14,-148.0,0.27889796,-8.7,-8.57475,-10.51,-16.359,-29.28,-30.57,-1801.86,-10.65,-0.91,-5.96,-1.66,-598.12,-391.56,0.0,0.0,0.0,0.0,0.0,-24.8901,-75.7003,0.0006889999999999999,-3.392,10.526,-34.192,3.715,-116.56700000000001,-3.3339999999999996,-1.119,0.0,-84.65,26.2,-150.98,-27.76,-683.704,3.4021810144200004,-0.8383,0.7525,-0.3167,1.1320000000000001,256.2,-2021.0,3.8739999999999997,0.5088,-1768.0,-0.5579999999999999,0.002311,-0.8798,2.2640000000000002,46.58,-294.8,2.0180000000000002,0.636,-249.6,-2633.198844,-2660.643035,684.46,-870.5,1554.95,-0.0284,0.0,0.0,0.0,-3.616097,-4.217224,-2.457561,-11.305609,-8.66177416067,6.13207,0.0075,2
swarm_100_49.pdb,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,29.28,38.49,1235.4999999999964,671.3199999999997,564.1899999999987,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6176,-2.042,-0.86,-1.0,-14.0,-79.4,-1.38,-104.54,89.92,-0.26,-0.005522,-0.42,7.2,1.8,-13.4,25.308000000000003,6.2,12.4,13.2,0.78,-1.88,7.22,-178.0,-1.0450215040000002,-17.8,-7.440727000000001,-9.36,-14.4017,-30.43,-28.55,-1753.2,-22.21,-11.49,14.96,10.13,-559.23,-273.36,0.0,0.0,0.0,0.0,0.0,-10.7311,71.7671,0.0005740000000000001,13.197000000000001,9.017999999999999,-33.69,18.846,-142.56799999999998,-1.032,1.676,0.0,-51.48,44.44,-116.61,-100.23,-7159.91,0.595800356939,-2.6519999999999997,2.531,0.2739,1.953,-14.34,-1871.0,6.768,14.3,-1878.0,-2.114,2.134,1.4469999999999998,2.1180000000000003,27.82,-361.5,8.725,1.101,-341.3,-2450.258553,-2478.5973719999997,231.71,-752.28,983.98,0.0351,0.0,0.0,0.0,-1.207994,-0.878654,-1.6578529999999998,-3.953642,-9.9959997543,6.50054,0.0075,2
swarm_101_106.pdb,1,0,6,1,3,0,6,1,2,0,4,0,0,6,2,0.44,0.44,0.0,0.0,0.42500000000000004,0.45999999999999996,0.49666666666666665,0.56,0.505,0.55,0.4583333333333333,0.0,0.6225,0.0,0.0,0.0,0.0,2.5500000000000003,1.38,2.98,0.56,1.01,1.1,2.75,0.0,2.49,0.0,0.0,29.28,39.14,885.3000000000029,486.09000000000015,399.21999999999935,1.0,1.0,2.449489742783178,1.4142135623730951,1.0,1.4142135623730951,0.0,2.449489742783178,1.7320508075688772,0.0,2.0,0.0,0.0,0.0,2.449489742783178,0.1026,-1.048,0.94,-2.2,-4.8,-54.4,-0.18,-59.34,53.4,0.7,-0.005598,2.02,1.8,1.0,-6.0,-0.11,2.0,5.6,4.0,-0.52,0.46,7.1,-98.6,0.77547538,-9.6,-5.484305,-8.41,-15.7661,-31.58,-25.62,-2487.14,-9.04,-5.32,20.23,19.69,-450.83,91.61,0.0,0.0,0.0,0.0,0.0,-13.9238,184.18099999999998,0.000926,-4.542,9.937000000000001,-16.865,3.7089999999999996,-195.102,-2.003,1.704,0.0,-66.18,-4.48,-210.54,62.69,959.194,16.7486580121,-1.4369999999999998,1.3980000000000001,0.3907,0.07194,181.3,-2034.0,6.322,-8.948,-1868.0,-1.129,0.7955,-0.5105,1.591,38.86,-232.1,1.768,0.606,-194.4,-2552.920873,-2592.4669670000003,1458.42,-848.34,2306.77,-0.1033,0.0,0.0,0.0,3.983532,6.799663000000001,-1.985473,-7.875939,-4.79263516616,5.63777,0.011438,32
swarm_101_122.pdb,1,0,3,9,4,0,7,0,2,0,4,0,0,4,0,0.53,0.5677777777777778,0.0,0.0,0.42,0.42500000000000004,0.5471428571428572,0.0,0.64,0.0,0.5549999999999999,0.0,0.675,0.0,0.0,0.0,0.0,1.26,1.7000000000000002,3.83,0.0,1.28,0.0,2.2199999999999998,0.0,2.7,0.0,0.0,29.28,38.82,1158.1899999999987,636.3000000000011,521.8999999999996,1.0,3.0,2.6457513110645907,0.0,0.0,1.4142135623730951,0.0,1.7320508075688772,2.0,0.0,2.0,0.0,0.0,0.0,2.0,-1.1726,0.612,-1.3,-2.2,-15.6,-74.4,-1.22,-80.4,61.94,-0.88,0.08225,-3.44,4.6,-0.6,-15.0,17.832,-4.4,1.0,3.6,-1.14,7.82,-0.96,-133.4,-1.309238464,-7.9,-6.441731,-13.07,-19.5844,-36.89,-35.79,-2750.61,-6.7,0.11,-36.55,0.4,-565.97,-107.38,0.0,0.0,0.0,0.0,0.0,-38.3455,1.60287,0.000546,-4.05,14.880999999999998,-24.822,8.347999999999999,-173.188,3.013,6.303,0.0,-120.27,-20.7,-212.89,-43.01,1597.299,-0.20763079077,-1.876,1.825,-0.5316,-0.9718,395.9,-2577.0,3.498,-1.161,-2186.0,-2.265,1.787,-2.315,0.7716,104.1,-383.8,-2.81,1.411,-275.5,-2982.3828329999997,-3024.183924,1045.0,-1036.6,2081.59,-0.0585,0.0,0.0,0.0,-1.472983,-5.446984,-2.3828240000000003,-12.704058,-5.54449917949,6.36848,0.011441,34
swarm_101_141.pdb,4,1,3,1,5,2,6,2,8,0,0,0,0,1,1,0.4725,0.37,0.49,0.65,0.4366666666666667,0.344,0.5,0.515,0.43250000000000005,0.34,0.47,0.0,0.0,0.0,0.0,0.49,1.3,1.31,1.72,3.0,1.03,3.4600000000000004,0.34,0.47,0.0,0.0,0.0,0.0,29.1,39.13,1241.4099999999999,650.8500000000004,590.5600000000013,2.0,1.0,2.449489742783178,1.0,1.4142135623730951,2.8284271247461903,1.0,1.7320508075688772,2.23606797749979,1.4142135623730951,0.0,0.0,0.0,0.0,1.0,2.3294,0.466,4.1,-2.8,-10.2,-92.4,6.36,-81.78,94.26,1.0,0.054772,0.88,24.4,14.0,-7.0,46.476000000000006,6.8,15.2,20.0,1.94,6.02,10.48,-164.0,-0.06983929,9.1,-6.711005,-7.83,-14.7235,-32.3,-27.35,-2082.12,12.04,5.48,9.78,23.89,-557.56,-111.28,0.0,0.0,0.0,0.0,0.0,-39.1039,-42.0008,0.00046699999999999997,2.9930000000000003,14.924000000000001,-38.777,14.039000000000001,-123.93799999999999,-2.0709999999999997,0.284,0.0,-125.41,183.52,-80.51,-40.83,-459.788,23.779155518899998,-1.893,1.976,1.5090000000000001,-1.1079999999999999,111.7,-1893.0,9.745,-2.012,-1793.0,-1.2209999999999999,1.032,-0.6946,0.6297,49.21,-337.1,1.79,-0.11800000000000001,-289.8,-2413.3951309999998,-2449.49641,1546.14,-752.55,2298.7,0.1406,0.0,0.0,0.0,0.426864,3.2859230000000004,-3.444177,-9.686009,-5.02571021172,5.86445,0.007559000000000001,34
swarm_101_7.pdb,3,1,3,2,8,0,1,4,6,0,3,0,0,6,2,0.37000000000000005,0.41500000000000004,0.45,0.0,0.43333333333333335,0.36375,0.34,0.49,0.5733333333333333,0.55,0.5033333333333333,0.0,0.6366666666666667,0.0,0.0,0.45,0.0,1.3,2.91,0.34,1.96,3.4399999999999995,1.1,3.02,0.0,1.9100000000000001,0.0,0.0,29.24,39.2,1249.0699999999997,661.2799999999988,587.7999999999993,1.7320508075688772,1.4142135623730951,1.0,1.4142135623730951,2.0,2.449489742783178,1.0,1.7320508075688772,2.8284271247461903,0.0,1.7320508075688772,0.0,0.0,0.0,2.449489742783178,0.1294,0.708,1.76,-1.4,-13.0,-99.0,-0.46,-97.32,81.3,1.64,0.0045,1.9,7.0,2.6,-12.4,31.208000000000002,-5.6,2.8,5.6,-3.78,-0.08,7.68,-160.8,0.31791778,-11.3,-5.365957,-13.46,-19.1887,-40.34,-40.57,-2911.2,-22.47,-10.57,-26.62,8.36,-577.85,34.24,0.0,0.0,0.0,0.0,0.0,-11.1998,311.10400000000004,0.000499,11.187999999999999,11.97,-14.245,21.734,-246.09799999999998,-4.092,0.583,0.0,-99.02,-74.12,-202.46,-78.61,-1541.965,11.8345722621,-0.5686,0.6071,0.4755,-0.3793,338.1,-2449.0,11.42,-10.14,-2132.0,-1.571,0.9731,-1.249,1.564,54.45,-322.7,0.2458,0.192,-268.3,-2990.2746469999997,-3043.532892,864.29,-1050.77,1915.06,-0.1064,0.0,0.0,0.0,-2.5314080000000003,-2.853105,1.054041,-6.693819,-9.67629294417,10.7122,0.01341,39
swarm_102_136.pdb,1,0,2,9,7,1,6,1,4,0,1,0,0,1,0,0.18,0.4577777777777778,0.0,0.32,0.445,0.40142857142857136,0.5,0.44,0.5625,0.0,0.67,0.0,0.46,0.0,0.0,0.0,0.32,0.89,2.8099999999999996,3.0,0.44,2.25,0.0,0.67,0.0,0.46,0.0,0.0,28.9,38.87,1360.1499999999978,745.6200000000008,614.5400000000009,1.0,3.0,2.449489742783178,0.0,1.0,2.0,0.0,1.4142135623730951,2.6457513110645907,1.0,1.0,0.0,0.0,0.0,1.0,0.1198,-4.6739999999999995,0.52,-3.8,-13.0,-110.4,1.84,-98.72,96.38,0.08,0.186842,-1.7,5.6,-1.4,-17.6,65.524,-0.8,9.2,12.8,-3.02,0.32,-1.06,-179.0,0.431282826,-7.4,-7.842795,-8.4,-15.3441,-41.93,-40.08,-2422.55,11.32,12.01,13.04,14.28,-698.22,-126.94,0.0,0.0,0.0,0.0,0.0,-15.7942,38.485,0.000392,16.34,13.606,-29.226,27.023000000000003,-209.577,-0.596,3.386,0.0,-110.16,2.03,-60.67,-169.59,997.382,8.730517171319999,-1.479,1.435,-0.1843,-0.4264,65.66,-2303.0,3.352,18.69,-2222.0,-0.4009,0.6197,1.034,0.1022,13.71,-353.0,6.579,-1.932,-347.8,-2479.2976940000003,-2524.910254,1660.29,-832.2,2492.49,0.0352,0.0,0.0,0.0,3.553975,3.034335,-2.085066,-13.074046000000001,-11.0875780396,15.5682,0.004818,33
