Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_113.pdb,3,2,2,10,3,6,4,2,1,1,0,1,2,4,0,0.48666666666666664,0.36899999999999994,0.495,0.5116666666666667,0.425,0.4333333333333333,0.4375,0.49,0.75,0.0,0.27,0.6799999999999999,0.0,0.9,0.94,0.99,3.0700000000000003,0.85,1.2999999999999998,1.75,0.98,0.75,0.0,1.08,1.3599999999999999,0.0,0.9,0.94,27.45,41.18,1271.9399999999987,568.2599999999993,703.6899999999996,1.7320508075688772,3.1622776601683795,2.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.7320508075688772,2.449489742783178,0.0,1.0,1.0,1.4142135623730951,2.0,1.6840000000000002,2.184,2.26,-1.2,-3.2,-76.4,3.32,-83.28,81.48,1.26,-0.02175,-1.0,13.4,9.6,-1.6,30.552,7.0,13.2,14.2,7.18,0.6,5.42,-144.6,0.09874486,4.5,-6.3647480000000005,-8.67,-16.259,-27.84,-19.59,-2517.06,8.08,4.37,8.02,22.13,-693.44,77.86,0.0,0.0,0.0,0.0,0.0,-26.046999999999997,564.106,0.000573,0.03,1.537,17.031,3.2689999999999997,-167.748,-4.167,-0.98,0.0,-52.76,105.08,-570.88,132.14,115.935,25.791814828899998,-3.0260000000000002,3.0380000000000003,1.17,-0.09229,-26.89,-1991.0,5.982,20.67,-2004.0,-2.333,2.2230000000000003,0.6204,1.6469999999999998,-16.6,-268.4,5.122999999999999,4.12,-286.0,-3136.9420149999996,-3166.651346,1692.13,-846.54,2538.67,-0.0759,0.0,0.0,0.0,0.882475,5.5476730000000005,1.332247,-5.035779,-10.1482128069,1.88885,0.006951000000000001,41
swarm_0_152.pdb,3,2,7,6,2,2,7,4,5,0,4,1,0,4,1,0.4666666666666666,0.39166666666666666,0.5700000000000001,0.78,0.4114285714285714,0.405,0.42571428571428577,0.4825,0.5700000000000001,0.34,0.27,0.0,0.58,0.0,0.53,1.1400000000000001,1.56,2.88,0.81,2.9800000000000004,1.93,2.85,0.34,1.08,0.0,2.32,0.0,0.53,27.86,40.8,1249.0300000000007,619.1999999999998,629.8299999999999,1.7320508075688772,2.449489742783178,2.6457513110645907,1.0,2.0,2.23606797749979,1.4142135623730951,2.6457513110645907,1.4142135623730951,1.4142135623730951,2.0,0.0,1.0,0.0,2.0,1.4912,-9.628,-1.72,-8.2,-8.2,-124.2,4.22,-113.36,118.08,-2.52,-0.006481999999999999,-3.44,25.8,17.0,-4.6,26.748,10.6,17.2,20.2,1.16,1.76,8.46,-201.8,0.9746403408,9.2,-5.308661,-7.64,-16.859,-34.1,-34.07,-2887.97,12.6,-3.41,41.75,35.27,-648.26,78.29,0.0,0.0,0.0,0.0,0.0,-31.7202,283.77299999999997,0.000521,-6.997000000000001,13.495999999999999,36.696999999999996,10.168,22.491,-3.51,-3.938,0.0,-79.08,110.56,-349.89,86.08,-4205.282999999999,24.7767476889,-2.8960000000000004,2.917,0.7679,-0.006442,222.7,-2655.0,9.193999999999999,-5.444,-2447.0,-2.081,1.886,0.04165,2.154,43.12,-364.3,4.377,-0.843,-326.4,-3211.1607510000003,-3238.1737359999997,2717.73,-836.92,3554.65,0.2468,0.0,0.0,0.0,2.247166,5.294053,1.921576,-8.473625,-9.35044654727,3.4583199999999996,0.0035210000000000003,48
swarm_0_35.pdb,3,1,3,5,1,0,7,7,4,0,0,1,0,3,0,0.47,0.4,0.61,0.0,0.42333333333333334,0.39,0.3828571428571429,0.56,0.3175,0.0,0.27,0.0,0.0,0.0,0.53,0.61,0.0,1.27,0.39,2.68,3.9200000000000004,1.27,0.0,0.81,0.0,0.0,0.0,0.53,26.73,41.09,1067.7700000000004,451.10000000000036,616.6700000000001,1.7320508075688772,2.23606797749979,2.6457513110645907,0.0,2.6457513110645907,2.0,1.0,1.7320508075688772,1.0,0.0,0.0,0.0,1.0,0.0,1.7320508075688772,1.5158,-0.9940000000000001,2.62,-5.8,-0.8,-89.2,7.48,-60.92,81.74,-0.92,-0.03972,-2.38,30.2,19.2,-1.2,23.954,11.0,16.8,22.2,6.62,4.62,12.38,-126.6,1.667458724,19.5,-4.813473,-7.95,-15.963,-23.03,-26.84,-2790.38,21.4,15.3,9.25,35.64,-689.3,-202.93,0.0,0.0,0.0,0.0,0.0,-27.6885,248.565,0.000559,-2.108,6.167000000000001,17.835,5.8420000000000005,-78.475,-7.007000000000001,-5.516,0.0,-33.02,106.94,-395.94,72.15,1970.247,36.2314848304,-2.477,2.42,0.2591,0.6901,281.7,-2409.0,5.312,-13.55,-2147.0,-2.61,2.459,-0.1336,2.423,34.6,-304.8,5.267,1.469,-274.0,-3116.730678,-3153.690735,1808.9,-799.23,2608.14,0.1031,0.0,0.0,0.0,4.187954,6.026705000000001,2.391814,-3.363232,-12.0544716683,2.80947,0.007456999999999999,35
swarm_0_72.pdb,4,2,7,0,2,1,7,4,3,1,1,2,1,4,1,0.525,0.0,0.495,0.55,0.4442857142857143,0.27,0.45285714285714285,0.52,0.6,0.34,0.4075,0.88,0.65,0.9,0.57,0.99,0.55,3.11,0.54,3.17,2.08,1.8,0.34,1.63,0.88,0.65,0.9,1.14,26.47,41.67,1064.5900000000001,507.72000000000025,556.8600000000006,2.0,0.0,2.6457513110645907,1.0,2.0,1.7320508075688772,1.4142135623730951,2.6457513110645907,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.0,2.0,2.5952,-5.47,2.0,-6.0,-6.6,-86.4,5.5,-80.92,93.16,-1.96,0.031063999999999998,-4.9,29.4,17.4,-2.6,27.71,15.4,22.2,26.8,4.06,7.78,0.9,-156.4,-0.43907538020000003,6.2,-7.5469029999999995,-7.69,-15.902999999999999,-27.94,-31.18,-1887.0,-19.85,-1.46,14.79,29.02,-555.1,216.35,0.0,0.0,0.0,0.0,0.0,-21.13,440.163,0.0007650000000000001,-7.645,3.531,19.166,-2.197,-46.391000000000005,-1.913,-1.032,0.0,10.69,113.5,-428.11,87.39,37.659,16.0062518837,-0.3905,0.3879,-0.02363,-0.18899999999999997,645.7,-2657.0,3.781,-1.798,-2016.0,-0.4939,0.311,-0.2362,1.246,116.4,-367.0,2.2159999999999997,0.2381,-252.6,-3090.087284,-3114.545555,1581.06,-797.84,2378.9,-0.0371,0.0,0.0,0.0,-1.391782,-0.384855,-1.087684,-7.475326,-9.053434084700001,2.5043599999999997,0.00415,40
swarm_100_120.pdb,0,0,0,6,4,5,0,0,1,3,1,4,4,2,1,0.0,0.47,0.0,0.662,0.0,0.305,0.0,0.0,0.25,0.51,0.475,0.5325,0.58,0.7633333333333333,0.675,0.0,3.31,0.0,1.22,0.0,0.0,0.25,0.51,0.95,2.13,0.58,2.29,2.7,26.83,41.46,1153.5599999999995,458.15999999999985,695.3999999999996,0.0,2.449489742783178,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.23606797749979,1.0,1.7320508075688772,2.0,2.0,1.4142135623730951,-0.1796,0.034,0.2,0.4,-8.0,-52.4,-1.34,-78.78,62.38,1.54,0.017816,0.16,6.0,4.0,-2.8,15.638,1.6,7.0,7.2,-1.7,-4.98,0.1,-122.6,0.43015811200000004,-13.7,-7.595768,-8.72,-17.025,-30.6,-20.25,-3313.81,3.81,-1.12,-44.46,-14.87,-721.76,-489.69,0.0,0.0,0.0,0.0,0.0,-33.2913,-65.9039,0.000648,0.423,-10.587,-36.256,-13.79,-368.971,0.114,7.124,0.0,-50.5,-7.75,-218.03,-49.92,-8364.794,-8.98475994635,-2.102,2.194,1.9569999999999999,-0.7211,14.93,-1711.0,9.166,16.23,-1689.0,-0.9763,1.19,0.8418,-1.7309999999999999,29.56,-267.3,2.516,0.6581,-239.6,-3300.617749,-3323.806703,736.08,-812.19,1548.27,-0.0843,0.0,0.0,0.0,0.28880900000000004,1.321712,-1.096774,-7.446167,-10.3082265993,-5.83087,0.012709999999999999,31
swarm_100_127.pdb,2,2,8,9,6,3,5,0,7,0,0,0,0,1,1,0.45,0.4366666666666667,0.53,0.61,0.4925000000000001,0.43,0.4640000000000001,0.0,0.5714285714285714,0.34,0.27,0.0,0.0,0.0,0.0,1.06,1.83,3.940000000000001,2.58,2.3200000000000003,0.0,4.0,0.34,0.27,0.0,0.0,0.0,0.0,27.36,41.79,1167.4099999999999,552.3499999999995,615.0599999999995,1.4142135623730951,3.0,2.23606797749979,1.0,0.0,2.6457513110645907,1.4142135623730951,2.8284271247461903,2.449489742783178,1.7320508075688772,0.0,0.0,0.0,0.0,1.0,1.4292,-0.008,0.42,-5.8,-19.6,-128.6,1.6,-119.46,113.34,-1.14,0.131684,-3.36,7.6,1.8,-19.4,31.568,3.0,11.4,12.8,-3.42,2.12,1.0,-208.0,0.339458544,2.8,-8.336300999999999,-9.86,-16.567999999999998,-35.45,-29.38,-3444.13,-3.5,-5.66,-31.84,-13.76,-700.12,-251.22,0.0,0.0,0.0,0.0,0.0,-25.4171,6.90258,0.000557,-2.124,4.168,-33.736999999999995,-1.329,-257.872,-5.607,-0.708,0.0,-103.26,5.79,-260.74,-113.23,64.7920000001,15.613329737,-1.153,1.057,-0.5263,0.4406,560.8,-2630.0,1.9469999999999998,-10.33,-2081.0,-0.5213,0.09821,-0.5709,2.373,101.8,-445.5,1.629,2.5380000000000003,-342.8,-3218.302652,-3249.552285,1529.98,-735.77,2265.76,0.0574,0.0,0.0,0.0,-5.861243,-11.169881,-2.588393,-8.040383,-13.225990761099998,-4.92497,0.00725,44
swarm_100_139.pdb,3,6,5,7,10,2,2,0,4,1,4,4,2,2,0,0.46,0.32571428571428573,0.5333333333333333,0.595,0.45,0.28,0.47000000000000003,0.0,0.52,0.0,0.48,0.74,0.6799999999999999,0.49,0.665,3.1999999999999997,1.19,2.25,2.8000000000000003,0.9400000000000001,0.0,2.08,0.0,0.96,1.48,2.7199999999999998,0.49,2.66,27.14,41.21,1270.2300000000014,583.1800000000003,687.0600000000004,1.7320508075688772,2.6457513110645907,1.4142135623730951,0.0,0.0,2.0,2.449489742783178,2.23606797749979,3.1622776601683795,1.4142135623730951,2.0,1.0,2.0,1.4142135623730951,1.4142135623730951,2.2222,-0.63,1.62,-2.4,-10.0,-116.4,5.22,-134.02,138.68,-0.74,-0.053408000000000004,-1.48,34.6,21.2,-4.6,107.988,17.6,26.0,31.6,2.04,11.94,1.2,-239.8,0.32382066,5.4,-5.147896,-8.66,-16.375,-38.44,-33.05,-2937.56,0.62,8.59,-34.38,9.95,-797.85,-110.02,0.0,0.0,0.0,0.0,0.0,-24.2981,346.295,0.000523,-6.881,3.54,-0.252,-3.366,-214.207,-3.612,0.45799999999999996,0.0,-63.98,93.75,-229.39,62.0,-1506.612,6.043483617020001,-2.187,2.127,-0.6214,-1.105,-70.35,-2493.0,-1.04,15.61,-2547.0,-1.286,1.0759999999999998,-0.09246,0.987,-5.542999999999999,-359.8,2.434,-1.5230000000000001,-369.3,-3249.259543,-3290.7929010000003,1605.15,-756.03,2361.18,0.0171,0.0,0.0,0.0,-0.283893,-4.028035,-4.82067,-12.230932000000001,-10.7024832491,10.2233,0.005827000000000001,52
swarm_100_187.pdb,1,1,1,5,4,4,1,0,5,1,1,2,0,3,1,0.44,0.404,0.54,0.515,0.54,0.35,0.54,0.0,0.66,0.34,0.38666666666666666,0.0,0.62,0.9,0.9199999999999999,0.54,2.06,0.54,1.4,0.54,0.0,3.3000000000000003,0.34,1.16,0.0,0.62,0.9,1.8399999999999999,27.09,41.87,1056.08,396.72000000000025,659.3599999999997,1.0,2.23606797749979,1.0,1.0,0.0,2.23606797749979,1.0,1.0,2.0,2.0,1.0,1.0,1.4142135623730951,0.0,1.7320508075688772,-1.079,-2.278,-3.7,-5.4,-16.4,-99.6,-0.52,-102.46,80.98,-1.78,-0.008518000000000001,-3.08,12.6,4.6,-9.6,58.522,2.0,6.0,6.2,0.58,-3.94,-7.26,-161.4,-0.3772764,-3.7,-8.358075999999999,-9.99,-16.207,-29.14,-19.32,-2932.44,-3.0,-0.91,-48.97,-28.84,-604.8,-431.43,0.0,0.0,0.0,0.0,0.0,-60.295,-93.2082,0.0008230000000000001,-5.587000000000001,-6.932,-43.744,-16.893,-142.053,0.363,3.063,0.0,-86.77,-10.28,-509.45,22.07,-1593.67,10.7735715574,-1.706,1.77,1.222,-0.4336,9.742,-1584.0,6.836,10.39,-1571.0,-0.6296,0.5839,0.1194,0.4642,13.57,-207.3,1.5830000000000002,2.309,-193.0,-3221.606685,-3254.072449,1062.0,-729.17,1791.17,0.0624,0.0,0.0,0.0,-4.920957,-3.972145,-0.260182,-7.048375,-10.0794234977,-6.00138,0.007633,30
swarm_100_2.pdb,0,1,1,4,5,1,3,0,2,1,3,0,4,6,2,0.0,0.445,0.52,0.32,0.53,0.27999999999999997,0.45,0.0,0.5,0.34,0.39666666666666667,0.7175,0.5633333333333334,0.49,0.0,0.52,0.32,0.53,1.4,1.35,0.0,1.0,0.68,2.38,2.87,1.69,0.49,0.0,27.32,40.49,1014.5700000000015,337.3700000000008,677.21,0.0,2.0,1.7320508075688772,1.4142135623730951,0.0,1.4142135623730951,1.0,1.0,2.23606797749979,1.0,1.7320508075688772,1.0,0.0,2.0,2.449489742783178,0.4544,1.666,-1.5,-0.2,-10.8,-95.4,-0.36,-103.66,84.54,0.38,-0.007909999999999999,0.68,7.2,5.6,-6.2,40.928000000000004,5.6,11.0,10.0,1.6,4.34,-2.54,-153.2,0.39135009,1.5,-4.870445,-11.41,-18.312,-28.9,-14.29,-3321.46,-3.82,0.69,-16.27,1.16,-773.15,-204.9,0.0,0.0,0.0,0.0,0.0,-25.1296,384.98900000000003,0.000771,-2.7030000000000003,-8.3,20.604,-8.942,-162.264,-2.883,0.2,0.0,-60.93,-0.0299999999999,-464.98,69.44,-3764.5359999999996,4.985172491519999,-3.138,3.045,0.7676,0.8011,-2.531,-2211.0,6.5889999999999995,5.32,-2215.0,-2.025,2.061,1.349,1.694,-4.4239999999999995,-233.9,5.417999999999999,2.242,-241.5,-3437.0087280000002,-3474.4274729999997,933.65,-871.35,1805.0,-0.0156,0.0,0.0,0.0,-1.223762,-2.773135,-3.3536980000000005,-6.200317,-8.22094791261,2.37397,0.012606000000000001,33
swarm_100_79.pdb,0,0,0,1,3,2,2,0,1,1,1,4,1,1,1,0.0,0.44,0.0,0.55,0.0,0.27999999999999997,0.46,0.0,0.75,0.34,0.41,0.83,0.58,0.9,0.7175,0.0,1.1,0.0,0.84,0.92,0.0,0.75,0.34,0.41,0.83,0.58,0.9,2.87,27.4,40.87,622.9099999999999,234.71000000000004,388.1999999999998,0.0,1.0,1.4142135623730951,1.0,0.0,1.0,0.0,0.0,1.7320508075688772,1.4142135623730951,1.0,1.0,2.0,1.0,1.0,0.0126,1.042,-0.84,-0.8,-6.8,-43.4,0.4,-42.9,36.7,-0.02,0.002554,-0.68,6.8,3.6,-2.6,54.864,2.0,3.8,4.2,0.6,3.24,-0.9,-68.6,-0.08077659,-1.8,-3.114158,-2.82,-10.238999999999999,-21.48,-16.5,-2362.55,-1.71,5.9,20.11,16.14,-467.77,10.86,0.0,0.0,0.0,0.0,0.0,-28.6635,167.28099999999998,0.001516,-5.021,-1.78,28.494,-3.952,-107.634,0.27899999999999997,2.324,0.0,-1.16,5.2,-228.5,14.16,-5821.918000000001,-0.937505304813,-1.599,1.521,-0.2884,-0.149,68.8,-1270.0,-0.4619,3.443,-1197.0,-0.2718,0.3696,0.299,-0.2678,18.03,-181.2,1.798,-1.032,-166.0,-2587.986413,-2600.352223,1484.01,-446.64,1930.66,-0.1018,0.0,0.0,0.0,-2.297628,-3.500171,-1.941037,-4.058055,-6.61056479079,1.91251,0.012889,18
