Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_150.pdb,2,4,4,3,6,1,8,2,4,0,5,1,2,4,0,0.495,0.5066666666666667,0.51,0.53,0.38249999999999995,0.33666666666666667,0.4925,0.515,0.505,0.0,0.5149999999999999,0.735,0.6279999999999999,0.0,0.76,2.04,0.53,1.5299999999999998,2.02,3.94,1.03,2.02,0.0,2.0599999999999996,1.47,3.1399999999999997,0.0,0.76,29.38,34.28,1677.579999999998,733.0699999999997,944.5100000000002,1.4142135623730951,1.7320508075688772,2.8284271247461903,0.0,1.4142135623730951,2.0,2.0,2.0,2.449489742783178,1.0,2.23606797749979,0.0,1.0,1.4142135623730951,2.0,-0.654,-5.167999999999999,-3.0,-8.0,-17.4,-133.0,-0.18,-131.16,111.8,-2.3,-0.056382,-5.0,23.2,11.8,-12.0,80.66199999999999,5.0,11.2,12.8,-6.12,-3.4,-2.36,-208.8,-1.043637238,-7.7,-9.937249000000001,-12.74,-25.660999999999998,-58.56,-43.8,-2665.31,2.01,-14.13,-26.23,-10.49,-1155.05,-539.07,0.0,0.0,0.0,0.0,0.0,-44.9209,-40.3031,0.000364,7.086,1.7530000000000001,-42.681999999999995,4.57,-332.668,-1.175,5.145,-95.057,-83.14,-0.23,-509.97,-32.65,1008.834,44.0153380986,-2.992,3.0210000000000004,0.5236,-1.465,92.87,-3336.0,5.646,-45.52,-3294.0,-1.771,1.84,0.996,1.355,38.69,-435.3,7.7829999999999995,-3.1060000000000003,-407.5,-4952.005649000001,-5010.1802609999995,2086.86,-1243.5,3330.36,0.0327,0.0,0.0,0.0,-7.479592,-7.617584,-6.0169440000000005,-15.114225,-13.4469314178,12.2564,0.004391,46
swarm_0_170.pdb,2,5,15,2,6,5,10,6,4,1,2,4,2,4,0,0.49,0.48,0.45599999999999996,0.508,0.4233333333333333,0.4283333333333333,0.48100000000000004,0.5166666666666667,0.38,0.0,0.33999999999999997,0.78,0.52,0.9,0.7175,2.28,2.54,6.35,2.57,4.8100000000000005,3.1,1.52,0.0,1.3599999999999999,1.56,1.04,0.9,2.87,30.63,33.77,1798.2100000000028,704.9899999999998,1093.2299999999996,1.4142135623730951,1.4142135623730951,3.1622776601683795,0.0,2.449489742783178,2.0,2.23606797749979,3.872983346207417,2.449489742783178,2.23606797749979,1.4142135623730951,1.0,2.0,1.4142135623730951,2.0,2.7564,3.094,4.66,-3.6,-15.8,-207.0,4.2,-191.56,170.8,2.5,0.053026,2.64,27.8,17.0,-13.0,29.068,14.4,22.8,26.4,-3.6,14.32,17.78,-293.4,0.6447244386,0.1,-5.316549,-16.24,-27.654,-61.03,-53.81,-3587.21,3.63,-4.53,-9.35,22.48,-1295.17,-104.01,0.0,0.0,0.0,0.0,0.0,-48.4022,513.3,0.000325,-6.696000000000001,-12.309000000000001,14.737,-17.531,-589.311,-5.686,5.511,-68.263,-113.52,46.58,-829.73,-49.57,1049.971,40.790213991,-2.907,2.826,-0.3738,-0.7572,-124.2,-3286.0,-0.9354,-30.98,-3441.0,-2.312,2.298,0.03235,0.1371,0.2828,-547.3,6.11,-7.372999999999999,-560.5,-5235.376644,-5305.697685,1255.66,-1437.74,2693.4,0.0025,0.0,0.0,0.0,5.837599,2.929666,-5.295029,-13.402582999999998,-14.7275300244,20.3849,0.002397,68
swarm_100_43.pdb,1,1,5,2,7,2,9,5,18,0,1,0,0,0,0,0.44,0.315,0.64,0.365,0.4,0.33571428571428574,0.49444444444444435,0.4779999999999999,0.4794444444444445,0.0,0.0,0.0,0.58,0.0,0.0,0.64,0.73,2.0,2.35,4.449999999999999,2.3899999999999997,8.63,0.0,0.0,0.0,0.58,0.0,0.0,29.74,34.62,1734.5499999999956,801.7999999999993,932.7600000000002,1.0,1.4142135623730951,3.0,0.0,2.23606797749979,4.242640687119285,1.0,2.23606797749979,2.6457513110645907,1.4142135623730951,1.0,0.0,0.0,0.0,0.0,2.3118,-3.516,3.12,-13.6,-10.4,-136.4,8.02,-94.92,115.44,-4.2,0.013302000000000001,-6.04,39.4,18.6,-14.2,84.99799999999999,8.8,19.8,30.0,8.48,16.62,8.48,-187.6,-0.1394554204,22.1,-6.200583,-8.85,-24.089000000000002,-40.31,-36.87,-2814.71,-24.85,2.03,89.33,63.43,-759.58,264.88,0.0,0.0,0.0,0.0,0.0,-50.7786,432.57599999999996,0.000363,-10.158,16.022000000000002,-10.006,4.863,-528.215,-6.553,3.483,-9.626,-63.87,194.49,-262.28,65.39,-1989.6889999999999,19.5205784508,-3.9130000000000003,3.803,-0.7089,-1.3019999999999998,-78.03,-2972.0,-3.705,9.23,-3037.0,-3.48,2.925,-0.2823,3.161,-9.927,-396.4,3.694,6.321000000000001,-403.7,-4770.8154380000005,-4836.006896,2213.29,-1234.47,3447.75,0.1257,0.0,0.0,0.0,-0.031398,-0.416257,-5.134523000000001,-12.129298,-13.6888831949,12.3385,0.003353,51
swarm_101_111.pdb,2,8,9,5,10,7,9,4,6,2,4,8,1,3,0,0.505,0.4779999999999999,0.59,0.4642857142857143,0.41888888888888887,0.304,0.4344444444444444,0.5025000000000001,0.5949999999999999,0.0,0.5033333333333333,0.52,0.6950000000000001,0.9,0.6312500000000001,4.72,3.25,3.7699999999999996,3.04,3.9099999999999997,2.0100000000000002,3.5699999999999994,0.0,1.51,0.52,2.7800000000000002,1.8,5.050000000000001,30.26,33.68,2296.7299999999996,1040.210000000001,1256.5200000000004,1.4142135623730951,2.23606797749979,3.0,0.0,2.0,2.449489742783178,2.8284271247461903,3.0,3.1622776601683795,2.6457513110645907,2.0,1.4142135623730951,2.8284271247461903,1.0,1.7320508075688772,0.6698,-1.5719999999999998,1.08,-5.2,-29.8,-220.0,-0.98,-259.98,215.8,0.28,-0.015482,0.86,30.4,19.0,-20.4,73.078,16.8,25.8,30.4,-11.98,-3.9,-0.1,-409.6,1.287689032,-4.6,-10.805763,-24.07,-36.475,-69.26,-66.3,-5096.64,-21.79,-18.7,-32.29,14.1,-1719.04,-751.81,0.0,0.0,0.0,0.0,0.0,-78.6636,161.599,0.00021899999999999998,-12.164000000000001,-0.7659999999999999,-36.481,-16.579,-488.10400000000004,-4.008,5.266,-100.32799999999999,-215.69,53.83,-729.95,-67.03,-306.51,28.3229514356,-2.503,2.499,0.5477,-0.9241,177.5,-4911.0,4.388999999999999,-30.83,-4769.0,-1.9040000000000001,1.7469999999999999,-0.5532,0.043269999999999996,41.99,-647.6,3.502,-6.587999999999999,-615.7,-6168.847299,-6241.1397640000005,2276.25,-1828.0,4104.25,-0.2036,0.0,0.0,0.0,-5.2041319999999995,-9.102184,-9.591365,-27.217890999999998,-17.4153442086,32.7549,0.004654,78
swarm_10_128.pdb,7,6,14,3,16,1,26,9,6,1,3,1,0,2,0,0.49000000000000005,0.38333333333333336,0.555,0.32,0.4321428571428571,0.3350000000000001,0.44423076923076926,0.47888888888888886,0.5433333333333333,0.0,0.48,0.0,0.5833333333333334,0.9,0.94,3.33,0.32,6.05,5.360000000000001,11.55,4.31,3.26,0.0,0.96,0.0,1.75,0.9,0.94,30.05,34.31,2962.4300000000003,1357.0100000000002,1605.42,2.6457513110645907,1.7320508075688772,5.0990195135927845,0.0,3.0,2.449489742783178,2.449489742783178,3.7416573867739413,4.0,1.0,1.7320508075688772,1.0,1.0,0.0,1.4142135623730951,5.2644,-1.306,12.3,-7.8,-25.4,-305.6,10.9,-275.94,264.04,2.74,0.048322000000000004,2.46,65.8,43.2,-11.8,81.51,20.2,35.4,48.0,0.1,18.34,22.06,-458.0,0.8467737354000001,17.1,-13.878931,-28.86,-47.27,-82.86,-79.35,-5151.73,-1.72,-14.69,7.48,14.81,-2044.22,-774.73,0.0,0.0,0.0,0.0,0.0,-105.429,157.10399999999998,0.000199,-27.149,14.512,-75.77600000000001,-20.215,-553.859,-7.974,2.55,-84.912,-212.95,284.46,-804.65,47.9,-522.006,54.9451574967,-4.515,4.516,-0.03135,-1.5930000000000002,-101.2,-5899.0,9.075,-60.05,-6070.0,-2.448,2.4019999999999997,0.1302,0.7358,54.48,-837.3,10.83,-8.147,-801.8,-7221.651161,-7338.791176000001,3480.71,-2282.43,5763.14,-0.1669,0.0,0.0,0.0,10.286963,0.9558180000000001,-9.904487,-33.344481,-25.7452022208,19.9491,0.0045049999999999995,95
swarm_10_147.pdb,0,1,8,1,8,1,15,8,10,0,3,0,0,0,0,0.0,0.34,0.35,0.57,0.475,0.39125,0.4726666666666667,0.52,0.49099999999999994,0.0,0.0,0.0,0.6633333333333334,0.0,0.0,0.35,0.57,3.8,3.13,7.09,4.16,4.909999999999999,0.0,0.0,0.0,1.9900000000000002,0.0,0.0,29.56,34.45,1883.170000000002,921.659999999998,961.5,0.0,1.0,3.872983346207417,0.0,2.8284271247461903,3.1622776601683795,1.0,2.8284271247461903,2.8284271247461903,1.0,1.7320508075688772,0.0,0.0,0.0,0.0,1.1924,-6.4879999999999995,3.54,-12.8,-15.4,-191.8,8.06,-143.82,153.98,-3.64,0.044904,-4.92,48.6,25.0,-17.8,107.266,11.6,21.8,32.8,2.28,13.86,11.92,-254.8,-0.9916264816,10.6,-8.086927000000001,-13.53,-29.281999999999996,-52.19,-43.24,-2581.05,21.81,-3.69,5.02,11.42,-1185.85,-627.68,0.0,0.0,0.0,0.0,0.0,-29.1372,281.491,0.000294,-11.732999999999999,24.143,-62.074,6.202999999999999,-402.57199999999995,-3.725,3.924,-27.603,-106.31,171.24,-298.83,-53.11,-3211.8190000000004,34.3784995521,-3.1910000000000003,3.0410000000000004,-0.8435,-0.2514,-64.9,-4034.0,-2.231,-10.23,-4107.0,-1.3430000000000002,0.9620000000000001,-0.4789,2.569,32.06,-505.0,4.48,4.822,-472.6,-5214.856831,-5274.072425,2725.3,-1404.97,4130.27,-0.0141,0.0,0.0,0.0,2.7394529999999997,-1.267644,-8.366566,-20.175704999999997,-15.5393413401,17.7911,0.0032,55
swarm_10_162.pdb,1,2,7,2,12,4,18,2,6,0,1,4,0,0,0,0.53,0.37,0.5549999999999999,0.5075,0.4900000000000001,0.34166666666666673,0.47333333333333333,0.545,0.4716666666666667,0.0,0.0,0.0,0.67,0.0,0.87,1.1099999999999999,2.03,3.4300000000000006,4.1000000000000005,8.52,1.09,2.83,0.0,0.0,0.0,0.67,0.0,3.48,29.23,34.87,1745.5899999999965,935.2800000000007,810.3200000000015,1.0,1.4142135623730951,4.242640687119285,0.0,1.4142135623730951,2.449489742783178,1.4142135623730951,2.6457513110645907,3.4641016151377544,2.0,1.0,0.0,2.0,0.0,0.0,0.4644,0.73,4.6,-8.6,-26.6,-183.2,6.12,-143.2,143.46,-1.02,0.031932,-1.28,38.4,15.0,-22.4,157.56799999999998,2.8,11.8,21.8,4.58,14.5,8.94,-248.6,-0.1252997128,4.9,-6.916638000000001,-18.86,-31.064,-42.78,-48.82,-2952.11,-12.93,-9.84,11.65,26.08,-1351.08,-171.04,0.0,0.0,0.0,0.0,0.0,-55.8952,392.001,0.000349,-19.000999999999998,9.065,-24.474,-12.383,-441.469,-4.011,4.377,-65.47800000000001,-130.0,182.82,-596.69,41.84,243.03400000000002,28.7819436553,-3.54,3.595,0.124,-1.7,178.6,-4067.0,5.263,-52.44,-3946.0,-1.3619999999999999,1.0390000000000001,-0.1307,1.811,48.5,-446.2,4.577,-3.321,-405.6,-5614.991685,-5688.040678,2912.14,-1549.54,4461.68,-0.015,0.0,0.0,0.0,-9.790904,-12.922174,-5.315606,-13.496441,-10.8130017318,14.1552,0.00278,59
swarm_101_67.pdb,1,1,5,3,6,4,7,3,6,2,2,6,1,0,0,0.58,0.3333333333333333,0.49,0.5125000000000001,0.42000000000000004,0.335,0.4714285714285715,0.5133333333333333,0.525,0.0,0.0,0.83,0.615,0.9,0.6733333333333333,0.49,2.0500000000000003,2.1,2.0100000000000002,3.3000000000000003,1.54,3.1500000000000004,0.0,0.0,0.83,1.23,1.8,4.04,29.59,34.44,1862.329999999998,695.7000000000007,1166.630000000001,1.0,1.7320508075688772,2.6457513110645907,0.0,1.7320508075688772,2.449489742783178,1.0,2.23606797749979,2.449489742783178,2.0,1.4142135623730951,1.4142135623730951,2.449489742783178,1.0,0.0,-1.149,0.084,-1.16,-2.0,-18.4,-155.6,0.54,-152.86,122.76,0.72,0.134732,1.22,16.0,9.8,-12.0,61.123999999999995,4.0,9.6,14.0,-5.5,3.24,-0.48,-222.6,0.36104641600000004,-2.0,-7.495525,-17.62,-29.131,-50.45,-45.81,-4234.23,12.16,-4.96,-12.0,4.53,-1095.02,-422.28,0.0,0.0,0.0,0.0,0.0,-58.5829,20.4514,0.000264,2.64,-12.559000000000001,-26.111,-12.53,-647.1709999999999,-2.984,9.312000000000001,-59.938,-50.78,31.99,-527.71,-69.02,708.449,13.520041526099998,-4.178999999999999,4.085,1.169,0.3333,68.76,-3548.0,8.613999999999999,14.55,-3474.0,-3.5839999999999996,3.37,-0.9701,0.4013,17.74,-418.0,1.0090000000000001,0.772,-400.5,-5272.386447999999,-5325.80397,1706.19,-1449.25,3155.44,-0.0363,0.0,0.0,0.0,2.709845,-1.31036,-6.586094,-16.693231,-17.2112043478,17.1176,0.006128,47
swarm_10_173.pdb,0,0,2,6,6,3,7,2,13,0,0,2,0,0,0,0.0,0.35166666666666674,0.0,0.49,0.385,0.37999999999999995,0.4657142857142857,0.44,0.5046153846153847,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.47,0.77,2.28,3.26,0.88,6.5600000000000005,0.0,0.0,0.0,0.0,0.0,1.4,29.26,34.35,1458.1100000000006,702.9400000000005,755.1599999999999,0.0,2.449489742783178,2.6457513110645907,0.0,1.4142135623730951,3.605551275463989,0.0,1.4142135623730951,2.449489742783178,1.7320508075688772,0.0,0.0,1.4142135623730951,0.0,0.0,2.4648,-5.76,1.9,-8.4,-13.8,-113.4,6.42,-89.98,104.78,-2.24,0.041648000000000004,-2.62,27.2,11.2,-14.0,108.296,9.2,15.4,23.6,4.62,12.52,5.22,-173.0,0.1579475152,11.6,-4.800225,-8.91,-21.228,-30.08,-29.09,-3166.73,-9.81,-6.78,-0.71,0.79,-808.89,-207.13,0.0,0.0,0.0,0.0,0.0,-63.5611,278.221,0.00040599999999999995,-16.999000000000002,20.464000000000002,-10.385,2.426,-84.08,-4.771,-3.173,-14.315999999999999,-134.4,158.39,-59.83,6.21,-4600.817,23.257447792199997,-2.531,2.6,-0.1678,-2.75,44.1,-2780.0,0.8958,-10.31,-2747.0,-1.574,1.122,-0.4013,2.338,21.35,-360.5,3.19,4.743,-337.6,-4492.679354999999,-4537.625633,2656.05,-1078.59,3734.65,-0.0423,0.0,0.0,0.0,-0.684563,-4.046979,0.44873500000000005,-5.796826,-14.915680061400002,12.5043,0.003488,41
swarm_10_192.pdb,1,9,11,0,4,1,9,7,6,1,1,5,0,1,0,0.53,0.0,0.5477777777777778,0.62,0.4290909090909091,0.3175,0.4677777777777778,0.4714285714285714,0.5183333333333333,0.0,0.41,0.0,0.83,0.98,0.8220000000000001,4.930000000000001,0.62,4.72,1.27,4.21,3.3,3.11,0.0,0.41,0.0,0.83,0.98,4.11,30.08,34.19,1641.880000000001,809.6099999999988,832.2700000000004,1.0,0.0,3.0,0.0,2.6457513110645907,2.449489742783178,3.0,3.3166247903554,2.0,1.0,1.0,1.0,2.23606797749979,0.0,1.0,1.7354,3.326,4.56,-4.2,-21.0,-177.6,3.48,-164.44,147.62,0.44,-0.052464,-1.7,23.2,12.8,-21.0,19.684,3.8,12.0,20.2,0.7,9.56,2.86,-264.8,-1.0304352068,-6.8,-10.081572999999999,-16.64,-30.101999999999997,-45.58,-47.49,-5034.84,9.41,-17.25,-0.48,28.16,-1104.12,-128.24,0.0,0.0,0.0,0.0,0.0,-56.3341,197.91400000000002,0.000407,-12.199000000000002,6.782,-14.568,-6.874,-439.92900000000003,-0.764,7.595,-65.434,-141.8,20.36,-651.44,1.09,105.955,7.08504989643,-3.7760000000000002,3.64,-1.35,-1.5230000000000001,100.6,-3477.0,-10.12,-53.68,-3420.0,-2.448,2.298,-1.4780000000000002,-0.03631,66.24,-480.5,0.8977,-3.145,-418.3,-5426.354277,-5507.723308,1767.4,-1505.79,3273.19,-0.113,0.0,0.0,0.0,-4.456917,-5.176955,-9.886517,-17.272731,-13.8915376348,13.5439,0.005607,56
