Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_103_130.pdb,9,4,6,10,12,4,3,7,6,2,2,3,1,3,3,0.4666666666666667,0.438,0.61,0.45749999999999996,0.455,0.3875,0.44333333333333336,0.4828571428571428,0.5466666666666667,0.37333333333333335,0.48,0.68,0.58,0.9,0.68,2.44,1.8299999999999998,2.73,4.65,1.33,3.38,3.2800000000000002,1.12,1.44,0.68,1.16,1.8,2.04,32.52,41.6,2345.510000000002,912.859999999997,1432.6599999999999,3.0,3.1622776601683795,1.7320508075688772,1.7320508075688772,2.6457513110645907,2.449489742783178,2.0,2.449489742783178,3.4641016151377544,2.0,1.4142135623730951,1.4142135623730951,1.7320508075688772,1.0,1.7320508075688772,3.7262,-0.124,3.66,-5.4,-21.8,-201.0,5.84,-229.18,214.18,0.5,0.039486,-2.36,38.4,22.4,-7.4,99.78,21.2,36.0,39.0,5.68,8.1,-0.08,-387.2,-0.3053754984,1.5,-5.844957,-24.95,-40.032,-69.36,-59.77,-5059.01,-15.92,-4.39,-18.37,32.07,-1374.67,-211.72,0.0,0.0,0.0,0.0,0.0,-68.9449,235.769,0.00025299999999999997,3.253,4.399,-19.574,5.694,-93.695,-3.7939999999999996,-2.0140000000000002,-45.148,-97.86,112.6,-935.46,146.29,1015.875,27.6650072377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6854.206069,-6952.994342,0.0,0.0,0.0,0.025,0.0,0.0,0.0,5.530742,2.78105,-2.9363099999999998,-23.577481,-22.549095726500003,20.18,0.0030670000000000003,75
swarm_103_2.pdb,1,2,4,12,21,7,9,2,18,0,0,3,4,1,0,0.49,0.40833333333333327,0.5349999999999999,0.5142857142857142,0.485,0.37523809523809526,0.4366666666666667,0.52,0.5744444444444444,0.0,0.48,0.6400000000000001,0.0,0.0,0.7666666666666666,1.0699999999999998,3.5999999999999996,1.94,7.88,3.93,1.04,10.34,0.0,0.48,2.5600000000000005,0.0,0.0,2.3,32.39,41.97,2760.510000000002,1397.7199999999975,1362.7999999999993,1.0,3.4641016151377544,3.0,0.0,1.4142135623730951,4.242640687119285,1.4142135623730951,2.0,4.58257569495584,2.6457513110645907,0.0,0.0,1.7320508075688772,2.0,1.0,-0.2342,-9.68,-3.04,-16.4,-30.0,-182.2,8.24,-149.58,163.06,-5.64,0.0026100000000000003,-9.88,47.0,19.0,-21.8,137.45600000000002,7.0,17.4,29.0,0.6,16.02,12.12,-291.6,-0.38534706,12.6,-12.030107000000001,-22.57,-43.103,-60.79,-56.0,-4868.89,-11.13,-14.6,-27.32,24.62,-1570.0,-221.39,0.0,0.0,0.0,0.0,0.0,-62.5369,687.095,0.000185,-22.163,32.111,-25.967,7.351,-53.513000000000005,-3.93,-2.9139999999999997,-12.517000000000001,-230.63,238.34,-415.01,-91.3,1661.144,33.4220161512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7097.944126,-7187.395251999999,0.0,0.0,0.0,0.0274,0.0,0.0,0.0,-10.431822,-12.536596000000001,-7.577328,-26.478584,-19.2294578508,19.1084,0.004917,84
swarm_103_77.pdb,3,2,8,12,9,5,12,2,9,0,7,2,4,4,0,0.5633333333333334,0.42333333333333334,0.64,0.596,0.4887499999999999,0.38333333333333336,0.4808333333333333,0.49,0.5522222222222223,0.0,0.4925,0.6400000000000001,0.6714285714285715,0.0,0.7549999999999999,1.28,2.98,3.9099999999999993,3.45,5.77,0.98,4.970000000000001,0.0,1.97,2.5600000000000005,4.7,0.0,1.5099999999999998,32.34,41.81,2388.1800000000003,1090.5599999999977,1297.609999999997,1.7320508075688772,3.4641016151377544,3.4641016151377544,0.0,1.4142135623730951,3.0,1.4142135623730951,2.8284271247461903,3.0,2.23606797749979,2.6457513110645907,0.0,1.4142135623730951,2.0,2.0,2.0664,-10.542,-0.26,-10.6,-23.8,-209.6,5.86,-229.9,211.44,-2.74,0.068396,-11.3,46.2,28.0,-12.8,88.706,17.4,29.6,35.6,-1.86,10.9,-4.88,-392.8,-1.9865813747999999,5.1,-9.587519,-22.68,-37.558,-85.3,-66.69,-4415.22,14.07,-8.71,-41.06,2.62,-1480.45,-286.59,0.0,0.0,0.0,0.0,0.0,-110.79700000000001,42.1602,0.000227,-19.997,16.79,-21.08,-5.315,-6.648,-2.42,-2.293,-79.441,-194.41,138.31,-800.61,62.98,3838.565,41.1003395487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6529.37205,-6605.409417,0.0,0.0,0.0,-0.0836,0.0,0.0,0.0,-1.6478509999999997,-6.505794,-4.472343,-20.575565,-19.9188604475,21.2333,0.002886,79
swarm_109_0.pdb,7,1,0,18,5,6,5,2,16,0,0,0,1,1,6,0.48000000000000004,0.4444444444444444,0.63,0.6033333333333334,0.0,0.32199999999999995,0.524,0.495,0.5974999999999999,0.425,0.47,0.52,0.0,0.0,0.0,0.63,3.62,0.0,1.6099999999999999,2.62,0.99,9.559999999999999,2.55,0.47,0.52,0.0,0.0,0.0,32.08,42.01,2077.010000000002,1041.630000000001,1035.3600000000006,2.6457513110645907,4.242640687119285,2.23606797749979,2.449489742783178,1.4142135623730951,4.0,1.0,0.0,2.23606797749979,2.449489742783178,0.0,0.0,0.0,1.0,1.0,5.2044,-3.694,1.0,-10.8,-20.0,-120.2,5.66,-156.72,171.88,-4.78,0.06489,-10.22,36.6,21.6,-7.4,156.586,27.0,43.2,41.4,7.14,12.78,-7.04,-322.2,-1.01043888,10.6,-8.046978,-16.8,-28.715,-52.03,-37.73,-3472.73,-0.45,-11.89,-10.72,-5.97,-1169.58,-348.91,0.0,0.0,0.0,0.0,0.0,-68.4874,195.701,0.000296,-18.059,20.14,-44.773999999999994,-2.396,-75.539,-1.5719999999999998,-0.13699999999999998,-77.72399999999999,-192.31,172.97,-234.12,-119.2,2189.635,8.781843447710001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5518.730635,-5580.825991,0.0,0.0,0.0,-0.1009,0.0,0.0,0.0,-1.8167939999999998,-3.453155,-3.404675,-14.161407999999998,-16.8181196149,22.5126,0.002897,68
swarm_109_112.pdb,5,1,2,12,12,6,7,0,14,0,1,2,0,8,2,0.44800000000000006,0.445,0.63,0.5766666666666665,0.345,0.38666666666666666,0.4285714285714285,0.0,0.48571428571428577,0.34,0.5175,0.0,0.83,0.0,0.63,0.63,3.4599999999999995,0.69,4.64,2.9999999999999996,0.0,6.800000000000001,0.68,4.14,0.0,0.83,0.0,1.26,32.04,41.82,2311.290000000001,1080.5200000000004,1230.7599999999984,2.23606797749979,3.4641016151377544,2.6457513110645907,1.4142135623730951,0.0,3.7416573867739413,1.0,1.4142135623730951,3.4641016151377544,2.449489742783178,1.0,0.0,1.4142135623730951,0.0,2.8284271247461903,2.9518,-1.768,2.42,-10.4,-22.6,-165.6,6.44,-178.58,177.04,-0.44,0.063208,-0.38,41.0,21.0,-10.4,132.762,11.8,21.8,25.4,5.56,16.42,12.86,-315.4,2.0330962072,5.7,-9.933016,-23.55,-35.417,-50.6,-36.53,-3245.73,9.64,-5.45,19.37,10.54,-1504.84,-684.82,0.0,0.0,0.0,0.0,0.0,-36.7277,201.313,0.000204,2.398,17.887999999999998,-40.553000000000004,16.230999999999998,-51.787,-3.4730000000000003,-2.489,-53.193000000000005,-123.1,105.31,-455.4,-27.82,4755.974,33.2013753256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6287.863852,-6370.196278,0.0,0.0,0.0,0.2508,0.0,0.0,0.0,-3.992174,-0.486242,-13.8994,-19.763934,-14.2700629725,20.9596,0.0035,72
swarm_109_180.pdb,3,1,0,17,9,6,10,2,23,0,0,0,3,5,6,0.4066666666666667,0.4864705882352941,0.35,0.7016666666666668,0.0,0.3733333333333333,0.5199999999999999,0.44,0.5595652173913044,0.38000000000000006,0.502,0.6633333333333332,0.0,0.0,0.0,0.35,4.210000000000001,0.0,3.36,5.199999999999999,0.88,12.870000000000001,2.2800000000000002,2.51,1.9899999999999998,0.0,0.0,0.0,32.34,41.81,2652.790000000001,1392.2400000000016,1260.5400000000009,1.7320508075688772,4.123105625617661,3.1622776601683795,2.449489742783178,1.4142135623730951,4.795831523312719,1.0,0.0,3.0,2.449489742783178,0.0,0.0,0.0,1.7320508075688772,2.23606797749979,3.3404,-5.102,3.9,-11.4,-15.8,-142.2,10.04,-142.36,174.04,-1.72,0.100768,-3.46,39.4,17.8,-10.8,116.07600000000001,21.6,36.2,37.4,7.98,16.74,-8.96,-302.8,-0.18236447600000003,10.8,-11.258296000000001,-18.64,-33.238,-53.34,-34.04,-4652.48,-0.55,-3.63,-23.8,16.19,-1298.77,-385.84,0.0,0.0,0.0,0.0,0.0,-22.6184,653.947,0.000193,-1.969,40.954,-40.400999999999996,34.944,-49.608000000000004,-1.446,-0.504,-29.506,-128.97,245.51,-346.49,-46.92,4344.833,23.0166817675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6090.9823240000005,-6176.988272,0.0,0.0,0.0,0.4133,0.0,0.0,0.0,-10.592414999999999,-8.642445,-9.354297,-15.40034,-14.7203431452,20.4262,0.003706,85
swarm_109_26.pdb,4,0,10,13,11,3,7,3,7,0,1,2,1,4,3,0.5225,0.3915384615384616,0.0,0.71,0.39999999999999997,0.41818181818181815,0.5271428571428571,0.48,0.6514285714285715,0.43333333333333335,0.495,0.7,0.58,0.0,0.63,0.0,2.13,3.9999999999999996,4.6,3.69,1.44,4.5600000000000005,1.3,1.98,0.7,0.58,0.0,1.26,32.3,41.89,2437.4300000000076,979.2899999999972,1458.1599999999999,2.0,3.605551275463989,2.6457513110645907,1.7320508075688772,1.7320508075688772,2.6457513110645907,0.0,3.1622776601683795,3.3166247903554,1.7320508075688772,1.0,0.0,1.4142135623730951,1.0,2.0,3.9130000000000003,-1.0959999999999999,8.16,-1.2,-12.2,-167.6,6.78,-187.56,182.04,3.48,0.08314400000000001,4.52,38.4,27.0,-4.2,114.874,20.4,30.6,31.6,3.58,11.32,14.2,-313.6,1.058169532,-2.8,-10.920056,-23.54,-34.486,-54.02,-41.62,-4404.95,11.38,9.1,-14.02,4.77,-1374.57,-704.0,0.0,0.0,0.0,0.0,0.0,-80.4037,-47.4459,0.000173,-9.539,3.7569999999999997,-57.157,-11.498,-68.29,-3.798,-2.501,-71.51100000000001,-119.34,34.62,-622.97,31.63,4409.723,35.8346973613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6151.359203,-6235.450097999999,0.0,0.0,0.0,0.0313,0.0,0.0,0.0,-0.776971,-4.2483319999999996,-5.546208999999999,-17.414177,-20.6460716274,19.2619,0.003826,69
swarm_11_12.pdb,0,1,4,7,12,3,4,1,7,0,3,0,2,6,1,0.0,0.36714285714285716,0.54,0.6233333333333334,0.5,0.3916666666666668,0.4425,0.48,0.5542857142857143,0.34,0.455,0.755,0.7400000000000001,0.0,0.0,0.54,1.87,2.0,4.700000000000001,1.77,0.48,3.88,0.34,2.73,1.51,2.22,0.0,0.0,31.99,42.03,1657.489999999998,669.6800000000003,987.8000000000029,0.0,2.6457513110645907,2.0,1.0,1.0,2.6457513110645907,1.0,2.0,3.4641016151377544,1.7320508075688772,1.7320508075688772,0.0,0.0,1.4142135623730951,2.449489742783178,3.4672,2.456,-0.2,-5.2,-12.0,-134.0,2.16,-160.36,146.62,-1.68,0.026213999999999998,-2.82,29.6,19.8,-5.0,86.62200000000001,19.6,27.4,27.8,4.84,19.02,-1.5,-261.0,0.1076543066,2.4,-6.183833,-15.12,-28.857,-22.29,-15.78,-2459.84,7.88,3.75,-2.47,6.51,-994.16,-255.48,0.0,0.0,0.0,0.0,0.0,-49.7904,270.557,0.000394,-8.706,13.831,-32.606,1.864,-31.775,-2.6069999999999998,-2.003,-13.964,-95.49,60.37,-304.53,44.41,2601.47,29.811385392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5545.0582030000005,-5594.142496,0.0,0.0,0.0,0.023,0.0,0.0,0.0,-6.610251,-11.6524,-6.18347,-17.016132,-15.6828293902,19.8139,0.005882,51
swarm_112_113.pdb,0,0,3,5,6,3,11,2,17,0,2,0,0,4,0,0.0,0.38,0.0,0.5,0.47000000000000003,0.34166666666666673,0.43454545454545457,0.53,0.5058823529411764,0.0,0.41,0.0,0.6699999999999999,0.0,0.0,0.0,1.5,1.4100000000000001,2.0500000000000003,4.78,1.06,8.6,0.0,1.64,0.0,1.3399999999999999,0.0,0.0,31.95,42.11,2126.229999999996,942.1100000000006,1184.1100000000006,0.0,2.23606797749979,3.3166247903554,0.0,1.4142135623730951,4.123105625617661,0.0,1.7320508075688772,2.449489742783178,1.7320508075688772,1.4142135623730951,0.0,0.0,0.0,2.0,0.588,-11.612,0.64,-11.8,-15.8,-128.6,7.5,-127.66,136.0,-2.64,-0.05549,-4.0,39.6,21.0,-13.8,147.718,14.2,21.4,31.0,3.56,6.18,7.1,-234.6,-0.3025637728,19.1,-10.046304,-18.52,-33.397,-61.94,-46.88,-3627.37,18.69,4.87,8.19,17.37,-1195.23,-644.98,0.0,0.0,0.0,0.0,0.0,-36.0474,-28.5595,0.00021899999999999998,-9.708,24.271,-74.223,7.141,-30.342,-4.703,-4.126,-25.840999999999998,-137.28,180.75,-215.11,-8.22,-4900.62,46.918721805299995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5955.617636,-6015.397515,0.0,0.0,0.0,0.092,0.0,0.0,0.0,-6.965877000000001,-6.333972,-10.854202,-17.345507,-14.909676252,21.1336,0.0034909999999999997,53
swarm_112_133.pdb,3,3,0,10,16,5,13,2,12,0,1,0,1,2,1,0.43,0.43599999999999994,0.5733333333333334,0.488,0.0,0.39562500000000006,0.46153846153846145,0.45999999999999996,0.605,0.44,0.375,0.88,0.46,0.0,0.0,1.7200000000000002,2.44,0.0,6.330000000000001,5.999999999999999,0.9199999999999999,7.26,0.44,0.75,0.88,0.46,0.0,0.0,32.13,42.17,2584.6900000000023,1450.380000000001,1134.300000000003,1.7320508075688772,3.1622776601683795,3.605551275463989,1.0,1.4142135623730951,3.4641016151377544,1.7320508075688772,0.0,4.0,2.23606797749979,1.0,0.0,0.0,1.0,1.4142135623730951,0.5482,-5.446000000000001,2.82,-11.6,-23.0,-150.4,7.6,-142.74,157.96,-1.92,-0.030543999999999998,-0.8,29.0,10.0,-20.4,121.04,11.0,19.8,25.6,7.36,22.4,6.48,-276.0,-1.3653842554,5.3,-7.197079,-11.44,-31.119,-64.91,-43.16,-3874.9,-5.82,-10.38,58.2,42.68,-1316.35,-235.37,0.0,0.0,0.0,0.0,0.0,-7.404839999999999,523.611,0.000198,-5.73,44.873000000000005,-33.692,35.774,-76.506,-2.8160000000000003,-1.3619999999999999,-47.606,-140.62,197.55,-224.37,-174.12,-6398.566999999999,56.9325821111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5803.1038530000005,-5879.510843,0.0,0.0,0.0,0.0813,0.0,0.0,0.0,4.802752,2.026601,-0.287769,-11.653483999999999,-14.2178384231,19.8107,0.002464,69
