Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_12.pdb,2,2,1,9,7,9,4,1,11,1,0,1,1,2,1,0.33499999999999996,0.38222222222222224,0.55,0.5433333333333334,0.39,0.3685714285714286,0.41500000000000004,0.44,0.4954545454545455,0.34,0.475,0.6,0.0,0.9,0.84,1.1,4.8900000000000015,0.39,2.58,1.6600000000000001,0.44,5.45,0.34,0.95,0.6,0.0,0.9,0.84,41.77,30.49,1580.199999999997,794.8199999999997,785.3799999999992,1.4142135623730951,3.0,2.0,1.0,1.0,3.3166247903554,1.4142135623730951,1.0,2.6457513110645907,3.0,0.0,1.0,1.0,1.0,1.4142135623730951,1.181,2.9619999999999997,1.22,-5.2,-17.2,-91.4,3.24,-110.0,108.0,-0.1,0.006132,-0.96,26.8,13.2,-9.0,133.244,4.6,14.8,19.6,-0.26,13.88,3.36,-197.0,-0.561570276,-4.7,-9.739156,-15.64,-28.096999999999998,-34.64,-32.94,-4701.06,-2.94,-10.92,42.71,41.99,-1062.99,-315.2,0.0,0.0,0.0,0.0,0.0,-55.0419,45.5151,0.00045,-21.745,18.294,-12.835,-4.735,-33.161,-3.055,-2.425,-53.268,-158.25,61.43,-301.35,-44.63,533.4259999999999,17.8564883184,-2.4130000000000003,2.363,0.06031,-0.4027,75.47,-2878.0,10.52,-36.05,-2849.0,-2.213,2.145,0.2712,0.9322,34.49,-472.9,5.6739999999999995,-2.519,-446.6,-4892.27624,-4948.906599,2301.92,-1451.78,3753.69,-0.0848,0.0,0.0,0.0,-7.670411,-9.725517,-9.309323,-21.688388,-10.2032939162,4.13483,0.009615,52
swarm_0_147.pdb,2,0,2,8,2,4,8,0,10,0,1,0,2,3,4,0.475,0.32625000000000004,0.0,0.5325,0.39,0.33499999999999996,0.4275,0.0,0.593,0.4625,0.5666666666666668,0.855,0.86,0.0,0.0,0.0,2.13,0.78,0.6699999999999999,3.42,0.0,5.93,1.85,1.7000000000000002,1.71,0.86,0.0,0.0,41.98,30.56,1580.0800000000017,747.6800000000003,832.3900000000012,1.4142135623730951,2.8284271247461903,2.8284271247461903,2.0,0.0,3.1622776601683795,0.0,1.4142135623730951,1.4142135623730951,2.0,1.0,0.0,0.0,1.4142135623730951,1.7320508075688772,1.4152,-1.222,0.24,-9.0,-18.4,-114.4,3.64,-110.2,108.42,-2.18,0.025974,-3.62,30.8,16.0,-10.8,96.96600000000001,5.8,14.2,18.2,7.6,9.28,11.34,-211.6,0.53519101,6.3,-11.665736,-13.83,-26.836,-46.69,-31.6,-3540.74,-15.46,-1.88,-54.62,-18.41,-984.14,-553.19,0.0,0.0,0.0,0.0,0.0,-46.1899,-104.26899999999999,0.00041600000000000003,-12.679,18.479,-65.807,-0.78,-8.715,-3.167,-3.0010000000000003,-103.17399999999999,-229.06,44.9,-321.61,-35.42,757.7510000000001,29.043049519,-3.094,3.014,-0.1556,0.06443,28.47,-2726.0,9.797,-24.38,-2732.0,-0.7137,0.2608,0.01744,3.353,38.88,-415.0,4.441,2.258,-378.3,-4639.651932,-4689.988985,2441.66,-1367.96,3809.63,-0.0615,0.0,0.0,0.0,0.8198629999999999,-1.674078,-7.833695,-6.948227,-10.1562041101,3.2961099999999997,0.005739,46
swarm_0_152.pdb,1,1,1,5,3,2,3,1,13,0,0,0,2,1,0,0.48,0.39999999999999997,0.49,0.6950000000000001,0.39,0.37666666666666665,0.5,0.44,0.62,0.0,0.48,0.6799999999999999,0.0,0.0,0.0,0.49,1.3900000000000001,0.39,1.13,1.5,0.44,8.06,0.0,0.48,1.3599999999999999,0.0,0.0,0.0,40.83,30.77,1172.1399999999994,610.6700000000019,561.4700000000012,1.0,2.23606797749979,1.7320508075688772,0.0,1.0,3.605551275463989,1.0,1.0,1.7320508075688772,1.4142135623730951,0.0,0.0,0.0,1.4142135623730951,1.0,-0.5784,-8.246,-8.58,-14.0,-21.0,-86.2,1.68,-76.1,77.78,-6.92,-0.06093,-12.58,22.0,5.6,-15.8,104.182,2.0,6.6,12.6,-1.28,3.64,2.7,-154.8,-2.23788661,10.4,-7.649136,-7.33,-22.969,-20.9,-19.3,-3213.47,-24.46,-15.19,-2.62,-6.0,-679.19,41.21,0.0,0.0,0.0,0.0,0.0,-28.1949,286.039,0.000597,-19.385,20.87,-19.635,-0.478,-14.786,-0.7390000000000001,-0.45899999999999996,-45.489,-126.66,95.23,-30.8,-14.44,785.7260000000001,18.9734188225,-3.023,2.938,-0.4285,-0.8374,68.07,-2237.0,4.5280000000000005,-16.14,-2189.0,-2.1790000000000003,1.6230000000000002,-1.06,2.0340000000000003,18.14,-273.1,-0.03,2.231,-252.7,-4262.626494,-4304.172059,3233.84,-1227.43,4461.26,-0.2207,0.0,0.0,0.0,-13.709982,-15.62054,-10.669341000000001,-13.923756,-7.468255184380001,3.5395800000000004,0.011303,33
swarm_0_158.pdb,3,2,11,0,5,3,15,2,16,0,0,0,0,3,2,0.43333333333333335,0.0,0.605,0.5666666666666668,0.44,0.37,0.41466666666666663,0.495,0.44875000000000004,0.6699999999999999,0.47,0.0,0.0,0.0,0.0,1.21,1.7000000000000002,4.84,1.8499999999999999,6.22,0.99,7.180000000000001,1.3399999999999999,1.41,0.0,0.0,0.0,0.0,41.46,31.1,2083.1899999999987,1160.33,922.869999999999,1.7320508075688772,0.0,3.872983346207417,1.4142135623730951,1.4142135623730951,4.0,1.4142135623730951,3.3166247903554,2.23606797749979,1.7320508075688772,0.0,0.0,0.0,0.0,1.7320508075688772,0.2374,-8.906,-3.64,-15.0,-27.0,-163.2,4.66,-133.24,141.96,-6.6,0.002564,-12.12,39.2,13.4,-27.0,91.206,3.6,17.0,28.0,1.48,-3.58,1.76,-264.2,-1.3202291472,9.8,-10.682894000000001,-12.65,-31.397,-58.33,-55.23,-4250.4,1.45,-8.12,16.01,8.86,-1292.48,-325.95,0.0,0.0,0.0,0.0,0.0,-52.1671,192.657,0.000357,-12.798,32.298,-34.199,16.079,29.978,-5.082,-5.652,-69.516,-236.4,184.12,19.92,-162.67,10.717,21.6510407142,-3.443,3.3989999999999996,-0.2988,-0.7795,31.22,-3212.0,13.21,-38.41,-3232.0,-2.376,2.135,0.3993,2.7039999999999997,21.0,-550.5,7.851,-1.247,-538.6,-5191.400361,-5245.289336,4724.48,-1590.55,6315.03,0.059000000000000004,0.0,0.0,0.0,-7.341521000000001,-8.125712,-10.942835,-16.106767,-11.4804053923,9.81831,0.007273999999999999,62
swarm_0_36.pdb,0,1,5,3,5,6,3,0,10,1,0,3,0,3,0,0.0,0.2533333333333333,0.49,0.5416666666666667,0.484,0.362,0.41333333333333333,0.0,0.525,0.0,0.5666666666666668,0.0,0.0,0.9,0.7233333333333333,0.49,3.2500000000000004,2.42,1.8099999999999998,1.24,0.0,5.25,0.0,1.7000000000000002,0.0,0.0,0.9,2.17,41.32,30.54,1189.2099999999991,608.9300000000021,580.2800000000007,0.0,1.7320508075688772,1.7320508075688772,0.0,0.0,3.1622776601683795,1.0,2.23606797749979,2.23606797749979,2.449489742783178,0.0,1.0,1.7320508075688772,0.0,1.7320508075688772,-1.266,-5.872000000000001,-5.5,-5.8,-23.2,-111.4,-2.36,-117.74,87.64,-2.52,-0.041506,-5.78,16.0,4.2,-16.4,90.868,-1.4,3.8,7.8,-3.74,-9.38,-3.74,-183.8,-1.004793638,0.6,-9.886011,-11.13,-20.988000000000003,-26.97,-25.32,-2913.86,-22.28,-12.69,-26.23,-10.01,-780.24,-414.27,0.0,0.0,0.0,0.0,0.0,-54.8219,-119.866,0.000552,-16.467,13.97,-34.52,-5.949,11.689,-3.826,-4.048,-100.32700000000001,-103.25,62.21,-85.68,-50.57,89.31200000000001,12.8138648076,-2.039,1.979,0.007065999999999999,0.3623,71.72,-1911.0,6.846,-27.87,-1874.0,-1.745,1.148,-0.9349,1.8869999999999998,-0.9951,-282.0,0.9749,-1.53,-285.5,-4135.335989,-4161.677554999999,1457.65,-1091.86,2549.52,0.0037,0.0,0.0,0.0,-8.535855999999999,-9.840365,-7.678526,-12.628175,-6.32112166886,3.01532,0.00685,40
swarm_0_64.pdb,1,1,1,4,13,5,6,1,15,0,2,0,0,0,0,0.48,0.4,0.63,0.568,0.34,0.3376923076923077,0.44833333333333325,0.56,0.46199999999999997,0.0,0.0,0.0,0.725,0.0,0.0,0.63,2.84,0.34,4.39,2.6899999999999995,0.56,6.93,0.0,0.0,0.0,1.45,0.0,0.0,40.59,31.18,1678.800000000003,897.0200000000004,781.7799999999988,1.0,2.0,2.449489742783178,0.0,1.0,3.872983346207417,1.0,1.0,3.605551275463989,2.23606797749979,1.4142135623730951,0.0,0.0,0.0,0.0,2.2594,0.39399999999999996,3.34,-3.8,-11.0,-117.2,10.6,-84.14,107.16,0.04,0.033086000000000004,-0.4,46.0,26.8,-6.4,161.546,9.2,18.2,28.4,8.18,13.88,10.88,-182.0,-0.00827479,11.5,-9.367818,-6.91,-23.198,-32.91,-36.37,-2115.55,3.27,0.75,5.76,22.75,-1032.4,-374.68,0.0,0.0,0.0,0.0,0.0,-18.76,-26.701,0.000356,2.4730000000000003,36.509,-50.593999999999994,33.922,66.071,-4.363,-5.619,-69.148,-125.38,196.69,62.77,-36.2,1078.885,36.5711751406,-1.433,1.6130000000000002,2.5610000000000004,0.07101,65.22,-2422.0,22.71,-18.9,-2399.0,-1.744,1.3980000000000001,0.682,2.6830000000000003,14.85,-423.3,6.985,-2.269,-417.7,-4271.947757,-4325.752444,3616.73,-1183.04,4799.76,0.0389,0.0,0.0,0.0,2.993895,1.55009,-1.1680030000000001,-7.751582000000001,-10.1605834052,3.8610599999999997,0.0042450000000000005,49
swarm_0_81.pdb,1,1,1,1,4,5,7,1,14,2,0,0,0,0,0,0.53,0.37,0.35,0.63,0.35,0.36,0.4214285714285714,0.44,0.4492857142857144,0.0,0.0,0.0,0.0,0.49,0.0,0.35,3.15,0.35,1.44,2.9499999999999997,0.44,6.290000000000002,0.0,0.0,0.0,0.0,0.98,0.0,40.95,30.86,1324.3600000000006,691.0700000000015,633.2999999999993,1.0,1.0,2.6457513110645907,0.0,1.0,3.7416573867739413,1.0,1.0,2.0,2.23606797749979,0.0,1.4142135623730951,0.0,0.0,0.0,0.0726,-1.1520000000000001,-1.62,-8.6,-11.6,-85.2,5.38,-54.76,69.6,-3.3,0.049592000000000004,-5.12,25.2,9.8,-12.4,101.2,4.4,9.4,16.2,3.28,6.32,3.24,-117.2,-0.6276151672,11.5,-8.18244,-1.84,-20.801,-21.99,-28.11,-2397.48,-2.36,4.89,-10.84,-3.69,-984.55,-596.64,0.0,0.0,0.0,0.0,0.0,-16.169,-0.46983800000000003,0.00046100000000000004,-0.484,23.858,-56.023999999999994,17.772000000000002,22.822,-3.327,-3.76,-37.013000000000005,-118.03,153.32,101.01,-128.71,1527.23,28.0984599423,-2.024,2.028,0.8505,0.2579,31.91,-2088.0,10.43,-12.68,-2079.0,-0.7074,0.3134,0.1415,2.878,1.2570000000000001,-296.8,3.161,0.604,-298.1,-3982.264233,-4023.29507,4378.01,-1087.91,5465.92,0.1054,0.0,0.0,0.0,-5.232564,-4.635852,-0.29840700000000003,-2.058465,-11.155028811400001,3.21824,0.0066489999999999995,37
swarm_0_88.pdb,0,0,3,0,5,0,5,0,7,0,3,1,0,1,0,0.0,0.0,0.0,0.0,0.49333333333333335,0.41200000000000003,0.53,0.0,0.5371428571428573,0.0,0.55,0.0,0.6566666666666667,0.0,0.94,0.0,0.0,1.48,2.06,2.6500000000000004,0.0,3.7600000000000007,0.0,0.55,0.0,1.9700000000000002,0.0,0.94,41.12,30.77,1024.829999999998,515.4599999999991,509.3600000000006,0.0,0.0,2.23606797749979,0.0,0.0,2.6457513110645907,0.0,1.7320508075688772,2.23606797749979,0.0,1.7320508075688772,0.0,1.0,0.0,1.0,-1.6908,1.254,-1.32,-3.0,-13.6,-79.6,-0.22,-82.36,63.72,-0.38,0.032678,-1.64,10.8,6.2,-11.6,44.833999999999996,-1.2,2.0,4.0,-5.66,2.58,-2.34,-136.4,-1.0353875,-7.6,-7.409667999999999,-6.74,-17.291,-28.18,-28.57,-2103.94,-4.29,-10.46,-22.9,-15.09,-786.44,-489.13,0.0,0.0,0.0,0.0,0.0,-20.0218,-117.36200000000001,0.00079,-6.236000000000001,19.118,-44.958999999999996,8.386000000000001,15.414000000000001,0.293,-0.0,-66.155,-91.26,1.7,-48.49,-76.54,1073.142,10.7697148989,-2.5669999999999997,2.468,-0.4827,-0.005866,103.3,-1862.0,3.239,4.906000000000001,-1757.0,-1.4880000000000002,0.8433,-1.395,2.7680000000000002,39.13,-256.6,-0.8138,0.7551,-215.9,-3682.517114,-3713.2798780000003,2508.51,-888.64,3397.15,-0.1135,0.0,0.0,0.0,-6.747838000000001,-8.558783,-3.441007,-5.224671,-7.20220027041,2.62418,0.00532,25
swarm_0_98.pdb,3,1,1,5,10,5,7,1,13,1,1,0,1,1,0,0.44333333333333336,0.41000000000000003,0.64,0.552,0.53,0.34600000000000003,0.45428571428571424,0.44,0.5046153846153846,0.0,0.87,0.6,0.62,0.9,0.0,0.64,2.7600000000000002,0.53,3.4600000000000004,3.1799999999999997,0.44,6.56,0.0,0.87,0.6,0.62,0.9,0.0,41.57,30.42,1701.5699999999997,903.9399999999987,797.630000000001,1.7320508075688772,2.23606797749979,2.6457513110645907,0.0,1.0,3.605551275463989,1.0,1.0,3.1622776601683795,2.23606797749979,1.0,1.0,0.0,1.0,1.0,0.9568,0.536,3.0,-2.2,-19.8,-130.4,4.06,-135.76,126.72,1.12,0.036494,0.62,31.0,17.4,-11.0,132.476,2.2,13.8,20.0,-0.22,17.64,-0.74,-240.2,-0.666304922,9.1,-8.852319,-14.75,-29.362,-35.31,-32.78,-3341.47,-2.82,-10.42,-42.99,-1.14,-1171.65,-557.74,0.0,0.0,0.0,0.0,0.0,-41.6237,34.6091,0.00042699999999999997,-18.53,23.956999999999997,-51.702,0.256,-43.669,-2.526,-1.696,-62.536,-156.2,102.39,-230.6,-52.47,1494.1789999999999,17.396152757,-2.39,2.3890000000000002,1.1740000000000002,1.338,87.04,-2833.0,18.6,-27.74,-2792.0,-1.619,1.242,-0.2532,2.084,18.43,-381.1,3.0789999999999997,-1.248,-367.0,-4937.948931,-4983.490363,3320.17,-1503.6,4823.76,-0.0952,0.0,0.0,0.0,-8.490307000000001,-13.855927,-7.664889,-23.775907999999998,-8.087780560630002,4.37078,0.00966,50
swarm_100_112.pdb,2,2,1,4,4,4,13,3,9,1,0,1,0,0,0,0.38,0.39,0.44,0.5774999999999999,0.35,0.35000000000000003,0.4507692307692307,0.49333333333333335,0.4766666666666667,0.0,0.0,0.0,0.0,0.9,0.67,0.88,2.3099999999999996,0.35,1.4000000000000001,5.859999999999999,1.48,4.29,0.0,0.0,0.0,0.0,0.9,0.67,41.19,31.34,1535.6000000000022,739.6700000000001,795.9300000000003,1.4142135623730951,2.0,3.605551275463989,0.0,1.7320508075688772,3.0,1.4142135623730951,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,-0.29600000000000004,-3.076,1.08,-12.8,-21.6,-119.2,4.8,-89.46,102.38,-3.46,0.02632,-5.04,17.0,2.6,-22.6,88.544,1.2,8.4,15.4,2.54,8.56,11.86,-182.2,-0.23639082879999998,9.9,-7.82227,-8.14,-20.730999999999998,-36.07,-38.85,-3020.64,-0.03,-4.86,5.14,7.29,-763.96,-283.7,0.0,0.0,0.0,0.0,0.0,-15.0542,73.0578,0.000398,3.57,13.097999999999999,-37.873000000000005,12.88,-50.001000000000005,-3.855,-2.905,-36.446999999999996,-115.8,185.27,6.66,-124.52,943.097,25.268832907100002,-1.9680000000000002,1.8869999999999998,-0.5095,-0.9637,-114.6,-1998.0,5.893,1.6869999999999998,-2117.0,-1.3030000000000002,0.9324,0.7931,3.1460000000000004,-5.983,-396.8,7.144,5.327000000000001,-404.6,-4046.7900340000006,-4095.473692,3044.3,-1070.33,4114.63,0.1619,0.0,0.0,0.0,-0.611683,-5.281583,-4.031275,-9.381110000000001,-11.5485165986,3.38403,0.004295,44
