Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_51.pdb,2,7,1,7,2,9,13,3,8,0,0,3,2,0,1,0.49,0.3971428571428572,0.5271428571428572,0.5733333333333334,0.39,0.41,0.5,0.51,0.4925,0.34,0.0,0.52,0.0,0.0,0.7933333333333333,3.6900000000000004,5.16,0.39,0.82,6.5,1.53,3.94,0.34,0.0,1.04,0.0,0.0,2.38,31.16,33.82,1766.8199999999997,904.0699999999997,862.75,1.4142135623730951,2.6457513110645907,3.605551275463989,1.0,1.7320508075688772,2.8284271247461903,2.6457513110645907,1.0,1.4142135623730951,3.0,0.0,0.0,1.7320508075688772,1.4142135623730951,0.0,-0.8816,-7.452000000000001,-3.6,-13.6,-29.2,-154.6,4.1,-122.72,125.3,-3.88,0.04565,-10.28,24.2,3.8,-27.4,134.05200000000002,-2.8,7.0,15.2,0.16,8.96,4.28,-248.6,-1.6452186519999998,-1.6,-13.252899,-13.5,-22.605,-59.33,-47.54,-3936.84,-30.13,-28.97,-19.19,6.47,-907.65,-22.92,0.0,0.0,0.0,0.0,0.0,-64.0285,-86.8152,0.000413,-5.3389999999999995,14.607999999999999,-46.522,4.617,-98.53299999999999,-0.7929999999999999,1.079,-168.045,-211.46,188.68,-104.25,-127.9,478.093,13.3563962076,-3.513,3.597,1.882,0.2641,-255.7,-2164.0,15.28,7.707000000000001,-2428.0,-3.554,2.8280000000000003,-1.227,3.18,-53.6,-373.7,0.6407,2.042,-425.9,-4739.04305,-4808.665171,1464.35,-1175.16,2639.51,-0.0376,0.0,0.0,0.0,-12.658555999999999,-12.668547,-18.965606,-25.795683,-17.2815871395,2.25513,0.002379,58
swarm_100_118.pdb,2,2,0,6,15,6,17,2,21,1,1,1,2,0,0,0.47,0.4466666666666667,0.5349999999999999,0.5433333333333333,0.0,0.34933333333333333,0.4541176470588236,0.54,0.5842857142857143,0.0,0.0,0.605,0.62,0.98,0.67,1.0699999999999998,3.26,0.0,5.24,7.7200000000000015,1.08,12.27,0.0,0.0,1.21,0.62,0.98,0.67,31.14,32.85,2653.199999999997,1427.0,1226.2000000000007,1.4142135623730951,2.449489742783178,4.123105625617661,0.0,1.4142135623730951,4.58257569495584,1.4142135623730951,0.0,3.872983346207417,2.449489742783178,1.0,1.0,1.0,1.4142135623730951,0.0,-3.0206,-9.288,-8.66,-18.6,-40.2,-196.2,5.16,-164.04,155.5,-7.36,-0.06385199999999999,-12.76,42.4,10.4,-33.8,216.59599999999998,-2.4,5.6,17.6,-3.86,9.16,4.34,-294.0,-2.55286476,14.9,-13.196577,-16.84,-36.497,-65.44,-57.73,-5916.69,-42.35,-24.58,-67.44,-33.31,-1465.72,-525.71,0.0,0.0,0.0,0.0,0.0,-107.899,-106.663,0.000172,-35.952,48.038999999999994,-85.728,3.514,14.619000000000002,-2.542,-2.819,-131.94899999999998,-235.74,183.23,-369.95,-161.21,2347.053,52.00662396640001,-4.624,4.76,1.5859999999999999,-2.052,-70.33,-4211.0,22.13,-32.13,-4336.0,-3.361,2.694,-2.351,1.6740000000000002,11.51,-638.3,-2.793,-1.205,-625.2,-6058.734533,-6146.327933,4424.82,-1802.4,6227.21,-0.0496,0.0,0.0,0.0,-10.903216,-18.977824,-14.834862,-25.189198,-20.6811252943,4.50793,0.006487000000000001,76
swarm_100_149.pdb,1,1,6,5,10,3,8,2,18,0,1,3,1,4,0,0.55,0.42000000000000004,0.49,0.51,0.47500000000000003,0.354,0.415,0.555,0.5555555555555556,0.0,0.4825,0.83,0.83,0.0,0.7799999999999999,0.49,1.53,2.85,3.54,3.32,1.11,10.0,0.0,1.93,0.83,0.83,0.0,2.34,30.86,33.01,2196.41,1111.3999999999996,1085.0100000000002,1.0,2.23606797749979,2.8284271247461903,0.0,1.4142135623730951,4.242640687119285,1.0,2.449489742783178,3.1622776601683795,1.7320508075688772,1.0,0.0,1.7320508075688772,1.0,2.0,-1.0996,-4.234,-3.6,-12.2,-28.8,-162.4,2.6,-138.5,129.14,-4.06,0.006481999999999999,-6.28,35.2,11.8,-23.2,108.866,3.0,9.0,15.6,-5.82,2.68,4.62,-242.6,-1.7164043662000001,9.3,-7.108292999999999,-8.68,-28.368000000000002,-62.28,-46.59,-4730.3,-24.56,-3.93,-1.97,9.97,-1127.46,-88.45,0.0,0.0,0.0,0.0,0.0,-70.4237,95.5048,0.000265,-22.14,32.666,-24.545,8.071,-3.679,-3.1239999999999997,-3.054,-11.62,-165.9,125.32,-464.86,-41.56,1387.67,36.641829066,-4.562,4.646,1.8630000000000002,-1.5959999999999999,138.9,-3560.0,19.96,-8.902000000000001,-3450.0,-4.019,3.428,-0.7899,2.543,18.14,-476.8,2.7119999999999997,5.172000000000001,-456.2,-5323.746343,-5388.741086,4000.66,-1417.68,5418.35,-0.1247,0.0,0.0,0.0,-5.787383,-10.757255,-7.663502,-13.720987,-15.5635877718,6.25451,0.00527,63
swarm_100_163.pdb,1,0,3,4,8,2,11,0,12,0,4,0,0,0,0,0.48,0.49000000000000005,0.0,0.44000000000000006,0.45,0.30875,0.44,0.0,0.6183333333333335,0.0,0.0,0.0,0.6975,0.0,0.0,0.0,0.8800000000000001,1.35,2.47,4.84,0.0,7.420000000000002,0.0,0.0,0.0,2.79,0.0,0.0,31.01,32.69,1818.7199999999975,871.9599999999991,946.75,1.0,2.0,3.3166247903554,0.0,0.0,3.4641016151377544,0.0,1.7320508075688772,2.8284271247461903,1.4142135623730951,2.0,0.0,0.0,0.0,0.0,-1.329,-5.507999999999999,-5.74,-12.6,-24.4,-137.8,4.26,-112.12,111.76,-5.94,-0.003332,-9.72,40.4,15.2,-20.2,145.15200000000002,2.4,6.8,17.8,-2.28,10.4,4.58,-203.2,-1.5574666062,7.6,-6.9882610000000005,-7.95,-25.241999999999997,-54.35,-55.38,-4024.65,-12.7,-7.54,3.23,-2.48,-1026.89,-296.13,0.0,0.0,0.0,0.0,0.0,-58.9341,90.4965,0.000292,-27.715,32.199,-35.271,0.9570000000000001,5.7139999999999995,-1.026,-1.135,5.478,-147.68,168.51,-157.41,-65.22,2130.2929999999997,21.205070136099998,-3.693,3.8160000000000003,1.5019999999999998,-2.23,6.784,-3013.0,15.36,-12.62,-3035.0,-2.696,2.193,-1.768,2.228,40.95,-483.7,-0.1948,2.9589999999999996,-439.6,-4868.011833,-4917.758153,4315.7,-1269.44,5585.14,-0.0504,0.0,0.0,0.0,-9.076371,-11.695006,-6.386973,-11.303592,-12.109954542899999,3.04927,0.007844,45
swarm_100_199.pdb,3,1,11,9,12,2,16,2,18,0,3,1,2,1,2,0.49666666666666665,0.40222222222222226,0.58,0.515,0.42090909090909084,0.3316666666666667,0.4381250000000001,0.545,0.5022222222222221,0.495,0.54,0.78,0.67,0.0,0.84,0.58,1.03,4.629999999999999,3.9800000000000004,7.010000000000002,1.09,9.04,0.99,0.54,1.56,2.0100000000000002,0.0,0.84,31.13,32.35,2556.989999999998,1242.8700000000008,1314.1299999999992,1.7320508075688772,3.0,4.0,1.4142135623730951,1.4142135623730951,4.242640687119285,1.0,3.3166247903554,3.4641016151377544,1.4142135623730951,1.7320508075688772,0.0,1.0,1.4142135623730951,1.0,2.12,-9.216000000000001,0.56,-10.4,-30.4,-245.4,7.18,-223.84,211.04,-2.32,0.01094,-3.8,69.0,40.2,-15.8,200.988,10.4,24.4,37.4,1.2,16.84,7.28,-371.6,-0.507891263,21.3,-12.341004,-18.71,-32.933,-75.83,-56.15,-3740.53,-7.81,-22.12,-23.29,-18.55,-1450.23,-175.75,0.0,0.0,0.0,0.0,0.0,-88.8297,61.9432,0.00020099999999999998,-28.427,39.29,-74.23899999999999,3.4389999999999996,6.312,-5.835,-5.955,-65.315,-197.34,246.44,-563.79,116.32,1169.045,32.615730913600004,-4.123,4.192,0.8998,-1.736,8.416,-4131.0,17.6,-33.02,-4173.0,-2.891,2.781,-0.1165,1.31,57.19,-682.2,8.167,-1.6230000000000002,-634.8,-5865.84665,-5973.06171,3250.17,-1634.5,4884.68,0.0955,0.0,0.0,0.0,-3.387714,-7.695572,-5.250202,-16.219279999999998,-20.3085482366,3.8646800000000003,0.004542,83
swarm_101_134.pdb,2,2,3,0,3,2,17,8,3,2,1,1,0,0,0,0.48,0.0,0.605,0.6950000000000001,0.38999999999999996,0.29666666666666663,0.47941176470588237,0.50875,0.3466666666666667,0.0,0.0,0.0,0.67,0.635,0.7,1.21,1.3900000000000001,1.17,0.8899999999999999,8.15,4.07,1.04,0.0,0.0,0.0,0.67,1.27,0.7,30.95,32.86,1741.5300000000025,946.3999999999996,795.1299999999992,1.4142135623730951,0.0,4.123105625617661,0.0,2.8284271247461903,1.7320508075688772,1.4142135623730951,1.7320508075688772,1.7320508075688772,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,-1.9086,-0.774,-2.3,-10.4,-25.6,-128.4,0.72,-96.46,88.74,-2.5,-0.065224,-4.54,16.8,2.8,-21.8,39.63,-3.8,1.0,5.8,-3.5,-1.98,3.28,-168.6,-1.1485499152,4.8,-9.047943,-12.31,-20.588,-54.78,-36.71,-3137.46,-13.91,-6.43,-39.65,-1.54,-1130.04,-357.1,0.0,0.0,0.0,0.0,0.0,-6.946110000000001,57.9548,0.000307,5.843,18.549,-41.537,20.239,25.315,-2.084,-2.565,-71.931,-106.95,116.95,-218.08,-131.47,381.26599999999996,33.0838862844,-2.544,2.58,0.3781,-1.681,63.28,-2357.0,3.9339999999999997,1.1520000000000001,-2297.0,-2.9410000000000003,2.471,-0.55,2.0709999999999997,-11.41,-396.5,1.5659999999999998,3.9739999999999998,-405.5,-4353.830632,-4408.208839,1555.71,-1057.24,2612.95,0.0448,0.0,0.0,0.0,0.927336,-0.622217,-4.88592,-8.582905,-12.3934615753,1.04414,0.003068,44
swarm_101_154.pdb,5,3,9,2,11,5,10,1,22,0,2,0,1,1,0,0.47000000000000003,0.525,0.44333333333333336,0.6259999999999999,0.4488888888888889,0.4027272727272727,0.441,0.49,0.5049999999999999,0.0,0.57,0.83,0.7,0.0,0.0,1.33,3.1299999999999994,4.04,4.43,4.41,0.49,11.109999999999998,0.0,0.57,0.83,1.4,0.0,0.0,30.96,32.92,2740.7899999999972,1292.5299999999988,1448.2499999999982,2.23606797749979,1.4142135623730951,3.1622776601683795,0.0,1.0,4.69041575982343,1.7320508075688772,3.0,3.3166247903554,2.23606797749979,1.4142135623730951,0.0,0.0,1.0,1.0,-3.7168,-9.886000000000001,-10.74,-20.6,-43.2,-213.2,0.3,-173.92,154.54,-8.3,0.012948,-13.6,30.0,3.4,-38.2,153.304,-5.6,2.6,9.4,-3.16,-0.8,3.36,-305.2,-2.0743147928,6.5,-10.597233000000001,-20.35,-34.673,-68.89,-59.01,-5443.95,-7.79,-20.06,-35.27,5.18,-1435.32,-119.23,0.0,0.0,0.0,0.0,0.0,-60.7357,580.893,0.000194,-14.159,31.511,-0.12300000000000001,17.339000000000002,74.024,-1.6480000000000001,-3.054,-78.907,-191.36,82.71,-457.67,-158.25,1966.8270000000002,35.5422059476,-2.497,2.497,0.9959,-0.0703,213.0,-4334.0,15.26,-12.43,-4149.0,-1.28,0.4831,-1.815,3.264,67.85,-699.9,-1.083,3.47,-627.5,-5904.369425,-5992.410167,2785.68,-1783.81,4569.49,-0.1509,0.0,0.0,0.0,-11.400533,-12.508014999999999,-14.082892999999999,-23.654985,-22.957788069099998,10.6727,0.004347,72
swarm_101_50.pdb,1,3,10,2,8,1,12,2,13,0,3,1,0,0,0,0.49,0.39,0.44333333333333336,0.53,0.422,0.37124999999999997,0.43416666666666665,0.56,0.5492307692307692,0.0,0.0,0.0,0.7266666666666667,0.0,0.7,1.33,0.53,4.22,2.9699999999999998,5.21,1.12,7.14,0.0,0.0,0.0,2.18,0.0,0.7,31.03,32.94,2088.4600000000028,1049.3799999999992,1039.08,1.0,1.4142135623730951,3.4641016151377544,0.0,1.4142135623730951,3.605551275463989,1.7320508075688772,3.1622776601683795,2.8284271247461903,1.0,1.7320508075688772,0.0,1.0,0.0,0.0,-1.083,-6.772,-1.74,-10.4,-28.0,-199.0,4.76,-148.98,144.8,-2.62,0.000338,-4.7,41.4,20.6,-19.6,99.162,1.4,7.4,16.2,-2.82,5.86,7.98,-268.0,-0.5999024302,6.3,-8.743043,-12.0,-25.461,-51.24,-36.7,-4130.93,0.26,-6.63,-12.88,12.16,-1159.69,40.82,0.0,0.0,0.0,0.0,0.0,-46.1651,129.875,0.000227,-7.744,29.32,-29.381999999999998,18.637999999999998,46.257,-2.073,-2.952,-64.468,-155.19,90.46,-366.99,-96.38,1727.995,41.5188838961,-2.59,2.519,-0.1946,-0.495,308.3,-3211.0,3.668,-8.164,-2914.0,-2.537,1.912,-0.8391,2.88,54.18,-532.6,2.721,3.043,-478.1,-4903.377892,-4968.122085,2665.22,-1281.2,3946.41,-0.1797,0.0,0.0,0.0,-0.969306,-6.446807,-6.966956,-18.846639,-17.428611336099998,1.42703,0.004304,56
swarm_10_174.pdb,6,0,3,14,11,2,19,3,6,0,0,0,1,1,2,0.42333333333333334,0.4078571428571429,0.0,0.6950000000000001,0.39333333333333337,0.4072727272727273,0.4394736842105264,0.5033333333333333,0.4750000000000001,0.51,0.55,0.52,0.0,0.0,0.0,0.0,1.3900000000000001,1.1800000000000002,4.48,8.350000000000001,1.51,2.8500000000000005,1.02,0.55,0.52,0.0,0.0,0.0,31.14,33.09,2042.9799999999996,1002.1900000000005,1040.789999999999,2.449489742783178,3.7416573867739413,4.358898943540674,1.4142135623730951,1.7320508075688772,2.449489742783178,0.0,1.7320508075688772,3.3166247903554,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,6.3952,-7.4239999999999995,5.72,-8.6,-17.4,-136.0,8.44,-143.52,172.46,-2.68,0.010926,-5.14,43.8,24.4,-9.2,102.85,24.2,35.8,41.4,5.16,18.38,17.16,-306.6,-0.507369622,12.7,-7.9972330000000005,-13.85,-25.839000000000002,-51.81,-38.94,-3416.82,12.04,-0.21,28.71,24.24,-1084.04,-173.76,0.0,0.0,0.0,0.0,0.0,-37.4183,105.24,0.000276,-7.945,21.765,-53.633,8.457,-221.204,-7.2010000000000005,-2.998,12.125,-137.72,268.62,-37.12,-22.54,-3185.597,38.450103695500005,-4.374,4.33,-0.1601,-1.4769999999999999,-177.3,-3509.0,4.458,6.456,-3685.0,-3.2560000000000002,3.016,-0.6345,0.7892,8.493,-522.3,2.988,0.1949,-516.6,-5133.911405,-5205.188449,2956.02,-1296.23,4252.26,0.0031,0.0,0.0,0.0,4.262141000000001,-2.8580799999999997,-2.153524,-22.206872,-14.223372330899998,3.95811,0.005515,68
swarm_10_191.pdb,1,1,4,9,11,3,3,2,10,0,0,0,2,3,4,0.43,0.3888888888888889,0.49,0.5533333333333333,0.38750000000000007,0.3836363636363637,0.4366666666666667,0.545,0.6529999999999999,0.6075,0.4766666666666666,0.605,0.0,0.0,0.0,0.49,1.6600000000000001,1.5500000000000003,4.220000000000001,1.31,1.09,6.529999999999999,2.43,1.43,1.21,0.0,0.0,0.0,31.16,32.61,1674.8500000000022,748.3900000000012,926.4699999999993,1.0,3.0,1.7320508075688772,2.0,1.4142135623730951,3.1622776601683795,1.0,2.0,3.3166247903554,1.7320508075688772,0.0,0.0,0.0,1.4142135623730951,1.7320508075688772,1.8624,-1.6219999999999999,-0.4,-5.2,-20.2,-140.8,3.58,-159.86,152.96,-1.3,-0.045808,-1.24,31.6,19.4,-11.0,70.622,13.4,23.2,27.0,-0.68,11.36,7.34,-287.6,-0.4891410562,8.9,-5.5941790000000005,-13.65,-21.822,-54.87,-41.12,-3264.25,-21.72,-20.9,7.16,35.48,-816.12,266.71,0.0,0.0,0.0,0.0,0.0,-70.1435,265.192,0.00035299999999999996,-21.588,18.202,1.24,-3.262,16.846,-3.235,-3.555,-17.396,-86.53,120.41,-126.16,3.24,-4988.4529999999995,32.3291375819,-3.284,3.3539999999999996,2.36,-0.3029,108.7,-3070.0,23.8,7.627999999999999,-2978.0,-1.435,1.632,0.1017,-0.9631,25.63,-410.2,4.913,-2.918,-392.4,-4694.681945,-4751.774837,1634.28,-1122.28,2756.57,-0.0926,0.0,0.0,0.0,-2.130976,-5.348996,-3.200398,-19.154159,-14.4233806947,6.13241,0.005906000000000001,53
