Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_193.pdb,0,6,4,0,12,3,9,2,12,1,0,2,1,0,0,0.0,0.0,0.5266666666666667,0.6033333333333334,0.44500000000000006,0.3641666666666666,0.4755555555555555,0.44,0.5091666666666667,0.0,0.0,0.83,0.0,0.9,0.8200000000000001,3.16,1.81,1.7800000000000002,4.369999999999999,4.279999999999999,0.88,6.11,0.0,0.0,0.83,0.0,0.9,1.6400000000000001,36.36,34.09,1689.0999999999985,676.9099999999999,1012.1900000000005,0.0,0.0,3.0,0.0,1.4142135623730951,3.4641016151377544,2.449489742783178,2.0,3.4641016151377544,1.7320508075688772,0.0,1.0,1.4142135623730951,1.0,0.0,-1.5724,-9.744,-2.76,-8.6,-26.0,-203.0,5.08,-173.18,157.1,-2.0,-0.070764,-6.44,36.2,13.6,-29.0,146.02,4.8,14.6,25.0,-3.88,5.76,7.54,-290.4,-1.386228033,8.8,-10.705452000000001,-14.23,-25.209,-60.13,-46.03,-4718.53,-3.75,-18.39,-35.34,14.03,-1017.22,-273.11,0.0,0.0,0.0,0.0,0.0,-45.6999,-63.4579,0.000354,-8.486,5.2379999999999995,-20.191,-5.267,-69.077,-2.948,-1.636,0.0,-133.74,179.91,-187.89,-75.99,-1831.9270000000001,22.2784224437,-1.7630000000000001,1.892,0.8923,-1.5319999999999998,464.9,-3345.0,15.54,-50.02,-2946.0,-1.395,1.34,0.3968,1.247,116.2,-601.1,10.3,-2.972,-498.2,-4426.142347999999,-4477.880738,1726.13,-1247.92,2974.05,0.1252,0.0,0.0,0.0,-2.2111709999999998,-6.788161,-11.286589999999999,-23.268752,-18.5067546134,2.26222,0.003404,52
swarm_0_23.pdb,4,3,4,3,4,2,11,4,9,0,1,1,1,2,0,0.42,0.42333333333333334,0.49,0.48,0.39749999999999996,0.33499999999999996,0.4545454545454545,0.4975,0.5244444444444445,0.0,0.375,0.53,0.58,0.0,0.7,1.47,0.96,1.5899999999999999,1.3399999999999999,4.999999999999999,1.99,4.720000000000001,0.0,0.75,0.53,0.58,0.0,0.7,36.3,33.7,1508.8300000000017,705.5699999999997,803.260000000002,2.0,1.7320508075688772,3.3166247903554,0.0,2.0,3.0,1.7320508075688772,2.0,2.0,1.4142135623730951,1.0,0.0,1.0,1.0,1.4142135623730951,3.6926,-0.564,3.84,-8.0,-5.8,-126.0,7.28,-101.68,114.24,-0.48,0.012722,-2.58,34.0,21.8,-4.6,35.724000000000004,16.6,23.4,27.6,1.9,6.3,11.66,-185.6,0.3198129952,17.6,-9.730875,-14.61,-21.156999999999996,-39.25,-32.33,-3209.96,12.89,3.91,0.17,10.22,-905.0,-489.65,0.0,0.0,0.0,0.0,0.0,-43.1889,-13.1359,0.000472,-7.004,18.769000000000002,-33.699,8.395,53.928000000000004,-4.056,-5.081,0.0,-152.91,155.34,-313.28,12.07,-1167.9,24.2162464186,-2.001,2.044,-0.1589,-1.659,7.175,-2870.0,6.55,-26.63,-2896.0,-1.804,1.859,1.217,1.379,35.54,-438.8,9.863999999999999,-1.7790000000000001,-414.9,-3995.3498259999997,-4054.6348869999997,1683.91,-1055.65,2739.55,0.0879,0.0,0.0,0.0,-0.27576999999999996,-0.235303,-2.147613,-11.259967999999999,-9.07604157861,5.76066,0.007162999999999999,49
swarm_0_3.pdb,3,3,3,4,8,4,8,3,4,1,0,2,3,1,1,0.49000000000000005,0.37250000000000005,0.5966666666666667,0.4775,0.42333333333333334,0.31499999999999995,0.45125000000000004,0.5333333333333333,0.3925,0.48,0.27,0.5766666666666667,0.0,0.9,0.55,1.79,1.91,1.27,2.5199999999999996,3.6100000000000003,1.6,1.57,0.48,0.27,1.73,0.0,0.9,1.1,35.87,34.06,1786.1500000000015,833.8099999999995,952.3500000000004,1.7320508075688772,2.0,2.8284271247461903,1.0,1.7320508075688772,2.0,1.7320508075688772,1.7320508075688772,2.8284271247461903,2.0,0.0,1.0,1.4142135623730951,1.7320508075688772,1.0,3.2564,-2.65,8.02,-3.8,-12.8,-151.2,8.0,-143.94,150.92,1.62,-0.031056,-1.64,39.8,23.4,-5.6,56.222,15.6,25.0,34.2,7.38,12.14,12.7,-245.6,-0.3437509268,5.7,-6.8835820000000005,-12.26,-22.699,-55.88,-48.42,-2444.89,4.38,3.28,-13.72,-10.27,-1052.44,-554.99,0.0,0.0,0.0,0.0,0.0,-33.0817,-74.477,0.000324,-18.173,2.86,-52.61,-20.574,-111.041,-5.412999999999999,-3.303,0.0,-100.56,85.53,-501.94,-64.63,514.96,26.2524865873,-2.958,2.8789999999999996,-0.2171,-0.9839,113.2,-3412.0,3.88,12.68,-3290.0,-2.247,2.251,0.4836,0.8609,54.76,-467.7,6.341,2.4819999999999998,-416.8,-4114.732149,-4154.604457,2445.33,-1111.15,3556.49,-0.0762,0.0,0.0,0.0,2.9530689999999997,0.8873409999999999,-1.143722,-8.896722,-11.851718535,5.1628,0.004375,48
swarm_0_40.pdb,0,3,4,3,4,2,8,3,6,1,1,2,2,3,0,0.0,0.3466666666666667,0.6,0.515,0.41000000000000003,0.295,0.515,0.5333333333333333,0.34500000000000003,0.0,0.41,0.675,0.58,0.9,0.84,1.7999999999999998,1.03,1.6400000000000001,1.18,4.12,1.6,2.0700000000000003,0.0,1.23,1.35,0.58,0.9,1.68,35.79,33.58,1216.0699999999997,630.1699999999983,585.9000000000015,0.0,1.7320508075688772,2.8284271247461903,0.0,1.7320508075688772,2.449489742783178,1.7320508075688772,2.0,2.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,1.7320508075688772,2.1952,-2.85,1.96,-7.8,-9.6,-100.6,4.3,-80.32,85.5,-1.46,0.048468000000000004,-3.32,26.0,12.8,-7.4,62.934,7.8,12.6,17.0,5.16,8.72,7.24,-148.0,0.12222865720000001,7.9,-8.85117,-12.82,-18.909000000000002,-45.03,-29.32,-2000.07,1.28,-3.91,-44.46,-25.42,-685.3,-448.98,0.0,0.0,0.0,0.0,0.0,-25.0716,-13.9463,0.000508,-8.666,15.135,-46.687,1.8,-9.818999999999999,-3.278,-3.091,0.0,-95.38,97.9,-130.74,-42.17,-493.39599999999996,14.3819239528,-1.213,1.255,0.4567,-0.5466,264.0,-2299.0,7.507000000000001,-28.74,-2071.0,-0.7286,0.6294,0.027489999999999997,0.8537,77.99,-406.9,5.13,-2.259,-336.3,-3764.590441,-3807.995997,508.25,-941.2,1449.44,-0.0959,0.0,0.0,0.0,1.157936,-0.899726,-1.592919,-5.461712,-11.6199129428,10.2559,0.0036899999999999997,42
swarm_100_12.pdb,1,2,6,8,9,11,6,1,19,1,2,2,6,2,0,0.32,0.47,0.5549999999999999,0.5927272727272727,0.4283333333333334,0.4066666666666667,0.4583333333333333,0.44,0.4936842105263157,0.0,0.52,0.6516666666666667,0.775,0.49,0.72,1.1099999999999999,6.52,2.5700000000000003,3.66,2.75,0.44,9.379999999999999,0.0,1.04,3.9100000000000006,1.55,0.49,1.44,35.98,34.09,2107.1899999999987,953.3400000000001,1153.8400000000001,1.0,2.8284271247461903,2.449489742783178,0.0,1.0,4.358898943540674,1.4142135623730951,2.449489742783178,3.0,3.3166247903554,1.4142135623730951,1.0,1.4142135623730951,2.449489742783178,1.4142135623730951,-3.122,-10.412,-9.8,-13.4,-46.6,-236.2,0.28,-219.88,185.86,-5.52,0.010186,-10.2,45.4,17.6,-37.2,213.12400000000002,-6.6,8.0,18.2,-1.68,0.98,-15.4,-367.8,-1.2618965834,4.8,-11.374001,-15.97,-32.38,-91.44,-76.2,-6210.44,-35.02,-13.09,-78.69,-15.11,-1374.48,33.57,0.0,0.0,0.0,0.0,0.0,-75.6692,214.452,0.000285,-15.094000000000001,21.366999999999997,-17.660999999999998,4.507,-14.780999999999999,-0.3,-0.019,0.0,-272.49,114.65,-195.39,-105.2,642.16,46.2282853574,-2.667,2.859,2.052,-1.008,68.96,-3587.0,29.2,-50.27,-3598.0,-2.378,1.754,-1.304,2.318,14.41,-650.3,3.864,-3.444,-643.2,-5214.782814,-5278.234347,2534.08,-1636.29,4170.37,0.11699999999999999,0.0,0.0,0.0,-7.770739999999999,-11.352938,-11.541482,-18.864199,-20.724069092,2.13659,0.003908,76
swarm_100_163.pdb,1,2,2,2,8,4,9,1,13,1,0,2,0,1,0,0.55,0.37,0.5349999999999999,0.5975,0.34,0.37374999999999997,0.47888888888888886,0.49,0.49,0.0,0.54,0.0,0.0,0.9,0.67,1.0699999999999998,2.39,0.68,2.9899999999999998,4.31,0.49,6.37,0.0,0.54,0.0,0.0,0.9,1.34,35.16,34.8,1507.0299999999952,695.1499999999978,811.8999999999978,1.0,1.4142135623730951,3.0,0.0,1.0,3.605551275463989,1.4142135623730951,1.4142135623730951,2.8284271247461903,2.0,0.0,1.0,1.4142135623730951,0.0,1.0,-0.0656,-3.57,-0.52,-6.0,-19.2,-119.4,2.4,-107.56,95.74,-0.96,0.048342,-2.38,15.6,6.8,-16.4,98.344,-0.2,5.4,11.0,-1.76,7.46,11.6,-182.4,-0.8399969279999999,5.6,-7.925828,-10.38,-22.052,-33.71,-34.83,-2903.02,-4.2,-6.15,-53.86,-8.26,-924.06,-488.47,0.0,0.0,0.0,0.0,0.0,-14.3812,-39.3489,0.000475,-1.4340000000000002,15.88,-44.044,10.041,-18.307000000000002,-3.21,-2.862,0.0,-151.43,153.57,35.59,-65.47,1500.185,31.1279793084,-1.249,1.27,0.5131,-0.09507,244.1,-2623.0,9.25,-41.99,-2430.0,-0.9269,0.5425,-1.2919999999999998,1.193,79.02,-479.2,2.141,-6.0760000000000005,-408.4,-4076.171972,-4128.031111,2701.89,-1060.72,3762.61,0.0811,0.0,0.0,0.0,-4.325346,-6.504157,-4.351281,-8.941044999999999,-11.079404034100001,-0.384814,0.004587,46
swarm_100_179.pdb,2,1,2,2,10,2,10,0,10,0,1,0,0,4,0,0.485,0.445,0.58,0.595,0.46,0.42299999999999993,0.501,0.0,0.45899999999999996,0.0,0.51,0.0,0.73,0.0,0.0,0.58,1.19,0.92,4.2299999999999995,5.01,0.0,4.59,0.0,2.04,0.0,0.73,0.0,0.0,35.19,34.44,1579.119999999999,742.8200000000015,836.2800000000007,1.4142135623730951,1.4142135623730951,3.1622776601683795,0.0,0.0,3.1622776601683795,1.0,1.4142135623730951,3.1622776601683795,1.4142135623730951,1.0,0.0,0.0,0.0,2.0,1.6616,-3.202,1.56,-5.8,-11.8,-98.6,3.86,-92.4,95.74,-0.84,0.009014,-2.42,20.8,12.6,-10.2,71.3,9.6,15.6,19.6,-0.88,11.94,11.1,-171.2,-0.014047646799999999,4.0,-7.189678999999999,-12.74,-23.74,-35.25,-32.09,-2313.21,-7.55,-8.89,-59.44,1.65,-926.46,-404.7,0.0,0.0,0.0,0.0,0.0,-15.3555,534.076,0.000341,-8.602,21.695,-48.486000000000004,8.245,-24.976999999999997,-2.099,-1.624,0.0,-152.68,154.89,91.79,-103.68,924.422,27.689935779200002,-1.649,1.661,-0.2562,-1.4980000000000002,-21.03,-2707.0,6.728,-40.24,-2775.0,-1.192,1.055,0.1526,1.518,20.87,-442.6,5.945,-4.124,-431.8,-4238.398728,-4281.091222,1867.11,-1176.03,3043.13,-0.0306,0.0,0.0,0.0,-1.560827,-5.166386,-3.977983,-7.733561999999999,-11.294225673900002,0.8595520000000001,0.003886,44
swarm_100_189.pdb,3,4,5,4,5,11,8,1,14,0,0,3,0,0,0,0.43333333333333335,0.43000000000000005,0.46499999999999997,0.5718181818181819,0.392,0.382,0.45,0.44,0.505,0.0,0.0,0.0,0.0,0.0,0.6933333333333334,1.8599999999999999,6.290000000000001,1.9600000000000002,1.9100000000000001,3.6,0.44,7.069999999999999,0.0,0.0,0.0,0.0,0.0,2.08,34.94,34.57,1787.869999999999,903.5499999999993,884.3199999999997,1.7320508075688772,2.0,2.8284271247461903,0.0,1.0,3.7416573867739413,2.0,2.23606797749979,2.23606797749979,3.3166247903554,0.0,0.0,1.7320508075688772,0.0,0.0,-0.46299999999999997,-5.4,-3.52,-9.8,-19.6,-132.6,4.88,-101.32,105.84,-3.82,0.005984000000000001,-6.38,36.8,15.6,-17.2,164.5,2.2,10.2,18.6,4.0,10.1,5.9,-194.4,-0.38420515920000003,4.0,-11.130313000000001,-13.38,-27.340999999999998,-53.8,-48.24,-3713.74,-15.24,-14.61,-60.39,-12.43,-1190.34,-653.33,0.0,0.0,0.0,0.0,0.0,-65.3212,-127.52600000000001,0.000404,-22.936,24.804000000000002,-55.356,-3.668,-67.47399999999999,-1.766,-0.484,0.0,-169.32,168.33,-31.88,-163.88,1029.65,22.7666468576,-0.99,1.122,1.8090000000000002,-0.3853,237.0,-3160.0,18.77,-26.38,-2968.0,-0.9729,0.2032,-0.9104,3.239,42.84,-554.3,4.1610000000000005,1.725,-513.9,-4589.147465999999,-4641.6345,1890.38,-1357.02,3247.41,-0.0126,0.0,0.0,0.0,1.852441,-1.336184,-3.3677660000000005,-10.52369,-19.8746856916,6.4751199999999995,0.0045,58
swarm_100_23.pdb,3,4,8,1,8,1,9,3,7,0,9,2,0,4,0,0.4466666666666666,0.52,0.5625,0.62,0.41625,0.36125,0.5066666666666666,0.53,0.44428571428571434,0.0,0.46249999999999997,0.0,0.6766666666666666,0.0,0.735,2.25,0.62,3.33,2.89,4.56,1.59,3.1100000000000003,0.0,1.8499999999999999,0.0,6.09,0.0,1.47,35.64,34.18,1537.119999999999,686.2299999999996,850.880000000001,1.7320508075688772,1.0,3.0,0.0,1.7320508075688772,2.6457513110645907,2.0,2.8284271247461903,2.8284271247461903,1.0,3.0,0.0,1.4142135623730951,0.0,2.0,-0.7366,-1.482,-0.92,-6.6,-24.2,-200.8,0.22,-209.38,167.12,-0.32,0.031904,-1.22,33.6,18.6,-18.4,82.368,5.8,14.8,19.8,-5.4,5.96,5.7,-321.8,-1.7229298874,-5.7,2.362068,-3.19,-14.921,-59.16,-45.89,-3807.81,12.21,-11.99,140.83,81.42,-354.73,1513.93,0.0,0.0,0.0,0.0,0.0,52.582,2650.89,0.000315,-8.086,19.516,133.968,24.826999999999998,18.039,-1.594,-1.9369999999999998,0.0,15.09,59.54,-540.06,79.76,3275.047,30.597931631799998,-2.0340000000000003,1.986,-0.3121,-0.615,182.6,-3036.0,6.157,-41.75,-2901.0,-0.838,0.7201,-0.6018,0.1291,31.85,-551.0,6.212999999999999,-9.336,-534.7,-3430.3317810000003,-3495.838472,3125.78,-880.95,4006.73,0.0917,0.0,0.0,0.0,0.314558,-7.276269,-4.9367,-21.453336,-18.5806897657,11.8313,0.002966,59
swarm_100_67.pdb,1,2,3,1,10,1,13,2,9,0,2,2,1,2,0,0.48,0.37,0.49,0.55,0.42,0.378,0.41846153846153844,0.525,0.5777777777777777,0.0,0.47,0.52,0.7,0.0,0.82,0.98,0.55,1.26,3.7800000000000002,5.4399999999999995,1.05,5.199999999999999,0.0,0.94,0.52,1.4,0.0,1.64,36.13,33.94,1298.0599999999977,511.84000000000015,786.2200000000012,1.0,1.0,3.605551275463989,0.0,1.4142135623730951,3.0,1.4142135623730951,1.7320508075688772,3.1622776601683795,1.0,1.4142135623730951,0.0,1.4142135623730951,1.0,1.4142135623730951,-0.3658,-1.16,0.3,-4.4,-17.2,-136.4,2.76,-132.78,117.16,0.28,0.071214,0.3,28.2,15.8,-13.4,76.96600000000001,6.6,11.4,15.8,-5.2,0.02,6.26,-218.0,-0.09033635,11.5,-9.578211999999999,-13.26,-21.985,-42.63,-43.63,-3291.82,-7.62,-10.6,-51.14,-27.09,-996.96,-450.84,0.0,0.0,0.0,0.0,0.0,-54.2301,-54.0378,0.000492,-25.096999999999998,5.7139999999999995,-49.283,-24.31,18.921,-4.453,-4.813,0.0,-173.73,61.11,-325.96,5.41,211.15,24.3000918655,-2.483,2.6460000000000004,1.944,-0.3608,-245.3,-2354.0,20.64,-27.4,-2647.0,-2.009,1.6119999999999999,-0.3258,1.955,-17.63,-355.2,3.935,-1.831,-378.6,-4133.075226,-4187.7013719999995,1934.17,-1106.78,3040.95,-0.1207,0.0,0.0,0.0,-5.934051999999999,-9.786805000000001,-4.725292,-9.181649,-11.777888839600001,-0.256576,0.005653,49
