Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_130.pdb,3,0,1,7,11,3,5,1,15,0,5,4,0,4,1,0.52,0.43142857142857144,0.0,0.6333333333333333,0.57,0.3590909090909091,0.42400000000000004,0.5,0.5286666666666666,0.34,0.44499999999999995,0.0,0.8380000000000001,0.0,0.82,0.0,1.9,0.57,3.95,2.12,0.5,7.93,0.34,1.7799999999999998,0.0,4.19,0.0,3.28,35.02,33.33,1857.869999999999,702.130000000001,1155.7299999999996,1.7320508075688772,2.6457513110645907,2.23606797749979,1.0,1.0,3.872983346207417,0.0,1.0,3.3166247903554,1.7320508075688772,2.23606797749979,0.0,2.0,0.0,2.0,-1.7604,-4.3,-3.14,-9.4,-25.6,-145.2,0.64,-158.22,130.06,-2.86,0.06887,-5.46,29.0,10.8,-18.6,120.988,0.0,7.2,13.0,-1.68,4.32,-4.38,-247.2,-0.519312066,-10.4,-2.711878,-12.43,-22.0353,-67.67,-52.17,-4181.07,6.04,-4.91,82.65,73.05,-757.6,754.02,0.0,0.0,0.0,0.0,0.0,-47.8494,1034.02,0.00037200000000000004,-7.702999999999999,3.1319999999999997,89.75299999999999,4.404,-368.903,0.035,7.045,0.0,-50.12,11.76,-750.3,56.58,469.352,0.504023466725,-1.858,1.984,0.8861,-1.475,-29.44,-2963.0,16.5,-10.96,-3020.0,-1.401,1.069,-1.018,0.6345,-11.1,-500.6,0.5114,-5.191,-517.4,-3811.895294,-3895.934928,2353.78,-1310.44,3664.22,0.0751,0.0,0.0,0.0,-3.4953190000000003,-3.5486940000000002,-9.439785,-20.518879000000002,-18.6439147923,5.18259,0.00705,60
swarm_0_152.pdb,2,1,3,5,5,3,3,0,8,0,6,0,0,5,1,0.52,0.5,0.63,0.59,0.5566666666666666,0.29999999999999993,0.42,0.0,0.50125,0.48,0.48200000000000004,0.0,0.8016666666666667,0.0,0.0,0.63,1.77,1.67,1.4999999999999998,1.26,0.0,4.01,0.48,2.41,0.0,4.8100000000000005,0.0,0.0,35.31,33.0,1463.3999999999978,564.7700000000004,898.630000000001,1.4142135623730951,2.23606797749979,1.7320508075688772,1.0,0.0,2.8284271247461903,1.0,1.7320508075688772,2.23606797749979,1.7320508075688772,2.449489742783178,0.0,0.0,0.0,2.23606797749979,-0.2484,2.434,-1.1,-2.6,-13.2,-88.2,-1.12,-101.08,69.56,0.28,0.024326,-0.48,18.8,9.8,-4.8,54.716,-1.4,1.8,2.4,-0.64,1.22,-4.76,-136.8,-0.16718803599999998,-8.2,-6.340332,-10.62,-20.7303,-34.96,-29.28,-3601.38,-19.29,-2.67,15.35,4.3,-702.53,61.55,0.0,0.0,0.0,0.0,0.0,8.18958,1320.78,0.000413,1.883,4.7860000000000005,50.708999999999996,11.74,-203.868,0.45299999999999996,4.3260000000000005,0.0,-9.96,-29.49,-522.56,44.99,808.206,15.1399369552,-1.405,1.318,-0.6722,-0.37200000000000005,-5.627000000000001,-2251.0,0.29600000000000004,4.723,-2252.0,-1.028,0.7502,-1.119,0.6532,45.02,-445.7,-0.9154,-1.932,-401.7,-3599.05473,-3661.2779630000005,1428.85,-1198.47,2627.31,-0.0426,0.0,0.0,0.0,-2.007557,-1.191606,-2.464445,-9.46375,-13.782507398900002,13.5301,0.006881,42
swarm_0_157.pdb,0,4,0,2,3,3,6,0,11,1,0,2,2,2,2,0.0,0.55,0.525,0.5566666666666666,0.0,0.26333333333333336,0.47500000000000003,0.0,0.47,0.45999999999999996,0.72,0.755,0.0,0.49,0.7050000000000001,2.1,1.67,0.0,0.79,2.85,0.0,5.17,0.9199999999999999,1.44,1.51,0.0,0.49,1.4100000000000001,34.74,34.42,1440.380000000001,642.0599999999995,798.3200000000015,0.0,1.4142135623730951,2.449489742783178,1.4142135623730951,0.0,3.3166247903554,2.0,0.0,1.7320508075688772,1.7320508075688772,0.0,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,-0.7756,-2.708,-4.18,-12.4,-18.8,-111.4,3.52,-85.94,85.38,-4.74,-0.032204,-8.04,32.2,11.4,-14.4,148.52,0.8,6.6,13.8,2.66,8.42,-1.92,-156.2,-0.9039980042,1.6,-7.356961,-11.96,-18.4573,-30.15,-25.3,-3024.4,-22.11,-14.23,2.25,3.99,-728.84,-66.17,0.0,0.0,0.0,0.0,0.0,-49.1435,-115.40299999999999,0.000398,-12.03,10.975,-30.759,-4.13,-187.273,0.272,3.83,0.0,-96.85,135.07,-213.76,-45.88,1819.756,27.3709789384,-1.766,1.85,0.6875,-1.3119999999999998,-35.15,-2171.0,10.05,-5.501,-2222.0,-1.41,0.8919,-0.4282,2.535,19.46,-347.5,2.556,2.698,-327.9,-3283.557808,-3328.751766,2297.8,-1029.58,3327.39,-0.1522,0.0,0.0,0.0,-5.621968,-5.2969040000000005,-10.982446000000001,-16.569491,-14.2783649011,-0.0107787,0.004605,38
swarm_0_161.pdb,0,2,1,3,3,4,5,0,12,0,1,4,2,3,2,0.0,0.36000000000000004,0.5800000000000001,0.5650000000000001,0.53,0.33666666666666667,0.398,0.0,0.5058333333333334,0.45999999999999996,0.4266666666666667,0.755,0.58,0.0,0.73,1.1600000000000001,2.2600000000000002,0.53,1.01,1.99,0.0,6.07,0.9199999999999999,1.28,1.51,0.58,0.0,2.92,34.87,34.21,1440.7100000000028,639.3500000000004,801.3600000000006,0.0,1.7320508075688772,2.23606797749979,1.4142135623730951,0.0,3.4641016151377544,1.4142135623730951,1.0,1.7320508075688772,2.0,1.0,0.0,2.0,1.4142135623730951,1.7320508075688772,-1.7109999999999999,-3.508,-4.7,-5.2,-18.4,-85.4,-1.14,-100.78,80.94,-1.7,0.037554000000000004,-3.18,13.0,5.4,-12.6,95.49,-1.4,5.0,7.2,0.1,1.22,-3.8,-162.2,0.07951,-2.3,-9.456211,-17.24,-23.5681,-43.2,-36.53,-3983.15,-10.47,-8.55,-50.95,-22.28,-877.93,-399.42,0.0,0.0,0.0,0.0,0.0,-31.7045,-116.257,0.000365,2.045,9.097000000000001,-43.021,6.84,-227.75799999999998,-0.354,3.9739999999999998,0.0,-155.83,36.8,-90.44,-58.79,593.2819999999999,-0.58077363437,-1.784,1.831,2.108,1.2990000000000002,257.1,-2397.0,17.82,10.54,-2147.0,-1.5959999999999999,1.123,-0.7375,2.559,79.47,-414.1,1.249,2.783,-333.1,-3890.2193039999997,-3926.481011,1496.97,-1256.5,2753.46,-0.2088,0.0,0.0,0.0,-4.415685,-6.764050999999999,-6.5504809999999996,-8.839255999999999,-15.3477389025,-1.2309,0.007167,42
swarm_0_170.pdb,0,3,0,5,7,3,3,0,14,0,0,0,2,2,1,0.0,0.43200000000000005,0.48666666666666664,0.42,0.0,0.27714285714285714,0.41,0.0,0.5385714285714285,0.34,0.48,0.615,0.0,0.0,0.0,1.46,1.26,0.0,1.94,1.23,0.0,7.539999999999999,0.34,0.96,1.23,0.0,0.0,0.0,34.67,34.0,1486.5,780.0499999999975,706.4499999999989,0.0,2.23606797749979,1.7320508075688772,1.0,0.0,3.7416573867739413,1.7320508075688772,0.0,2.6457513110645907,1.7320508075688772,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,2.906,3.0980000000000003,7.44,2.0,-9.0,-89.0,5.0,-105.16,97.3,3.86,-0.019214,3.92,28.2,16.2,-2.8,149.192,10.8,16.6,19.8,5.36,10.58,2.5,-169.4,1.118753602,11.6,-7.823722999999999,-8.1,-18.3828,-28.35,-26.94,-1854.83,-5.77,-12.59,-33.93,-19.03,-849.65,-540.25,0.0,0.0,0.0,0.0,0.0,-58.7343,-160.968,0.000397,-27.634,19.907,-58.104,-13.537,-179.40099999999998,-3.926,-0.517,0.0,-161.01,44.67,-280.84,-109.33,1051.5439999999999,13.410760746300001,-2.002,2.125,1.608,-0.5631,-117.6,-2034.0,13.45,-7.755,-2172.0,-0.8813,0.6416,-0.6726,0.9068,15.05,-389.6,1.6340000000000001,-3.815,-380.0,-3286.311393,-3325.50844,2360.05,-992.34,3352.38,-0.166,0.0,0.0,0.0,-3.5388379999999997,-0.454639,-13.397823,-17.153522,-12.070788885199999,0.07891010000000001,0.006325,40
swarm_0_45.pdb,4,4,1,4,8,7,10,0,14,2,1,4,0,3,0,0.4,0.30500000000000005,0.555,0.5342857142857144,0.53,0.31125,0.409,0.0,0.5607142857142857,0.0,0.5,0.0,0.83,0.94,0.73,2.22,3.74,0.53,2.49,4.09,0.0,7.85,0.0,1.5,0.0,0.83,1.88,2.92,35.12,33.78,2099.709999999999,936.9799999999996,1162.7299999999996,2.0,2.0,3.1622776601683795,0.0,0.0,3.7416573867739413,2.0,1.0,2.8284271247461903,2.6457513110645907,1.0,1.4142135623730951,2.0,0.0,1.7320508075688772,-1.2498,-8.72,-5.26,-13.0,-29.2,-186.6,7.32,-160.18,154.3,-4.14,-0.029401999999999998,-10.78,54.2,24.4,-22.4,216.53599999999997,4.8,13.0,25.2,9.66,6.12,9.58,-287.0,-0.66370222,1.5,-11.794078,-16.31,-29.0431,-61.78,-48.72,-6850.14,-3.04,-9.48,-28.21,3.16,-1136.44,-131.57,0.0,0.0,0.0,0.0,0.0,-75.421,236.262,0.000266,-10.562000000000001,14.962,-27.075,1.693,-207.826,-4.272,-0.32299999999999995,0.0,-201.6,139.81,-507.11,-64.79,1605.3829999999998,34.6754276091,-1.7590000000000001,1.8840000000000001,1.166,-0.9777,-20.89,-3135.0,20.1,-31.41,-3207.0,-1.574,1.141,-0.1683,2.094,4.586,-504.2,6.077999999999999,-6.308,-512.0,-4512.366762,-4583.135807,3419.27,-1539.71,4958.98,0.0196,0.0,0.0,0.0,-6.668247999999999,-8.567327,-12.985043,-21.924574,-19.2616952271,10.1974,0.004516,62
swarm_0_64.pdb,3,5,2,9,13,4,8,0,6,0,4,1,1,3,1,0.42333333333333334,0.4444444444444444,0.526,0.585,0.53,0.3623076923076924,0.41375,0.0,0.31833333333333336,0.58,0.61,0.52,0.7925,0.0,0.74,2.63,2.34,1.06,4.710000000000001,3.31,0.0,1.9100000000000001,0.58,1.83,0.52,3.17,0.0,0.74,35.33,33.67,1641.619999999999,569.5500000000011,1072.069999999998,1.7320508075688772,3.0,2.8284271247461903,1.0,0.0,2.449489742783178,2.23606797749979,1.4142135623730951,3.605551275463989,2.0,2.0,0.0,1.0,1.0,1.7320508075688772,-1.7548,-0.034,-1.38,0.4,-24.6,-167.2,0.14,-190.56,154.14,1.26,0.001458,-0.14,19.2,10.0,-21.2,64.95,4.8,12.4,15.8,-8.76,-7.96,-0.98,-300.2,0.45947205399999996,-6.1,-7.763151,-17.36,-28.2135,-59.59,-49.48,-6467.31,-0.53,4.34,12.47,19.27,-936.93,-96.36,0.0,0.0,0.0,0.0,0.0,-35.0607,154.457,0.00041500000000000006,2.363,-1.9169999999999998,-27.511999999999997,-2.306,-278.293,-4.287,1.001,0.0,-188.62,47.97,-329.49,21.73,1312.2160000000001,10.0401972635,-1.3259999999999998,1.334,0.3529,-0.1634,-6.507000000000001,-3148.0,12.88,-23.61,-3191.0,-0.8449,0.6884,-0.5431,0.408,38.7,-458.3,2.679,-6.524,-428.8,-4483.014531,-4561.140264,2451.75,-1517.13,3968.89,0.2135,0.0,0.0,0.0,-6.8891539999999996,-11.567511,-4.288187000000001,-18.182292,-17.2596522594,0.41796300000000003,0.007133,60
swarm_100_1.pdb,0,0,4,1,3,4,8,1,8,0,2,0,0,0,0,0.0,0.37,0.0,0.41500000000000004,0.41,0.4333333333333333,0.50625,0.56,0.47375,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.6600000000000001,1.64,1.2999999999999998,4.05,0.56,3.79,0.0,0.0,0.0,1.5,0.0,0.0,34.32,34.32,981.7799999999988,553.1000000000004,428.6900000000005,0.0,1.0,2.8284271247461903,0.0,1.0,2.8284271247461903,0.0,2.0,1.7320508075688772,2.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.6829999999999999,-2.572,0.88,-6.6,-11.0,-82.8,5.04,-63.38,70.76,-1.86,-0.029278,-3.92,30.4,14.8,-8.2,101.87799999999999,3.6,8.8,14.2,5.04,10.66,1.24,-121.2,-0.769823602,5.2,-8.14219,-6.26,-15.0527,-27.63,-27.26,-2116.19,-1.03,-7.0,-28.36,-30.59,-685.31,-298.47,0.0,0.0,0.0,0.0,0.0,-31.1843,-4.72014,0.000713,-9.888,12.365,-33.408,-0.863,-63.81,-1.8130000000000002,-0.6,0.0,-79.09,107.26,-240.46,-47.2,911.9639999999999,23.3104654169,-1.469,1.464,-0.1303,-0.4677,16.86,-1475.0,4.524,-18.64,-1481.0,-1.2590000000000001,0.638,-1.1909999999999998,2.259,22.28,-308.0,0.7138,-1.869,-288.3,-2988.550419,-3017.471078,1923.21,-810.98,2734.17,-0.0109,0.0,0.0,0.0,-4.476414,-7.441257000000001,-5.138287,-10.860999999999999,-8.59769803474,-0.5923689999999999,0.0043549999999999995,31
swarm_10_111.pdb,1,0,0,7,6,2,5,0,7,0,0,0,0,2,0,0.46,0.36857142857142866,0.0,0.49,0.0,0.3466666666666667,0.40800000000000003,0.0,0.44285714285714295,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.98,0.0,2.08,2.04,0.0,3.1000000000000005,0.0,0.96,0.0,0.0,0.0,0.0,34.64,33.99,1109.0900000000038,537.210000000001,571.8999999999978,1.0,2.6457513110645907,2.23606797749979,0.0,0.0,2.6457513110645907,0.0,0.0,2.449489742783178,1.4142135623730951,0.0,0.0,0.0,0.0,1.4142135623730951,3.1278,-0.87,4.42,-4.0,-5.0,-58.2,6.6,-73.26,86.2,0.92,-0.029301999999999998,2.14,33.0,20.4,-0.2,99.508,14.8,21.6,25.4,8.14,17.24,8.2,-142.4,0.875401916,15.5,-6.598102000000001,-7.17,-14.2269,-24.33,-20.85,-1494.12,1.1,4.37,9.26,20.83,-658.74,-183.47,0.0,0.0,0.0,0.0,0.0,-18.6347,75.8611,0.000647,-0.138,18.744,-17.088,16.897000000000002,-136.106,-4.9319999999999995,-2.346,0.0,-109.14,189.08,-44.37,48.03,505.684,28.709884808400002,-2.615,2.738,1.453,-0.9206,-6.337000000000001,-1914.0,15.33,-14.93,-1950.0,-1.393,1.474,0.4566,0.08308,39.59,-307.7,4.191,-2.101,-274.4,-2903.590663,-2938.205618,2207.68,-783.54,2991.22,0.0886,0.0,0.0,0.0,-6.143946,-8.116783999999999,-9.985215,-19.798566,-4.761524608259999,0.11354700000000001,0.0039,30
swarm_101_152.pdb,0,0,2,4,9,2,9,0,7,0,3,0,0,0,0,0.0,0.34750000000000003,0.0,0.32,0.45999999999999996,0.34111111111111114,0.38999999999999996,0.0,0.5385714285714286,0.0,0.0,0.0,0.7333333333333334,0.0,0.0,0.0,0.64,0.9199999999999999,3.0700000000000003,3.51,0.0,3.77,0.0,0.0,0.0,2.2,0.0,0.0,34.3,34.63,1468.3600000000006,741.7999999999993,726.5499999999993,0.0,2.0,3.0,0.0,0.0,2.6457513110645907,0.0,1.4142135623730951,3.0,1.4142135623730951,1.7320508075688772,0.0,0.0,0.0,0.0,2.6476,-6.216,3.1,-3.4,-9.2,-108.6,7.32,-85.66,95.7,-0.7,0.038142,-2.44,39.0,22.4,-5.2,103.238,9.6,13.6,22.2,3.08,6.72,7.78,-168.2,-0.45897544799999995,19.9,-8.523676,-8.02,-17.2606,-32.94,-32.67,-2423.25,15.58,-7.08,-17.94,1.98,-688.5,-278.46,0.0,0.0,0.0,0.0,0.0,-59.4645,-74.5993,0.000328,-14.822000000000001,20.158,-57.611999999999995,-0.426,-5.997000000000001,-6.506,-6.392,0.0,-91.34,118.91,-290.8,75.42,2226.583,24.6121495557,-2.84,2.786,1.0590000000000002,-0.06758,186.0,-2404.0,10.82,16.12,-2212.0,-2.234,2.11,0.2036,1.686,67.73,-337.2,3.153,4.626,-268.0,-3181.503941,-3234.5738260000003,1272.24,-926.22,2198.45,-0.0658,0.0,0.0,0.0,6.747091,3.496198,-4.067582,-10.791129,-10.0329811996,1.1605,0.003861,36
