Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_103.pdb,2,1,4,4,6,2,7,1,5,0,2,3,0,2,0,0.485,0.4425,0.64,0.6,0.43,0.4183333333333334,0.41714285714285715,0.53,0.11800000000000002,0.0,0.43999999999999995,0.0,0.645,0.0,0.8133333333333334,0.64,1.2,1.72,2.5100000000000002,2.92,0.53,0.5900000000000001,0.0,0.8799999999999999,0.0,1.29,0.0,2.44,30.18,38.91,1722.2299999999996,756.9299999999994,965.3199999999997,1.4142135623730951,2.0,2.6457513110645907,0.0,1.0,2.23606797749979,1.0,2.0,2.449489742783178,1.4142135623730951,1.4142135623730951,0.0,1.7320508075688772,0.0,1.4142135623730951,1.5128,3.9619999999999997,2.14,-1.4,-9.0,-101.4,5.26,-85.76,90.12,1.02,0.035958,1.3,26.6,17.6,-5.2,84.63600000000001,6.0,11.4,16.0,-0.24,11.98,10.52,-154.4,0.6322843220000001,4.8,-6.755738000000001,-13.49,-21.221999999999998,-30.06,-30.1,-1601.48,1.57,14.07,-13.61,7.71,-1036.77,-394.32,0.0,0.0,0.0,0.0,0.0,-3.3847400000000003,17.2641,0.000242,12.077,15.067,-51.578,21.986,-260.168,-3.265,1.679,-44.316,-109.21,156.73,-39.29,-33.37,-1860.2679999999998,-4.86410429701,-1.8330000000000002,1.7919999999999998,0.2734,-0.425,244.9,-2558.0,5.181,-2.352,-2321.0,-1.485,1.011,0.1071,2.302,62.5,-405.1,4.341,2.2430000000000003,-344.7,-3713.449816,-3784.5675119999996,1951.78,-1036.81,2988.6,0.0781,0.0,0.0,0.0,0.5198189999999999,-3.6670809999999996,-0.062885,-4.936303,-14.3980893898,1.20226,0.006923,39
swarm_0_196.pdb,2,2,3,5,5,0,14,0,2,0,0,0,1,0,0,0.5549999999999999,0.4640000000000001,0.4,0.0,0.44333333333333336,0.378,0.45214285714285707,0.0,0.14500000000000002,0.0,0.0,0.82,0.0,0.0,0.0,0.8,0.0,1.33,1.89,6.329999999999999,0.0,0.29000000000000004,0.0,0.0,0.82,0.0,0.0,0.0,29.89,38.43,1570.0299999999988,756.5300000000016,813.5100000000002,1.4142135623730951,2.23606797749979,3.7416573867739413,0.0,0.0,1.4142135623730951,1.4142135623730951,1.7320508075688772,2.23606797749979,0.0,0.0,0.0,0.0,1.0,0.0,1.5416,4.65,2.14,-0.6,-6.2,-70.8,6.62,-56.4,69.58,1.28,0.022997999999999998,-0.66,19.0,9.8,-7.4,77.506,3.4,9.8,16.8,0.54,14.08,15.86,-123.4,-0.28792792,7.0,-6.374075,-11.15,-18.804000000000002,-20.86,-31.32,-1686.52,8.49,-0.18,-28.23,-7.59,-838.13,-363.06,0.0,0.0,0.0,0.0,0.0,-39.6361,-86.3351,0.000301,0.08800000000000001,16.082,-45.049,11.665,-166.875,-1.229,1.942,-60.056000000000004,-79.75,138.55,18.51,-40.6,1827.1329999999998,-6.8350904556,-2.8510000000000004,2.872,1.224,-1.226,277.4,-2147.0,8.091000000000001,8.334,-1869.0,-2.116,2.066,0.2771,1.357,80.93,-338.5,3.2260000000000004,3.8989999999999996,-256.9,-3381.894592,-3423.718043,1530.3,-942.15,2472.44,-0.0989,0.0,0.0,0.0,-2.1740630000000003,-2.782309,-1.322778,-4.011369999999999,-14.2159650781,1.56423,0.007706,34
swarm_0_88.pdb,1,1,2,4,6,1,6,3,5,0,0,1,0,1,2,0.48,0.36500000000000005,0.4,0.56,0.385,0.3516666666666666,0.4466666666666667,0.48333333333333334,0.33,0.53,0.54,0.0,0.0,0.0,0.84,0.4,0.56,0.77,2.11,2.68,1.45,1.6500000000000001,1.06,0.54,0.0,0.0,0.0,0.84,30.55,37.82,1267.4000000000015,495.78999999999905,771.6100000000006,1.0,2.0,2.449489742783178,1.4142135623730951,1.7320508075688772,2.23606797749979,1.0,1.4142135623730951,2.449489742783178,1.0,0.0,0.0,1.0,0.0,1.0,1.9402,2.702,3.46,-3.2,-3.0,-107.4,9.1,-81.62,101.32,0.2,0.07293,-1.56,42.0,27.4,-1.0,84.698,10.8,21.0,28.8,7.9,17.3,5.94,-166.8,1.424012552,11.9,-6.135263,-10.34,-15.743,-36.52,-23.47,-1938.66,21.49,0.77,-8.31,3.52,-695.7,-521.38,0.0,0.0,0.0,0.0,0.0,-27.2488,-29.4875,0.0005009999999999999,2.041,15.825,-43.456,13.52,-137.395,-3.239,-0.628,-22.250999999999998,-73.22,85.72,-96.43,-46.06,-1868.945,8.03355132788,-1.8719999999999999,1.8869999999999998,-0.2394,-1.565,68.87,-1871.0,4.627,-24.15,-1831.0,-0.5216,1.17,2.301,-0.1127,58.1,-321.5,10.9,-1.501,-275.8,-3107.998587,-3136.218029,1937.33,-790.61,2727.94,-0.0602,0.0,0.0,0.0,13.539760000000001,10.725530000000001,3.885882,-3.061532,-13.0806459101,1.04922,0.007273000000000001,33
swarm_100_116.pdb,0,7,7,5,17,8,11,4,7,1,3,7,1,5,0,0.0,0.4640000000000001,0.5471428571428572,0.605,0.4585714285714286,0.37823529411764706,0.45363636363636356,0.4825,0.16142857142857145,0.0,0.5039999999999999,0.53,0.6566666666666667,0.98,0.86,3.83,4.84,3.21,6.43,4.989999999999999,1.93,1.1300000000000001,0.0,2.5199999999999996,0.53,1.9700000000000002,0.98,6.02,29.96,38.63,1477.369999999999,391.02999999999884,1086.3400000000001,0.0,2.23606797749979,3.3166247903554,0.0,2.0,2.6457513110645907,2.6457513110645907,2.6457513110645907,4.123105625617661,2.8284271247461903,1.7320508075688772,1.0,2.6457513110645907,1.0,2.23606797749979,-3.8598,-5.004,-2.54,1.6,-36.0,-220.2,-4.08,-270.74,192.74,3.64,-0.135682,4.36,7.0,6.2,-30.6,62.146,-7.2,3.8,7.6,-12.56,-1.48,-2.68,-401.4,-0.3414694364,-24.4,13.100826,-1.36,-7.946000000000001,-71.35,-60.7,-6611.95,10.07,-24.79,161.3,147.1,-296.8,2949.57,0.0,0.0,0.0,0.0,0.0,38.7324,3627.79,0.000398,8.119,-19.496,371.066,25.73,-337.717,-4.086,2.33,277.361,88.35,-153.49,-1188.1,193.85,2668.634,9.03257368179,-1.703,1.746,1.722,0.6192,-179.5,-2922.0,23.69,32.32,-3093.0,-0.5819,0.6979,-0.014790000000000001,-0.9435,-2.7689999999999997,-586.5,4.345,-2.387,-596.0,-2557.579666,-2651.0017629999998,2370.98,-689.06,3060.03,0.2714,0.0,0.0,0.0,-11.720813,-20.229085,4.348616000000001,-20.248777,-20.5582601995,17.965999999999998,0.003843,83
swarm_100_137.pdb,0,2,5,5,9,4,5,0,2,2,5,6,2,1,0,0.0,0.44399999999999995,0.45,0.76,0.392,0.35888888888888887,0.404,0.0,0.14,0.0,0.47,0.565,0.5880000000000001,0.9,0.7733333333333333,0.9,3.04,1.96,3.23,2.02,0.0,0.28,0.0,0.47,1.13,2.9400000000000004,1.8,4.64,30.32,37.91,1188.1399999999994,363.78000000000065,824.3599999999988,0.0,2.23606797749979,2.23606797749979,0.0,0.0,1.4142135623730951,1.4142135623730951,2.23606797749979,3.0,2.0,2.23606797749979,1.4142135623730951,2.449489742783178,1.4142135623730951,1.0,-2.5658,-0.5820000000000001,-3.7,2.6,-18.2,-117.4,-2.52,-132.3,90.92,1.98,0.034824,2.16,12.0,9.2,-12.2,28.874000000000002,-6.6,-1.4,-1.0,-8.88,3.66,-0.48,-198.8,0.213791648,-30.8,-2.776325,-9.18,-14.81,-44.43,-36.3,-3921.44,-12.21,-11.83,-11.1,9.51,-565.01,548.6,0.0,0.0,0.0,0.0,0.0,-23.3127,1750.36,0.00045599999999999997,-3.7119999999999997,-14.954,101.061,-8.559,-191.858,-1.7009999999999998,1.945,50.402,-133.26,-172.72,-776.04,138.19,431.844,-7.31406672765,-1.3519999999999999,1.28,0.6311,0.4393,50.02,-2034.0,6.278,27.56,-1963.0,-0.7497,0.6087,-0.7727,-0.1369,38.58,-318.0,-0.4847,3.736,-275.2,-3109.245002,-3152.533135,792.99,-863.39,1656.39,-0.0311,0.0,0.0,0.0,-5.378943,-8.089788,-1.5281879999999999,-19.243167,-16.9873803295,11.6616,0.005125,48
swarm_100_139.pdb,0,2,1,2,1,2,7,1,5,1,0,0,1,0,0,0.0,0.37,0.61,0.555,0.35,0.41,0.35428571428571437,0.56,0.462,0.0,0.0,0.82,0.0,0.9,0.0,1.22,1.11,0.35,0.41,2.4800000000000004,0.56,2.31,0.0,0.0,0.82,0.0,0.9,0.0,29.39,39.07,968.1500000000015,389.8199999999979,578.3300000000017,0.0,1.4142135623730951,2.6457513110645907,0.0,1.0,2.23606797749979,1.4142135623730951,1.0,1.0,1.4142135623730951,0.0,1.0,0.0,1.0,0.0,-1.1288,-2.2840000000000003,-3.86,-4.0,-10.8,-71.6,3.62,-53.0,53.16,-1.36,-0.04433,-2.94,19.2,9.6,-10.4,48.162,-1.0,3.6,9.4,1.08,2.4,-0.1,-101.8,-0.09327079,1.1,-6.741623,-8.25,-16.063,-19.73,-22.66,-2735.77,-9.92,2.26,-39.37,-9.02,-681.28,-423.94,0.0,0.0,0.0,0.0,0.0,-37.5473,-88.9028,0.000472,-4.393,6.922000000000001,-29.726,-0.444,-240.701,-1.786,2.7880000000000003,-28.489,-47.0,72.88,-80.9,-51.28,3233.204,11.2005054317,-1.661,1.694,1.253,-0.01705,186.3,-1537.0,8.898,0.02,-1360.0,-2.074,1.515,-0.6837,2.5669999999999997,43.8,-264.8,0.9771,5.278,-216.7,-3141.227959,-3168.122043,1474.28,-849.94,2324.23,-0.0648,0.0,0.0,0.0,-9.767088000000001,-12.627844,-2.640167,-5.54272,-12.3725058977,-0.152299,0.008043000000000002,23
swarm_100_169.pdb,2,2,2,0,2,0,0,2,1,1,1,3,2,1,0,0.525,0.0,0.61,0.0,0.42,0.33999999999999997,0.0,0.53,0.03,0.0,0.53,0.82,0.46,0.9,0.6866666666666666,1.22,0.0,0.84,0.6799999999999999,0.0,1.06,0.03,0.0,0.53,1.64,0.46,0.9,2.06,30.11,37.63,917.6699999999983,347.0599999999995,570.6200000000008,1.4142135623730951,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.0,1.0,1.7320508075688772,1.4142135623730951,1.0,-0.4674,-0.27399999999999997,-2.12,0.8,-12.6,-77.0,-1.18,-73.02,57.78,0.9,2.004022,1.74,2.6,2.2,-8.4,1.71,-5.2,1.2,1.6,-0.3,7.34,-3.92,-109.2,0.27530983,-8.4,-5.473465,-8.62,-13.842,-19.45,-17.29,-2022.78,-12.38,-9.13,-16.3,-2.63,-638.59,-243.54,0.0,0.0,0.0,0.0,0.0,-21.8938,-6.5982199999999995,0.0007650000000000001,2.998,-15.433,-23.933000000000003,-14.828,-169.645,0.28300000000000003,3.5069999999999997,-47.465,-31.43,-53.25,-338.23,-25.42,-2801.423,-19.4460550873,-1.591,1.5630000000000002,0.03284,-0.5612,203.7,-1398.0,0.7482,16.67,-1178.0,-1.2930000000000001,1.145,-1.055,0.3274,55.08,-205.2,-0.1996,2.918,-147.0,-2945.082953,-2967.17248,656.13,-731.51,1387.64,-0.1709,0.0,0.0,0.0,0.217279,-6.9632179999999995,-1.244418,-5.318727,-10.4268283239,-0.398377,0.008842000000000001,19
swarm_100_17.pdb,0,0,4,1,1,4,6,2,4,0,1,2,0,0,0,0.0,0.34,0.0,0.385,0.4825,0.27,0.4200000000000001,0.49,0.265,0.0,0.0,0.0,0.65,0.0,0.74,0.0,1.54,1.93,0.27,2.5200000000000005,0.98,1.06,0.0,0.0,0.0,0.65,0.0,1.48,29.54,38.43,1010.9099999999999,444.76000000000204,566.1499999999996,0.0,1.0,2.449489742783178,0.0,1.4142135623730951,2.0,0.0,2.0,1.0,2.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.6656,2.376,1.78,-1.4,-2.2,-77.0,4.86,-55.7,65.7,0.62,-0.063074,0.22,17.8,10.0,-5.6,87.508,6.8,13.8,18.0,6.16,7.62,6.18,-101.8,-0.036015982,7.5,-6.964061999999999,-9.68,-14.366,-41.69,-28.76,-1696.56,-9.24,-1.85,-14.65,8.33,-671.36,-330.39,0.0,0.0,0.0,0.0,0.0,-6.52295,29.6242,0.000734,1.153,2.282,-31.401,0.294,-210.435,-4.473,-0.475,-30.426,-21.42,74.92,-201.14,-26.35,-655.492,-15.602184767999999,-0.4471,0.3794,-0.9005,-0.4533,181.7,-1579.0,-1.4369999999999998,8.525,-1387.0,-0.1147,-0.2257,-0.9258,1.422,43.32,-270.8,1.1440000000000001,3.0269999999999997,-225.6,-2942.41496,-2964.780295,1117.85,-741.74,1859.59,-0.0048,0.0,0.0,0.0,-0.381089,-4.278665,0.550181,-5.581544,-13.755291688900002,1.42344,0.00848,25
swarm_100_19.pdb,1,5,0,1,2,1,2,1,3,1,4,7,0,3,0,0.53,0.31,0.552,0.32,0.0,0.35,0.445,0.56,0.53,0.0,0.47,0.0,0.6,0.9,0.7485714285714284,2.7600000000000002,0.32,0.0,0.7,0.89,0.56,1.59,0.0,1.41,0.0,2.4,0.9,5.239999999999999,30.43,37.68,1120.75,379.7500000000018,740.9899999999998,1.0,1.0,1.4142135623730951,0.0,1.0,1.7320508075688772,2.23606797749979,0.0,1.4142135623730951,1.0,2.0,1.0,2.6457513110645907,0.0,1.7320508075688772,-0.8056,-1.5519999999999998,-3.82,-1.6,-15.2,-71.0,-1.14,-79.04,60.82,0.04,0.076402,0.1,4.8,1.4,-10.6,16.572,-3.6,1.8,2.4,-2.52,-4.54,-4.68,-128.6,0.311194244,-16.9,-8.182688,-14.45,-19.326,-47.92,-43.22,-2904.2,-17.82,-3.52,-20.03,8.96,-786.37,-171.66,0.0,0.0,0.0,0.0,0.0,-26.3223,378.73699999999997,0.000584,2.194,-12.47,34.150999999999996,-6.861000000000001,-247.342,-0.9940000000000001,3.7060000000000004,-46.135,-87.52,-169.75,-468.48,-58.36,2305.739,-14.620033935799999,-1.4580000000000002,1.507,1.5830000000000002,-0.007856,242.1,-2126.0,14.07,5.6579999999999995,-1892.0,-0.8136,0.7559,-1.123,-0.8291,30.86,-301.8,-2.025,-1.883,-270.8,-3522.586056,-3569.853807,736.28,-1023.75,1760.04,-0.0312,0.0,0.0,0.0,0.97046,-2.674771,-5.219612000000001,-13.334745999999999,-12.4405907249,6.31135,0.009774,31
swarm_100_33.pdb,0,0,0,1,2,3,1,0,2,0,0,3,0,0,1,0.0,0.37,0.0,0.42,0.0,0.37,0.54,0.0,0.42000000000000004,0.58,0.0,0.0,0.0,0.0,0.7733333333333334,0.0,1.26,0.0,0.74,0.54,0.0,0.8400000000000001,0.58,0.0,0.0,0.0,0.0,2.3200000000000003,29.39,38.35,515.8799999999974,201.20999999999913,314.6899999999987,0.0,1.0,1.0,1.0,0.0,1.4142135623730951,0.0,0.0,1.4142135623730951,1.7320508075688772,0.0,0.0,1.7320508075688772,0.0,0.0,0.1064,0.732,0.32,-0.2,-0.6,-21.4,1.52,-22.56,24.74,0.78,-0.000784,1.32,4.6,2.0,-1.0,32.872,1.2,4.4,5.2,0.24,-1.24,-0.42,-42.6,0.221100078,3.0,-4.889601,-4.14,-9.582,-28.34,-20.42,-979.93,-6.73,6.81,-16.79,-5.6,-425.05,-280.97,0.0,0.0,0.0,0.0,0.0,-8.25111,-31.1968,0.000758,2.918,-0.9540000000000001,-3.76,1.588,-68.212,-0.7829999999999999,0.513,-12.06,-25.44,11.75,-42.75,-31.08,1273.9180000000001,-4.37347794324,-1.545,1.588,2.133,0.6325,208.7,-902.0,6.056,8.49,-690.9,-1.696,1.6019999999999999,-1.146,-0.6921,52.19,-185.8,-1.4080000000000001,0.6,-131.6,-2441.7691670000004,-2446.769029,1362.54,-515.22,1877.76,0.1964,0.0,0.0,0.0,-1.06914,-1.2805469999999999,-0.7393529999999999,-2.404723,-5.24014348789,0.273507,0.013077000000000002,13
