Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_124.pdb,7,1,9,13,4,0,12,15,2,0,1,0,0,6,4,0.4114285714285715,0.38153846153846155,0.35,0.0,0.44,0.4325,0.4633333333333333,0.4700000000000001,0.535,0.54,0.3466666666666667,0.0,0.88,0.0,0.0,0.35,0.0,3.96,1.73,5.56,7.050000000000002,1.07,2.16,2.08,0.0,0.88,0.0,0.0,22.32,34.13,2074.1500000000015,873.0300000000007,1201.119999999999,2.6457513110645907,3.605551275463989,3.4641016151377544,2.0,3.872983346207417,1.4142135623730951,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.449489742783178,6.1618,-5.232,4.06,-8.0,3.8,-208.6,6.56,-184.18,201.92,-2.28,0.04049,-3.86,38.6,25.8,-9.2,19.25,26.4,45.4,50.2,4.9,16.18,2.82,-315.6,0.517862464,15.2,-8.431552,-21.35,-34.013000000000005,-72.26,-65.41,-2987.51,-1.69,5.44,-0.36,24.56,-1340.44,-334.16,0.0,0.0,0.0,0.0,0.0,-47.8055,397.342,0.000264,-5.023,11.780999999999999,-11.464,5.612,49.071000000000005,-11.27,-12.203,-4.633,-50.59,90.68,-627.08,199.46,-817.14,41.4890089587,-3.322,3.1489999999999996,-2.445,-1.3259999999999998,-337.8,-5335.0,-20.8,-22.39,-5674.0,-1.709,1.841,1.158,0.3863,1.103,-534.3,10.26,-4.946000000000001,-548.4,-5897.54315,-5983.355399,2050.32,-1827.51,3877.83,0.0637,0.0,0.0,0.0,5.949029,8.262455000000001,-2.134673,-11.807642999999999,-22.9220820537,14.7891,0.004257,74
swarm_0_158.pdb,10,0,17,10,13,1,15,3,4,0,4,0,0,5,3,0.42899999999999994,0.3730000000000001,0.0,0.28,0.4288235294117646,0.34538461538461546,0.4713333333333332,0.47,0.6000000000000001,0.34,0.422,0.0,0.62,0.0,0.0,0.0,0.28,7.289999999999998,4.490000000000001,7.0699999999999985,1.41,2.4000000000000004,1.02,2.11,0.0,2.48,0.0,0.0,22.33,33.96,2280.6100000000006,1037.5899999999983,1243.0099999999984,3.1622776601683795,3.1622776601683795,3.872983346207417,1.7320508075688772,1.7320508075688772,2.0,0.0,4.123105625617661,3.605551275463989,1.0,2.0,0.0,0.0,0.0,2.23606797749979,6.2892,0.958,7.44,-2.8,-5.8,-196.4,5.8,-216.1,214.56,0.44,-0.03787,-0.36,40.4,29.8,-7.6,97.596,32.6,47.6,52.0,0.98,24.92,16.54,-353.6,-0.1548737564,20.8,-6.250575,-17.95,-35.903,-52.42,-45.16,-4404.7,-7.62,13.06,65.93,61.29,-1322.31,23.44,0.0,0.0,0.0,0.0,0.0,-37.8647,1069.8,0.000263,-16.059,15.077,-25.566999999999997,-3.5389999999999997,23.459,-11.481,-11.927,13.844000000000001,-35.02,174.41,-517.63,281.64,2719.822,44.4154141431,-3.178,3.1180000000000003,-1.4180000000000001,-1.673,-496.9,-5535.0,-10.35,-29.54,-6051.0,-1.464,1.5659999999999998,0.9066,0.8499,-29.2,-539.1,10.69,-4.802,-583.8,-6247.18741,-6346.712759,2785.3,-1930.84,4716.14,-0.1224,0.0,0.0,0.0,-2.44075,-6.474797,-1.308547,-15.435209,-20.1276824565,11.8666,0.0065650000000000005,85
swarm_0_169.pdb,5,0,5,1,3,1,2,10,2,0,1,0,0,1,0,0.42000000000000004,0.37,0.0,0.62,0.484,0.37666666666666665,0.515,0.4900000000000001,0.5,0.0,0.53,0.0,0.58,0.0,0.0,0.0,0.62,2.42,1.13,1.03,4.900000000000001,1.0,0.0,0.53,0.0,0.58,0.0,0.0,22.41,34.44,1026.2699999999968,447.90999999999985,578.3600000000006,2.23606797749979,1.0,1.4142135623730951,0.0,3.1622776601683795,1.4142135623730951,0.0,2.23606797749979,1.7320508075688772,1.0,1.0,0.0,0.0,0.0,1.0,1.9902,-2.79,2.38,-7.0,-3.6,-85.8,1.68,-68.22,72.24,-1.82,-0.024828,-2.56,13.0,8.4,-6.4,-2.34,6.6,11.4,15.4,2.24,2.8,-1.86,-113.6,0.5082438856,9.9,-6.0276,-11.12,-20.892,-35.93,-31.3,-1142.75,-11.41,-3.0,-1.32,-7.17,-819.48,-548.87,0.0,0.0,0.0,0.0,0.0,-23.5782,68.5153,0.000759,-7.132000000000001,7.962999999999999,-35.296,-2.699,28.956,-2.1919999999999997,-2.742,-15.515999999999998,-28.8,56.05,-221.45,10.73,4957.957,14.1780063882,-2.6639999999999997,2.5810000000000004,-2.056,-2.202,-105.6,-3182.0,-11.45,-17.09,-3293.0,-0.5551,0.4539,0.155,1.083,9.44,-246.9,3.392,-2.3480000000000003,-243.2,-4531.337917,-4584.802656,1475.85,-1154.78,2630.64,-0.1064,0.0,0.0,0.0,-2.5012790000000003,-4.349432,-2.302947,-6.215469000000001,-13.222617008199999,15.1384,0.006451999999999999,31
swarm_0_192.pdb,15,3,8,5,7,0,12,11,3,0,0,1,0,3,3,0.4426666666666667,0.388,0.4266666666666666,0.0,0.41125,0.35857142857142854,0.4758333333333333,0.5036363636363638,0.53,0.5133333333333333,0.5233333333333333,0.0,0.0,0.0,0.57,1.2799999999999998,0.0,3.29,2.51,5.709999999999999,5.540000000000001,1.59,1.54,1.5699999999999998,0.0,0.0,0.0,0.57,22.66,33.71,2033.5900000000001,881.4499999999989,1152.1499999999978,3.872983346207417,2.23606797749979,3.4641016151377544,1.7320508075688772,3.3166247903554,1.7320508075688772,1.7320508075688772,2.8284271247461903,2.6457513110645907,0.0,0.0,0.0,1.0,0.0,1.7320508075688772,4.8422,1.686,4.9,-2.0,-4.2,-165.6,3.42,-175.34,177.66,0.38,0.089634,0.06,27.4,21.6,-9.6,12.764000000000001,21.0,35.4,38.8,3.26,9.46,8.94,-302.6,1.8114859876,14.7,-7.694289,-19.39,-30.678,-45.28,-53.08,-3581.96,-4.81,6.83,-4.27,1.01,-1189.9,-316.96,0.0,0.0,0.0,0.0,0.0,-59.1554,277.509,0.000331,-5.499,13.939,-42.841,4.156000000000001,57.20399999999999,-8.334,-9.421,-60.937,-74.05,166.68,-403.7,140.07,-389.064,40.0319988392,-2.506,2.419,-1.3559999999999999,-0.030019999999999998,-263.3,-4851.0,-6.702000000000001,-41.65,-5149.0,-1.51,1.229,0.4961,2.231,38.54,-539.8,7.85,-4.988,-514.1,-5605.683779999999,-5688.357343,1144.91,-1662.56,2807.47,0.0147,0.0,0.0,0.0,5.601699,3.629314,-2.6928240000000003,-16.488011,-22.8731414706,16.831,0.0036899999999999997,71
swarm_0_30.pdb,9,0,10,6,4,0,9,6,2,0,0,1,1,2,0,0.5233333333333333,0.47333333333333333,0.0,0.0,0.44399999999999995,0.3625,0.44999999999999996,0.4749999999999999,0.75,0.0,0.33999999999999997,0.52,0.0,0.0,0.74,0.0,0.0,4.4399999999999995,1.45,4.05,2.8499999999999996,1.5,0.0,0.6799999999999999,0.52,0.0,0.0,0.74,22.32,34.13,1533.75,671.3799999999974,862.3600000000006,3.0,2.449489742783178,3.0,0.0,2.449489742783178,1.4142135623730951,0.0,3.1622776601683795,2.0,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,2.9584,-4.562,2.72,-2.0,-8.2,-154.2,1.4,-161.94,144.64,-0.28,-0.005529999999999999,-0.12,26.4,18.2,-11.2,29.281999999999996,14.2,21.6,26.8,-1.96,10.28,13.54,-238.8,0.47932541240000004,2.6,-7.807709,-16.18,-24.691999999999997,-62.62,-52.31,-3359.98,-14.34,4.91,17.75,12.64,-923.06,-246.96,0.0,0.0,0.0,0.0,0.0,-64.5353,6.890739999999999,0.00041,-14.172,7.349,-53.003,-12.123,34.566,-5.824,-6.48,-56.288999999999994,-88.87,58.52,-427.79,90.29,3972.083,10.1888369466,-3.216,3.202,-1.275,-3.06,-96.54,-3680.0,-8.055,7.481,-3761.0,-1.63,1.619,-0.4992,-1.2209999999999999,37.18,-372.3,2.2769999999999997,1.1,-336.3,-4980.626969,-5053.586379,702.65,-1381.4,2084.05,-0.2587,0.0,0.0,0.0,-2.952475,-8.023636999999999,-1.445203,-9.431385,-19.3855344833,12.6301,0.00512,50
swarm_0_74.pdb,25,2,11,10,7,2,20,19,4,0,3,0,0,7,10,0.4452000000000001,0.29500000000000004,0.445,0.595,0.3918181818181818,0.4057142857142857,0.48550000000000004,0.47736842105263166,0.5,0.5660000000000001,0.4671428571428571,0.0,0.7333333333333334,0.0,0.0,0.89,1.19,4.31,2.84,9.71,9.070000000000002,2.0,5.66,3.2699999999999996,0.0,2.2,0.0,0.0,22.9,34.35,2867.4400000000023,1209.4700000000012,1657.9800000000014,5.0,3.1622776601683795,4.47213595499958,3.1622776601683795,4.358898943540674,2.0,1.4142135623730951,3.3166247903554,2.6457513110645907,1.4142135623730951,1.7320508075688772,0.0,0.0,0.0,2.6457513110645907,5.7558,-7.877999999999999,3.64,-8.6,-20.6,-297.2,-0.44,-340.48,312.94,-2.26,0.112652,-4.62,54.2,39.2,-18.4,56.998000000000005,24.4,55.0,60.4,-6.94,7.64,-4.92,-552.2,0.48765419460000003,19.1,-10.624029,-30.91,-46.891999999999996,-89.37,-96.26,-7113.61,-2.69,6.78,26.72,30.43,-1694.74,-179.94,0.0,0.0,0.0,0.0,0.0,-87.9504,590.821,0.00020899999999999998,-8.98,15.562999999999999,-10.633,5.52,47.559,-15.732999999999999,-16.637,86.13600000000001,-139.94,146.09,-697.9,200.09,4128.366,36.5378912786,-4.2410000000000005,4.1610000000000005,-1.617,-1.3559999999999999,-643.0,-7264.0,-11.81,-21.59,-7917.0,-2.8939999999999997,3.1,0.4439,-0.4546,-21.69,-834.6,14.86,-15.64,-886.8,-7440.238031,-7579.342034,2161.26,-2542.86,4704.12,0.1561,0.0,0.0,0.0,-3.101033,-3.419399,-6.350039,-27.435546999999996,-33.2309123777,22.5611,0.0064329999999999995,120
swarm_101_129.pdb,25,0,10,5,6,0,10,13,7,0,1,1,0,6,5,0.46800000000000014,0.35800000000000004,0.0,0.0,0.4069999999999999,0.34833333333333333,0.43000000000000005,0.48615384615384616,0.5271428571428571,0.604,0.4783333333333333,0.0,0.67,0.0,0.74,0.0,0.0,4.069999999999999,2.09,4.300000000000001,6.32,3.69,3.02,2.8699999999999997,0.0,0.67,0.0,0.74,22.22,34.46,2108.260000000002,985.7700000000023,1122.489999999998,5.0,2.23606797749979,3.1622776601683795,2.23606797749979,3.605551275463989,2.6457513110645907,0.0,3.1622776601683795,2.449489742783178,0.0,1.0,0.0,1.0,0.0,2.449489742783178,6.0202,-10.012,4.5,-9.2,-8.6,-189.0,2.66,-225.32,225.66,-2.78,0.11059200000000001,-7.92,42.4,27.0,-14.6,74.46,28.4,55.8,66.0,-3.36,8.44,1.06,-393.4,-0.3032593212,12.5,-7.154008,-15.38,-31.989,-56.54,-52.51,-3482.48,15.09,-8.52,111.89,78.54,-1069.13,358.15,0.0,0.0,0.0,0.0,0.0,-3.8464099999999997,1131.9,0.000251,1.6969999999999998,29.458000000000002,15.257,32.681,11.992,-10.353,-10.581,-1.341,-75.65,233.74,-133.24,185.27,1268.0910000000001,37.411537103600004,-3.6260000000000003,3.491,-0.9853,-0.3879,-110.8,-5467.0,-7.582999999999999,-9.16,-5579.0,-2.62,2.824,1.254,0.5459,-12.86,-641.6,14.55,-5.699,-674.7,-5765.788714,-5843.703979,3613.5,-1785.04,5398.54,0.0871,0.0,0.0,0.0,1.5712620000000002,-0.6507,-6.503015,-21.962719,-22.4899094105,20.0397,0.0057079999999999995,89
swarm_101_171.pdb,6,0,8,9,9,0,22,14,6,0,2,0,0,2,2,0.48499999999999993,0.39222222222222225,0.0,0.0,0.4375,0.38000000000000006,0.4731818181818182,0.4821428571428572,0.5000000000000001,0.34,0.43999999999999995,0.0,0.5650000000000001,0.0,0.0,0.0,0.0,3.5,3.4200000000000004,10.41,6.750000000000001,3.0000000000000004,0.68,0.8799999999999999,0.0,1.1300000000000001,0.0,0.0,22.45,34.14,2654.8200000000033,1285.4399999999987,1369.369999999999,2.449489742783178,3.0,4.69041575982343,1.4142135623730951,3.7416573867739413,2.449489742783178,0.0,2.8284271247461903,3.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.4142135623730951,7.7326,-5.726,7.68,-13.8,-9.8,-228.4,14.32,-171.12,217.72,-4.2,-0.04818,-6.5,60.6,36.4,-18.2,66.38,25.8,42.8,55.8,6.34,32.54,25.74,-342.2,0.5375925884,23.4,-9.382000999999999,-10.48,-33.332,-52.53,-45.26,-3033.86,-2.36,-3.04,25.87,28.22,-1681.43,-921.49,0.0,0.0,0.0,0.0,0.0,-56.2734,244.59799999999998,0.00018,-16.64,25.537,-93.13,-0.41600000000000004,-48.277,-8.868,-7.95,-77.762,-205.91,262.68,-239.44,99.28,3575.68,82.725778155,-4.502,4.41,-0.7203,-1.055,28.29,-5696.0,-4.065,11.65,-5652.0,-2.155,1.838,0.3209,2.803,69.56,-643.0,8.732999999999999,4.173,-578.0,-5710.517248,-5807.587876,4856.5,-1744.76,6601.26,-0.0783,0.0,0.0,0.0,-6.8892940000000005,-9.258286,-6.509155000000001,-26.221145,-24.373353274299998,10.1981,0.002575,80
swarm_101_26.pdb,19,3,7,12,4,0,22,22,4,0,0,0,0,4,10,0.46684210526315795,0.39250000000000007,0.5566666666666666,0.0,0.3871428571428571,0.38,0.42636363636363633,0.49227272727272736,0.4475,0.44299999999999995,0.4275,0.0,0.0,0.0,0.0,1.67,0.0,2.71,1.52,9.379999999999999,10.830000000000002,1.79,4.43,1.71,0.0,0.0,0.0,0.0,22.28,34.46,2801.899999999994,1316.7799999999988,1485.0999999999985,4.358898943540674,3.4641016151377544,4.69041575982343,3.1622776601683795,4.69041575982343,2.0,1.7320508075688772,2.6457513110645907,2.0,0.0,0.0,0.0,0.0,0.0,2.0,10.2992,0.638,7.14,-16.0,-9.6,-212.4,11.06,-201.72,244.2,-5.58,0.009128,-7.98,63.2,43.4,-7.6,90.772,31.2,57.8,70.0,15.78,18.52,3.34,-403.2,-0.0485565596,34.8,-5.03188,-17.81,-38.305,-81.46,-66.58,-4541.94,-35.35,-7.36,77.3,73.23,-1404.38,333.99,0.0,0.0,0.0,0.0,0.0,-23.9726,1442.67,0.000236,-8.047,34.051,46.457,30.649,-13.055,-10.542,-10.294,22.221,-44.33,370.55,-470.03,232.11,1872.8470000000002,58.429628664300004,-4.207,4.128,-0.6681,-0.5946,138.5,-6762.0,-0.4423,-20.39,-6643.0,-3.358,3.261,0.9269,2.207,105.5,-910.1,14.59,-2.763,-822.0,-6302.715344,-6403.837801,5389.16,-2075.34,7464.5,0.1572,0.0,0.0,0.0,-16.187898999999998,-18.859194,-17.644292999999998,-37.056569,-27.979382806999997,23.9161,0.004533,107
swarm_101_35.pdb,27,3,12,8,2,0,10,16,2,0,2,1,2,9,8,0.4277777777777778,0.41125000000000006,0.52,0.0,0.43583333333333335,0.22499999999999998,0.45,0.4787500000000001,0.39,0.6,0.44333333333333325,0.52,0.67,0.0,0.74,1.56,0.0,5.23,0.44999999999999996,4.5,7.660000000000002,0.78,4.8,3.9899999999999993,1.04,1.34,0.0,0.74,22.7,33.96,2524.2599999999984,1126.3600000000006,1397.890000000003,5.196152422706632,2.8284271247461903,3.1622776601683795,2.8284271247461903,4.0,1.4142135623730951,1.7320508075688772,3.4641016151377544,1.4142135623730951,0.0,1.4142135623730951,0.0,1.0,1.4142135623730951,3.0,9.4492,-6.446000000000001,3.44,-12.0,-8.4,-214.2,-0.02,-289.82,287.96,-5.2,-0.113794,-6.32,45.0,32.6,-9.6,30.122,47.0,73.8,75.8,0.3,11.22,6.14,-496.0,-0.9991164512,15.8,-9.379335000000001,-21.36,-41.173,-77.73,-63.47,-3847.95,-14.63,-15.2,65.39,86.97,-1541.82,189.81,0.0,0.0,0.0,0.0,0.0,-69.0237,437.624,0.00021400000000000002,-4.329,18.483,-2.627,13.892000000000001,-107.897,-11.853,-9.802999999999999,-60.489,-131.51,176.89,-426.24,249.55,1161.04,59.996368068,-5.107,4.803999999999999,-1.827,0.9462,-249.2,-6392.0,-16.06,11.13,-6614.0,-3.964,3.65,-0.8661,1.389,52.49,-868.3,8.184,-1.808,-825.8,-6762.65243,-6871.050141,3704.12,-2192.71,5896.82,0.105,0.0,0.0,0.0,-8.21904,-13.223907,-10.605383,-25.990734,-23.3628382781,14.5533,0.006559000000000001,102
