Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_104.pdb,1,2,4,4,6,4,12,0,5,0,1,2,0,5,1,0.44,0.4275,0.46499999999999997,0.5925,0.47,0.43333333333333335,0.4333333333333333,0.0,0.674,0.44,0.41,0.0,0.88,0.0,0.53,0.9299999999999999,2.37,1.88,2.6,5.199999999999999,0.0,3.37,0.44,2.05,0.0,0.88,0.0,1.06,30.85,40.35,1821.7699999999968,784.9200000000019,1036.859999999997,1.0,2.0,3.4641016151377544,1.0,0.0,2.23606797749979,1.4142135623730951,2.0,2.449489742783178,2.0,1.0,0.0,1.4142135623730951,0.0,2.23606797749979,0.43,-0.9159999999999999,-1.8,-7.8,-4.8,-139.2,5.12,-112.0,119.44,-2.84,0.007474,-2.22,32.8,17.6,-5.6,32.818000000000005,15.2,22.8,28.0,0.08,10.7,-3.56,-187.4,0.065142408,3.1,-9.828239,-19.66,-31.148000000000003,-40.51,-38.64,-3941.52,-13.09,-21.97,-62.16,-27.87,-1024.06,-345.64,0.0,0.0,0.0,0.0,0.0,-61.3669,-52.4768,0.000323,-6.125,10.789000000000001,-33.062,1.358,-146.594,-2.509,0.276,-51.518,-129.3,77.71,-230.62,-21.48,1.3870000000100002,17.1189807599,-3.114,3.123,0.2376,-0.9690000000000001,-3.4930000000000003,-3228.0,9.304,-27.6,-3269.0,-1.617,1.526,0.9996,2.029,34.23,-419.6,8.245,-1.6880000000000002,-395.3,-5642.688758,-5705.057254,2145.0,-1524.58,3669.59,-0.187,0.0,0.0,0.0,1.387977,-2.758925,-12.356517,-16.998262,-19.0533277429,17.3937,0.0043619999999999996,47
swarm_0_147.pdb,1,1,3,6,14,6,6,1,17,0,2,1,3,4,1,0.58,0.365,0.64,0.5233333333333333,0.3933333333333333,0.30285714285714294,0.43500000000000005,0.56,0.37999999999999995,0.44,0.45999999999999996,0.6266666666666666,0.7,0.0,0.74,0.64,3.1399999999999997,1.18,4.240000000000001,2.6100000000000003,0.56,6.459999999999999,0.44,1.8399999999999999,1.88,1.4,0.0,0.74,30.89,40.13,2223.75,944.6100000000006,1279.1399999999994,1.0,2.449489742783178,2.449489742783178,1.0,1.0,4.123105625617661,1.0,1.7320508075688772,3.7416573867739413,2.449489742783178,1.4142135623730951,0.0,1.0,1.7320508075688772,2.0,3.0196,1.1740000000000002,4.24,-8.2,-11.4,-182.8,14.58,-154.22,181.08,-0.58,0.095434,-2.62,69.6,37.8,-6.6,223.37599999999998,18.8,33.6,46.6,12.04,25.74,9.3,-301.2,-0.07649447599999999,19.7,-5.708166,-13.14,-30.621,-65.83,-54.97,-4718.32,37.74,3.07,48.68,35.88,-1167.92,367.54,0.0,0.0,0.0,0.0,0.0,-73.5091,297.88599999999997,0.000236,-13.815,24.386999999999997,8.095,11.382,-214.56799999999998,-10.073,-5.996,63.093,-86.94,211.56,-439.47,86.33,2974.3140000000003,49.0435660123,-3.051,3.218,2.563,-1.69,-280.6,-3752.0,25.68,-3.298,-4062.0,-1.71,1.8,2.072,1.504,-31.68,-569.1,14.96,-4.567,-620.3,-5700.151476,-5765.189608,3342.57,-1535.7,4878.27,0.0216,0.0,0.0,0.0,0.095426,-4.2886050000000004,1.265858,-9.671876,-17.9858031555,19.9906,0.003848,66
swarm_0_196.pdb,3,1,5,9,19,5,12,0,22,0,5,2,0,2,0,0.5166666666666666,0.38,0.63,0.5279999999999999,0.44399999999999995,0.308421052631579,0.4158333333333333,0.0,0.5104545454545453,0.0,0.41000000000000003,0.0,0.6340000000000001,0.0,0.6000000000000001,0.63,2.6399999999999997,2.2199999999999998,5.860000000000001,4.989999999999999,0.0,11.229999999999997,0.0,0.8200000000000001,0.0,3.1700000000000004,0.0,1.2000000000000002,31.14,39.65,2737.1299999999974,1088.9099999999999,1648.2099999999991,1.7320508075688772,3.0,3.4641016151377544,0.0,0.0,4.69041575982343,1.0,2.23606797749979,4.358898943540674,2.23606797749979,2.23606797749979,0.0,1.4142135623730951,0.0,1.4142135623730951,2.9706,-4.782,1.74,-8.2,-3.6,-212.0,18.58,-177.22,205.22,-1.2,0.163544,-5.18,82.0,51.0,-1.8,241.56599999999997,26.6,41.4,57.2,11.52,34.28,10.92,-342.6,0.850331796,32.7,-8.565258,-17.12,-36.35,-79.06,-66.98,-6036.17,25.98,13.52,34.29,31.28,-1389.0,-198.95,0.0,0.0,0.0,0.0,0.0,-89.0734,274.328,0.000217,-17.713,27.622,-17.687,8.141,-277.42,-10.838,-5.567,25.342,-96.21,320.68,-437.51,163.2,3287.88,67.0197296428,-3.568,3.679,2.157,-0.8401,-413.6,-4526.0,30.1,3.818,-4966.0,-1.992,2.085,1.111,0.5458,-2.9589999999999996,-660.2,12.23,-1.411,-676.8,-6212.713485,-6298.615799,4526.71,-1798.87,6325.58,0.1847,0.0,0.0,0.0,16.083196,12.971019,-2.893745,-19.618862,-25.7416145354,21.9588,0.003824,85
swarm_0_21.pdb,5,0,9,6,10,3,9,1,11,0,4,4,2,2,1,0.496,0.36333333333333334,0.0,0.5433333333333333,0.48666666666666664,0.38000000000000006,0.4488888888888889,0.56,0.5927272727272727,0.34,0.505,0.61,0.73,0.0,0.7575000000000001,0.0,1.6300000000000001,4.38,3.8000000000000007,4.04,0.56,6.52,0.34,1.01,1.22,2.92,0.0,3.0300000000000002,30.88,40.0,2601.1100000000006,1076.2400000000016,1524.880000000001,2.23606797749979,2.449489742783178,3.0,1.0,1.0,3.3166247903554,0.0,3.0,3.1622776601683795,1.7320508075688772,2.0,0.0,2.0,1.4142135623730951,1.4142135623730951,1.361,2.032,-0.74,-4.6,-27.4,-224.2,3.6,-229.04,198.42,-0.1,0.019892,-2.58,43.8,29.0,-17.4,168.17,10.8,21.2,27.4,-3.06,4.98,4.6,-364.2,0.030065806,-6.2,-8.886768,-19.84,-35.755,-76.11,-64.04,-4960.94,13.98,-7.62,-36.52,-15.7,-1374.77,-308.18,0.0,0.0,0.0,0.0,0.0,-100.65100000000001,-38.6508,0.000184,-11.777999999999999,21.281999999999996,-52.766000000000005,4.228,-64.758,-0.682,0.5479999999999999,-69.078,-141.38,39.27,-542.43,23.5,727.033,33.195041510500005,-3.7539999999999996,3.8369999999999997,2.0069999999999997,-0.1835,-212.0,-4499.0,28.44,-1.452,-4741.0,-2.5789999999999997,2.379,0.5529999999999999,2.5780000000000003,61.66,-674.3,8.23,-0.3255,-621.2,-6202.658927,-6283.151563,3759.46,-1722.47,5481.93,-0.0143,0.0,0.0,0.0,-7.420828,-10.65521,-1.159526,-19.700457,-23.464964642800002,21.5076,0.003507,67
swarm_0_75.pdb,7,1,3,22,19,6,7,1,19,1,12,2,7,10,3,0.4357142857142858,0.37863636363636366,0.53,0.5583333333333333,0.4266666666666667,0.3905263157894738,0.3971428571428572,0.49,0.471578947368421,0.5133333333333333,0.417,0.6885714285714286,0.6991666666666667,0.49,0.53,0.53,3.35,1.28,7.420000000000002,2.7800000000000002,0.49,8.959999999999999,1.54,4.17,4.82,8.39,0.49,1.06,30.86,39.6,3082.9300000000003,1120.8600000000006,1962.0800000000017,2.6457513110645907,4.69041575982343,2.6457513110645907,1.7320508075688772,1.0,4.358898943540674,1.0,1.7320508075688772,4.358898943540674,2.449489742783178,3.4641016151377544,1.0,1.4142135623730951,2.6457513110645907,3.1622776601683795,5.4204,2.7960000000000003,0.92,-3.6,-13.8,-292.2,13.28,-290.14,295.94,3.12,0.053638,6.22,66.8,50.0,-0.6,189.618,20.4,50.2,59.2,10.06,18.0,10.28,-516.6,2.1955426358000003,8.1,-7.562835000000001,-25.28,-50.163000000000004,-93.69,-75.46,-8211.96,-4.88,16.34,79.39,69.7,-1913.51,222.88,0.0,0.0,0.0,0.0,0.0,-106.10700000000001,918.1289999999999,0.000162,-11.955,3.253,27.933000000000003,-5.9079999999999995,-531.871,-6.2829999999999995,3.823,47.558,-198.67,80.44,-864.79,219.85,-322.811,67.48510417520001,-4.939,4.863,2.335,0.9379,-722.3,-6084.0,41.1,-12.22,-6860.0,-3.7310000000000003,3.408,0.1798,3.0010000000000003,-62.12,-869.5,13.16,1.0759999999999998,-943.7,-7874.846647,-7988.484804000001,5549.6,-2592.87,8142.46,0.0695,0.0,0.0,0.0,-5.84353,0.114122,-3.2833129999999997,-21.498535999999998,-35.7381838575,21.7612,0.004017,120
swarm_0_78.pdb,3,1,4,9,12,4,13,1,20,0,2,1,0,3,0,0.5099999999999999,0.40444444444444444,0.61,0.5325,0.44999999999999996,0.38666666666666666,0.41384615384615375,0.5,0.49349999999999994,0.0,0.3633333333333333,0.0,0.58,0.0,0.84,0.61,2.13,1.7999999999999998,4.64,5.379999999999999,0.5,9.87,0.0,1.0899999999999999,0.0,1.16,0.0,0.84,30.78,40.35,2593.5599999999977,1053.890000000003,1539.670000000002,1.7320508075688772,3.0,3.605551275463989,0.0,1.0,4.47213595499958,1.0,2.0,3.4641016151377544,2.0,1.4142135623730951,0.0,1.0,0.0,1.7320508075688772,3.9234,-6.782,3.18,-12.0,-9.4,-178.0,15.22,-133.72,166.84,-2.28,0.0723,-6.02,68.8,39.2,-3.6,136.766,18.0,32.6,43.8,12.6,23.2,17.92,-270.6,0.53069146,32.3,-8.506725999999999,-20.42,-36.479,-67.34,-51.58,-5002.62,39.87,6.62,48.07,32.3,-1414.78,-566.64,0.0,0.0,0.0,0.0,0.0,-53.0012,289.383,0.000183,-8.127,12.870999999999999,-46.493,0.095,-235.548,-5.43,-0.955,-38.045,-161.11,287.18,-363.57,40.63,3017.039,71.7079474356,-3.11,3.2260000000000004,1.9169999999999998,-1.547,-219.8,-4379.0,20.59,-7.444,-4627.0,-1.528,1.382,0.4882,1.615,22.12,-619.2,7.832999999999999,-1.39,-606.3,-6114.9616320000005,-6197.349467,4221.79,-1771.52,5993.31,0.1796,0.0,0.0,0.0,-2.7604330000000004,2.484544,-5.79839,-18.330372,-25.278250485700003,20.3195,0.003247,73
swarm_100_56.pdb,0,2,0,6,14,1,12,0,13,0,0,2,1,2,0,0.0,0.37333333333333335,0.56,0.41,0.0,0.30571428571428577,0.47750000000000004,0.0,0.5015384615384616,0.0,0.41,0.68,0.0,0.0,0.735,1.12,0.41,0.0,4.280000000000001,5.73,0.0,6.520000000000001,0.0,0.82,0.68,0.0,0.0,1.47,30.77,40.06,2110.5800000000017,838.7899999999972,1271.8099999999977,0.0,2.449489742783178,3.4641016151377544,0.0,0.0,3.605551275463989,1.4142135623730951,0.0,3.7416573867739413,1.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,2.8038,-1.54,2.12,-7.8,-7.6,-168.0,12.2,-141.04,154.92,-1.18,0.025624,-4.0,63.6,36.6,-4.8,148.594,20.8,32.4,43.8,9.82,26.82,13.62,-254.8,0.7032100512,21.8,-10.537756,-14.13,-27.12,-57.12,-48.11,-4376.21,23.84,-6.88,21.32,-7.09,-1136.87,-623.03,0.0,0.0,0.0,0.0,0.0,-70.2337,-150.365,0.00023500000000000002,-17.174,15.232000000000001,-67.722,-8.714,-252.851,-7.252999999999999,-2.449,-16.980999999999998,-137.91,236.39,-252.92,16.82,749.279,46.682130571,-4.768,4.76,1.3330000000000002,-0.8427,-294.0,-3295.0,13.75,6.497999999999999,-3596.0,-3.365,3.451,0.8064,0.6853,8.003,-524.4,8.297,-1.1059999999999999,-525.8,-5178.388782,-5241.029634,2910.86,-1339.79,4250.67,0.066,0.0,0.0,0.0,-2.8211459999999997,-6.038911,-9.57686,-20.789934,-18.481226385699998,19.4795,0.001755,53
swarm_100_73.pdb,3,1,1,13,5,10,9,0,15,0,0,2,3,4,5,0.5,0.40769230769230774,0.53,0.5479999999999999,0.53,0.434,0.4377777777777777,0.0,0.4886666666666667,0.48,0.35,0.68,0.0,0.0,0.635,0.53,5.4799999999999995,0.53,2.17,3.9399999999999995,0.0,7.33,2.4,1.4,2.04,0.0,0.0,1.27,31.06,40.33,2142.770000000004,1028.5900000000001,1114.1900000000023,1.7320508075688772,3.605551275463989,3.0,2.23606797749979,0.0,3.872983346207417,1.0,1.0,2.23606797749979,3.1622776601683795,0.0,0.0,1.4142135623730951,1.7320508075688772,2.0,1.2324,-2.364,-0.88,-9.2,-21.6,-181.4,9.08,-154.28,158.1,-0.64,0.103278,-5.48,50.8,26.0,-12.0,163.74200000000002,3.0,17.8,24.6,8.3,15.92,4.32,-292.8,0.774170916,15.2,-6.425127,-14.65,-29.506,-64.3,-50.18,-5038.63,20.66,0.26,51.21,57.31,-1042.49,185.93,0.0,0.0,0.0,0.0,0.0,23.4647,2069.93,0.000266,3.198,24.62,19.227999999999998,29.741,-169.929,-5.271,-2.042,-29.014,-140.75,180.41,-316.13,-75.19,-726.181,41.4081454235,-3.9360000000000004,3.9539999999999997,2.505,1.08,-133.1,-3563.0,19.91,13.1,-3703.0,-3.043,2.349,-0.041839999999999995,4.303,-48.29,-551.7,10.29,3.98,-606.3,-5481.543932,-5534.380304,4100.96,-1601.38,5702.34,0.3039,0.0,0.0,0.0,-0.543263,1.839375,-8.674839,-12.063491,-20.1253939048,18.8522,0.004986,71
swarm_103_61.pdb,4,4,4,1,6,3,5,4,4,0,2,4,1,5,0,0.4825,0.44,0.5875,0.51,0.4425,0.37999999999999995,0.47000000000000003,0.49,0.4625,0.0,0.4880000000000001,0.68,0.8049999999999999,0.0,0.765,2.35,1.53,1.77,2.28,2.35,1.96,1.85,0.0,2.4400000000000004,0.68,1.6099999999999999,0.0,3.06,31.11,39.84,1910.8899999999994,768.0099999999984,1142.880000000001,2.0,1.0,2.23606797749979,0.0,2.0,2.0,2.0,2.0,2.449489742783178,1.7320508075688772,1.4142135623730951,0.0,2.0,1.0,2.23606797749979,0.2384,-4.252,-0.98,-4.6,-19.8,-145.8,-0.8,-145.28,114.62,-0.12,-0.073326,-2.22,15.4,9.4,-14.2,0.16399999999999998,1.4,7.4,9.6,-6.14,-3.7,1.7,-218.2,-0.2161541912,-9.5,-11.404424,-18.11,-28.858,-51.0,-42.43,-5133.61,-19.95,-18.61,-25.92,-15.04,-1115.78,-485.41,0.0,0.0,0.0,0.0,0.0,-66.7249,-106.539,0.000348,-4.1610000000000005,-1.24,-43.013999999999996,-9.702,-307.203,-1.4680000000000002,4.369,-100.09,-84.08,-58.84,-475.18,-71.17,467.51300000000003,6.20718867164,-0.8959,0.8019,-0.8805,0.03921,355.5,-3378.0,0.1662,4.5569999999999995,-3018.0,-0.9031,0.5241,-1.5630000000000002,0.2867,82.46,-487.0,-0.8522,-1.012,-404.7,-5395.830314,-5458.834382999999,1098.77,-1472.47,2571.24,-0.0679,0.0,0.0,0.0,-2.641923,-4.817335,-7.8342410000000005,-16.580858,-17.6909174046,17.229,0.001468,47
swarm_104_15.pdb,4,3,2,6,13,10,7,1,13,1,2,1,2,2,0,0.44,0.4666666666666666,0.48333333333333334,0.44700000000000006,0.53,0.3646153846153846,0.4057142857142857,0.53,0.48307692307692307,0.0,0.41,0.83,0.855,0.9,0.74,1.45,4.470000000000001,1.06,4.74,2.84,0.53,6.28,0.0,0.82,1.66,1.71,0.9,0.74,30.98,39.65,2162.760000000002,855.5599999999977,1307.2000000000007,2.0,2.449489742783178,2.6457513110645907,0.0,1.0,3.605551275463989,1.7320508075688772,1.4142135623730951,3.605551275463989,3.1622776601683795,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,0.5822,0.846,2.22,-3.4,-24.2,-192.0,5.82,-193.34,170.9,1.76,0.021136000000000002,2.56,38.4,20.2,-16.2,181.03799999999998,7.2,15.2,22.8,3.06,13.78,6.12,-307.0,0.242804446,6.1,-10.292333,-19.55,-30.66,-68.98,-60.44,-4607.1,15.09,-16.31,-17.12,13.71,-1097.4,-305.36,0.0,0.0,0.0,0.0,0.0,-49.9987,30.9913,0.00021400000000000002,-9.158999999999999,10.2,-59.174,-4.876,-171.435,-4.664,-1.4069999999999998,-43.86,-155.63,151.15,-406.07,-42.51,3725.4570000000003,53.895633894,-4.0760000000000005,4.168,2.747,-0.7225,-253.0,-3379.0,24.12,-2.214,-3658.0,-2.6860000000000004,2.424,0.01999,1.568,-9.376,-515.4,5.666,0.0421,-530.4,-5637.656406,-5705.709390999999,2812.98,-1551.27,4364.25,-0.0164,0.0,0.0,0.0,0.042206,-7.554233,2.969445,-15.795075,-19.9799418351,19.5268,0.0034630000000000004,67
