Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_100_0.pdb,5,0,7,4,9,6,14,6,5,0,1,3,0,6,1,0.446,0.4275,0.0,0.5650000000000001,0.4428571428571428,0.4566666666666667,0.45714285714285713,0.49666666666666676,0.392,0.34,0.4666666666666666,0.0,0.58,0.0,0.8466666666666667,0.0,3.39,3.0999999999999996,4.11,6.3999999999999995,2.9800000000000004,1.96,0.34,2.8,0.0,0.58,0.0,2.54,29.47,34.81,2090.020000000004,885.1399999999994,1204.880000000001,2.23606797749979,2.0,3.7416573867739413,1.0,2.449489742783178,2.23606797749979,0.0,2.6457513110645907,3.0,2.449489742783178,1.0,0.0,1.7320508075688772,0.0,2.449489742783178,3.615,5.87,6.76,-3.8,-15.0,-155.6,5.64,-150.88,156.32,1.26,0.09865399999999999,2.12,25.0,12.0,-16.6,62.592,14.8,23.6,26.2,2.54,17.3,8.1,-269.2,0.82386941,3.7,-9.701281,-18.39,-32.022,-44.47,-38.78,-3828.96,4.32,-0.63,25.0,17.83,-1309.03,-745.94,0.0,0.0,0.0,0.0,0.0,-54.3595,89.3368,0.000244,-4.441,12.386,-57.498999999999995,2.195,-311.6,-6.209,-0.289,0.0,-71.6,86.92,-323.03,-35.61,-6644.4890000000005,25.4256415111,-2.588,2.4819999999999998,0.01968,0.6698,-93.83,-3650.0,4.879,-3.588,-3752.0,-1.99,2.066,2.667,3.286,7.3420000000000005,-566.3,13.08,3.136,-568.9,-6150.4385950000005,-6207.506282,2794.12,-1509.87,4304.0,0.1188,0.0,0.0,0.0,-6.63638,-9.361934,-7.85697,-17.890823,-20.8346812462,5.66825,0.001955,67
swarm_100_199.pdb,2,1,3,5,9,7,14,4,8,0,1,3,2,2,1,0.4,0.4000000000000001,0.49,0.5485714285714287,0.45999999999999996,0.3755555555555556,0.44428571428571434,0.525,0.44250000000000006,0.51,0.48,0.6799999999999999,0.83,0.0,0.6999999999999998,0.49,3.8400000000000007,1.38,3.3800000000000003,6.220000000000001,2.1,3.5400000000000005,0.51,0.96,1.3599999999999999,0.83,0.0,2.0999999999999996,29.44,34.26,2072.5499999999956,900.2800000000025,1172.2700000000004,1.4142135623730951,2.23606797749979,3.7416573867739413,1.0,2.0,2.8284271247461903,1.0,1.7320508075688772,3.0,2.6457513110645907,1.0,0.0,1.7320508075688772,1.4142135623730951,1.4142135623730951,2.6768,2.006,5.16,-1.8,-21.6,-155.4,7.06,-147.26,153.74,0.84,-0.008522,-0.46,29.2,15.8,-19.4,124.314,10.6,18.2,26.8,-1.54,13.38,14.38,-276.2,0.324716962,-0.2,-9.922988,-19.88,-33.148,-45.79,-49.42,-4051.03,-9.53,5.93,2.78,10.37,-1244.04,-289.42,0.0,0.0,0.0,0.0,0.0,-32.2241,94.5386,0.000295,20.24,10.792,-53.375,25.695,-232.898,-3.7260000000000004,0.6990000000000001,0.0,-123.68,53.01,-215.9,-92.37,-3210.6659999999997,3.92826441885,-2.228,2.316,2.411,0.4602,-193.1,-3110.0,20.34,-1.038,-3325.0,-2.131,1.814,0.8884,2.694,-13.24,-491.7,6.306,3.35,-507.9,-6389.269306,-6458.306193,2562.01,-1615.74,4177.75,-0.1477,0.0,0.0,0.0,-7.667358999999999,-17.208911999999998,-7.910301,-20.823173999999998,-20.6204231426,7.75289,0.00629,62
swarm_100_41.pdb,2,2,2,4,9,8,21,7,11,1,0,2,1,0,1,0.44,0.5775,0.35,0.6099999999999999,0.445,0.3255555555555556,0.4357142857142857,0.4928571428571429,0.4945454545454545,0.58,0.0,0.53,0.0,0.49,0.8,0.7,4.879999999999999,0.89,2.93,9.15,3.45,5.4399999999999995,0.58,0.0,0.53,0.0,0.49,1.6,29.42,34.26,2182.1500000000015,1129.6800000000003,1052.4800000000032,1.4142135623730951,2.0,4.58257569495584,1.0,2.6457513110645907,3.3166247903554,1.4142135623730951,1.4142135623730951,3.0,2.8284271247461903,0.0,1.0,1.4142135623730951,1.0,0.0,1.0164,-12.79,-2.98,-16.2,-30.2,-210.8,6.12,-149.78,159.68,-6.02,-0.007586,-8.58,50.0,19.8,-29.0,158.196,4.6,11.4,25.8,3.3,-0.44,3.74,-269.0,0.2602878912,16.3,-11.331697,-18.88,-35.829,-62.13,-56.18,-4621.52,-38.97,-0.15,-22.13,-5.04,-1471.72,-436.92,0.0,0.0,0.0,0.0,0.0,-39.3349,-6.96468,0.00022799999999999999,-10.325,31.005,-75.521,13.128,-99.206,-5.392,-3.5069999999999997,0.0,-256.4,306.81,-117.34,-101.6,-13728.018999999998,13.729570779100001,-2.763,2.818,1.4140000000000001,-0.4576,-238.2,-3216.0,13.72,-21.05,-3489.0,-1.406,0.4612,0.3304,5.335,-55.92,-543.6,5.666,5.2860000000000005,-599.9,-6599.132466,-6684.837264,3598.49,-1775.91,5374.41,-0.0861,0.0,0.0,0.0,-9.892565,-13.00808,-13.7733,-22.773944,-19.2804254893,8.38897,0.003887,71
swarm_100_69.pdb,8,28,47,16,51,25,43,21,23,9,22,34,10,14,4,0.45999999999999996,0.393125,0.5214285714285716,0.5928,0.42978723404255326,0.35333333333333333,0.4627906976744185,0.48714285714285716,0.4347826086956521,0.4425,0.4814285714285715,0.7020000000000002,0.7104545454545454,0.7366666666666668,0.7682352941176471,14.600000000000003,14.82,20.200000000000003,18.02,19.899999999999995,10.23,9.999999999999998,1.77,6.740000000000001,7.020000000000001,15.629999999999999,6.630000000000002,26.12,29.38,34.63,3666.659999999996,1504.220000000003,2162.4400000000023,2.8284271247461903,4.0,6.557438524302,2.0,4.58257569495584,4.795831523312719,5.291502622129181,6.855654600401044,7.14142842854285,5.0,4.69041575982343,3.0,5.830951894845301,3.1622776601683795,3.7416573867739413,-14.677999999999999,-6.164,-17.12,-0.4,-166.8,-1070.4,-23.24,-1119.06,799.62,10.74,2.001246,13.56,57.2,33.0,-125.4,374.858,-35.8,1.6,3.6,-50.3,-28.5,-15.24,-1617.6,-0.0748667266,-125.1,68.620446,23.84,-11.465,-304.45,-251.61,-31127.28,96.81,-23.6,951.34,729.6,547.98,16319.97,0.0,0.0,0.0,0.0,0.0,337.98199999999997,21838.3,0.000154,-18.054000000000002,5.846,1591.365,146.929,-825.3,-10.515999999999998,5.165,0.0,1186.29,-781.21,-6410.91,1185.09,-6922.276999999999,19.461225001600003,-3.345,3.403,0.7667,-1.035,-2197.0,-9503.0,62.7,-269.3,-12030.0,-3.06,3.083,-0.11800000000000001,0.2402,-392.1,-1947.0,21.12,-82.33,-2443.0,-5539.173128,-5925.898447,12831.63,-2154.34,14985.99,1.2637,0.0,0.0,0.0,-18.862106,-42.949049,-23.184101000000002,-125.334874,-75.7032920012,48.8651,0.001518,355
swarm_101_43.pdb,3,7,6,9,9,6,19,6,9,4,0,3,4,2,1,0.48333333333333334,0.43444444444444447,0.4342857142857143,0.61,0.41,0.39000000000000007,0.44263157894736843,0.4666666666666666,0.41888888888888887,0.34,0.515,0.6775,0.0,0.7975,0.7233333333333333,3.04,3.6599999999999997,2.46,3.5100000000000007,8.41,2.8,3.7699999999999996,0.34,1.03,2.71,0.0,3.19,2.17,29.59,34.64,2749.720000000001,1328.7699999999986,1420.9599999999991,1.7320508075688772,3.0,4.358898943540674,1.0,2.449489742783178,3.0,2.6457513110645907,2.449489742783178,3.0,2.449489742783178,0.0,2.0,1.7320508075688772,2.0,1.4142135623730951,2.736,-4.06,0.8,-14.8,-29.2,-220.0,3.88,-191.58,191.36,-4.16,0.09255,-9.5,19.2,5.0,-30.8,65.06,10.4,23.8,26.8,-1.38,6.44,-5.2,-349.4,-0.650498292,-3.7,-5.700513,-18.23,-39.217,-72.98,-63.97,-7039.01,-11.98,-1.78,16.03,28.6,-1436.96,507.27,0.0,0.0,0.0,0.0,0.0,43.2578,2563.58,0.00020899999999999998,-0.617,8.236,53.559,12.975,-151.232,-5.098,-2.225,0.0,-82.19,163.07,-597.15,-0.06,-18920.656000000003,19.8762840907,-3.2739999999999996,3.19,-0.1808,-0.5531,-243.3,-4988.0,4.902,-1.43,-5238.0,-2.085,1.952,1.567,2.908,7.599,-724.6,10.78,1.476,-726.3,-7001.289838,-7092.624525,3919.85,-2099.41,6019.25,-0.141,0.0,0.0,0.0,-4.167751,-6.182476,-8.487250999999999,-19.488447,-27.0921398621,15.2005,0.004625,88
swarm_101_53.pdb,2,2,3,9,6,10,16,2,19,0,0,3,0,1,0,0.505,0.3266666666666667,0.42,0.5589999999999999,0.3433333333333333,0.45999999999999996,0.43499999999999994,0.495,0.45894736842105266,0.0,0.55,0.0,0.0,0.0,0.68,0.84,5.59,1.03,2.76,6.959999999999999,0.99,8.72,0.0,0.55,0.0,0.0,0.0,2.04,29.41,34.35,2619.5,1298.210000000001,1321.2799999999988,1.4142135623730951,3.0,4.0,0.0,1.4142135623730951,4.358898943540674,1.4142135623730951,1.7320508075688772,2.449489742783178,3.1622776601683795,0.0,0.0,1.7320508075688772,0.0,1.0,0.0158,-10.02,-2.04,-21.0,-42.2,-208.4,8.56,-176.14,189.56,-6.16,0.068354,-11.26,54.4,18.8,-32.8,260.538,-0.6,14.6,29.2,6.5,12.6,8.7,-353.6,-0.7780122787999999,21.1,-11.010891,-16.81,-37.106,-72.16,-65.99,-5447.62,-42.23,-26.12,-27.77,-13.1,-1504.85,-551.76,0.0,0.0,0.0,0.0,0.0,-78.4076,126.194,0.00022799999999999999,-27.943,16.673,-63.957,-17.666,-91.744,-5.45,-3.707,0.0,-306.05,273.44,-126.34,-210.83,-33794.672,30.3332819093,-2.02,2.229,2.861,-0.5584,-189.9,-3689.0,26.42,-16.03,-3921.0,-1.92,1.156,-0.1241,3.3739999999999997,-54.41,-654.4,4.899,1.608,-712.1,-6809.679423999999,-6883.151709000001,4964.31,-1869.79,6834.11,-0.2137,0.0,0.0,0.0,-12.455053999999999,-10.024011,-13.818949,-18.098878,-19.5843871559,9.65156,0.005027,73
swarm_101_78.pdb,5,4,4,9,8,6,12,2,10,1,0,3,1,0,1,0.47400000000000003,0.45444444444444443,0.545,0.5500000000000002,0.42,0.39625000000000005,0.4616666666666666,0.555,0.4029999999999999,0.51,0.0,0.52,0.0,0.49,0.6333333333333334,2.18,3.3000000000000007,1.68,3.1700000000000004,5.539999999999999,1.11,4.029999999999999,0.51,0.0,0.52,0.0,0.49,1.9000000000000001,29.2,34.49,2186.1200000000026,1019.3400000000001,1166.7799999999988,2.23606797749979,3.0,3.4641016151377544,1.0,1.4142135623730951,3.1622776601683795,2.0,2.0,2.8284271247461903,2.449489742783178,0.0,1.0,1.7320508075688772,1.0,0.0,2.2296,0.8220000000000001,4.24,-7.2,-14.0,-140.8,6.44,-109.88,127.88,-0.76,0.11966600000000001,-2.96,24.2,11.6,-12.2,48.398,9.0,22.8,24.8,3.24,12.24,17.52,-222.2,1.148434802,8.1,-9.765654,-16.95,-30.916,-55.71,-40.12,-4609.19,-20.6,-3.29,-41.93,0.45,-1367.48,-706.89,0.0,0.0,0.0,0.0,0.0,-58.0831,-12.449000000000002,0.00029,-5.574,14.655999999999999,-60.684,3.014,-71.782,-4.523,-3.159,0.0,-115.44,157.46,-429.92,31.18,-37027.708,31.478297398000002,-3.4019999999999997,3.278,0.77,1.084,-355.5,-3400.0,9.072000000000001,16.17,-3748.0,-2.9130000000000003,2.503,0.3117,2.171,-29.5,-410.9,3.2510000000000003,3.551,-440.1,-6053.171775,-6130.9776520000005,3095.46,-1563.55,4659.02,0.0277,0.0,0.0,0.0,4.032913,1.813682,-7.298875,-12.831322,-15.9554486056,14.0832,0.004529999999999999,66
swarm_102_69.pdb,3,6,14,2,4,6,9,6,3,2,8,2,3,2,0,0.43,0.315,0.5516666666666667,0.5866666666666667,0.4257142857142857,0.365,0.4744444444444444,0.47833333333333333,0.6133333333333334,0.0,0.51,0.6266666666666666,0.6687500000000001,0.735,0.82,3.3100000000000005,3.52,5.96,1.46,4.27,2.87,1.84,0.0,1.02,1.88,5.3500000000000005,1.47,1.64,29.5,34.14,1971.4100000000035,813.2000000000044,1158.2100000000028,1.7320508075688772,1.4142135623730951,3.0,0.0,2.449489742783178,1.7320508075688772,2.449489742783178,3.7416573867739413,2.0,2.449489742783178,2.8284271247461903,1.4142135623730951,1.4142135623730951,1.7320508075688772,1.4142135623730951,-0.2214,2.8160000000000003,1.96,-3.0,-26.2,-220.8,-2.44,-228.18,178.64,1.1,0.014804,-0.24,9.2,2.4,-30.4,9.126,3.8,12.2,15.8,-3.38,5.74,-3.04,-342.2,-0.991605587,-21.8,-8.21343,-16.47,-31.875,-51.8,-47.03,-5573.54,-12.08,1.33,-19.85,-18.43,-1314.48,-264.47,0.0,0.0,0.0,0.0,0.0,-72.8116,160.619,0.00021400000000000002,-3.576,-10.046,23.098000000000003,-11.312000000000001,-185.593,-0.163,3.363,0.0,-65.18,-84.14,-715.61,-52.37,-26036.352000000003,-0.962682252546,-2.8160000000000003,2.596,-0.9599,-0.3164,-209.1,-3437.0,-5.776,27.37,-3613.0,-1.163,1.0270000000000001,0.03991,0.8082,-9.486,-548.1,3.472,0.5579999999999999,-560.5,-6262.289357,-6345.614167,2827.57,-1603.4,4430.95,-0.1262,0.0,0.0,0.0,1.400328,-1.750391,-4.019223,-20.352729,-23.4369470978,8.31236,0.005186,70
swarm_103_128.pdb,1,1,4,0,9,4,12,7,9,0,0,0,0,0,0,0.46,0.0,0.52,0.4175,0.46249999999999997,0.47111111111111104,0.44166666666666665,0.48999999999999994,0.628888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.67,1.8499999999999999,4.239999999999999,5.3,3.4299999999999997,5.660000000000001,0.0,0.0,0.0,0.0,0.0,0.0,29.67,34.25,1864.1100000000006,989.3600000000006,874.75,1.0,0.0,3.4641016151377544,0.0,2.6457513110645907,3.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.6846,-5.984,-2.04,-13.2,-28.8,-153.2,3.4,-108.86,114.96,-4.46,0.043818,-6.58,19.4,-0.2,-28.4,112.24799999999999,-0.6,5.0,12.4,0.74,3.98,3.1,-204.2,-1.319499796,3.3,-8.393532,-12.24,-30.586,-47.2,-41.98,-3505.24,-18.57,-4.74,-41.59,-19.03,-1211.62,-497.44,0.0,0.0,0.0,0.0,0.0,-76.1578,-53.8008,0.000271,-29.923000000000002,25.221,-55.666000000000004,-10.269,-86.92,-1.964,-0.313,0.0,-111.27,99.05,-322.77,-114.35,2020.649,20.126563226800002,-2.781,2.7569999999999997,-0.1022,-1.815,228.1,-3484.0,0.1338,0.06702999999999999,-3256.0,-2.355,1.806,0.01365,3.1710000000000003,27.93,-395.0,1.591,7.757999999999999,-360.9,-5972.776645,-6030.352138,4084.65,-1500.02,5584.68,0.0257,0.0,0.0,0.0,-8.257458,-7.618078999999999,-8.523705999999999,-16.149585000000002,-18.876166864400002,7.30875,0.008766,47
swarm_103_147.pdb,5,5,9,5,9,3,12,5,8,0,4,2,1,6,0,0.45199999999999996,0.284,0.5239999999999999,0.5633333333333334,0.4377777777777778,0.2977777777777778,0.42249999999999993,0.48200000000000004,0.5175000000000001,0.0,0.4166666666666667,0.83,0.695,0.0,0.55,2.6199999999999997,1.69,3.9400000000000004,2.68,5.069999999999999,2.41,4.140000000000001,0.0,2.5,0.83,2.78,0.0,1.1,29.81,34.26,2029.2999999999956,880.9099999999962,1148.3899999999994,2.23606797749979,2.23606797749979,3.4641016151377544,0.0,2.23606797749979,2.8284271247461903,2.23606797749979,3.0,3.0,1.7320508075688772,2.0,0.0,1.4142135623730951,1.0,2.449489742783178,2.862,1.88,3.3,-2.4,-11.4,-209.0,3.92,-182.74,164.98,1.56,0.068414,1.42,38.2,25.0,-8.2,38.452,14.6,23.6,28.6,2.4,2.96,7.7,-279.0,0.6698536598,10.1,-6.556868,-13.69,-31.139,-56.02,-52.87,-4951.77,-1.73,-9.47,69.77,60.41,-1242.71,35.66,0.0,0.0,0.0,0.0,0.0,-36.578,963.814,0.000297,-6.865,4.598,3.6889999999999996,-1.8980000000000001,-37.412,-5.903,-5.192,0.0,-60.97,94.45,-787.7,282.05,609.839,28.424878553299997,-2.8739999999999997,2.846,0.2896,-1.228,-103.2,-4085.0,6.603,25.67,-4169.0,-1.145,1.2570000000000001,1.715,1.574,42.42,-482.9,7.5760000000000005,4.753,-443.3,-6076.797495000001,-6192.224027,2892.26,-1561.87,4454.13,-0.1029,0.0,0.0,0.0,-3.2961080000000003,-2.792008,-9.673407000000001,-20.838629,-21.783749086300002,5.74829,0.006014,74
