Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_69.pdb,1,4,5,3,6,2,9,2,6,0,0,1,0,1,1,0.53,0.47666666666666674,0.605,0.595,0.48,0.26166666666666666,0.45000000000000007,0.52,0.4933333333333334,0.62,0.59,0.0,0.0,0.0,0.74,2.42,1.19,2.4,1.57,4.050000000000001,1.04,2.9600000000000004,0.62,0.59,0.0,0.0,0.0,0.74,35.16,34.58,1483.2400000000016,736.4099999999999,746.8299999999999,1.0,1.7320508075688772,3.0,1.0,1.4142135623730951,2.449489742783178,2.0,2.23606797749979,2.449489742783178,1.4142135623730951,0.0,0.0,1.0,0.0,1.0,2.2766,-2.408,4.48,-2.4,-15.6,-131.2,5.42,-118.94,112.56,1.68,0.00575,0.48,36.8,20.0,-7.6,155.346,6.6,15.2,23.4,2.56,12.92,4.32,-197.8,0.4685671512,9.4,-8.481282,-17.04,-22.435,-52.45,-44.56,-2363.03,-29.23,-16.69,-21.89,7.02,-861.66,-322.19,0.0,0.0,0.0,0.0,0.0,-31.0842,47.3252,0.000492,-3.515,6.4,-35.611999999999995,-0.6759999999999999,-47.67,-2.149,-1.2429999999999999,0.0,-130.28,118.1,-367.97,30.38,-5990.83,20.0935601424,-3.548,3.6,1.311,-1.536,-288.3,-2112.0,15.65,-2.557,-2419.0,-2.414,2.15,0.8616,1.787,-25.57,-297.2,6.223,5.297000000000001,-323.7,-4187.168033,-4256.824331,703.38,-1101.91,1805.29,-0.098,0.0,0.0,0.0,1.721095,-2.844559,-7.015702,-11.395854,-10.1944107371,3.5266900000000003,0.005561,41
swarm_100_119.pdb,1,1,9,4,14,6,23,4,13,1,3,2,0,2,0,0.44,0.2975,0.49,0.47500000000000003,0.41777777777777775,0.32785714285714285,0.42652173913043473,0.5125,0.5492307692307693,0.0,0.35,0.0,0.5166666666666666,0.9,0.55,0.49,2.85,3.76,4.59,9.809999999999999,2.05,7.140000000000001,0.0,0.7,0.0,1.5499999999999998,0.9,1.1,34.71,35.0,2167.720000000001,986.2199999999993,1181.5000000000018,1.0,2.0,4.795831523312719,0.0,2.0,3.605551275463989,1.0,3.0,3.7416573867739413,2.449489742783178,1.7320508075688772,1.0,1.4142135623730951,0.0,1.4142135623730951,0.2454,-10.716,0.6,-11.2,-19.4,-223.2,8.98,-182.7,184.24,-2.56,0.052576,-7.3,57.4,33.0,-12.8,158.554,17.0,28.6,40.0,-0.86,7.78,-1.1,-315.4,-1.3344867995999998,26.8,-4.410014,-13.76,-33.181,-70.24,-67.07,-5928.15,16.48,6.83,83.82,116.26,-1159.93,749.58,0.0,0.0,0.0,0.0,0.0,28.4609,2595.8,0.000271,-17.608,15.440999999999999,59.01,3.734,-83.854,-8.866,-7.273,0.0,-87.31,233.01,-873.97,230.71,3020.118,34.6297266677,-2.049,1.9369999999999998,0.2699,0.6153,-433.7,-4231.0,19.3,-8.323,-4692.0,-1.075,0.7996,0.3908,2.524,2.041,-629.2,9.549,-0.6917,-637.4,-5208.733375,-5310.298404,3979.3,-1681.77,5661.07,0.0775,0.0,0.0,0.0,-13.980718,-13.781752,-11.972904,-26.415611,-16.4154048322,4.04712,0.005711,83
swarm_100_147.pdb,1,6,4,2,3,4,16,4,18,0,2,2,2,1,0,0.49,0.29,0.52,0.535,0.44499999999999995,0.32,0.4162499999999999,0.49,0.6105555555555555,0.0,0.27,0.83,0.58,0.0,0.53,3.12,2.14,1.7799999999999998,0.96,6.659999999999998,1.96,10.99,0.0,0.27,1.66,1.16,0.0,1.06,34.21,34.8,1996.9099999999999,858.2399999999998,1138.6800000000003,1.0,1.4142135623730951,4.0,0.0,2.0,4.242640687119285,2.449489742783178,2.0,1.7320508075688772,2.0,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.0,-0.5038,0.7120000000000001,-2.76,-14.6,-23.2,-190.6,8.78,-127.42,143.36,-5.36,0.028648000000000003,-10.96,49.6,20.2,-23.8,124.088,8.0,17.8,30.6,4.38,9.18,7.58,-242.4,-1.2837273492,20.5,-9.279605,-12.72,-27.508000000000003,-67.06,-55.26,-5207.67,-6.13,-12.93,2.56,24.02,-1071.95,-150.87,0.0,0.0,0.0,0.0,0.0,-26.866999999999997,361.228,0.00031299999999999996,-13.575999999999999,12.265999999999998,-31.735,-4.484,-117.865,-2.99,-0.7509999999999999,0.0,-161.35,255.47,-487.52,36.1,3340.905,45.64024361680001,-3.515,3.455,0.2935,-0.8914,-92.44,-3483.0,12.25,5.489,-3582.0,-2.9930000000000003,2.7680000000000002,0.07056,2.311,51.0,-543.0,5.736000000000001,5.532,-492.2,-4605.031084,-4653.721361999999,4226.03,-1402.48,5628.49,-0.0091,0.0,0.0,0.0,-12.086952,-11.938621000000001,-10.707507000000001,-15.586522,-17.7725112281,2.40714,0.004554,65
swarm_100_170.pdb,5,1,8,2,7,1,7,7,9,0,0,1,0,2,0,0.52,0.355,0.35,0.62,0.45124999999999993,0.39000000000000007,0.44142857142857134,0.4885714285714287,0.5744444444444444,0.0,0.35,0.0,0.0,0.0,0.53,0.35,0.62,3.6099999999999994,2.7300000000000004,3.0899999999999994,3.420000000000001,5.17,0.0,0.7,0.0,0.0,0.0,0.53,35.17,34.3,1557.7999999999993,703.8499999999985,853.9499999999989,2.23606797749979,1.4142135623730951,2.6457513110645907,0.0,2.6457513110645907,3.0,1.0,2.8284271247461903,2.6457513110645907,1.0,0.0,0.0,1.0,0.0,1.4142135623730951,2.1904,-4.08,-0.32,-10.4,-10.2,-177.6,8.42,-125.62,142.52,-3.5,0.023969999999999998,-7.06,44.4,24.4,-12.8,67.468,12.0,23.2,31.2,6.32,7.34,0.82,-232.2,0.4929428472,12.3,-9.511389,-13.39,-22.908,-45.66,-42.84,-3564.69,12.13,2.02,-16.85,6.95,-808.16,-102.68,0.0,0.0,0.0,0.0,0.0,-56.8062,192.30200000000002,0.00040300000000000004,-11.079,17.9,-33.191,3.5010000000000003,-38.286,-5.9879999999999995,-5.261,0.0,-78.08,141.64,-442.79,75.51,2719.347,25.168669905999998,-3.17,2.9360000000000004,-0.9329999999999999,0.07592,-332.0,-2778.0,1.5190000000000001,-6.386,-3118.0,-2.952,2.535,0.1394,2.83,-25.0,-392.5,5.318,1.8230000000000002,-421.0,-4202.4688289999995,-4260.305982,1651.04,-1138.9,2789.93,-0.0858,0.0,0.0,0.0,-2.24135,-7.030624,-6.602132000000001,-16.673617999999998,-12.8813174865,4.71927,0.00302,50
swarm_100_174.pdb,2,3,3,2,12,3,12,8,9,0,0,0,1,0,0,0.55,0.505,0.5366666666666666,0.55,0.4366666666666667,0.325,0.37999999999999995,0.50125,0.5533333333333332,0.0,0.0,0.83,0.0,0.0,0.0,1.6099999999999999,1.6500000000000001,1.31,3.9000000000000004,4.56,4.01,4.979999999999999,0.0,0.0,0.83,0.0,0.0,0.0,34.1,35.26,1842.119999999999,854.2600000000002,987.869999999999,1.4142135623730951,1.4142135623730951,3.4641016151377544,0.0,2.8284271247461903,3.0,1.7320508075688772,1.7320508075688772,3.4641016151377544,1.7320508075688772,0.0,0.0,0.0,1.0,0.0,1.6769999999999998,-0.9620000000000001,3.96,-1.4,-16.0,-137.6,7.82,-115.02,116.52,2.14,0.002934,4.32,31.2,18.8,-8.8,137.406,3.6,11.6,20.0,6.34,17.5,7.58,-192.6,0.14269171,9.5,-8.393422,-11.13,-26.984,-45.51,-39.39,-2980.32,20.69,2.4,-48.5,-17.57,-1243.94,-534.96,0.0,0.0,0.0,0.0,0.0,-44.8347,-70.2508,0.00035299999999999996,-3.714,17.455,-50.495,8.691,-100.266,-4.078,-2.173,0.0,-131.89,200.51,-270.74,-60.37,2215.6479999999997,16.479618462,-3.095,3.1430000000000002,0.3223,-2.487,-41.43,-2935.0,10.89,-12.38,-3000.0,-2.509,2.3819999999999997,0.3628,1.629,32.5,-473.8,6.72,3.3160000000000003,-444.7,-4581.702614,-4641.186697,3809.94,-1327.89,5137.85,-0.0349,0.0,0.0,0.0,-4.398581,-7.02992,-5.731438,-22.402089,-15.257774165999999,1.23543,0.007891,55
swarm_100_195.pdb,3,2,8,5,5,2,10,3,4,0,4,3,1,4,0,0.43999999999999995,0.492,0.495,0.575,0.475,0.286,0.458,0.5166666666666667,0.445,0.0,0.51,0.52,0.6425,0.0,0.6699999999999999,0.99,1.15,3.8,1.43,4.58,1.55,1.78,0.0,2.04,0.52,2.57,0.0,2.01,35.36,34.2,1242.6200000000026,518.2099999999991,724.4099999999999,1.7320508075688772,2.23606797749979,3.1622776601683795,0.0,1.7320508075688772,2.0,1.4142135623730951,2.8284271247461903,2.23606797749979,1.4142135623730951,2.0,0.0,1.7320508075688772,1.0,2.0,-1.0562,-0.99,-0.16,-2.8,-12.6,-116.4,0.74,-124.48,102.22,-0.22,-0.036772000000000006,-0.5,22.2,15.6,-8.0,65.258,2.0,10.0,12.8,-4.68,-2.8,9.22,-193.2,-0.209284468,-4.9,-9.001216000000001,-14.49,-24.279,-36.18,-31.4,-3422.0,-10.93,-11.1,-38.01,-5.69,-886.64,-250.46,0.0,0.0,0.0,0.0,0.0,-51.4381,146.81799999999998,0.000576,0.23399999999999999,7.056,-24.168000000000003,4.873,-36.321999999999996,-2.687,-1.9969999999999999,0.0,-115.95,9.96,-505.48,133.11,-1017.0989999999999,16.9154789131,-3.613,3.5269999999999997,0.06934,-0.8588,-177.4,-2549.0,9.46,-15.04,-2751.0,-3.2760000000000002,3.623,1.263,-0.5268,-6.891,-294.4,6.882999999999999,-1.626,-309.8,-4360.777984,-4428.650452000001,1352.58,-1174.4,2526.97,-0.1286,0.0,0.0,0.0,-6.0406830000000005,-3.5648230000000005,-2.917626,-11.172879,-11.628197130699998,0.416225,0.005093,54
swarm_100_42.pdb,2,2,6,5,3,8,16,2,12,0,3,1,0,0,0,0.55,0.41600000000000004,0.635,0.525,0.43333333333333335,0.26,0.42375,0.53,0.37833333333333324,0.0,0.0,0.0,0.5566666666666668,0.0,0.53,1.27,4.2,2.6,0.78,6.78,1.06,4.539999999999999,0.0,0.0,0.0,1.6700000000000002,0.0,0.53,34.2,35.36,1937.6899999999987,904.7299999999996,1032.960000000001,1.4142135623730951,2.23606797749979,4.0,0.0,1.4142135623730951,3.4641016151377544,1.4142135623730951,2.449489742783178,1.7320508075688772,2.8284271247461903,1.7320508075688772,0.0,1.0,0.0,0.0,0.33399999999999996,-6.352,0.96,-10.0,-22.4,-172.8,7.46,-130.0,133.9,-2.22,0.031556,-7.76,43.6,21.8,-15.6,94.18,4.6,13.4,22.0,7.26,7.9,4.94,-237.8,-1.621980618,22.6,-8.896859,-16.29,-29.191,-61.9,-54.81,-3224.75,16.93,5.48,-14.76,10.94,-1339.17,-409.88,0.0,0.0,0.0,0.0,0.0,-37.256,28.4802,0.000302,-10.898,11.642999999999999,-66.429,-5.898,-68.811,-8.735,-7.428,0.0,-133.09,288.97,-279.96,-102.17,2966.844,44.589405379300004,-3.737,3.717,0.3717,-0.9259999999999999,-220.4,-3092.0,12.62,-13.19,-3338.0,-2.571,2.075,0.7831,3.0980000000000003,-22.86,-512.2,10.96,3.822,-542.2,-4774.500325999999,-4827.382877,3928.28,-1402.07,5330.36,0.0744,0.0,0.0,0.0,-9.335450999999999,-9.120572,-7.876798,-17.231035000000002,-12.0351923305,1.6069799999999999,0.004917,60
swarm_100_48.pdb,0,2,1,1,13,2,14,4,13,1,1,2,1,0,0,0.0,0.08,0.64,0.48,0.42,0.37692307692307697,0.3935714285714285,0.5025,0.4115384615384615,0.0,0.0,0.53,0.51,0.9,0.57,1.28,0.96,0.42,4.9,5.509999999999999,2.01,5.35,0.0,0.0,0.53,0.51,0.9,1.14,34.5,34.5,2000.1000000000022,852.2399999999998,1147.869999999999,0.0,1.0,3.7416573867739413,0.0,2.0,3.605551275463989,1.4142135623730951,1.0,3.605551275463989,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,0.0,0.7824,-4.48,1.18,-11.4,-20.8,-204.6,10.26,-173.02,174.98,-2.0,0.017242,-7.2,61.2,33.4,-16.2,148.048,10.2,20.6,36.0,10.72,8.16,11.9,-301.6,-0.607616378,19.6,-8.026959,-18.26,-32.25,-69.12,-64.02,-3629.47,36.3,0.39,9.11,36.13,-1145.5,-250.87,0.0,0.0,0.0,0.0,0.0,-17.7987,193.824,0.000269,2.678,12.988,-33.238,12.342,-159.326,-7.6610000000000005,-4.6339999999999995,0.0,-79.75,273.45,-321.14,3.24,1265.423,24.7864392702,-1.071,1.2109999999999999,1.6780000000000002,-0.7054,20.83,-3677.0,25.01,-4.524,-3686.0,-1.402,1.3719999999999999,1.715,2.2569999999999997,-8.387,-518.7,14.81,2.494,-539.4,-5095.711734,-5159.582757,3761.44,-1551.1,5312.54,0.0889,0.0,0.0,0.0,-13.094247,-12.235177,-0.673475,-14.046492,-13.5707371176,6.56085,0.0068909999999999996,55
swarm_100_83.pdb,0,2,5,5,10,4,8,4,8,0,0,1,1,1,1,0.0,0.284,0.56,0.5199999999999999,0.488,0.33,0.41125,0.52,0.51875,0.34,0.27,0.83,0.0,0.0,0.53,1.12,2.0799999999999996,2.44,3.3000000000000003,3.29,2.08,4.15,0.34,0.27,0.83,0.0,0.0,0.53,35.07,35.07,1740.619999999999,794.6700000000001,945.9399999999987,0.0,2.23606797749979,2.8284271247461903,1.0,2.0,2.8284271247461903,1.4142135623730951,2.23606797749979,3.1622776601683795,2.0,0.0,0.0,1.0,1.0,1.0,0.0928,1.868,0.56,-5.2,-26.2,-187.4,6.38,-161.54,154.32,-0.04,0.042164,0.14,37.8,23.2,-17.4,161.172,4.2,15.6,23.6,4.26,10.1,2.78,-279.4,0.75349131,14.1,-7.617560000000001,-14.3,-28.046999999999997,-43.59,-40.75,-4436.0,11.74,-4.12,1.69,13.19,-1297.36,-304.91,0.0,0.0,0.0,0.0,0.0,-66.7233,32.992,0.00043799999999999997,-12.292,14.288,-0.28,1.969,-75.949,-5.276,-3.833,0.0,-61.57,137.83,-406.3,-29.41,2528.157,1.5269139150600002,-3.648,3.537,-0.3814,-1.2930000000000001,-256.3,-3144.0,7.584,-16.65,-3425.0,-3.3930000000000002,2.8960000000000004,-0.8835,2.136,-40.65,-417.2,2.463,4.611000000000001,-455.7,-4689.665392,-4772.954234000001,3276.19,-1375.4,4651.6,-0.0909,0.0,0.0,0.0,-0.032165,-3.7583300000000004,-6.397496,-20.550989,-17.4618335025,1.43838,0.0060799999999999995,50
swarm_100_87.pdb,1,0,3,3,7,6,12,0,8,0,3,0,0,2,0,0.29,0.38666666666666666,0.0,0.5,0.39666666666666667,0.3657142857142857,0.3658333333333333,0.0,0.5125,0.0,0.48,0.0,0.6733333333333333,0.0,0.0,0.0,3.0,1.19,2.56,4.39,0.0,4.1,0.0,0.96,0.0,2.02,0.0,0.0,34.48,34.77,1436.7800000000025,617.3999999999996,819.380000000001,1.0,1.7320508075688772,3.4641016151377544,0.0,0.0,2.8284271247461903,0.0,1.7320508075688772,2.6457513110645907,2.449489742783178,1.7320508075688772,0.0,0.0,0.0,1.4142135623730951,-0.5698,-2.276,-2.02,-6.4,-15.2,-137.0,6.66,-108.54,111.56,-1.78,0.028069999999999998,-5.22,39.2,23.2,-10.8,137.142,6.2,14.6,22.2,2.1,0.7,9.18,-206.0,-0.51633002,13.3,-3.3441,-8.5,-18.085,-45.46,-47.19,-3581.9,4.81,5.1,49.43,42.64,-837.66,77.11,0.0,0.0,0.0,0.0,0.0,-16.5152,517.378,0.00045700000000000005,3.7739999999999996,12.035,45.926,20.402,-92.669,-5.044,-3.283,0.0,-38.5,235.93,-118.59,40.34,1779.011,15.9409990776,-2.9989999999999997,2.9819999999999998,0.9008,-1.1059999999999999,-123.2,-2601.0,15.98,5.27,-2735.0,-3.5789999999999997,3.199,0.1492,2.533,-17.6,-356.4,5.862,5.957999999999999,-373.9,-3666.788087,-3709.1074770000005,2808.06,-932.49,3740.56,-0.0382,0.0,0.0,0.0,-11.202247,-11.448737,-2.489604,-15.111877,-11.467527476099999,10.3121,0.004222,45
