Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_109.pdb,2,3,1,3,2,3,11,2,6,0,0,1,1,1,0,0.47,0.33,0.48666666666666664,0.5733333333333334,0.34,0.5249999999999999,0.4763636363636364,0.485,0.51,0.0,0.47,0.52,0.0,0.0,0.74,1.46,1.7200000000000002,0.34,1.0499999999999998,5.24,0.97,3.06,0.0,0.47,0.52,0.0,0.0,0.74,30.22,30.77,1061.6499999999996,597.6999999999998,463.96000000000095,1.4142135623730951,1.7320508075688772,3.3166247903554,0.0,1.4142135623730951,2.449489742783178,1.7320508075688772,1.0,1.4142135623730951,1.7320508075688772,0.0,0.0,1.0,1.0,1.0,2.226,-0.6659999999999999,5.76,-6.4,-13.6,-97.0,5.82,-76.96,100.1,0.06,0.028016000000000003,2.0,14.0,2.0,-18.2,55.222,9.4,14.6,18.4,3.1,11.5,10.82,-162.6,0.8006037559999999,5.6,-6.565430999999999,-10.21,-17.582,-34.01,-28.15,-2193.48,-32.05,-7.44,-8.18,-3.66,-916.77,-497.8,0.0,0.0,0.0,0.0,0.0,-24.7096,-52.9561,0.000643,-5.115,12.538,-38.582,3.565,-5.835,-2.4730000000000003,-2.362,-54.032,-117.61,130.9,-3.84,-113.41,87.60600000000001,16.4171336301,-2.094,2.083,0.2783,0.326,-23.73,-2048.0,4.446000000000001,-32.53,-2108.0,-1.349,0.9666,-0.6961,2.121,15.48,-326.5,3.2430000000000003,-4.433,-318.7,-3189.238666,-3227.606217,1704.61,-943.0,2647.62,-0.0193,0.0,0.0,0.0,-0.11321700000000001,-3.3545309999999997,-4.5649690000000005,-4.940822,-11.5421081809,-0.362863,0.00975,36
swarm_0_113.pdb,4,1,0,4,3,5,5,0,6,0,1,1,0,1,0,0.475,0.4625,0.53,0.5900000000000001,0.0,0.4166666666666667,0.47000000000000003,0.0,0.5983333333333334,0.0,0.47,0.0,0.67,0.0,0.7,0.53,2.95,0.0,1.25,2.35,0.0,3.5900000000000003,0.0,0.47,0.0,0.67,0.0,0.7,28.96,30.6,823.8700000000008,403.21000000000004,420.65999999999985,2.0,2.0,2.23606797749979,0.0,0.0,2.449489742783178,1.0,0.0,1.7320508075688772,2.23606797749979,1.0,0.0,1.0,0.0,1.0,1.1524,-0.244,-0.32,-2.4,-9.8,-55.2,0.74,-71.4,72.32,-0.98,0.00569,-2.44,10.2,5.4,-7.2,21.855999999999998,6.6,9.4,11.4,-4.08,6.26,4.52,-135.6,0.06747101400000001,-3.4,-7.252407000000001,-8.26,-15.072000000000001,-26.8,-23.79,-1978.21,-10.64,-9.78,-20.78,-3.55,-694.47,-247.83,0.0,0.0,0.0,0.0,0.0,-51.04600000000001,-85.4429,0.000805,-5.817,5.459,-30.182,-3.377,3.95,-0.545,-0.62,-8.732999999999999,-119.26,88.02,-14.75,-28.03,831.409,14.661954558,-3.83,3.779,-0.07393,0.3698,-176.0,-1704.0,1.9269999999999998,-35.05,-1917.0,-3.03,2.676,-1.161,0.9940000000000001,-9.656,-232.6,0.7722,-4.9719999999999995,-248.0,-2944.0868960000003,-2971.179918,966.92,-809.69,1776.62,-0.0186,0.0,0.0,0.0,-2.490879,-7.366925,-8.593428999999999,-14.579901999999999,-7.6857827944100015,-0.392435,0.005548,31
swarm_0_114.pdb,2,2,1,6,5,2,9,2,5,1,0,0,4,0,2,0.32,0.43,0.46499999999999997,0.77,0.34,0.39399999999999996,0.4588888888888889,0.5,0.726,0.51,0.0,0.52,0.0,0.49,0.0,0.9299999999999999,1.54,0.34,1.9699999999999998,4.13,1.0,3.63,1.02,0.0,2.08,0.0,0.49,0.0,28.72,31.38,1093.75,558.04,535.710000000001,1.4142135623730951,2.449489742783178,3.0,1.4142135623730951,1.4142135623730951,2.23606797749979,1.4142135623730951,1.0,2.23606797749979,1.4142135623730951,0.0,1.0,0.0,2.0,0.0,1.074,-4.896,-1.34,-8.2,-12.2,-72.2,1.34,-79.22,88.06,-3.7,0.010056,-5.44,21.6,8.2,-10.4,36.242,10.2,16.2,18.8,1.1,2.0,1.92,-164.2,-0.032604566,8.3,-8.268206,-9.84,-16.432000000000002,-21.76,-18.39,-2066.73,-5.02,-11.78,18.08,15.35,-653.01,-28.9,0.0,0.0,0.0,0.0,0.0,-21.6,58.1009,0.000531,2.766,9.339,-19.634,10.141,2.633,-0.19899999999999998,-0.249,-17.987000000000002,-78.89,141.09,-5.76,8.63,286.841,16.0183514655,-3.638,3.576,0.1036,-0.05201,-111.6,-2150.0,2.9789999999999996,12.14,-2252.0,-2.394,2.1069999999999998,-0.5885,1.357,7.151,-337.4,2.037,1.085,-331.2,-3037.654095,-3082.593308,1311.98,-897.97,2209.96,-0.0543,0.0,0.0,0.0,-2.639442,-3.930361,-7.436325,-16.696070000000002,-7.374089562110001,-1.5218,0.005878,41
swarm_0_118.pdb,17,16,21,24,30,15,31,9,12,7,12,16,7,18,8,0.5047058823529413,0.47166666666666646,0.47750000000000004,0.7386666666666666,0.4161904761904761,0.4039999999999999,0.4729032258064516,0.46222222222222226,0.5516666666666666,0.79,0.5061111111111113,0.4442857142857143,0.6341666666666667,0.7971428571428573,0.6587500000000001,7.640000000000001,11.079999999999998,8.739999999999998,12.119999999999997,14.66,4.16,6.619999999999999,6.32,9.110000000000003,3.11,7.61,5.580000000000001,10.540000000000001,28.32,31.79,2211.33,1095.1999999999998,1116.1399999999994,4.123105625617661,4.898979485566356,5.5677643628300215,2.8284271247461903,3.0,3.4641016151377544,4.0,4.58257569495584,5.477225575051661,3.872983346207417,3.4641016151377544,2.6457513110645907,4.0,2.6457513110645907,4.242640687119285,-3.7146,-12.808,-2.68,-5.8,-91.8,-633.2,-12.98,-718.32,589.32,3.84,-0.089364,0.46,32.2,3.6,-94.4,182.03799999999998,11.8,56.6,68.6,-48.66,-14.26,-0.78,-1137.6,-0.6169850644,-61.9,39.750753,17.39,-7.436,-187.65,-162.62,-13208.31,58.56,-33.52,729.12,518.43,265.41,10840.51,0.0,0.0,0.0,0.0,0.0,367.39599999999996,16748.9,0.000252,-14.64,5.803999999999999,953.325,86.49700000000001,-111.42399999999999,-2.577,-0.46,872.018,720.38,-71.0,-2219.95,779.19,-420.175,-25.418846044200002,-1.635,1.8,0.8847,-1.0070000000000001,-1409.0,-6283.0,31.18,-141.9,-7865.0,-1.099,1.089,-1.482,-1.469,-230.9,-1291.0,7.982,-66.61,-1596.0,-2852.453221,-3030.165496,7148.52,-1569.45,8717.97,0.7148,0.0,0.0,0.0,-11.887773,-29.958890000000004,-20.101385999999998,-92.663219,-36.7428383727,86.4555,0.004288,243
swarm_0_143.pdb,1,2,4,4,1,7,5,3,6,1,0,0,1,2,1,0.53,0.52,0.605,0.7442857142857144,0.395,0.47,0.45,0.51,0.33,0.51,0.47,0.52,0.0,0.49,0.0,1.21,5.210000000000001,1.58,0.47,2.25,1.53,1.98,0.51,0.94,0.52,0.0,0.49,0.0,28.65,30.81,1011.3500000000004,626.6400000000003,384.71000000000004,1.0,2.0,2.23606797749979,1.0,1.7320508075688772,2.449489742783178,1.4142135623730951,2.0,1.0,2.6457513110645907,0.0,1.0,0.0,1.0,1.4142135623730951,2.0516,0.055999999999999994,2.32,-4.2,-7.4,-51.8,2.18,-60.08,73.58,-1.02,0.06187,-1.2,16.4,6.4,-5.0,30.4,9.4,15.6,17.0,1.04,12.52,5.1,-129.6,0.18696304,-4.3,-8.159895,-7.09,-17.255,-26.24,-21.0,-942.85,-17.81,-3.22,-36.43,-0.34,-897.23,-582.86,0.0,0.0,0.0,0.0,0.0,-3.00659,-34.0889,0.0006190000000000001,16.044,16.977999999999998,-41.996,28.823,-2.184,0.397,0.43799999999999994,-38.655,-110.56,104.01,-46.38,-71.11,239.017,10.7255364414,-3.7110000000000003,3.678,0.7166,0.4157,-131.8,-1961.0,5.085,3.199,-2094.0,-2.173,1.7409999999999999,-0.8387,2.043,-16.94,-278.5,1.3969999999999998,1.038,-295.8,-3115.5627719999998,-3153.215848,1275.11,-856.03,2131.13,0.0903,0.0,0.0,0.0,3.6248980000000004,-1.6956930000000001,-2.0545400000000003,-3.9480160000000004,-3.77699954315,-0.6606810000000001,0.005737,38
swarm_0_174.pdb,4,2,6,2,3,5,8,3,3,0,0,1,2,1,0,0.5575,0.37,0.605,0.7,0.43999999999999995,0.42333333333333334,0.44999999999999996,0.49,0.42,0.0,0.55,0.38,0.0,0.0,0.74,1.21,3.5,2.6399999999999997,1.27,3.5999999999999996,1.47,1.26,0.0,0.55,0.76,0.0,0.0,0.74,29.51,31.15,1036.4300000000003,539.7000000000007,496.7399999999998,2.0,1.4142135623730951,2.8284271247461903,0.0,1.7320508075688772,1.7320508075688772,1.4142135623730951,2.449489742783178,1.7320508075688772,2.23606797749979,0.0,0.0,1.0,1.4142135623730951,1.0,2.0986,-1.262,5.62,-4.6,-3.0,-87.8,5.22,-71.66,85.44,-0.8,0.033451999999999996,-3.3,28.0,16.4,-4.0,29.034000000000002,12.8,19.6,25.0,0.96,7.76,4.62,-136.4,-0.0177608192,7.0,-5.169632,-9.26,-16.69,-28.47,-26.38,-1866.93,-1.84,-6.2,17.06,10.11,-724.38,-114.08,0.0,0.0,0.0,0.0,0.0,-15.8208,43.3957,0.000641,-6.662999999999999,11.748,-17.13,3.372,-60.31399999999999,-1.193,-0.047,25.090999999999998,-61.19,165.0,-187.34,29.9,-11.495999999999999,20.248516449300002,-1.876,1.815,-0.4876,-0.5837,-92.78,-2312.0,-0.8139,-0.6359,-2405.0,-2.086,1.6440000000000001,-1.584,0.7074,-14.74,-273.6,-0.5670000000000001,-2.428,-290.2,-3138.463972,-3169.304196,1631.23,-916.13,2547.35,-0.106,0.0,0.0,0.0,-0.35658,-4.246861,-2.281781,-6.934686,-9.64653839094,-0.322483,0.009975,40
swarm_0_182.pdb,2,2,5,7,4,7,6,2,12,1,2,0,2,0,1,0.48,0.3642857142857143,0.35,0.6771428571428572,0.418,0.30500000000000005,0.47,0.555,0.5183333333333334,0.51,0.0,0.52,0.5800000000000001,0.49,0.0,0.7,4.74,2.09,1.2200000000000002,2.82,1.11,6.220000000000001,0.51,0.0,1.04,1.1600000000000001,0.49,0.0,28.49,30.73,1519.5599999999995,859.4099999999999,660.1499999999996,1.4142135623730951,2.6457513110645907,2.449489742783178,1.0,1.4142135623730951,3.4641016151377544,1.4142135623730951,2.23606797749979,2.0,2.6457513110645907,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,0.6044,-6.377999999999999,-1.88,-13.4,-26.8,-167.8,1.92,-148.06,152.14,-3.64,0.15684800000000002,-6.78,31.0,10.2,-22.0,146.648,4.4,17.2,21.2,1.86,1.0,-5.04,-281.8,-0.5611052702,2.6,-9.317789,-13.88,-26.111,-54.1,-41.65,-2251.33,-36.7,-10.92,-13.51,13.5,-1259.58,-528.78,0.0,0.0,0.0,0.0,0.0,-9.2242,213.895,0.000425,6.715,22.985,-56.443000000000005,24.055,12.542,-3.002,-3.24,-83.32799999999999,-134.67,188.52,-99.03,-101.17,967.935,16.819875893,-2.714,2.745,0.9627,0.04759,-125.6,-3128.0,8.386000000000001,-14.35,-3276.0,-1.936,1.306,-0.4235,2.7760000000000002,-24.4,-399.8,4.129,0.9301,-427.4,-4073.422268,-4128.823292,1250.84,-1354.16,2604.99,0.0848,0.0,0.0,0.0,-3.145203,-7.07465,0.43472200000000005,-4.421698,-6.410009988990001,0.452716,0.0073019999999999995,53
swarm_0_195.pdb,2,2,2,4,4,1,9,3,6,0,0,1,1,0,0,0.355,0.265,0.5800000000000001,0.77,0.405,0.36,0.46666666666666656,0.5466666666666667,0.42333333333333334,0.0,0.0,0.83,0.0,0.0,0.67,1.1600000000000001,0.77,0.81,1.44,4.199999999999999,1.6400000000000001,2.54,0.0,0.0,0.83,0.0,0.0,0.67,28.57,31.22,965.0799999999999,456.6800000000003,508.3899999999994,1.4142135623730951,2.0,3.0,0.0,1.7320508075688772,2.449489742783178,1.4142135623730951,1.4142135623730951,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.22899999999999998,-3.51,0.1,-6.6,-10.0,-77.0,3.68,-58.86,65.6,-1.94,-0.030964,-4.54,23.8,12.8,-7.4,36.95,3.2,9.0,12.6,-2.72,2.92,2.82,-123.4,-0.144409272,4.5,-6.154103,-7.99,-14.812000000000001,-30.18,-24.89,-2501.4,-7.14,-6.01,-8.31,9.67,-714.06,-217.85,0.0,0.0,0.0,0.0,0.0,6.60093,143.05100000000002,0.000708,1.963,6.941,-21.268,6.777,-41.797,-1.462,-0.6679999999999999,-20.936,-68.71,110.65,-177.22,-2.6,432.408,25.251447258699997,-2.201,2.222,0.1413,-1.099,280.5,-2207.0,3.661,-29.1,-1959.0,-0.8427,0.3867,-0.6389,1.7590000000000001,53.72,-280.1,1.8780000000000001,0.45399999999999996,-227.8,-2916.985157,-2960.054804,1323.12,-794.79,2117.92,-0.046,0.0,0.0,0.0,-3.127581,-6.544792,-1.7564279999999999,-8.998264,-6.19912201648,-0.452579,0.004571,35
swarm_0_30.pdb,1,2,3,4,5,12,12,1,9,2,0,3,2,1,1,0.73,0.4375,0.46499999999999997,0.6075,0.3566666666666667,0.346,0.4658333333333333,0.44,0.5666666666666667,0.83,0.48,0.52,0.0,0.49,0.6699999999999999,0.9299999999999999,7.290000000000001,1.07,1.7299999999999998,5.59,0.44,5.1,0.83,0.48,1.04,0.0,0.98,2.01,28.33,31.67,1469.6399999999994,812.0799999999999,657.5699999999997,1.0,2.0,3.4641016151377544,1.0,1.0,3.0,1.4142135623730951,1.7320508075688772,2.23606797749979,3.4641016151377544,0.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.0,-2.0306,-9.548,-7.88,-19.8,-33.0,-151.0,0.9,-127.16,123.18,-7.46,0.030775999999999998,-12.32,30.8,4.8,-30.6,156.822,-0.4,5.6,13.4,2.88,2.06,-10.86,-237.2,-1.6299309359999998,-3.4,-10.200664,-11.2,-21.77,-55.81,-39.59,-3658.17,-36.16,-17.7,-19.76,11.56,-901.83,28.19,0.0,0.0,0.0,0.0,0.0,-12.8631,113.402,0.00047300000000000006,-4.877,15.915,-31.851,7.853,-17.66,-0.728,-0.39299999999999996,-23.176,-138.73,242.63,-35.31,-97.86,-484.566,22.8305899121,-2.6039999999999996,2.716,1.204,-1.238,138.0,-2670.0,11.87,-14.77,-2559.0,-2.6210000000000004,1.74,-1.177,4.109,20.09,-443.9,1.171,4.977,-420.0,-3631.420528,-3671.253157,2140.19,-1144.68,3284.86,-0.0858,0.0,0.0,0.0,-8.35099,-5.195162,-13.371673999999999,-19.476712,-13.7712295555,-0.8054060000000001,0.007620999999999999,58
swarm_0_35.pdb,3,6,2,3,4,2,14,6,5,0,0,0,0,2,1,0.43333333333333335,0.4000000000000001,0.4566666666666667,0.66,0.5,0.38,0.4692857142857143,0.47333333333333333,0.5740000000000001,0.83,0.475,0.0,0.0,0.0,0.0,2.74,1.32,1.0,1.52,6.57,2.84,2.87,0.83,0.95,0.0,0.0,0.0,0.0,29.19,32.43,1200.1500000000015,672.4300000000003,527.7300000000005,1.7320508075688772,1.7320508075688772,3.7416573867739413,1.0,2.449489742783178,2.23606797749979,2.449489742783178,1.4142135623730951,2.0,1.4142135623730951,0.0,0.0,0.0,0.0,1.4142135623730951,1.534,-5.242000000000001,-1.12,-12.0,-14.4,-102.2,3.14,-84.74,96.16,-3.64,-0.021314,-6.74,19.2,5.6,-16.4,49.982,6.8,14.4,19.4,-3.94,7.14,4.12,-168.6,-1.158302948,3.3,-7.804358000000001,-9.81,-18.833,-40.46,-27.43,-2071.97,-4.89,-4.84,4.24,4.24,-840.52,-176.68,0.0,0.0,0.0,0.0,0.0,-14.0053,15.9767,0.000648,0.182,20.666999999999998,-26.573,18.191,29.811,-4.289,-4.855,10.32,-110.02,190.84,33.28,-58.12,539.507,28.500543373400003,-2.8080000000000003,2.7560000000000002,-0.014369999999999999,0.3733,-116.0,-2313.0,4.3389999999999995,-57.01,-2490.0,-1.8880000000000001,1.569,1.239,3.654,23.13,-391.7,11.23,-0.6940000000000001,-380.5,-3307.4457030000003,-3361.15254,1888.9,-994.93,2883.84,0.0443,0.0,0.0,0.0,-3.6800879999999996,-9.019893,-8.766145,-16.479466,-8.2700139525,0.100626,0.0060420000000000005,48
