Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_137.pdb,0,1,4,2,3,0,8,3,1,0,1,0,0,1,1,0.0,0.37,0.4,0.0,0.47,0.36333333333333334,0.44625,0.5066666666666667,0.75,0.34,0.55,0.0,0.62,0.0,0.0,0.4,0.0,1.88,1.09,3.57,1.52,0.75,0.34,0.55,0.0,0.62,0.0,0.0,21.41,38.04,933.7900000000009,536.619999999999,397.16999999999825,0.0,1.4142135623730951,2.8284271247461903,1.0,1.7320508075688772,1.0,1.0,2.0,1.7320508075688772,0.0,1.0,0.0,0.0,0.0,1.0,1.5552,-2.476,0.22,-3.2,-7.0,-62.8,2.98,-51.74,58.14,-1.54,0.014819999999999998,-2.62,22.8,13.6,-3.6,27.164,6.4,9.4,13.2,-0.2,4.6,4.64,-97.4,-0.0047369,6.5,-6.228132,-4.57,-13.071,-15.11,-15.81,-1475.97,0.67,-2.3,-8.92,-6.76,-627.69,-200.55,0.0,0.0,0.0,0.0,0.0,-10.1255,60.5092,0.000558,-3.787,18.559,-29.436,11.829,-5.852,-2.592,-2.481,0.0,-60.29,100.87,-128.78,23.41,860.6519999999999,18.0823247535,-3.361,3.2910000000000004,-0.6078,-0.5476,273.4,-2105.0,-1.774,8.43,-1821.0,-3.088,2.5860000000000003,-1.3980000000000001,1.452,30.27,-249.3,0.0988,4.332,-214.8,-2789.3510309999997,-2813.475553,2339.68,-627.33,2967.0,-0.0215,0.0,0.0,0.0,-3.5876919999999997,-4.504706,-0.05412,-6.061291000000001,-4.61685115689,4.40414,0.00948,25
swarm_0_65.pdb,2,0,8,2,5,0,6,6,3,0,0,4,0,4,0,0.505,0.405,0.0,0.0,0.4774999999999999,0.31399999999999995,0.4833333333333334,0.5283333333333333,0.5333333333333333,0.0,0.71,0.0,0.0,0.0,0.7675,0.0,0.0,3.8199999999999994,1.5699999999999998,2.9000000000000004,3.17,1.6,0.0,2.84,0.0,0.0,0.0,3.07,21.41,37.78,1376.7599999999984,740.6499999999996,636.1099999999988,1.4142135623730951,1.4142135623730951,2.449489742783178,0.0,2.449489742783178,1.7320508075688772,0.0,2.8284271247461903,2.23606797749979,0.0,0.0,0.0,2.0,0.0,2.0,0.2112,0.6,2.86,-3.8,-16.4,-113.8,1.3,-114.82,102.2,0.24,-0.009574,-0.44,21.4,14.0,-7.8,26.43,4.2,11.6,14.4,-9.54,10.1,4.8,-187.0,-0.022018224,0.6,-8.119811,-13.0,-20.337,-35.37,-40.5,-3379.81,-18.08,-4.74,-26.97,-15.89,-1035.11,-325.21,0.0,0.0,0.0,0.0,0.0,-50.5546,-42.0385,0.000364,-13.125,12.075999999999999,-55.301,-6.579,-19.698,0.669,1.044,0.0,-81.42,79.39,-401.71,16.95,1866.4,20.8186875968,-3.326,3.3810000000000002,1.148,-0.4624,429.8,-3150.0,7.926,5.956,-2722.0,-2.129,1.733,-0.9539,1.9140000000000001,52.33,-357.7,2.748,2.523,-305.6,-3592.569249,-3632.559595,2418.98,-965.88,3384.85,-0.1521,0.0,0.0,0.0,-3.576565,-12.351096,1.796659,-6.365539,-7.99807962959,4.9943800000000005,0.00625,40
swarm_0_80.pdb,2,4,4,3,6,2,7,2,5,1,2,3,1,3,0,0.48,0.4066666666666667,0.5499999999999999,0.43500000000000005,0.4125,0.3666666666666667,0.40428571428571425,0.44,0.42000000000000004,0.0,0.38666666666666666,0.99,0.765,0.9,0.8266666666666667,2.1999999999999997,0.8700000000000001,1.65,2.2,2.8299999999999996,0.88,2.1,0.0,1.16,0.99,1.53,0.9,2.48,21.2,38.15,1810.010000000002,705.3199999999997,1104.6800000000003,1.4142135623730951,1.7320508075688772,2.6457513110645907,0.0,1.4142135623730951,2.23606797749979,2.0,2.0,2.449489742783178,1.4142135623730951,1.4142135623730951,1.0,1.7320508075688772,1.0,1.7320508075688772,0.2056,-0.652,-1.44,-3.2,-17.4,-112.8,0.52,-126.34,104.54,-0.64,0.104084,-3.02,18.6,9.4,-12.2,30.724,2.8,8.8,14.0,-1.68,4.16,1.38,-201.8,0.3014234408,-1.3,-6.724336,-13.05,-24.983,-46.53,-38.75,-4069.49,0.53,3.24,-30.21,-7.59,-921.15,-280.54,0.0,0.0,0.0,0.0,0.0,-20.5154,384.809,0.00028900000000000003,6.281000000000001,-2.355,-13.367,2.59,-120.78,-5.121,-2.826,0.0,-21.86,38.4,-415.97,-11.8,1897.2879999999998,34.3142787963,-2.8810000000000002,2.838,0.6915,0.3935,113.8,-3185.0,5.685,6.957000000000001,-3069.0,-1.271,1.207,-0.1072,0.7047,53.06,-424.7,6.587000000000001,1.023,-377.2,-4011.3710840000003,-4059.988275,2522.92,-1227.15,3750.06,0.0072,0.0,0.0,0.0,-2.779306,-6.36956,0.217894,-11.632897999999999,-15.4424847492,5.61992,0.005378,45
swarm_100_117.pdb,6,2,5,3,1,2,14,11,5,0,0,2,3,1,0,0.3466666666666667,0.42,0.445,0.585,0.422,0.41,0.49857142857142855,0.47090909090909105,0.364,0.0,0.48,0.5266666666666667,0.0,0.0,0.82,0.89,1.17,2.11,0.41,6.9799999999999995,5.1800000000000015,1.82,0.0,0.48,1.58,0.0,0.0,1.64,21.12,38.68,1298.979999999996,663.0799999999999,635.8999999999996,2.449489742783178,1.7320508075688772,3.7416573867739413,0.0,3.3166247903554,2.23606797749979,1.4142135623730951,2.23606797749979,1.0,1.4142135623730951,0.0,0.0,1.4142135623730951,1.7320508075688772,1.0,2.9206,-4.224,2.68,-13.4,-11.8,-161.0,6.64,-135.12,148.78,-3.86,0.025442,-7.04,38.4,20.2,-20.2,66.072,15.2,25.2,32.8,2.44,31.6,7.32,-242.6,-1.9305669606,20.2,-2.299557,-10.09,-18.69,-35.42,-25.81,-2616.99,17.86,-5.39,64.95,40.45,-651.66,509.4,0.0,0.0,0.0,0.0,0.0,-8.94106,871.063,0.0005070000000000001,-1.607,15.077,62.098,19.679000000000002,-80.006,-6.149,-4.629,0.0,-49.39,228.49,-115.72,69.25,663.283,14.4996290449,-0.8897,0.8357,-0.3908,0.2935,344.5,-3762.0,-0.04682,-23.58,-3442.0,0.005242,-0.264,1.328,2.461,125.7,-638.7,12.41,-0.2905,-525.7,-3456.4859380000003,-3531.0774119999996,2013.19,-963.52,2976.7,-0.0556,0.0,0.0,0.0,-3.63279,-7.473471000000001,-7.7457020000000005,-18.151317000000002,-13.113817660599999,15.9689,0.005164,55
swarm_100_27.pdb,1,2,7,3,5,2,8,6,5,0,0,2,0,0,0,0.46,0.35333333333333333,0.635,0.47,0.40714285714285714,0.378,0.4775,0.49333333333333335,0.404,0.0,0.0,0.0,0.0,0.0,0.7,1.27,0.94,2.85,1.8900000000000001,3.82,2.96,2.02,0.0,0.0,0.0,0.0,0.0,1.4,21.23,38.36,1088.199999999997,581.6399999999994,506.5600000000013,1.0,1.7320508075688772,2.8284271247461903,0.0,2.449489742783178,2.23606797749979,1.4142135623730951,2.6457513110645907,2.23606797749979,1.4142135623730951,0.0,0.0,1.4142135623730951,0.0,0.0,2.7404,1.454,4.68,-4.6,-7.8,-117.8,6.5,-96.52,111.84,-0.46,-0.05973,-1.78,33.6,18.8,-10.6,48.684,13.6,20.6,27.4,2.2,17.06,14.04,-181.0,0.043872394,10.2,-7.695328,-13.47,-20.566,-34.82,-32.28,-2160.65,-1.26,2.2,3.72,3.23,-1005.15,-361.74,0.0,0.0,0.0,0.0,0.0,-25.0612,28.3522,0.000743,-4.718999999999999,15.186,-35.602,6.906000000000001,-3.073,-6.4639999999999995,-6.406000000000001,0.0,-93.16,144.6,-263.4,17.27,-594.471,18.8944130987,-2.838,2.928,0.6595,-1.3430000000000002,222.5,-2701.0,5.612,-27.27,-2511.0,-2.029,1.8090000000000002,-0.027219999999999998,1.6280000000000001,52.8,-391.4,6.706,-2.697,-348.0,-3626.163517,-3700.709883,1634.14,-965.23,2599.37,-0.0632,0.0,0.0,0.0,1.6779549999999999,-2.985107,-3.265661,-9.913587,-6.81963325223,6.12945,0.006731999999999999,41
swarm_100_58.pdb,6,1,11,2,1,1,7,10,3,0,1,0,0,6,2,0.4533333333333333,0.31,0.52,0.53,0.3836363636363637,0.33,0.4342857142857143,0.491,0.5833333333333334,0.42500000000000004,0.48500000000000004,0.0,0.62,0.0,0.0,0.52,0.53,4.220000000000001,0.33,3.04,4.91,1.75,0.8500000000000001,2.91,0.0,0.62,0.0,0.0,21.79,37.95,1313.170000000002,619.8899999999994,693.2800000000007,2.449489742783178,1.4142135623730951,2.6457513110645907,1.4142135623730951,3.1622776601683795,1.7320508075688772,1.0,3.3166247903554,1.0,1.0,1.0,0.0,0.0,0.0,2.449489742783178,5.5082,0.036000000000000004,3.24,-4.4,-13.4,-169.8,2.82,-189.98,183.94,-1.36,-0.0014199999999999998,-2.78,37.8,26.4,-14.8,39.54,26.4,34.6,36.6,-1.74,9.88,6.72,-326.8,-0.45271540619999995,13.1,-8.347752999999999,-13.93,-22.449,-45.53,-39.29,-3077.5,1.52,-7.14,-17.49,5.23,-961.07,-171.07,0.0,0.0,0.0,0.0,0.0,-39.63,339.809,0.00043099999999999996,-10.045,11.526,-8.089,0.6729999999999999,22.674,-6.2379999999999995,-6.669,0.0,-107.32,97.61,-309.96,70.59,-238.105,17.4479909269,-2.975,2.84,-1.946,-1.0270000000000001,73.53,-3322.0,-13.35,-33.38,-3269.0,-2.491,2.1519999999999997,-0.8091,1.306,34.17,-531.1,5.1370000000000005,-7.13,-509.2,-3865.114405,-3930.6553630000003,1330.48,-1114.62,2445.11,-0.0417,0.0,0.0,0.0,-7.544009,-9.71444,-10.672259,-17.62866,-14.675694491700002,6.9545,0.005294,51
swarm_10_103.pdb,5,0,7,6,7,2,16,12,6,0,1,1,0,3,2,0.372,0.3166666666666667,0.0,0.53,0.4757142857142857,0.33142857142857146,0.4475,0.47000000000000003,0.465,0.51,0.3633333333333333,0.0,0.65,0.0,0.57,0.0,1.06,3.33,2.3200000000000003,7.16,5.640000000000001,2.79,1.02,1.0899999999999999,0.0,0.65,0.0,0.57,21.48,38.36,2021.5600000000013,947.6999999999989,1073.8600000000006,2.23606797749979,2.449489742783178,4.0,1.4142135623730951,3.4641016151377544,2.449489742783178,0.0,2.6457513110645907,2.6457513110645907,1.4142135623730951,1.0,0.0,1.0,0.0,1.7320508075688772,4.7846,-6.98,1.36,-12.6,0.6,-179.8,13.82,-140.9,182.38,-5.4,0.005462,-9.4,62.4,35.4,-11.4,105.948,31.2,43.6,56.2,7.64,22.18,12.42,-282.0,-1.4037430819999999,33.9,-8.348229,-14.32,-26.956999999999997,-58.62,-48.37,-3729.96,8.59,-2.14,60.73,55.86,-1095.33,-112.31,0.0,0.0,0.0,0.0,0.0,-2.92882,881.607,0.000291,-2.867,28.401,6.419,26.176,-38.641,-10.749,-10.015,0.0,-76.91,353.65,-46.65,129.24,653.5369999999999,61.027493371599995,-3.408,3.2960000000000003,-1.0490000000000002,0.775,224.5,-4807.0,-7.065,-45.73,-4622.0,-1.8530000000000002,1.369,1.311,3.8480000000000003,67.82,-653.0,14.65,2.325,-597.5,-4216.365053,-4286.07412,2845.1,-1316.47,4161.58,0.0783,0.0,0.0,0.0,-5.8578339999999995,-3.166039,-4.442026,-21.326916,-22.7941875364,9.006680000000001,0.0048530000000000005,68
swarm_101_142.pdb,0,0,3,5,6,0,11,1,2,1,4,0,0,0,0,0.0,0.38,0.0,0.0,0.4633333333333334,0.36000000000000004,0.4772727272727272,0.48,0.495,0.0,0.0,0.0,0.55,0.9,0.0,0.0,0.0,1.3900000000000001,2.16,5.249999999999999,0.48,0.99,0.0,0.0,0.0,2.2,0.9,0.0,21.25,38.0,1251.3400000000001,579.3099999999995,672.0499999999993,0.0,2.23606797749979,3.3166247903554,0.0,1.0,1.4142135623730951,0.0,1.7320508075688772,2.449489742783178,0.0,2.0,1.0,0.0,0.0,0.0,1.8036,0.166,1.4,-3.0,-5.4,-108.4,5.96,-94.32,100.8,-0.68,0.048444,-1.9,30.8,19.6,-6.2,52.72,13.4,17.2,21.6,2.5,8.56,12.04,-163.0,0.2287707998,9.8,-6.048212,-13.44,-22.441999999999997,-25.87,-20.45,-3402.25,18.49,0.41,-0.71,5.28,-947.31,-450.66,0.0,0.0,0.0,0.0,0.0,-30.3393,252.299,0.0005690000000000001,-7.1770000000000005,9.139,-7.545,1.208,16.112000000000002,-3.1310000000000002,-3.437,0.0,4.91,97.88,-354.22,81.0,1890.805,42.0445428163,-3.7689999999999997,3.7439999999999998,0.2354,-0.518,-125.8,-2631.0,3.554,-24.6,-2785.0,-3.0060000000000002,2.6889999999999996,-1.163,0.7340000000000001,-31.23,-249.3,1.088,-0.6779999999999999,-282.3,-3813.364415,-3868.775128,1646.35,-1072.68,2719.04,-0.0695,0.0,0.0,0.0,-0.189674,0.019614,-1.382801,-4.6934309999999995,-10.945524841400001,5.82872,0.0064849999999999994,33
swarm_101_183.pdb,2,0,11,1,2,1,9,3,2,0,1,2,0,2,0,0.445,0.44,0.0,0.41,0.4518181818181818,0.39,0.5188888888888888,0.49,0.495,0.0,0.57,0.0,0.46,0.0,0.8,0.0,0.41,4.97,0.78,4.67,1.47,0.99,0.0,1.14,0.0,0.46,0.0,1.6,21.41,37.53,1141.9699999999975,528.369999999999,613.6000000000004,1.4142135623730951,1.0,3.0,0.0,1.7320508075688772,1.4142135623730951,0.0,3.3166247903554,1.4142135623730951,1.0,1.0,0.0,1.4142135623730951,0.0,1.4142135623730951,0.6888,3.1039999999999996,0.74,-1.4,-8.4,-95.8,1.6,-83.9,73.94,0.16,0.027574,-0.74,16.6,10.4,-9.4,15.225999999999999,4.6,8.4,10.0,-0.32,6.04,5.28,-127.8,0.0994718676,-1.1,-6.801683000000001,-14.46,-20.094,-25.66,-30.19,-3576.73,8.87,0.13,-20.56,-2.4,-945.95,-470.03,0.0,0.0,0.0,0.0,0.0,-36.8248,24.7364,0.0006580000000000001,-4.718,1.946,-21.055,-4.878,8.552999999999999,-1.2930000000000001,-1.456,0.0,-63.65,17.17,-512.95,84.46,1807.384,23.5338063175,-3.96,3.8480000000000003,-1.0959999999999999,-0.3694,-20.1,-2436.0,-6.816,-40.02,-2489.0,-2.84,2.801,-0.6634,0.09545,18.9,-263.9,2.908,-4.29,-252.2,-3604.4520350000003,-3662.097676,1227.69,-978.53,2206.21,-0.0733,0.0,0.0,0.0,-3.078465,-5.533964,-2.302261,-5.907108999999999,-7.03815432633,5.7342699999999995,0.009306,36
swarm_101_32.pdb,0,1,8,4,7,0,13,4,4,0,2,1,0,0,0,0.0,0.46,0.54,0.0,0.43875000000000003,0.3371428571428572,0.4653846153846154,0.4775,0.625,0.0,0.0,0.0,0.615,0.0,0.57,0.54,0.0,3.5100000000000002,2.3600000000000003,6.05,1.91,2.5,0.0,0.0,0.0,1.23,0.0,0.57,21.07,38.07,1189.2900000000009,622.8199999999997,566.460000000001,0.0,2.0,3.605551275463989,0.0,2.0,2.0,1.0,2.8284271247461903,2.6457513110645907,0.0,1.4142135623730951,0.0,1.0,0.0,0.0,0.9292,-5.284,0.1,-5.0,-4.2,-128.0,6.14,-103.78,111.1,-2.28,-0.054314,-5.72,30.2,18.2,-11.6,70.53399999999999,17.8,21.6,27.0,-0.78,9.22,2.08,-180.6,-1.2508303840000001,15.7,-6.8168940000000005,-11.2,-18.14,-33.92,-27.0,-3365.6,9.45,-0.96,-2.35,10.62,-738.68,-94.55,0.0,0.0,0.0,0.0,0.0,-46.9069,96.4476,0.000544,-11.289000000000001,19.49,-19.599,6.242000000000001,-46.047,-6.602,-5.727,0.0,-97.61,169.51,-318.85,144.71,1585.425,39.5650731223,-2.7489999999999997,2.785,0.2079,-1.146,-22.24,-2845.0,2.245,-2.313,-2872.0,-0.8793,0.6496,0.8201,2.736,36.46,-322.2,6.343,1.285,-290.8,-3392.5871740000002,-3439.717188,1557.92,-881.12,2439.03,0.1298,0.0,0.0,0.0,-13.297676000000001,-13.876273000000001,-6.467181,-14.844104999999999,-10.953529274500001,10.8947,0.00425,44
