Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_103.pdb,2,2,2,4,4,5,10,0,10,0,0,4,1,1,0,0.38,0.37,0.48,0.45599999999999996,0.35,0.515,0.42399999999999993,0.0,0.46399999999999997,0.0,0.48,0.65,0.0,0.0,0.8049999999999999,0.96,2.28,0.7,2.06,4.239999999999999,0.0,4.64,0.0,0.48,0.65,0.0,0.0,3.2199999999999998,31.75,38.89,1265.6299999999974,630.4300000000003,635.210000000001,1.4142135623730951,2.0,3.1622776601683795,0.0,0.0,3.1622776601683795,1.4142135623730951,1.4142135623730951,2.0,2.23606797749979,0.0,0.0,2.0,1.0,1.0,0.7762,0.48,1.46,-4.0,-10.6,-56.8,1.66,-61.0,60.0,-0.2,-0.071984,-0.64,9.6,4.0,-7.6,12.546,1.4,6.4,9.0,2.22,10.74,2.08,-114.8,0.39060360520000004,-3.4,-9.565468,-9.56,-18.13,-25.11,-25.24,-2882.38,-7.31,-7.72,-54.55,-19.92,-728.56,-317.32,0.0,0.0,0.0,0.0,0.0,-24.6286,17.0825,0.000598,-8.078,7.276,-45.027,-5.305,-169.50099999999998,-2.575,0.6459999999999999,0.0,-95.14,42.47,-229.24,-52.5,392.535,6.226935353430001,-2.436,2.439,0.4075,-0.7457,150.8,-2067.0,7.477,7.67,-1916.0,-1.383,1.2329999999999999,-0.7897,-0.3371,55.28,-336.1,1.857,-1.325,-284.0,-3383.0175740000004,-3433.170065,1748.67,-942.15,2690.83,-0.0826,0.0,0.0,0.0,-2.829703,-7.334224000000001,-4.515568,-9.665393,-8.0103570107,2.28393,0.005333,45
swarm_0_181.pdb,2,0,2,10,4,6,3,1,3,0,1,3,4,4,1,0.46,0.41900000000000004,0.0,0.555,0.39,0.465,0.41333333333333333,0.43,0.6833333333333332,0.34,0.37499999999999994,0.5575,0.67,0.0,0.77,0.0,3.3300000000000005,0.78,1.86,1.24,0.43,2.05,0.34,1.4999999999999998,2.23,0.67,0.0,2.31,32.39,38.87,1074.8100000000013,450.85000000000036,623.9599999999991,1.4142135623730951,3.1622776601683795,1.7320508075688772,1.0,1.0,1.7320508075688772,0.0,1.4142135623730951,2.0,2.449489742783178,1.0,0.0,1.7320508075688772,2.0,2.0,4.6536,3.074,5.52,2.0,-0.4,-57.8,3.06,-90.32,94.08,2.86,0.055892,2.4,20.2,16.4,5.6,14.344000000000001,14.0,20.0,18.2,6.18,7.02,6.04,-159.4,0.5673286698,-6.6,-8.844196,-12.72,-19.113,-14.35,-14.2,-3317.43,-4.72,-6.06,-9.58,7.17,-752.52,-351.62,0.0,0.0,0.0,0.0,0.0,-54.6566,116.325,0.000696,-2.9730000000000003,2.062,-11.712,-2.083,-297.282,-0.8909999999999999,4.757,0.0,-67.18,-7.66,-335.97,66.04,-262.598,-10.7777051046,-1.4269999999999998,1.291,-0.6284,0.6252,7.096,-2102.0,3.717,1.2209999999999999,-2098.0,-0.1143,0.2778,0.1045,-1.1440000000000001,36.0,-324.1,3.2,-5.8,-297.1,-3569.5663229999996,-3607.423847,1541.59,-1007.3,2548.89,-0.1591,0.0,0.0,0.0,2.375059,5.2578830000000005,2.7524029999999997,-4.789276999999999,-10.6885608317,7.7666699999999995,0.010114,44
swarm_0_43.pdb,1,0,0,5,3,5,1,0,10,1,0,1,4,4,3,0.44,0.45600000000000007,0.0,0.59,0.0,0.4166666666666667,0.34,0.0,0.45999999999999996,0.3966666666666667,0.305,0.675,0.0,0.9,0.74,0.0,2.9499999999999997,0.0,1.25,0.34,0.0,4.6,1.1900000000000002,1.22,2.7,0.0,0.9,0.74,32.52,37.8,1400.2599999999984,581.7900000000009,818.4700000000012,1.0,2.23606797749979,1.0,1.7320508075688772,0.0,3.1622776601683795,0.0,0.0,1.7320508075688772,2.23606797749979,0.0,1.0,1.0,2.0,2.0,2.0928,6.876,1.48,-4.6,-7.2,-80.2,4.58,-89.7,103.16,-0.4,0.047568,0.32,21.2,9.4,-4.2,85.50399999999999,11.6,19.0,20.8,3.82,13.86,5.34,-178.6,0.75920803,2.5,-10.169588000000001,-15.39,-21.272,-33.87,-26.51,-2722.98,-10.31,1.83,-9.61,3.79,-939.74,-539.34,0.0,0.0,0.0,0.0,0.0,-21.0006,-51.7358,0.00045999999999999996,5.194,5.399,-40.073,6.586,-183.062,-0.6829999999999999,2.795,0.0,-146.97,119.63,-99.59,-15.53,603.883,13.688992268599998,-3.32,3.198,-0.8351,-0.617,-178.6,-2138.0,2.576,-17.08,-2336.0,-2.513,2.01,-0.7986,2.733,-5.888,-350.9,2.7060000000000004,0.3934,-359.1,-3690.651796,-3723.4750270000004,1421.4,-1100.95,2522.36,0.1067,0.0,0.0,0.0,-0.308992,-0.8343520000000001,-5.693821,-10.828008,-9.62662310727,2.3197200000000002,0.005263,38
swarm_0_52.pdb,2,1,2,5,7,1,3,1,5,0,0,3,4,5,4,0.46,0.426,0.45,0.62,0.48,0.48142857142857143,0.48333333333333334,0.49,0.48600000000000004,0.45,0.44399999999999995,0.6849999999999999,0.0,0.0,0.6566666666666666,0.45,0.62,0.96,3.37,1.45,0.49,2.43,1.8,2.2199999999999998,2.7399999999999998,0.0,0.0,1.97,31.62,39.53,1109.8400000000001,474.8899999999994,634.960000000001,1.4142135623730951,2.23606797749979,1.7320508075688772,2.0,1.0,2.23606797749979,1.0,1.4142135623730951,2.6457513110645907,1.0,0.0,0.0,1.7320508075688772,2.0,2.23606797749979,1.2166,-0.42200000000000004,-0.66,-3.2,-8.0,-76.4,-0.82,-95.74,86.16,0.04,0.028054000000000003,0.52,5.2,4.6,-1.8,-12.745999999999999,4.0,11.4,7.4,-1.06,1.4,-1.2,-158.6,0.381938182,-6.8,-10.032817,-13.23,-19.44,-28.66,-18.79,-2386.42,16.21,-0.66,-5.03,-6.78,-698.75,-105.75,0.0,0.0,0.0,0.0,0.0,14.0583,1182.42,0.000605,-0.43200000000000005,2.523,-20.894000000000002,0.001,-257.70599999999996,-2.509,2.387,0.0,-74.1,-0.46,-336.0,39.57,-784.1030000000001,5.736774402669999,-0.3441,0.09698,-2.667,0.784,-39.18,-2201.0,-7.542000000000001,-24.26,-2257.0,0.6101,-0.4627,1.349,0.8776,32.08,-335.1,8.536,-6.039,-317.6,-3569.5244789999997,-3606.6800200000002,1792.62,-1035.76,2828.39,-0.0653,0.0,0.0,0.0,-3.085573,-3.065488,-1.582278,-5.437933,-11.5311345794,-4.24982,0.008279,43
swarm_0_70.pdb,2,0,4,9,7,7,6,1,2,0,2,6,2,3,6,0.46,0.3855555555555556,0.0,0.5414285714285715,0.405,0.41000000000000003,0.48,0.48,0.64,0.4716666666666667,0.4766666666666666,0.6000000000000001,0.615,0.0,0.6433333333333332,0.0,3.79,1.62,2.87,2.88,0.48,1.28,2.83,1.43,1.2000000000000002,1.23,0.0,3.8599999999999994,32.38,38.11,1544.7000000000007,533.9699999999993,1010.7499999999982,1.4142135623730951,3.0,2.449489742783178,2.449489742783178,1.0,1.4142135623730951,0.0,2.0,2.6457513110645907,2.6457513110645907,1.4142135623730951,0.0,2.449489742783178,1.4142135623730951,1.7320508075688772,0.2386,-2.032,-2.26,-2.2,-9.2,-110.8,1.24,-120.56,116.32,-0.26,-0.036312,-0.42,16.2,11.2,-6.6,42.028,6.8,17.2,18.0,0.46,7.36,-1.94,-212.6,0.6844416879999999,-0.3,-6.55876,-15.58,-23.734,-53.31,-46.34,-4129.26,-3.48,-3.6,23.66,27.0,-1012.84,4.01,0.0,0.0,0.0,0.0,0.0,-51.6724,523.68,0.00045099999999999996,2.3,-13.636,40.393,-7.296,-424.18699999999995,-6.832000000000001,1.228,0.0,-101.55,12.37,-511.51,34.71,-197.351,-2.60402659466,-1.7109999999999999,1.44,-2.117,0.7165,-58.94,-2947.0,-5.11,-22.97,-3023.0,-0.6769,0.5245,-1.193,-0.3923,56.24,-501.1,2.206,-9.732000000000001,-456.8,-4046.0886570000002,-4080.82947,1802.75,-1269.75,3072.51,0.0993,0.0,0.0,0.0,-4.826223000000001,-5.393917,-6.056593,-15.005772,-16.3644674093,8.66127,0.009595999999999999,57
swarm_0_78.pdb,3,1,2,4,11,4,4,1,9,1,0,7,3,5,0,0.45999999999999996,0.3825,0.52,0.595,0.43,0.4100000000000001,0.4725,0.43,0.4488888888888889,0.0,0.32599999999999996,0.6166666666666667,0.0,0.49,0.6485714285714286,0.52,2.38,0.86,4.510000000000001,1.89,0.43,4.04,0.0,1.63,1.85,0.0,0.49,4.54,32.11,38.62,1471.7299999999996,663.3100000000004,808.4200000000001,1.7320508075688772,2.0,2.0,0.0,1.0,3.0,1.0,1.4142135623730951,3.3166247903554,2.0,0.0,1.0,2.6457513110645907,1.7320508075688772,2.23606797749979,1.6288,1.9680000000000002,2.14,-3.6,-16.0,-140.4,5.78,-130.04,138.7,1.26,-0.03801,3.22,23.6,11.0,-12.2,54.36600000000001,8.8,16.8,19.2,1.8,2.22,12.32,-239.4,1.038336476,1.3,-4.829964,-9.85,-22.058000000000003,-44.96,-35.04,-5088.71,14.21,-5.51,33.59,44.56,-749.5,410.36,0.0,0.0,0.0,0.0,0.0,-18.0396,1288.47,0.0005009999999999999,-3.319,10.097999999999999,52.978,12.077,-199.676,-5.404,-1.611,0.0,-26.93,80.16,-581.73,91.79,-109.406,12.2012966085,-2.9019999999999997,2.805,0.4328,0.3689,135.0,-2915.0,13.09,-34.44,-2828.0,-0.9865,1.0959999999999999,0.2685,-0.02197,52.21,-373.7,6.349,-5.96,-333.8,-3828.889753,-3877.460225,2294.85,-1215.5,3510.35,0.0116,0.0,0.0,0.0,4.606801,8.353353,4.388972,3.79823,-8.40804256421,9.336789999999999,0.010690999999999999,55
swarm_0_87.pdb,1,3,2,6,7,3,4,1,7,0,0,3,1,3,2,0.43,0.395,0.5233333333333333,0.5433333333333333,0.48,0.3742857142857143,0.49,0.43,0.6628571428571428,0.34,0.4566666666666666,0.83,0.0,0.0,0.5866666666666667,1.57,1.6300000000000001,0.96,2.62,1.96,0.43,4.64,0.68,1.3699999999999999,0.83,0.0,0.0,1.76,31.6,39.2,1256.4699999999975,591.1600000000008,665.3100000000013,1.0,2.449489742783178,2.0,1.4142135623730951,1.0,2.6457513110645907,1.7320508075688772,1.4142135623730951,2.6457513110645907,1.7320508075688772,0.0,0.0,1.7320508075688772,1.0,1.7320508075688772,0.8674,2.504,2.56,1.4,-10.8,-97.0,3.76,-106.22,105.16,1.92,0.08237799999999999,2.38,16.4,10.6,-8.0,24.846,8.6,13.6,13.6,-1.36,9.9,5.38,-187.6,1.35226174,2.7,-9.667104,-11.58,-20.538,-24.12,-24.14,-4289.72,-1.47,-1.38,-37.38,-9.84,-854.47,-413.82,0.0,0.0,0.0,0.0,0.0,-54.4069,-41.4263,0.000566,-7.852,13.047,-23.761999999999997,2.819,-154.208,-2.345,0.585,0.0,-59.9,58.86,-295.4,42.44,-538.22,2.25957848039,-2.923,2.8710000000000004,-0.9092,-1.3359999999999999,-71.04,-2082.0,1.547,-23.11,-2178.0,-2.088,1.835,-1.349,0.6558,14.14,-341.5,0.0786,-6.157,-333.6,-3677.1194909999995,-3715.6979509999996,1543.84,-1057.58,2601.43,-0.037000000000000005,0.0,0.0,0.0,-0.8612629999999999,-4.361496,-1.500921,-10.198961,-10.2271101226,2.8765400000000003,0.012302,43
swarm_100_102.pdb,1,1,0,10,10,3,5,1,6,0,0,1,1,1,1,0.53,0.37500000000000006,0.61,0.5466666666666667,0.0,0.37300000000000005,0.406,0.5,0.47000000000000003,0.34,0.55,0.88,0.0,0.0,0.76,0.61,1.6400000000000001,0.0,3.7300000000000004,2.0300000000000002,0.5,2.8200000000000003,0.34,0.55,0.88,0.0,0.0,0.76,31.73,38.55,1130.0900000000001,472.03000000000065,658.0499999999993,1.0,3.1622776601683795,2.23606797749979,1.0,1.0,2.449489742783178,1.0,0.0,3.1622776601683795,1.7320508075688772,0.0,0.0,1.0,1.0,1.0,3.1496,-0.006,3.6,-1.8,-4.2,-67.8,7.22,-67.04,84.96,0.46,0.11754,0.88,21.4,15.6,0.4,58.724,10.6,17.4,20.6,5.28,9.5,0.36,-150.8,0.745564,8.7,-6.708498,-9.16,-17.146,-28.27,-21.26,-2420.12,14.73,4.06,68.29,52.95,-519.23,110.55,0.0,0.0,0.0,0.0,0.0,-35.1014,62.7435,0.000557,-5.282,-1.101,-16.629,-8.046,-137.398,-5.723,-3.113,0.0,-36.91,71.42,-324.77,84.0,-278.177,10.2842048211,-2.301,2.401,2.3369999999999997,-0.127,-94.1,-1894.0,19.14,11.94,-1996.0,-1.8130000000000002,1.537,-1.1340000000000001,0.7809999999999999,15.02,-273.9,0.0654,0.3461,-258.6,-3296.33268,-3341.57476,1178.8,-880.92,2059.71,-0.0594,0.0,0.0,0.0,0.24856599999999998,-0.404262,-0.444817,-11.513406,-6.11552031903,2.58946,0.005561,41
swarm_100_21.pdb,2,1,5,5,10,4,6,3,6,0,4,0,0,1,0,0.48,0.364,0.64,0.545,0.442,0.4090000000000001,0.4283333333333333,0.55,0.4650000000000001,0.0,0.41,0.0,0.5775,0.0,0.0,0.64,2.18,2.21,4.090000000000001,2.57,1.6500000000000001,2.7900000000000005,0.0,0.41,0.0,2.31,0.0,0.0,32.65,38.78,1351.079999999998,685.869999999999,665.2099999999991,1.4142135623730951,2.23606797749979,2.449489742783178,0.0,1.7320508075688772,2.449489742783178,1.0,2.23606797749979,3.1622776601683795,2.0,2.0,0.0,0.0,0.0,1.0,0.8092,-2.0140000000000002,-0.04,-2.0,-12.8,-108.0,2.62,-106.34,97.96,-0.06,-0.0341,-1.68,17.0,12.0,-8.8,26.936,5.0,11.2,12.8,-6.72,12.5,-1.96,-185.8,-0.93568061,4.2,-7.165163000000001,-6.87,-20.791999999999998,-25.69,-30.4,-2904.59,-16.01,2.11,-1.26,16.92,-634.26,-46.76,0.0,0.0,0.0,0.0,0.0,-31.0952,50.9345,0.000521,1.551,19.307000000000002,-28.803,17.977999999999998,-31.866999999999997,-4.099,-3.4939999999999998,0.0,-29.8,118.86,-216.19,75.04,420.957,22.7163605206,-3.3310000000000004,3.26,0.4284,-0.3219,203.9,-2448.0,8.201,-9.064,-2262.0,-2.4730000000000003,2.4290000000000003,-0.007751999999999999,0.5899,21.95,-317.7,5.0280000000000005,-1.517,-302.3,-3695.7687130000004,-3738.415929,1930.32,-1036.38,2966.7,0.0742,0.0,0.0,0.0,-2.697246,-5.635301999999999,6.347721,-4.943444,-9.43585106561,2.94941,0.013553,47
swarm_100_66.pdb,1,1,2,5,11,0,6,1,5,0,2,0,0,4,3,0.58,0.406,0.64,0.0,0.55,0.4272727272727273,0.365,0.5,0.38,0.45333333333333337,0.4425,0.0,0.67,0.0,0.0,0.64,0.0,1.1,4.7,2.19,0.5,1.9,1.36,1.77,0.0,1.34,0.0,0.0,31.85,39.52,1214.8099999999977,544.8199999999988,669.9899999999998,1.0,2.23606797749979,2.449489742783178,1.7320508075688772,1.0,2.23606797749979,1.0,1.4142135623730951,3.3166247903554,0.0,1.4142135623730951,0.0,0.0,0.0,2.0,0.4044,-3.054,-1.76,-1.2,-9.8,-86.2,0.2,-115.92,103.94,-0.86,-0.00928,-0.32,17.2,11.4,-8.8,31.484,11.2,21.0,22.2,-2.36,2.7,2.42,-189.4,-0.88159411,3.5,-7.059297999999999,-8.78,-19.965999999999998,-36.33,-27.43,-2406.29,29.62,0.72,11.33,13.65,-566.34,191.66,0.0,0.0,0.0,0.0,0.0,-30.8899,157.376,0.00045599999999999997,-2.253,9.329,-20.968000000000004,4.98,-65.107,-5.449,-4.212,0.0,-51.44,93.18,-48.84,45.59,621.6990000000001,4.07386127095,-3.537,3.605,2.231,-0.5929,81.42,-2316.0,19.43,-6.89,-2261.0,-2.602,2.681,1.903,2.187,23.65,-334.7,9.562000000000001,1.011,-319.6,-3636.792507,-3672.7055259999997,1667.53,-996.17,2663.69,0.1469,0.0,0.0,0.0,-2.9881759999999997,0.990265,-0.8959590000000001,-11.971634,-10.9125767617,8.61396,0.009293000000000001,41
