Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_100_177.pdb,1,0,0,3,0,5,1,0,0,0,0,0,2,0,2,0.46,0.3866666666666667,0.0,0.6260000000000001,0.0,0.0,0.6,0.0,0.0,0.45999999999999996,0.0,0.61,0.0,0.0,0.0,0.0,3.130000000000001,0.0,0.0,0.6,0.0,0.0,0.9199999999999999,0.0,1.22,0.0,0.0,0.0,30.86,47.03,1897.729999999996,773.760000000002,1123.9599999999991,1.0,1.7320508075688772,1.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,2.23606797749979,0.0,0.0,0.0,1.4142135623730951,0.0,2.4808,3.8680000000000003,1.24,-7.0,-11.6,-117.0,2.22,-128.42,127.42,-0.18,-0.019431999999999998,1.32,25.4,16.8,2.22044604925e-16,14.418,9.8,21.0,16.8,2.44,8.84,2.72,-227.6,1.61918282,-4.4,-8.230358,-14.14,-24.924,-48.66,-22.9,-2890.44,-4.61,-6.87,-20.34,5.0,-1067.17,-213.83,0.0,0.0,0.0,0.0,0.0,-58.4169,373.07800000000003,0.000349,-10.141,-1.954,-19.621,-14.057,-494.13699999999994,-1.224,8.165,0.0,-16.78,7.79,-693.84,81.14,3063.453,10.4233057089,-3.38,3.2310000000000003,-1.234,-0.4258,-430.7,-3221.0,-2.667,36.9,-3613.0,-2.7089999999999996,1.855,-2.592,3.529,-2.8760000000000003,-444.5,-1.624,3.752,-442.0,-5156.404777000001,-5214.876245,2319.81,-1262.81,3582.62,0.0079,0.0,0.0,0.0,-3.8367809999999998,-4.177696,-7.254175,-13.714422,-18.589582357,42.3523,0.0024289999999999997,14
swarm_100_40.pdb,1,0,0,1,2,0,0,0,5,0,0,0,0,0,1,0.49,0.52,0.0,0.0,0.0,0.31,0.0,0.0,0.55,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,2.75,0.48,0.0,0.0,0.0,0.0,0.0,30.82,47.74,2076.4900000000052,905.0,1171.4900000000016,1.0,1.0,0.0,1.0,0.0,2.23606797749979,0.0,0.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,8.059,0.688,8.7,-5.4,-3.6,-183.4,14.92,-159.38,198.22,-0.08,0.050238,-2.58,66.2,46.0,0.8,83.226,36.0,46.2,53.2,8.44,32.62,21.22,-316.2,1.087217107,40.5,-9.423579,-15.08,-31.247,-46.11,-37.86,-4199.28,0.89,4.31,27.22,36.23,-1401.64,-328.18,0.0,0.0,0.0,0.0,0.0,-40.3625,528.139,0.000305,-13.857999999999999,18.229,-39.033,0.467,-128.22899999999998,-11.696,-9.26,0.0,-93.77,280.47,-488.19,214.3,8265.991,59.815021341800005,-3.455,3.516,1.2009999999999998,-0.7088,-499.5,-4448.0,18.08,3.7030000000000003,-4962.0,-2.214,2.197,0.5196,0.9373,-4.723,-575.8,11.08,-6.202000000000001,-597.8,-5795.444073,-5886.979138000001,3561.09,-1511.75,5072.85,0.1484,0.0,0.0,0.0,7.605249000000001,2.64657,-3.7886040000000003,-10.217617,-15.254376592,45.0634,0.002,10
swarm_100_7.pdb,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,30.79,47.02,2016.020000000004,912.4000000000015,1103.5999999999985,0.0,0.0,1.0,0.0,0.0,2.23606797749979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0892,2.4019999999999997,8.16,-1.0,-4.0,-124.0,9.0,-119.84,135.78,1.52,0.012282,0.42,39.4,28.4,2.8,57.333999999999996,23.6,33.4,36.4,6.94,17.24,10.34,-220.8,1.081349452,21.7,-9.609644,-11.09,-28.788,-35.48,-30.52,-3753.79,-5.36,9.36,-6.88,15.91,-1230.81,-533.79,0.0,0.0,0.0,0.0,0.0,-47.6286,115.176,0.000314,-17.070999999999998,15.975999999999999,-41.093,-5.204,-188.925,-8.677999999999999,-5.0889999999999995,0.0,-107.19,171.43,-665.29,167.22,4079.62,39.7450829927,-3.085,2.9989999999999997,-0.5501,-0.8748,-510.8,-3718.0,2.1,17.16,-4214.0,-2.401,1.979,-0.898,2.246,7.447,-490.8,3.569,-1.178,-488.1,-5521.440804,-5611.807369,3690.43,-1387.49,5077.91,-0.1276,0.0,0.0,0.0,5.562991,3.8118879999999997,0.29418,-10.642949,-13.4867280741,45.4491,0.0041670000000000006,6
swarm_100_86.pdb,0,0,1,2,2,0,6,0,4,0,0,0,0,0,0,0.0,0.41500000000000004,0.0,0.0,0.42,0.405,0.48333333333333334,0.0,0.4975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.81,2.9,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,30.73,47.51,1933.5999999999985,847.0000000000018,1086.5900000000001,0.0,1.4142135623730951,2.449489742783178,0.0,0.0,2.0,0.0,1.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,5.2088,2.372,6.54,-7.6,-7.6,-112.8,8.28,-101.3,119.64,-0.6,0.068284,-3.26,43.8,25.2,-2.6,53.32,15.8,23.6,30.2,8.88,18.26,18.3,-192.6,1.3860786308000002,16.5,-10.255338,-13.99,-27.148000000000003,-35.38,-32.73,-3119.33,0.29,7.75,-24.26,0.36,-1324.18,-862.27,0.0,0.0,0.0,0.0,0.0,-51.2719,0.467937,0.000359,-12.052999999999999,5.47,-70.402,-13.623,-175.925,-5.437,-2.095,0.0,-118.04,175.35,-599.14,91.33,5596.914000000001,40.9234368848,-2.516,2.47,-0.687,-1.3519999999999999,-305.0,-3590.0,1.3330000000000002,-3.99,-3900.0,-1.933,1.6440000000000001,-0.373,1.49,28.86,-448.0,4.603,-3.0580000000000003,-426.8,-5302.765014,-5372.201408,3021.19,-1287.77,4308.96,0.0774,0.0,0.0,0.0,-0.125835,-4.679787999999999,-0.8757889999999999,-8.63728,-10.522256729,42.8518,0.002133,15
swarm_10_100.pdb,3,1,0,3,0,0,1,0,0,0,0,1,0,4,2,0.43333333333333335,0.5566666666666666,0.53,0.0,0.0,0.0,0.47,0.0,0.0,0.485,0.5375,0.0,0.0,0.0,0.53,0.53,0.0,0.0,0.0,0.47,0.0,0.0,0.97,2.15,0.0,0.0,0.0,0.53,31.11,47.25,1861.8199999999997,759.7900000000009,1102.0300000000025,1.7320508075688772,1.7320508075688772,1.0,1.4142135623730951,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-0.6328,-0.98,-3.86,-2.8,-28.0,-204.0,-7.58,-234.96,176.98,-0.46,0.047425999999999996,-0.44,4.0,4.2,-19.0,3.5839999999999996,2.8,14.8,9.4,-12.32,-14.96,-8.58,-342.0,0.0050232732,-22.6,-8.050342,-20.38,-30.511999999999997,-51.61,-39.94,-4681.23,-34.63,-3.74,-60.6,-5.64,-1349.68,-267.26,0.0,0.0,0.0,0.0,0.0,-66.0692,395.467,0.000336,-17.246,-12.585999999999999,-0.986,-29.930999999999997,-528.922,2.7110000000000003,12.761,0.0,-119.41,-100.16,-704.91,55.1,-34.951999999899996,-16.154692886,-3.238,2.932,-2.285,0.01095,-275.4,-3885.0,-14.77,20.83,-4124.0,-2.029,1.6680000000000001,-0.5594,1.4380000000000002,12.19,-526.8,5.527,-1.76,-521.9,-5791.464127,-5867.267987,631.29,-1569.0,2200.29,-0.2013,0.0,0.0,0.0,-5.061058,-6.720753,-8.082733000000001,-17.381232,-23.0379349421,44.1993,0.007932999999999999,15
swarm_10_138.pdb,1,0,1,3,1,0,3,0,0,0,3,0,0,2,0,0.52,0.5366666666666667,0.0,0.0,0.43,0.53,0.4633333333333333,0.0,0.0,0.0,0.5249999999999999,0.0,0.5233333333333333,0.0,0.0,0.0,0.0,0.43,0.53,1.39,0.0,0.0,0.0,1.0499999999999998,0.0,1.57,0.0,0.0,30.9,47.34,1791.760000000002,813.5300000000025,978.2199999999975,1.0,1.7320508075688772,1.7320508075688772,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.7320508075688772,0.0,0.0,0.0,1.4142135623730951,2.2538,-2.384,1.14,-4.4,-20.8,-164.4,-0.2,-172.78,155.44,-0.36,0.012754000000000001,1.32,16.0,11.2,-15.4,60.83,11.8,21.0,20.8,-2.6,3.28,2.26,-275.4,0.34239752939999996,-8.0,-9.016177,-18.8,-27.17,-43.31,-32.67,-4403.94,-37.03,-6.08,-83.38,-43.02,-1233.83,-415.03,0.0,0.0,0.0,0.0,0.0,-71.0924,138.03,0.000366,-19.102999999999998,-0.598,-27.703000000000003,-22.471999999999998,-352.528,2.1109999999999998,8.809,0.0,-138.34,27.3,-523.68,-57.7,866.61,13.8981132305,-1.751,1.6969999999999998,-0.8289,-1.178,-142.3,-3364.0,-0.1319,-11.13,-3518.0,-1.329,0.7682,-1.589,2.35,28.19,-490.9,2.066,-2.222,-467.0,-5414.723518,-5466.184992,1620.03,-1342.42,2962.45,-0.0607,0.0,0.0,0.0,3.6553709999999997,-3.766622,-10.787138,-18.327894,-20.1558123029,37.9236,0.005571,14
swarm_10_174.pdb,4,1,7,14,2,0,2,4,0,0,0,1,1,5,0,0.45,0.38999999999999996,0.52,0.0,0.4742857142857143,0.32,0.4,0.45999999999999996,0.0,0.0,0.556,0.99,0.0,0.0,0.57,0.52,0.0,3.3200000000000003,0.64,0.8,1.8399999999999999,0.0,0.0,2.7800000000000002,0.99,0.0,0.0,0.57,30.76,47.39,2398.2000000000044,1149.739999999998,1248.4599999999991,2.0,3.7416573867739413,1.4142135623730951,0.0,2.0,0.0,1.0,2.6457513110645907,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,2.23606797749979,5.8998,-1.1520000000000001,15.46,-6.2,-21.8,-292.8,14.58,-258.76,273.56,2.48,0.027569999999999997,2.82,71.2,47.6,-13.2,255.46599999999998,22.2,41.8,57.2,9.0,31.84,8.38,-444.2,1.3451923934,13.2,-9.730108999999999,-19.98,-37.132,-72.01,-52.72,-5081.12,13.68,-0.08,13.08,36.26,-1798.98,-100.95,0.0,0.0,0.0,0.0,0.0,-85.8275,216.679,0.000212,-26.969,18.387,-0.94,-8.676,-332.295,-9.753,-3.44,0.0,-109.5,211.18,-1043.82,58.93,3571.073,31.5913581252,-1.7890000000000001,1.7469999999999999,-0.5367,-0.9704,-300.1,-4941.0,2.045,-43.16,-5286.0,-0.773,0.04736,-0.9064,2.998,2.475,-704.3,9.523,-7.5520000000000005,-718.9,-6506.923288,-6612.3332869999995,4434.69,-1786.0,6220.69,-0.1836,0.0,0.0,0.0,6.006439,-4.080611,0.09673899999989999,-19.128673000000003,-22.2022590956,47.6112,0.007244,41
swarm_10_188.pdb,3,0,0,3,1,0,3,1,0,0,1,0,4,4,1,0.48,0.3433333333333333,0.0,0.0,0.0,0.39,0.46,0.53,0.0,0.58,0.39749999999999996,0.7324999999999999,0.46,0.0,0.0,0.0,0.0,0.0,0.39,1.3800000000000001,0.53,0.0,0.58,1.5899999999999999,2.9299999999999997,0.46,0.0,0.0,30.78,47.25,2086.540000000001,903.8500000000022,1182.6800000000003,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0836,-1.376,0.72,-1.6,-29.8,-231.6,-3.24,-240.22,188.14,1.58,-0.012994,1.44,16.4,12.6,-22.0,59.382,-0.6,12.0,11.4,-10.92,-0.44,9.7,-353.6,0.6753428712,-11.2,-8.125007,-23.6,-34.080999999999996,-71.78,-64.12,-5003.34,4.27,-12.59,10.37,15.53,-1500.53,-237.23,0.0,0.0,0.0,0.0,0.0,-89.7344,97.2364,0.000226,-26.761,-1.431,0.754,-28.116999999999997,-356.18,-3.603,3.1639999999999997,0.0,-81.4,-53.79,-708.52,-17.39,-138.289,18.2964771751,-2.174,2.044,-1.128,-0.3209,-316.0,-4314.0,-1.835,-5.3389999999999995,-4634.0,-1.179,0.7177,-1.558,0.693,-2.802,-570.3,4.099,-9.199,-586.4,-6170.1615280000005,-6232.115572,2275.95,-1662.3,3938.25,-0.1189,0.0,0.0,0.0,1.315226,-0.563192,-5.0914980000000005,-16.614976000000002,-22.7434726847,44.3162,0.008476000000000001,21
swarm_10_194.pdb,0,0,0,2,3,0,2,0,0,0,0,0,3,1,0,0.0,0.635,0.0,0.0,0.0,0.36000000000000004,0.445,0.0,0.0,0.0,0.87,0.9899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.89,0.0,0.0,0.0,0.87,2.9699999999999998,0.0,0.0,0.0,30.46,47.52,1784.9000000000015,852.5900000000001,932.3100000000013,0.0,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,1.7320508075688772,0.0,0.0,0.0,0.0,1.7320508075688772,1.0,4.0088,-0.614,8.74,-6.6,-13.0,-198.6,10.46,-156.04,170.16,0.0,0.058884000000000006,-2.82,53.8,30.0,-14.4,102.774,16.4,26.8,41.0,4.16,13.9,17.6,-276.0,0.18620222,18.5,-7.1522820000000005,-15.85,-28.208000000000002,-61.08,-49.13,-3238.97,11.32,5.36,-15.62,4.13,-1330.36,-297.01,0.0,0.0,0.0,0.0,0.0,-54.6146,36.4511,0.000363,-17.078,12.354000000000001,-60.67100000000001,-10.790999999999999,-169.667,-5.162999999999999,-1.939,0.0,-61.42,185.44,-583.51,3.36,3543.575,38.0565839891,-2.0340000000000003,2.055,0.3046,-0.7390000000000001,-288.0,-3808.0,8.536,-32.75,-4137.0,-1.05,0.6428,-0.5375,2.428,52.79,-549.4,6.517,-3.4760000000000004,-506.6,-5459.919444,-5529.757901,2212.15,-1324.38,3536.54,-0.0274,0.0,0.0,0.0,2.450353,-0.44821000000000005,-7.107532000000001,-17.024683,-15.7258329382,42.9692,0.004,11
swarm_105_186.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.44,47.3,1654.520000000004,661.4299999999967,993.0899999999965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7254,-7.172000000000001,-6.84,-7.8,-12.2,-123.6,2.74,-110.16,104.92,-3.66,-0.03978,-7.22,28.2,16.4,-8.0,44.05,7.6,12.0,14.2,-0.24,-1.1,-0.7,-194.6,-0.28873223600000003,7.9,-4.54219,-10.81,-21.648000000000003,-44.87,-32.21,-4012.77,-14.22,1.78,16.01,27.6,-995.55,-221.08,0.0,0.0,0.0,0.0,0.0,-40.1754,349.245,0.00040199999999999996,-14.145,13.075,4.227,-0.647,-221.03,-3.245,0.9540000000000001,0.0,-67.43,109.3,-191.23,1.85,1591.433,28.571110326,-3.7460000000000004,3.779,0.8159,-1.1159999999999999,-316.7,-2929.0,9.28,-1.232,-3256.0,-2.8339999999999996,2.448,-0.1506,2.778,-36.85,-404.8,5.99,-0.1622,-447.8,-4765.900578,-4804.977529,3095.43,-1102.25,4197.69,0.0738,0.0,0.0,0.0,-8.885777000000001,-8.488141,-0.988293,-10.113825,-18.6405976134,42.1526,0.0,0
