Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_126.pdb,2,0,3,5,7,4,6,1,3,0,2,0,2,3,1,0.52,0.266,0.0,0.46,0.4533333333333333,0.2914285714285714,0.42500000000000004,0.43,0.5366666666666667,0.34,0.4066666666666667,0.6000000000000001,0.67,0.0,0.0,0.0,1.84,1.3599999999999999,2.04,2.5500000000000003,0.43,1.61,0.34,1.22,1.2000000000000002,1.34,0.0,0.0,32.04,35.28,1301.829999999998,533.8599999999988,767.9599999999991,1.4142135623730951,2.23606797749979,2.449489742783178,1.0,1.0,1.7320508075688772,0.0,1.7320508075688772,2.6457513110645907,2.0,1.4142135623730951,0.0,0.0,1.4142135623730951,1.7320508075688772,1.9846,-2.166,1.74,-1.0,-4.0,-104.8,5.68,-97.2,103.96,0.86,-0.042686,1.24,26.2,19.2,-3.8,51.926,12.6,17.4,22.2,0.6,11.98,9.9,-172.4,0.164950864,7.6,-7.245814,-8.18,-14.738,-38.56,-25.3,-2561.39,4.76,9.04,-31.51,-12.03,-695.94,-169.82,0.0,0.0,0.0,0.0,0.0,-50.9435,36.9432,0.000518,-7.79,7.035,-36.597,-4.415,-200.865,-6.404,-2.588,0.0,4.84,126.41,-183.89,94.58,330.71,6.54043136747,-2.124,2.092,0.5112,0.4292,-265.8,-1873.0,7.846,21.97,-2125.0,-1.6119999999999999,1.681,0.6773,0.9211,-9.408999999999999,-262.2,4.006,1.615,-274.0,-3252.5234100000002,-3288.49027,1486.22,-762.05,2248.27,0.065,0.0,0.0,0.0,-1.271467,-2.836442,-2.021847,-8.334483,-11.6104715927,6.27151,0.0037689999999999998,39
swarm_0_149.pdb,2,0,4,0,7,4,7,4,6,0,1,1,1,3,0,0.49,0.0,0.0,0.5325,0.4975,0.3514285714285714,0.4271428571428571,0.505,0.41333333333333333,0.0,0.42999999999999994,0.83,0.67,0.0,0.74,0.0,2.13,1.99,2.46,2.9899999999999998,2.02,2.48,0.0,1.2899999999999998,0.83,0.67,0.0,0.74,32.03,35.29,1038.3199999999997,439.03000000000065,599.2799999999988,1.4142135623730951,0.0,2.6457513110645907,0.0,2.0,2.449489742783178,0.0,2.0,2.6457513110645907,2.0,1.0,0.0,1.0,1.0,1.7320508075688772,1.4372,-0.544,1.48,-3.0,-15.2,-99.4,-0.18,-103.72,84.14,0.82,0.034306,0.08,12.8,5.2,-11.2,65.984,2.4,5.8,7.2,-1.32,1.72,5.84,-158.0,0.29050474800000003,0.9,-8.191155,-10.64,-18.052,-34.65,-31.85,-3149.64,-5.33,1.01,-15.32,4.5,-904.46,-501.06,0.0,0.0,0.0,0.0,0.0,-52.5748,-21.4412,0.000599,-13.132,5.617000000000001,-16.72,-9.187999999999999,-136.12,-3.072,-0.486,0.0,-28.79,2.76,-348.88,-3.94,737.7669999999999,14.4967974401,-1.99,1.943,-0.3522,0.552,-342.7,-1941.0,6.017,-5.939,-2296.0,-1.1420000000000001,0.8672,-0.2596,1.2670000000000001,-39.86,-251.8,3.3139999999999996,-5.029,-300.0,-3527.7770060000003,-3568.3414090000006,1300.1,-923.34,2223.44,-0.0209,0.0,0.0,0.0,-2.1729,-0.769859,-4.263451,-7.977431,-6.96172087603,1.6785599999999998,0.008075,40
swarm_0_76.pdb,2,2,3,4,10,3,7,1,7,0,1,1,3,0,0,0.49,0.39749999999999996,0.5549999999999999,0.6033333333333334,0.5133333333333333,0.326,0.47857142857142854,0.53,0.3685714285714286,0.0,0.0,0.7866666666666666,0.88,0.0,0.7,1.1099999999999999,1.81,1.54,3.2600000000000002,3.3499999999999996,0.53,2.58,0.0,0.0,2.36,0.88,0.0,0.7,32.45,35.43,1464.9900000000016,571.0200000000004,893.9699999999993,1.4142135623730951,2.0,2.6457513110645907,0.0,1.0,2.6457513110645907,1.4142135623730951,1.7320508075688772,3.1622776601683795,1.7320508075688772,1.0,0.0,1.0,1.7320508075688772,0.0,2.4926,-1.016,2.2,-5.4,-6.2,-105.6,5.68,-84.94,92.32,-0.28,0.088662,-1.08,30.0,18.8,-4.8,37.56,8.6,14.6,20.6,-1.78,5.18,0.66,-150.4,0.2737724832,12.2,-8.637286,-12.87,-21.568,-35.1,-31.91,-3016.42,1.2,11.05,0.63,10.35,-1094.98,-568.35,0.0,0.0,0.0,0.0,0.0,-32.8579,19.9638,0.000525,-6.181,3.292,-40.668,-6.956,-254.667,-5.6,-0.7609999999999999,0.0,-76.95,158.55,-260.56,100.38,797.073,22.3445750725,-3.049,3.0180000000000002,0.06397,-0.2448,-420.1,-2403.0,7.742000000000001,-4.761,-2836.0,-2.238,2.239,1.251,1.844,-17.02,-351.6,7.49,0.609,-375.5,-3914.472604,-3973.4790659999994,1564.28,-1104.95,2669.22,0.0646,0.0,0.0,0.0,1.9863669999999998,3.328932,-1.7597330000000002,-12.817076,-13.492628608399999,1.9173200000000001,0.003795,44
swarm_0_88.pdb,1,0,2,3,6,3,12,1,6,0,1,3,1,4,0,0.49,0.43,0.0,0.47333333333333333,0.53,0.2983333333333333,0.4175,0.53,0.45999999999999996,0.0,0.44249999999999995,0.68,0.88,0.0,0.8133333333333334,0.0,1.42,1.06,1.7899999999999996,5.01,0.53,2.76,0.0,1.7699999999999998,0.68,0.88,0.0,2.44,32.24,34.87,1244.8500000000022,508.3199999999997,736.5300000000007,1.0,1.7320508075688772,3.4641016151377544,0.0,1.0,2.449489742783178,0.0,1.4142135623730951,2.449489742783178,1.7320508075688772,1.0,0.0,1.7320508075688772,1.0,2.0,3.045,-5.278,3.92,-2.2,-11.8,-124.0,3.82,-125.92,113.34,1.46,0.040986,1.22,28.0,16.6,-8.8,66.816,8.6,14.4,20.0,0.14,-4.52,9.48,-196.2,0.834201472,4.7,-7.736795,-9.19,-16.227999999999998,-38.62,-30.19,-3343.78,-5.74,-6.6,-41.26,-19.23,-775.4,-220.18,0.0,0.0,0.0,0.0,0.0,-35.968,239.582,0.000667,-15.712,5.343,-8.017000000000001,-11.171,-110.695,-4.857,-2.7539999999999996,0.0,-104.9,29.9,-480.77,97.62,1001.3889999999999,9.87638550182,-2.339,2.263,-0.575,0.0795,-416.4,-1799.0,4.6339999999999995,10.95,-2209.0,-1.3019999999999998,1.23,0.5644,1.0,-50.47,-260.2,4.845,-1.485,-317.0,-3395.008928,-3443.285918,1231.69,-811.26,2042.98,-0.0286,0.0,0.0,0.0,-4.602565,-5.046171,-5.466698,-11.737680000000001,-10.6679516502,7.227189999999999,0.008256,43
swarm_0_89.pdb,4,1,0,5,5,2,9,1,18,0,1,2,1,3,1,0.4825,0.43,0.52,0.43500000000000005,0.0,0.442,0.42999999999999994,0.56,0.5277777777777778,0.34,0.4766666666666666,0.88,0.83,0.0,0.735,0.52,0.8700000000000001,0.0,2.21,3.8699999999999997,0.56,9.5,0.34,1.43,0.88,0.83,0.0,1.47,32.32,34.68,1459.380000000001,655.3799999999992,804.0100000000002,2.0,2.23606797749979,3.0,1.0,1.0,4.242640687119285,1.0,0.0,2.23606797749979,1.4142135623730951,1.0,0.0,1.4142135623730951,1.0,1.7320508075688772,4.5066,-1.838,4.68,-9.0,-13.4,-121.8,8.06,-123.8,135.54,-1.3,0.07372999999999999,-4.48,41.4,21.4,-10.6,100.1,14.0,23.6,30.4,9.3,14.08,14.9,-231.4,1.201849408,16.0,-7.309504,-11.62,-18.436,-47.93,-42.74,-3286.12,9.21,-3.05,5.0,17.01,-789.93,-38.63,0.0,0.0,0.0,0.0,0.0,-78.7638,35.5388,0.00043099999999999996,-19.143,10.335999999999999,-43.913999999999994,-13.199000000000002,-141.847,-3.014,-0.319,0.0,-151.54,138.32,-523.33,100.95,1399.3529999999998,19.2079562473,-3.6439999999999997,3.699,0.5983,-1.274,-510.9,-2335.0,12.87,14.42,-2844.0,-2.272,2.178,0.2402,0.7525,-25.58,-373.7,4.713,-0.312,-404.3,-3649.1736909999995,-3705.937564,1898.93,-913.52,2812.46,0.0439,0.0,0.0,0.0,4.29525,5.368758000000001,-8.821546000000001,-12.915857,-11.8503004387,8.12236,0.004981,53
swarm_101_170.pdb,6,2,4,5,9,4,8,6,8,1,1,2,3,0,1,0.4033333333333333,0.33399999999999996,0.58,0.6275,0.405,0.3533333333333334,0.43624999999999997,0.49500000000000005,0.40374999999999994,0.34,0.0,0.6833333333333332,0.58,0.9,0.615,1.16,2.51,1.62,3.1800000000000006,3.4899999999999998,2.97,3.2299999999999995,0.34,0.0,2.05,0.58,0.9,1.23,32.57,35.5,1742.079999999998,891.0,851.0699999999997,2.449489742783178,2.23606797749979,2.8284271247461903,1.0,2.449489742783178,2.8284271247461903,1.4142135623730951,2.0,3.0,2.0,1.0,1.0,1.4142135623730951,1.7320508075688772,0.0,3.1494,-1.46,4.66,-5.4,-8.2,-144.4,7.0,-127.2,139.08,-0.08,0.035716000000000005,-1.12,36.0,21.0,-5.6,81.538,12.4,24.4,32.4,3.12,15.68,-0.74,-232.4,-0.144707528,11.0,-8.639256,-9.74,-19.667,-40.47,-34.02,-2257.87,-2.0,3.75,29.92,38.62,-877.72,-72.91,0.0,0.0,0.0,0.0,0.0,-37.8328,-11.3354,0.00047000000000000004,-14.887,19.125,-31.884,1.05,-33.975,-7.152,-6.506,0.0,-91.91,239.86,-184.75,100.56,-1749.099,15.9910688496,-2.9730000000000003,2.897,-0.058879999999999995,0.1433,-320.7,-2580.0,7.659,40.93,-2868.0,-2.175,2.4330000000000003,1.599,0.6966,-34.19,-378.8,10.83,2.015,-421.8,-3676.9812520000005,-3728.074696,2397.94,-1030.82,3428.78,0.0113,0.0,0.0,0.0,-1.480723,-5.075342,-5.03635,-16.11127,-11.5238180134,2.8308299999999997,0.0037,60
swarm_101_179.pdb,5,0,3,10,4,2,15,2,13,0,1,1,0,5,7,0.41600000000000004,0.399,0.0,0.54,0.4000000000000001,0.32,0.46333333333333343,0.54,0.47769230769230775,0.40285714285714286,0.41,0.0,0.65,0.0,0.7,0.0,1.08,1.2000000000000002,1.28,6.950000000000001,1.08,6.210000000000001,2.82,2.05,0.0,0.65,0.0,0.7,32.79,34.1,1808.6399999999994,914.9500000000007,893.6999999999989,2.23606797749979,3.1622776601683795,3.872983346207417,2.6457513110645907,1.4142135623730951,3.605551275463989,0.0,1.7320508075688772,2.0,1.4142135623730951,1.0,0.0,1.0,0.0,2.23606797749979,4.6988,-5.072,-0.64,-13.0,-13.2,-144.8,7.84,-145.42,170.96,-6.36,0.15182,-11.4,51.8,28.8,-4.4,110.83200000000001,26.2,41.8,48.4,7.8,21.98,-1.04,-296.0,-0.81617683,30.2,-2.1469400000000003,-4.77,-17.067999999999998,-70.13,-50.06,-3278.74,49.38,13.02,106.87,111.39,-500.4,1125.89,0.0,0.0,0.0,0.0,0.0,-36.7972,1305.48,0.00036,-32.838,22.255,109.333,0.35,-59.716,-9.672,-8.537,0.0,-25.39,377.22,-67.64,157.59,-3707.942,43.54874113020001,-4.105,4.077,0.6436,0.6777,-639.4,-2758.0,14.95,43.99,-3369.0,-3.864,3.7319999999999998,0.4847,1.643,-140.0,-403.3,7.7589999999999995,2.917,-548.1,-3472.722056,-3530.961867,2860.13,-977.3,3837.43,-0.0815,0.0,0.0,0.0,1.2775370000000001,-1.129501,-6.76099,-18.625072,-13.228042788800002,8.63321,0.002294,68
swarm_101_23.pdb,1,3,2,5,12,6,10,2,10,0,2,2,0,1,0,0.53,0.374,0.59,0.5483333333333333,0.475,0.345,0.421,0.56,0.49000000000000005,0.0,0.41,0.0,0.58,0.0,0.74,1.77,3.29,0.95,4.14,4.21,1.12,4.9,0.0,0.41,0.0,1.16,0.0,1.48,31.89,34.55,1481.0999999999985,656.7099999999991,824.3900000000012,1.0,2.23606797749979,3.1622776601683795,0.0,1.4142135623730951,3.1622776601683795,1.7320508075688772,1.4142135623730951,3.4641016151377544,2.449489742783178,1.4142135623730951,0.0,1.4142135623730951,0.0,1.0,2.182,-6.24,1.24,-4.8,-13.0,-151.6,9.64,-122.02,129.06,0.02,0.07285,-1.82,47.0,28.0,-6.8,201.87400000000002,10.4,19.6,30.0,7.52,10.78,11.9,-216.4,0.297883146,17.5,-9.95089,-14.39,-20.934,-48.84,-37.24,-3596.58,5.12,-2.27,-27.24,-2.86,-951.3,-313.14,0.0,0.0,0.0,0.0,0.0,-61.7543,8.272860000000001,0.00045099999999999996,-18.016,19.584,-40.528,-2.485,-1.079,-5.317,-5.297000000000001,0.0,-132.48,250.92,-171.05,52.34,-9942.814,29.596830583200003,-1.9409999999999998,2.103,1.101,-1.383,-114.5,-2491.0,18.15,-27.85,-2651.0,-1.544,1.415,-0.6833,0.4671,48.37,-475.8,3.989,-7.084,-438.5,-3866.804817,-3927.681529,2065.58,-1094.97,3160.55,0.1997,0.0,0.0,0.0,1.818301,-5.136875,-0.290258,-10.120027,-12.844771326300002,2.79712,0.003571,56
swarm_101_27.pdb,8,1,8,10,10,6,13,6,8,0,1,1,0,3,1,0.40624999999999994,0.352,0.53,0.5883333333333334,0.45250000000000007,0.326,0.44923076923076927,0.49333333333333335,0.5875,0.34,0.34,0.0,0.58,0.0,0.53,0.53,3.5300000000000002,3.6200000000000006,3.2600000000000002,5.840000000000001,2.96,4.7,0.34,1.02,0.0,0.58,0.0,0.53,34.14,33.1,1917.0200000000004,805.2800000000007,1111.7399999999998,2.8284271247461903,3.1622776601683795,3.605551275463989,1.0,2.449489742783178,2.8284271247461903,1.0,2.8284271247461903,3.1622776601683795,2.449489742783178,1.0,0.0,1.0,0.0,1.7320508075688772,4.479,-1.32,-0.54,-10.6,-7.4,-214.6,12.68,-176.5,207.48,-4.12,-0.000614,-7.78,63.6,38.6,-8.2,149.094,37.0,48.0,57.0,4.32,30.86,19.84,-330.0,0.679037294,33.7,-10.374603,-11.18,-23.291,-48.64,-39.0,-4474.31,4.04,-5.39,99.33,88.28,-895.63,275.32,0.0,0.0,0.0,0.0,0.0,-61.2902,354.504,0.000361,-24.098000000000003,25.989,14.073,3.298,7.0729999999999995,-11.380999999999998,-11.515,0.0,-118.88,338.84,-245.74,217.22,-3335.989,68.1867621399,-4.442,4.3069999999999995,-0.1392,-0.4512,-466.7,-3549.0,7.511,-21.89,-4045.0,-3.063,3.167,1.1059999999999999,1.391,-31.4,-512.1,12.32,-2.681,-558.5,-4045.8834340000003,-4097.369772999999,2981.06,-1230.41,4211.47,0.2612,0.0,0.0,0.0,-2.312377,-1.417541,-12.319732,-31.667143,-16.439544971300002,9.35924,0.002118,76
swarm_10_13.pdb,0,0,2,3,10,4,7,2,9,1,0,1,1,0,0,0.0,0.41,0.0,0.66,0.43,0.269,0.4642857142857143,0.54,0.5033333333333334,0.0,0.0,0.52,0.0,0.9,0.74,0.0,2.64,0.86,2.69,3.25,1.08,4.53,0.0,0.0,0.52,0.0,0.9,0.74,32.48,35.05,1312.0600000000013,655.0300000000007,657.0200000000004,0.0,1.7320508075688772,2.6457513110645907,0.0,1.4142135623730951,3.0,0.0,1.4142135623730951,3.1622776601683795,2.0,0.0,1.0,1.0,1.0,0.0,0.6804,-0.6759999999999999,2.88,-3.4,-18.4,-121.0,3.0,-116.58,107.64,0.3,-0.047368,0.24,28.4,15.8,-10.6,146.28,6.2,10.6,15.0,-0.58,12.0,3.22,-189.4,-0.0382741342,8.8,-6.588019999999999,-9.31,-18.051,-35.65,-31.19,-2541.55,-19.67,-5.19,-19.1,8.76,-831.85,-260.32,0.0,0.0,0.0,0.0,0.0,-34.2524,1.9845700000000002,0.00041600000000000003,-21.266,7.572,-44.096000000000004,-18.104,-42.321999999999996,-2.9339999999999997,-2.13,0.0,-109.17,89.89,-469.55,8.82,2983.3940000000002,9.959753465139999,-1.758,1.785,0.7633,-0.4766,47.45,-2238.0,8.164,23.91,-2175.0,-2.229,1.883,-1.097,1.528,14.97,-323.4,0.1412,5.768,-302.8,-3511.91811,-3561.260437,1810.18,-884.59,2694.77,-0.0257,0.0,0.0,0.0,-3.8183599999999998,-9.256924,-10.533761,-14.666026,-7.817239705669999,7.083889999999999,0.00625,40
