Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_11.pdb,4,1,11,3,3,1,7,0,4,0,1,1,0,1,0,0.5175,0.37333333333333335,0.64,0.55,0.39,0.41,0.39,0.0,0.53,0.0,0.47,0.0,0.62,0.0,0.94,0.64,0.55,4.29,1.23,2.73,0.0,2.12,0.0,0.47,0.0,0.62,0.0,0.94,18.86,41.23,1108.2499999999982,581.8899999999994,526.3600000000006,2.0,1.7320508075688772,2.6457513110645907,0.0,0.0,2.0,1.0,3.3166247903554,1.7320508075688772,1.0,1.0,0.0,1.0,0.0,1.0,2.2186,-0.8140000000000001,2.72,-1.2,-12.2,-92.2,1.56,-101.5,89.48,0.34,0.010156,-0.82,21.0,14.0,-6.2,13.564,8.2,11.8,15.0,-0.94,-0.42,8.42,-166.6,0.041855038,8.3,-6.26166,-11.15,-17.5605,-26.87,-30.25,-2440.13,-0.74,-6.56,-14.98,0.19,-745.82,-320.36,0.0,0.0,0.0,0.0,0.0,-21.2185,116.866,0.0005769999999999999,-7.934,9.151,-17.639,-0.546,-62.43899999999999,-3.498,-2.312,0.0,-105.93,81.22,-257.95,18.52,635.96,21.1655981895,-3.214,3.333,1.002,-2.804,61.24,-2472.0,7.781000000000001,-27.96,-2446.0,-2.6510000000000002,2.6460000000000004,-0.5552,-1.194,0.5253,-295.9,3.0239999999999996,-7.2010000000000005,-305.6,-3007.84358,-3060.915163,1081.87,-830.96,1912.82,0.0703,0.0,0.0,0.0,-0.263613,-2.337639,-2.868327,-9.036207000000001,-5.35638052556,16.1668,0.004838,37
swarm_0_146.pdb,8,6,7,14,10,4,14,4,11,1,1,2,4,4,3,0.46375,0.3942857142857143,0.49333333333333335,0.5275,0.39999999999999997,0.37100000000000005,0.4757142857142857,0.5,0.5163636363636365,0.5233333333333333,0.51,0.715,0.83,0.9,0.7050000000000001,2.96,2.11,2.8,3.7100000000000004,6.66,2.0,5.680000000000001,1.57,2.04,2.86,0.83,0.9,1.4100000000000001,17.83,42.17,1453.960000000001,636.4200000000001,817.5300000000007,2.8284271247461903,3.7416573867739413,3.7416573867739413,1.7320508075688772,2.0,3.3166247903554,2.449489742783178,2.6457513110645907,3.1622776601683795,2.0,1.0,1.0,1.4142135623730951,2.0,2.0,3.5146,1.186,7.3,-8.2,-34.4,-249.4,5.44,-256.88,238.66,1.26,0.1019,0.48,46.6,30.0,-16.6,165.93,12.0,29.4,35.8,6.42,15.44,16.42,-444.6,1.5436120112,2.0,29.6856,17.1,5.0792,-60.41,-46.5,-4731.32,59.84,-3.85,311.94,217.33,558.98,6309.26,0.0,0.0,0.0,0.0,0.0,275.019,9677.67,0.0005200000000000001,-16.715,3.9130000000000003,527.674,39.966,-185.678,-3.339,0.18899999999999997,0.0,385.99,217.9,-1479.8,441.43,1255.869,-1.35417940468,-1.74,1.76,0.1926,-0.6611,-565.1,-3141.0,10.98,11.78,-3705.0,-1.6019999999999999,1.085,-1.043,1.703,-93.54,-596.9,6.686,-9.171,-706.3,-953.739157,-1067.490147,4763.22,-317.69,5080.91,0.3739,0.0,0.0,0.0,1.5512190000000001,-7.12298,-1.313375,-17.677753,-17.8882705925,29.5465,0.004,93
swarm_0_174.pdb,2,0,2,2,3,2,5,1,4,1,0,1,2,2,2,0.43500000000000005,0.37,0.0,0.575,0.42000000000000004,0.3233333333333333,0.45999999999999996,0.53,0.51,0.53,0.505,0.61,0.0,0.49,0.74,0.0,1.15,0.8400000000000001,0.97,2.3,0.53,2.04,1.06,1.01,1.22,0.0,0.49,0.74,19.15,42.13,824.4899999999998,372.3299999999999,452.1700000000001,1.4142135623730951,1.4142135623730951,2.23606797749979,1.4142135623730951,1.0,2.0,0.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,1.4142135623730951,0.49,0.45799999999999996,-1.5265566588600002e-16,-0.6,-9.8,-60.8,-0.94,-74.78,62.34,0.98,-0.008336,1.6,9.4,6.6,-4.4,20.248,1.8,6.2,5.8,-4.64,0.36,9.1,-122.0,0.350209566,-2.3,-7.716185,-10.38,-13.9333,-19.99,-13.76,-1919.4,-7.65,4.29,-1.92,6.59,-639.34,-214.31,0.0,0.0,0.0,0.0,0.0,-19.2627,-61.79,0.0005650000000000001,-0.381,-0.7559999999999999,-39.284,-5.065,-129.114,-1.713,0.74,0.0,-67.9,39.96,-148.78,24.43,136.778,6.97371298634,-1.219,1.2009999999999998,0.5191,1.0979999999999999,-53.02,-1632.0,4.1160000000000005,-10.96,-1700.0,-0.204,-0.008953000000000001,-0.3735,1.021,12.71,-186.3,2.989,-3.325,-179.9,-2647.509814,-2682.235009,550.03,-672.0,1222.03,0.0198,0.0,0.0,0.0,-2.793736,-5.077056,-2.780116,-5.263195,-6.88302434751,3.5405,0.007241,29
swarm_0_35.pdb,4,0,11,2,9,0,7,3,3,0,0,2,0,6,0,0.5149999999999999,0.34,0.0,0.0,0.4390909090909091,0.34444444444444444,0.4714285714285714,0.51,0.7566666666666667,0.0,0.4683333333333333,0.0,0.0,0.0,0.8,0.0,0.0,4.83,3.1,3.3,1.53,2.27,0.0,2.81,0.0,0.0,0.0,1.6,18.5,40.97,1293.9599999999991,607.9200000000001,686.04,2.0,1.4142135623730951,2.6457513110645907,0.0,1.7320508075688772,1.7320508075688772,0.0,3.3166247903554,3.0,0.0,0.0,0.0,1.4142135623730951,0.0,2.449489742783178,4.1938,4.626,8.3,4.4,-6.8,-116.2,5.76,-121.66,118.52,4.28,-0.009742,6.36,30.2,24.6,1.0,18.612000000000002,13.2,18.6,22.2,1.28,7.3,13.98,-209.6,0.824643976,4.3,-7.8947080000000005,-11.2,-16.9745,-29.74,-28.12,-2114.53,23.99,5.48,13.72,3.42,-803.71,-384.51,0.0,0.0,0.0,0.0,0.0,-60.2067,-52.1341,0.000463,-11.151,16.509,-50.163000000000004,0.341,-148.924,-3.508,-0.6779999999999999,0.0,-123.6,61.69,-244.31,17.99,674.4960000000001,5.28427583445,-2.427,2.521,0.7214,-2.258,-46.54,-2477.0,7.858,-14.01,-2545.0,-1.6369999999999998,1.591,-0.2992,-0.3312,53.35,-411.2,5.149,-6.805,-369.8,-3005.563787,-3052.183681,1374.0,-782.44,2156.44,0.048,0.0,0.0,0.0,2.984276,1.7797040000000002,-4.055999,-10.110615,-8.871629195119999,4.40311,0.0057020000000000005,47
swarm_100_103.pdb,1,0,5,6,12,6,5,0,5,0,8,0,0,9,1,0.32,0.41333333333333333,0.0,0.5783333333333334,0.43600000000000005,0.3558333333333333,0.42400000000000004,0.0,0.454,0.44,0.4444444444444444,0.0,0.5624999999999999,0.0,0.0,0.0,3.47,2.18,4.27,2.12,0.0,2.27,0.44,4.0,0.0,4.499999999999999,0.0,0.0,18.58,41.15,1398.4300000000003,501.1099999999997,897.3199999999997,1.0,2.449489742783178,2.23606797749979,1.0,0.0,2.23606797749979,0.0,2.23606797749979,3.4641016151377544,2.449489742783178,2.8284271247461903,0.0,0.0,0.0,3.0,3.4684,-1.1440000000000001,0.16,-2.0,-15.4,-191.8,4.24,-198.02,183.16,1.12,0.018756000000000002,1.0,32.6,24.0,-8.0,74.84,21.0,28.2,28.4,-3.72,11.24,-4.96,-328.0,-0.940924054,6.6,-6.459813,-13.08,-21.4129,-42.02,-34.9,-3455.1,39.88,-16.44,71.84,57.19,-1023.71,89.56,0.0,0.0,0.0,0.0,0.0,-31.6135,635.616,0.0005,4.931,5.232,39.544000000000004,14.118,-44.434,-8.615,-7.771,0.0,4.92,60.61,-396.72,127.01,-1395.8670000000002,13.376146991199999,-2.2319999999999998,2.115,0.8725,1.425,-196.3,-2853.0,9.589,0.9059999999999999,-3058.0,-1.54,1.18,-0.1512,2.314,1.248,-396.6,7.132999999999999,-2.016,-404.5,-3570.9050780000002,-3618.1699320000002,1697.8,-1076.63,2774.43,-0.1539,0.0,0.0,0.0,-0.223771,-1.258683,2.377223,-11.166350999999999,-15.004392449200001,10.692,0.009948,58
swarm_100_13.pdb,1,0,15,3,4,1,4,2,3,0,20,4,1,3,0,0.44,0.3333333333333333,0.0,0.57,0.37266666666666665,0.3825,0.47500000000000003,0.545,0.53,0.0,0.47333333333333333,0.83,0.569,0.0,0.71,0.0,0.57,5.59,1.53,1.9000000000000001,1.09,1.59,0.0,1.42,0.83,11.379999999999999,0.0,2.84,20.09,39.74,1291.380000000001,432.3199999999997,859.0499999999993,1.0,1.7320508075688772,2.0,0.0,1.4142135623730951,1.7320508075688772,0.0,3.872983346207417,2.0,1.0,4.47213595499958,0.0,2.0,1.0,1.7320508075688772,-3.2042,-7.558,-9.06,-1.0,-24.6,-244.8,-10.84,-279.78,179.56,-0.2,0.07132999999999999,-2.58,6.2,10.8,-22.6,-2.872,1.2,5.8,-0.6,-23.84,-12.28,-5.86,-375.4,-1.5035089968000002,-21.6,-4.160186,-14.89,-21.5514,-77.23,-73.46,-4887.33,20.01,-14.73,54.8,43.13,-544.99,1182.94,0.0,0.0,0.0,0.0,0.0,46.2826,3271.12,0.0007099999999999999,-0.106,-0.836,176.253,16.683,-148.143,0.433,3.248,0.0,8.78,-102.95,-719.25,226.22,-217.023,5.7241890193,-3.458,3.378,0.003397,0.6566,-270.2,-2884.0,6.906000000000001,-72.99,-3234.0,-2.2640000000000002,2.494,0.2151,-1.13,21.54,-485.5,9.405,-20.23,-493.6,-3551.6862119999996,-3601.2421740000004,943.29,-1233.37,2176.66,-0.2044,0.0,0.0,0.0,-0.673882,-7.285628,8.156002,-13.189447,-17.1539624101,15.7475,0.011016,61
swarm_100_150.pdb,4,0,6,4,7,1,4,3,3,0,3,6,1,2,2,0.445,0.3575,0.0,0.77,0.37000000000000005,0.3442857142857143,0.4,0.49,0.44333333333333336,0.39,0.515,0.83,0.49333333333333335,0.0,0.7483333333333334,0.0,0.77,2.22,2.41,1.6,1.47,1.33,0.78,1.03,0.83,1.48,0.0,4.49,19.82,40.97,1125.5,404.4400000000005,721.0699999999997,2.0,2.0,2.0,1.4142135623730951,1.7320508075688772,1.7320508075688772,0.0,2.449489742783178,2.6457513110645907,1.0,1.7320508075688772,0.0,2.449489742783178,1.0,1.4142135623730951,1.7346,1.126,2.58,2.8,-10.2,-123.2,0.24,-144.9,117.38,3.16,0.040836000000000004,5.24,14.8,15.0,-3.4,2.496,6.6,13.0,11.8,-2.34,0.44,5.1,-225.2,1.222232376,-3.3,-7.3476919999999994,-11.68,-17.8583,-39.89,-37.25,-2702.44,-21.57,-6.04,-22.45,0.12,-834.79,-379.87,0.0,0.0,0.0,0.0,0.0,-36.429,36.9454,0.000536,2.8810000000000002,3.525,-13.960999999999999,5.0089999999999995,-161.358,-4.538,-1.473,0.0,-22.17,5.69,-301.24,58.18,834.3539999999999,-2.66152760759,-2.263,2.18,-0.3578,0.1948,-66.69,-2194.0,0.6371,-3.2739999999999996,-2265.0,-1.042,0.9854,-0.7504,-0.7093,24.76,-348.7,3.5210000000000004,-7.438,-334.9,-3162.975125,-3209.171648,1393.06,-853.89,2246.94,-0.0298,0.0,0.0,0.0,-1.327064,-3.126496,-1.731091,-12.52547,-14.3692988479,9.58867,0.008196,46
swarm_100_153.pdb,2,1,7,2,7,0,6,0,6,0,2,6,0,6,1,0.51,0.49,0.63,0.0,0.3557142857142857,0.3371428571428571,0.4366666666666667,0.0,0.38833333333333336,0.44,0.36166666666666664,0.0,0.52,0.0,0.68,0.63,0.0,2.4899999999999998,2.3599999999999994,2.62,0.0,2.33,0.44,2.17,0.0,1.04,0.0,4.08,19.2,41.07,1184.449999999999,477.5099999999993,706.9399999999996,1.4142135623730951,1.4142135623730951,2.449489742783178,1.0,0.0,2.449489742783178,1.0,2.6457513110645907,2.6457513110645907,0.0,1.4142135623730951,0.0,2.449489742783178,0.0,2.449489742783178,2.6156,-1.6680000000000001,3.7,-1.2,-5.8,-116.2,4.66,-111.04,104.48,2.26,0.02327,1.72,20.0,14.8,-6.4,22.642,10.8,15.6,18.0,-3.04,5.2,4.24,-184.6,0.16947403519999998,-1.0,-7.166186,-12.85,-21.2518,-37.47,-22.61,-2798.5,21.74,4.28,-21.89,5.24,-981.84,-489.38,0.0,0.0,0.0,0.0,0.0,-51.919,-30.3142,0.000496,-2.596,8.612,-25.793000000000003,3.437,-117.8,-3.843,-1.604,0.0,-78.47,17.48,-300.57,38.09,-2182.459,21.9068771953,-4.074,4.103,1.7630000000000001,-0.05047,-58.03,-2726.0,13.41,-20.75,-2818.0,-2.065,2.247,0.46399999999999997,-0.9256,59.71,-393.7,7.397,-8.014,-349.4,-3445.837847,-3497.129985,1914.68,-999.3,2913.97,-0.0133,0.0,0.0,0.0,2.8914419999999996,0.74347,1.792073,-11.693978999999999,-15.028962041700002,10.6592,0.009543000000000001,46
swarm_100_189.pdb,1,0,3,1,2,3,2,0,5,0,8,1,0,2,1,0.44,0.44,0.0,0.5866666666666666,0.3566666666666667,0.31,0.54,0.0,0.53,0.34,0.475,0.0,0.515,0.0,0.7,0.0,1.7599999999999998,1.07,0.62,1.08,0.0,2.65,0.34,0.95,0.0,4.12,0.0,0.7,19.31,41.2,896.6999999999989,407.09000000000015,489.59999999999854,1.0,1.0,1.4142135623730951,1.0,0.0,2.23606797749979,0.0,1.7320508075688772,1.4142135623730951,1.7320508075688772,2.8284271247461903,0.0,1.0,0.0,1.4142135623730951,0.3396,-3.784,-3.28,-2.6,-7.2,-99.4,-0.84,-100.96,76.76,-0.88,-0.011524,-2.68,11.2,8.6,-7.0,34.1,5.0,7.0,6.6,-6.0,-3.1,-3.26,-149.8,-0.6137346379999999,1.2,-5.383234,-8.71,-14.5601,-22.76,-20.12,-1978.28,-0.18,-4.61,-8.05,1.33,-576.02,-91.24,0.0,0.0,0.0,0.0,0.0,-31.7393,73.3097,0.0009550000000000001,-4.12,14.88,6.777,11.437999999999999,-72.243,-0.863,0.51,0.0,-32.24,43.54,-98.13,59.23,1942.7089999999998,4.04247773625,-3.678,3.592,0.4639,0.4567,-28.81,-1730.0,5.431,-16.96,-1781.0,-2.5980000000000003,2.5789999999999997,0.1844,0.7972,12.87,-267.7,5.212999999999999,-3.16,-263.2,-2760.04317,-2787.394156,956.08,-727.45,1683.53,-0.0955,0.0,0.0,0.0,-0.7353569999999999,-1.773175,0.047108,-8.630212,-9.99761596362,4.00475,0.012483,29
swarm_100_191.pdb,7,3,4,1,5,4,6,3,4,1,1,1,1,2,1,0.4614285714285714,0.52,0.41,0.65,0.355,0.42000000000000004,0.4616666666666666,0.4566666666666666,0.6275,0.51,0.43999999999999995,0.52,0.46,0.49,0.57,1.23,2.6,1.42,2.1,2.7699999999999996,1.3699999999999999,2.51,0.51,0.8799999999999999,0.52,0.46,0.49,0.57,19.83,41.81,1134.8599999999988,495.9400000000005,638.920000000001,2.6457513110645907,1.0,2.449489742783178,1.0,1.7320508075688772,2.0,1.7320508075688772,2.0,2.23606797749979,2.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.0398,3.534,1.6,-2.0,-19.0,-125.6,-0.28,-131.6,119.18,0.84,0.01166,2.6,9.0,2.0,-16.8,42.3,4.8,9.0,11.4,3.64,-5.42,-8.08,-217.6,0.4005940576,-6.2,-8.600947,-14.79,-18.7579,-30.69,-24.88,-2829.1,-21.29,-14.33,-15.04,-2.14,-891.59,-530.65,0.0,0.0,0.0,0.0,0.0,-21.4626,-77.5246,0.000475,0.6890000000000001,1.9469999999999998,-34.876999999999995,-0.852,-131.445,-1.642,0.856,0.0,-64.78,52.07,-50.73,-112.65,-1180.854,3.48425141606,-2.3569999999999998,2.2769999999999997,0.1672,1.064,-163.8,-2153.0,3.3760000000000003,-5.446000000000001,-2326.0,-1.99,1.3119999999999998,-0.2669,3.2230000000000003,-25.72,-283.4,5.377000000000001,-2.0,-316.5,-3204.3189399999997,-3241.770271,-87.98,-915.84,827.86,-0.1474,0.0,0.0,0.0,-2.561186,-6.2855360000000005,-5.095001,-9.413775,-13.4201601337,3.7289,0.008,44
