Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_143.pdb,0,1,2,2,9,5,6,0,5,0,0,1,0,1,0,0.0,0.545,0.58,0.632,0.37,0.38999999999999996,0.4616666666666667,0.0,0.55,0.0,0.54,0.0,0.0,0.0,0.67,0.58,3.16,0.74,3.51,2.7700000000000005,0.0,2.75,0.0,0.54,0.0,0.0,0.0,0.67,21.33,44.0,1051.9700000000012,451.14999999999964,600.8299999999999,0.0,1.4142135623730951,2.449489742783178,0.0,0.0,2.23606797749979,1.0,1.4142135623730951,3.0,2.23606797749979,0.0,0.0,1.0,0.0,1.0,0.4894,3.748,3.02,2.0,-4.4,-55.4,2.82,-49.48,50.36,2.02,0.01856,3.58,9.8,5.0,-4.4,60.03,2.8,4.8,7.8,-0.28,1.28,3.92,-83.8,0.2830196652,-2.5,-6.677224000000001,-11.43,-16.328,-24.9,-19.93,-2695.29,-2.0,1.68,-16.58,-5.76,-725.3,-422.9,0.0,0.0,0.0,0.0,0.0,-23.3973,-40.0024,0.0005,-1.66,3.94,-38.044000000000004,-1.524,-74.23899999999999,-0.992,0.419,0.0,-85.28,24.26,-149.35,-141.6,446.457,12.7611549096,-1.706,1.7109999999999999,0.5861,0.5388,103.2,-1887.0,4.603,-41.92,-1831.0,-0.846,0.4654,-1.11,1.7830000000000001,36.76,-304.5,1.079,-5.181,-274.0,-3133.094127,-3171.774449,1647.24,-891.49,2538.73,0.0334,0.0,0.0,0.0,3.119613,1.5208,-3.7213019999999997,-7.655494,-9.880397777979999,-3.75754,0.005469,32
swarm_0_14.pdb,1,1,1,4,5,4,7,0,7,0,0,1,2,0,0,0.46,0.375,0.35,0.5825,0.35,0.39,0.4628571428571428,0.0,0.4257142857142857,0.0,0.0,0.675,0.0,0.0,0.74,0.35,2.33,0.35,1.9500000000000002,3.2399999999999998,0.0,2.98,0.0,0.0,1.35,0.0,0.0,0.74,20.96,44.54,1132.5100000000002,645.8800000000001,486.619999999999,1.0,2.0,2.6457513110645907,0.0,0.0,2.6457513110645907,1.0,1.0,2.23606797749979,2.0,0.0,0.0,1.0,1.4142135623730951,0.0,1.2474,4.342,3.78,-1.6,-7.4,-82.0,6.52,-70.26,80.52,1.64,0.031394,1.12,27.2,14.0,-6.0,116.83,5.8,11.2,16.6,1.84,8.1,6.78,-135.8,0.695687976,3.2,-7.321563,-9.06,-15.599,-27.71,-20.12,-1560.08,4.23,0.22,-3.29,6.49,-754.11,-394.79,0.0,0.0,0.0,0.0,0.0,-12.0069,-37.3988,0.000596,2.7760000000000002,19.061,-31.525,18.684,-54.078,-2.3890000000000002,-1.361,0.0,-76.93,95.54,-21.81,-127.91,879.182,14.302748818,-2.2119999999999997,2.242,0.4692,-0.3835,168.1,-1903.0,3.5380000000000003,-35.04,-1773.0,-1.882,1.479,0.1038,3.35,42.78,-340.6,5.081,-0.9019,-303.8,-3057.200496,-3086.694158,1947.7,-858.77,2806.47,-0.0558,0.0,0.0,0.0,-0.821308,-0.226556,-2.764767,-1.296214,-9.48441670394,-4.30017,0.0055450000000000004,33
swarm_0_191.pdb,3,1,3,2,6,3,4,3,9,0,0,0,0,2,0,0.4466666666666667,0.255,0.58,0.6233333333333333,0.36000000000000004,0.3383333333333333,0.42000000000000004,0.47,0.44555555555555565,0.0,0.44499999999999995,0.0,0.0,0.0,0.0,0.58,1.8699999999999999,1.08,2.03,1.6800000000000002,1.41,4.010000000000001,0.0,0.8899999999999999,0.0,0.0,0.0,0.0,20.96,44.54,1072.9299999999985,492.34999999999945,580.5900000000001,1.7320508075688772,1.4142135623730951,2.0,0.0,1.7320508075688772,3.0,1.0,1.7320508075688772,2.449489742783178,1.7320508075688772,0.0,0.0,0.0,0.0,1.4142135623730951,-0.4166,1.516,-2.88,-5.8,-15.4,-102.6,2.58,-95.16,85.46,-1.62,-0.021708,-3.28,25.2,12.2,-12.2,112.09200000000001,3.4,7.6,12.0,2.08,8.36,-0.2,-160.4,-0.8482577840000001,7.2,-7.3303210000000005,-10.25,-16.671,-42.49,-29.79,-2443.48,0.47,-5.02,-8.49,8.72,-663.82,-383.96,0.0,0.0,0.0,0.0,0.0,-37.041,-41.9997,0.000608,-3.2569999999999997,12.350999999999999,-40.577,5.0360000000000005,-132.27700000000002,-3.096,-0.583,0.0,-97.79,52.02,-133.58,-71.9,1655.7979999999998,34.6144869701,-2.93,3.089,1.3,-1.6680000000000001,184.1,-1968.0,7.644,-31.46,-1823.0,-1.455,1.1159999999999999,-0.2895,2.648,37.55,-309.4,3.466,-2.687,-278.0,-3171.842923,-3211.57366,1546.3,-913.3,2459.6,-0.08,0.0,0.0,0.0,-3.167143,-3.8869769999999995,-4.444939,-9.783885,-10.9648563028,-4.5573,0.008,36
swarm_100_185.pdb,0,1,7,7,8,1,4,0,8,0,5,0,1,4,0,0.0,0.3385714285714286,0.35,0.46,0.4414285714285714,0.31625000000000003,0.42000000000000004,0.0,0.51,0.0,0.4975,0.83,0.736,0.0,0.0,0.35,0.46,3.09,2.5300000000000002,1.6800000000000002,0.0,4.08,0.0,1.99,0.83,3.6799999999999997,0.0,0.0,21.33,43.56,1526.050000000001,581.6099999999997,944.4500000000007,0.0,2.6457513110645907,2.0,0.0,0.0,2.8284271247461903,1.0,2.6457513110645907,2.8284271247461903,1.0,2.23606797749979,0.0,0.0,1.0,2.0,-1.4852,-1.496,-1.84,-4.4,-22.6,-157.4,0.86,-162.74,130.28,-0.22,0.046932,-0.5,33.8,19.6,-13.6,91.882,2.2,7.8,11.6,-4.72,0.96,0.7,-259.8,-0.5409165222,0.3,-8.721708,-15.8,-21.396,-47.62,-41.79,-2547.7,-19.23,-9.56,-47.86,-29.56,-951.03,-396.64,0.0,0.0,0.0,0.0,0.0,-39.3753,44.9687,0.000417,-4.306,4.824,-43.963,-3.878,-133.056,-2.924,-0.396,0.0,-107.51,42.2,-253.35,18.32,629.161,29.2918699738,-2.786,3.0260000000000002,2.93,-1.5630000000000002,349.8,-2990.0,22.01,-4.742,-2667.0,-1.5659999999999998,1.5619999999999998,0.4403,1.072,93.87,-448.3,5.97,1.11e-16,-360.4,-3710.25,-3759.276064,996.61,-1160.7,2157.3,0.0049,0.0,0.0,0.0,-14.160548,-15.790014000000001,-5.795148,-11.714637,-14.79680759,-3.38195,0.005152,46
swarm_100_50.pdb,1,0,13,5,3,1,3,2,1,0,4,1,1,4,0,0.32,0.3,0.0,0.55,0.43076923076923074,0.43,0.45333333333333337,0.49,0.26,0.0,0.46,0.6,0.7124999999999999,0.0,0.67,0.0,0.55,5.6,1.29,1.36,0.98,0.26,0.0,1.84,0.6,2.8499999999999996,0.0,0.67,22.08,44.16,1336.5400000000009,471.33999999999924,865.2099999999991,1.0,2.23606797749979,1.7320508075688772,0.0,1.4142135623730951,1.0,0.0,3.605551275463989,1.7320508075688772,1.0,2.0,0.0,1.0,1.0,2.0,-2.1430000000000002,0.946,-1.68,2.8,-9.4,-99.8,-5.8,-132.18,85.1,0.94,-0.034319999999999996,0.94,3.4,5.4,-10.2,-12.728,1.4,4.4,2.4,-8.0,-3.5,1.72,-183.6,0.105542712,-9.3,-6.17775,-13.0,-17.688,-26.75,-22.6,-2866.25,5.71,-8.43,-15.64,-13.83,-615.25,-256.71,0.0,0.0,0.0,0.0,0.0,-4.93942,590.469,0.000392,-3.44,2.825,-13.978,-2.013,-88.84700000000001,-3.09,-1.402,0.0,-41.9,-84.52,-311.02,27.43,-2599.7129999999997,14.728316290799999,-2.648,2.4619999999999997,-1.168,0.2519,249.1,-2522.0,-6.972,8.873,-2257.0,-0.4552,0.5710000000000001,0.5094,-0.1843,62.95,-299.9,3.542,0.991,-239.5,-3335.0677140000003,-3377.0619490000004,867.54,-974.49,1842.02,-0.0459,0.0,0.0,0.0,-1.902983,-4.597748999999999,-0.298767,-9.162742999999999,-17.2840977874,-4.59281,0.006436,39
swarm_10_100.pdb,1,0,2,2,2,4,0,0,2,0,3,4,2,6,4,0.44,0.44500000000000006,0.0,0.575,0.365,0.23500000000000001,0.0,0.0,0.24,0.445,0.4183333333333333,0.83,0.7633333333333333,0.0,0.5825,0.0,2.3,0.73,0.47000000000000003,0.0,0.0,0.48,1.78,2.51,1.66,2.29,0.0,2.33,21.93,43.86,1115.0999999999985,353.52000000000044,761.590000000002,1.0,1.4142135623730951,0.0,2.0,0.0,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,2.0,1.7320508075688772,0.0,2.0,1.4142135623730951,2.449489742783178,0.9606,1.426,-1.26,-0.2,-11.8,-94.8,-0.76,-103.68,82.74,1.4,0.025544,3.34,10.4,9.2,0.2,53.861999999999995,1.0,5.2,3.2,0.66,-4.58,-2.92,-158.8,0.82588812,-16.5,-8.476402,-13.4,-18.886,-32.45,-20.18,-3032.71,-6.85,-3.84,-44.1,-22.94,-692.01,-377.3,0.0,0.0,0.0,0.0,0.0,-38.2932,-57.4983,0.000717,0.5329999999999999,-9.296,-38.025,-12.565999999999999,-264.072,1.101,6.117999999999999,0.0,-117.11,-62.06,-392.65,5.24,-248.655,4.32120100316,-3.403,3.3560000000000003,0.862,0.1763,-116.8,-1925.0,4.529,-3.1630000000000003,-2049.0,-2.187,1.879,-0.855,0.9390000000000001,11.72,-244.3,0.812,-3.411,-236.8,-3419.1024939999998,-3466.339911,1074.78,-1016.39,2091.18,0.0566,0.0,0.0,0.0,0.414443,2.409205,1.5476860000000001,-3.8125269999999998,-14.2653655242,-4.72835,0.006281,32
swarm_101_199.pdb,2,5,0,3,4,4,2,0,3,1,2,3,5,1,1,0.44,0.5066666666666667,0.422,0.5975,0.0,0.3525,0.53,0.0,0.75,0.48,0.41,0.7779999999999999,0.58,0.49,0.7399999999999999,2.11,2.39,0.0,1.41,1.06,0.0,2.25,0.48,0.41,3.8899999999999997,1.16,0.49,2.2199999999999998,20.54,44.64,1394.2199999999975,601.2299999999987,792.9899999999998,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.0,0.0,1.7320508075688772,2.23606797749979,0.0,2.0,2.0,1.4142135623730951,1.0,1.7320508075688772,2.23606797749979,1.0,-2.8082,-2.294,-6.18,-5.0,-22.4,-120.8,-4.94,-128.3,87.92,-1.0,-0.041668000000000004,-0.88,-3.2,-5.6,-17.0,18.778,-6.2,-3.0,-2.6,-5.74,-12.26,-3.08,-178.0,0.58942956,-12.1,-9.105537,-14.84,-21.557,-38.96,-25.38,-4187.68,-31.69,-13.62,-75.87,-43.84,-808.97,-467.07,0.0,0.0,0.0,0.0,0.0,-63.1928,-126.744,0.00041600000000000003,-6.731,4.234,-25.555,-5.052,-284.297,2.465,7.867000000000001,0.0,-131.97,-36.46,-303.77,-117.69,-306.72,10.7374489043,-2.479,2.411,-0.3809,0.2109,-6.69,-1988.0,-1.5959999999999999,-12.81,-2006.0,-1.618,0.9347,-2.052,1.9280000000000002,30.92,-400.4,-2.176,-3.497,-370.8,-3663.937757,-3705.8132579999997,1188.45,-1176.1,2364.55,-0.1118,0.0,0.0,0.0,-4.948034,-10.332068,-5.834121,-11.770548,-17.7824081168,-4.455,0.006389,36
swarm_10_124.pdb,3,0,1,2,9,2,4,1,1,0,9,3,3,7,1,0.48333333333333334,0.38,0.0,0.59,0.54,0.2677777777777777,0.525,0.44,0.24,0.34,0.41000000000000003,0.83,0.6966666666666668,0.0,0.7000000000000001,0.0,1.18,0.54,2.4099999999999997,2.1,0.44,0.24,0.34,2.87,2.4899999999999998,6.2700000000000005,0.0,2.1,21.59,43.61,1636.050000000001,592.3599999999997,1043.6900000000005,1.7320508075688772,1.4142135623730951,2.0,1.0,1.0,1.0,0.0,1.0,3.0,1.4142135623730951,3.0,0.0,1.7320508075688772,1.7320508075688772,2.6457513110645907,-0.8072,3.3960000000000004,-2.14,-5.6,-13.0,-147.2,-1.3,-153.9,119.96,-0.24,0.011038,-1.46,15.0,13.2,-8.6,36.102,3.0,11.2,10.8,-7.48,7.46,5.02,-225.2,-0.7822915579999999,-7.4,-7.946936999999999,-14.59,-20.023,-53.88,-51.15,-3747.61,-15.47,-0.94,-1.93,31.02,-771.89,-137.83,0.0,0.0,0.0,0.0,0.0,-69.5521,168.49200000000002,0.00032,-9.691,-0.368,-3.4339999999999997,-10.402000000000001,-271.414,0.166,5.3229999999999995,0.0,-19.22,-53.08,-506.73,32.45,177.828,15.2863497684,-2.301,2.209,-0.01619,0.1548,22.86,-2614.0,0.4635,35.91,-2556.0,-1.3969999999999998,1.5590000000000002,1.127,0.4585,48.13,-393.7,6.739,2.006,-350.3,-3598.437699,-3657.4354799999996,953.9,-1100.41,2054.31,-0.0245,0.0,0.0,0.0,-1.7683790000000001,-0.575745,-0.847924,-6.928153999999999,-18.803083405,-4.40568,0.005696,46
swarm_10_132.pdb,4,2,7,7,14,2,10,6,6,0,5,0,0,6,1,0.435,0.37714285714285717,0.49,0.49,0.49857142857142855,0.275,0.453,0.48333333333333334,0.685,0.55,0.4016666666666666,0.0,0.55,0.0,0.0,0.98,0.98,3.4899999999999998,3.8500000000000005,4.53,2.9,4.11,0.55,2.4099999999999997,0.0,2.75,0.0,0.0,20.74,43.32,2121.600000000002,962.4300000000003,1159.1800000000003,2.0,2.6457513110645907,3.1622776601683795,1.0,2.449489742783178,2.449489742783178,1.4142135623730951,2.6457513110645907,3.7416573867739413,1.4142135623730951,2.23606797749979,0.0,0.0,0.0,2.449489742783178,3.5039999999999996,1.94,5.1,-1.2,-11.0,-193.8,4.76,-183.64,167.62,2.34,0.00202,4.1,31.0,22.0,-10.4,82.838,15.6,23.6,26.0,1.06,12.64,7.46,-285.2,0.9801135212000001,12.9,-7.847597,-14.43,-27.041,-39.98,-37.67,-4624.98,-5.04,17.96,46.02,24.98,-1000.93,40.49,0.0,0.0,0.0,0.0,0.0,-63.8503,480.35,0.000254,-15.022,21.671999999999997,-24.631999999999998,4.187,-222.247,-9.002,-4.78,0.0,-89.23,152.12,-647.46,219.47,944.75,58.1612007764,-3.568,3.637,1.048,-1.1340000000000001,172.1,-3844.0,12.05,5.454,-3678.0,-2.585,2.577,0.2257,0.2709,120.2,-641.3,7.335,-0.546,-529.0,-4317.381606,-4381.541533,2874.12,-1429.21,4303.33,0.0405,0.0,0.0,0.0,-0.282646,-4.059876,3.347312,-13.784044,-18.9425384992,3.35589,0.005371,70
swarm_10_198.pdb,11,3,11,1,5,1,5,3,1,0,6,2,3,5,1,0.42363636363636376,0.44,0.4266666666666666,0.62,0.4,0.304,0.354,0.48666666666666664,0.24,0.34,0.354,0.7366666666666667,0.67,0.0,0.55,1.2799999999999998,0.62,4.4,1.52,1.77,1.46,0.24,0.34,1.7699999999999998,2.21,4.0200000000000005,0.0,1.1,22.32,44.2,1651.9700000000012,685.6800000000003,966.2900000000009,3.3166247903554,1.0,2.23606797749979,1.0,1.7320508075688772,1.0,1.7320508075688772,3.3166247903554,2.23606797749979,1.0,2.449489742783178,0.0,1.4142135623730951,1.7320508075688772,2.23606797749979,4.4928,4.6,5.54,-3.4,-4.4,-157.0,4.74,-147.18,145.36,0.84,-0.00954,0.5,31.0,22.6,-3.0,7.3420000000000005,19.6,27.0,27.0,5.68,7.66,14.28,-243.6,1.559199328,-1.3,-9.252096,-18.04,-26.584,-26.45,-28.5,-3059.42,-17.9,-11.67,-14.48,-1.82,-920.47,-332.42,0.0,0.0,0.0,0.0,0.0,-48.246,231.338,0.000465,-2.276,3.778,-33.959,-1.893,-272.593,-3.363,1.8159999999999998,0.0,-63.81,36.07,-547.88,116.48,355.968,18.799005179,-2.74,2.613,-0.27,0.4831,165.4,-3533.0,-0.3007,-10.53,-3377.0,-1.109,1.3980000000000001,1.575,0.2084,92.45,-495.0,9.857999999999999,-6.189,-418.6,-4202.3861719999995,-4271.483015,2399.79,-1387.86,3787.64,0.0515,0.0,0.0,0.0,-4.18564,-6.4765760000000006,-0.9387700000000001,-14.976315,-18.0125156708,10.1639,0.005638000000000001,58
