Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_129.pdb,2,0,1,1,4,2,3,0,4,0,0,0,0,3,0,0.32,0.44,0.0,0.77,0.35,0.46749999999999997,0.41333333333333333,0.0,0.76,0.0,0.49333333333333335,0.0,0.0,0.0,0.0,0.0,1.54,0.35,1.8699999999999999,1.24,0.0,3.04,0.0,1.48,0.0,0.0,0.0,0.0,32.92,29.63,701.2700000000004,285.8600000000006,415.4300000000003,1.4142135623730951,1.0,1.7320508075688772,0.0,0.0,2.0,0.0,1.0,2.0,1.4142135623730951,0.0,0.0,0.0,0.0,1.7320508075688772,1.2686,0.552,0.72,1.4,-4.4,-40.2,-0.26,-56.98,42.44,1.28,0.015175999999999999,0.42,4.2,4.0,-2.4,18.7,3.0,4.0,4.4,-1.52,1.76,1.1,-85.2,0.41389159200000003,-5.0,-6.7053270000000005,-10.09,-11.842,-19.99,-19.24,-1446.58,-0.62,-10.83,-17.74,-8.41,-366.06,-206.51,0.0,0.0,0.0,0.0,0.0,-50.8314,-95.2142,0.000675,-22.175,2.608,-24.205,-21.988000000000003,26.901999999999997,0.075,-0.436,0.0,-40.95,-43.93,-52.03,-60.1,641.5269999999999,3.57951185759,-1.7069999999999999,1.73,1.224,0.0015119999999999999,128.0,-1244.0,8.065,7.229,-1117.0,-1.594,1.6219999999999999,-0.3374,-0.446,27.25,-178.3,1.589,1.537,-151.1,-2505.801359,-2522.17305,-220.42,-622.38,401.98,-0.1343,0.0,0.0,0.0,3.210202,1.625217,-3.2693060000000003,-4.826754,-8.93886132413,2.8098099999999997,0.0099,20
swarm_0_166.pdb,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.41,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.93,30.08,111.85000000000218,54.669999999998254,57.17999999999847,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,0.0934,-0.34,0.0,-0.2,0.0,-5.6,0.66,-2.62,4.5,-0.04,-0.01179,-0.18,2.4,1.6,-0.4,3.572,0.8,1.0,1.6,0.18,-0.32,0.76,-6.6,0.016300363999999998,0.8,-4.626313,0.78,-1.2670000000000001,-2.18,-1.83,-135.54,1.45,-1.69,2.97,2.59,-34.12,25.76,0.0,0.0,0.0,0.0,0.0,-3.3378300000000003,-10.9814,0.0005339165829145729,-6.9879999999999995,5.707000000000001,-4.17,-1.6980000000000002,8.488,-0.162,-0.32299999999999995,0.0,0.32,21.3,26.92,4.27,485.217,5.8744731321899994,-2.27,2.316,1.6119999999999999,-0.6811,18.31,-131.2,1.048,1.339,-112.6,-1.462,1.788,1.495,0.5125,-4.2780000000000005,-27.3,2.102,0.68,-33.0,-1426.7094630000001,-1426.26089,497.74,-94.6,592.34,0.0146,0.0,0.0,0.0,-2.315773,-2.581477,-0.044763,-1.1773799999999999,-1.35255518304,2.68169,0.003333,3
swarm_0_174.pdb,4,1,4,3,3,1,6,3,4,0,0,0,0,2,0,0.4625,0.24666666666666662,0.63,0.53,0.4075,0.4033333333333333,0.4483333333333334,0.52,0.6425000000000001,0.0,0.48,0.0,0.0,0.0,0.0,0.63,0.53,1.63,1.21,2.6900000000000004,1.56,2.5700000000000003,0.0,0.96,0.0,0.0,0.0,0.0,33.2,29.1,1246.75,602.3600000000006,644.3899999999994,2.0,1.7320508075688772,2.449489742783178,0.0,1.7320508075688772,2.0,1.0,2.0,1.7320508075688772,1.0,0.0,0.0,0.0,0.0,1.4142135623730951,3.1248,0.588,4.86,-4.8,-5.0,-87.0,5.68,-74.68,89.2,0.26,0.007306,0.36,23.8,14.6,-1.4,36.236,12.8,18.2,21.4,4.56,9.44,10.7,-145.0,0.549859324,10.7,-7.981373,-9.44,-16.034000000000002,-34.7,-28.46,-2343.32,5.67,1.71,-11.57,4.47,-536.03,-159.0,0.0,0.0,0.0,0.0,0.0,-56.9679,104.641,0.00038199999999999996,-17.348,16.507,-38.196999999999996,-4.66,-8.77,-2.7689999999999997,-2.602,0.0,-71.73,120.63,-242.39,-3.2,1010.637,17.6845583185,-2.833,2.758,0.5654,-0.6746,48.71,-1973.0,9.552,3.2460000000000004,-1930.0,-2.206,2.307,0.8852,0.6536,9.585,-287.0,5.875,1.49,-281.8,-2930.4437780000003,-2972.57905,1189.42,-810.16,1999.58,-0.0071,0.0,0.0,0.0,-2.826129,-5.9725209999999995,-3.4217910000000002,-9.201737,-10.5409654559,3.5584599999999997,0.004968,31
swarm_0_182.pdb,1,0,4,3,9,2,9,1,3,0,1,0,0,1,0,0.58,0.48,0.0,0.77,0.4675,0.38666666666666666,0.4666666666666667,0.56,0.6900000000000001,0.0,0.41,0.0,0.88,0.0,0.0,0.0,1.54,1.87,3.48,4.2,0.56,2.0700000000000003,0.0,0.41,0.0,0.88,0.0,0.0,32.77,29.83,1320.829999999998,617.8300000000017,703.0200000000004,1.0,1.7320508075688772,3.0,0.0,1.0,1.7320508075688772,0.0,2.0,3.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,1.0096,3.092,4.36,3.0,-13.4,-115.0,1.86,-118.5,97.54,3.18,-0.001784,4.04,12.0,5.4,-10.6,117.61399999999999,4.0,8.6,10.0,2.2,10.54,2.28,-170.6,-0.429130254,-4.3,-9.059553999999999,-14.33,-18.201,-33.12,-27.34,-2182.94,-15.84,-11.14,-17.42,-11.53,-746.32,-388.99,0.0,0.0,0.0,0.0,0.0,-46.3354,-73.3711,0.000544,-21.85,9.209,-55.118,-18.153,8.889,-0.6809999999999999,-0.85,0.0,-79.73,31.64,-251.15,-121.18,275.91,17.2006205673,-3.699,3.551,-0.1891,-0.01486,85.54,-1938.0,5.654,-10.88,-1869.0,-3.1710000000000003,2.986,-0.9141,1.173,43.21,-340.5,1.431,2.92,-295.8,-3166.8783949999997,-3205.550991,-313.05,-911.98,598.92,0.0084,0.0,0.0,0.0,0.45186400000000004,-2.4487200000000002,-4.856733,-10.039486,-8.838124104530001,3.7954800000000004,0.007735,34
swarm_0_26.pdb,1,0,5,0,3,1,6,3,5,0,1,1,0,0,0,0.18,0.0,0.0,0.62,0.454,0.3933333333333333,0.4000000000000001,0.56,0.618,0.0,0.0,0.0,0.88,0.0,0.74,0.0,0.62,2.27,1.18,2.4000000000000004,1.6800000000000002,3.09,0.0,0.0,0.0,0.88,0.0,0.74,33.33,29.17,1293.2200000000012,608.8099999999995,684.3999999999996,1.0,0.0,2.449489742783178,0.0,1.7320508075688772,2.23606797749979,0.0,2.23606797749979,1.7320508075688772,1.0,1.0,0.0,1.0,0.0,0.0,-1.0114,-1.886,-1.84,-5.8,-16.0,-87.0,0.46,-75.52,62.4,-1.8,-0.013982,-3.12,16.2,6.4,-11.6,53.512,-0.8,0.4,5.8,-3.5,-3.58,7.3,-115.8,-0.22536178,-4.5,-7.543606,-12.24,-18.53,-31.46,-31.41,-3419.98,-17.32,-7.46,-18.08,-12.8,-532.29,-104.65,0.0,0.0,0.0,0.0,0.0,-47.6737,249.69,0.00045599999999999997,-27.127,14.027000000000001,-17.238,-14.823,28.125,-1.4340000000000002,-1.9680000000000002,0.0,-72.31,-4.4,-303.1,-92.98,1221.224,9.224721858510001,-3.5380000000000003,3.572,1.306,-1.9169999999999998,-65.78,-1659.0,13.32,4.497,-1734.0,-3.833,3.406,-1.874,0.6203,-14.22,-256.4,-1.43,3.1919999999999997,-266.0,-3124.7181,-3173.2977969999997,832.33,-954.09,1786.41,-0.1226,0.0,0.0,0.0,-2.413471,-4.154836,-5.748692,-9.917102,-10.7195990634,2.86125,0.006462000000000001,26
swarm_0_63.pdb,0,0,2,3,5,1,6,2,3,0,1,1,0,1,0,0.0,0.10333333333333333,0.0,0.77,0.57,0.42400000000000004,0.42,0.555,0.77,0.0,0.48,0.0,0.58,0.0,0.53,0.0,0.77,1.14,2.12,2.52,1.11,2.31,0.0,0.48,0.0,0.58,0.0,0.53,32.37,29.46,812.1999999999971,396.0000000000018,416.1899999999987,0.0,1.7320508075688772,2.449489742783178,0.0,1.4142135623730951,1.7320508075688772,0.0,1.4142135623730951,2.23606797749979,1.0,1.0,0.0,1.0,0.0,1.0,0.8074,-1.9880000000000002,2.5,-1.2,-5.8,-60.2,3.24,-64.86,65.76,0.72,-0.048542,0.32,18.0,11.4,-3.0,58.528,6.2,10.8,14.6,-0.14,6.02,4.82,-113.4,0.28840898,2.9,-6.3376209999999995,-6.65,-10.959000000000001,-22.33,-20.51,-2361.52,-8.39,-3.03,16.96,15.32,-327.27,76.16,0.0,0.0,0.0,0.0,0.0,-49.8364,28.5842,0.000892,-21.369,7.959,-11.433,-14.552999999999999,31.000999999999998,-0.759,-1.348,0.0,-26.19,72.98,-188.6,32.26,572.6519999999999,1.8221246877200001,-1.672,1.6840000000000002,1.111,-0.2488,37.64,-1279.0,7.944,18.8,-1231.0,-1.882,1.7180000000000002,0.3301,1.516,0.4193,-202.7,3.5210000000000004,5.002,-200.8,-2409.924626,-2430.1447359999997,470.51,-579.17,1049.67,-0.1651,0.0,0.0,0.0,1.319826,-2.806589,-2.347547,-5.059654,-6.2597729837900005,3.21065,0.00748,25
swarm_0_80.pdb,3,3,2,3,2,1,8,5,2,0,1,0,0,1,0,0.26333333333333336,0.17333333333333334,0.58,0.77,0.34,0.435,0.47,0.5200000000000001,0.65,0.0,0.41,0.0,0.88,0.0,0.0,1.7399999999999998,0.77,0.68,0.87,3.76,2.6000000000000005,1.3,0.0,0.41,0.0,0.88,0.0,0.0,33.2,29.88,869.7200000000012,414.02000000000044,455.71000000000095,1.7320508075688772,1.7320508075688772,2.8284271247461903,0.0,2.23606797749979,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.0,1.0,0.0,0.0,0.0,1.0,1.5312,-5.8020000000000005,3.14,-3.0,-9.0,-92.4,1.72,-77.44,75.06,0.68,-0.024968,0.3,14.8,7.4,-6.4,42.048,0.8,7.6,12.2,-0.8,9.2,7.28,-128.8,0.5050882012,1.0,-9.199679,-8.73,-12.186,-35.44,-26.58,-2460.72,-7.55,-7.24,-63.08,-19.03,-379.79,-82.94,0.0,0.0,0.0,0.0,0.0,-38.7509,16.2624,0.000732,-18.149,0.34,-44.978,-22.307,-0.625,-1.8159999999999998,-1.804,0.0,-66.51,65.5,-322.18,49.94,538.945,14.1385132472,-2.911,2.784,-0.3133,-1.061,-127.1,-1255.0,3.594,0.8874,-1385.0,-1.93,2.031,0.8313,0.2275,14.06,-231.6,4.2589999999999995,1.297,-220.5,-2621.633769,-2655.737085,585.73,-641.1,1226.84,-0.0403,0.0,0.0,0.0,0.69593,-0.028999,-2.737725,-7.850397,-4.73227238295,3.15413,0.006418999999999999,31
swarm_0_86.pdb,1,0,0,2,2,2,6,1,3,0,0,0,0,0,0,0.43,0.22,0.0,0.77,0.0,0.395,0.4283333333333334,0.56,0.5866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.79,2.5700000000000003,0.56,1.76,0.0,0.0,0.0,0.0,0.0,0.0,33.06,29.34,781.2400000000016,438.85999999999876,342.3799999999992,1.0,1.4142135623730951,2.449489742783178,0.0,1.0,1.7320508075688772,0.0,0.0,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.3462,-1.44,-0.56,-5.6,-8.0,-49.4,2.12,-34.76,39.14,-2.04,0.046564,-2.88,16.2,7.4,-4.8,74.182,0.2,3.6,8.2,-0.24,2.4,1.16,-65.8,0.2942917,6.4,-6.367277,-5.35,-10.66,-20.96,-19.89,-1360.35,-13.59,-8.73,-28.61,-10.19,-416.25,-34.5,0.0,0.0,0.0,0.0,0.0,-28.6105,-34.2143,0.000642,-17.5,9.907,-29.590999999999998,-10.552,37.978,-0.907,-1.629,0.0,-57.07,71.97,-178.55,-51.39,799.2310000000001,18.5086771362,-2.897,2.888,0.6069,-1.531,-65.65,-1109.0,6.685,-4.463,-1186.0,-2.363,1.989,-0.1016,2.272,-12.76,-163.8,2.1180000000000003,2.383,-176.3,-2371.593735,-2391.133213,1071.61,-545.18,1616.78,-0.0471,0.0,0.0,0.0,-1.537017,-0.248507,-4.6039,-6.217912,-5.209126092169999,3.00865,0.006587999999999999,17
swarm_0_96.pdb,2,0,2,5,5,0,6,1,5,0,0,0,0,2,0,0.32,0.13599999999999998,0.0,0.0,0.57,0.42400000000000004,0.44500000000000006,0.56,0.71,0.0,0.5349999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.14,2.12,2.6700000000000004,0.56,3.55,0.0,1.0699999999999998,0.0,0.0,0.0,0.0,33.06,30.2,1078.3500000000022,451.35999999999876,626.9899999999998,1.4142135623730951,2.23606797749979,2.449489742783178,0.0,1.0,2.23606797749979,0.0,1.4142135623730951,2.23606797749979,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,-0.3048,-3.2119999999999997,-2.12,-2.6,-9.2,-56.6,1.06,-61.98,53.12,-1.14,-0.057255999999999994,-2.9,12.8,7.4,-6.2,79.35,2.2,5.2,8.6,-1.38,2.66,0.86,-101.8,-0.307585008,3.9,-7.3547649999999996,-10.82,-14.439,-26.1,-29.17,-2732.83,-19.44,-6.32,-36.38,-23.74,-492.94,-221.77,0.0,0.0,0.0,0.0,0.0,-60.6334,-64.1091,0.000469,-19.329,4.2139999999999995,-38.975,-19.012999999999998,50.086000000000006,-2.039,-2.991,0.0,-89.85,9.88,-153.63,-24.19,1026.3110000000001,2.33706480882,-2.0780000000000003,2.127,1.6059999999999999,-0.35100000000000003,55.08,-1633.0,13.79,19.21,-1573.0,-1.798,2.026,0.7472,-1.146,41.31,-243.9,4.041,2.435,-204.2,-2775.569868,-2803.593966,-68.09,-750.68,682.6,-0.2106,0.0,0.0,0.0,-3.7041190000000004,-5.25901,-6.181319,-10.909557000000001,-8.304599427380001,2.63565,0.007393,28
swarm_100_125.pdb,5,0,1,7,4,2,10,0,8,0,0,0,1,1,0,0.442,0.4442857142857143,0.0,0.545,0.42,0.3525,0.46799999999999997,0.0,0.44249999999999995,0.0,0.47,0.68,0.0,0.0,0.0,0.0,1.09,0.42,1.41,4.68,0.0,3.5399999999999996,0.0,0.47,0.68,0.0,0.0,0.0,32.91,29.91,1448.380000000001,655.1100000000006,793.2700000000004,2.23606797749979,2.6457513110645907,3.1622776601683795,0.0,0.0,2.8284271247461903,0.0,1.0,2.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.5692,-2.64,0.22,-6.4,-18.8,-101.4,2.4,-102.82,99.14,-0.96,0.056432,-3.56,11.4,3.8,-14.0,53.111999999999995,1.2,9.6,12.4,0.84,5.4,-7.9,-194.0,-0.347127452,6.2,-6.605067,-10.85,-18.750999999999998,-39.22,-27.81,-3391.54,26.67,2.79,6.59,0.97,-715.51,20.04,0.0,0.0,0.0,0.0,0.0,-22.3946,106.773,0.00042800000000000005,18.924,15.218,-11.81,32.961,5.806,-4.55,-4.6610000000000005,0.0,-69.05,70.98,-190.18,-80.0,1575.624,20.902701513,-2.434,2.383,1.263,1.2329999999999999,155.3,-2617.0,18.89,-4.8580000000000005,-2485.0,-1.953,1.6059999999999999,-0.6659,1.432,38.59,-448.2,2.7489999999999997,2.963,-409.4,-3180.627442,-3210.069227,1051.29,-965.46,2016.74,0.0096,0.0,0.0,0.0,0.797238,0.598544,-3.296795,-7.832323,-12.3386231352,4.95349,0.005564,39
