Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_151.pdb,4,10,1,2,3,7,15,5,3,3,0,6,1,0,1,0.425,0.42500000000000004,0.5269999999999999,0.6828571428571429,0.38,0.5066666666666667,0.46866666666666673,0.496,0.6,0.44,0.0,0.83,0.0,0.49,0.6866666666666666,5.27,4.78,0.38,1.52,7.030000000000001,2.48,1.8,0.44,0.0,0.83,0.0,1.47,4.12,21.05,33.68,1669.229999999996,850.3099999999995,818.9300000000003,2.0,1.4142135623730951,3.872983346207417,1.0,2.23606797749979,1.7320508075688772,3.1622776601683795,1.0,1.7320508075688772,2.6457513110645907,0.0,1.7320508075688772,2.449489742783178,1.0,0.0,-0.0438,-4.2780000000000005,-1.46,-13.8,-29.4,-148.0,1.24,-111.02,111.96,-3.54,-0.006612000000000001,-4.56,9.6,-4.6,-28.6,55.998000000000005,-4.2,1.2,5.6,4.7,7.82,-1.14,-204.4,0.2550766984,-10.2,-7.800667,-12.96,-26.807,-70.61,-52.01,-4525.96,-49.68,-18.09,-21.65,14.45,-1370.15,40.27,0.0,0.0,0.0,0.0,0.0,2.3441099999999997,1062.01,0.000336,-12.359000000000002,3.383,52.417,-3.735,-137.583,1.666,4.281000000000001,0.0,-84.55,42.07,-297.31,-281.73,-781.965,-14.968923412999999,-2.772,2.7680000000000002,-0.4011,-0.5095,-259.3,-2492.0,-1.431,-14.5,-2765.0,-3.3939999999999997,2.681,-0.9991,2.594,-60.07,-407.4,0.878,-2.7489999999999997,-471.1,-5376.9109149999995,-5438.662802000001,1682.8,-1555.36,3238.16,-0.2604,0.0,0.0,0.0,-1.266823,-1.377861,-12.915234,-16.446679,-22.851220618699998,12.2887,0.004065999999999999,61
swarm_100_13.pdb,7,5,8,2,1,5,9,13,5,3,0,2,1,4,1,0.5242857142857142,0.53,0.53,0.58,0.4175,0.33,0.45222222222222225,0.4961538461538462,0.49800000000000005,0.55,0.54,0.83,0.0,0.6266666666666667,0.84,2.65,2.9,3.34,0.33,4.07,6.450000000000001,2.49,0.55,2.16,0.83,0.0,1.8800000000000001,1.68,21.97,32.64,2042.2100000000028,1061.460000000001,980.7399999999998,2.6457513110645907,1.4142135623730951,3.0,1.0,3.605551275463989,2.23606797749979,2.23606797749979,2.8284271247461903,1.0,2.23606797749979,0.0,1.7320508075688772,1.4142135623730951,1.0,2.0,0.1936,-8.984,-0.16,-13.8,-24.6,-218.6,0.72,-179.64,165.82,-3.44,-0.027686000000000002,-6.94,21.4,8.4,-27.8,21.158,-1.8,14.8,21.6,0.9,11.24,2.48,-304.8,-1.4731657498,-4.5,-11.511361,-14.51,-30.579,-59.17,-49.6,-5150.0,6.76,-0.92,-36.17,-10.98,-1251.75,-376.24,0.0,0.0,0.0,0.0,0.0,-57.5213,328.43699999999995,0.000292,-10.753,11.405,-33.797,-2.727,-96.588,-3.035,-1.199,0.0,-226.56,163.95,-627.9,31.24,-11487.803999999998,48.02985516,-3.41,3.2569999999999997,-0.843,0.3449,-108.8,-3493.0,-8.234,-37.1,-3631.0,-2.246,2.0180000000000002,-0.03773,2.307,16.8,-485.1,5.278,-0.7190000000000001,-474.3,-5745.637647,-5810.945728,3247.65,-1615.32,4862.96,-0.0532,0.0,0.0,0.0,-4.815114,-1.932032,-6.832371000000001,-17.086347,-16.3604029414,9.57521,0.0033179999999999998,66
swarm_100_154.pdb,6,4,4,9,3,18,11,3,5,0,0,2,5,3,2,0.47500000000000003,0.4044444444444444,0.58,0.5638888888888889,0.40750000000000003,0.3466666666666667,0.3981818181818182,0.53,0.502,0.42500000000000004,0.4766666666666666,0.774,0.0,0.0,0.9199999999999999,2.32,10.15,1.6300000000000001,1.04,4.38,1.59,2.51,0.8500000000000001,1.43,3.87,0.0,0.0,1.8399999999999999,21.43,32.35,2568.229999999996,1142.3799999999992,1425.8600000000006,2.449489742783178,3.0,3.3166247903554,1.4142135623730951,1.7320508075688772,2.23606797749979,2.0,2.0,1.7320508075688772,4.242640687119285,0.0,0.0,1.4142135623730951,2.23606797749979,1.7320508075688772,-2.8148,4.803999999999999,-3.02,-7.4,-39.2,-189.2,-1.5,-190.5,159.34,-1.24,0.108024,-4.16,7.8,-6.0,-32.4,148.588,-8.2,4.6,8.0,-7.96,-7.34,0.84,-326.4,-0.6498939788,-7.6,-11.391219,-17.81,-36.836,-58.44,-53.66,-5925.47,-20.55,-17.78,-33.22,9.28,-1587.02,-631.22,0.0,0.0,0.0,0.0,0.0,-80.8046,74.8169,0.000177,-0.608,6.321000000000001,-32.274,2.4859999999999998,-328.58,-2.7539999999999996,3.489,0.0,-220.71,157.77,-355.76,-79.2,-6178.357,35.0812290106,-2.5580000000000003,2.476,-0.4689,0.6026,-5.1370000000000005,-4199.0,-4.442,-8.705,-4208.0,-1.831,1.334,-1.101,2.129,13.24,-619.3,2.222,-4.619,-612.9,-6262.232108,-6325.073395,4399.23,-1943.92,6343.16,-0.0785,0.0,0.0,0.0,-7.226485,-5.383082,-3.7693839999999996,-13.698367999999999,-26.896571260500004,10.2066,0.003693,75
swarm_100_177.pdb,1,6,4,7,7,7,23,7,15,0,0,1,2,2,1,0.49,0.4171428571428572,0.525,0.5842857142857143,0.415,0.3385714285714286,0.4717391304347826,0.5028571428571429,0.47866666666666663,0.48,0.405,0.9099999999999999,0.0,0.0,0.67,3.1500000000000004,4.09,1.66,2.37,10.85,3.5200000000000005,7.18,0.48,0.81,1.8199999999999998,0.0,0.0,0.67,21.54,32.62,2721.6100000000006,1363.2400000000016,1358.3799999999992,1.0,2.6457513110645907,4.795831523312719,1.0,2.6457513110645907,3.872983346207417,2.449489742783178,2.0,2.6457513110645907,2.6457513110645907,0.0,0.0,1.0,1.4142135623730951,1.4142135623730951,0.5224,-4.82,0.66,-18.4,-33.0,-242.0,9.36,-165.8,193.2,-5.28,0.021476,-7.86,38.0,8.6,-36.6,122.446,7.0,17.8,29.8,2.4,16.86,5.82,-325.4,-1.2000919228,12.0,-12.157417,-19.38,-36.330999999999996,-59.87,-43.09,-4841.71,-5.27,-3.37,-0.17,19.24,-1934.92,-724.92,0.0,0.0,0.0,0.0,0.0,-45.5283,255.418,0.00021,3.397,33.086999999999996,-53.667,31.116999999999997,-91.999,-4.657,-2.909,0.0,-250.88,328.08,-355.48,-102.91,-15933.409,62.3952045172,-2.7739999999999996,2.759,0.6452,-0.03042,-50.15,-4771.0,3.175,-16.18,-4841.0,-2.431,1.994,1.064,3.932,-4.337,-669.5,13.07,4.004,-682.9,-6286.919471,-6368.066044,4438.44,-1909.47,6347.9,0.061,0.0,0.0,0.0,-10.567822999999999,-12.42116,-14.25789,-18.910042,-19.777419727,8.84075,0.005529999999999999,83
swarm_100_181.pdb,8,5,5,2,1,5,9,3,9,0,0,3,2,2,1,0.47875,0.22999999999999998,0.5519999999999999,0.668,0.376,0.37,0.3911111111111111,0.49666666666666665,0.5311111111111111,0.44,0.64,0.69,0.0,0.0,0.7933333333333333,2.76,3.3400000000000003,1.88,0.37,3.5199999999999996,1.49,4.779999999999999,0.44,1.28,1.38,0.0,0.0,2.38,21.5,32.57,1798.8400000000001,898.0800000000017,900.7699999999986,2.8284271247461903,1.4142135623730951,3.0,1.0,1.7320508075688772,3.0,2.23606797749979,2.23606797749979,1.0,2.23606797749979,0.0,0.0,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.2194,-5.782,2.04,-9.8,-17.6,-149.6,5.34,-118.54,126.0,-1.82,0.004792,-0.18,23.0,9.0,-14.8,60.513999999999996,3.6,12.0,18.0,6.72,13.42,19.04,-208.8,0.9259674992,-0.7,-8.10908,-12.17,-29.369,-44.96,-39.08,-4049.04,-26.67,-13.88,22.44,16.39,-1295.6,-377.42,0.0,0.0,0.0,0.0,0.0,-63.8472,183.382,0.000354,-14.867,24.099,-12.931,7.939,-144.596,0.348,3.095,0.0,-139.58,129.87,-460.22,37.22,-6531.616,51.096570583100004,-2.8280000000000003,2.728,-0.4157,-0.1069,43.95,-3612.0,-5.376,-20.92,-3584.0,-2.123,1.735,-0.3106,2.285,-6.621,-447.6,4.53,0.151,-458.6,-5477.247562,-5545.378989,4230.64,-1544.67,5775.3,0.0094,0.0,0.0,0.0,-2.989242,-3.377514,-7.312521,-11.673872,-15.5632729672,10.6374,0.005072999999999999,55
swarm_100_18.pdb,10,10,2,4,2,1,13,3,8,1,0,2,3,0,0,0.461,0.28250000000000003,0.4960000000000001,0.77,0.4,0.415,0.4707692307692308,0.5366666666666667,0.46375000000000005,0.0,0.0,0.7866666666666666,0.0,0.9,0.685,4.960000000000001,0.77,0.8,0.83,6.12,1.61,3.7100000000000004,0.0,0.0,2.36,0.0,0.9,1.37,21.8,32.7,2025.9800000000032,1031.4199999999983,994.5599999999995,3.1622776601683795,2.0,3.605551275463989,0.0,1.7320508075688772,2.8284271247461903,3.1622776601683795,1.4142135623730951,1.4142135623730951,1.0,0.0,1.0,1.4142135623730951,1.7320508075688772,0.0,-0.1164,2.35,0.06,-10.2,-25.4,-166.2,4.46,-123.16,125.34,-1.92,-0.050418,-5.48,27.6,11.8,-20.4,72.178,-1.0,7.0,13.6,2.3,1.9,4.34,-229.0,0.396348534,1.7,-10.756743,-12.19,-31.138,-56.27,-54.23,-5294.0,-25.14,-6.45,-45.12,-3.75,-1461.68,-514.38,0.0,0.0,0.0,0.0,0.0,-45.8312,-84.6405,0.000328,-4.445,23.973000000000003,-48.093999999999994,14.718,-231.06099999999998,0.49700000000000005,4.887,0.0,-170.02,167.69,-301.76,-86.53,-19211.676,50.5161299913,-2.346,2.228,-1.089,0.5625,138.6,-3686.0,-6.7620000000000005,-38.62,-3579.0,-2.022,1.5019999999999998,-0.6163,2.9589999999999996,43.6,-545.9,3.165,-2.5380000000000003,-508.0,-5680.876195000001,-5727.597137,4295.01,-1599.96,5894.96,-0.2036,0.0,0.0,0.0,-5.344292,-7.968575,-7.1822740000000005,-14.928791,-19.879031981500003,13.6786,0.005864,59
swarm_100_25.pdb,3,10,0,7,3,6,8,3,6,2,0,1,5,0,4,0.4466666666666666,0.3585714285714286,0.45,0.5733333333333334,0.0,0.4033333333333333,0.45249999999999996,0.5166666666666667,0.5683333333333332,0.46249999999999997,0.0,0.8299999999999998,0.0,0.49,0.74,4.5,3.44,0.0,1.21,3.6199999999999997,1.55,3.4099999999999997,1.8499999999999999,0.0,4.1499999999999995,0.0,0.98,0.74,21.22,32.77,1861.4300000000003,924.7700000000004,936.6500000000015,1.7320508075688772,2.6457513110645907,2.8284271247461903,2.0,1.7320508075688772,2.449489742783178,3.1622776601683795,0.0,1.7320508075688772,2.449489742783178,0.0,1.4142135623730951,1.0,2.23606797749979,0.0,-1.2790000000000001,1.12,-7.34,-15.6,-30.8,-171.8,0.78,-128.56,122.64,-5.36,0.09563200000000001,-7.92,17.0,2.8,-23.2,70.928,-6.2,4.2,10.0,6.84,-8.1,-13.8,-232.6,-0.228936556,-0.5,-8.990509,-14.6,-31.188000000000002,-51.92,-37.26,-5269.07,-36.98,-5.69,-37.76,-10.9,-1218.2,-383.95,0.0,0.0,0.0,0.0,0.0,-39.7438,459.565,0.000332,-14.385,12.821,-24.333000000000002,-3.998,-153.835,-1.0979999999999999,1.825,0.0,-210.67,157.28,-279.31,-142.25,-9325.652,38.1937072175,-2.9760000000000004,2.9130000000000003,0.679,0.8007,63.77,-3324.0,1.594,-10.98,-3273.0,-2.76,2.135,-0.4842,2.815,-9.544,-507.6,3.5010000000000003,1.745,-518.9,-5668.770172,-5727.887078,3449.36,-1667.51,5116.87,-0.0166,0.0,0.0,0.0,-6.719231,-8.988828,-8.451131,-13.121623000000001,-21.936215273400002,15.4597,0.00419,58
swarm_100_29.pdb,16,8,3,11,2,13,18,11,11,3,0,3,7,2,2,0.40812499999999996,0.4581818181818182,0.5275000000000001,0.576923076923077,0.48,0.285,0.4305555555555556,0.5045454545454546,0.49090909090909085,0.42500000000000004,0.475,0.65,0.0,0.6266666666666667,0.6333333333333333,4.220000000000001,7.500000000000001,1.44,0.57,7.75,5.550000000000001,5.3999999999999995,0.8500000000000001,0.95,4.55,0.0,1.8800000000000001,1.9,21.78,32.35,2893.6699999999983,1401.0100000000002,1492.6500000000015,4.0,3.3166247903554,4.242640687119285,1.4142135623730951,3.3166247903554,3.3166247903554,2.8284271247461903,1.7320508075688772,1.4142135623730951,3.605551275463989,0.0,1.7320508075688772,1.7320508075688772,2.6457513110645907,1.4142135623730951,3.7716,1.604,2.14,-12.4,-34.0,-189.0,1.0,-223.82,214.08,-3.1,0.044874000000000004,-8.4,26.8,8.4,-28.0,62.84,8.6,25.4,31.8,-1.28,14.72,9.36,-407.6,-0.2056471234,-4.3,-7.977833,-15.88,-39.823,-77.71,-89.45,-7760.55,-15.32,-7.4,76.88,74.31,-1547.66,981.98,0.0,0.0,0.0,0.0,0.0,-30.3518,1328.5,0.000207,0.3,13.578,73.395,21.217,-358.569,-4.902,1.911,0.0,-100.77,124.2,-708.09,-36.0,-14069.376,53.1431361195,-3.388,3.2569999999999997,-1.214,-0.2135,25.83,-5517.0,-13.16,-27.5,-5505.0,-2.191,1.587,-1.256,2.602,48.52,-941.5,3.318,-0.7040000000000001,-897.0,-6735.202231,-6817.158693,5453.46,-2179.77,7633.23,-0.0467,0.0,0.0,0.0,-8.589792,-11.922203,-16.04637,-43.124815000000005,-24.859101522800003,19.7796,0.004345,110
swarm_100_37.pdb,10,5,6,4,2,6,17,16,8,0,0,3,3,2,0,0.41900000000000004,0.36250000000000004,0.538,0.44,0.425,0.375,0.4182352941176471,0.50875,0.5487500000000001,0.0,0.41,0.7766666666666667,0.0,0.0,0.8333333333333334,2.6900000000000004,2.64,2.55,0.75,7.11,8.14,4.390000000000001,0.0,0.82,2.33,0.0,0.0,2.5,22.03,31.99,2221.3799999999974,1046.2999999999993,1175.0699999999997,3.1622776601683795,2.0,4.123105625617661,0.0,4.0,2.8284271247461903,2.23606797749979,2.449489742783178,1.4142135623730951,2.449489742783178,0.0,0.0,1.7320508075688772,1.7320508075688772,1.4142135623730951,3.7872,-1.774,3.66,-12.6,-18.4,-193.4,7.84,-156.78,164.48,-2.66,0.014948,-3.86,41.2,21.8,-16.6,43.922,9.8,19.4,31.0,6.42,6.94,18.5,-277.0,0.4345677226,11.4,-6.767817,-18.15,-35.785,-63.13,-53.46,-5086.77,19.3,-10.12,31.62,18.99,-1593.13,-162.09,0.0,0.0,0.0,0.0,0.0,-79.08,409.835,0.000275,-13.62,7.059,-10.465,-7.608,-215.752,-3.187,0.9129999999999999,0.0,-152.12,221.87,-780.74,139.8,-4932.24,47.7800902963,-3.6180000000000003,3.6060000000000003,0.6282,-0.2216,-299.6,-4249.0,3.877,0.4598,-4552.0,-2.966,2.6069999999999998,-0.3797,1.7830000000000001,-4.078,-591.5,4.0489999999999995,2.927,-596.7,-6219.124398,-6313.884433,3752.13,-1864.0,5616.12,0.2736,0.0,0.0,0.0,-10.776504,-13.280878,-14.839125,-26.578691,-22.866468014499997,11.0252,0.004963,82
swarm_103_102.pdb,7,5,3,3,4,5,12,8,9,0,0,1,3,2,3,0.43857142857142856,0.39000000000000007,0.5900000000000001,0.6960000000000001,0.4566666666666667,0.3175,0.48333333333333334,0.5312500000000001,0.6711111111111111,0.4533333333333333,0.48,0.7366666666666667,0.0,0.0,0.94,2.95,3.4800000000000004,1.37,1.27,5.8,4.250000000000001,6.04,1.3599999999999999,0.96,2.21,0.0,0.0,0.94,21.67,32.29,2044.5600000000013,1072.3600000000024,972.2000000000007,2.6457513110645907,1.7320508075688772,3.4641016151377544,1.7320508075688772,2.8284271247461903,3.0,2.23606797749979,1.7320508075688772,2.0,2.23606797749979,0.0,0.0,1.0,1.7320508075688772,1.4142135623730951,0.6002,-5.156000000000001,-0.38,-14.2,-26.2,-175.4,5.5,-124.74,137.84,-3.72,0.011156000000000001,-2.28,27.2,10.8,-20.6,81.896,1.11022302463e-16,10.4,17.2,6.52,20.14,10.38,-235.8,-0.11959430160000001,-0.3,-10.509683,-12.8,-28.916,-69.74,-58.28,-4036.8,-36.19,-4.67,-39.18,-8.55,-1371.18,-362.35,0.0,0.0,0.0,0.0,0.0,-65.2294,-11.7858,0.00021,-9.537,21.016,-30.195999999999998,8.459,-107.485,0.617,2.659,0.0,-154.93,168.72,-523.24,-93.29,562.915,28.5175273819,-3.702,3.701,1.031,-0.1133,-368.0,-3061.0,5.4510000000000005,14.48,-3420.0,-3.5980000000000003,3.028,-0.105,3.498,-40.56,-443.3,3.61,6.066,-481.4,-5513.483005,-5590.9489810000005,3591.04,-1471.62,5062.65,-0.0481,0.0,0.0,0.0,-1.678684,-4.464718,-7.192603,-10.927881,-15.9545596228,9.80032,0.0048460000000000005,65
