Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_105.pdb,10,1,5,3,4,1,12,6,1,0,1,0,1,1,1,0.438,0.15,0.64,0.46,0.404,0.4675,0.47666666666666674,0.5283333333333333,0.25,0.34,0.27,0.65,0.58,0.0,0.0,0.64,0.46,2.02,1.87,5.720000000000001,3.17,0.25,0.34,0.27,0.65,0.58,0.0,0.0,20.0,34.58,1255.130000000001,559.5299999999997,695.5999999999995,3.1622776601683795,1.7320508075688772,3.4641016151377544,1.0,2.449489742783178,1.0,1.0,2.23606797749979,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.6716,-0.584,3.42,-7.0,-10.2,-126.2,5.16,-101.64,110.92,-0.5,0.06042,-2.8,22.4,15.2,-6.0,38.89,5.6,17.8,20.8,0.3,12.0,10.92,-188.8,0.226371618,10.1,-8.170235,-13.22,-20.3793,-43.75,-42.28,-3017.13,-4.44,-1.46,-5.71,17.47,-763.4,-249.84,0.0,0.0,0.0,0.0,0.0,-42.8761,-5.3465,0.000468,-4.648,0.838,-41.081,-7.917999999999999,-668.403,-3.266,9.434,0.0,-88.84,93.41,-275.9,14.41,554.669,10.875716472999999,-2.772,2.8569999999999998,1.1179999999999999,-1.2590000000000001,-271.8,-2260.0,8.707,4.31,-2537.0,-2.614,2.418,0.6952,2.343,-47.04,-285.3,7.144,2.387,-337.1,-3012.974792,-3056.617552,831.06,-1014.18,1845.24,-0.0336,0.0,0.0,0.0,1.905852,4.545612,-5.746923000000001,-10.784405,-10.860724035899999,3.8187,0.0071909999999999995,47
swarm_0_152.pdb,6,4,3,3,2,3,10,5,2,1,0,0,0,0,0,0.47000000000000003,0.42,0.5499999999999999,0.43,0.39666666666666667,0.335,0.4290000000000001,0.496,0.62,0.0,0.0,0.0,0.0,0.78,0.0,2.1999999999999997,1.29,1.19,0.67,4.290000000000001,2.48,1.24,0.0,0.0,0.0,0.0,0.78,0.0,20.0,33.62,894.9500000000007,520.0200000000004,374.9300000000003,2.449489742783178,1.7320508075688772,3.1622776601683795,0.0,2.23606797749979,1.4142135623730951,2.0,1.7320508075688772,1.4142135623730951,1.7320508075688772,0.0,1.0,0.0,0.0,0.0,2.737,-2.39,4.54,-2.6,-3.0,-50.2,2.98,-57.72,70.84,-0.04,0.039588,0.78,17.0,11.0,-2.2,6.114,7.8,14.6,18.6,3.24,7.64,0.78,-120.0,0.3087128388,9.1,-7.512307000000001,-5.45,-15.7609,-31.57,-34.18,-2126.04,13.12,0.88,18.23,12.48,-720.97,-143.2,0.0,0.0,0.0,0.0,0.0,-13.5024,151.224,0.000784,-9.035,14.03,-13.450999999999999,3.65,-305.404,-5.567,0.235,0.0,-37.34,157.76,-138.78,60.1,419.711,10.915254405899999,-2.513,2.508,1.3869999999999998,-0.2266,-232.1,-1665.0,7.114,15.59,-1889.0,-1.475,1.228,0.02567,1.838,-24.87,-259.6,3.2230000000000003,2.989,-284.7,-2553.2652190000003,-2596.604275,1974.66,-777.78,2752.43,0.1175,0.0,0.0,0.0,2.7575950000000002,0.736589,-4.501425,-7.164799,-3.36242749391,3.7228199999999996,0.004487,39
swarm_0_22.pdb,3,3,5,4,1,1,6,2,3,0,0,0,1,2,0,0.54,0.39,0.4533333333333333,0.62,0.42799999999999994,0.53,0.45999999999999996,0.495,0.3466666666666667,0.0,0.515,0.52,0.0,0.0,0.0,1.3599999999999999,0.62,2.1399999999999997,0.53,2.76,0.99,1.04,0.0,1.03,0.52,0.0,0.0,0.0,20.25,32.91,949.1399999999976,457.41999999999916,491.72000000000025,1.7320508075688772,2.0,2.449489742783178,0.0,1.4142135623730951,1.7320508075688772,1.7320508075688772,2.23606797749979,1.0,1.0,0.0,0.0,0.0,1.0,1.4142135623730951,1.6114,0.266,-0.2,-3.0,-13.0,-65.2,-1.7,-85.12,72.7,-0.42,-0.005286,-1.96,2.8,-6.66133814775e-16,-9.4,-4.982,0.4,9.0,7.8,-3.46,5.74,6.56,-148.4,-0.45149604600000004,-1.8,-8.039639,-7.84,-15.9036,-22.51,-16.51,-1639.41,-9.01,-4.55,-47.7,-20.62,-658.2,-424.91,0.0,0.0,0.0,0.0,0.0,-23.8339,-26.2531,0.000655,-1.7919999999999998,1.226,-34.629,-4.029,-284.57099999999997,-3.574,1.8330000000000002,0.0,-96.97,29.45,-157.77,-35.31,10.479000000000001,3.8090719020699995,-2.858,2.872,1.5319999999999998,0.09068,-256.0,-1543.0,7.51,20.56,-1786.0,-1.4869999999999999,1.138,-1.287,0.4786,-18.91,-192.3,-0.1264,-0.016,-211.1,-2574.156357,-2607.027559,1186.13,-797.01,1983.13,0.022000000000000002,0.0,0.0,0.0,-2.165813,-3.088664,-6.140472,-9.318576,-6.42636363795,2.91237,0.007839,31
swarm_0_37.pdb,2,2,5,5,1,3,6,4,1,1,1,2,0,3,1,0.43499999999999994,0.414,0.42500000000000004,0.6033333333333333,0.42400000000000004,0.53,0.44833333333333325,0.47500000000000003,0.49,0.34,0.4566666666666666,0.0,0.46,0.9,0.7150000000000001,0.8500000000000001,1.8099999999999998,2.12,0.53,2.6899999999999995,1.9000000000000001,0.49,0.34,1.3699999999999999,0.0,0.46,0.9,1.4300000000000002,19.5,34.02,1165.9700000000012,483.6399999999994,682.3199999999997,1.4142135623730951,2.23606797749979,2.449489742783178,1.0,2.0,1.0,1.4142135623730951,2.23606797749979,1.0,1.7320508075688772,1.0,1.0,1.4142135623730951,0.0,1.7320508075688772,2.1174,-3.222,2.8,-5.6,-10.2,-108.6,2.72,-92.0,101.3,-0.98,-0.023636,-1.52,10.8,6.2,-10.6,6.94,8.8,19.0,19.2,-0.8,8.88,4.0,-168.6,0.2333693748,1.1,-7.312785000000001,-11.26,-15.9353,-36.11,-36.67,-2695.27,-16.68,-8.38,11.09,18.06,-589.1,-83.6,0.0,0.0,0.0,0.0,0.0,-37.3675,153.266,0.000433,1.912,-6.454,-3.81,-4.923,-470.842,-2.6430000000000002,6.303,0.0,-52.17,40.93,-333.77,36.65,-221.084,12.2560184561,-2.468,2.352,-1.266,-1.111,-237.4,-1886.0,-6.082999999999999,38.77,-2078.0,-2.2880000000000003,1.954,-0.6652,1.501,-26.32,-249.6,1.251,5.57,-271.6,-2580.64875,-2618.975555,874.71,-796.29,1671.0,-0.1336,0.0,0.0,0.0,-4.149995,-6.048576000000001,-5.641722,-10.577846000000001,-9.703620442810001,2.53485,0.009054000000000001,37
swarm_0_42.pdb,6,2,1,1,1,1,0,2,1,0,0,0,0,0,1,0.4116666666666667,0.44,0.505,0.53,0.42,0.31,0.0,0.56,0.55,0.83,0.0,0.0,0.0,0.0,0.0,1.01,0.53,0.42,0.31,0.0,1.12,0.55,0.83,0.0,0.0,0.0,0.0,0.0,20.0,33.75,542.3899999999994,227.65999999999985,314.7399999999998,2.449489742783178,1.0,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9938,1.222,0.94,-4.2,-7.8,-55.8,1.56,-51.6,53.16,-0.22,0.05842000000000001,-2.84,8.4,5.6,-2.8,2.7960000000000003,-2.2,7.4,10.0,-3.02,-1.08,-4.52,-104.4,0.1583457,0.9,-6.36192,-9.81,-13.3872,-13.68,-12.28,-873.35,-8.06,2.19,-29.51,-9.48,-516.61,-416.49,0.0,0.0,0.0,0.0,0.0,-15.0605,-19.6587,0.000869,-2.042,-4.4110000000000005,-27.026,-9.155,-406.49699999999996,0.705,8.429,0.0,-33.46,14.87,-114.97,-25.4,19.332,0.8695895657870001,-1.319,1.3519999999999999,0.5375,-0.6694,-26.84,-1423.0,3.0669999999999997,10.91,-1442.0,-1.097,1.123,-0.2207,-1.47,7.847,-141.8,1.094,-0.353,-135.4,-2282.0458489999996,-2300.5635620000003,262.84,-668.73,931.57,-0.1158,0.0,0.0,0.0,1.213727,-0.601037,-0.5708300000000001,-4.637938,-3.5290291766900004,2.58946,0.008938,16
swarm_0_45.pdb,2,3,2,5,7,4,8,2,5,0,3,1,2,2,1,0.43499999999999994,0.37,0.51,0.5225000000000001,0.42,0.4871428571428572,0.46625000000000005,0.51,0.47400000000000003,0.34,0.43,0.74,0.6033333333333334,0.0,0.53,1.53,2.0900000000000003,0.84,3.4100000000000006,3.7300000000000004,1.02,2.37,0.34,0.86,1.48,1.81,0.0,0.53,20.17,34.03,1228.6800000000003,474.75,753.9200000000001,1.4142135623730951,2.23606797749979,2.8284271247461903,1.0,1.4142135623730951,2.23606797749979,1.7320508075688772,1.4142135623730951,2.6457513110645907,2.0,1.7320508075688772,0.0,1.0,1.4142135623730951,1.4142135623730951,2.0372,-0.818,2.74,1.4,-9.6,-122.6,-0.68,-134.86,117.94,1.3,0.088254,1.22,8.8,6.0,-11.8,15.402000000000001,5.4,20.8,21.6,-6.78,1.08,6.74,-214.6,0.6792268431999999,-3.8,-3.946864,-10.34,-16.2701,-30.12,-31.52,-3194.58,-9.57,-1.66,8.62,32.76,-543.84,527.94,0.0,0.0,0.0,0.0,0.0,-21.3386,990.538,0.000558,-4.712,-12.864,73.2,-10.257,-319.738,-1.31,4.765,0.0,-23.13,-45.64,-491.54,71.38,404.42800000000005,2.0466038459,-2.742,2.795,0.5923,-1.383,-357.2,-2107.0,4.064,17.25,-2451.0,-1.896,1.7069999999999999,0.2597,1.123,-42.34,-296.9,4.331,1.776,-341.8,-2723.2398510000003,-2776.605722,524.62,-887.65,1412.27,-0.07,0.0,0.0,0.0,3.47925,3.193133,-1.354465,-8.897565,-11.1413901122,20.6398,0.008362,47
swarm_0_87.pdb,1,3,2,2,3,2,13,4,7,1,0,0,1,2,2,0.18,0.145,0.5566666666666668,0.515,0.475,0.37666666666666665,0.4446153846153846,0.525,0.4014285714285714,0.42500000000000004,0.475,0.52,0.0,0.49,0.0,1.6700000000000002,1.03,0.95,1.13,5.779999999999999,2.1,2.81,0.8500000000000001,0.95,0.52,0.0,0.49,0.0,19.66,33.76,1187.92,626.6999999999998,561.2199999999993,1.0,1.4142135623730951,3.605551275463989,1.4142135623730951,2.0,2.6457513110645907,1.7320508075688772,1.4142135623730951,1.7320508075688772,1.4142135623730951,0.0,1.0,0.0,1.0,1.4142135623730951,1.3056,-0.212,0.7,-8.2,-21.8,-121.0,1.9,-113.76,108.28,-1.72,0.028898000000000004,-3.78,23.8,10.6,-15.6,65.35,2.8,12.8,15.8,1.24,5.7,6.42,-202.8,0.09733326,3.3,-7.816742,-8.56,-15.7908,-56.83,-42.24,-3296.18,-14.56,4.87,-8.51,24.23,-677.21,-10.37,0.0,0.0,0.0,0.0,0.0,-34.4495,199.864,0.00064,0.768,8.793,-22.912,7.27,-323.254,-4.6419999999999995,1.5,0.0,-119.77,77.3,-197.88,-56.55,538.094,9.98674076144,-2.907,2.9760000000000004,1.399,-0.9907,-267.5,-1891.0,10.26,16.39,-2152.0,-2.088,1.733,0.4909,3.383,-65.54,-260.2,6.626,5.662000000000001,-326.7,-2637.271142,-2683.421898,1533.38,-836.09,2369.47,0.0856,0.0,0.0,0.0,-7.996513,-13.500001000000001,-4.442645,-10.145961,-7.67123731021,3.9160199999999996,0.00486,43
swarm_100_34.pdb,5,3,4,6,4,3,8,4,3,0,0,0,3,3,4,0.458,0.4366666666666667,0.5333333333333333,0.4466666666666667,0.45,0.34,0.45749999999999996,0.44999999999999996,0.45,0.42500000000000004,0.5033333333333333,0.7266666666666667,0.0,0.0,0.0,1.6,1.34,1.8,1.36,3.6599999999999997,1.7999999999999998,1.35,1.7000000000000002,1.51,2.18,0.0,0.0,0.0,20.09,32.91,1128.2700000000004,542.5500000000002,585.71,2.23606797749979,2.449489742783178,2.8284271247461903,2.0,2.0,1.7320508075688772,1.7320508075688772,2.0,2.0,1.7320508075688772,0.0,0.0,0.0,1.7320508075688772,1.7320508075688772,6.3476,0.1,6.18,-1.6,-4.2,-84.6,3.36,-133.62,141.68,-1.14,0.019332,-3.14,22.2,16.0,-3.4,27.36,30.0,41.8,42.2,3.16,11.9,2.08,-245.8,-0.3272213194,7.8,-9.651003999999999,-11.06,-19.4214,-41.31,-36.33,-1863.77,20.1,0.77,-23.27,-19.03,-790.76,-302.09,0.0,0.0,0.0,0.0,0.0,-53.2715,-40.5516,0.000743,-8.443999999999999,3.4760000000000004,-41.446999999999996,-9.113,-250.55900000000003,-5.43,-0.669,0.0,-160.66,128.2,-141.71,112.13,-790.69,17.4137387779,-2.441,2.4730000000000003,0.6923,-0.8265,-190.9,-2289.0,7.528,20.52,-2467.0,-1.635,1.7990000000000002,-0.3928,-1.454,-15.01,-328.7,3.56,-3.83,-351.1,-2985.076559,-3028.495384,1553.42,-950.49,2503.92,-0.0942,0.0,0.0,0.0,-4.067278,-7.879161999999999,-1.655787,-13.310895,-9.89391191356,3.97436,0.0047,50
swarm_100_44.pdb,5,3,3,0,0,1,1,2,0,1,1,0,0,0,1,0.574,0.0,0.4466666666666667,0.62,0.4066666666666667,0.0,0.54,0.52,0.0,0.83,0.0,0.0,0.58,0.9,0.0,1.34,0.62,1.22,0.0,0.54,1.04,0.0,0.83,0.0,0.0,0.58,0.9,0.0,20.41,33.47,644.4500000000007,204.17999999999938,440.27000000000044,2.23606797749979,0.0,1.0,1.0,1.4142135623730951,0.0,1.7320508075688772,1.7320508075688772,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.2702,1.11,2.82,1.4,-2.0,-53.0,-0.54,-63.16,52.82,1.24,0.00044400000000000006,1.46,3.2,3.8,-2.8,-8.113999999999999,4.0,9.6,9.6,-1.88,0.48,6.22,-95.4,0.2205215966,-7.3,-5.5552,-7.76,-11.3707,-24.71,-14.21,-403.97,-3.16,1.76,1.93,9.09,-498.97,-341.65,0.0,0.0,0.0,0.0,0.0,-28.8419,-17.1054,0.001102,-2.24,-12.352,-8.618,-15.454,-317.222,1.13,7.157,0.0,9.58,-56.22,-224.08,12.4,319.928,7.134647919560001,-1.224,1.192,-1.71,-2.157,4.218999999999999,-1654.0,-7.794,0.2869,-1642.0,-0.327,0.726,0.2866,-1.9769999999999999,8.151,-157.5,2.825,-4.126,-156.3,-2068.633679,-2090.497604,290.32,-560.32,850.63,-0.071,0.0,0.0,0.0,-0.42850900000000003,-2.274844,-0.504857,-4.950483,-9.01079688117,2.81858,0.007111,18
swarm_100_83.pdb,4,6,3,2,2,2,1,1,0,1,0,1,6,0,6,0.3825,0.455,0.5316666666666666,0.405,0.45,0.38,0.35,0.56,0.0,0.6133333333333333,0.0,0.6050000000000001,0.0,0.49,0.84,3.1899999999999995,0.81,1.35,0.76,0.35,0.56,0.0,3.6799999999999997,0.0,3.6300000000000003,0.0,0.49,0.84,20.33,33.61,840.039999999999,311.2699999999995,528.7700000000004,2.0,1.4142135623730951,1.0,2.449489742783178,1.0,0.0,2.449489742783178,1.7320508075688772,1.4142135623730951,1.4142135623730951,0.0,1.0,1.0,2.449489742783178,0.0,2.2478,-1.1420000000000001,-0.68,0.0,-5.0,-28.6,-2.28,-73.96,64.26,-0.58,0.049618,-2.58,4.2,2.6,-2.4,15.046,9.8,18.8,19.6,2.42,-2.1,-8.28,-127.0,-1.0597367354,-5.3,-5.085047,-10.42,-15.2956,-24.11,-26.57,-2485.33,-9.67,-13.74,-15.04,14.03,-582.47,-260.4,0.0,0.0,0.0,0.0,0.0,-36.0062,-33.7152,0.0007030000000000001,-0.065,-15.97,-2.381,-16.273,-412.588,-2.73,5.109,0.0,-56.77,10.53,-390.21,107.27,-239.44799999999998,-7.47088811354,-2.019,1.9709999999999999,0.028839999999999998,0.7137,-248.6,-1585.0,3.609,18.87,-1819.0,-1.494,1.432,-0.5291,-0.7249,-30.36,-195.8,1.9780000000000002,-3.4619999999999997,-231.6,-2553.813131,-2589.5061600000004,511.62,-804.85,1316.47,-0.0404,0.0,0.0,0.0,-2.609188,-4.281926,-1.1122459999999998,-5.589753,-7.31330328553,2.68065,0.006657,35
