Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_1000_142.pdb,11,9,15,6,11,5,28,23,8,1,4,2,2,7,0,0.4845454545454546,0.395,0.5166666666666667,0.554,0.4006666666666666,0.4072727272727273,0.46821428571428564,0.49217391304347835,0.41625,0.0,0.47000000000000003,0.5900000000000001,0.525,0.9,0.6,4.65,2.77,6.009999999999999,4.48,13.109999999999998,11.320000000000002,3.33,0.0,3.29,1.1800000000000002,2.1,0.9,1.2,25.47,36.03,3584.5800000000017,1612.4700000000012,1972.0999999999985,3.3166247903554,2.449489742783178,5.291502622129181,0.0,4.795831523312719,2.8284271247461903,3.0,3.872983346207417,3.3166247903554,2.23606797749979,2.0,1.0,1.4142135623730951,1.4142135623730951,2.6457513110645907,8.7882,-1.87,6.04,-17.8,-24.4,-304.6,12.32,-258.1,281.5,-4.8,0.074826,-8.04,62.8,38.6,-26.8,53.288000000000004,28.8,44.8,58.2,6.62,16.88,24.76,-470.6,0.7391137188,19.5,-7.854202000000001,-20.16,-45.887,-101.46,-85.67,-6330.99,-11.31,-7.47,69.68,65.61,-2185.47,-69.97,0.0,0.0,0.0,0.0,0.0,107.089,3194.42,0.000125,-3.07,26.831999999999997,19.791,25.741999999999997,-212.72799999999998,-10.365,-6.3229999999999995,0.0,-241.12,412.35,-728.29,229.62,-6868.049,97.3028259324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8450.84542,-8574.643327,0.0,0.0,0.0,0.1636,0.0,0.0,0.0,-10.110172,-11.83578,-3.022907,-26.21632,-34.5236786085,36.6954,0.003045,132
swarm_1000_169.pdb,15,7,18,7,10,1,19,12,7,0,3,1,2,10,5,0.4660000000000001,0.3585714285714286,0.49714285714285716,0.41,0.41555555555555546,0.33699999999999997,0.4584210526315789,0.5016666666666668,0.5171428571428571,0.4699999999999999,0.469,0.52,0.64,0.0,0.7,3.48,0.41,7.479999999999999,3.3699999999999997,8.709999999999999,6.020000000000001,3.62,2.3499999999999996,4.6899999999999995,1.04,1.92,0.0,0.7,25.64,35.8,3381.4800000000105,1611.020000000004,1770.4500000000044,3.872983346207417,2.6457513110645907,4.358898943540674,2.23606797749979,3.4641016151377544,2.6457513110645907,2.6457513110645907,4.242640687119285,3.1622776601683795,1.0,1.7320508075688772,0.0,1.0,1.4142135623730951,3.1622776601683795,10.0798,0.036000000000000004,9.42,-11.4,-14.6,-232.6,10.66,-242.78,267.76,-1.76,-0.033818,-3.12,71.2,48.0,-7.4,70.946,36.8,57.2,64.6,2.08,26.92,25.16,-459.2,0.20123580719999998,21.1,-8.541484,-19.94,-48.247,-94.13,-84.58,-4220.16,-28.15,-3.63,101.86,81.04,-2319.79,-488.87,0.0,0.0,0.0,0.0,0.0,-31.7071,753.132,0.000144,-20.172,32.428000000000004,-19.158,10.341,-461.319,-9.294,-0.529,0.0,-160.98,357.54,-443.22,169.09,-32715.289,45.271469815100005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8667.207636,-8817.996355,0.0,0.0,0.0,0.0533,0.0,0.0,0.0,-6.229657,-16.159159,-14.386973000000001,-32.192824,-24.643112584,35.6671,0.002325,117
swarm_1001_199.pdb,18,2,12,6,7,2,21,23,5,0,3,1,1,6,3,0.4261111111111113,0.45166666666666666,0.45,0.65,0.4449999999999999,0.3642857142857143,0.4880952380952381,0.4673913043478261,0.41,0.6166666666666666,0.46666666666666673,0.88,0.64,0.0,0.53,0.9,1.3,5.339999999999999,2.5500000000000003,10.25,10.75,2.05,1.8499999999999999,2.8000000000000003,0.88,1.92,0.0,0.53,25.49,36.31,3422.9900000000052,1590.4700000000012,1832.530000000006,4.242640687119285,2.449489742783178,4.58257569495584,1.7320508075688772,4.795831523312719,2.23606797749979,1.4142135623730951,3.4641016151377544,2.6457513110645907,1.4142135623730951,1.7320508075688772,0.0,1.0,1.0,2.449489742783178,11.2914,2.02,12.3,-14.8,-13.0,-319.2,10.58,-298.28,324.3,-4.02,0.00788,-7.42,59.6,36.0,-28.2,80.902,46.2,69.0,77.8,4.18,43.58,13.92,-527.4,-0.9843056038,26.6,-8.142646000000001,-24.84,-46.828,-98.37,-74.14,-6553.97,6.26,9.92,39.51,69.55,-1991.99,118.7,0.0,0.0,0.0,0.0,0.0,-9.08107,575.715,0.000149,-11.693,30.158,16.987000000000002,20.164,-3.418,-11.508,-11.443,0.0,-202.0,346.99,-733.18,226.44,1741.826,49.9713136324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8625.620015,-8760.399701999999,0.0,0.0,0.0,0.4271,0.0,0.0,0.0,6.669695,2.79678,-8.461689,-29.645391999999998,-37.9521277709,40.0753,0.0014730000000000001,110
swarm_1002_172.pdb,13,5,14,12,21,2,27,24,12,0,2,1,1,9,2,0.46538461538461545,0.4091666666666667,0.476,0.6,0.4471428571428571,0.34428571428571425,0.44148148148148153,0.4991666666666669,0.47500000000000003,0.69,0.4466666666666666,0.53,0.7,0.0,0.7,2.38,1.2,6.26,7.2299999999999995,11.920000000000002,11.980000000000006,5.7,1.38,4.02,0.53,1.4,0.0,0.7,25.58,36.26,4104.619999999995,1909.300000000003,2195.320000000007,3.605551275463989,3.4641016151377544,5.196152422706632,1.4142135623730951,4.898979485566356,3.4641016151377544,2.23606797749979,3.7416573867739413,4.58257569495584,1.4142135623730951,1.4142135623730951,0.0,1.0,1.0,3.0,7.5492,-1.9340000000000002,10.26,-20.6,-21.4,-378.8,19.76,-296.54,340.5,-1.94,0.18843800000000002,-6.84,97.8,59.4,-25.2,176.236,29.8,61.2,84.0,4.86,31.36,20.88,-558.6,1.6118144152,32.1,-11.850415,-25.26,-53.218,-145.51,-119.18,-7163.42,-15.61,-16.54,59.62,62.69,-2500.41,-208.37,0.0,0.0,0.0,0.0,0.0,-6.81301,1401.97,0.000102,-10.786,52.378,19.558,43.548,-221.322,-18.819000000000003,-14.614,0.0,-236.09,524.44,-622.04,248.87,-20.7880000037,57.4918076429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9392.765311,-9546.678415999999,0.0,0.0,0.0,0.2931,0.0,0.0,0.0,7.696625,-0.06936,-8.153361,-40.534040000000005,-34.8883123437,39.4592,0.0018899999999999998,145
swarm_1007_11.pdb,12,2,7,1,3,3,12,14,5,0,1,2,0,4,3,0.4633333333333334,0.37,0.5549999999999999,0.48,0.43,0.33,0.42,0.47857142857142865,0.542,0.42,0.495,0.0,0.73,0.0,0.8,1.1099999999999999,1.44,3.01,0.99,5.04,6.700000000000001,2.71,1.26,1.98,0.0,0.73,0.0,1.6,25.45,36.16,2272.790000000008,1030.3399999999965,1242.4400000000023,3.4641016151377544,1.0,3.4641016151377544,1.7320508075688772,3.7416573867739413,2.23606797749979,1.4142135623730951,2.6457513110645907,1.7320508075688772,1.7320508075688772,1.0,0.0,1.4142135623730951,0.0,2.0,3.3724,-6.02,2.56,-10.6,-17.8,-195.8,0.84,-188.02,181.04,-3.5,0.091752,-5.8,35.8,22.4,-20.0,41.22,13.0,25.2,32.6,-3.3,1.68,7.52,-319.2,0.5523946453999999,6.9,-6.543766000000001,-14.65,-32.878,-66.95,-58.25,-3299.22,7.68,6.59,18.35,20.06,-1562.5,-678.49,0.0,0.0,0.0,0.0,0.0,-5.6170599999999995,22.8934,0.000246,-9.658,18.709,-29.058000000000003,6.145,-262.659,-6.539,-1.548,0.0,-58.37,154.01,-295.1,120.54,-1549.767,31.9284658125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7094.99378,-7183.765090000001,0.0,0.0,0.0,-0.0293,0.0,0.0,0.0,-8.694103,-6.449525,-10.678519999999999,-22.340393,-19.131234310099998,32.5906,0.002362,69
swarm_1011_32.pdb,7,8,11,5,8,4,22,21,9,0,1,5,0,1,0,0.4528571428571429,0.336,0.505,0.52,0.38727272727272727,0.3675,0.47454545454545466,0.4761904761904764,0.3411111111111111,0.0,0.41,0.0,0.73,0.0,0.7040000000000001,4.04,2.08,4.26,2.94,10.440000000000003,10.000000000000004,3.07,0.0,0.41,0.0,0.73,0.0,3.5200000000000005,25.49,36.17,3094.4899999999907,1606.1800000000003,1488.2999999999956,2.6457513110645907,2.23606797749979,4.69041575982343,0.0,4.58257569495584,3.0,2.8284271247461903,3.3166247903554,2.8284271247461903,2.0,1.0,0.0,2.23606797749979,0.0,1.0,5.2016,2.654,10.16,-16.6,-19.0,-269.4,12.82,-211.42,238.88,-2.42,0.11823399999999999,-4.26,58.8,30.4,-31.2,89.35600000000001,20.0,39.8,54.0,6.32,30.42,10.34,-395.4,0.597760886,14.7,-13.144503,-27.04,-46.11,-71.34,-60.66,-5286.34,1.15,-20.49,-9.42,26.26,-2102.61,-935.01,0.0,0.0,0.0,0.0,0.0,-34.1945,-24.0129,0.00015900000000000002,-4.832,32.98,-99.59100000000001,18.189,-173.43,-10.966,-7.671,0.0,-191.15,408.02,-288.87,15.35,-739.4169999999999,69.1576518777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8430.576854,-8550.206419,0.0,0.0,0.0,-0.1584,0.0,0.0,0.0,4.657729,4.556332,-3.9866050000000004,-27.280761,-23.704480957399998,33.2344,0.001961,102
swarm_1012_72.pdb,8,5,10,3,4,3,24,26,4,0,0,0,4,2,0,0.4524999999999999,0.4066666666666667,0.516,0.52,0.426,0.335,0.48166666666666663,0.4765384615384616,0.6225,0.0,0.475,0.74,0.0,0.0,0.0,2.58,1.56,4.26,1.34,11.559999999999999,12.39,2.49,0.0,0.95,2.96,0.0,0.0,0.0,25.49,36.02,2426.75,1341.949999999997,1084.8199999999997,2.8284271247461903,1.7320508075688772,4.898979485566356,0.0,5.0990195135927845,2.0,2.23606797749979,3.1622776601683795,2.0,1.7320508075688772,0.0,0.0,0.0,2.0,1.4142135623730951,7.8478,-8.636000000000001,7.56,-22.2,-11.8,-243.8,11.22,-192.14,231.56,-7.32,0.00288,-11.52,62.4,37.4,-23.2,47.961999999999996,27.0,47.2,59.2,-0.94,42.44,16.82,-363.2,-1.1410843746,26.5,-11.006424,-11.94,-35.17,-57.95,-44.47,-3745.93,-4.14,-1.1,9.28,32.23,-1493.51,-671.65,0.0,0.0,0.0,0.0,0.0,-35.8115,107.801,0.00021600000000000002,-2.116,46.942,-63.986000000000004,38.427,-26.482,-7.082000000000001,-6.577999999999999,0.0,-160.86,335.19,-209.63,49.84,868.283,66.04559257560001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7272.793156000001,-7339.004406999999,0.0,0.0,0.0,0.125,0.0,0.0,0.0,-0.728061,-5.955678,-12.101486999999999,-26.020389,-28.598373134699997,34.7617,0.001215,93
swarm_10_129.pdb,5,0,5,6,7,0,8,7,4,0,0,0,0,0,3,0.518,0.37833333333333335,0.0,0.0,0.458,0.3071428571428572,0.46625,0.4857142857142857,0.52,0.5233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,2.1500000000000004,3.73,3.4,2.08,1.57,0.0,0.0,0.0,0.0,0.0,25.42,36.13,3493.4899999999907,1749.25,1744.2200000000012,2.23606797749979,2.449489742783178,2.8284271247461903,1.7320508075688772,2.6457513110645907,2.0,0.0,2.23606797749979,2.6457513110645907,0.0,0.0,0.0,0.0,0.0,0.0,7.6422,-9.298,7.22,-22.6,-21.2,-285.6,15.06,-264.18,304.24,-7.22,-0.028292,-13.28,69.2,41.0,-20.6,84.488,33.6,58.6,74.4,6.0,26.96,10.22,-520.2,-1.144337964,38.7,-9.711727999999999,-19.43,-44.248000000000005,-83.09,-61.92,-4162.43,-7.36,1.03,59.71,50.97,-1825.69,-51.55,0.0,0.0,0.0,0.0,0.0,-45.8569,608.044,0.000124,-24.726999999999997,40.722,-39.393,12.055,-34.876,-15.854000000000001,-15.192,0.0,-190.88,432.41,-422.52,75.45,5039.089,72.4383481122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8190.63171,-8318.273863,0.0,0.0,0.0,0.0845,0.0,0.0,0.0,-1.3507049999999998,-0.82737,-10.005594,-27.491821,-29.2498352456,37.6135,0.001644,45
swarm_1014_146.pdb,18,8,15,2,0,2,8,20,1,0,1,2,3,3,3,0.4305555555555556,0.44000000000000006,0.52,0.595,0.4133333333333332,0.0,0.435,0.48900000000000016,0.75,0.37333333333333335,0.4333333333333333,0.6233333333333334,0.46,0.0,0.635,4.16,1.19,6.199999999999998,0.0,3.48,9.780000000000003,0.75,1.12,1.2999999999999998,1.87,0.46,0.0,1.27,25.62,35.92,3289.109999999986,1238.3399999999965,2050.769999999997,4.242640687119285,1.4142135623730951,2.8284271247461903,1.7320508075688772,4.47213595499958,1.0,2.8284271247461903,3.872983346207417,0.0,1.4142135623730951,1.0,0.0,1.4142135623730951,1.7320508075688772,1.7320508075688772,9.0896,-7.124,2.54,-14.4,-26.6,-358.0,5.68,-307.58,312.5,-4.82,0.11646400000000001,-5.36,59.8,43.4,-22.6,-24.772,29.8,44.8,45.0,4.22,21.16,9.5,-530.4,2.9704683351999996,12.9,-13.862371,-30.12,-48.367,-85.92,-96.26,-7936.12,-40.29,-5.53,-18.96,19.97,-2274.48,-432.03,0.0,0.0,0.0,0.0,0.0,-44.2137,642.805,0.000144,-10.105,7.412999999999999,9.654,-1.726,-62.849,-10.762,-9.568,0.0,-174.27,70.41,-1254.77,174.2,3250.35,51.4420243538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8684.564195,-8826.917836,0.0,0.0,0.0,0.0297,0.0,0.0,0.0,-10.672208,-11.686057,-13.598212,-33.373334,-47.8392501433,36.0121,0.0014880000000000002,86
swarm_1015_131.pdb,12,6,15,5,5,2,16,12,4,0,2,0,0,6,0,0.41666666666666674,0.38,0.5233333333333334,0.595,0.4126666666666667,0.382,0.403125,0.49666666666666676,0.5774999999999999,0.0,0.3499999999999999,0.0,0.46,0.0,0.0,3.1400000000000006,1.19,6.19,1.9100000000000001,6.45,5.960000000000001,2.3099999999999996,0.0,2.0999999999999996,0.0,0.92,0.0,0.0,25.49,36.06,3320.5800000000017,1226.270000000004,2094.300000000003,3.4641016151377544,2.23606797749979,4.0,0.0,3.4641016151377544,2.0,2.449489742783178,3.872983346207417,2.23606797749979,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,2.449489742783178,5.8318,-3.358,0.86,-20.4,-35.4,-451.2,7.7,-349.32,353.88,-4.7,0.016486,-6.04,67.6,45.0,-29.6,11.662,26.4,43.6,45.8,-1.4,18.58,23.46,-594.2,2.2991629762,22.3,-12.152156,-28.92,-49.316,-113.31,-106.09,-8745.38,-15.01,-16.82,30.43,45.43,-2287.74,-184.91,0.0,0.0,0.0,0.0,0.0,-48.6751,1233.08,0.00015900000000000002,0.637,5.64,31.005,9.378,-71.25,-11.710999999999999,-10.357000000000001,0.0,-72.84,209.05,-1296.67,178.7,3688.947,75.4924509977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8789.623639,-8927.236947,0.0,0.0,0.0,0.0026,0.0,0.0,0.0,-4.246046,-10.504681,-12.523887,-33.296814000000005,-42.8277265064,36.4143,0.0014349999999999999,85
