Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_128.pdb,2,5,7,5,8,2,14,6,1,0,3,1,0,6,0,0.45499999999999996,0.426,0.55,0.665,0.46,0.34750000000000003,0.46214285714285713,0.47,0.26,0.0,0.445,0.0,0.53,0.0,0.7,2.75,1.33,3.22,2.7800000000000002,6.47,2.82,0.26,0.0,2.67,0.0,1.59,0.0,0.7,22.95,35.0,1869.6200000000026,838.539999999999,1031.0800000000017,1.4142135623730951,2.23606797749979,3.7416573867739413,0.0,2.449489742783178,1.0,2.23606797749979,2.6457513110645907,2.8284271247461903,1.4142135623730951,1.7320508075688772,0.0,1.0,0.0,2.449489742783178,2.5258,0.804,4.08,-2.8,-14.2,-147.0,2.54,-159.92,145.64,2.44,0.03143,3.9,16.2,10.6,-17.0,8.344,10.8,16.2,18.0,-1.08,9.34,11.72,-257.0,-0.1557963086,3.9,-9.222666,-16.94,-27.631999999999998,-52.52,-39.69,-3773.7,2.91,-8.0,-34.89,-18.28,-1180.72,-451.78,0.0,0.0,0.0,0.0,0.0,-59.0769,110.15100000000001,0.000285,-8.26,12.38,-46.602,-0.54,1.165,-6.787000000000001,-6.809,0.0,-206.3,73.6,-371.45,28.62,-9186.109,26.1427537175,-2.431,2.55,1.182,-1.162,104.4,-3920.0,13.72,13.39,-3816.0,-1.264,1.3359999999999999,1.087,1.179,72.12,-515.5,9.241,1.222,-451.4,-4867.314974,-4940.761305,1201.01,-1445.51,2646.51,-0.1218,0.0,0.0,0.0,-2.5712040000000003,-6.434551,-8.630377000000001,-15.391632999999999,-22.786247650900002,4.16646,0.0023,60
swarm_0_157.pdb,9,0,9,2,4,0,10,2,3,0,1,0,2,2,2,0.47111111111111126,0.39,0.0,0.0,0.44999999999999996,0.44,0.5,0.5,0.51,0.34,0.47,0.76,0.65,0.0,0.0,0.0,0.0,4.05,1.76,5.0,1.0,1.53,0.68,0.94,1.52,0.65,0.0,0.0,22.68,35.15,1554.7999999999993,746.5600000000013,808.2400000000016,3.0,1.4142135623730951,3.1622776601683795,1.4142135623730951,1.4142135623730951,1.7320508075688772,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1.4142135623730951,1.4142135623730951,2.7504,-1.9180000000000001,2.64,-3.2,-6.4,-91.6,3.54,-86.1,91.76,-0.48,0.023516,-3.16,22.6,13.4,-5.0,26.136,12.6,19.0,20.2,2.62,10.06,7.18,-154.4,-0.2383076168,10.0,-7.827808,-8.88,-21.971999999999998,-40.44,-26.87,-1218.57,-16.54,-7.66,12.88,6.29,-963.62,-731.78,0.0,0.0,0.0,0.0,0.0,-22.1227,-14.5682,0.000389,-2.082,19.772000000000002,-55.163000000000004,12.174000000000001,7.678999999999999,-3.965,-4.111000000000001,0.0,-112.73,78.87,-182.32,-30.85,-8382.874,34.6181130977,-1.72,1.581,-2.126,-0.7311,12.83,-3449.0,-11.12,-22.05,-3447.0,-0.0467,0.1388,0.2691,-0.4006,73.36,-471.5,5.664,-5.496,-409.3,-4200.757243999999,-4239.023532,1943.89,-1131.98,3075.87,-0.0798,0.0,0.0,0.0,0.442166,-0.8663860000000001,-4.422328,-8.104743,-14.3296847071,4.27,0.004783,46
swarm_0_161.pdb,12,1,2,6,7,1,21,9,1,0,0,0,3,3,3,0.4658333333333333,0.31833333333333336,0.35,0.32,0.38,0.2914285714285714,0.4561904761904761,0.47111111111111104,0.81,0.42,0.5099999999999999,0.6333333333333334,0.0,0.0,0.0,0.35,0.32,0.76,2.04,9.579999999999998,4.239999999999999,0.81,1.26,1.5299999999999998,1.9000000000000001,0.0,0.0,0.0,22.95,35.91,1761.2799999999988,767.3299999999981,993.9500000000007,3.4641016151377544,2.449489742783178,4.58257569495584,1.7320508075688772,3.0,1.0,1.0,1.4142135623730951,2.6457513110645907,1.0,0.0,0.0,0.0,1.7320508075688772,1.7320508075688772,6.4462,-2.6319999999999997,9.68,-7.6,-9.0,-186.6,12.1,-153.94,182.86,0.14,-0.05615,0.66,53.0,34.2,-4.8,47.77,22.0,35.6,44.6,8.22,21.22,14.14,-282.8,1.2529659923999998,22.5,-5.637253,-10.87,-23.174,-59.72,-53.41,-2593.64,-13.57,-2.06,57.78,43.77,-995.97,158.27,0.0,0.0,0.0,0.0,0.0,-33.9802,497.381,0.000335,-10.710999999999999,11.865,17.202,2.8739999999999997,-26.308000000000003,-9.097000000000001,-8.597000000000001,0.0,-115.14,190.38,-482.98,112.28,-9783.689,53.777821918,-1.993,2.01,-0.5715,-1.86,-108.7,-4009.0,-0.406,-20.68,-4138.0,-1.0590000000000002,0.9942,-0.3222,-0.04858,12.94,-535.6,6.6979999999999995,-8.638,-538.0,-4492.14526,-4556.281312,2059.47,-1242.99,3302.47,0.1632,0.0,0.0,0.0,-7.686422,-14.116926000000001,-6.075284,-17.610904,-18.822788778,4.89784,0.004188,69
swarm_0_169.pdb,7,4,9,3,2,1,8,14,1,0,2,1,1,4,1,0.4071428571428571,0.4766666666666666,0.515,0.32,0.41,0.38,0.5,0.5085714285714287,0.75,0.51,0.44499999999999995,0.68,0.5650000000000001,0.0,0.57,2.06,0.32,3.69,0.76,4.0,7.120000000000001,0.75,0.51,1.7799999999999998,0.68,1.1300000000000001,0.0,0.57,22.88,35.47,2023.6800000000003,986.7199999999993,1036.9599999999991,2.6457513110645907,1.7320508075688772,2.8284271247461903,1.0,3.7416573867739413,1.0,2.0,3.0,1.4142135623730951,1.0,1.4142135623730951,0.0,1.0,1.0,2.0,3.4638,-3.642,3.02,-10.0,-18.6,-179.0,3.3,-160.46,162.32,-3.4,-0.020308,-5.86,26.8,14.2,-20.8,12.08,15.0,23.6,28.0,-3.04,12.5,9.3,-277.4,-0.7167324494,8.9,-8.077917999999999,-17.22,-29.044,-61.0,-51.39,-3578.55,-5.43,-0.4,16.55,18.01,-1309.85,-280.52,0.0,0.0,0.0,0.0,0.0,-54.485,1.76911,0.000283,-2.4730000000000003,14.629000000000001,-39.35,8.221,21.521,-3.1,-3.509,0.0,-56.98,148.09,-451.36,30.43,-8254.74,30.2522275656,-1.811,1.625,-1.742,-0.259,357.8,-4526.0,-12.06,15.6,-4141.0,-0.9242,0.6911,-0.04892,1.446,108.1,-572.9,6.356,3.6660000000000004,-467.5,-5090.104713000001,-5166.346767,2307.76,-1489.75,3797.5,0.0699,0.0,0.0,0.0,-2.338314,-6.303913,-5.558607,-16.007953,-16.7444394626,5.206980000000001,0.0045520000000000005,58
swarm_0_69.pdb,11,2,6,4,8,0,14,8,2,0,1,0,3,6,2,0.42818181818181816,0.35750000000000004,0.53,0.0,0.3566666666666667,0.3675,0.47285714285714286,0.49375,0.42000000000000004,0.34,0.4766666666666666,0.63,0.65,0.0,0.0,1.06,0.0,2.14,2.94,6.62,3.95,0.8400000000000001,0.68,2.86,1.8900000000000001,0.65,0.0,0.0,23.39,34.63,1744.1899999999987,746.1800000000003,998.0100000000002,3.3166247903554,2.0,3.7416573867739413,1.4142135623730951,2.8284271247461903,1.4142135623730951,1.4142135623730951,2.449489742783178,2.8284271247461903,0.0,1.0,0.0,0.0,1.7320508075688772,2.449489742783178,6.7316,-2.1959999999999997,6.54,-7.4,-2.0,-143.2,8.5,-155.22,167.44,0.16,0.042788,-2.26,46.8,31.4,-3.2,55.12,28.0,38.4,42.6,6.0,9.16,15.48,-269.0,1.8519386871999999,16.0,-7.635039999999999,-12.41,-25.293000000000003,-48.24,-41.09,-2820.77,1.1,-2.46,54.94,57.36,-1063.0,-151.32,0.0,0.0,0.0,0.0,0.0,-35.9579,246.43099999999998,0.000383,-10.19,12.68,-12.872,1.203,-45.726000000000006,-7.291,-6.422000000000001,0.0,-65.54,222.79,-448.79,197.92,-8705.661,54.6056702807,-2.4330000000000003,2.381,-0.8543,-1.023,-165.3,-4441.0,-3.181,-26.92,-4630.0,-0.7809999999999999,1.04,1.871,0.7129,36.16,-551.4,13.68,-6.984,-535.9,-4693.118054,-4766.15644,2697.34,-1299.09,3996.45,-0.0216,0.0,0.0,0.0,-3.17624,-6.815003999999999,-6.919922,-20.863464,-16.5653908134,9.652660000000001,0.004239,67
swarm_0_76.pdb,7,4,4,9,7,0,13,5,3,1,1,0,1,6,2,0.49142857142857144,0.37,0.49750000000000005,0.0,0.41000000000000003,0.35571428571428576,0.4892307692307692,0.49000000000000005,0.3666666666666667,0.51,0.5383333333333332,0.68,0.58,0.9,0.0,1.9900000000000002,0.0,1.6400000000000001,2.49,6.359999999999999,2.45,1.1,1.02,3.2299999999999995,0.68,0.58,0.9,0.0,22.97,35.36,1801.9199999999983,759.3000000000011,1042.619999999999,2.6457513110645907,3.0,3.605551275463989,1.4142135623730951,2.23606797749979,1.7320508075688772,2.0,2.0,2.6457513110645907,0.0,1.0,1.0,0.0,1.0,2.449489742783178,6.1138,2.39,5.4,-8.0,-4.2,-131.6,11.54,-117.74,152.96,-0.96,-0.007176,-1.28,44.0,26.4,-3.8,38.926,20.8,30.4,39.0,8.76,17.78,17.16,-248.8,2.0304570047999997,20.7,-9.269884,-18.33,-27.116,-61.8,-54.74,-3955.76,-0.48,-1.49,-21.63,13.87,-1112.23,-440.13,0.0,0.0,0.0,0.0,0.0,-61.4619,-5.86113,0.000359,-2.2,9.259,-33.21,3.738,-0.39899999999999997,-7.553,-7.545,0.0,-136.75,197.67,-228.31,38.36,-5563.22,41.2784283217,-3.266,3.2510000000000003,0.8592,0.2164,-145.8,-3787.0,11.24,5.6160000000000005,-3938.0,-2.912,2.759,0.8528,1.944,-16.66,-480.0,9.743,-2.8930000000000002,-509.3,-4843.518065,-4916.784563,1211.21,-1422.61,2633.82,-0.107,0.0,0.0,0.0,-0.986475,-5.110167,-14.576857,-20.803951,-19.2830909837,8.30633,0.0040950000000000005,63
swarm_100_196.pdb,5,1,1,3,1,6,6,3,4,1,0,1,2,0,0,0.438,0.26666666666666666,0.45,0.49,0.43,0.16,0.5433333333333333,0.47,0.535,0.0,0.0,0.85,0.0,0.9,0.72,0.45,2.94,0.43,0.16,3.2600000000000002,1.41,2.14,0.0,0.0,1.7,0.0,0.9,0.72,22.87,35.43,1126.3999999999978,449.0799999999981,677.3200000000015,2.23606797749979,1.7320508075688772,2.449489742783178,0.0,1.7320508075688772,2.0,1.0,1.0,1.0,2.449489742783178,0.0,1.0,1.0,1.4142135623730951,0.0,2.1488,0.47200000000000003,0.9,-6.6,-12.4,-104.2,3.1,-91.3,90.64,-1.2,0.04258,-2.8,19.2,9.6,-8.2,64.25399999999999,3.6,11.6,15.4,4.92,4.66,-5.46,-158.0,-0.11139782320000001,2.6,-6.245625,-10.5,-17.608,-36.57,-38.34,-1408.93,-10.6,-4.17,-9.49,6.48,-885.71,-243.9,0.0,0.0,0.0,0.0,0.0,-31.9544,250.949,0.000509,-6.772,-6.314,7.0760000000000005,-12.378,-140.835,-1.354,1.3219999999999998,0.0,-103.77,53.14,-525.94,39.55,-210.22099999999998,16.4798083574,-2.1919999999999997,2.194,-0.9234,-2.108,-136.3,-2358.0,-3.0210000000000004,-20.01,-2511.0,-0.9203,0.7812,-1.446,-1.037,14.65,-324.2,0.0334,-5.013,-314.6,-3870.076453,-3918.545964,1372.16,-978.7,2350.87,0.0753,0.0,0.0,0.0,1.343826,-2.649029,-5.521343,-9.726417999999999,-12.1038438442,3.75049,0.004118,34
swarm_100_1.pdb,7,4,0,4,3,6,11,5,7,1,0,2,1,0,1,0.41000000000000003,0.315,0.45999999999999996,0.4549999999999999,0.0,0.24,0.450909090909091,0.476,0.5628571428571428,0.34,0.0,0.88,0.0,0.78,0.84,1.8399999999999999,2.7299999999999995,0.0,0.72,4.960000000000001,2.38,3.94,0.34,0.0,0.88,0.0,0.78,1.68,22.22,36.28,1314.0300000000025,598.6899999999987,715.3400000000001,2.6457513110645907,2.0,3.3166247903554,1.0,2.23606797749979,2.6457513110645907,2.0,0.0,1.7320508075688772,2.449489742783178,0.0,1.0,1.4142135623730951,1.0,0.0,3.2468,-8.974,-1.84,-18.2,-14.8,-141.4,6.26,-97.8,120.6,-7.2,0.086124,-10.28,37.0,15.6,-16.6,82.584,9.0,17.8,27.2,8.46,8.86,-3.3,-193.6,-0.12223475,15.3,-11.510863,-13.73,-20.207,-50.19,-50.36,-2656.81,-26.95,-15.38,-11.85,6.96,-892.35,-466.54,0.0,0.0,0.0,0.0,0.0,-38.4953,-54.1394,0.00048499999999999997,-10.186,4.671,-56.32,-11.147,-82.044,-4.542,-2.983,0.0,-202.72,189.92,-382.95,22.34,110.338,20.836809185499998,-2.1109999999999998,2.146,-0.6102,-2.197,-61.82,-2536.0,-0.1142,-26.2,-2624.0,-2.597,1.98,-1.014,1.818,-18.2,-357.7,2.103,-2.401,-380.4,-4174.22462,-4235.616847,1739.05,-1097.22,2836.27,0.0678,0.0,0.0,0.0,-6.0393419999999995,-4.740839,-14.528092000000001,-17.570347,-12.4713018461,3.01113,0.00475,52
swarm_101_148.pdb,2,4,1,1,3,2,3,3,2,0,0,0,2,4,0,0.505,0.31,0.5475000000000001,0.575,0.34,0.3233333333333333,0.52,0.48666666666666664,0.78,0.0,0.4975,0.52,0.0,0.0,0.0,2.1900000000000004,1.15,0.34,0.97,1.56,1.46,1.56,0.0,1.99,1.04,0.0,0.0,0.0,22.37,36.02,978.890000000003,454.4499999999989,524.4400000000005,1.4142135623730951,1.0,1.7320508075688772,0.0,1.7320508075688772,1.4142135623730951,2.0,1.0,1.7320508075688772,1.4142135623730951,0.0,0.0,0.0,1.4142135623730951,2.0,2.4144,-3.638,0.3,-6.8,-11.4,-87.8,2.06,-92.36,90.86,-1.5,0.004878,-2.58,21.4,11.4,-6.8,48.92,9.2,14.4,14.2,-0.3,-5.06,1.58,-166.4,0.0136573508,2.7,-8.644436,-8.88,-16.918,-11.83,-15.73,-2228.3,-11.0,-7.33,-46.96,-18.15,-751.59,-433.75,0.0,0.0,0.0,0.0,0.0,-11.7037,-61.6421,0.000683,-3.7569999999999997,2.995,-42.36,-4.998,-61.518,-0.955,0.214,0.0,-136.93,73.84,-172.86,-6.02,-3691.638,25.091949448,-3.052,3.0860000000000003,0.5257,-0.1333,-45.47,-2030.0,4.363,-12.47,-2092.0,-2.494,2.059,-0.8342,2.367,5.351,-270.2,1.198,-2.053,-268.1,-3743.2479710000002,-3773.332219,1293.35,-916.3,2209.67,-0.1013,0.0,0.0,0.0,-2.9017880000000003,-1.427477,-7.81557,-11.218475999999999,-7.027778413049999,6.882160000000001,0.002815,27
swarm_101_188.pdb,2,6,4,0,4,4,12,7,5,1,1,2,0,1,0,0.4,0.0,0.48666666666666664,0.5725,0.36749999999999994,0.4,0.47666666666666674,0.4771428571428572,0.55,0.0,0.55,0.0,0.88,0.9,0.8200000000000001,2.92,2.29,1.4699999999999998,1.6,5.720000000000001,3.3400000000000003,2.75,0.0,0.55,0.0,0.88,0.9,1.6400000000000001,22.85,35.52,1372.7400000000016,676.7000000000007,696.0300000000007,1.4142135623730951,0.0,3.4641016151377544,0.0,2.6457513110645907,2.23606797749979,2.449489742783178,2.0,2.0,2.0,1.0,1.0,1.4142135623730951,0.0,1.0,2.1644,-0.382,3.62,-6.0,-15.8,-126.6,2.24,-119.02,112.2,-0.66,0.085684,0.04,14.6,5.6,-19.2,39.224000000000004,6.8,11.8,16.8,1.82,16.88,3.56,-192.8,0.0928446994,-5.9,-7.933552000000001,-10.14,-20.584,-34.32,-26.6,-4214.79,-4.33,-11.58,-1.62,5.57,-787.72,-5.39,0.0,0.0,0.0,0.0,0.0,-50.4426,-89.6214,0.00045599999999999997,-0.42,3.533,-24.833000000000002,0.631,-60.062,-1.681,-0.54,0.0,-101.62,60.87,-526.62,21.48,-6967.923000000001,23.4474158413,-2.499,2.427,-0.7979,-1.077,371.8,-2837.0,-3.782,10.32,-2451.0,-1.528,1.276,-0.879,0.8125,91.98,-438.8,2.077,2.296,-346.6,-4233.161085,-4285.762441,1369.16,-1083.21,2452.35,-0.1233,0.0,0.0,0.0,5.517003,2.175052,-8.174372,-18.723077,-12.43503533,6.7180800000000005,0.002898,49
