Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_104.pdb,5,1,4,9,16,4,12,2,8,0,0,0,1,3,0,0.484,0.35111111111111115,0.53,0.56,0.4425,0.3525000000000001,0.44249999999999995,0.5,0.55375,0.0,0.5633333333333334,0.83,0.0,0.0,0.0,0.53,2.24,1.77,5.6400000000000015,5.31,1.0,4.43,0.0,1.6900000000000002,0.83,0.0,0.0,0.0,34.26,34.96,2226.37000000001,1104.1900000000023,1122.1699999999983,2.23606797749979,3.0,3.4641016151377544,0.0,1.4142135623730951,2.8284271247461903,1.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1.7320508075688772,3.6242,0.11599999999999999,1.78,-5.2,-10.8,-168.2,9.5,-122.9,137.64,-1.0,0.016696000000000003,-2.58,43.2,25.2,-6.4,116.08200000000001,13.4,23.4,30.4,10.68,12.44,10.96,-227.8,1.0928063512000001,22.5,-9.763857000000002,-13.03,-36.352,-49.84,-36.83,-3555.73,-0.33,3.0,-1.01,24.15,-1396.51,-591.31,0.0,0.0,0.0,0.0,0.0,-39.0748,274.817,0.00023500000000000002,-8.498,29.11,-50.881,15.523,-82.662,-8.549,-6.978,0.0,-147.92,271.72,-449.96,121.88,2266.243,57.349402283900005,-3.594,3.7,1.53,-1.0859999999999999,-254.8,-4172.0,18.8,-5.765,-4451.0,-2.314,2.515,0.991,-0.01726,-1.91,-493.2,8.371,-6.819,-510.3,-6560.870945000001,-6644.766516,4479.14,-1818.66,6297.79,-0.0232,0.0,0.0,0.0,5.183708,3.470271,5.352419,-8.160617,-15.1427596173,13.7202,0.005554,65
swarm_0_118.pdb,5,4,10,5,7,0,20,8,15,0,0,1,0,2,0,0.418,0.306,0.5225,0.0,0.392,0.3071428571428571,0.4505,0.46875,0.48533333333333334,0.0,0.44499999999999995,0.0,0.0,0.0,0.67,2.09,0.0,3.9200000000000004,2.15,9.01,3.75,7.28,0.0,0.8899999999999999,0.0,0.0,0.0,0.67,34.21,34.9,2442.9100000000035,1206.9099999999999,1235.989999999998,2.23606797749979,2.23606797749979,4.47213595499958,0.0,2.8284271247461903,3.872983346207417,2.0,3.1622776601683795,2.6457513110645907,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,4.379,-4.626,4.94,-12.4,-13.6,-193.6,11.44,-155.9,176.06,-2.4,-0.025648,-6.18,64.8,35.4,-13.4,143.27200000000002,17.8,31.4,45.2,5.82,25.82,23.94,-292.8,0.2133636714,29.1,-7.653508,-14.63,-34.997,-55.84,-56.27,-3473.19,7.47,-2.03,14.95,23.22,-1224.37,-275.58,0.0,0.0,0.0,0.0,0.0,-42.3627,57.0131,0.000218,-10.877,41.168,-57.726000000000006,24.519000000000002,27.58,-10.219,-10.743,0.0,-143.05,311.07,-128.52,-16.59,5446.74,70.88074926350001,-2.7710000000000004,2.793,0.5406,-0.9134,278.3,-4994.0,10.32,-26.07,-4752.0,-0.0987,-0.01944,1.52,2.91,85.35,-664.1,13.09,0.841,-591.0,-6393.449436,-6483.118203,5017.74,-1729.93,6747.65,0.0794,0.0,0.0,0.0,-1.7601220000000002,-8.354842999999999,-1.6796400000000002,-14.899707000000001,-19.5226185127,13.2564,0.003195,77
swarm_0_138.pdb,3,0,2,8,8,3,14,2,13,0,1,0,0,3,1,0.48666666666666664,0.35750000000000004,0.0,0.5166666666666666,0.44,0.38875000000000004,0.49214285714285716,0.515,0.48615384615384616,0.48,0.61,0.0,0.83,0.0,0.0,0.0,1.5499999999999998,0.88,3.1100000000000003,6.890000000000001,1.03,6.32,0.48,1.83,0.0,0.83,0.0,0.0,34.03,34.9,2161.0800000000017,1059.9699999999975,1101.1000000000022,1.7320508075688772,2.8284271247461903,3.7416573867739413,1.0,1.4142135623730951,3.605551275463989,0.0,1.4142135623730951,2.8284271247461903,1.7320508075688772,1.0,0.0,0.0,0.0,1.7320508075688772,2.739,-8.1,-0.4,-13.0,-16.8,-158.8,8.0,-141.08,147.6,-3.62,0.005692,-6.66,55.2,27.8,-12.4,113.65799999999999,12.0,23.2,34.0,5.92,14.26,14.42,-252.4,0.0925483912,22.7,-8.475541999999999,-11.49,-35.330999999999996,-58.0,-43.08,-4245.23,-0.85,-3.59,12.48,26.43,-1218.43,-695.46,0.0,0.0,0.0,0.0,0.0,-34.093,-1.79693,0.00020299999999999997,-11.171,32.863,-78.133,13.879000000000001,10.443,-5.858,-6.057,0.0,-180.39,245.64,-177.74,48.36,6447.101,47.6498514574,-4.22,4.218999999999999,0.7415,-0.6886,59.52,-4178.0,10.2,-1.426,-4130.0,-2.274,2.0909999999999997,0.6887,2.541,42.86,-551.4,8.213,2.251,-514.5,-6397.076307,-6467.500844,5137.9,-1761.21,6899.12,0.1684,0.0,0.0,0.0,-8.522981,-11.036031,-12.23395,-20.519270000000002,-12.8596970806,13.168,0.003793,58
swarm_0_186.pdb,2,0,0,5,7,2,15,4,9,0,0,0,0,1,1,0.5349999999999999,0.388,0.0,0.6,0.0,0.36,0.43,0.5525,0.5211111111111111,0.34,0.48,0.0,0.0,0.0,0.0,0.0,1.2,0.0,2.52,6.45,2.21,4.6899999999999995,0.34,0.48,0.0,0.0,0.0,0.0,34.26,34.78,1662.8599999999933,857.0299999999988,805.8199999999997,1.4142135623730951,2.23606797749979,3.872983346207417,1.0,2.0,3.0,0.0,0.0,2.6457513110645907,1.4142135623730951,0.0,0.0,0.0,0.0,1.0,1.4244,-4.7139999999999995,-0.6,-16.0,-17.8,-132.2,5.92,-85.34,102.42,-5.64,0.034645999999999996,-9.76,38.0,16.4,-11.8,84.198,4.6,14.4,21.2,-0.34,4.78,7.28,-177.2,-0.289497844,16.4,-7.579851,-5.91,-27.943,-35.7,-21.98,-2462.0,-0.57,6.3,-6.13,14.51,-972.26,-443.95,0.0,0.0,0.0,0.0,0.0,-6.046469999999999,100.352,0.000331,-4.898,29.695999999999998,-60.18600000000001,18.78,-93.04,-4.226,-2.458,0.0,-99.74,203.39,-116.44,-43.93,7830.181,49.8422328294,-4.093999999999999,3.9810000000000003,-0.3764,0.2095,14.9,-3510.0,2.076,-23.83,-3521.0,-1.6769999999999998,1.335,0.3617,3.4360000000000004,40.05,-421.2,5.912999999999999,1.062,-386.0,-5544.831783,-5592.2982409999995,5238.53,-1395.02,6633.56,0.0177,0.0,0.0,0.0,-4.281895,-10.579424000000001,-4.744405,-12.741221000000001,-6.650719336360001,11.8946,0.005,46
swarm_0_189.pdb,10,0,9,7,13,3,12,7,6,0,4,0,0,2,1,0.469,0.3814285714285715,0.0,0.5866666666666666,0.42888888888888893,0.326923076923077,0.44333333333333336,0.5071428571428571,0.5516666666666666,0.34,0.48,0.0,0.7749999999999999,0.0,0.0,0.0,1.7599999999999998,3.8600000000000003,4.250000000000001,5.32,3.55,3.31,0.34,0.96,0.0,3.0999999999999996,0.0,0.0,34.76,34.22,2141.6600000000035,998.8400000000001,1142.8099999999977,3.1622776601683795,2.6457513110645907,3.4641016151377544,1.0,2.6457513110645907,2.449489742783178,0.0,3.0,3.605551275463989,1.7320508075688772,2.0,0.0,0.0,0.0,1.4142135623730951,3.4284,-3.4360000000000004,3.02,-5.4,-14.6,-157.6,7.04,-153.58,155.16,-1.36,0.073456,-3.78,46.0,33.0,-4.4,77.362,16.4,26.6,31.2,-1.22,4.66,-0.84,-287.0,-0.3158158152,15.5,-9.197564999999999,-16.1,-35.689,-61.74,-50.9,-4268.63,0.98,2.77,-17.02,5.99,-1115.23,-105.86,0.0,0.0,0.0,0.0,0.0,-68.3298,373.27,0.000304,-10.509,30.23,-44.13,15.308,-89.619,-6.778,-5.075,0.0,-160.4,248.38,-281.69,77.66,4117.795999999999,66.1203710435,-4.681,4.692,0.9372,-0.6759999999999999,-286.5,-4222.0,15.52,-23.56,-4548.0,-2.145,2.331,1.125,0.7748,-5.917000000000001,-578.2,10.82,-6.167000000000001,-601.1,-6580.782529,-6654.557103,4121.3,-1778.08,5899.37,0.0034,0.0,0.0,0.0,1.8582990000000001,-3.12617,-8.261728,-27.283340999999997,-19.7678071431,17.0859,0.0046619999999999995,74
swarm_0_66.pdb,12,3,11,26,23,5,27,3,24,0,6,1,4,6,2,0.4608333333333334,0.36730769230769234,0.5033333333333333,0.552,0.4418181818181818,0.31695652173913047,0.4585185185185186,0.47333333333333333,0.4566666666666667,0.41000000000000003,0.4749999999999999,0.675,0.635,0.0,0.67,1.5099999999999998,2.7600000000000002,4.859999999999999,7.290000000000001,12.380000000000003,1.42,10.96,0.8200000000000001,2.8499999999999996,2.7,3.81,0.0,0.67,34.31,34.49,4380.979999999996,1953.6100000000006,2427.3600000000006,3.4641016151377544,5.0990195135927845,5.196152422706632,1.4142135623730951,1.7320508075688772,4.898979485566356,1.7320508075688772,3.3166247903554,4.795831523312719,2.23606797749979,2.449489742783178,0.0,1.0,2.0,2.449489742783178,10.9564,-1.274,12.28,-16.0,-21.0,-360.8,25.6,-329.66,369.66,-1.14,0.17142000000000002,-4.1,138.2,87.2,-3.4,337.46,46.6,74.2,96.4,23.58,60.44,14.82,-616.8,0.9845928298000001,49.6,-9.056834,-28.05,-68.205,-119.32,-91.26,-8201.73,17.35,6.38,122.0,108.78,-2421.46,-179.99,0.0,0.0,0.0,0.0,0.0,9.95996,2509.5,0.000117,3.555,55.855,-28.22,56.588,51.96,-18.475,-19.462,0.0,-268.45,654.24,-600.63,291.19,7081.059,98.2634178056,-5.466,5.496,1.787,0.1097,-549.5,-8603.0,45.31,-58.06,-9256.0,-2.6519999999999997,2.677,1.9869999999999999,2.889,-0.2294,-1198.0,25.17,-9.996,-1233.0,-9960.355751000001,-10138.935126,8928.47,-3336.16,12264.63,0.2829,0.0,0.0,0.0,4.009363,-3.7582489999999997,0.085504,-27.225251,-28.2848645839,23.4471,0.002954,153
swarm_0_8.pdb,5,1,6,14,9,0,12,4,9,0,1,0,0,0,3,0.49399999999999994,0.3564285714285714,0.4,0.0,0.36166666666666664,0.36555555555555563,0.4858333333333333,0.54,0.5299999999999999,0.37333333333333335,0.0,0.0,0.46,0.0,0.0,0.4,0.0,2.17,3.2900000000000005,5.829999999999999,2.16,4.77,1.12,0.0,0.0,0.46,0.0,0.0,34.33,34.85,2369.3900000000067,1025.9000000000015,1343.5000000000036,2.23606797749979,3.7416573867739413,3.4641016151377544,1.7320508075688772,2.0,3.0,1.0,2.449489742783178,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0764,-2.266,6.94,-10.6,-11.4,-201.2,12.46,-150.24,176.3,-1.46,0.032468000000000004,-1.34,63.0,41.8,0.6,181.88400000000001,17.0,33.4,40.2,8.84,31.74,7.14,-281.0,0.8666680631999999,22.6,-9.259598,-17.19,-38.328,-74.17,-47.54,-3484.9,27.89,-9.04,5.36,13.27,-1434.58,-537.95,0.0,0.0,0.0,0.0,0.0,-42.0233,65.7356,0.000276,-3.233,20.23,-81.653,8.832,-63.794,-6.053999999999999,-4.842,0.0,-166.56,284.91,-412.83,41.89,5136.529,48.265567093,-4.47,4.333,-1.101,-1.1540000000000001,-354.8,-4805.0,0.8923,-26.64,-5188.0,-2.097,2.057,0.705,1.682,0.7627,-587.9,10.45,-5.416,-603.0,-6742.876283,-6842.579773,4842.37,-1875.43,6717.8,0.1959,0.0,0.0,0.0,5.237432,1.98233,-4.815763,-16.999626,-16.5594963916,15.9768,0.0036090000000000002,64
swarm_10_104.pdb,3,2,4,9,15,11,9,2,17,2,7,6,4,9,3,0.49333333333333335,0.4655555555555555,0.56,0.5881818181818181,0.4325,0.38133333333333325,0.4733333333333334,0.495,0.46176470588235297,0.37333333333333335,0.43222222222222223,0.6775,0.6057142857142858,0.6950000000000001,0.5950000000000001,1.12,6.47,1.73,5.719999999999999,4.260000000000001,0.99,7.8500000000000005,1.12,3.89,2.71,4.24,1.3900000000000001,3.5700000000000003,34.28,34.28,2646.429999999993,1356.9699999999975,1289.4500000000007,1.7320508075688772,3.0,3.0,1.7320508075688772,1.4142135623730951,4.123105625617661,1.4142135623730951,2.0,3.872983346207417,3.3166247903554,2.6457513110645907,1.4142135623730951,2.449489742783178,2.0,3.0,3.0576,3.182,-0.62,-8.6,-24.0,-243.6,5.16,-247.88,249.52,-1.66,-0.001598,-2.5,35.0,17.8,-23.8,124.38600000000001,30.8,48.6,52.6,1.02,17.1,5.26,-423.8,-0.1770107574,-4.1,-13.119892000000002,-18.77,-39.935,-64.79,-54.68,-5883.24,2.78,-0.82,22.33,14.03,-1627.06,56.07,0.0,0.0,0.0,0.0,0.0,12.7613,1974.87,0.00022200000000000003,-0.536,26.619,30.99,29.182,-308.316,-6.485,-0.627,0.0,-205.76,239.79,-434.67,25.16,107.321,7.840134433589999,-3.112,2.844,-1.034,0.5552,-207.4,-5078.0,-5.058,33.75,-5247.0,-2.307,2.193,0.7611,1.936,-12.01,-704.2,10.96,6.465,-720.7,-7033.055106999999,-7106.693604000001,3936.19,-2076.32,6012.49,0.3389,0.0,0.0,0.0,-0.9674299999999999,-3.142882,-3.3555650000000004,-14.870393,-23.3606256299,12.6141,0.004155,103
swarm_10_110.pdb,5,1,3,13,11,5,12,1,8,0,3,1,2,10,4,0.472,0.47769230769230775,0.58,0.524,0.43333333333333335,0.3418181818181818,0.48166666666666674,0.44,0.54625,0.36500000000000005,0.40700000000000003,0.83,0.6633333333333332,0.0,0.74,0.58,2.62,1.3,3.76,5.780000000000001,0.44,4.37,1.4600000000000002,4.07,1.66,1.9899999999999998,0.0,0.74,34.03,34.72,2190.3700000000026,950.2400000000016,1240.1399999999994,2.23606797749979,3.605551275463989,3.4641016151377544,2.0,1.0,2.8284271247461903,1.0,1.7320508075688772,3.3166247903554,2.23606797749979,1.7320508075688772,0.0,1.0,1.4142135623730951,3.1622776601683795,5.0396,-2.792,6.0,-6.8,-8.4,-176.2,7.16,-184.7,193.1,0.46,0.038078,1.32,40.8,24.6,-7.0,85.976,24.6,36.2,41.0,3.84,17.46,13.74,-323.0,2.251753288,10.0,-8.46304,-19.62,-33.321999999999996,-77.64,-49.78,-3945.94,36.27,4.57,2.42,17.85,-1184.7,-217.3,0.0,0.0,0.0,0.0,0.0,-51.8892,803.029,0.000258,-14.127,11.821,0.469,-2.259,-301.67900000000003,-4.387,1.345,0.0,-104.57,117.82,-444.88,66.13,1489.0620000000001,23.0411456006,-3.383,3.2310000000000003,0.4403,1.07,-514.9,-4384.0,13.91,-7.441,-4920.0,-2.8489999999999998,2.7289999999999996,0.5881,1.305,-21.38,-610.3,8.535,-1.7819999999999998,-642.0,-6404.2096950000005,-6474.027609000001,2889.67,-1718.42,4608.08,0.0177,0.0,0.0,0.0,4.510721,6.768382000000001,-8.473931,-19.936204,-16.436439156400002,14.5665,0.003582,79
swarm_101_133.pdb,49,16,70,35,90,25,67,28,33,4,50,28,10,38,15,0.4736734693877553,0.37399999999999983,0.495,0.5940000000000001,0.3957142857142859,0.34766666666666657,0.4511940298507462,0.5200000000000001,0.4778787878787878,0.4726666666666667,0.515,0.717,0.7119999999999997,0.5925,0.6825,7.92,14.850000000000001,27.700000000000014,31.289999999999992,30.229999999999993,14.560000000000004,15.769999999999998,7.09,19.57,7.17,35.59999999999999,2.37,19.11,35.07,34.7,4406.18,1664.8200000000015,2741.3600000000006,7.0,5.916079783099616,8.18535277187245,3.872983346207417,5.291502622129181,5.744562646538029,4.0,8.366600265340756,9.486832980505138,5.0,7.0710678118654755,2.0,5.291502622129181,3.1622776601683795,6.164414002968976,-8.5524,-1.048,-0.08,-11.4,-215.6,-1639.4,-20.2,-1704.08,1309.6,11.64,0.662928,10.3,169.0,121.4,-129.4,391.36199999999997,2.6,79.0,92.2,-76.82,-11.86,25.86,-2604.0,0.0833291298,-64.6,121.05528899999999,63.27,7.099,-405.66,-322.11,-35698.97,303.19,-10.59,1707.97,1185.28,3388.17,28862.06,0.0,0.0,0.0,0.0,0.0,1116.5,46874.4,0.000122,-55.286,10.292,2816.0879999999997,236.61599999999999,-715.8960000000001,-35.260999999999996,-21.658,0.0,2490.72,29.63,-8672.46,2721.07,-844.068,-38.0952474629,-4.433,4.319,0.045,-1.026,-3193.0,-14570.0,71.29,-290.3,-18130.0,-3.3510000000000004,3.552,-0.1544,-0.36700000000000005,-535.7,-2990.0,42.15,-113.5,-3681.0,-4370.063118,-4890.663456,20208.8,-2384.83,22593.62,1.2332,0.0,0.0,0.0,-12.144508,-45.350632,-20.30804,-160.776037,-92.2549285949,157.89,0.001952,558
