Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_101.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,36.18,1273.0900000000001,596.6800000000003,676.3999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.536,-0.358,-1.48,-0.8,-20.6,-108.0,-1.32,-113.34,82.64,1.22,-0.0558,3.22,1.8,-0.6,-14.0,25.186,-6.4,-1.6,0.8,-3.02,0.22,-1.88,-168.6,0.423025296,-15.7,-6.996460000000001,-12.49,-21.526999999999997,-27.81,-28.07,-3659.56,-41.79,-19.09,-55.7,-16.57,-973.81,-525.09,0.0,0.0,0.0,0.0,0.0,-44.3328,156.325,0.0005,-3.245,-12.106,-28.324,-18.183,-309.311,0.757,6.6339999999999995,0.0,-141.22,-10.84,-437.77,-93.12,-5024.856,2.57839180864,-2.521,2.568,1.8659999999999999,0.7501,-9.297,-1928.0,10.53,-0.0684,-1948.0,-1.545,0.8382,-1.895,1.641,-4.21,-256.3,-3.228,-1.618,-258.9,-4123.814171,-4164.16076,1039.4,-1154.11,2193.5,-0.0557,0.0,0.0,0.0,1.9714759999999998,-1.023874,-2.8362,-11.545222,-10.563155625599999,-2.3212200000000003,0.0,0
swarm_0_105.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.14,36.31,1636.2199999999975,777.1599999999999,859.0699999999979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6654,-8.866,-2.32,-15.6,-23.4,-176.2,5.24,-143.78,144.9,-4.7,0.021036000000000003,-10.76,40.0,18.4,-16.0,69.252,4.8,16.4,25.0,0.5,6.5,1.38,-258.8,-1.3181216976,-0.5,-4.233696,-10.57,-23.169,-48.05,-39.19,-4560.51,-6.5,-10.16,71.4,45.51,-961.2,655.13,0.0,0.0,0.0,0.0,0.0,-25.6413,1222.28,0.00041600000000000003,-15.885,1.459,54.777,-8.948,-436.031,-0.37799999999999995,7.907,0.0,-72.72,210.85,-552.02,17.77,-5026.729,19.357603385999997,-4.042,3.924,0.1829,-0.3805,-316.9,-2724.0,5.437,15.91,-3031.0,-3.569,3.3280000000000003,0.6216,2.084,-77.88,-424.8,6.872999999999999,2.154,-507.4,-4359.151735,-4430.885967,2477.18,-1349.9,3827.09,-0.0393,0.0,0.0,0.0,-6.231204,-2.4000310000000002,-8.196597,-16.89789,-14.118936123,18.0116,0.0,0
swarm_0_141.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.13,36.64,1076.2000000000007,540.6000000000004,535.5900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9094,-1.5119999999999998,1.66,-7.0,-12.0,-93.6,1.46,-86.76,85.0,-1.62,0.008882,-5.3,10.2,3.8,-9.0,-1.348,4.4,11.2,13.6,1.28,-2.08,-5.86,-154.6,-0.02351109,2.2,-9.088526,-14.45,-20.561999999999998,-38.7,-30.9,-2925.17,-13.45,-7.38,-41.1,-4.52,-936.99,-363.78,0.0,0.0,0.0,0.0,0.0,-34.6519,-45.2637,0.00044500000000000003,-11.658,-0.336,-43.41,-16.335,-303.856,1.278,7.0520000000000005,0.0,-73.89,64.04,-384.23,-8.59,-10097.008,16.8727827389,-1.979,1.7719999999999998,-2.173,0.3878,133.9,-2339.0,-9.09,-34.17,-2230.0,-0.5815,0.632,0.4563,0.3744,53.75,-345.4,4.1,-6.246,-302.0,-4007.572158,-4063.9513939999997,543.91,-1103.58,1647.48,-0.1044,0.0,0.0,0.0,-2.439731,-6.774394,-2.5316400000000003,-7.998088,-11.077519094500001,-1.14386,0.0,0
swarm_0_177.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.14,36.31,1300.2700000000004,575.8700000000008,724.4200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0304,5.906000000000001,3.44,-5.8,-12.6,-121.0,5.48,-106.54,113.66,0.18,0.02887,0.12,22.8,12.8,-6.0,18.892,5.8,14.4,18.0,4.6,11.36,13.84,-194.4,0.474379216,3.9,-7.475142,-14.04,-20.78,-35.44,-29.81,-3469.1,8.82,-5.07,10.13,8.68,-969.38,-294.74,0.0,0.0,0.0,0.0,0.0,-45.8637,100.285,0.00047599999999999997,-12.052999999999999,-3.458,-10.495999999999999,-16.561,-339.57199999999995,-2.226,4.226,0.0,-70.76,94.12,-568.55,25.31,-7756.946999999999,19.0535777152,-1.62,1.5030000000000001,-0.7539,0.5796,-95.66,-2267.0,0.1771,-22.77,-2385.0,-1.065,0.8865,0.2854,1.715,4.6419999999999995,-363.1,4.465,-4.077,-367.0,-4031.4661579999997,-4093.478683,1454.74,-1162.7,2617.45,-0.1477,0.0,0.0,0.0,-3.6213339999999996,-2.566606,1.033107,-2.8458240000000004,-10.8200194247,-1.1617899999999999,0.0,0
swarm_0_198.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.94,36.42,1287.4700000000012,478.5599999999995,808.9200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0918,-0.912,-2.44,0.8,-26.8,-145.4,-5.12,-155.72,102.96,1.98,-0.083078,0.3,2.4,1.0,-17.6,12.904000000000002,-7.2,-2.4,-3.8,-13.7,0.12,-0.52,-216.0,-0.186698014,-27.4,-7.207088000000001,-15.12,-23.901,-36.54,-30.78,-5582.38,-46.13,-5.17,-32.12,3.04,-1234.2,-540.69,0.0,0.0,0.0,0.0,0.0,-62.1792,-84.7607,0.0005690000000000001,-14.505,-18.309,8.821,-31.932,-382.48699999999997,1.569,8.836,0.0,-83.01,-183.08,-644.9,-111.62,-9506.994,4.27600777615,-3.5860000000000003,3.4360000000000004,-1.01,0.433,74.97,-2305.0,-4.689,-49.26,-2274.0,-1.7180000000000002,1.234,-2.1390000000000002,0.4993,9.3,-376.0,-2.98,-11.58,-375.3,-4430.9249899999995,-4502.087723,1092.25,-1279.06,2371.32,-0.0684,0.0,0.0,0.0,-3.337469,-8.107092,-6.183937,-19.554817,-17.0753665534,-2.6379900000000003,0.0,0
swarm_0_23.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.66,36.69,1268.5499999999993,539.8099999999995,728.7299999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0438,-0.606,-3.08,-6.8,-20.6,-114.8,0.82,-102.34,85.28,-1.86,-0.03449,-4.74,16.0,4.8,-16.8,85.10600000000001,-2.0,1.8,7.0,1.44,-2.6,-4.96,-163.2,-0.6236721848,-2.9,-5.796812,-11.8,-19.979,-23.25,-19.85,-3400.86,-2.8,-9.58,-30.57,-3.63,-886.89,-230.65,0.0,0.0,0.0,0.0,0.0,-38.113,26.7274,0.000429,-11.855,-5.192,2.032,-16.843,-234.388,-1.3330000000000002,3.1210000000000004,0.0,-76.17,17.58,-368.13,-41.3,-3270.164,24.7622697426,-2.782,2.852,1.5819999999999999,-0.2958,-18.37,-1975.0,10.01,-15.12,-2018.0,-1.7280000000000002,1.375,-0.1209,1.632,-8.241,-278.4,2.58,-0.079,-289.3,-3922.4625979999996,-3980.9280909999998,1701.2,-1093.47,2794.68,-0.0234,0.0,0.0,0.0,-4.707448,-6.108743,-4.170837000000001,-12.410125,-8.78466074799,3.13367,0.0,0
swarm_0_73.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.27,36.28,1086.5099999999984,507.5,579.0099999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4068,-3.83,-3.52,-5.2,-15.0,-112.0,2.0,-91.16,80.14,-2.14,-0.030414,-3.9,18.4,10.0,-10.6,61.788000000000004,2.8,7.6,11.2,2.56,4.36,-3.3,-144.4,-0.244855264,-3.3,-6.60382,-13.03,-21.003,-33.39,-31.6,-3589.45,-7.79,3.56,39.28,25.43,-926.98,-121.61,0.0,0.0,0.0,0.0,0.0,-42.8997,140.716,0.00059,-18.658,1.074,-0.57,-17.642,-266.67,0.6459999999999999,5.712999999999999,0.0,-20.92,76.1,-490.14,115.1,-6198.029,14.5474346567,-3.676,3.636,1.187,0.04314,52.38,-2144.0,8.392999999999999,-25.99,-2126.0,-2.215,1.989,-0.9282,0.5276,43.72,-327.3,0.0733,-2.842,-286.5,-4065.8885579999996,-4113.593247999999,2135.37,-1134.52,3269.88,-0.1078,0.0,0.0,0.0,-3.31693,-5.731875,-2.640199,-10.159618,-7.06759977198,8.6212,0.0,0
swarm_0_83.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.05,35.91,1267.2200000000012,614.3000000000011,652.9200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.608,-3.7260000000000004,-0.68,-1.0,-19.4,-114.8,-1.06,-116.38,84.68,1.2,0.002016,0.72,3.2,0.4,-13.4,14.6,-3.2,1.6,1.8,-4.76,0.16,-1.36,-164.6,-0.6331304142,-3.1,-7.3844389999999995,-15.29,-27.105,-44.51,-42.99,-3355.67,-19.01,-7.71,-13.19,3.53,-1205.83,-590.06,0.0,0.0,0.0,0.0,0.0,-61.756,103.829,0.00059,-16.586,-0.762,-26.068,-19.955,-230.13099999999997,-3.452,0.92,0.0,-30.93,6.4,-502.88,-45.0,-6012.901999999999,10.551916800399999,-3.658,3.549,0.2554,0.5558,-7.216,-2777.0,3.2569999999999997,-18.93,-2806.0,-1.653,1.138,-1.6780000000000002,0.7731,22.3,-330.7,-1.78,-3.877,-310.5,-4651.0955890000005,-4705.3445710000005,1468.47,-1424.93,2893.39,-0.1594,0.0,0.0,0.0,-1.262622,-3.242039,-2.512916,-7.445529,-8.57966581255,8.240789999999999,0.0,0
swarm_0_95.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.75,36.2,1411.4999999999964,715.9300000000003,695.5699999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1132,-5.99,0.68,-6.8,-26.4,-167.2,2.06,-147.78,130.72,-0.34,0.039822,0.04,24.2,10.4,-14.2,82.11399999999999,-1.6,8.0,11.4,-3.0,0.82,5.9,-236.0,0.0505739132,0.1,-8.416229,-15.1,-25.055,-45.65,-39.72,-3495.82,-13.52,-13.24,-62.17,-17.56,-1143.6,-145.54,0.0,0.0,0.0,0.0,0.0,-50.8551,-6.7458,0.000505,-11.515,1.7930000000000001,-23.364,-12.059000000000001,-271.973,0.384,5.551,0.0,-93.23,15.16,-570.52,-45.06,-2923.8509999999997,10.387723810299999,-3.452,3.478,1.379,-0.4092,-18.89,-2414.0,10.47,-20.84,-2464.0,-2.136,1.6540000000000001,-1.1840000000000002,1.662,11.85,-361.8,-0.1274,-2.682,-352.5,-4513.777429,-4566.508446,1422.92,-1346.01,2768.93,-0.0792,0.0,0.0,0.0,-1.329164,-4.0500620000000005,-3.0578220000000003,-11.281239999999999,-8.39766332447,2.6669099999999997,0.0,0
swarm_100_117.pdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.07,36.39,1554.4399999999987,867.5600000000013,686.8700000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0274,2.226,4.08,-5.8,-18.0,-109.2,3.36,-96.88,99.0,0.5,-0.010704,0.98,16.8,5.2,-16.0,72.566,1.0,8.8,12.6,0.64,10.54,15.86,-176.8,0.469637388,-4.6,-9.420316,-11.49,-19.988,-27.48,-20.99,-2107.5,-26.09,-10.4,-37.05,-11.27,-902.22,-501.56,0.0,0.0,0.0,0.0,0.0,-11.0626,78.9265,0.00038700000000000003,-10.447000000000001,15.119000000000002,-53.763999999999996,-0.705,-78.142,-1.9909999999999999,-0.507,0.0,-121.81,56.47,-84.99,-216.04,655.021,17.8176556047,-3.911,3.782,-0.3298,-0.5812,-64.79,-2232.0,-0.6358,0.05167000000000001,-2297.0,-2.524,2.064,-0.721,1.8769999999999998,0.4501,-377.9,0.7371,-0.713,-378.9,-3965.821772,-4001.669525,1677.66,-1049.73,2727.4,-0.0893,0.0,0.0,0.0,-3.9459940000000002,-5.738881,-3.479118,-9.334164999999999,-8.81998020643,-2.02818,0.0,0
