Conf,PA,PAr,PAl,CA,CAr,CAl,CP,PP,CC,ArAr,AlAl,AlAr,AAr,AAl,AA,avg_cips_PA,avg_cips_CA,avg_cips_PAr,avg_cips_CAr,avg_cips_PAl,avg_cips_CAl,avg_cips_CP,avg_cips_PP,avg_cips_CC,avg_cips_AA,avg_cips_AAl,avg_cips_AAr,avg_cips_AlAl,avg_cips_ArAr,avg_cips_AlAr,cips_PA,cips_CA,cips_PAl,cips_CAl,cips_CP,cips_PP,cips_CC,cips_AA,cips_AAl,cips_AAr,cips_AlAl,cips_ArAr,cips_AlAr,NIS Polar,Nis Apolar,BSA,BSA Polar,BSA Apolar,PA_sqrt,CA_sqrt,CP_sqrt,AA_sqrt,PP_sqrt,CC_sqrt,PAr_sqrt,PAl_sqrt,CAr_sqrt,CAl_sqrt,AlAl_sqrt,ArAr_sqrt,AlAr_sqrt,AAr_sqrt,AAl_sqrt,CP_BFKV,CP_BL,CP_BT,CP_GKS,CP_HLPL,CP_MJPL,CP_MJ3h,CP_MJ2h,CP_MJ1,CP_MJ2,CP_MSBM,CP_MS,CP_Qa,CP_Qm,CP_Qp,CP_RO,CP_SKOb,CP_SKOa,CP_SJKG,CP_TD,CP_TEl,CP_TEs,CP_TS,CP_VD,CP_SKOIP,AP_DCOMPLEX,AP_dDFIRE,AP_DFIRE2,CP_RMFCEN1,CP_RMFCEN2,CP_RMFCA,CP_TB,CP_TSC,AP_T1,AP_T2,AP_DOPE,AP_DOPE_HR,AP_ACE,INSIDE,HBOND,PI_PI,ALIPH,ZRANK,ZRANK2,NSC,ELE,DESOLV,VDW,PYDOCK_TOT,ODA,PROPNSTS,SIPPER,AP_OPUS_PSP,AP_GEOMETRIC,AP_DARS,AP_URS,AP_MPS,AP_W1,CP_D1,CP_ZPAIR_CB,CP_ZLOCAL_CB,CP_ZS3DC_CB,CP_Z3DC_CB,CP_EPAIR_CB,CP_ELOCAL_CB,CP_ES3DC_CB,CP_E3DC_CB,CP_E3D_CB,CP_ZPAIR_MIN,CP_ZLOCAL_MIN,CP_ZS3DC_MIN,CP_Z3DC_MIN,CP_EPAIR_MIN,CP_ELOCAL_MIN,CP_ES3DC_MIN,CP_E3DC_MIN,CP_E3D_MIN,AP_calRW,AP_calRWp,AP_GOAP_ALL,AP_GOAP_DF,AP_GOAP_G,AP_PISA,FIREDOCK,FIREDOCK_AB,FIREDOCK_EI,CP_DDG_U,CP_DDG_W,AP_DDG_U,AP_DDG_W,DDG_V,DOKB,CONSRANK_val,num_of_contacs
swarm_0_162.pdb,0,2,2,0,2,0,6,3,3,0,1,0,0,0,0,0.0,0.0,0.63,0.0,0.57,0.58,0.455,0.56,0.6033333333333334,0.0,0.0,0.0,0.88,0.0,0.0,1.26,0.0,1.14,1.16,2.73,1.6800000000000002,1.81,0.0,0.0,0.0,0.88,0.0,0.0,33.47,28.87,823.0599999999977,397.03999999999905,426.0100000000002,0.0,0.0,2.449489742783178,0.0,1.7320508075688772,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.0,0.0,0.0,0.0,0.0,-1.1196,2.0980000000000003,-0.64,-3.6,-14.4,-67.0,0.86,-55.16,48.24,-1.1,-0.023786,-3.16,3.0,-2.2,-14.6,39.548,-3.0,-1.2,2.6,-1.74,1.7,-1.06,-92.4,-0.955332188,-3.9,-6.098244,-10.08,-14.282,-13.4,-8.85,-1377.08,-16.9,-2.93,-10.06,3.31,-518.48,-229.57,0.0,0.0,0.0,0.0,0.0,-37.4626,-47.2327,0.0007610000000000001,-19.842,3.0860000000000003,-12.999,-18.055999999999997,-4.4830000000000005,-0.177,-0.091,0.0,-33.24,20.07,-118.25,-107.57,-131.875,5.47336638602,-2.884,2.943,0.6844,-1.4480000000000002,-36.45,-1320.0,8.415,-2.24,-1367.0,-1.835,1.4980000000000002,-0.6549,1.3459999999999999,0.6182,-172.9,1.4609999999999999,2.1430000000000002,-171.6,-2692.2497559999997,-2723.317989,450.36,-730.59,1180.97,0.031,0.0,0.0,0.0,-5.789187,-9.852155,-5.857842,-9.901019,-6.1347982733,3.35776,0.0065260000000000006,19
swarm_0_179.pdb,2,0,2,2,1,2,5,1,5,0,0,0,2,0,0,0.495,0.225,0.0,0.62,0.5,0.41,0.42000000000000004,0.56,0.722,0.0,0.0,0.52,0.0,0.0,0.0,0.0,1.24,1.0,0.41,2.1,0.56,3.61,0.0,0.0,1.04,0.0,0.0,0.0,33.2,29.05,793.25,390.9399999999987,402.3099999999995,1.4142135623730951,1.4142135623730951,2.23606797749979,0.0,1.0,2.23606797749979,0.0,1.4142135623730951,1.0,1.4142135623730951,0.0,0.0,0.0,1.4142135623730951,0.0,-0.2406,-5.186,-2.62,-6.0,-10.0,-52.6,1.36,-49.26,49.76,-3.06,-0.029557999999999997,-6.3,18.8,7.6,-7.4,57.532,1.6,5.0,10.2,1.48,-0.4,-2.72,-95.8,-0.7147042859999999,5.7,-5.537024,-8.23,-14.261,-21.03,-25.02,-2644.11,3.04,-9.01,-3.98,16.29,-497.37,36.73,0.0,0.0,0.0,0.0,0.0,-43.5317,73.4814,0.0007639999999999999,-20.065,8.184,-6.0329999999999995,-12.484000000000002,4.415,-0.456,-0.539,0.0,-30.2,126.35,-83.76,54.6,1623.9470000000001,-0.619605969638,-1.208,1.291,1.5219999999999998,-0.4877,178.8,-1779.0,12.33,8.599,-1604.0,-0.8749,0.5346,-0.4203,1.364,16.12,-208.9,1.357,3.932,-190.2,-2722.537362,-2743.2261120000003,767.96,-753.92,1521.88,-0.0925,0.0,0.0,0.0,-2.305285,-3.394229,-0.251253,-6.998603999999999,-5.528633629319999,10.8145,0.005864,22
swarm_0_189.pdb,7,0,6,4,3,1,10,4,10,0,0,0,3,1,0,0.40714285714285714,0.2975,0.0,0.46,0.45,0.3466666666666667,0.446,0.505,0.5609999999999999,0.0,0.48,0.4266666666666667,0.0,0.0,0.0,0.0,0.46,2.7,1.04,4.46,2.02,5.609999999999999,0.0,0.48,1.28,0.0,0.0,0.0,33.47,29.29,1394.2099999999991,728.5499999999993,665.6499999999996,2.6457513110645907,2.0,3.1622776601683795,0.0,2.0,3.1622776601683795,0.0,2.449489742783178,1.7320508075688772,1.0,0.0,0.0,0.0,1.7320508075688772,1.0,-0.4136,-3.542,-0.06,-8.2,-11.0,-100.6,3.46,-80.56,90.22,-2.34,-0.012875999999999999,-3.26,23.4,10.4,-11.0,52.908,2.8,11.2,17.4,1.4,13.58,-11.34,-154.2,-1.038578484,7.5,-10.163511,-13.71,-18.269000000000002,-38.98,-31.6,-2710.86,-14.57,-12.88,-32.84,-13.97,-795.42,-355.71,0.0,0.0,0.0,0.0,0.0,-59.8941,127.84899999999999,0.000436,-22.034000000000002,18.461,-46.675,-8.24,33.417,-7.416,-8.051,0.0,-68.42,96.31,-81.65,-12.31,1216.763,18.028870456,-1.319,1.331,0.9714,0.2661,157.6,-2400.0,13.33,7.945,-2247.0,-1.2570000000000001,0.9398,-0.7526,1.859,49.82,-362.6,1.806,2.991,-311.6,-3150.807174,-3209.150883,561.02,-963.34,1524.36,-0.2448,0.0,0.0,0.0,-5.953255,-6.897763,-12.849191000000001,-13.335685,-12.817145078,4.27461,0.005714,49
swarm_0_191.pdb,3,0,2,3,3,2,4,0,4,0,0,1,0,2,0,0.3566666666666667,0.2966666666666667,0.0,0.615,0.345,0.47333333333333333,0.4625,0.0,0.785,0.0,0.44499999999999995,0.0,0.0,0.0,0.67,0.0,1.23,0.69,1.42,1.85,0.0,3.14,0.0,0.8899999999999999,0.0,0.0,0.0,0.67,33.06,29.34,916.8899999999994,364.3199999999997,552.5699999999997,1.7320508075688772,1.7320508075688772,2.0,0.0,0.0,2.0,0.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,0.0,0.0,1.0,0.0,1.4142135623730951,0.7738,-2.634,-1.62,-4.4,-13.0,-79.0,0.38,-79.28,67.66,-0.76,0.026387999999999998,-2.48,9.0,2.4,-9.0,68.536,-0.2,3.8,6.4,0.28,-2.8,-4.2,-129.0,0.00288208,-4.9,-8.024405999999999,-9.39,-11.806,-25.04,-20.87,-1710.71,-10.7,1.24,-13.85,-12.73,-430.54,-286.8,0.0,0.0,0.0,0.0,0.0,-60.2534,-93.4285,0.000604,-16.332,6.15,-32.051,-13.387,15.125,-0.687,-0.9740000000000001,0.0,-74.9,-31.81,-152.78,-69.04,1041.086,15.0292423703,-2.3819999999999997,2.412,1.224,-0.8973,14.38,-1234.0,10.01,-2.177,-1232.0,-1.524,1.5230000000000001,0.2129,0.08323,16.73,-218.2,2.6510000000000002,0.8248,-203.3,-2517.1403649999997,-2542.615561,-263.41,-618.41,355.0,-0.0979,0.0,0.0,0.0,1.913573,0.9196610000000001,-3.158748,-6.1223790000000005,-9.1593005714,2.81911,0.007708,24
swarm_0_29.pdb,3,2,5,1,2,0,5,5,2,0,0,0,1,1,1,0.5533333333333333,0.44,0.63,0.0,0.506,0.27,0.43600000000000005,0.5,0.79,0.44,0.53,0.83,0.0,0.0,0.0,1.26,0.0,2.53,0.54,2.18,2.5,1.58,0.44,0.53,0.83,0.0,0.0,0.0,33.06,29.34,881.5800000000017,451.0699999999997,430.4899999999998,1.7320508075688772,1.0,2.23606797749979,1.0,2.23606797749979,1.4142135623730951,1.4142135623730951,2.23606797749979,1.4142135623730951,0.0,0.0,0.0,0.0,1.0,1.0,0.9272,-3.568,1.66533453694e-16,-7.6,-7.4,-81.4,2.34,-54.02,62.6,-2.74,-0.012164,-2.88,15.6,9.0,-5.8,10.985999999999999,4.8,10.0,13.0,1.48,4.06,-2.14,-96.4,0.2421629348,9.0,-6.56423,-8.53,-12.081,-20.45,-22.01,-1436.04,-15.04,-7.34,-30.93,-5.35,-460.16,-192.81,0.0,0.0,0.0,0.0,0.0,-32.3364,15.5381,0.000606,-13.32,6.381,-19.858,-8.925,1.965,-0.32,-0.35700000000000004,0.0,-4.68,91.96,-259.73,36.33,1823.4460000000001,14.2775315853,-2.792,2.65,-0.2874,-0.4005,70.13,-1614.0,1.932,24.1,-1521.0,-2.051,2.004,0.8370000000000001,1.911,33.07,-223.8,3.02,5.754,-188.0,-2532.961409,-2566.440278,649.68,-631.95,1281.63,0.0138,0.0,0.0,0.0,-0.877558,-0.26314499999999996,-2.86302,-6.60002,-4.60148375118,4.13152,0.0066430000000000005,28
swarm_0_2.pdb,5,0,2,8,3,0,4,1,7,0,0,1,1,3,1,0.514,0.365,0.0,0.0,0.42000000000000004,0.3766666666666667,0.39999999999999997,0.56,0.6085714285714285,0.58,0.4333333333333333,0.83,0.0,0.0,0.67,0.0,0.0,0.8400000000000001,1.1300000000000001,1.5999999999999999,0.56,4.26,0.58,1.2999999999999998,0.83,0.0,0.0,0.67,33.47,28.87,1121.619999999999,459.96999999999935,661.6599999999999,2.23606797749979,2.8284271247461903,2.0,1.0,1.0,2.6457513110645907,0.0,1.4142135623730951,1.7320508075688772,0.0,0.0,0.0,1.0,1.0,1.7320508075688772,-0.2112,-3.036,-2.56,-8.6,-22.8,-118.6,-0.08,-109.24,96.72,-3.22,0.034976,-6.0,8.8,1.6,-15.8,15.645999999999999,-2.2,5.6,5.2,-4.3,-0.44,-13.18,-199.0,-1.4478181680000002,2.0,-6.476918,-12.44,-15.602,-44.75,-41.85,-3388.13,-11.8,4.27,30.79,21.69,-510.97,93.55,0.0,0.0,0.0,0.0,0.0,-56.9957,370.645,0.000582,-11.443,2.086,12.92,-8.065,22.608,-2.01,-2.439,0.0,-80.18,-34.05,-362.62,11.68,551.29,10.604737489,-3.242,3.1010000000000004,0.9108,0.4364,20.03,-2058.0,11.22,13.98,-2035.0,-2.697,2.574,-0.2149,0.325,22.59,-317.0,2.326,1.74,-295.0,-2926.8947940000003,-2974.7611890000003,346.74,-843.73,1190.46,0.0006,0.0,0.0,0.0,-4.178801999999999,-7.35177,-2.8704959999999997,-5.447092,-10.5701516031,10.3177,0.009139,36
swarm_0_4.pdb,4,0,1,4,4,1,3,0,6,0,0,0,4,3,0,0.3825,0.305,0.0,0.62,0.57,0.51,0.38999999999999996,0.0,0.5316666666666667,0.0,0.5166666666666666,0.675,0.0,0.0,0.0,0.0,0.62,0.57,2.04,1.17,0.0,3.1900000000000004,0.0,1.5499999999999998,2.7,0.0,0.0,0.0,33.2,29.05,860.0400000000009,372.4500000000007,487.58000000000175,2.0,2.0,1.7320508075688772,0.0,0.0,2.449489742783178,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.7320508075688772,2.6852,0.8059999999999999,2.8,-3.2,-12.0,-78.8,2.08,-97.74,94.1,0.92,0.05252999999999999,0.74,13.4,6.6,-9.0,35.606,8.6,15.4,16.8,1.8,6.6,6.14,-174.6,0.790430214,2.9,-7.800401,-9.85,-12.652000000000001,-25.44,-27.79,-2023.81,-6.35,-8.73,15.69,-1.53,-398.26,-101.77,0.0,0.0,0.0,0.0,0.0,-41.1781,71.1159,0.0008529999999999999,-17.995,7.749,-33.553000000000004,-13.600999999999999,12.242,-2.622,-2.8539999999999996,0.0,-71.59,31.99,-2.52,-15.6,1389.3010000000002,13.5996316401,-1.9169999999999998,1.921,0.9595,0.4779,42.8,-1434.0,11.74,-4.26,-1407.0,-0.46799999999999997,0.7502,1.5619999999999998,0.4311,16.59,-232.4,8.527000000000001,-0.6639,-225.0,-2624.512329,-2648.2406530000003,292.28,-675.32,967.6,-0.0053,0.0,0.0,0.0,1.9957759999999998,2.1130970000000002,-2.2545029999999997,-6.737456,-6.58700714951,2.86948,0.0071,30
swarm_0_55.pdb,0,1,4,2,5,1,10,5,6,0,1,1,0,0,0,0.0,0.4,0.63,0.46,0.4025,0.388,0.4619999999999999,0.544,0.5333333333333333,0.0,0.0,0.0,0.88,0.0,0.7,0.63,0.46,1.61,1.94,4.619999999999999,2.72,3.2,0.0,0.0,0.0,0.88,0.0,0.7,33.06,29.34,1257.380000000001,606.8099999999995,650.5599999999995,0.0,1.4142135623730951,3.1622776601683795,0.0,2.23606797749979,2.449489742783178,1.0,2.0,2.23606797749979,1.0,1.0,0.0,1.0,0.0,0.0,-1.1422,-4.552,-1.06,-11.4,-22.8,-124.0,2.74,-94.58,90.6,-3.8,-0.0059,-7.52,24.0,6.8,-21.2,56.926,-4.0,3.8,12.4,2.62,7.66,3.56,-171.0,-0.9312188142,5.9,-7.142772,-11.33,-18.592,-42.97,-35.32,-2602.05,-11.02,-6.97,-28.74,-6.97,-657.18,-266.52,0.0,0.0,0.0,0.0,0.0,-52.7295,27.7457,0.000367,-20.803,10.533,-29.634,-13.232999999999999,-5.566,-2.491,-2.386,0.0,-77.41,30.55,-369.86,-61.04,1294.107,21.3249691047,-1.854,1.922,0.5283,-1.993,-58.46,-1983.0,10.45,-6.29,-2058.0,-2.033,1.4769999999999999,-0.5252,1.785,-18.8,-270.3,2.165,4.468999999999999,-286.8,-3185.102681,-3227.395262,1042.61,-927.08,1969.7,-0.0375,0.0,0.0,0.0,-6.849122,-11.799005000000001,-3.8624199999999997,-8.448455000000001,-8.33300402916,3.8096300000000003,0.0055,36
swarm_0_66.pdb,0,0,6,1,4,2,4,3,3,0,0,0,0,0,0,0.0,0.72,0.0,0.77,0.4266666666666667,0.265,0.48749999999999993,0.5333333333333333,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,2.56,1.06,1.9499999999999997,1.6,1.8,0.0,0.0,0.0,0.0,0.0,0.0,33.19,28.99,908.0600000000013,403.21999999999935,504.8299999999981,0.0,1.0,2.0,0.0,1.7320508075688772,1.7320508075688772,0.0,2.449489742783178,2.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.9368,1.97,2.4,1.4,-10.2,-86.2,0.96,-82.9,68.48,1.8,0.0029460000000000003,3.04,8.6,3.8,-8.4,68.384,3.4,5.8,7.4,-1.68,8.92,8.34,-117.0,0.18402426,-1.1,-6.537803,-7.38,-14.255,-22.01,-15.84,-1331.42,5.3,14.56,14.37,10.47,-618.19,-385.21,0.0,0.0,0.0,0.0,0.0,-23.7694,-18.1229,0.000708,-2.866,10.727,-24.604,5.4,8.323,-1.828,-1.9869999999999999,0.0,-25.02,23.27,-188.26,-27.89,1063.009,-4.18547722138,-2.977,3.01,-0.04421,-1.839,-6.107,-1587.0,6.608,-23.49,-1623.0,-2.34,2.15,-1.656,-0.4418,13.49,-254.1,-0.7509999999999999,-3.04,-242.9,-2745.540383,-2770.7943210000003,604.21,-721.78,1325.99,-0.0181,0.0,0.0,0.0,-2.404372,-6.165424,-3.915692,-8.918361,-6.027589632509999,3.7435199999999997,0.007696,23
swarm_100_102.pdb,0,0,7,4,2,0,9,7,11,0,3,1,0,0,0,0.0,0.4925,0.0,0.0,0.4657142857142857,0.3,0.3788888888888889,0.5342857142857144,0.4418181818181818,0.0,0.0,0.0,0.7233333333333333,0.0,0.74,0.0,0.0,3.26,0.6,3.41,3.74,4.859999999999999,0.0,0.0,0.0,2.17,0.0,0.74,32.92,29.22,1532.0399999999972,715.4200000000001,816.6000000000004,0.0,2.0,3.0,0.0,2.6457513110645907,3.3166247903554,0.0,2.6457513110645907,1.4142135623730951,0.0,1.7320508075688772,0.0,1.0,0.0,0.0,-1.2922,-1.6,-0.1,-5.4,-14.2,-106.2,4.48,-82.52,84.1,-1.3,0.09327,-0.02,28.8,17.2,-10.6,39.152,-1.0,5.6,13.8,-0.46,12.16,10.4,-147.2,0.121866444,0.6,-7.359360000000001,-10.67,-17.034000000000002,-48.88,-42.24,-2407.39,13.29,-4.94,-24.29,-8.01,-623.52,-120.19,0.0,0.0,0.0,0.0,0.0,-21.1707,51.7751,0.00035800000000000003,32.945,19.508,-30.956999999999997,49.358000000000004,106.59299999999999,-1.169,-3.194,0.0,-118.16,85.07,-254.63,-67.73,1509.6729999999998,-1.02722141426,-2.983,2.89,0.1682,-0.441,-96.25,-1939.0,5.939,13.19,-2028.0,-2.6210000000000004,2.24,-1.255,0.7163,6.319,-324.5,0.2985,2.1790000000000003,-316.3,-3018.08365,-3068.402626,729.15,-849.11,1578.26,-0.067,0.0,0.0,0.0,1.236201,-0.631654,-1.975469,-7.927503999999999,-12.149236164500001,2.59803,0.004432,44
