pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-0.56,-29.48,-38.3883,-53.05,-23.69,1.067,-27.97,7.219,4.207,-0.1081,swarm_142_97.pdb
top_2_A,A,top_2_B,B,-7.64,-28.14,-38.2686,-21.2,-12.21,-4.737,-42.693,-22.767,13.631,-0.0537,swarm_176_138.pdb
top_3_A,A,top_3_B,B,1.94,-21.95,-32.9114,24.55,16.87,-4.308,-42.596,5.511,0.207,-0.159,swarm_142_69.pdb
top_4_A,A,top_4_B,B,-10.68,-23.28,-34.2358,32.77,53.89,-11.48,93.321,0.87,3.019,-0.1345,swarm_39_149.pdb
top_5_A,A,top_5_B,B,1.2,-22.42,-31.7489,-24.48,-9.13,-5.056,-60.959,-4.199,4.114,-0.24,swarm_81_77.pdb
top_6_A,A,top_6_B,B,-1.34,-23.84,-32.8777,-106.76,-56.87,-14.505,-68.692,-24.66,9.524,-0.1934,swarm_87_22.pdb
top_7_A,A,top_7_B,B,-1.7,-23.49,-35.4897,-95.78,-30.19,-6.515,-28.901,-17.402,12.072,-0.2137,swarm_187_186.pdb
top_8_A,A,top_8_B,B,-5.14,-24.61,-34.0553,-73.32,-36.7,-7.861,-52.931,-15.787,8.034,-0.1181,swarm_25_15.pdb
top_9_A,A,top_9_B,B,-1.04,-21.29,-31.5301,3.07,-6.67,-11.955,-51.618,-25.81,5.257,0.0852,swarm_129_134.pdb
top_10_A,A,top_10_B,B,-5.16,-22.4,-29.5662,-47.55,-8.34,-17.024,-48.194,-15.705,-0.66,-0.26,swarm_192_125.pdb
top_11_A,A,top_11_B,B,0.22,-23.82,-31.4675,-0.58,32.84,-3.511,-67.006,-5.303,5.198,0.1673,swarm_81_60.pdb
top_12_A,A,top_12_B,B,0.24,-23.34,-31.0028,-7.75,15.76,-11.305,-23.46,-5.29,1.549,-0.1044,swarm_204_156.pdb
top_13_A,A,top_13_B,B,-3.52,-20.62,-29.5893,-46.79,-31.56,-0.408,-35.365,-13.597,9.307,-0.2173,swarm_96_55.pdb
top_14_A,A,top_14_B,B,-5.82,-19.49,-30.3881,-22.76,-13.56,-7.927,-24.352,-7.121,4.077,-0.0868,swarm_198_175.pdb
top_15_A,A,top_15_B,B,-2.38,-21.14,-28.8548,-67.88,-30.62,-14.889,-46.497,-16.389,-0.548,-0.2395,swarm_198_89.pdb
top_16_A,A,top_16_B,B,-2.38,-21.98,-32.425,20.56,1.81,-1.528,-49.838,6.643,4.537,-0.113,swarm_125_118.pdb
top_17_A,A,top_17_B,B,-3.14,-18.59,-27.9633,-35.21,-8.76,-4.154,-47.239,-13.117,2.139,0.0989,swarm_176_18.pdb
top_18_A,A,top_18_B,B,-0.06,-21.66,-31.2968,-8.03,-16.24,-13.877,-35.878,-19.53,5.828,-0.0664,swarm_96_113.pdb
top_19_A,A,top_19_B,B,-0.1,-18.35,-28.3643,64.87,25.65,-1.634,-15.577,13.063,-0.43,0.0776,swarm_49_116.pdb
top_20_A,A,top_20_B,B,-0.36,-17.48,-26.0657,-12.84,-16.23,-5.734,-49.396,-10.499,1.898,-0.1389,swarm_3_175.pdb
top_21_A,A,top_21_B,B,3.14,-20.22,-28.214,-25.2,-4.36,-18.374,-59.469,-20.552,1.977,-0.2913,swarm_201_109.pdb
top_22_A,A,top_22_B,B,-2.14,-22.24,-29.5611,-78.39,-27.8,-5.241,-44.41,-4.629,4.113,-0.0502,swarm_60_131.pdb
top_23_A,A,top_23_B,B,0.24,-20.65,-27.8059,-32.97,-25.02,-1.9,-38.772,-15.541,5.592,-0.2744,swarm_126_97.pdb
top_24_A,A,top_24_B,B,1.96,-23.39,-32.3981,5.15,18.81,-4.445,-27.715,-1.053,2.142,0.0105,swarm_204_19.pdb
top_25_A,A,top_25_B,B,1.78,-24.37,-30.8123,-67.88,-8.95,-16.917,-37.385,-11.547,-1.252,-0.0735,swarm_39_1.pdb
top_26_A,A,top_26_B,B,-6.28,-22.42,-28.4974,-67.98,-22.01,1.968,-28.672,-4.155,1.39,-0.0951,swarm_49_111.pdb
top_27_A,A,top_27_B,B,-2.92,-23.5,-30.284,-27.29,-8.37,-0.794,-37.902,-16.393,2.554,-0.1895,swarm_3_37.pdb
top_28_A,A,top_28_B,B,-1.08,-24.63,-30.0986,-43.47,-19.46,-13.595,-17.816,-17.9,5.235,-0.2415,swarm_179_149.pdb
top_29_A,A,top_29_B,B,-9.92,-20.33,-28.2171,-43.6,-24.64,-2.862,-31.306,-12.937,7.577,-0.0657,swarm_137_102.pdb
top_30_A,A,top_30_B,B,0.9,-23.17,-29.7335,-5.79,-4.23,-6.295,-31.222,-3.868,0.332,-0.1137,swarm_49_28.pdb
top_31_A,A,top_31_B,B,-4.14,-17.59,-25.88,-55.51,-22.29,-12.384,-25.122,-15.299,7.525,-0.1562,swarm_149_135.pdb
top_32_A,A,top_32_B,B,4.88,-19.74,-28.4366,18.34,55.59,-15.123,-42.823,-4.266,-3.262,-0.1919,swarm_49_180.pdb
top_33_A,A,top_33_B,B,-1.98,-18.89,-27.5884,-28.27,-9.22,-6.184,-22.202,-6.558,-3.837,-0.1887,swarm_154_5.pdb
top_34_A,A,top_34_B,B,-3.12,-21.36,-27.1955,13.68,22.08,-13.234,-28.319,-18.468,-4.328,-0.0545,swarm_202_157.pdb
top_35_A,A,top_35_B,B,-4.12,-16.9,-27.818,-17.73,-9.18,-0.346,-45.29,-3.673,8.136,-0.1671,swarm_25_197.pdb
top_36_A,A,top_36_B,B,0.08,-16.56,-26.0708,-8.0,-15.79,-7.474,-41.516,-0.019,2.069,-0.0462,swarm_25_72.pdb
top_37_A,A,top_37_B,B,1.4,-21.77,-28.5895,-43.52,-9.32,-2.234,-19.316,-15.485,7.78,-0.1334,swarm_59_72.pdb
top_38_A,A,top_38_B,B,-0.14,-17.7,-26.9404,55.21,40.13,-8.382,8.747,-9.47,2.123,0.0689,swarm_102_175.pdb
top_39_A,A,top_39_B,B,1.3,-17.8,-26.309,-43.04,-0.72,-5.329,-17.162,-1.312,1.855,0.0743,swarm_71_97.pdb
top_40_A,A,top_40_B,B,-2.64,-18.99,-29.7392,-4.42,8.26,-6.142,-29.294,-3.671,-0.092,-0.0464,swarm_192_121.pdb
top_41_A,A,top_41_B,B,0.42,-19.12,-29.2976,-79.16,-35.78,-19.285,-44.587,-31.297,10.423,-0.1521,swarm_3_108.pdb
top_42_A,A,top_42_B,B,-1.04,-20.64,-30.6485,-91.57,-32.81,-15.703,-35.875,-21.328,6.003,-0.2851,swarm_198_160.pdb
top_43_A,A,top_43_B,B,-0.04,-18.43,-28.3865,-52.53,-12.92,-6.04,-42.024,-14.609,6.054,-0.318,swarm_71_156.pdb
top_44_A,A,top_44_B,B,-4.62,-19.77,-30.8757,-28.16,0.78,0.039,32.811,5.617,7.962,0.0581,swarm_25_37.pdb
top_45_A,A,top_45_B,B,-8.04,-18.77,-28.1446,18.49,37.85,-12.036,73.277,-2.746,-4.76,0.0274,swarm_81_26.pdb
top_46_A,A,top_46_B,B,-2.56,-17.21,-25.0993,-3.19,6.78,-11.011,-16.831,-8.161,-1.428,0.0084,swarm_71_34.pdb
top_47_A,A,top_47_B,B,1.2,-19.44,-28.188,-42.46,-21.0,-1.05,-50.353,-9.04,1.324,-0.1296,swarm_198_27.pdb
top_48_A,A,top_48_B,B,-6.96,-18.73,-26.9406,-52.64,-24.54,-12.19,-16.033,-17.542,-2.093,-0.0717,swarm_71_186.pdb
top_49_A,A,top_49_B,B,-1.3,-18.46,-26.2235,-37.99,-20.8,-11.101,-44.494,-10.571,4.018,-0.1581,swarm_2_23.pdb
top_50_A,A,top_50_B,B,2.08,-17.68,-24.5991,-8.29,-20.08,-1.792,-44.713,-0.11,2.509,-0.0705,swarm_149_29.pdb
top_51_A,A,top_51_B,B,-1.42,-17.04,-26.4577,-44.1,-5.86,6.319,-54.418,12.039,5.791,-0.1476,swarm_123_146.pdb
top_52_A,A,top_52_B,B,-0.46,-18.8,-28.815,-44.23,7.44,-12.969,-10.526,-19.575,1.933,0.0204,swarm_176_59.pdb
top_53_A,A,top_53_B,B,-1.78,-20.96,-27.3541,-14.68,-5.75,-8.061,-58.836,-10.234,2.834,-0.0877,swarm_35_130.pdb
top_54_A,A,top_54_B,B,3.9,-17.4,-25.2247,41.98,61.92,-5.829,-25.446,-2.824,0.484,-0.0722,swarm_39_91.pdb
top_55_A,A,top_55_B,B,-3.38,-20.21,-30.1703,-54.82,-21.77,-0.104,-22.941,-7.508,10.834,-0.1845,swarm_201_176.pdb
top_56_A,A,top_56_B,B,-3.36,-18.28,-24.9506,-44.53,-22.53,-13.65,-26.374,-10.212,6.19,-0.3322,swarm_8_46.pdb
top_57_A,A,top_57_B,B,-4.22,-17.37,-27.4215,46.6,36.63,-5.279,28.089,-5.847,4.097,-0.0287,swarm_176_44.pdb
top_58_A,A,top_58_B,B,-4.84,-21.11,-26.2323,-61.66,-30.32,-5.875,-56.825,-22.578,4.392,-0.2394,swarm_4_35.pdb
top_59_A,A,top_59_B,B,-2.06,-22.16,-29.248,6.16,-16.11,-7.593,-19.655,-20.757,2.431,-0.2347,swarm_133_121.pdb
top_60_A,A,top_60_B,B,4.14,-20.41,-27.4301,-66.25,-40.08,-4.564,-57.902,-4.111,3.557,-0.1132,swarm_27_43.pdb
top_61_A,A,top_61_B,B,2.46,-21.27,-28.852,-52.35,-51.97,-7.208,-59.59,1.71,6.205,-0.1438,swarm_11_44.pdb
top_62_A,A,top_62_B,B,1.92,-18.51,-25.4289,-2.32,-1.53,-10.441,-3.429,-14.587,2.624,0.0253,swarm_205_140.pdb
top_63_A,A,top_63_B,B,-0.86,-12.96,-23.468,-29.48,4.21,-3.925,16.016,7.556,5.747,-0.0215,swarm_69_98.pdb
top_64_A,A,top_64_B,B,-1.84,-18.18,-24.2064,-57.26,-31.41,-3.366,-47.473,-11.291,5.702,-0.1196,swarm_13_20.pdb
top_65_A,A,top_65_B,B,2.02,-16.01,-25.4422,-0.46,31.73,-9.749,-45.554,-7.294,5.776,-0.0798,swarm_96_135.pdb
top_66_A,A,top_66_B,B,1.5,-16.2,-26.5982,3.42,-1.26,-8.226,-18.173,1.264,-2.029,-0.1327,swarm_202_4.pdb
top_67_A,A,top_67_B,B,0.66,-18.15,-28.019,-11.1,11.12,-2.433,-44.337,7.564,3.625,-0.0948,swarm_39_51.pdb
top_68_A,A,top_68_B,B,-5.7,-17.02,-24.8786,-14.38,13.49,-8.126,10.785,-9.628,8.515,-0.0285,swarm_201_70.pdb
top_69_A,A,top_69_B,B,-4.06,-21.47,-28.7515,-4.76,16.42,-3.749,-47.682,-4.568,3.106,0.0092,swarm_147_152.pdb
top_70_A,A,top_70_B,B,-2.54,-15.56,-23.804,-40.86,-16.44,-3.13,-21.737,-10.389,1.872,0.0337,swarm_80_72.pdb
top_71_A,A,top_71_B,B,-2.18,-16.91,-23.38,78.27,53.38,-10.061,4.541,-15.466,0.711,0.0763,swarm_171_63.pdb
top_72_A,A,top_72_B,B,-0.4,-16.03,-24.2067,37.49,20.38,-3.855,-20.27,4.501,2.108,-0.0777,swarm_146_2.pdb
top_73_A,A,top_73_B,B,-0.24,-15.92,-24.1744,-17.5,2.1,-6.534,-37.83,-17.849,7.51,-0.0754,swarm_43_35.pdb
top_74_A,A,top_74_B,B,-5.18,-20.94,-27.1993,-101.98,-40.81,-14.856,-37.648,-27.551,8.887,-0.2695,swarm_13_77.pdb
top_75_A,A,top_75_B,B,0.94,-14.48,-23.6345,-56.4,-18.59,-8.019,-52.741,-13.411,2.301,-0.0836,swarm_122_155.pdb
top_76_A,A,top_76_B,B,-1.1,-15.7,-23.7478,-0.97,2.83,-7.061,-24.87,-7.431,2.156,-0.0528,swarm_72_178.pdb
top_77_A,A,top_77_B,B,-1.2,-19.35,-24.9966,11.68,3.17,-10.159,-18.568,-22.555,1.636,-0.0165,swarm_179_56.pdb
top_78_A,A,top_78_B,B,-0.4,-16.02,-24.2388,17.59,6.93,-4.352,-38.51,-2.27,5.16,-0.0155,swarm_131_73.pdb
top_79_A,A,top_79_B,B,-1.64,-17.77,-24.5763,-57.0,-20.43,-8.353,-42.475,-7.331,1.016,-0.0462,swarm_8_77.pdb
top_80_A,A,top_80_B,B,-0.68,-17.38,-22.938,-48.96,-22.39,-9.194,-30.419,-7.221,4.57,-0.1255,swarm_181_152.pdb
top_81_A,A,top_81_B,B,0.5,-17.49,-23.2824,3.65,-3.16,-3.427,-38.24,-4.609,3.682,-0.0157,swarm_114_27.pdb
top_82_A,A,top_82_B,B,1.6,-16.46,-25.884,-10.44,-7.47,-2.118,-24.48,2.53,3.462,-0.1416,swarm_11_14.pdb
top_83_A,A,top_83_B,B,-3.76,-20.72,-26.4815,-68.57,-49.09,-5.049,-39.967,-1.893,3.712,-0.1103,swarm_0_28.pdb
top_84_A,A,top_84_B,B,-3.38,-18.85,-28.1837,1.6,38.71,-7.793,52.181,2.224,-0.402,-0.1663,swarm_201_111.pdb
top_85_A,A,top_85_B,B,1.44,-16.35,-26.2885,48.92,40.95,-8.474,11.898,-4.286,5.593,-0.0362,swarm_198_187.pdb
top_86_A,A,top_86_B,B,2.7,-16.73,-25.6976,-35.25,6.61,3.884,-50.037,11.034,2.131,0.0241,swarm_146_7.pdb
top_87_A,A,top_87_B,B,-0.06,-15.61,-24.3307,-64.94,-4.13,-18.334,-28.46,-29.355,3.352,-0.1638,swarm_122_82.pdb
top_88_A,A,top_88_B,B,-1.62,-14.42,-22.9528,21.57,17.73,-4.557,-16.052,-5.779,-1.314,-0.1646,swarm_71_38.pdb
top_89_A,A,top_89_B,B,-1.78,-19.63,-27.3116,-40.02,-19.55,-7.636,-35.003,-22.198,5.493,-0.2165,swarm_122_29.pdb
top_90_A,A,top_90_B,B,-2.66,-19.22,-24.0459,-54.95,-25.9,-15.064,-49.789,-8.597,6.456,-0.1608,swarm_140_33.pdb
top_91_A,A,top_91_B,B,-7.62,-16.61,-24.9479,48.49,48.67,-7.501,29.233,-7.489,-4.344,-0.0039,swarm_194_10.pdb
top_92_A,A,top_92_B,B,-1.36,-11.0,-20.2554,19.55,10.36,-8.856,19.59,-5.956,-0.894,-0.0349,swarm_152_81.pdb
top_93_A,A,top_93_B,B,-3.16,-9.63,-17.264,7.22,28.08,-4.514,36.237,-2.674,0.381,-0.0481,swarm_71_37.pdb
top_94_A,A,top_94_B,B,-3.44,-14.67,-24.2154,-44.65,1.85,-5.769,46.35,-5.664,6.612,-0.0058,swarm_137_42.pdb
top_95_A,A,top_95_B,B,6.24,-21.1,-26.9562,0.75,33.62,-13.671,-44.774,-5.556,-2.38,-0.1055,swarm_49_120.pdb
top_96_A,A,top_96_B,B,1.14,-18.83,-24.7451,-9.96,-9.09,-15.052,-33.208,-15.529,0.445,-0.1299,swarm_51_176.pdb
top_97_A,A,top_97_B,B,4.4,-15.97,-24.6836,8.17,6.85,-3.893,-49.122,3.627,0.022,0.1152,swarm_186_145.pdb
top_98_A,A,top_98_B,B,-1.06,-19.25,-24.0476,-44.96,-26.87,-16.097,-42.382,-17.105,4.294,-0.1994,swarm_93_196.pdb
top_99_A,A,top_99_B,B,-2.44,-15.21,-21.3132,-21.8,-6.49,-9.308,-32.288,-11.446,5.333,-0.0727,swarm_71_136.pdb
top_100_A,A,top_100_B,B,-1.62,-16.45,-24.1683,4.47,22.21,-5.346,25.456,-1.195,2.489,-0.1664,swarm_33_31.pdb
top_101_A,A,top_101_B,B,-4.78,-15.32,-22.9796,-8.49,17.61,-4.827,9.982,-19.611,5.445,-0.1664,swarm_187_62.pdb
top_102_A,A,top_102_B,B,-0.98,-15.87,-22.6395,-44.72,-32.65,-5.221,-38.271,5.633,2.913,-0.0169,swarm_143_110.pdb
top_103_A,A,top_103_B,B,1.22,-14.21,-23.9121,-12.4,1.06,0.636,-37.32,1.678,4.846,-0.0015,swarm_116_66.pdb
top_104_A,A,top_104_B,B,-1.58,-18.58,-27.0857,-74.8,-31.22,-10.646,-53.928,-10.467,2.213,0.0125,swarm_146_186.pdb
top_105_A,A,top_105_B,B,-0.24,-15.83,-23.1549,-39.67,-18.35,-7.577,-43.565,-10.55,1.123,-0.1547,swarm_186_175.pdb
top_106_A,A,top_106_B,B,-8.5,-18.0,-25.4152,4.25,16.69,-9.774,8.694,-2.809,5.541,-0.0957,swarm_89_132.pdb
top_107_A,A,top_107_B,B,1.98,-21.49,-28.5598,-24.45,-0.89,-1.198,-30.133,0.836,3.932,-0.1468,swarm_132_74.pdb
