pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,5.02,-27.32,-45.767,55.06,84.07,-5.088,67.587,0.628,1.496,-0.122,swarm_66_17.pdb
top_2_A,A,top_2_B,B,8.96,-26.81,-42.198,-11.82,35.99,-8.966,-61.752,1.317,-5.993,-0.1284,swarm_368_75.pdb
top_3_A,A,top_3_B,B,3.78,-27.4,-40.787,-54.63,-2.54,-5.801,-37.805,-5.873,-2.839,-0.2915,swarm_312_122.pdb
top_4_A,A,top_4_B,B,5.18,-18.53,-35.622,-22.36,16.44,-7.899,-34.121,9.379,-5.215,-0.0381,swarm_20_48.pdb
top_5_A,A,top_5_B,B,13.86,-17.09,-42.428,12.81,14.62,4.329,-89.664,42.278,-10.057,-0.0178,swarm_220_198.pdb
top_6_A,A,top_6_B,B,0.2,-24.98,-38.259,-5.88,36.76,-10.502,19.137,-13.13,-1.283,-0.2355,swarm_108_3.pdb
top_7_A,A,top_7_B,B,2.46,-25.01,-36.611,-3.1,40.73,-12.19,5.231,1.928,-2.121,-0.253,swarm_291_170.pdb
top_8_A,A,top_8_B,B,3.54,-26.18,-42.094,-58.77,-18.73,-8.248,-103.714,7.208,-4.566,-0.3225,swarm_326_147.pdb
top_9_A,A,top_9_B,B,5.8,-26.22,-39.184,-83.79,-29.57,-10.07,-92.754,0.305,0.325,-0.2324,swarm_374_10.pdb
top_10_A,A,top_10_B,B,10.18,-24.26,-34.639,34.53,31.23,-1.999,-47.25,12.81,-6.224,0.0426,swarm_27_182.pdb
top_11_A,A,top_11_B,B,0.12,-23.36,-32.685,20.26,21.76,-13.511,47.558,-5.437,-0.633,0.0184,swarm_321_49.pdb
top_12_A,A,top_12_B,B,-2.9,-20.47,-31.94,-37.85,-22.45,-10.096,-40.148,-24.026,4.995,-0.2214,swarm_18_99.pdb
top_13_A,A,top_13_B,B,12.16,-21.38,-35.93,51.11,27.77,-16.748,23.072,1.364,-6.587,-0.1897,swarm_262_142.pdb
top_14_A,A,top_14_B,B,4.76,-19.17,-35.335,-52.99,-25.6,-18.262,-53.157,-5.447,-0.091,-0.0745,swarm_93_154.pdb
top_15_A,A,top_15_B,B,7.3,-22.65,-33.025,19.05,21.34,-5.543,-15.314,-14.383,1.42,0.118,swarm_116_41.pdb
top_16_A,A,top_16_B,B,2.4,-20.56,-33.12,-60.55,-17.38,-11.52,-53.03,-8.754,0.001,0.0128,swarm_271_92.pdb
