pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,5.7,-17.14,-30.95,-43.36,-14.34,-9.018,-43.0,-15.757,2.529,-0.0544,swarm_39_135.pdb
top_2_A,A,top_2_B,B,9.28,-22.81,-32.583,18.4,9.27,-5.316,-24.525,-6.802,-1.019,0.0938,swarm_53_187.pdb
top_3_A,A,top_3_B,B,7.94,-19.23,-30.344,-13.07,5.4,-3.309,-63.244,-3.509,-1.98,0.0487,swarm_43_143.pdb
top_4_A,A,top_4_B,B,11.36,-25.48,-36.315,-5.4,10.56,-2.917,-51.504,9.602,-0.487,-0.0207,swarm_63_87.pdb
top_5_A,A,top_5_B,B,5.82,-16.63,-30.323,-20.17,0.55,-14.772,-55.626,-5.131,-9.298,0.1111,swarm_99_126.pdb
top_6_A,A,top_6_B,B,2.68,-26.05,-31.145,-45.01,-16.03,-30.906,-29.481,-16.507,2.791,-0.0096,swarm_88_128.pdb
top_7_A,A,top_7_B,B,7.36,-13.55,-25.863,45.87,42.65,-10.177,-4.997,4.363,-4.963,0.0399,swarm_146_29.pdb
top_8_A,A,top_8_B,B,5.76,-24.71,-30.652,13.72,18.49,-7.647,-56.33,-10.565,3.021,0.1763,swarm_65_42.pdb
top_9_A,A,top_9_B,B,7.52,-17.21,-26.746,-3.0,6.19,3.633,-50.581,7.717,-4.171,0.2145,swarm_57_69.pdb
top_10_A,A,top_10_B,B,5.7,-17.0,-28.637,20.07,14.22,-10.065,-50.004,-3.685,-1.504,0.1344,swarm_146_32.pdb
top_11_A,A,top_11_B,B,2.14,-20.22,-28.47,-36.15,-5.29,-14.135,-44.841,-14.448,1.604,-0.1115,swarm_92_112.pdb
top_12_A,A,top_12_B,B,7.04,-21.15,-32.496,-12.14,9.04,-4.003,-38.711,5.983,1.862,0.0665,swarm_5_136.pdb
top_13_A,A,top_13_B,B,1.28,-20.68,-31.627,153.1,82.22,-9.453,51.603,4.405,3.241,-0.0885,swarm_80_165.pdb
top_14_A,A,top_14_B,B,3.36,-24.55,-34.931,9.55,-5.66,-12.96,-33.345,-9.486,-2.448,0.0752,swarm_136_39.pdb
top_15_A,A,top_15_B,B,3.08,-19.07,-28.757,-16.76,1.71,-12.061,-47.532,-16.641,2.154,-0.3016,swarm_83_94.pdb
top_16_A,A,top_16_B,B,8.24,-21.46,-30.003,-30.12,-7.35,-4.829,-49.034,-10.535,-5.899,0.0917,swarm_57_16.pdb
top_17_A,A,top_17_B,B,7.26,-20.29,-26.946,-7.04,13.11,-8.082,-64.203,0.518,-0.879,-0.0229,swarm_47_37.pdb
top_18_A,A,top_18_B,B,3.08,-22.2,-26.809,-34.07,-10.92,-19.287,-30.972,-12.847,2.777,-0.0847,swarm_100_5.pdb
top_19_A,A,top_19_B,B,4.78,-21.58,-34.963,-43.07,1.26,-14.082,-49.911,-5.278,-4.657,-0.0502,swarm_120_169.pdb
top_20_A,A,top_20_B,B,3.24,-20.93,-29.029,-73.67,-18.83,-2.604,-51.592,-0.048,1.238,0.1155,swarm_95_73.pdb
top_21_A,A,top_21_B,B,4.36,-18.94,-28.835,-36.67,-12.78,-10.574,-23.991,3.035,-6.084,0.0096,swarm_127_76.pdb
top_22_A,A,top_22_B,B,5.34,-17.23,-27.952,-20.89,4.37,-8.713,-51.269,-5.42,-1.368,-0.0362,swarm_6_89.pdb
top_23_A,A,top_23_B,B,-0.7,-22.11,-27.749,-39.14,-12.19,-15.403,-40.647,-16.272,3.864,-0.1389,swarm_132_118.pdb
top_24_A,A,top_24_B,B,5.64,-21.1,-28.521,29.99,26.03,-11.527,6.719,-11.19,1.179,-0.0399,swarm_35_73.pdb
top_25_A,A,top_25_B,B,10.64,-17.46,-29.092,64.62,50.1,-9.449,2.594,0.536,-5.658,0.1666,swarm_79_31.pdb
top_26_A,A,top_26_B,B,-0.02,-14.96,-27.857,-59.35,-14.29,-2.565,-50.896,-4.124,4.284,-0.1233,swarm_0_136.pdb
top_27_A,A,top_27_B,B,0.4,-18.15,-27.322,-55.33,-26.07,4.203,-36.832,-15.186,2.577,-0.0151,swarm_89_132.pdb
top_28_A,A,top_28_B,B,6.1,-26.63,-34.576,-45.11,-22.37,-2.382,-59.612,7.76,0.34,0.0153,swarm_63_130.pdb
top_29_A,A,top_29_B,B,4.4,-20.44,-30.367,-33.83,-18.48,-5.104,-33.798,-5.025,0.068,0.0326,swarm_146_33.pdb
top_30_A,A,top_30_B,B,8.62,-19.55,-31.457,4.13,9.9,-11.798,-35.832,-11.687,-5.077,0.3556,swarm_113_89.pdb
top_31_A,A,top_31_B,B,3.52,-16.65,-29.303,-37.6,-22.82,-11.661,-20.153,0.551,-2.975,-0.1221,swarm_87_78.pdb
top_32_A,A,top_32_B,B,5.0,-19.57,-28.493,-45.84,-13.56,-9.227,-54.994,20.495,-1.046,0.0867,swarm_63_27.pdb
top_33_A,A,top_33_B,B,8.4,-13.21,-30.73,7.51,6.86,3.273,-8.041,20.793,-3.521,-0.0787,swarm_0_154.pdb
top_34_A,A,top_34_B,B,5.44,-18.66,-28.376,-29.55,1.64,-15.061,-17.539,-5.785,-0.843,0.0578,swarm_3_185.pdb
top_35_A,A,top_35_B,B,9.52,-15.02,-28.954,22.63,24.06,-4.305,-63.766,11.783,-5.008,0.0002,swarm_123_63.pdb
top_36_A,A,top_36_B,B,4.98,-15.19,-28.228,-47.56,-20.61,-10.816,-49.302,-3.41,-1.541,-0.0868,swarm_148_81.pdb
top_37_A,A,top_37_B,B,3.6,-10.87,-23.47,-22.35,2.36,-9.374,-31.174,-9.432,3.74,-0.0775,swarm_83_58.pdb
top_38_A,A,top_38_B,B,7.26,-20.25,-31.904,-21.85,25.02,-15.902,-30.668,-9.561,-1.923,0.0651,swarm_147_22.pdb
top_39_A,A,top_39_B,B,7.2,-20.33,-27.854,-16.93,15.9,-5.312,-35.359,4.918,0.078,-0.2,swarm_62_120.pdb
