pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,7.84,-27.63,-53.733,-1.12,21.55,-23.937,8.234,12.312,-7.973,-0.0729,swarm_52_20.pdb
top_2_A,A,top_2_B,B,18.56,-30.33,-55.055,23.3,54.3,-20.448,-90.366,22.939,-13.206,-0.3436,swarm_187_147.pdb
top_3_A,A,top_3_B,B,14.82,-27.37,-51.519,18.62,39.56,-34.678,-90.528,2.95,-14.358,-0.0601,swarm_296_98.pdb
top_4_A,A,top_4_B,B,6.34,-35.59,-55.643,-17.32,12.65,-28.827,-96.483,-12.18,-6.479,-0.0181,swarm_355_34.pdb
top_5_A,A,top_5_B,B,12.54,-31.48,-50.746,4.1,22.78,-9.038,-52.82,9.016,-2.993,0.0368,swarm_92_71.pdb
top_6_A,A,top_6_B,B,14.2,-29.38,-57.014,-2.14,13.73,-35.284,7.887,6.431,-4.0,0.1667,swarm_185_3.pdb
top_7_A,A,top_7_B,B,7.1,-33.93,-56.107,34.3,8.56,-22.531,-94.807,3.604,-2.456,0.1133,swarm_196_73.pdb
top_8_A,A,top_8_B,B,8.06,-26.49,-48.376,2.56,16.34,-19.021,-63.247,15.954,0.961,-0.077,swarm_120_129.pdb
top_9_A,A,top_9_B,B,9.64,-27.47,-49.233,-22.4,-24.94,-20.249,-66.921,8.076,-4.894,-0.2105,swarm_355_60.pdb
top_10_A,A,top_10_B,B,7.8,-31.17,-48.287,0.77,27.11,-18.39,-43.88,-4.588,-1.905,-0.0451,swarm_190_33.pdb
top_11_A,A,top_11_B,B,10.28,-24.09,-49.432,4.75,14.12,-18.005,-42.266,12.223,-3.663,0.1116,swarm_52_148.pdb
top_12_A,A,top_12_B,B,8.96,-26.81,-46.578,-32.61,-15.07,-24.643,-71.341,-5.191,-4.735,-0.0523,swarm_5_149.pdb
top_13_A,A,top_13_B,B,6.6,-26.82,-48.738,2.94,-1.13,-14.12,-21.145,14.225,-0.195,-0.2153,swarm_150_21.pdb
top_14_A,A,top_14_B,B,6.8,-26.52,-46.212,-13.54,8.67,-15.754,-59.514,12.371,0.415,-0.054,swarm_174_135.pdb
top_15_A,A,top_15_B,B,11.02,-14.18,-33.433,148.35,149.91,-15.899,147.254,30.547,-11.716,0.2843,swarm_322_118.pdb
top_16_A,A,top_16_B,B,6.92,-24.53,-43.762,-9.96,6.63,-14.646,-90.886,7.269,-5.765,0.0458,swarm_34_156.pdb
top_17_A,A,top_17_B,B,16.22,-26.78,-45.902,-45.86,-2.47,-12.14,-81.55,4.477,-11.038,0.0311,swarm_126_187.pdb
top_18_A,A,top_18_B,B,12.24,-30.59,-55.386,-4.6,1.69,-49.616,-70.361,-18.375,-3.253,0.1383,swarm_300_19.pdb
top_19_A,A,top_19_B,B,10.62,-28.37,-55.925,4.41,16.45,-23.321,22.191,10.668,-10.745,0.0982,swarm_296_161.pdb
top_20_A,A,top_20_B,B,13.54,-25.39,-50.015,-81.64,-12.19,-35.883,-38.997,-0.459,-3.704,0.0239,swarm_60_182.pdb
top_21_A,A,top_21_B,B,-6.2,-24.64,-46.914,89.84,62.59,-22.75,118.347,-1.181,0.053,-0.27,swarm_207_189.pdb
top_22_A,A,top_22_B,B,11.64,-34.61,-57.205,30.11,14.38,-6.076,-45.391,28.194,-7.215,-0.0951,swarm_112_11.pdb
top_23_A,A,top_23_B,B,3.62,-22.73,-42.0,31.85,36.97,-11.319,-21.497,8.125,2.098,-0.0977,swarm_186_102.pdb
top_24_A,A,top_24_B,B,9.34,-22.58,-43.652,-14.35,11.7,-23.766,21.032,20.413,-3.66,-0.0454,swarm_118_82.pdb
top_25_A,A,top_25_B,B,3.84,-25.4,-44.431,-7.36,-11.46,-18.34,-78.596,17.237,-2.308,-0.0476,swarm_258_59.pdb
top_26_A,A,top_26_B,B,12.3,-25.81,-48.144,-38.43,-17.68,-20.222,-115.392,17.88,-5.814,-0.0739,swarm_26_44.pdb
top_27_A,A,top_27_B,B,2.48,-26.09,-40.81,-27.29,-4.42,-21.794,-77.36,-19.071,1.832,-0.0576,swarm_66_190.pdb
top_28_A,A,top_28_B,B,5.48,-24.04,-45.201,38.9,41.62,-16.494,43.787,22.225,-8.601,0.0222,swarm_112_79.pdb
top_29_A,A,top_29_B,B,6.2,-22.69,-40.813,124.9,101.37,-10.106,24.165,19.614,-6.02,0.0176,swarm_360_103.pdb
top_30_A,A,top_30_B,B,15.08,-23.85,-47.772,74.3,72.68,-32.698,-4.586,7.217,-7.588,-0.0024,swarm_237_40.pdb
top_31_A,A,top_31_B,B,7.58,-27.21,-40.64,-19.96,-3.25,-17.821,-27.378,-14.709,-1.796,-0.2275,swarm_323_42.pdb
top_32_A,A,top_32_B,B,7.9,-26.79,-47.045,35.55,24.14,-22.375,-86.734,9.381,-6.631,-0.1627,swarm_37_136.pdb
top_33_A,A,top_33_B,B,9.24,-30.79,-53.279,42.58,28.14,-8.986,-52.809,24.401,-2.734,-0.1134,swarm_121_97.pdb
top_34_A,A,top_34_B,B,14.1,-27.19,-55.253,4.39,20.86,-32.462,-52.959,22.495,-7.717,0.1833,swarm_296_47.pdb
top_35_A,A,top_35_B,B,7.94,-23.27,-45.129,122.55,64.99,-19.148,37.101,11.218,-2.97,0.2922,swarm_195_38.pdb
top_36_A,A,top_36_B,B,6.98,-23.6,-39.628,-56.07,-24.48,-7.945,-49.652,6.821,-2.983,-0.0866,swarm_157_92.pdb
top_37_A,A,top_37_B,B,11.86,-20.8,-42.074,91.79,26.96,-19.167,32.107,6.072,-3.342,-0.1528,swarm_10_118.pdb
top_38_A,A,top_38_B,B,6.28,-24.9,-43.089,37.75,47.98,-10.77,14.372,7.961,-1.968,-0.0176,swarm_122_98.pdb
top_39_A,A,top_39_B,B,8.06,-26.55,-42.417,-0.48,18.75,-4.965,-85.02,3.332,-2.58,0.0994,swarm_297_126.pdb
top_40_A,A,top_40_B,B,4.42,-16.91,-31.723,56.43,27.62,-11.212,-9.532,-9.18,-2.809,-0.0971,swarm_150_65.pdb
top_41_A,A,top_41_B,B,12.5,-25.78,-48.552,82.45,49.29,-21.732,-23.353,16.302,-6.343,0.0401,swarm_73_40.pdb
top_42_A,A,top_42_B,B,7.9,-22.6,-40.958,15.89,19.35,-8.059,-64.436,16.596,-1.403,0.0215,swarm_173_168.pdb
top_43_A,A,top_43_B,B,9.88,-21.59,-42.62,76.51,40.35,-27.908,-40.611,0.966,-2.114,-0.1234,swarm_255_172.pdb
top_44_A,A,top_44_B,B,13.88,-17.55,-42.82,49.58,48.78,-9.849,8.775,34.474,-11.755,0.1164,swarm_277_134.pdb
top_45_A,A,top_45_B,B,9.36,-23.11,-40.529,9.72,0.36,-4.285,-70.559,20.949,-3.746,-0.0152,swarm_180_86.pdb
top_46_A,A,top_46_B,B,4.0,-23.59,-41.084,38.66,38.5,-1.137,-15.853,16.849,-2.427,0.2391,swarm_297_132.pdb
top_47_A,A,top_47_B,B,6.5,-19.06,-38.006,29.69,6.34,-18.243,-11.949,9.125,-6.252,-0.0121,swarm_74_97.pdb
top_48_A,A,top_48_B,B,10.64,-23.48,-40.532,7.71,-2.95,-13.783,-74.168,14.043,-6.99,-0.0852,swarm_24_177.pdb
top_49_A,A,top_49_B,B,13.3,-25.42,-49.929,56.44,56.72,-34.82,4.844,4.629,-7.34,0.1508,swarm_360_50.pdb
top_50_A,A,top_50_B,B,9.42,-20.26,-39.011,15.93,13.28,-21.754,-30.435,-13.438,-2.321,0.2085,swarm_142_185.pdb
top_51_A,A,top_51_B,B,12.42,-18.19,-44.721,38.07,45.77,-29.41,-12.864,22.725,-12.185,0.2684,swarm_237_110.pdb
top_52_A,A,top_52_B,B,7.8,-20.05,-40.694,-34.24,10.72,-25.028,-74.068,-4.824,-1.658,0.0842,swarm_371_13.pdb
top_53_A,A,top_53_B,B,8.62,-27.35,-49.147,105.73,97.02,1.97,53.269,32.138,-6.633,-0.0442,swarm_186_69.pdb
top_54_A,A,top_54_B,B,4.9,-24.67,-44.016,46.04,43.47,-12.395,-8.237,10.148,-5.225,-0.1909,swarm_276_112.pdb
top_55_A,A,top_55_B,B,6.06,-21.78,-37.924,-47.02,-25.44,-28.601,-62.495,-10.558,-0.86,-0.1091,swarm_346_174.pdb
top_56_A,A,top_56_B,B,10.24,-23.42,-41.639,0.26,17.64,-9.872,-25.699,2.295,-1.404,-0.0532,swarm_156_119.pdb
top_57_A,A,top_57_B,B,19.74,-22.11,-47.803,11.18,35.36,-25.927,-68.557,11.114,-9.297,-0.1503,swarm_265_138.pdb
