pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,7.58,-29.37,-58.449,-76.27,-10.3,-22.202,-22.959,12.012,-4.261,0.0421,swarm_251_113.pdb
top_2_A,A,top_2_B,B,11.92,-22.21,-48.579,-55.68,0.25,-11.892,-92.234,9.317,-4.436,0.2312,swarm_94_121.pdb
top_3_A,A,top_3_B,B,11.6,-24.08,-53.518,-32.66,-3.99,-27.34,-87.619,6.175,-0.884,-0.0411,swarm_324_113.pdb
top_4_A,A,top_4_B,B,9.36,-29.29,-58.136,-26.6,20.18,-38.793,-41.755,-8.235,-10.022,-0.0501,swarm_143_125.pdb
top_5_A,A,top_5_B,B,14.3,-32.28,-55.748,-80.07,-28.81,-27.5,-105.178,-20.361,1.26,-0.1467,swarm_301_152.pdb
top_6_A,A,top_6_B,B,4.28,-29.39,-54.023,-35.48,-27.15,-19.117,-84.372,4.426,-3.743,-0.1571,swarm_120_185.pdb
top_7_A,A,top_7_B,B,12.14,-26.82,-50.301,3.12,3.06,-11.32,-105.187,20.842,-6.364,-0.0523,swarm_210_13.pdb
top_8_A,A,top_8_B,B,2.24,-27.48,-48.448,7.37,18.9,-14.8,-32.131,-1.292,-4.541,-0.2221,swarm_69_123.pdb
top_9_A,A,top_9_B,B,11.46,-28.59,-51.145,-5.55,30.39,-31.079,-69.111,-12.457,-5.919,0.0357,swarm_51_30.pdb
top_10_A,A,top_10_B,B,8.38,-31.39,-56.57,-53.47,-5.21,-42.4,-37.677,-34.668,10.741,-0.108,swarm_177_35.pdb
top_11_A,A,top_11_B,B,-0.6,-26.39,-44.31,-82.12,-13.19,-30.146,-63.395,-43.444,5.32,0.1442,swarm_182_152.pdb
top_12_A,A,top_12_B,B,1.02,-23.09,-43.238,24.59,49.39,-1.325,-29.653,2.021,-0.767,-0.0181,swarm_63_165.pdb
top_13_A,A,top_13_B,B,10.42,-24.91,-45.543,-68.95,-31.12,-34.178,-32.932,-28.008,7.956,-0.1726,swarm_324_76.pdb
top_14_A,A,top_14_B,B,11.02,-28.59,-52.3,-95.94,-17.07,-18.363,-104.419,10.909,-9.048,-0.2514,swarm_44_68.pdb
