pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,13.98,-39.97,-79.676,55.24,27.89,-4.201,-28.513,21.879,7.993,-0.0944,swarm_66_102.pdb
top_2_A,A,top_2_B,B,11.72,-36.35,-75.825,31.75,7.97,-15.124,-11.275,25.309,13.857,-0.0331,swarm_575_0.pdb
top_3_A,A,top_3_B,B,24.5,-40.33,-76.647,90.71,90.95,-25.055,30.319,25.366,-3.087,0.1005,swarm_81_14.pdb
top_4_A,A,top_4_B,B,19.2,-33.86,-71.626,92.99,59.19,-26.142,77.632,22.137,-9.556,0.183,swarm_583_27.pdb
top_5_A,A,top_5_B,B,14.62,-41.43,-76.588,-14.06,52.68,-18.058,-85.455,15.269,-6.143,0.0193,swarm_154_17.pdb
top_6_A,A,top_6_B,B,15.8,-35.26,-67.103,-14.99,6.06,-31.839,-20.466,7.05,12.589,-0.1769,swarm_157_155.pdb
top_7_A,A,top_7_B,B,8.78,-40.38,-77.023,-99.69,-25.1,-30.611,-101.42,3.899,2.74,-0.3646,swarm_354_160.pdb
top_8_A,A,top_8_B,B,17.42,-32.89,-62.739,-21.55,12.28,-29.331,-108.171,10.514,3.772,-0.0713,swarm_272_123.pdb
top_9_A,A,top_9_B,B,26.24,-44.68,-71.544,-8.9,37.51,-19.235,-105.392,14.699,1.308,0.3079,swarm_100_179.pdb
top_10_A,A,top_10_B,B,20.7,-31.77,-74.909,386.31,250.18,-41.447,302.134,54.855,3.146,0.4393,swarm_29_185.pdb
top_11_A,A,top_11_B,B,14.78,-28.73,-70.748,1.35,45.66,-17.861,-43.633,34.915,-1.326,0.0548,swarm_286_83.pdb
top_12_A,A,top_12_B,B,25.84,-33.41,-68.953,-35.97,-0.76,-34.534,-82.321,26.704,-4.297,0.2781,swarm_582_87.pdb
top_13_A,A,top_13_B,B,3.1,-31.03,-58.711,-31.63,18.19,-14.8,-52.8,14.468,2.463,-0.0381,swarm_328_78.pdb
top_14_A,A,top_14_B,B,15.3,-34.41,-67.767,70.37,45.87,-20.909,-31.3,13.928,-0.475,0.0929,swarm_244_39.pdb
top_15_A,A,top_15_B,B,20.8,-32.29,-67.978,-10.85,14.94,-33.804,-73.422,6.018,-3.237,-0.0434,swarm_301_170.pdb
top_16_A,A,top_16_B,B,14.84,-25.7,-57.066,13.18,21.13,-25.046,-9.731,10.479,-7.564,0.0868,swarm_308_19.pdb
