pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,0.68,-31.49,-55.2,18.82,27.1,-25.915,1.039,2.821,-13.878,0.0131,swarm_250_100.pdb
top_2_A,A,top_2_B,B,3.1,-29.79,-50.51,-22.45,14.36,-37.32,-32.462,-8.246,-11.846,-0.1438,swarm_364_163.pdb
top_3_A,A,top_3_B,B,16.1,-28.81,-49.612,-13.91,24.4,-22.855,-79.354,1.866,-7.191,-0.0952,swarm_136_156.pdb
top_4_A,A,top_4_B,B,6.76,-30.97,-51.422,18.47,6.85,-20.654,-35.103,-12.219,-5.135,-0.0564,swarm_371_24.pdb
top_5_A,A,top_5_B,B,13.28,-26.92,-56.302,46.11,90.91,-18.238,13.274,11.046,0.56,-0.0109,swarm_348_141.pdb
top_6_A,A,top_6_B,B,8.66,-31.69,-46.703,-46.31,-29.83,-12.597,-53.62,-22.768,8.173,-0.3082,swarm_390_92.pdb
top_7_A,A,top_7_B,B,14.54,-30.6,-49.977,7.56,10.52,-24.302,-50.936,6.4,-11.374,0.011,swarm_351_183.pdb
top_8_A,A,top_8_B,B,10.76,-26.04,-49.292,-8.23,31.69,-7.888,-37.636,9.935,-8.431,0.0823,swarm_55_12.pdb
top_9_A,A,top_9_B,B,10.16,-31.74,-49.724,-32.98,9.3,-22.885,-98.774,-2.338,-12.672,0.0247,swarm_102_84.pdb
top_10_A,A,top_10_B,B,11.02,-22.65,-48.944,2.64,19.04,-19.993,-38.417,9.278,-13.763,-0.1053,swarm_17_155.pdb
top_11_A,A,top_11_B,B,-1.24,-35.03,-50.14,-41.56,12.46,-11.695,-43.137,-21.749,6.473,-0.1276,swarm_272_44.pdb
top_12_A,A,top_12_B,B,9.46,-22.23,-43.164,-28.99,-4.06,-27.674,-84.913,8.017,-5.83,-0.1906,swarm_35_192.pdb
top_13_A,A,top_13_B,B,22.4,-37.09,-64.038,37.72,55.95,-20.705,-88.643,4.566,-10.493,-0.0376,swarm_72_143.pdb
top_14_A,A,top_14_B,B,14.18,-29.09,-50.316,35.31,38.53,-21.667,27.008,8.624,-7.66,0.1961,swarm_10_178.pdb
top_15_A,A,top_15_B,B,8.12,-19.43,-42.895,84.58,63.42,-16.824,63.366,18.228,-13.437,0.0471,swarm_99_5.pdb
top_16_A,A,top_16_B,B,14.16,-30.53,-46.976,-23.69,-0.98,-11.6,-75.715,17.845,-6.837,0.3111,swarm_110_127.pdb
top_17_A,A,top_17_B,B,12.86,-16.6,-34.775,182.25,163.23,-19.251,264.707,20.978,-16.202,0.2093,swarm_113_114.pdb
top_18_A,A,top_18_B,B,1.84,-31.64,-50.82,-34.15,5.15,-26.677,-65.043,-10.653,-15.567,-0.2708,swarm_106_196.pdb
top_19_A,A,top_19_B,B,16.54,-21.7,-42.183,52.78,33.72,-27.425,-28.413,4.731,-11.275,-0.0577,swarm_22_74.pdb
top_20_A,A,top_20_B,B,10.88,-23.83,-46.608,-40.49,-0.22,-7.699,-101.077,23.012,-12.996,-0.1429,swarm_216_92.pdb
top_21_A,A,top_21_B,B,11.08,-10.26,-34.145,186.13,196.03,-17.283,236.899,44.334,-15.526,0.2293,swarm_241_121.pdb
top_22_A,A,top_22_B,B,12.12,-25.48,-44.372,-63.08,-8.04,-16.382,-93.386,-4.537,-2.546,0.0433,swarm_204_71.pdb
top_23_A,A,top_23_B,B,12.6,-24.77,-53.265,172.32,128.56,-40.765,218.803,5.044,-8.975,-0.3451,swarm_215_197.pdb
top_24_A,A,top_24_B,B,13.38,-26.02,-42.553,32.12,37.15,-18.736,-4.127,4.537,-4.189,0.1928,swarm_236_163.pdb
top_25_A,A,top_25_B,B,8.92,-23.04,-45.618,96.96,49.98,-14.045,-23.307,13.58,-8.908,-0.1626,swarm_140_59.pdb
top_26_A,A,top_26_B,B,4.36,-25.94,-42.823,-42.64,1.01,-5.624,-53.053,-14.469,10.605,-0.2192,swarm_277_40.pdb
top_27_A,A,top_27_B,B,8.78,-20.65,-42.632,-19.6,-6.5,-9.716,-91.226,6.666,0.02,-0.0868,swarm_14_157.pdb
top_28_A,A,top_28_B,B,1.68,-24.43,-42.409,-25.39,26.87,-11.234,-39.523,-20.415,6.988,-0.2115,swarm_287_197.pdb
top_29_A,A,top_29_B,B,6.52,-18.8,-39.273,38.12,19.4,-19.735,-18.019,17.635,-5.957,-0.1179,swarm_3_193.pdb
top_30_A,A,top_30_B,B,5.66,-32.96,-46.909,-42.94,-8.14,-12.413,-112.944,-38.663,6.163,-0.1388,swarm_264_3.pdb
top_31_A,A,top_31_B,B,-0.82,-24.89,-38.517,-55.93,-20.31,-4.461,-25.54,-21.815,11.409,-0.0292,swarm_73_47.pdb
top_32_A,A,top_32_B,B,-1.86,-25.2,-39.289,-56.59,-26.95,-11.388,-28.024,-17.018,12.403,0.0729,swarm_390_71.pdb
top_33_A,A,top_33_B,B,5.54,-19.2,-40.909,-17.61,19.52,-17.134,-13.401,3.581,-1.812,-0.2678,swarm_75_42.pdb
top_34_A,A,top_34_B,B,7.52,-28.91,-43.975,-21.29,-29.82,-17.437,-88.304,-12.358,5.215,0.2183,swarm_218_45.pdb
top_35_A,A,top_35_B,B,11.3,-29.64,-46.488,-30.56,14.21,-22.862,-69.542,-15.869,-5.93,0.089,swarm_337_122.pdb
top_36_A,A,top_36_B,B,19.56,-21.54,-42.944,-3.44,-1.37,-23.253,-83.642,7.944,-10.37,0.3084,swarm_62_94.pdb
top_37_A,A,top_37_B,B,7.24,-28.76,-49.276,44.18,41.78,-23.102,31.198,-6.815,-3.462,0.1439,swarm_151_188.pdb
top_38_A,A,top_38_B,B,2.86,-26.35,-41.45,-21.77,-2.06,-17.001,-59.684,-22.226,8.115,-0.2662,swarm_330_167.pdb
top_39_A,A,top_39_B,B,-5.2,-17.82,-32.871,10.05,41.93,-2.248,12.906,-0.146,13.021,0.8448,swarm_330_23.pdb
top_40_A,A,top_40_B,B,-3.4,-29.95,-48.922,10.36,47.46,-16.029,26.202,-24.004,7.437,0.0841,swarm_116_103.pdb
top_41_A,A,top_41_B,B,11.02,-19.31,-42.843,29.63,61.81,-20.45,-24.413,5.511,-12.094,0.0542,swarm_62_178.pdb
