pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,8.1,-24.4,-39.046,19.39,30.45,12.122,-39.201,33.04,-3.288,-0.0947,swarm_139_37.pdb
top_2_A,A,top_2_B,B,-0.76,-20.0,-35.23,-29.49,5.25,-8.961,-27.344,-11.084,1.693,-0.1021,swarm_30_60.pdb
top_3_A,A,top_3_B,B,2.26,-23.29,-35.503,-30.52,17.22,2.322,-39.413,8.208,-2.473,0.0377,swarm_139_111.pdb
top_4_A,A,top_4_B,B,-2.26,-17.67,-31.978,-15.87,-4.31,-15.604,-19.327,-23.073,4.624,-0.2449,swarm_24_34.pdb
top_5_A,A,top_5_B,B,2.78,-17.19,-31.841,-32.96,-22.07,-11.05,-63.466,-12.454,-1.471,-0.2815,swarm_202_126.pdb
top_6_A,A,top_6_B,B,0.22,-16.15,-30.848,-21.59,7.45,-1.303,-36.581,-1.278,1.217,-0.0967,swarm_138_172.pdb
top_7_A,A,top_7_B,B,6.76,-22.3,-35.743,20.71,23.12,3.306,3.341,23.18,-5.207,0.0218,swarm_142_170.pdb
top_8_A,A,top_8_B,B,3.3,-14.9,-31.266,-41.11,-1.77,-3.105,-11.797,2.536,2.577,-0.1521,swarm_32_188.pdb
top_9_A,A,top_9_B,B,1.26,-21.07,-33.672,13.05,26.24,16.183,-45.98,38.735,-3.225,0.093,swarm_56_107.pdb
top_10_A,A,top_10_B,B,0.92,-17.58,-30.486,-72.6,-25.83,-8.512,-51.53,-5.178,3.369,-0.0819,swarm_8_198.pdb
top_11_A,A,top_11_B,B,0.8,-19.64,-31.123,14.47,8.48,2.517,-38.579,14.034,-6.995,0.1013,swarm_150_163.pdb
top_12_A,A,top_12_B,B,-1.66,-21.04,-32.822,-77.59,-31.51,-2.479,-60.575,-1.784,3.686,-0.2603,swarm_202_0.pdb
top_13_A,A,top_13_B,B,-2.6,-8.95,-21.664,-31.09,-21.61,-2.605,-40.087,-12.606,4.502,-0.0315,swarm_202_89.pdb
top_14_A,A,top_14_B,B,-1.6,-16.68,-30.246,-20.54,19.18,-1.304,-38.098,-1.087,5.574,-0.0217,swarm_63_105.pdb
top_15_A,A,top_15_B,B,1.2,-14.21,-30.248,-36.9,7.98,-8.94,-26.261,1.762,-0.146,-0.2397,swarm_202_146.pdb
top_16_A,A,top_16_B,B,-2.34,-15.41,-29.082,-78.93,-11.6,-2.12,-34.738,-6.665,4.493,-0.1548,swarm_50_145.pdb
top_17_A,A,top_17_B,B,6.84,-22.03,-34.656,-7.72,-9.79,1.972,-72.527,17.394,1.589,-0.1839,swarm_2_119.pdb
top_18_A,A,top_18_B,B,-4.08,-18.48,-33.297,-46.52,10.45,-2.477,-19.705,-8.978,1.985,-0.1791,swarm_79_6.pdb
top_19_A,A,top_19_B,B,4.98,-14.92,-28.684,12.42,34.69,-3.92,8.459,9.435,-1.744,-0.0506,swarm_179_174.pdb
top_20_A,A,top_20_B,B,5.3,-20.74,-34.367,-39.42,-15.08,-4.538,-78.626,11.128,-3.924,-0.1088,swarm_139_182.pdb
top_21_A,A,top_21_B,B,1.88,-18.63,-30.537,27.77,36.24,4.221,7.927,12.565,-1.315,0.2582,swarm_9_72.pdb
top_22_A,A,top_22_B,B,12.04,-17.0,-29.597,-39.05,-5.97,17.934,-63.707,33.377,-9.458,0.2813,swarm_101_115.pdb
top_23_A,A,top_23_B,B,5.78,-19.06,-31.861,20.85,26.18,2.054,-1.588,15.459,-2.593,-0.017,swarm_56_82.pdb
top_24_A,A,top_24_B,B,8.28,-13.64,-29.771,78.39,53.35,-17.07,74.225,3.816,-7.707,0.1478,swarm_35_155.pdb
top_25_A,A,top_25_B,B,4.08,-17.8,-29.894,-3.8,-7.41,-0.091,-41.144,15.722,-4.062,-0.0009,swarm_90_36.pdb
top_26_A,A,top_26_B,B,0.58,-13.28,-28.752,-11.66,17.43,-7.36,-44.864,-4.556,3.376,-0.0854,swarm_202_68.pdb
top_27_A,A,top_27_B,B,2.26,-19.1,-29.889,2.13,15.1,0.934,-52.484,12.053,0.021,0.0476,swarm_101_135.pdb
top_28_A,A,top_28_B,B,4.78,-17.88,-32.359,-16.07,-4.76,2.76,-61.985,15.614,-1.632,0.0707,swarm_45_162.pdb
top_29_A,A,top_29_B,B,0.9,-15.63,-26.703,-69.01,-25.5,-3.872,-50.111,-14.217,1.683,-0.0872,swarm_8_133.pdb
