pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,1.4,-28.91,-39.5388,15.23,32.72,-7.231,-12.847,-2.656,1.424,-0.2688,swarm_164_2.pdb
top_2_A,A,top_2_B,B,-0.38,-23.84,-33.8876,-8.98,9.74,-2.154,28.259,-2.802,4.146,-0.2686,swarm_148_93.pdb
top_3_A,A,top_3_B,B,-2.1,-23.17,-32.591,1.68,-3.15,-7.603,-32.965,-20.017,3.673,-0.3852,swarm_16_25.pdb
top_4_A,A,top_4_B,B,0.5,-22.57,-31.2793,-36.64,-11.41,-10.865,-46.354,-14.06,3.535,-0.1759,swarm_164_126.pdb
top_5_A,A,top_5_B,B,-1.3,-28.44,-35.522,-33.75,10.85,3.861,34.717,1.446,0.59,-0.2144,swarm_46_60.pdb
top_6_A,A,top_6_B,B,-6.36,-25.09,-31.2316,13.76,10.73,6.046,34.275,8.417,2.632,-0.0662,swarm_68_3.pdb
top_7_A,A,top_7_B,B,-0.58,-27.84,-37.2386,-3.24,30.13,-5.54,89.073,0.516,0.847,-0.3609,swarm_32_176.pdb
top_8_A,A,top_8_B,B,1.64,-21.0,-31.4425,67.76,77.73,-5.678,29.186,12.04,-4.448,0.0047,swarm_148_6.pdb
top_9_A,A,top_9_B,B,1.98,-24.01,-31.0993,-16.71,10.8,0.035,-51.637,-1.264,1.904,-0.0889,swarm_16_0.pdb
top_10_A,A,top_10_B,B,2.04,-23.05,-30.457,-9.59,16.72,-7.409,-64.372,-8.87,0.334,0.0223,swarm_76_198.pdb
top_11_A,A,top_11_B,B,2.96,-21.76,-31.4704,-38.39,11.34,-7.495,-17.119,-12.455,2.559,-0.1898,swarm_103_108.pdb
top_12_A,A,top_12_B,B,3.86,-23.17,-29.4529,-21.78,-0.06,-8.278,-34.469,-25.48,3.136,-0.3562,swarm_175_112.pdb
top_13_A,A,top_13_B,B,-3.12,-19.82,-28.5635,-6.74,35.34,-4.065,-45.93,-3.259,-1.815,-0.221,swarm_139_44.pdb
top_14_A,A,top_14_B,B,2.36,-22.85,-32.6049,29.69,55.69,-2.754,-33.513,-3.174,-3.185,-0.1135,swarm_111_28.pdb
